"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",52.3364516129032,"Down",4.534e+09,-4.021e+09,5.13e+08,-5.19e+08,-3.59e+08,-3.7e+07,-1.23e+08,-6e+06,-2.5e+07,-2.5e+07,-3.1e+07,-3.1e+07,-1.6e+07,-4.7e+07,-4.7e+07,-4.7e+07,-4.7e+07,4.577e+09,2.819e+09,1.758e+09,9.74e+08,4.37e+08,1.31e+08,5.988e+09,4.54e+08,1.007e+09,1.4e+08,2.37e+08,1.461e+09,7.449e+09,2.314e+09,3.85e+08,1.929e+09,1.784e+09,3.15e+08,4.57e+09,1.173e+09,5.7e+07,4.2e+07,1.23e+09,5.8e+09,8.41e+08,8.1e+08,-2e+06,1.649e+09,1.649e+09,7.449e+09,-4.7e+07,4.7e+07,1.4e+07,2.6e+07,4e+07,-3.3e+07,-3.3e+07,-30999999.9999999,-1.1e+07,-7.5e+07,1.8e+07,8000000.00000001,-2.7e+07,-2.7e+07,-2.7e+07,4.1e+07,1.645e+09,50000000.0000001,0.11315,-0.00132,-0.01037,-0.0285,-0.00631,-1.06383,1.31028,3.51728,0.22084,-0.83039,-0.83929,80.10601,29.13428,0.88339,4,-0.01403,0.01492,-71.5122,488.66667
"29","2017_Q2",61.362380952381,"Up",4.904e+09,-4.222e+09,6.82e+08,-6e+08,-4.39e+08,-3.9e+07,-1.22e+08,8.2e+07,4.9e+07,-2.6e+07,1.31e+08,1.31e+08,-5.4e+07,7.7e+07,7.7e+07,7.7e+07,7.7e+07,5.254e+09,3.198e+09,2.056e+09,1.006e+09,1.42e+08,1.42e+08,6.402e+09,4.47e+08,1.189e+09,1.31e+08,2.47e+08,1.636e+09,8.038e+09,2.385e+09,4.38e+08,1.926e+09,2.036e+09,4.61e+08,4.422e+09,1.653e+09,2.36e+08,4.4e+07,1.889e+09,6.311e+09,8.41e+08,8.87e+08,-1e+06,1.727e+09,1.727e+09,8.038e+09,7.7e+07,4.9e+07,1.2e+07,5.81e+08,7.19e+08,-2.6e+07,-2.6e+07,-3e+08,-1.1e+07,-3.37e+08,-2e+06,-1e+06,3.81e+08,3.81e+08,3.81e+08,1.31e+08,1.654e+09,7.4e+08,0.13907,0.01672,0.0157,0.04459,0.00958,9.61039,1.44776,3.65431,0.20577,1.375,1.375,87.57143,30.83929,13.21429,7,0.02129,0.20459,-27.48092,-43.90244
"30","2017_Q3",65.0990476190476,"Up",4.999e+09,-4.605e+09,3.94e+08,-5.66e+08,-4.05e+08,-3.7e+07,-1.24e+08,-1.72e+08,-2.7e+07,-2.7e+07,-1.99e+08,-3.14e+08,8.4e+07,-2.3e+08,-2.3e+08,-2.3e+08,-2.3e+08,5.171e+09,2.979e+09,2.192e+09,1.006e+09,9.92e+08,1.59e+08,7.169e+09,4.49e+08,9.65e+08,1.12e+08,2.58e+08,1.414e+09,8.583e+09,2.452e+09,3.75e+08,2.077e+09,2.568e+09,2.84e+08,5.793e+09,1.215e+09,5.4e+07,5.4e+07,1.269e+09,7.062e+09,8.65e+08,6.57e+08,-1e+06,1.521e+09,1.521e+09,8.583e+09,-2.3e+08,4.7e+07,7.7e+07,5.9e+07,-46999999.9999998,-3.4e+07,-3.4e+07,-4.62e+08,-1.3e+07,-5.09e+08,1e+07,3.34e+08,-2.22e+08,-2.22e+08,-2.22e+08,-1.25e+08,1.988e+09,-1.84e+08,0.07882,-0.03441,-0.04601,-0.15122,-0.0268,0.800000000000002,1.23753,4.643,0.23162,-4.10714,-4.10714,89.26786,27.16071,-3.28571,2,-0.06455,-0.05164,25.464,18.50581
"31","2017_Q4",72.1803174603175,"Up",5.031e+09,-4.326e+09,7.05e+08,-5.39e+08,-3.83e+08,-3.3e+07,-1.23e+08,1.66e+08,-3.2e+07,-3.2e+07,1.34e+08,-1.13e+08,1.6e+07,-9.7e+07,-9.7e+07,-9.7e+07,-9.7e+07,5.721e+09,3.934e+09,1.787e+09,1.002e+09,9.85e+08,1.74e+08,7.708e+09,3.97e+08,8.49e+08,1.01e+08,2.56e+08,1.246e+09,8.954e+09,2.963e+09,4.85e+08,2.478e+09,2.217e+09,4.68e+08,5.962e+09,1.515e+09,4.8e+07,4.8e+07,1.563e+09,7.525e+09,8.7e+08,5.6e+08,-1e+06,1.429e+09,1.429e+09,8.954e+09,-9.7e+07,4.3e+07,1.68e+08,1.71e+08,2.85e+08,-2.5e+07,-2.5e+07,4.04e+08,-9e+06,3.7e+08,-1e+06,2.99e+08,9.54e+08,9.54e+08,9.54e+08,2.09e+08,2.297e+09,3.39e+08,0.14013,0.033,-0.01928,-0.06788,-0.01083,-3.49485,1.29285,5.26592,0.25653,-1.73214,-1.71378,89.83929,25.51786,6.05357,3,-0.0257,0.08983,-16.38278,-20.62651
"32","2018_Q1",80.4309836065574,"Up",4.949e+09,-4.358e+09,5.91e+08,-5.18e+08,-3.67e+08,-2.8e+07,-1.23e+08,72999999.9999999,-4.7e+07,-3.3e+07,25999999.9999999,-3.16e+08,5.4e+07,-2.62e+08,-2.62e+08,-2.62e+08,-2.62e+08,5.71e+09,3.186e+09,2.524e+09,8.71e+08,9.3e+08,2.39e+08,7.511e+09,3.42e+08,6.18e+08,2.55e+08,2.6e+08,9.6e+08,8.471e+09,2.558e+09,3.66e+08,2.192e+09,2.346e+09,2.82e+08,5.557e+09,1.516e+09,6.1e+07,6.1e+07,1.577e+09,7.134e+09,1.044e+09,2.98e+08,-5e+06,1.337e+09,1.337e+09,8.471e+09,-2.62e+08,3.9e+07,2.92e+08,-2.22e+08,-1.53e+08,-1e+06,-1e+06,-5.8e+08,-5e+06,-5.86e+08,4e+06,4e+06,-7.35e+08,-7.35e+08,-7.35e+08,1.12e+08,2.169e+09,-1.65e+08,0.11942,0.01475,-0.05294,-0.19596,-0.03093,0.62977,1.35163,5.33583,0.25605,-4.67857,-4.59649,88.375,23.875,-2.94643,3,-0.07345,-0.04626,-31.61607,-48.50685
"33","2018_Q2",87.15734375,"Up",4.646e+09,-3.901e+09,7.45e+08,-4.98e+08,-3.52e+08,-2.6e+07,-1.2e+08,2.47e+08,-4.3e+07,-3.3e+07,2.04e+08,1.79e+08,-7.2e+07,1.07e+08,1.07e+08,1.07e+08,1.07e+08,6.173e+09,3.729e+09,2.444e+09,9.5e+08,1.073e+09,4.11e+08,8.196e+09,3.18e+08,6.19e+08,2.5e+08,2.55e+08,9.37e+08,9.133e+09,2.736e+09,7.13e+08,2.023e+09,2.703e+09,4.04e+08,6.005e+09,1.516e+09,5.9e+07,5.9e+07,1.575e+09,7.58e+09,1.153e+09,4.12e+08,-1.2e+07,1.553e+09,1.553e+09,9.133e+09,1.07e+08,3.7e+07,3.6e+07,2.14e+08,3.94e+08,-4e+06,-4e+06,1.54e+08,-5e+06,1.45e+08,-5e+06,-5e+06,5.34e+08,5.34e+08,5.34e+08,2.84e+08,2.082e+09,5.66e+08,0.16035,0.05316,0.02303,0.0689,0.01172,5.28972,1.36486,4.88088,0.22796,1.78333,1.6411,77.43333,25.88333,9.43333,6,0.02897,0.15322,-14.40493,-16.56275
"34","2018_Q3",127.640158730159,"Up",4.883e+09,-4.055e+09,8.28e+08,-4.78e+08,-3.35e+08,-2.5e+07,-1.18e+08,3.5e+08,-3.7e+07,-3.2e+07,3.13e+08,3.05e+08,-1.03e+08,2.02e+08,2.02e+08,2.02e+08,2.02e+08,5.568e+09,3.392e+09,2.176e+09,1.148e+09,1.311e+09,3.44e+08,8.027e+09,2.76e+08,4.6e+08,2.01e+08,1.45e+08,7.36e+08,8.763e+09,2.674e+09,7.54e+08,1.92e+09,2.662e+09,1.93e+08,5.82e+09,1.217e+09,6.8e+07,6.8e+07,1.285e+09,7.105e+09,1.055e+09,6.14e+08,-1.1e+07,1.658e+09,1.658e+09,8.763e+09,2.02e+08,3.6e+07,2e+07,-3.38e+08,-8e+07,-1e+07,-1e+07,2.67e+08,-4e+06,2.53e+08,-1.09e+08,-4.98e+08,-3.25e+08,-3.25e+08,-3.25e+08,3.86e+08,1.701e+09,1.41e+08,0.16957,0.07168,0.04137,0.12183,0.02305,0.69802,1.37921,4.28528,0.19411,3.25806,3.02395,78.75806,26.74194,2.27419,5,0.05894,0.04114,-10.01813,-11.04857
"35","2018_Q4",131.061428571429,"Up",4.697e+09,-3.987e+09,7.1e+08,-4.47e+08,-3.11e+08,-2.5e+07,-1.11e+08,2.63e+08,-3.6e+07,-2.6e+07,2.27e+08,2.59e+08,-6.2e+07,1.97e+08,1.97e+08,1.97e+08,1.97e+08,4.626e+09,2.814e+09,1.812e+09,1.346e+09,1.329e+09,4.86e+08,7.301e+09,2.64e+08,4.86e+08,1.95e+08,1.48e+08,7.5e+08,8.051e+09,2.866e+09,8.24e+08,2.042e+09,2.051e+09,1.78e+08,5.213e+09,1.217e+09,6e+07,6e+07,1.277e+09,6.49e+09,7.6e+08,8.11e+08,-1e+07,1.561e+09,1.561e+09,8.051e+09,1.97e+08,3.1e+07,-3.9e+07,-6.94e+08,-5.05e+08,-1e+07,-1e+07,4.47e+08,-1.4e+07,4.23e+08,-2.98e+08,-5.09e+08,-5.91e+08,-5.91e+08,-5.91e+08,2.94e+08,1.513e+09,-3.48e+08,0.15116,0.05599,0.04194,0.1262,0.02447,-1.7665,1.40054,4.15759,0.18793,3.26159,2.9056,77.7649,25.84437,-5.76159,5,0.06286,-0.11104,-10.58844,-11.8365
"36","2019_Q1",135.231147540984,"Up",4.664e+09,-3.959e+09,7.05e+08,-4.34e+08,-3.35e+08,-2.3e+07,-7.6e+07,2.71e+08,-1.6e+07,-2.4e+07,2.55e+08,2.56e+08,-5.5e+07,2.01e+08,2.01e+08,2.01e+08,2.01e+08,4.507e+09,2.826e+09,1.681e+09,1.33e+09,6.25e+08,1.49e+08,6.462e+09,2.41e+08,4.51e+08,1.9e+08,1.44e+08,6.92e+08,7.154e+09,2.351e+09,3.9e+08,1.961e+09,1.654e+09,2.11e+08,4.246e+09,1.217e+09,4.4e+07,4.4e+07,1.261e+09,5.507e+09,6.43e+08,1.012e+09,-8e+06,1.647e+09,1.647e+09,7.154e+09,2.01e+08,2.3e+07,8.4e+07,-4.31e+08,-1.23e+08,-6e+06,-6e+06,1.33e+08,5e+06,3.22e+08,-1.19e+08,-1.81e+08,1.8e+07,1.8e+07,1.8e+07,2.94e+08,1.458e+09,-8.8e+07,0.15116,0.0581,0.0431,0.12204,0.0281,-0.43781,1.5219,3.34366,0.2038,3.24194,3.01802,75.22581,26.56452,-1.41935,5,0.06383,-0.02795,-10.37075,-11.25092
"37","2019_Q2",136.982857142857,"Up",4.119e+09,-3.509e+09,6.1e+08,-3.3e+08,-3.02e+08,-2.5e+07,-3e+06,2.8e+08,-2e+07,-2.3e+07,2.6e+08,2.6e+08,-6.2e+07,1.98e+08,1.98e+08,1.98e+08,1.98e+08,4.732e+09,3.224e+09,1.508e+09,1.359e+09,6.4e+08,1.24e+08,6.731e+09,3.76e+08,4.72e+08,1.85e+08,2.11e+08,8.48e+08,7.579e+09,2.439e+09,4.44e+08,1.995e+09,1.655e+09,2.07e+08,4.292e+09,1.355e+09,9.7e+07,9.7e+07,1.452e+09,5.744e+09,5.43e+08,1.295e+09,-3e+06,1.835e+09,1.835e+09,7.579e+09,1.98e+08,2.5e+07,2.7e+07,-1e+06,2.49e+08,-6e+06,-6e+06,1.81e+08,-4e+06,1.71e+08,-1.02e+08,-4.8e+07,3.72e+08,3.72e+08,3.72e+08,3.05e+08,1.553e+09,3.6e+08,0.14809,0.06798,0.04807,0.1079,0.02612,1.81818,1.56827,3.13025,0.20491,3.18841,2.99094,66.3285,29.54911,5.7971,5,0.05681,0.1033,-10.42295,-11.35357
"38","2019_Q3",129.53171875,"Down",4.193e+09,-3.576e+09,6.17e+08,-3.52e+08,-3.28e+08,-2.2e+07,-2e+06,2.65e+08,-8e+06,-2.2e+07,2.57e+08,2.57e+08,-6.1e+07,1.96e+08,1.96e+08,1.96e+08,1.96e+08,4.323e+09,2.253e+09,2.07e+09,1.239e+09,3.01e+08,1.32e+08,5.863e+09,3.73e+08,4.54e+08,1.8e+08,2.04e+08,8.27e+08,6.69e+09,2.14e+09,3.73e+08,1.767e+09,1.183e+09,3e+07,3.388e+09,1.473e+09,9.3e+07,9.3e+07,1.566e+09,4.954e+09,2.4e+08,1.491e+09,5e+06,1.736e+09,1.736e+09,6.69e+09,1.96e+08,2.2e+07,1e+06,-3.12e+08,-9.3e+07,-1.4e+07,-1.4e+07,-5.52e+08,2e+06,-5.64e+08,-2.95e+08,-3.14e+08,-9.71e+08,-9.71e+08,-9.71e+08,2.87e+08,1.538e+09,2.2e+07,0.14715,0.0632,0.04674,0.1129,0.0293,0.11224,1.73052,2.85369,0.2299,3.1562,3.0625,67.52013,27.95491,0.35427,4,0.05821,0.00652999999999999,-9.70383,-10.50943
"39","2019_Q4",125.9584375,"Down",4.243e+09,-3.642e+09,6.01e+08,-3.44e+08,-3.23e+08,-2.1e+07,0,2.57e+08,-2.4e+07,-2.2e+07,2.33e+08,2.33e+08,-5.8e+07,1.75e+08,1.75e+08,1.75e+08,1.75e+08,4.436e+09,2.679e+09,1.757e+09,1.28e+09,1.61e+08,1.4e+08,5.877e+09,3.79e+08,4.45e+08,1.76e+08,1.87e+08,8.24e+08,6.701e+09,2.453e+09,4.78e+08,1.975e+09,8.4e+08,2.07e+08,3.308e+09,1.472e+09,9e+07,9e+07,1.562e+09,4.87e+09,1.6e+08,1.666e+09,5e+06,1.831e+09,1.831e+09,6.701e+09,1.75e+08,2.1e+07,-7e+06,5.3e+07,2.42e+08,-1e+07,-1e+07,3.23e+08,0,3.13e+08,-9.3e+07,-1.48e+08,4.07e+08,4.07e+08,4.07e+08,2.78e+08,1.487e+09,3.79e+08,0.14165,0.06057,0.04124,0.09558,0.02612,2.16571,1.7766,2.65975,0.22191,2.80449,2.75157,67.99679,29.34295,6.07372,7,0.05135,0.11121,-10.60791,-11.47471
"40","2020_Q1",133.819516129032,"Up",4.274e+09,-3.178e+09,1.096e+09,-8.54e+08,-3.43e+08,-2.1e+07,-4.9e+08,2.42e+08,-2e+07,-2e+07,2.22e+08,2.22e+08,-5.4e+07,1.68e+08,1.68e+08,1.68e+08,1.68e+08,4.398e+09,2.452e+09,1.946e+09,1.406e+09,1.63e+08,1.63e+08,5.967e+09,3.85e+08,4.35e+08,1.72e+08,1.84e+08,8.2e+08,6.787e+09,2.356e+09,5.02e+08,1.854e+09,9.13e+08,2.49e+08,3.269e+09,1.468e+09,9e+07,9e+07,1.558e+09,4.827e+09,1.75e+08,1.781e+09,4e+06,1.96e+09,1.96e+09,6.787e+09,1.68e+08,2.1e+07,1.3e+07,-1.66e+08,3.6e+07,-2.7e+07,-2.7e+07,-1.86e+08,0,-2.13e+08,-2e+06,-4.9e+07,-2.26e+08,-2.26e+08,-2.26e+08,2.63e+08,1.468e+09,1.24e+08,0.25643,0.05662,0.03931,0.08571,0.02475,0.7381,1.82533,2.46276,0.2163,2.73616,2.70096,69.60912,31.92182,2.01954,6,0.04775,0.03525,-11.14068,-12.10744
"41","2020_Q2",170.296825396825,"Up",4.549e+09,-3.934e+09,6.15e+08,-3.41e+08,-3.17e+08,-2e+07,-3999999.99999994,2.74e+08,-2.1e+07,-2.1e+07,2.53e+08,2.53e+08,-7.5e+07,1.78e+08,1.78e+08,1.78e+08,1.78e+08,4.375e+09,2.365e+09,2.01e+09,1.603e+09,3.46e+08,3.46e+08,6.324e+09,3.85e+08,4.2e+08,1.68e+08,1.81e+08,8.05e+08,7.129e+09,2.724e+09,7.43e+08,1.981e+09,8.2e+08,4.3e+07,3.57e+09,1.825e+09,8.7e+07,8.7e+07,1.912e+09,5.482e+09,1.4e+08,1.522e+09,-1.5e+07,1.647e+09,1.647e+09,7.129e+09,1.78e+08,2e+07,2.3e+07,-7.8e+07,1.43e+08,-2.1e+07,-2.1e+07,-8.5e+07,3e+06,-1.03e+08,-5.2e+07,-1.25e+08,-8.5e+07,-8.5e+07,-8.5e+07,2.94e+08,1.851e+09,2.7e+08,0.13519,0.06023,0.03913,0.10808,0.02497,1.51685,1.77143,3.32848,0.25964,2.95681,2.91803,75.56478,27.3588,4.48505,5,0.04965,0.07531,-8.58503,-9.21168
"42","2020_Q3",181.9459375,"Up",4.618e+09,-4199788003.67085,339147909.316119,-8.14e+08,-3.45e+08,-2.1e+07,-4.48e+08,7.738e+09,-2.9e+07,-2.4e+07,7.709e+09,3.95e+08,-1.19e+08,2.76e+08,2.76e+08,2.76e+08,2.76e+08,5.209e+09,3.303e+09,1.906e+09,1.58e+09,2.73e+08,2.73e+08,7.062e+09,3.99e+08,4.15e+08,1.64e+08,1.86e+08,8.14e+08,7.876e+09,2.836e+09,8.76e+08,1.96e+09,9.19e+08,5.4e+07,3.755e+09,2.041e+09,8.4e+07,8.4e+07,2.125e+09,5.88e+09,1.66e+08,1.798e+09,3.2e+07,1.996e+09,1.996e+09,7.876e+09,2.76e+08,2.1e+07,1.5e+07,3.02e+08,6.14e+08,-2.4e+07,-2.4e+07,1.65e+08,0,1.41e+08,-1e+06,1.88e+08,9.43e+08,9.43e+08,9.43e+08,7.759e+09,2.041e+09,8.156e+09,0.072256007842628,1.67562,0.05977,0.13828,0.03504,29.55072,1.88069,2.94589,0.25914,4.7099,4.64646,78.80546,34.06143,139.18089,4.3525065353492,0.06697,1.97913,-0.408300000000001,-0.409409999999999
"43","2020_Q4",206.43859375,"Up",5.021e+09,-4068931331.65802,496910305.133569,-6.34e+08,-3.68e+08,-2.3e+07,-2.43e+08,-7.025e+09,-2.7e+07,-2.7e+07,-7.052e+09,2.62e+08,-7.7e+07,1.85e+08,1.85e+08,1.85e+08,1.85e+08,4.965e+09,3.196e+09,1.769e+09,1.775e+09,2.13e+08,2.13e+08,6.953e+09,3.95e+08,5.33e+08,2.65e+08,1.94e+08,9.28e+08,7.881e+09,2.855e+09,5.66e+08,2.289e+09,7.01e+08,6.1e+07,3.556e+09,2.039e+09,8.5e+07,8.5e+07,2.124e+09,5.68e+09,1.81e+08,1.983e+09,3.7e+07,2.201e+09,2.201e+09,7.881e+09,1.85e+08,2.3e+07,9e+06,-3.75e+08,-1.58e+08,-1.9e+07,-1.9e+07,1.41e+08,0,6e+07,-2e+06,-2e+06,-1e+08,-1e+08,-1e+08,-7.002e+09,2.039e+09,-7.319e+09,0.107979500191335,-1.39912,0.03685,0.08405,0.02347,-39.56216,1.95529,2.58065,0.25872,3.14626,3.10403,85.39116,37.43197,-124.47279,4.15373384760823,0.04277,-1.69225,0.41788,0.41651
"44","2021_Q1",222.987049180328,"Up",5.235e+09,-4.408e+09,8.27e+08,-7.36e+08,-4.5e+08,-2.4e+07,-2.62e+08,90999999.9999981,-4e+07,-3e+07,5.1e+07,5.1e+07,-1.7e+07,3.4e+07,3.4e+07,3.4e+07,3.4e+07,6.029e+09,4.154e+09,1.875e+09,1.672e+09,1.75e+08,1.75e+08,7.876e+09,3.91e+08,1.265e+09,9.41e+08,2.55e+08,1.656e+09,9.532e+09,3.337e+09,6.41e+08,2.696e+09,1.628e+09,3.75e+08,4.965e+09,2.127e+09,3.44e+08,3.44e+08,2.471e+09,7.436e+09,1.99e+08,1.86e+09,3.7e+07,2.096e+09,2.096e+09,9.532e+09,3.4e+07,2.4e+07,1.8e+07,1.223e+09,1.299e+09,-1e+07,-1e+07,2.06e+08,-1e+06,-4.98e+08,1.9e+07,1.56e+08,9.57e+08,9.57e+08,9.57e+08,1.15e+08,2.127e+09,1.345e+09,0.15798,0.01738,0.00649,0.01622,0.00357,39.55882,1.5863,3.54771,0.22314,0.58219,0.56667,89.64041,35.89041,23.03082,5,0.00744,0.2945,-33.93043,-42.87912
"45","2021_Q2",251.241587301587,"Up",6.522e+09,-5.474e+09,1.048e+09,-7.13e+08,-4.73e+08,-3.3e+07,-2.07e+08,3.35e+08,-3e+07,-3e+07,3.05e+08,3.05e+08,-7.7e+07,2.28e+08,2.28e+08,2.28e+08,2.28e+08,6.369e+09,4.431e+09,1.938e+09,1.776e+09,1.63e+08,1.63e+08,8.308e+09,3.78e+08,1.264e+09,9.23e+08,2.75e+08,1.642e+09,9.95e+09,3.534e+09,6.95e+08,2.839e+09,1.789e+09,7.1e+07,5.323e+09,2.351e+09,1.12e+08,1.12e+08,2.463e+09,7.786e+09,1.7e+08,1.968e+09,2.6e+07,2.164e+09,2.164e+09,9.95e+09,2.28e+08,3.3e+07,4.2e+07,2.65e+08,5.68e+08,-1.6e+07,-1.6e+07,-8e+07,9e+06,-8.7e+07,-7.9e+07,-2.07e+08,2.74e+08,2.74e+08,2.74e+08,3.68e+08,2.351e+09,6.94e+08,0.16069,0.05136,0.03496,0.10536,0.02291,3.04386,1.56077,3.59797,0.23628,3.95147,3.89078,113.03293,37.50433,12.02773,7,0.04928,0.14999,-10.91848,-11.99403
"46","2021_Q3",264.10203125,"Up",6.8e+09,-5.819e+09,9.81e+08,-7.08e+08,-4.84e+08,-3.1e+07,-1.93e+08,2.73e+08,-3e+07,-3e+07,2.43e+08,2.43e+08,-5.8e+07,1.85e+08,1.85e+08,1.85e+08,1.85e+08,6.849e+09,4.608e+09,2.241e+09,1.857e+09,1.68e+08,1.68e+08,8.874e+09,3.83e+08,1.273e+09,9.29e+08,2.79e+08,1.656e+09,1.053e+10,3.593e+09,6.51e+08,2.942e+09,2.114e+09,4.2e+07,5.707e+09,2.129e+09,3.24e+08,3.24e+08,2.453e+09,8.16e+09,1.91e+08,2.153e+09,2.6e+07,2.37e+09,2.37e+09,1.053e+10,1.85e+08,3.1e+07,1e+07,2.67e+08,4.93e+08,-1.3e+07,-1.3e+07,-3.04e+08,-4e+06,-3.21e+08,6999999.99999999,7000000.00000012,1.79e+08,1.79e+08,1.79e+08,3.04e+08,2.129e+09,6.16e+08,0.14426,0.04015,0.02721,0.07806,0.01757,3.32973,1.55493,3.44304,0.20218,3.20624,3.157,117.85095,41.07452,10.67591,8.5877166799638,0.03836,0.12772,-15.52632,-17.28938
"47","2021_Q4",297.414375,"Up",7.04e+09,-6.049e+09,9.91e+08,-7.7e+08,-5.32e+08,-3.2e+07,-2.06e+08,2.21e+08,-3e+07,-3e+07,1.91e+08,1.91e+08,-4.8e+07,1.43e+08,1.43e+08,1.43e+08,1.43e+08,7.257e+09,4.357e+09,2.9e+09,1.912e+09,1.97e+08,1.97e+08,9.366e+09,3.85e+08,1.282e+09,9.15e+08,2.84e+08,1.667e+09,1.1033e+10,3.988e+09,7.97e+08,3.191e+09,2.082e+09,1e+06,6.07e+09,2.13e+09,3.15e+08,3.15e+08,2.445e+09,8.515e+09,2.05e+08,2.296e+09,1.7e+07,2.518e+09,2.518e+09,1.1033e+10,1.43e+08,3.2e+07,-2e+06,2.88e+08,4.61e+08,-2.7e+07,-2.7e+07,-6.69e+08,-2e+06,-6.98e+08,-4e+06,-4e+06,-2.41e+08,-2.41e+08,-2.41e+08,2.53e+08,2.13e+09,5.62e+08,0.14077,0.03139,0.02031,0.05679,0.01296,3.93007,1.543,3.38165,0.19306,2.46552,2.44444,121.37931,43.41379,9.68966,8.81263000797828,0.02881,0.11324,-20.26482,-23.1991
"48","2022_Q1",307.822580645161,"Up",7.409e+09,-6.362e+09,1.047e+09,-8.56e+08,-5.79e+08,-3.5e+07,-2.42e+08,1.91e+08,-5.5e+07,-3e+07,1.36e+08,1.36e+08,-3.3e+07,1.03e+08,1.03e+08,1.03e+08,1.03e+08,7.64e+09,4.438e+09,3.202e+09,2.177e+09,2.47e+08,2.47e+08,1.0064e+10,3.96e+08,1.749e+09,1.252e+09,3.91e+08,2.145e+09,1.2209e+10,4.205e+09,8.42e+08,3.363e+09,2.842e+09,3.7e+08,7.047e+09,2.173e+09,3.59e+08,3.59e+08,2.532e+09,9.579e+09,2.36e+08,2.399e+09,-5e+06,2.63e+09,2.63e+09,1.2209e+10,1.03e+08,3.5e+07,5.6e+07,4.03e+08,5.97e+08,-2.1e+07,-2.1e+07,-3.31e+08,-6.6e+07,-5.47e+08,4000000.00000001,2.1e+07,70999999.9999999,70999999.9999999,70999999.9999999,2.26e+08,2.173e+09,6.41e+08,0.14131,0.02578,0.0139,0.03916,0.00844,6.2233,1.42813,3.64221,0.17798,1.77586,1.76068,127.74138,45.34483,11.05172,7,0.01995,0.12418,-24.19027,-28.62304
"49","2022_Q2",302.096935483871,"Down",7.77e+09,-6.563e+09,1.207e+09,-8.35e+08,-5.71e+08,-4e+07,-2.24e+08,3.72e+08,-2.8e+07,-2.8e+07,3.44e+08,3.44e+08,-8.6e+07,2.58e+08,2.58e+08,2.58e+08,2.58e+08,7.792e+09,4.804e+09,2.988e+09,2.156e+09,1.98e+08,1.98e+08,1.0146e+10,3.93e+08,1.821e+09,1.305e+09,4.02e+08,2.214e+09,1.236e+10,4.41e+09,8.09e+08,3.601e+09,2.631e+09,1.8e+07,7.041e+09,2.174e+09,3.51e+08,3.51e+08,2.525e+09,9.566e+09,2.18e+08,2.657e+09,-8.1e+07,2.794e+09,2.794e+09,1.236e+10,2.58e+08,4e+07,4.2e+07,2.3e+07,3.63e+08,-2.3e+07,-2.3e+07,1.1e+08,-1.3e+07,7.4e+07,-7.7e+07,-7.7e+07,3.6e+08,3.6e+08,3.6e+08,4.12e+08,2.174e+09,4.98e+08,0.15534,0.04788,0.0332,0.09234,0.02087,1.93023,1.44099,3.42377,0.17589,4.44828,4.39523,133.96552,48.17241,8.58621,4,0.04851,0.09363,-13.63592,-15.10215
