"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2018_Q2",28.8609375,"Up",142599000,-88340000,54259000,-49334000,-37929000,-11405000,4925000,-3956000,-2032000,-1924000,969000,-312828.82351027,968999.999999993,650000,1619000,16486000,16486000,16486000,175503931.532376,154304989.456549,21198942.0758266,103856441.562989,103856441.562989,87541871.3513239,72422983.8575355,22884980.4452443,439325228.304224,57177933.4720136,14355907.1423091,390286092.704881,87885370.926325,225533115.693083,51728760.518643,461819933.319204,901145161.623428,114372663.027373,55363541.497924,10019449.7503793,48989671.7790698,34958808.6174589,21591405.1391951,13367926.6921571,150192248.63936,12464499.6207763,1059926.83730482,1059926.83730482,6597159.41796301,103871898.617155,254064147.256516,1880065718.21372,-200956000,-1052578492.56927,20823003.6439346,647354229.288385,647081014.366912,901145161.623428,16486000,8521000,2062000,-23853000,3216000,-2500000,-26775000,-65074000,-94349000,-7057000,190179000,99046000,99046000,1671000,100717000,13446000,7.45058059692383e-09,-13557000,0.3805,0.0345399999999996,0.11561,0.0765745991240749,0.0521276156495986,-0.82233,2.90721296098354,0.385047514784095,0.0900473515040714,0.2349,0.23264,2.03182,9.22608531884577,-0.19317,0.10055,0.0714401738982949,-0.0577352297695263,0.42806,3.4355834792066,1.73801746073552
"29","2018_Q3",31.9387301587302,"Up",253989000,-148804000,105185000,-65402000,-50483000,-14919000,39783000,-1829000,-1841000,12000,37954000,-48999.9999999999,37905000,40380000,81887000,67020000,67020000,67020000,234671000,194016000,40655000,141501000,141501000,126594000,26803000,26803000,529569000,60700000,45642000,430630000,102182000,275228000,5648000.00000001,536972000,1066541000,125644000,65110000,8713000,51821000,30772000,22067000,8705000,158416000,15422000,2081000,2081000,7033000,210292000,368708000,1887275000,-200956000,-1012983000,24497000,697833000,697833000,1066541000,67020000,9113000,-45577000,-10345000,20211000,-2975000,-22685000,85999.9999999925,-25574000,-7068000,-6173000,-11536000,-11536000,3213000,-8323000,48896000,196870000,-4804000,0.41413,0.15663,0.26387,0.09604,0.06284,-0.07168,3.3429,0.52836,0.18459,0.95068,0.94458,3.60283,9.89876,-0.06814,0.10026,0.0814,-0.00527999999999999,0.10546,-0.77309,-0.950180000000001
"30","2018_Q4",28.4685714285714,"Down",223480000,-134259000,89221000,-62460000,-48283000,-14177000,26761000,-2092000,-1776000,-316000,24669000,-82000,24587000,-3310000,22606000,22606000,22717000,22717000,221472000,179376000,42096000,156678000,156678000,132298000,31432000,31432000,541880000,61537000,47585000,440428000,106195000,282205000,5716000,549550000,1091430000,129313000,67589000,7953000,53771000,33585000,24612000,8973000,164898000,18966000,5268000,5268000,7153000,213436000,378334000,1892145000,-200956000,-997342000,18373000,712220000,713096000,1091430000,22606000,9987000,4771000.00000001,-18033000,19331000,-3645000,-402000,-17989000,-22036000,-7077000,-7577000.00000003,-10282000,-10282000,-4358000,-14640000,36748000,196470000,18380000,0.39923,0.11975,0.10165,0.03186,0.02081,0.80909,3.28615,0.53055,0.18001,0.32179,0.32003,3.16566,10.08882,0.26036,0.10025,0.03209,0.01979,0.31153,-0.68036,-0.93427
"31","2019_Q1",29.4360655737705,"Up",11492000,-14076000,-2584000,-36762000,-30327000,-6435000,-39346000,-3066000,-1990000,-1076000,-42412000,-583000,-42995000,9531000,-38395000,10352000,10241000,10241000,243989000,197708000,46281000,125192000,125192000,96986000,97889000,31741000,564056000,59988000,7237000,463976000,99956000,255876000,64346000,531201000,1095257000,122346000,55873000,6746000,59727000,40271000,25884000,14387000,164617000,18737000,4255000,4255000,7347000,212808000,377425000,1899275000,-200956000,-994074000,13587000,717832000,717832000,1095257000,10352000,9808000,5410000,5636000,31206000,-3467000,-764000,-2778000.00000003,-6509000,-7083000,-6152000,18545000,18545000,-213000,18332000,-29538000,196071000,-36900000,-0.22485,-3.42377,0.89114,0.01427,0.00935,-3.60316,3.42647,0.52578,0.17902,0.14489,0.14434,0.16259,10.15594,-0.52206,0.10021,0.01858,-0.03957,0.69163,1.62225,1.21786
"32","2019_Q2",35.1807936507937,"Up",179368000,-107287000,72081000,-66689000,-53541000,-13148000,5392000,-4897000,-4867000,-30000,495000.000000007,-59000,436000,5830000,6266000,14415000,14415000,14415000,135819000,135791000,28000,164516000,164516000,110070000,110397000,42063000,520802000,96124000,2489000,877316000,279233000,490525000,84271000,975929000,1496731000,134812000,70814000,6131000,57867000,46741000,31091000,15650000,191080000,44174000,4499000,4499000,24120000,575456000,766536000,1903742000,-200956000,-987725000,15134000,730195000,730195000,1496731000,14415000,11838000,-4746000,-15243000,6264000,-3560000,50171000,-445210000,-398599000,-7208000,331422000,-60913000,-60913000,-1004000,-61917000,17230000,540809000,-7403000,0.40186,0.0300600000000002,0.0803699999999999,0.01974,0.00963,-0.513560000000001,2.72557,1.04977,0.36133,0.20175,0.19975,2.5104,10.21966,-0.10361,0.10088,0.01644,-0.00563,0.50003,23.50493,75.10942
"33","2019_Q3",35.64953125,"Up",198389000,-117874000,80515000,-66474000,-52373000,-14101000,14041000,-8479000,-7702000,-777000,5562000,-9421000,-3859000,1030000,-2829000,3421000,3421000,3421000,137264000,137217000,47000,163653000,163653000,108512000,100061000,35056000,509490000,97939000,2795000,877653000,270793000,492526000,86322000,978387000,1487877000,124633000,56934000,7276000,60423000,45583000,31200000,14383000,178330000,44252000,4717000,4717000,23557000,579636000,757966000,1910540000,-200956000,-991525000,11852000,729911000,729911000,1487877000,3421000,14501000,8591000,-10548000,15965000,-6116000,0,2506000,-3610000,-7221000,-11380000,975000,975000,451000,1426000,28542000,543498000,10848000,0.40584,0.07078,0.01724,0.00469,0.0023,3.171,2.85701,1.03844,0.36528,0.04747,0.04734,2.75273,10.12781,0.15052,0.10019,0.00808,0.00823,2.11079,14.23285,28.93198
"34","2019_Q4",41.4315625,"Up",203880000,-120370000,83510000,-66831000,-52595000,-14236000,16679000,-8241000,-7932000,-309000,8438000,-256000,8182000,-7260000,922000,7254000.00000001,7253999.99999999,7253999.99999999,156887000,156852000,35000,163105000,163105000,104786000,102106000,40441000,526884000,98330000,2874000,864772000,262195000,490545000,86687000,965976000,1492860000,117857000,47789000,7784000,62284000,50809000,30598000,20211000,174992000,44994000,4865000,4865000,24104000,579742000,754734000,1915995000,-200956000,-991499000,14586000,738126000,738126000,1492860000,7254000,14090000,7217000,7451000,36012000,-5872000,3.72529029846191e-09,0,-5872000.00000006,-7229000,-10242000,19898000,19898000,-263000,19635000,30769000,541074000,39608000,0.4096,0.0818100000000001,0.03558,0.00983,0.00486,5.46016,3.0109,1.0225,0.36244,0.10049,0.10004,2.82425,10.22491,0.54867,0.10014,0.01094,0.02991,0.99655,12.48617,23.03417
"35","2020_Q1",35.98,"Down",-247458000,145956000,-101502000,19347000,-4822000,24169000,-82155000,-570000,-3e+05,-270000,-82725000,-5991000,-88716000,23230000,-65486000,412326000,412326000,412326000,335766000,301642000,34124000,165602000,165602000,99445000,46332000,46332000,647145000,100669000,2845000,765340000,251168000,488602000,20506000,868854000,1515999000,233791000,58919000,99263000,75609000,37650000,29435000,8215000,272270000,54460000,5338000,5338000,28486000,104775000,377045000,1922811000,-200956000,-586412000,3511000,1138954000,1138954000,1515999000,412326000,14025000,-418307000,24613000,32657000,-8313000,-33936000,661642000,619393000,-7237000,-500961000,151089000,151089000,-2770000,148319000,-68130000,51144000,-75060000,0.41018,0.332,-1.66625,0.36202,0.27198,-0.18204,2.37685,0.33104,0.03374,5.70622,5.67903,-3.4246,15.76211,-1.03876,0.10015,0.33712,-0.06031,0.01755,4.17763,3.46445
"36","2020_Q2",37.9334920634921,"Up",210500000,-125514000,84986000,-73744000,-59343000,-14401000,11242000,-455000,-38000,-417000,10787000,-576000,10211000,2962999.99999999,13174000,13057000,13057000.0000001,13057000.0000001,346552000,335319000,11233000,165176000,165176000,105181000,46560000,46560000,663469000,105296000,3039000,787154000,242248000,490370000,48532000,895489000,1558958000,244746000,65306000,100451000,78989000,37379000,29042000,8337000,282952000,67393000,5397000,5397000,48360000,117311000,400263000,1927221000,-200956000,-580724000,13154000,1158695000,1158695000,1558958000,13057000,16477000,-3261000,-530000.000000004,25743000,-9614000,22842000,492470108.05874,13228000.0000001,-7369000,-8101999.99999988,30869000,30869000,2808000,33677000,27719000,50745000,14612000,0.40373,0.05341,0.0620299999999996,0.01127,0.00838,1.11909,2.34481,0.34544,0.03255,0.17893,0.177300000000001,2.88467,15.87862,0.20024,0.10098,0.016,0.01144,0.56437,-10.67163,-26.31267
"37","2020_Q3",48.1328125,"Up",220227000,-129946000,90281000,-75131000,-59809000,-15322000,15150000,-1980000,-581000,-1399000,13170000,-578000.000000001,12592000,-3400000,9192000,9127000,9127000,9127000,242436000,242274000,162000.000000004,179014000,179014000,107699000,43379000,43379000,572528000,108744000,2555000,795504000,236095000,498502000,55827000,906803000,1479331000,158272000,63958000,9134000,85180000,37935000,29090000,8845000,197035000,71212000,5594000,5594000,53428000,121163000,318198000,1933765000,-200956000,-578975000,7299000,1161133000,1161133000,1479331000,9127000,16602000,-88554000,-2975000,-65800000,-11556000,11033000,-15743000,-17266000,-7378000,-5368000,-88434000,-88434000,-4611000,-93045000,31752000,50779000,20621000,0.40995,0.06879,0.04144,0.00785999999999998,0.00617000000000004,2.25934,2.90572,0.27404,0.03433,0.12386,0.12357,2.98856,15.757,0.27983,0.10012,0.01286,0.01607,0.80837,-6.03606,-12.65063
"38","2020_Q4",62.08515625,"Up",220350000,-127562000,92788000,-73718000,-59714000,-14004000,19070000,-283000,-781000,498000,18787000,29000,18816000,-5120000,13696000,13696000,13696000,13696000,256769000,256633000,136000,183167000,183167000,117686000,44389000,44389000,602011000,111416000,2939000,787551000,226623000,500062000,57377000,901906000,1503917000,165497000,70344000,16253000,78900000,39480000,31162000,8318000,205805000,73696000,5724000,5724000,57359000,123259000,329064000,1937491000,-200956000,-572659000,10977000,1174853000,1174853000,1503917000,13696000,16681000,4304000.00000003,-8557000,26124000,-8515000,0,0,-8515000,-7380000,-8110000,9499000.00000001,9499000.00000001,4898000,14397000,35751000,50391000,23799000,0.42109,0.08654,0.06216,0.01166,0.00911,1.73766,2.92515,0.28009,0.03351,0.18569,0.1856,2.98751,15.9287,0.32267,0.10006,0.01623,0.01832,0.53884,-5.77265,-10.82213
"39","2021_Q1",80.3959016393443,"Up",-262540000,166633000,-95907000,14519000,-11390000,25909000,-81388000,-974000,-695000,-279000,-82362000,451000,-81911000,19487000,-62424000,28973000,28973000,28973000,250700000,250649000,50999.9999999999,94791000,94791000,37125000,266837000,43974000,649453000,88735000,3101000,817976000,212323000,453177000,148500000,909812000,1559265000,99472000,25689000,1975000,71808000,110819000,25776000,85043000,211118000,84945000,895000,895000,66253000,134533000,345651000,1943723000,-200956000,-551072000,21919000,1213614000,1213614000,1559265000,28973000,15736000,7699000,-609000,51799000,-10239000,51000,-1000.0000000149,-10189000,-7386000,-5443000,36167000,36167000,6159000,42326000,-65652000,50415000,-95987000,0.3653,0.31,-0.11036,0.02387,0.01858,-3.31298,3.07626,0.28481,0.03233,0.39254,0.39099,-3.55702,16.44263,-1.30048,0.10007,0.02695,-0.07116,0.25493,3.05071,2.46087000000002
"40","2021_Q2",96.8003174603175,"Up",118142000,-60807000,57335000,-57018000,-51930000,-5088000,317000.00000003,8e+05,-481000,1281000,1117000,40000,1157000,1550000,2707000,26029000,26029000,26029000,308572000,308517000,55000,196679000,196679000,123917000,45988000,45988000,675156000,126947000,3410000,809219000,219866000,512989000,71599000,939576000,1614732000,181467000,67811000,15972000,97684000,43889000,35661000,8228000,225770000,87179000,6741000,6741000,65306000,136808000,362578000,1950433000,-200956000,-532468000,35145000,1252154000,1252154000,1614732000,26028000,15746000,2755000,-798999.999999999,43730000,-15227000,-4000.00000000012,-15061000,-30292000,-7424000,-8157000,5281000,5281000,11250000,16531000,16063000,50043000,-1512999.99999997,0.48531,0.00268000000000007,0.22032,0.02079,0.01612,-0.0581299999999989,2.99046,0.28956,0.03099,0.35164,0.3504,1.59606,16.9162,-0.02044,0.1003,0.02408,-0.00109,0.28522,-16.09469,-815.5489
"41","2021_Q3",89.5553125,"Down",129535000,-71635000,57900000,-67129000,-61893000,-5236000,-9229000,-325000,-433000,108000,-9554000,-93000.0000000001,-9647000,2310000,-7337000,23747000,23747000,23747000,320206000,320105000,101000,225389000,225389000,127987000,50908000,50908000,724490000,132420000,3485000,803701000,209899000,513093000,70845000,939606000,1664096000,220395000,77741000,23889000,118765000,44837000,36793000,8044000,265646000,82771000,6353000,6353000,60976000,132424000,398070000,1960497000,-200956000,-516152000,22637000,1266026000,1266026000,1664096000,23748000,15797000,2387000,-7720000,34212000,-10304000,-46000,13259000,2909000,-7432000,-5168000,31953000,31953000,-5199000,26754000,6568000,50067000,-13766000,0.44698,-0.07125,0.18332,0.01876,0.01427,-0.57969,2.72728,0.31442,0.03009,0.31977,0.31896,1.74427,17.04787,-0.18537,0.10008,0.02229,-0.00984,0.31297,-41.12957,29.2706699999999
"42","2021_Q4",111.534761904762,"Up",129087000,-66656000,62431000,-63314000,-57825000,-5489000,-883000,-1720000,-68000,-1652000,-2603000,0,-2602999.99999999,760000,-1843000,39165000,39165000,39165000,269963000,269862000,101000,234079000,234079000,154720000,58455000,58455000,717217000,146522000,3637000,895879000,254937000,551326000,85169000,1046038000,1763255000,267507000,98192000,22232000,147083000,43553000,35421000,8132000,311060000,94715000,6536000,6536000,71884000,144366000,455426000,1966583000,-200956000,-484417000,26619000,1307829000,1307829000,1763255000,39166000,17141000,6184000,-17687000,44804000,-9075000,0,-92376000,-101451000,-7432000,-8123000,-64770000,-64770000,1531000,-63239000,16258000,49651000,-11264000,0.48364,-0.00684,0.3034,0.02995,0.02221,-0.2876,2.30572,0.34823,0.02816,0.52824,0.52664,1.74108,17.63952,-0.15192,0.10024,0.03209,-0.00776,0.18976,-13.55099,249.50396
