"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",10.805625,"Down",118169000,-73082000,45087000,-57997000,-57997000,-12910000,-2103000,-2103000,-15013000,-15485000,3810000,77000,-11598000,-11598000,-11598000,-11598000,11904000,11904000,87622000,87622000,177567000,16262000,16262000,293355000,27052000,406508000,371087000,2015000,433560000,726915000,83811000,34119000,49588000,1436000,85247000,308628000,55299000,34730000,20569000,363927000,449174000,255614000,48068000,-25941000,277741000,277741000,726915000,-11598000,4309000,1047000,18780000,12538000,-2408000,-220340000,-652000,224842000,211954000,4152000,4152000,4304000,-8601000,310064000,3961000,0.38155,-0.10925,-0.09815,-0.04176,-0.01596,-0.34152,3.44124,1.61724,0.42655,-0.69863,-0.69863,7.11819,16.73038,0.2386,0.03927,-0.01702,0.00616,-0.05622,-34.66574,-23.09527
"32","2018_Q3",11.061746031746,"Up",148651000,-96573000,52078000,-54984000,-54984000,-2906000,-4676000,-4676000,-7582000,-7977000,1765000,155000,-6057000,-6057000,-6057000,-6057000,5999000,5999000,93100000,93100000,197879000,18807000,14712000,315785000,25643000,400618000,366198000,1962000,426261000,742046000,96852000,43915000,52937000,1323000,98175000,322906000,55126000,34279000,20847000,378032000,476207000,256389000,41126000,-31676000,265839000,265839000,742046000,-6057000,6422000,1209000,-19878000,-18304000,-760000,-759999.99999997,-883000,14564000.0000001,13429000,-5635000,-5635000,-5905000,3516000,324229000,-18887000,0.35034,-0.01955,-0.04075,-0.02278,-0.00816,3.11821,3.21655,1.79134,0.43694,-0.29769,-0.29769,7.30579,13.06527,-0.92824,0.0434,-0.00802,-0.02927,-0.14578,90.5091,-109.50791
"33","2018_Q4",9.81603174603175,"Down",209448000,-135663000,73785000,-58725000,-58725000,15060000,-5634000,-5634000,9426000,6669000,-906000,185000,5948000,5948000,5948000,5948000,5763000,5763000,147520000,147520000,209203000,16242000,13290000,378728000,26455000,395251000,359369000,1825000,421706000,800434000,121319000,60026000,61293000,1322000,122641000,350236000,55547000,34381000,21166000,405783000,528424000,257755000,46169000,-31914000,272010000,272010000,800434000,5948000,6076000,3728000,-40415000,-24663000,-2252000,-1841000,-870000,27128000,26340000,-164000,-164000,-236000,21136000,351558000,-20625000,0.35228,0.0719,0.0284,0.02187,0.00743,-3.46755,3.0881,1.94266,0.43921,0.29127,0.29127,10.2565,13.32011,-1.00999,0.0426,0.01004,-0.03037,0.14627,16.36048,22.96116
"34","2019_Q1",9.48475409836066,"Down",228274000,-143467000,84807000,-60943000,-60943000,23864000,-5591000,-5591000,18273000,17302000,-7558000,243000,9987000,9987000,9987000,9987000,7647000,7647000,125292000,125292000,173601000,12264000,10822000,318804000,25762000,364006000,338847000,1844000,389768000,708572000,83623000,38167000,45456000,1253000,84876000,304774000,39429000,16090000,23339000,344203000,429079000,258845000,55264000,-34616000,279493000,279493000,708572000,9987000,6522000,2070000,31025000,49604000,-2233000,-1239000.00000001,-868000,-45591000,-46435000,1930000,1930000,1884000,30386000,306027000,66736000,0.37151,0.10454,0.04375,0.03573,0.01409,6.68229,3.75611,1.5352,0.43189,0.48862,0.48862,11.16855,13.67449,3.26513,0.04247,0.01737,0.10679,0.08691,9.81965,12.50335
"35","2019_Q2",8.5715873015873,"Down",149926000,-95605000,54321000,-5.6e+07,-5.6e+07,-1679000,-4922000,-4922000,-6601000,-7209000,2458000,-116000,-4867000,-4867000,-4867000,-4867000,6143000,6143000,92727000,92727000,187278000,14889000,10897000,301037000,26069000,453284000,336434000,94227000,479353000,780390000,80613000,32016000,48597000,10757000,101627000,279369000,123083000,16194000,106889000,402452000,504079000,259513000,49499000,-32701000,276311000,276311000,780390000,-4867000,6359000,2005000,13972000,17469000,-1393000,-1393000,-906000,-16499000,-17637000,-1561000,-1561000,-1504000,4680000,290126000,14801000,0.36232,-0.0112,-0.03246,-0.01761,-0.00624,-3.04109,2.96218,1.82432,0.37177,-0.2373,-0.2373,7.3099,13.47201,0.72165,0.04417,-0.00574,0.02147,-0.18615,60.68013,-169.13818
"36","2019_Q3",8.16203125,"Down",142536000,-98517000,44019000,-56391000,-56391000,-12372000,-4694000,-4694000,-17066000,-17239000,5795000,-69000,-11513000,-11513000,-11513000,-11513000,10535000,10535000,91109000,91109000,205607000,23414000,12724000,330665000,26563000,465473000,331314000,113102000,492036000,822701000,99461000,48495000,50966000,13261000,123885000,294975000,140737000,16052000,124685000,435712000,559597000,260674000,37090000,-34660000,263104000,263104000,822701000,-11513000,6290000,10812000,-15916000,-10327000,-2474000,-2474000,-880000,18070000,17165000,4364000,4364000,4392000,-6082000,308236000,-30267000,0.30883,-0.0868,-0.08077,-0.04376,-0.01399,2.62894,2.66913,2.1269,0.37466,-0.56041,-0.56041,6.93808,12.80685,-1.47328,0.04283,-0.01493,-0.04251,-0.07644,-48.94788,-24.06248
"37","2019_Q4",6.81609375,"Down",215502000,-142561000,72941000,-55926000,-55926000,17015000,-5889000,-5889000,11126000,1757000,-15066000,-210000,-13519000,-13519000,-13519000,-13519000,4761000,4761000,161935000,161935000,229947000,9842000,9842000,406485000,28229000,449018000,316343000,112248000,477247000,883732000,130456000,67784000,58252000,4264000,145461000,349957000,140389000,15896000,124493000,490346000,635807000,262172000,22634000,-36881000,247925000,247925000,883732000,-13519000,6122000,11392000,-51096000,-47101000,-3751000,-3751000,-907000,46258000,45351000,-5501000,-5501000,-5774000,23137000,354221000,-16644000,0.33847,0.07896,-0.06273,-0.05453,-0.0153,1.23116,2.79446,2.56451,0.40082,-0.66179,-0.66179,10.54934,12.13653,-0.81476,0.0444,-0.01699,-0.02242,-0.06709,15.10395,20.53835
"38","2020_Q1",6.19661290322581,"Down",226938000,-143028000,83910000,-65844000,-65844000,18066000,-5275000,-5275000,12791000,-21082000,5704000,862000,-14516000,-14516000,-14516000,-14516000,11370000,11370000,128639000,128639000,173427000,15717000,14140000,329153000,28168000,391413000,280471000,110942000,440870000,770023000,88233000,36173000,52060000,8413000,107307000,287103000,139296000,14902000,124394000,426399000,533706000,263599000,7173000,-34455000,236317000,236317000,770023000,-14516000,6344000,33136000,44867000,69831000,-1551000,-1551000,-878000,-60907000,-61795000,6485000,6485000,6609000,24410000,295516000,62022000,0.36975,0.07961,-0.06396,-0.06143,-0.01885,-4.27266,3.0674,2.25843,0.38378,-0.69435,-0.69435,10.85516,11.30379,2.96671,0.042,-0.02032,0.09241,-0.06048,11.64056,15.72822
"39","2020_Q2",5.12555555555556,"Down",145070000,-92136000,52934000,-58079000,-58079000,-5145000,-4736000,-4736000,-9881000,-32232000,3729000,339000,-28164000,-28164000,-28164000,-28164000,85283000,85283000,80273000,80273000,164711000,18894000,13395000,349161000,26846000,382462000,254773000,106051000,409308000,758469000,70168000,27706000,42462000,8175000,89112000,328648000,139782000,15291000,124491000,468430000,557542000,264620000,-21923000,-41770000,200927000,200927000,758469000,-28164000,6234000,27325000,28292000,33687000,-1222000,-1222000,-934000,42966000,41733000,74198000,74198000,73913000,1089000,336823000,24430000,0.36489,-0.03547,-0.19414,-0.14017,-0.03713,-0.86742,3.91823,2.77485,0.44408,-1.35763,-1.35763,6.99301,9.68556,1.17763,0.04502,-0.04019,0.03606,-0.03316,230.98255,-48.89018
"40","2020_Q3",8.26328125,"Up",150140000,-95972000,54168000,-49619000,-49619000,4549000,-4230000,-4230000,318999.999999996,-98000,-3031000,-848000,-3977000.00000001,-3977000.00000001,-3977000.00000001,-3977000.00000001,63537000,63537000,111361000,111361000,168928000,14715000,12249000,358541000,25100000,370161000,250515000,102626000,395261000,753802000,128792000,66678000,62114000,13527000,152979000,269720000,136232000,13878000,122354000,405952000,558931000,265848000,-26813000,-44164000,194871000,194871000,753802000,-3977000.00000001,6061000,4330000,26108000,32522000,-158000,-158000,-2999.99999999988,-53882000,-54072000,-21708000,-21708000,-21746000,10610000,283247000,39591000,0.36078,0.0303,-0.02649,-0.02041,-0.00528,-9.95499,2.34373,2.86821,0.37576,-0.19099,-0.19099,7.2103,9.35845,1.90131,0.000140000000000001,-0.00647,0.06444,-0.000750000000000001,20.70782,48.29853
"41","2020_Q4",12.139375,"Up",224750000,-145958000,78792000,-57286000,-57286000,21506000,-4128000,-4128000,17378000,17477000,-3711000,147000,13913000,13913000,13913000,13913000,42675000,42675000,180289000,180289000,209825000,9619000,9619000,442408000,23839000,365599000,247180000,100685000,389438000,831846000,192198000,109509000,81167000,18522000,222049000,263381000,134623000,14046000,120577000,398004000,620053000,267418000,-13842000,-41783000,211793000,211793000,831846000,13913000,6090000,2696000,-39700000,-17001000,-265000,-265000,-925000,-2976000,-3901000,-21167000,-21167000,-20862000,27596000,281903000,-8658000,0.35058,0.09569,0.0619,0.06569,0.01673,-0.6223,1.99239,2.92764,0.33889,0.66452,0.66452,10.73458,10.11573,-0.41353,0.04418,0.02362,-0.01378,0.06648,8.66894,11.12378
"42","2021_Q1",14.0332786885246,"Up",249209000,-161105000,88104000,-63733000,-63733000,24371000,-4183000,-4183000,20188000,20402000,-6853000,1672000,15221000,15221000,15221000,15221000,35963000,35963000,170037000,170037000,203164000,12129000,12129000,421293000,23120000,343036000,244025000,99011000,386188000,807481000,150933000,66095000,80050000,17657000,180070000,266279000,130996000,12158000,118838000,397275000,577345000,268884000,424000,-39172000,230136000,230136000,807481000,15221000,6279000,-1831000,-24064000,-4395000,-437000,-437000,-1789000,-62000,-1995999.99999999,-6828000,-6828000,-6712000,30650000,283936000,13002000,0.35353,0.09779,0.06108,0.06614,0.01885,0.854209999999999,2.33961,2.50871,0.35163,0.72706,0.72706,11.90394,10.99288,0.62107,0.08545,0.02637,0.02016,0.11753,8.09047000000002,10.17492
"43","2021_Q2",14.9439682539683,"Up",195653000,-129653000,6.6e+07,-56754000,-56754000,9246000,-4014000,-4014000,5232000,5730000,-2416000,-247000,3067000,3067000,3067000,3067000,30641000,30641000,131251000,131251000,210265000,10128000,10128000,382285000,22168000,336840000,239927000,96913000,380143000,762428000,142143000,60570000,74625000,11569000,165853000,234968000,128201000,12158000,116043000,363169000,529022000,268127000,2548000,-37489000,233406000,233406000,762428000,3067000,5958000,1244000,26013000,36282000,-674000,-852000,-1010000,-37808000,-40794000,-5364000,-5364000,-5322000,15204000,246537000,42959000,0.33733,0.04726,0.01568,0.01314,0.00402,14.00685,2.30496,2.26653,0.32336,0.14545,0.14088,9.27881,11.05881,2.03732,0.0479,0.0067,0.07064,0.32931,14.19995,23.35021
"44","2021_Q3",16.331875,"Up",186636000,-120475000,66161000,-55160000,-55160000,11001000,-3819000,-3819000,7182000,7228000,-1832000,393000,5789000,5789000,5789000,5789000,33345000,33345000,120494000,120494000,218184000,10890000,9140000,382913000,22544000,330327000,235762000,94565000,376649000,759562000,133459000,55392000,78067000,11530000,157289000,235377000,125095000,12277000,112818000,360472000,517761000,268976000,7423000,-34818000,241801000,241801000,759562000,5789000,5765000,8e+05,-6505000,5849000,-1823000,-1823000,-947000,999.999999992549,-1420000,2606000,2606000,2704000,16766000,246907000,10270000,0.35449,0.05894,0.03102,0.02394,0.00762,1.77405,2.43446,2.14127,0.32506,0.27454,0.2659,8.85118,11.45694,0.48705,0.04491,0.01097,0.01673,0.16359,12.7378,19.41296
"45","2021_Q4",16.8865625,"Up",224777000,-141662000,83115000,-60935000,-60935000,22180000,-3835000,-3835000,18345000,17965000,-5589000,195000,12571000,12571000,12571000,12571000,8682000,8682000,169223000,169223000,256922000,8991000,8991000,443818000,21629000,322216000,231014000,91202000,365989000,809807000,171325000,60594000,108579000,8549000,192271000,240329000,121232000,12475000,108757000,361561000,553832000,270309000,18999000,-33553000,255975000,255975000,809807000,12571000,5837000,978000,-46919000,-27533000,-864000,2197000,-956000,1572000,757000,-24579000,-24579000,-24663000,28017000,248878000,-14177000,0.36977,0.09868,0.05593,0.04911,0.01552,-1.12775,2.30829,2.16362,0.30733,0.589,0.57235,10.53165,11.98309,-0.66425,0.04479,0.02161,-0.02264,0.07605,8.57322,10.8294
"46","2022_Q1",13.6743548387097,"Down",255858000,-167815000,88043000,-64868000,-64868000,23175000,-3856000,-3856000,19319000,5457000,-6704000,621000,-626000,-626000,-626000,-626000,27982000,27982000,175076000,175076000,270516000,11499000,11499000,485073000,20748000,300958000,212678000,88280000,344001000,829074000,195418000,82573000,112241000,5771000,213801000,241873000,117754000,14314000,103440000,359627000,573428000,271776000,17419000,-33549000,255646000,255646000,829074000,-626000,4960000,17325000,731000.000000007,22390000,-625000,-625000,-930000,-1637000,-2570000,19195000,19195000,19300000,28135000,247644000,34945000,0.34411,0.09058,-0.00245000000000001,-0.00245,-0.000759999999999999,-55.82268,2.26881,2.24305,0.2987,-0.02824,-0.0278900000000001,11.54229,11.53273,1.57644,0.04195,0.000490000000000001,0.05627,-1.48562,7.80743,9.4784
"47","2022_Q2",11.646935483871,"Down",182717000,-119649000,63068000,-58713000,-58713000,4355000,-3767000,-3767000,588000,1637000,-1673000,416000,380000,380000,380000,380000,14846000,14846000,117301000,117301000,275202000,13237000,13237000,420586000,19525000,312028000,225231000,86797000,354327000,774913000,150041000,62860000,85414000,1088000,164770000,240703000,113708000,14435000,99273000,354411000,519181000,271698000,16839000,-33028000,255732000,255732000,774913000,380000,4899000,-419000,8544000,13404000,-382000,-18359000,-1004000,-6145000,-8155000,-13110000,-13110000,-13136000,9254000,241791000,19089000,0.34517,0.02383,0.00208,0.00149,0.00049,50.23421,2.55256,2.03018,0.31202,0.01763,0.01763,8.47639,11.85327,0.88555,0.04658,0.00226,0.03123,2.64211,24.52399,52.11137
"48","2022_Q3",9.35328125,"Down",151314000,-96147000,55167000,-55631000,-55631000,-463999.999999998,-3732000,-3732000,-4196000,-3892000,98000,334000,-3460000,-3460000,-3460000,-3460000,7197000,7197000,106164000,106164000,295139000,18663000,14934000,427163000,18740000,304687000,221306000,83381000,345525000,772688000,141362000,61848000,79514000,24958000,180194000,237564000,109562000,14528000,95034000,347126000,527320000,273279000,8224000,-36356000,245368000,245368000,772688000,-3460000,5038000,750000,-24589000,-22261000,-1097000,-1076000,-925000,20723000,15900000,-7437000,-7437000,-7649000,4574000,262522000,-21210000,0.36459,-0.00307000000000001,-0.02287,-0.0141,-0.00448,6.13005999999999,2.37057,2.1491,0.33975,-0.16051,-0.16051,7.01958,11.37256,-0.98395,0.04291,-0.00411,-0.03435,-0.267340000000001,55.82094,-550.2694
