"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2019_Q2",34.114126984127,"Down",633552000,-397488000,236064000,-210503000,-201859000,-8644000,25561000,-10320000,-10320000,15241000,14593000,-2550000,12043000,12043000,12043000,12043000,48312000,48312000,478371000,478371000,538955000,105914000,96545000,1171552000,89848000,1121783000,438675000,260578000,41486000,355832000,1274992000,2446544000,255013000,172806000,82207000,540231000,308400000,14777000,293623000,719487000,1259718000,457099000,-13196000,761344000,-18421000,1186826000,1186826000,2446544000,12043000,9473000,29040000,-75885000,-25329000,-13291000,-13291000,22509000,-5686000,16863000,-21757000,-21757000,-69000,-21826000,35034000,411087000,-51592000,0.3726,0.04035,0.01901,0.01015,0.00492,-4.28398,2.16861,1.06142,0.16803,0.24688,0.24195,12.98768,24.32968,-1.05762,0.00632,-0.02706,10.35494,14.19252
"32","2019_Q3",25.06125,"Down",643892000,-412123000,231769000,-204844000,-196448000,-8396000,26925000,-10785000,-10785000,16140000,15389000,-4270000,11119000,11119000,11119000,11119000,39568000,39568000,464663000,464663000,842136000,105853000,93353000,1452220000,85548000,1110895000,439409000,260687000,40444000,345102000,1260216000,2712436000,442745000,346642000,96103000,697228000,294270000,15019000,279251000,847388000,1544616000,456459000,-44254000,772463000,-16848000,1167820000,1167820000,2712436000,11119000,9789000,21716000,-150202000,-107578000,-6180000,-6180000,140728000,-1680000,103908000,-9850000,-9850000,1106000,-8744000,36714000,553801000,-115398000,0.35995,0.04182,0.01727,0.00952,0.0041,-10.37845,2.08285,1.32265,0.20417,0.22946,0.22647,13.2879,24.10013,-2.38145,0.00552,-0.05724,14.00646,19.09872
"33","2019_Q4",28.3121875,"Up",1128403000,-729384000,399019000,-258503000,-246580000,-11923000,140516000,-12518000,-12518000,127998000,131021000,-35634000,95387000,95387000,95387000,95387000,55801000,55801000,899029000,899029000,650633000,80270000,77328000,1685733000,90830000,1152044000,437247000,259926000,39297000,328208000,1242874000,2928607000,384648000,215217000,169431000,713249000,280315000,14300000,266015000,955056000,1668305000,457542000,-42030000,867850000,-23060000,1260302000,1260302000,2928607000,95387000,9701000,23244000,-215594000,-87262000,-14446000,-14446000,119685000,-885000,118684000,16976000,16976000,-743000,16233000,150217000,675396000,-44189000,0.35361,0.12453,0.08453,0.07569,0.03257,-0.46326,2.36346,1.32373,0.23062,1.99717,1.97505,23.62603,26.38768,-0.92521,0.04304,-0.01994,4.12467,4.40943
"34","2020_Q1",22.7724193548387,"Down",754617000,-503529000,251088000,-197065000,-187293000,-9772000,54023000,-11933000,-10784000,42090000,21095000,4193000,25288000,25288000,25288000,25288000,197372000,197372000,530137000,530137000,551918000,89261000,80695000,1368688000,76023000,1120426000,438658000,260622000,38363000,302661000,1196449000,2565137000,315092000,204786000,110306000,613960000,263711000,7952000,255759000,660505000,1274465000,452406000,-36864000,893138000,-18008000,1290672000,1290672000,2565137000,25288000,9772000,49989000,344141000,429190000,-6177000,-6177000,-280064000,-3988000,-283937000,139076000,139076000,2495000,141571000,63795000,397467000,397566000,0.33274,0.07159,0.03351,0.01959,0.00986,15.72153,2.22928,0.98744,0.15495,0.52863,0.52235,15.77476,26.98062,8.31085,0.01296,0.20369,3.13653,3.70389
"35","2020_Q2",11.0422222222222,"Down",405131000,-280730000,124401000,-167674000,-154620000,-13054000,-43273000,-10379000,-10379000,-53652000,-55708000,16413000,-39295000,-39295000,-39295000,-39295000,616183000,616183000,421143000,421143000,500410000,76318000,66594000,1614054000,72918000,1111989000,437643000,259922000,37321000,284256000,1184907000,2798961000,184388000,114750000,69638000,406534000,245511000,7797000,237714000,1146193000,1552727000,450104000,-35679000,853843000,-22034000,1246234000,1246234000,2798961000,-39295000,9867000,8828000,-52496000,-73096000,-6391000,-8309000,501714000,-306000,501408000,420003000,420003000,-1192000,418811000,-33406000,901194000,-108706000,0.30706,-0.10681,-0.09699,-0.03153,-0.01404,2.76641,3.97028,1.24594,0.32197,-0.81822,-0.81822,8.43584,25.94969,-2.26353,-0.01642,-0.04543,-8.53173,-6.58635
"36","2020_Q3",12.024375,"Up",297212000,-162519000,134693000,-128606000,-122102000,-6504000,6087000,-9177000,-9177000,-3089999.99999999,-18636000,3660000,-14976000,-14976000,-14976000,-14976000,252798000,252798000,276502000,276502000,574767000,69658000,55709000,1173725000,66627000,1029462000,438721000,260667000,36423000,199971000,1096089000,2269814000,261524000,192192000,69332000,472420000,154642000,7960000,146682000,559645000,1032065000,444648000,-27506000,838867000,-18260000,1237749000,1237749000,2269814000,-14976000,9691000,47180000,91005999.9999999,132901000,-6678000,-4760000,-494643000,-11000.0000000009,-494474000,-366333000,-366333000,2948000,-363385000,15778000,408720000,96445999.9999999,0.45319,0.02048,-0.05039,-0.0121,-0.0066,-6.44004,2.48449,0.83382,0.18007,-0.3106,-0.3106,6.16405,25.67039,2.00025,-0.00831,0.05355,9.88224,25.61557
"37","2020_Q4",18.56359375,"Up",826561000,-528806000,297755000,-187812000,-177625000,-10187000,109943000,-18569000,-18681000,91374000,91604000,-28430000,63174000,63174000,63174000,63174000,149745000,149745000,720975000,720975000,461769000,39317000,37274000,1371806000,60973000,1036637000,441062000,261684000,35669000,217909000,1097610000,2469416000,292031000,157654000,134377000,482084000,172737000,8313000,164424000,677065000,1159149000,446926000,-27506000,902041000,-11194000,1310267000,1310267000,2469416000,63174000,10187000,42068000,-302805000,-187376000,-3364000,-3364000,99770000,-13276000,86494000,-104246000,-104246000,1193000,-103053000,120130000,508411000,-157609000,0.36023,0.13301,0.07643,0.04821,0.02558,-2.49484,2.84557,0.88467,0.20588,1.3063,1.2756,17.09148,27.09346,-3.25901,0.03172,-0.07914,2.98565,3.26229
"38","2021_Q1",29.1440983606557,"Up",526242000,-338649000,187593000,-159635000,-150755000,-8880000,27958000,-8991000,-12117000,18967000,18466000,-3846000,14620000,14620000,14642000,14642000,351934000,351934000,492698000,492698000,416503000,82905000,56803000,1344040000,57064000,1035282000,443612000,263135000,35059000,224855000,1092346000,2436386000,253823000,139183000,114640000,402002000,190193000,20353000,169840000,698143000,1100145000,448681000,-27029000,916683000,-2094000,1336241000,1336241000,2436386000,14642000,8880000,41836000,136971000,202329000,-3695000,-3695000,1512000,-282000,1347000,199981000,199981000,2208000,202189000,36838000,512352000,173960000,0.35648,0.05313,0.02782,0.01096,0.00601,11.88089,3.34337,0.82331,0.21029,0.30274,0.29665,10.88064,27.62826,3.59682,0.00718,0.08533,4.35469,5.73782
"39","2021_Q2",32.3638095238095,"Up",519910000,-324441000,195469000,-148647000,-141603000,-7044000,46822000,-10184000,-12004000,36638000,36638000,-10259000,26379000,26379000,26321000,26321000,396311000,396311000,509430000,509430000,346668000,71713000,55945000,1324122000,53298000,1021300000,441075000,262065000,34141000,217947000,1074598000,2398720000,208263000,114124000,94139000,347757000,183303000,20051000,163252000,693087000,1040844000,451225000,-27025000,942733000,-9057000,1357876000,1357876000,2398720000,26321000,7044000,15009000,-1330000,47044000,-2666000,-2666000,1147999.99999997,831705.435186367,1148000,45526000,45526000,-1149000,44377000,53866000,514889000,60129000,0.37597,0.09006,0.05063,0.01938,0.01097,2.28445,3.80761,0.76652,0.21465,0.5456,0.53957,10.77712,28.14717,1.2464,0.0128,0.02924,2.20135,2.53253
"40","2021_Q3",30.1059375,"Down",483081000,-290203000,192878000,-153938000,-146840000,-7098000,38940000,-10599000,-12574000,28341000,28341000,-9235000,19106000,19106000,19168000,19168000,509988000,509988000,385047000,385047000,499337000,67458000,66343000,1461830000,51425000,1040331000,441788000,262372000,33136000,234392000,1091756000,2553586000,372042000,252313000,119729000,485541000,174456000,20133000,154323000,686473000,1172014000,447740000,-22003000,961901000,-7026000,1380612000,1381572000,2553586000,19168000,7098000,16785000,103731000,146782000,-4860000,-29860000,558000,-4333999.99999999,-3776000.00000001,113146000,113146000,531000,113677000,46038000,517641000,154144000,0.39927,0.08061,0.03968,0.01387,0.00751,8.04174,3.01072,0.84832,0.20271,0.39733,0.39294,10.0137,28.61847,3.19522,0.00924,0.07433,0.16623,0.19653
"41","2021_Q4",29.15828125,"Down",1015392000,-667882000,347510000,-189384000,-182360000,-7024000,158126000,-11456000,-12354000,146670000,146670000,-40198000,106472000,106472000,106674000,106674000,279564000,279564000,844382000,844382000,448991000,54526000,53532000,1627463000,49948000,1050606000,450252000,265116000,32208000,236935000,1100554000,2728017000,414323000,233893000,141456000,547002000,180552000,21306000,159246000,694018000,1241020000,451032000,-21940000,1068575000,-11428000,1486239000,1486997000,2728017000,106674000,7024000,18015000,-340927000,-209214000,-18744000,-18744000,-1883000,1000,-1882000,-229840000,-229840000,-584000,-230424000,165150000,517529000,-154323000,0.34224,0.15573,0.10506,0.07174,0.0391,-1.44668,2.97524,0.83458,0.18971,2.21123,2.18679,21.04788,30.80799,-3.19893,0.04882,-0.07063,1.4409,1.50491
"42","2022_Q1",27.2061290322581,"Down",748155000,-495823000,252332000,-183672000,-177212000,-6460000,68660000,-7878000,-12734000,60782000,59327000,-11183000,48144000,48144000,48430000,48430000,465984000,465984000,605512000,605512000,512155000,69206000,54704000,1652857000,48805000,1040866000,453329000,262527000,31361000,224587000,1089671000,2742528000,375040000,236921000,128124000,510805000,195996000,40010000,155986000,711340000,1222145000,456593000,-39157000,1117005000,-14529000,1519912000,1520383000,2742528000,48430000,6460000,32245000,114051000,201186000,-5235000,-235000,-1625000,-7000,-18932000,182019000,182019000,4401000,186420000,75120000,519581000,195119000,0.33727,0.09177,0.06473,0.03185,0.01766,4.02889,3.23579,0.80384,0.18945,1.0039,0.9928,15.50837,31.50599,4.04459,0.02166,0.08726,0.71349,0.78061
"43","2022_Q2",25.258064516129,"Down",688757000,-442718000,246039000,-191502000,-185407000,-6095000,54537000,-14911000,-12203000,39626000,39626000,-9e+06,30626000,30626000,30634000,30634000,438411000,438411000,573613000,573613000,550059000,54496000,53425000,1616579000,47274000,1054419000,451967000,261727000,30512000,218739000,1101693000,2718272000,326908000,215489000,111419000,451984000,191168000,38021000,153147000,707996000,1159980000,461263000,-31953000,1147639000,-18657000,1558292000,1558292000,2718272000,30634000,6095000,35440000,-60998000,11171000,-4334000,-29334000,-69000,-8675000,-8744000,-26907000,-26907000,-666000,-27573000,60632000,521382000,4300000,0.35722,0.07918,0.04448,0.01966,0.01127,0.14037,3.57663,0.74439,0.19181,0.638,0.62381,14.34432,32.4536,0.08955,0.01349,0.00189,1.36844,1.52137
"44","2022_Q3",20.42546875,"Down",605244000,-376318000,228926000,-197697000,-191041000,-6656000,31229000,17775000,-12550000,49004000,49033000,-12968000,36065000,36065000,36319000,36319000,150977000,150977000,488523000,488523000,1040814000,85096000,83954000,1765410000,54421000,1262523000,622182000,304930000,35427000,264462000,1316944000,3082354000,581615000,438167000,143448000,769386000,233090000,36447000,196643000,728758000,1498144000,461885000,-45616000,1183958000,-16226000,1584001000,1584210000,3082354000,36319000,6656000,-11285000,-152755000,-121065000,-4279000,-195249000,49349000,-1115000,31612000,-284702000,-284702000,-2732000,-287434000,37885000,575777000,-106181000,0.37824,0.0516,0.06001,0.02293,0.01178,-2.92357,2.29457,0.94567,0.1868,0.75666,0.74092,12.60951,33.00071,-2.21215,0.01518,-0.04437,11.21288,13.60274
