"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",28.4579365079365,"Down",12026000,-6708000,-2254000,-1624000,-2830000,5318000,-1774000,-1376000,-398000,3544000,31000,3575000,-270000,3305000,3305000,3305000,3305000,2000,2000,4321000,4321000,876000,3822000,930000,2517000,9021000,293174000,369816000,-76642000,34595000,34595000,327769000,336790000,7847000,3444000,1906000,2497000,0,0,18891000,80993000,114695000,36148000,78547000,195688000,214579000,80404000,41807000,122211000,122211000,336790000,3305000,1624000,-1938000,102000,3093000,0,-3580000,-2141000,2076000,555000,555000,487000,3.63797880709171e-12,3.63797880709171e-12,3.63797880709171e-12,6942000,92037000,0.44221,0.27482,0.02704,0.00981,0.47753,1.75581,0.27328,0.25629,0.25629,0.93255,9.47681,0.16602,0.01656,0.64781,13.25771,17.30632
"33","2018_Q4",29.7647619047619,"Up",12698000,-6269000,-1944000,-1770000,-2555000,6429000,-1753000,-1377000,-376000,4676000,53000,4729000,-929000,3800000,3800000,3800000,3800000,2000,2000,4723000,4723000,953000,3369000,1037000,2332000,9047000,296310000,374456000,-78146000,34993000,34993000,331303000,340350000,9097000,4076000,1914000,2975000,0,0,21138000,79289000,115651000,37103000,78548000,194940000,216078000,80817000,43455000,124272000,124272000,340350000,3800000,1770000,-1832000,2141000,5879000,0,-4058000,-2144000,-248000,402000,402000,-1821000,0,0,0,8199000,91330000,0.5063,0.29926,0.03058,0.01116,0.428,1.73875,0.26834,0.29427,0.29427,0.98334,9.6237,0.16603,0.01794,0.56421,11.13892,14.20563
"34","2019_Q1",31.3067213114754,"Up",12069000,-6439000,-1902000,-1775000,-2762000,5630000,-1585000,-1392000,-193000,4045000,53000,4098000,-421000,3677000,3677000,3677000,3677000,2000,2000,4811000,4811000,876000,3322000,895000,2427000,9011000,299157000,377676000,-78519000,36972000,36972000,336129000,345140000,7707000,3030000,1999000,2528000,2104000,2104000,10841000,93328000,114776000,36962000,77814000,208104000,218945000,81305000,44890000,126195000,126195000,345140000,3677000,1775000,-1750000,260000,3962000,-7.27595761418343e-12,-6218000,-2157000,3662000,476000,476000,2256000,0,0,0,7405000,94358000,0.46648,0.30466,0.02914,0.01065,0.8312,1.73497,0.27339,0.2844,0.28439,0.93349,9.76074,0.16684,0.0174,0.58662,12.7422,16.7595
"35","2019_Q2",32.1734920634921,"Up",11831000,-6545000,-1906000,-1891000,-2748000,5286000,-1841000,-1327000,-514000,3445000,69000,3514000,-701000,2813000,2813000,2813000,2813000,2000,2000,4114000,4114000,1040000,3494000,1339000,2155000,8650000,301130000,381198000,-80068000,36950000,36950000,338080000,346730000,8150000,2690000,2003000,2933000,2211000,2211000,10380000,94089000,115098000,37202000,77896000,209187000,219567000,81703000,45460000,127163000,127163000,346730000,2813000,1891000,-524000,1409000,5589000,-203876.288470118,-3273000,-2239000,260000,384000,384000,-2316000,0,0,0,7177000,94108000,0.44679,0.23777,0.02212,0.00811,0.83333,1.72666,0.27142,0.21735,0.21734,0.91413,9.82535,0.173,0.01502,0.79595,13.11216,17.80288
"36","2019_Q3",35.53453125,"Up",13048000,-6974000,-2103000,-1933000,-2938000,6074000,-1780000,-1296000,-484000,4294000,87000,4381000,-664000,3717000,3717000,3717000,3717000,2000,2000,4475000,4475000,981000,3851000,1421000,2274000,9309000,305016000,386611000,-81595000,37526000,37526000,342542000,351851000,8501000,4191000,2006000,2304000,1698000,1698000,10206000,96085000,116446000,37747000,78699000,212531000,222737000,82183000,46931000,129114000,129114000,351851000,3717000,1933000,-1614000,-1055000,2981000,0,-4745000,-2243000,2691000,415000,415000,1764000,3.63797880709171e-12,3.63797880709171e-12,3.63797880709171e-12,8007000,96092000,0.46551,0.28487,0.02879,0.01056,0.91211,1.72512,0.2731,0.2869,0.2869,1.00712,9.96578,0.17313,0.01744,0.60344,12.00075,15.81989
"37","2019_Q4",41.48984375,"Up",13680000,-6965000,-2172000,-1926000,-2867000,6715000,-1757000,-1314000,-443000,4958000,117000,5075000,-592000,4483000,4483000,4483000,4483000,2000,2000,4545000,4545000,1022000,4344000,1442000,2394000,9913000,311338000,394460000,-83122000,39688000,39688000,351026000,360939000,9301000,4751000,2008000,2542000,1138000,1138000,16939000,94212000,117980000,39134000,78846000,212192000,229131000,82644000,49164000,131808000,131808000,360939000,4483000,1926000,2860000,-4286000,4983000,0,-7354000,-2248000,4565000,421000,421000,2371000,0,0,0,8641000,100712000,0.49086,0.3277,0.03401,0.01242,0.58522,1.73837,0.27903,0.34568,0.34558,1.05484,10.16352,0.17334,0.0192,0.50145,11.6549,14.99777
"38","2020_Q1",43.1637096774194,"Up",13019000,-7308000,-2336000,-1938000,-3034000,5711000,-2132000,-1187000,-945000,3579000,93000,3672000,-283000,3389000,3389000,3389000,3389000,2000.00000000006,2000.00000000006,4421000,4421000,1007000,3954000,1131000,2276000,9384000,313224000,398065000,-84841000,40921000,39102000,354145000,363529000,8047000,3452000,2096000,2499000,609000,609000,15156000,94535000,119653000,40426000,79227000,214188000,229344000,83976000,50209000,134185000,134185000,363529000,3389000,1938000,336000,-335000,5328000,-3608686.96322687,-5165000,-2256000,-775000,1285000,1285000,-163000,2.91038304567337e-11,2.91038304567337e-11,2.91038304567337e-11,7649000,101035000,0.43867,0.26031,0.02526,0.00932,0.61916,1.70916,0.27793,0.2609,0.26082,1.00227,10.33026,0.17368,0.01591,0.66568,13.20865,17.69095
"39","2020_Q2",41.3580952380952,"Down",12877000,-7261000,-2244000,-2024000,-2993000,5616000,-1661000,-1195000,-466000,3955000,616000,4571000,-569000,4002000,4002000,4002000,4002000,2000,2000,4875000,4875000,1078000,3981000,1274000,2693000,9936000,316945000,403354000,-86409000,42555000,40050000,359500000,369436000,8801000,3924000,2101000,2776000,382000,382000,15683000,94884000,122580000,40616000,81964000,217464000,233147000,84424000,51865000,136289000,136289000,369436000,4002000,2024000,-392000,-892000,4742000,-3858000,-3858000,-2341000,248000,411000,411000,-884000,0,0,0,7640000,101384000,0.43613,0.31079,0.02936,0.01083,0.63355,1.71068,0.27443,0.30762,0.30757,0.98981,10.47604,0.17994,0.01761,0.58496,13.2699,18.05235
"40","2020_Q3",43.849375,"Up",13320000,-7027000,-2072000,-2043000,-2912000,6293000,-1617000,-1156000,-461000,4676000,114000,4790000,-608000,4182000,4182000,4182000,4182000,2000,2000,4971000,4971000,1058000,4184000,1497000,2687000,10215000,321761000,409732000,-87971000,44173000,40981000,365934000,376149000,9321000,4022000,2109000,2454000,426000,426000,16247000,96575000,124755000,41411000,83344000,221330000,237577000,84872000,53700000,138572000,138572000,376149000,4182000,2043000,66000,-1286000,5005000,4530000,-4456000,-2339000,1601000,433000,433000,-549000,-9.31322574615479e-10,-9.31322574615479e-10,-9.31322574615479e-10,8336000,103075000,0.47245,0.31396,0.03018,0.01112,0.62873,1.71447,0.27403,0.32115,0.32117,1.02288,10.6413,0.17962,0.0178,0.5593,12.3648,16.37899
"41","2020_Q4",43.9903125,"Up",14257000,-7236000,-10197000,-2046000,5007000,7021000,-1534000,-1152000,-382000,5487000,115000,5602000,-898000,4704000,4704000,4704000,4704000,10901000,10901000,5193000,5193000,1158000,4530000,1679000,2801000,21782000,330486000,420703000,-90217000,46149000,42271000,376635000,398417000,11467000,6770000,2102000,2595000,453000,453000,11920000,116829000,128240000,42195000,86045000,245069000,256989000,85375000,56053000,141428000,141428000,398417000,4704000,2046000,372000,-563000,6559000,0,-8145000,-2358000,16514000,429000,429000,12485000,10899000,10899000,10899000,9067000,116829000,0.49246,0.32994,0.03326,0.01181,1.82735,1.8171,0.29323,0.36094,0.36093,1.09396,10.85194,0.18093,0.01827,0.50128,11.68281,15.08731
"42","2021_Q1",44.0886885245902,"Up",13398000,-7897000,-5526000,-2064000,-307000,5501000,-2048000,-1204000,-844000,3453000,2e+05,3653000,57000,3710000,3710000,3710000,3710000,2000.00000000373,2000.00000000373,5184000,5184000,1010000,10094000,1526000,7847000,16290000,343623000,434963000,-91340000,47044000,44835000,390667000,406957000,11468000,6540000,2192000,2736000,525000,525000,11993000,123573000,128139000,43538000,84601000,251712000,263705000,85935000,57317000,143252000,143252000,406957000,3710000,2064000,233000,-2078000,3929000,-32123000,-16168000,-2356000,6901000,532000,532000,6340000,-5899000,-5899000,-5899000,7565000,123573000,0.41058,0.27691,0.0259,0.00912,1.35829,1.84085,0.30365,0.28384,0.28381,1.02505,10.95992,0.18025,0.01536,0.63504,16.33457,22.46337
"43","2021_Q2",48.1104761904762,"Up",13081000,-7727000,-5217000,-2174000,-336000,5354000,-1619000,-1214000,-405000,3735000,262000,3997000,-292000,3705000,3705000,3705000,3705000,55000,55000,4016000,4016000,1020000,5346000,1888000,2876000,10437000,350548000,443557000,-93009000,48404000,45398000,398952000,409389000,11807000,6623000,2192000,2992000,549000,549000,12356000,122087000,129936000,44261000,85675000,252023000,264379000,86436000,58574000,145010000,145010000,409389000,3705000,2174000,-51000,769000,6597000,-7431000,-7431000,-2448000,-875000,473000,473000,-4113000,-4947000,-4947000,-4947000,7528000,122087000,0.4093,0.28324,0.02555,0.00905,0.84469,1.82318,0.29822,0.28378,0.28372,1.00192,11.10688,0.1875,0.0155,0.66073,16.21041,22.79268
"44","2021_Q3",46.68546875,"Down",13801000,-7899000,-5390000,-2198000,-311000,5902000,-1569000,-1222000,-347000,4333000,311000,4644000,-160000,4484000,4484000,4484000,4484000,6000.00000000047,6000.00000000047,4206000,4206000,1033000,5640000,1808000,3179000,10885000,359146000,453523000,-94377000,50945000,47143000,410091000,420976000,13337000,8359000,2193000,2785000,581000,581000,13918000,126996000,132356000,45787000,86569000,259352000,273270000,87100000,60606000,147706000,147706000,420976000,4484000,2198000,138000,-1315000,5505000,-8612000,-8612000,-2451000,4938000,571000,571000,3058000,-49000,-49000,-49000,8100000,126996000,0.42765,0.3249,0.03036,0.01065,0.78208,1.85009,0.30167,0.34345,0.34338,1.05707,11.31338,0.18773,0.01704,0.54661,15.67778,21.51644
"45","2021_Q4",46.6359375,"Down",14503000,-7819000,-5289000,-2223000,-307000,6684000,-1575000,-1237000,-338000,5109000,310000,5419000,-625000,4794000,4794000,4794000,4794000,1000,1000,3935000,3935000,1379000,4858000,1790000,3047000,10173000,367563000,463686000,-96123000,53012000,48414000,420575000,430748000,12604000,7455000,2202000,2947000,607000,607000,13211000,132197000,134680000,46922000,87758000,266877000,280088000,87714000,62946000,150660000,150660000,430748000,4794000,2223000,179000,-822000,6374000,16043000,-11391000,-2445000,5612000,568000,568000,5012000,-5000,-5000,-5000,8907000,132197000,0.46087,0.33055,0.03182,0.01113,0.77004,1.85907,0.3069,0.36681,0.3668,1.10968,11.52753,0.18708,0.01734,0.51001,14.84181,19.77798
"46","2022_Q1",43.8946774193548,"Down",13734000,-8278000,-5680000,-2264000,-334000,5456000,-1750000,-1253000,-497000,3706000,338000,4044000,-43000,4001000,4001000,4001000,4001000,1000,1000,4634000,4634000,1917000,5427000,1032000,3501000,11979000,382909000,482113000,-99204000,63965000,49911000,446874000,458853000,11979000,6712000,3252000,2015000,607000,607000,20086000,138869000,147276000,49590000,97686000,286145000,306231000,88230000,64392000,152622000,152622000,458853000,4001000,2264000,126000,-1908000,4483000,-34409000,-18966000,-2464000,16008000,470000,470000,14483000,1.16415321826935e-10,1.16415321826935e-10,1.16415321826935e-10,7720000,146369000,0.39726,0.29132,0.02622,0.00872,0.59639,2.00647,0.31899,0.30481,0.30478,1.0463,11.62719,0.18771,0.01449,0.61585,18.95959,26.82698
"47","2022_Q2",39.8993548387097,"Down",14240000,-8942000,-6108000,-2480000,-354000,5298000,-1965000,-1297000,-668000,3333000,295000,3628000,231000,3859000,3859000,3859000,3859000,1000,1000,4434000,4434000,2107000,5452000,1513000,3044000,11994000,389880000,490880000,-1.01e+08,67038000,51941000,456918000,468912000,12991000,7580000,2298000,3113000,605000,605000,21096000,143999000,149397000,51133000,98264000,293396000,314492000,88725000,65695000,154420000,154420000,468912000,3859000,2480000,-170000,-836000,5333000,-7504000,-7504000,-2551000,5425000,450000,450000,2171000,0,0,0,7778000,151499000,0.37205,0.271,0.02499,0.00823,0.56854,2.0366,0.32309,0.29495,0.29493,1.08837,11.80242,0.19497,0.01408,0.66105,19.47776,28.59532
"48","2022_Q3",42.50140625,"Up",14899000,-8325000,-5494000,-2493000,-338000,6574000,-1604000,-1205000,-399000,4970000,225000,5195000,-166000,5029000,5029000,5029000,5029000,2644000,2644000,5270000,5270000,2337000,5355000,1446000,3014000,15606000,401869000,504739000,-102870000,69508000,53369000,471377000,486983000,14539000,9138000,2522000,2879000,594000,594000,22633000,109637000,153529000,53158000,100371000,263166000,285799000,133239000,67945000,201184000,201184000,486983000,5029000,2493000,326000,-2168000,5680000,-11500000,-11500000,-2555000,-32790000,44401000,44401000,8463000,2643000,2643000,2643000,9067000,117137000,0.44124,0.33754,0.025,0.01033,0.68952,1.42059,0.24054,0.38373,0.38365,1.13684,15.35091,0.19495,0.01607,0.50805,12.62744,17.41603
