"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2018_Q2",8.20828125,"Down",5844434000,-5696156000,148278000,-130697000,-22390000,-52045000,-56262000,17581000,-79906000,-46268000,-33742000,-62325000,-164597000,-651000,-165248000,-169289000,743000,-168546000,-168546000,13682000,13682000,1096596000,1096596000,600486000,658933000,135097000,8824000,2369697000,1604498000,2347784000,907540000,1262971000,177273000,3954277000,6323974000,861107000,836233000,24874000,646000,303312000,303312000,1165065000,3032383000,63539000,63539000,3095922000,4260987000,1689491000,-257000,1983524000,2062987000,6323974000,-165133000,55939000,160333000,-124325000,-41145000,-67304000,-72710000,-72710000,-97998000,-59210000,-247520000,351268000,-16785000,280253000,-8412000,-8412000,-8412000,73520000,3033029000,-117458000,0.02537,0.00301,-0.02884,-0.0817,-0.02665,0.69689,2.03396,2.06545,0.47961,-1.3867,-1.3867,48.08476,13.89808,-0.96638,-0.02222,-0.02277,41.06838,171.73921
"29","2018_Q3",8.77698412698413,"Up",6654634000,-6509527000,145107000,-152428000,-39369000,-52750000,-60309000,-7321000,-39420000,-41358000,1444000,-46741000,-52729000,-691000,-53420000,354939000,566000,355505000,355505000,36374000,36374000,1366597000,1366597000,679125000,177505000,159617000,17888000,2259601000,1706612000,2414706000,966929000,1271648000,176129000,4125838000,6385439000,1088213000,1045415000,42798000,716245000,296954000,296954000,2101412000,1815855000,86396000,86396000,1902251000,4003663000,1996008000,-270000,2302831000,2381776000,6385439000,-119619000,53722000,29675000,-131506000,-46736000,-118011000,-120809000,-120809000,-81379000,3042000,636679000,-502163000,-1453000,-567251000,22692000,22692000,22692000,46401000,2532100000,-202425000,0.02181,-0.0011,0.05342,0.14926,0.05567,-0.5694,1.07528,1.68096,0.39654,2.90492,2.90492,54.37672,16.30769,-1.65407,0.08381,-0.04048,53.78604,-340.8996
"30","2018_Q4",7.63079365079365,"Down",6376820000,-6114384000,262436000,-141105000,-24779000,-53434000,-62892000,121331000,-36082000,-39151000,1292000,85249000,111412000,-980000,110432000,110528000,307000.000000001,110835000,110835000,23025000,23025000,1006033000,1006033000,572931000,347525000,210452000,12564000,1949514000,1726162000,2275474000,922763000,1182614000,170097000,4006433000,5955947000,929368000,905958000,23410000,339867000,295733000,295733000,1564968000,1877701000,74903000,74903000,1952604000,3517572000,2035199000,-273000,2360591000,2438375000,5955947000,147429000,55605000,-93520000,134595000,203539000,-110339000,-110470000,-110470000,8.5e+07,67998000,169331000,-325564000,-1030000,-386219000,-13349000,-13349000,-13349000,176936000,2217568000,202172000,0.04115,0.01903,0.01738,0.04545,0.01861,1.82408,1.24572,1.44259,0.37233,0.894599999999999,0.87992,51.47051,16.42491,1.63183,0.03601,0.04273,12.40303,18.08724
"31","2019_Q1",9.55098360655738,"Up",-10186731000,10337006000,150275000,-126215000,-20869000,-53744000,-51602000,24060000,-37202000,-37948000,588000,-13142000,27692000,1089000,28781000,43217000,19036000,62253000,62253000,18572000,18572000,1162919000,1162919000,463143000,168039000,155172000,12867000,1812673000,1844493000,2244200000,938335000,1145861000,160004000,4089820000,5902493000,993134000,964665000,28469000,648000,257371000,257371000,1251153000,2160133000,63575000,63575000,2223708000,3474861000,2016594000,-255000,2368884000,2427632000,5902493000,57868000,56408000,-10801000,44853000,221592000,-143755000,-151597000,-151597000,129183000,-11742000,-105017000,-59752000,13477000,-121028000,-4453000,-4453000,-4453000,80468000,2160781000,-19522999.9999999,-0.01475,-0.00236,-0.00611,0.02564,0.01055,-0.31361,1.4488,1.43138,0.36608,0.50098,0.49046,-81.97784,16.22651,-0.15711,0.0262,-0.00419999999999999,26.62187,89.03612
"32","2019_Q2",11.4274603174603,"Up",6637891000,-6453467000,184424000,-138838000,-20363000,-54208000,-64267000,45586000,-38825000,-39908000,1075000,6761000,7727999.99999999,311000,8039000.00000001,8039000,267999.999999996,8306999.99999999,8307000,27501000,27501000,911982000,911982000,519603000,190202000,178695000,11507000,1649288000,2015518000,2728514000,931709000,1153029000,643776000,4745617000,6394905000,837212000,814141000,23071000,649000,319577000,319577000,1157438000,2586954000,500248000,500248000,3087202000,4244640000,1846634000,-218000,2091785000,2150265000,6394905000,8982000,56117000,-3459000,30998000,69894000,-153718000,-155391000,-155391000,-54548000,4644000,-199247000,433837000,-233267000,138282000,8929000,8929000,8929000,101703000,2587603000,-21328000,0.02778,0.00687,0.00125,0.00386,0.0013,-2.56747,1.42495,1.97401,0.40464,0.0659900000000001,0.0659900000000001,52.72907,14.66728,-0.16942,0.01348,-0.00407,25.17234,56.15983
"33","2019_Q3",11.543125,"Up",-2961664000,3174334000,212670000,-178477000,-43887000,-62659000,-71931000,34193000,-45133000,-44986000,118000,-10940000,-14051000,-630000,-14681000,-201366000,129000,-201237000,-201237000,21154000,21154000,987875000,987875000,308793000,213376000,199002000,14374000,1531198000,2485880000,2645500000,1194581000,1176042000,274877000,5132825000,6664023000,866606000,842064000,24542000,648999.999999996,431255000,431255000,1298510000,2773235000,196619000,196619000,2969854000,4268364000,1646001000,-264000,2337878000,2395659000,6664023000,-15624000,65580000,16562000,-139793000,-74382000,-103375000,-103684000,-103684000,-592500000,-24334000,-433967000,187837000,370361000,502002000,-6347000,-6347000,-6347000,99773000,2773884000,-142765000,-0.07181,-0.01155,0.06795,-0.084,-0.0302,0.70944,1.1792,1.78171,0.41625,-1.5848,-1.5848,-23.32404,12.9607,-1.12432,-0.02723,-0.0266,27.58993,80.50566
"34","2019_Q4",9.404375,"Down",2226529000,-1935472000,291057000,-197288000,-29150000,-73726000,-94412000,93769000,-46612000,-46920000,-226000,47157000,49783000,-677000,49106000,42990999.9999999,165999.999999999,43157000,43157000.0000001,12008000,12008000,947534000,947534000,183738000,198232000,90694000,12445000,1341512000,2704112000,3174695000,1600555000,1307055000,267085000,5901043000,7242555000,876141000,846767000,29374000,4835000,480831000,480831000,1361807000,3068205000,226858000,226858000,3295063000,4656870000,1631033000,-248000,2510946000,2585685000,7242555000,49106000,76916000,15213000,112990000,337966000,-153104000,-168178000,-168178000,-637077000,25887000,-773003000,298837000,189796000,425891000,-9146000,-9146000,-9146000,170685000,3073040000,131248000,0.13072,0.04211,0.01938,0.01669,0.00596,3.04118,0.9851,1.80102,0.4243,0.33663,0.33362,17.36744,12.7205,1.02376,0.01797,0.0223,17.93381,32.64439
"35","2020_Q1",7.07790322580645,"Down",1681244000,-1389778000,291466000,-197366000,-20264000,-74719000,-102383000,94100000,-47639000,-49370000,717000,46461000,-223660000,651000,-223009000,-248444000,1210000,-247234000,-247234000,22704000,22704000,566834000,566834000,69634000,114915000,101981000,12934000,774087000,2851555000,2873094000,1612480000,993587000,243845000,5724649000,6498736000,764828000,515049000,249779000,4683000,76312000,76312000,845823000,3265861000,114079000,114079000,3379940000,4225763000,1314762000,-385000,2200019000,2272973000,6498736000,-223009000,78235000,218117000,35495000,130577000,-127895000,-128460000,-128460000,-5567000,83967000,-32539000,77382000,-99906000,-87342000,10696000,10696000,10696000,172335000,3270544000,79284000,0.17336,0.05597,-0.14705,-0.10877,-0.03804,-0.320679999999999,0.91519,1.85913,0.50326,-1.91994,-1.91994,13.056,10.20703,0.61569,-0.03232,0.01401,18.84608,34.5147699999998
"36","2020_Q2",4.27920634920635,"Down",844415000,-677047000,167368000,-166131000,-17158000,-83986000,-64987000,1237000,-42637000,-43961000,1035000,-41400000,-34067000,301000,-33765999.9999999,-35252000,-51000,-35303000,-35302999.9999999,26400000,26400000,424814000,424814000,135918000,90247000,75433000,14814000,677379000,2833002000,2793079000,1574216000,993114000,225749000,5648707000,6326086000,390327000,367463000,22864000,4521000,221882000,221882000,616730000,3281402000,233020000,233020000,3514422000,4131152000,1232017000,-341000,2124186000,2194934000,6326086000,-33766000,87680000,25970000,1967999.99999999,80413000,-97665000,-97815000,-97815000,145049662.112255,-26550000,-124215000,162797000,-74489000,47498000.0000001,3696000,3696000,3696000,88917000,3285923000,-7081000,0.19821,0.00146,-0.04181,-0.01608,-0.00558,0.20058,1.09834,1.88213,0.51942,-0.27415,-0.27415,6.55746,9.5648,-0.05499,0.00096,-0.00124,36.65804,2635.02264
"37","2020_Q3",3.89015625,"Down",1168158000,-964890000,203268000,-160998000,-17475000,-87469000,-56054000,42270000,-44849000,-46935000,1585000,-2579000,5214000,774000,5988000,5835000,-168000,5667000,5667000,16912000,16912000,439889000,439889000,182859000,89054000,74150000,14904000,728714000,2799725000,2736757000,1538417000,982239000,216101000,5557697000,6286411000,403405000,379420000,23985000,13123000,213424000,213424000,629952000,3275166000,220668000,220668000,3495834000,4125786000,1191158000,-307000,2090307000,2160625000,6286411000,5988000,90826000,-2672000,-30743000,63247000,-33540000,-34489000,-34489000,-607000,4814000,-29333000,14878000,-17392000,-43402000,-9488000,-9488000,-9488000,133096000,3288289000,68039000,0.17401,0.03619,0.00485,0.00262000000000001,9e-04,12.00618,1.15678,1.90953,0.52308,0.04401,0.04401,9.07154,9.24777,0.52837,0.00821,0.012,24.57908,77.3924099999999
"38","2020_Q4",2.92640625,"Down",1462019000,-1278879000,183140000,-155671000,-16044000,-78200000,-61427000,27469000,-46468000,-47252000,439999.999999998,-18999000,-381585000,1162000,-380423000,-380530000,34000,-380496000,-380496000,9223000,9223000,599207000,599207000,169654000,137608000,120414000,17194000,915692000,2744374000,2270055000,1322697000,744439000,202919000,5036018000,5951710000,549396000,506792000,42604000,2146000,167875000,167875000,719417000,3278443000,210180000,210180000,3488623000,4208040000,775038000,-266000,1674228000,1743670000,5951710000,-380423000,81548000,395075000,-54137000,41940000,21682000,-19340000,-19340000,-31000,-19069000,2582000,1980999.99999999,-17398000,-52211000,-7689000,-7689000,-7689000,109017000,3280589000,75400000,0.12527,0.01879,-0.26025,-0.21822,-0.06393,-0.19816,1.27283,2.41332,0.5512,-2.94978,-2.94978,11.33424,6.00638,0.58454,-0.06569,0.0144,30.00785,119.09301
"39","2021_Q1",2.56327868852459,"Down",1752431000,-1573006000,179425000,-159457000,-19791000,-67572000,-72094000,19968000,-99410000,-60651000,-39563000,-79442000,-230371000,1154000,-229217000,-229240000,-447000,-229687000,-229687000,4829000,4829000,725943000,725943000,158467000,118599000,109164000,9435000,1007838000,2706853000,2232650000,1262613000,744439000,202879000,4939503000,5947341000,850387000,679868000,170519000,2183000,58233000,58233000,910803000,3422667000,114615000,114615000,3537282000,4448085000,530595000,-266000,1429785000,1499256000,5947341000,-229217000,71146000,183146000,93374000,118394000,-31536000,-35157000,-35157000,576000,-39567000,-70527000,27396000,-55839000,-52261000,-4394000,-4394000,-4394000,91114000,3424850000,151798000,0.10239,0.01139,-0.13107,-0.1532,-0.03862,-0.66089,1.10654,2.96686,0.57586,-1.78064,-1.78064,13.58564,4.11135,1.17681,-0.04087,0.03013,37.53563,171.27509
"40","2021_Q2",2.24063492063492,"Down",1488655000,-1324793000,163862000,-165660000,-15774000,-84102000,-65784000,-1798000,-65669000,-67130000,1248999.99999999,-67467000,-134952000,450000,-134502000,-134502000,-438000,-134940000,-159332000,2471000,2471000,844072000,844072000,246181000,115193000,106418000,8775000,1207917000,2548552000,2151021000,1187070000,744439000,198087000,4699573000,5907490000,945551000,763220000,182331000,2230000,62272000,62272000,1010053000,3467818000,115438000,115438000,3583256000,4593309000,396615000,-258000,1295813000,1314181000,5907490000,-134502000,87981000,126809000,-85451000,-5163000,-46634000,-46760000,-46760000,63373000,-59614000,-42875000,49029000,-3349000,45680000,-2358000,-2358000,-2358000,86183000,3470048000,-46352000,0.11007,-0.00121,-0.10703,-0.12124,-0.02697,0.29091,1.19589,3.49519,0.5874,-1.22947,-1.22947,11.48707,3.05845,-0.35767,-0.03252,-0.00946,40.23505,-1928.57453
"41","2021_Q3",1.95109375,"Down",1754137000,-1525593000,228544000,-150032000,-11450000,-69563000,-69019000,78512000,-67331000,-68495000,730000,11181000,-1442000,235000,-1207000,-1207000,-330000,-1537000,-1537000,5531000,5531000,863228000,863228000,319895000,149413000,140434000,8979000,1338067000,2524287000,2119438000,1170468000,744439000,183502000,4643725000,5981792000,984301000,819094000,165207000,2278000,64107000,64107000,1050686000,3506740000,110909000,110909000,3617649000,4668335000,396126000,-310000,1295272000,1313457000,5981792000,-1207000,74443000,-2020000,-73898000,-2682000,-26623000,-52808459.9102888,-52808459.9102888,-119000,-5512000,-32254000,46553000,-8557000,37996000,3060000,3060000,3060000,152955000,3509018000,52199000,0.13029,0.04476,-0.00088,-0.00117000000000002,-0.000259999999999996,-33.96161,1.27352,3.55424,0.58662,-0.01186,-0.01186,13.53564,3.05428,0.40279,-0.000309999999999998,0.01058,22.90534,44.6235899999999
"42","2021_Q4",2.23296875,"Up",2171876000,-1950321000,221555000,-160212000,-18925000,-68480000,-72807000,61343000,-68236000,-68379000,24000,-6893000,-19117000,135000,-18982000,-18982000,63000,-18919000,-18919000,5456000,5456000,1042641000,1042641000,333923000,140520000,131696000,8824000,1522540000,2483876000,2088355000,1152198000,744439000,170455000,4572231000,6094771000,1138762000,973471000,165291000,2328000,60062000,60062000,1201152000,3490385000,108422000,108422000,3598807000,4799959000,377936000,-314000,1277078000,1294812000,6094771000,-18982000,72933000,19002000,-38197000,34756000,-25804000,-54199813.2137184,-54199813.2137184,-115000,4547000,-21372000,-10503000,-2936000,-13459000,-75000,-75000,-75000,134276000,3492713000,70140000,0.10201,0.02824,-0.00871,-0.01461,-0.0031,-3.70738,1.26757,3.70707,0.57307,-0.14599,-0.14599,16.75909,2.91389,0.54123,-0.00386,0.01433,25.97081,56.84849
"43","2022_Q1",2.24048387096774,"Up",2533247000,-2338605000,194642000,-161897000,-17397000,-66575000,-77925000,32745000,-66750000,-67636000,251000,-34005000,-27619000,-1791000,-29410000,-29410000,50000,-29360000,-4968000,3822000,3822000,1123163000,1123163000,251277000,168077000,159486000,8591000,1546339000,2462390000,2061616000,1135354000,744439000,159926000,4524006000,6070345000,1225629000,1084910000,140719000,2378000,49195000,49195000,1277202000,3423247000,104346000,104346000,3527593000,4804795000,349008000,-308000,1248156000,1265550000,6070345000,-29410000,70851000,76464000,61030000,178935000,-24798000,-50432759.9102888,-50432759.9102888,0,-91109000,-115907000,-63636000,-956000,-64662000,-1634000,-1634000,-1634000,103596000,3425625000,141619000,0.07683,0.01293,-0.00196,-0.00393,-0.000819999999999999,-28.50624,1.21072,3.79661,0.56432,-0.03805,-0.03805,19.40009,2.67041,1.08455,-0.00104,0.02953,33.03026,104.49849
"44","2022_Q2",1.96403225806452,"Down",2497383000,-2255011000,242372000,-155277000,-16757000,-66660000,-71860000,87095000,-65991000,-67311000,646000,21104000,22934000,172000,23106000,23106000,-245000,22861000,-4679000,816000,816000,1304831000,1304831000,301298000,142373000,133135000,9238000,1749318000,2455580000,2032660000,1116122000,744439000,149528000,4488240000,6237558000,1329462000,1150270000,179192000,2430000,60486000,60486000,1392378000,3453534000,103518000,103518000,3557052000,4949430000,372366000,-358000,1271464000,1288128000,6237558000,23106000,70968000,45512000,-137100000,2485999.99999997,-34155000,-41006000,-41006000,-2856680.94226271,-2266999.99999999,-36422000,32853000,-1923000,30930000,-3006000,-3006000,-3006000,158063000,3455964000,-13364000,0.09705,0.03487,-0.00187,-0.00363,-0.00075,2.85617,1.25635,3.84234,0.55406,-0.03604,-0.03604,19.23428,2.86512,-0.10293,-0.00097,-0.00276,21.85931,39.67103
"45","2022_Q3",1.51890625,"Down",2009447000,-1764120000,245327000,-168904000,-16628000,-68118000,-84158000,76423000,-67105000,-68297000,-15000,9318000,4144000,-537000,3607000,3607000,-97000,3510000,3510000,4540000,4540000,1130760000,1130760000,344719000,162845000,153265000,9580000,1642864000,2446675000,2024628000,1096144000,744439000,162488000,4471303000,6114167000,1144347000,993818000,150529000,2482000,60824000,60824000,1207653000,3510523000,104133000,104133000,3614656000,4822309000,376355000,-440000,1275371000,1291858000,6114167000,3607000,72442000,-11974000,-98233000,-34158000,-45754000,-25418233.482852,-25418233.482852,-346000,22052000,-24048000,63400000,-1470000,61930000,3724000,3724000,3724000,148865000,3513005000,5414999.99999997,0.12209,0.03803,0.00175,0.00272,0.00057,1.54274000000001,1.36038,3.73285,0.57457,0.02686,0.02686,15.37497,2.87626,0.04143,0.00072,0.0011,23.5681,45.9085
