"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q4",2.27359375,"Down",18176166,-13388470,4787696,-7606143,-4610473,-1824613,-1171057,-2818447,-763460,-758668,-3581907,135494,-3446413,82411,-3364002,-3364002,-3364002,-3364002,2883499,2883499,12773565,12773565,87317928,7647419,1458569,110622411,22366775,52411766,39227992,1317963,74778541,185400952,18162524,14323176,3839348,69494179,82231251,136632434,-27248401,103170130,103169701,185400952,-3364002,1171056,653001,-1328841,-2868786,-100704,-100704,3484348,3375418,405928,405928,412118,-1647391,13328321,-3159347,0.26341,-0.15506,-0.18508,-0.03261,-0.01814,0.93916,1.59182,0.79705,0.07189,-0.10152,-0.10152,0.54851,3.11339,-0.09534,-0.02875,-0.02701,-6.34022,-3.70588
"36","2020_Q1",2.30483870967742,"Up",46845212,-21071557,25773655,-8794777,-5645524,-2082478,-1066775,16978878,-782871,-828700,16196007,-19532349,-3336342,70869,-3265473,-3265473,-3217788,-3217788,3431802,3431802,11904313.4605032,11904313.4605032,71295520,16917954,1687490,91645276,20634949,34084044,32714484,1369560,54718993,146364269,13003939,6930829,6073110,33927538,46366057,136785178,-30466618,100045897,99998212,146364269,-3265473,1066775,28763851,13499916,40065069,245397,245396.999999996,-39690659,-39698892,611574,611574,548303,18045653,13271597,31720097,0.55019,0.36245,-0.06869,-0.03218,-0.02198,-9.85773,2.70121,0.46367,0.09068,-0.09669,-0.09669,1.40769,3.00635,0.95318,-0.02834,0.27935,0.54527,0.57953
"37","2020_Q2",2.07587301587302,"Down",12272458,-9199586,3072872,-7301315,-4648326,-1588191,-1064798,-4228443,-720587,-622400,-4949030,-74118,-5023148,-1231,-5024379,-5024379,-4925490,-4925490,1066993,1066993,14213687,14213687,73857297,3225007,1460700,92362984,20362017,39141297,34634596,4506701,59503314,151866298,20036557,14020264,6016293,42787416,56984931,136936777,-35392108,95027941,94881367,151866298,-5024379,1064798,822926,5280604,2143949,-796094,-3429094,-790975,-839849,-2124994,-2124994,-2364809,-3163645,13238379,1322096,0.25039,-0.34455,-0.40135,-0.05191,-0.03243,-0.26842,2.15865,0.60059,0.08717,-0.14798,-0.14798,0.36871,2.85502,0.03972,-0.04466,0.0119899999999999,-3.84727,-2.87846
"38","2020_Q3",2.586875,"Up",12353099,-10160727,2192372,-8137475,-5119598,-1671873,-1346004,-5945103,-501228,-613591,-6446331,-146376,-6592707,-23289,-6615996,-6615996,-6664857,-6664857,2353072,2353072,10243690,10243690,75610319,2123007,1598496,90330088,20344674,38845053,34217214,4627839,59189727,149519815,18635710,13507963,5127747,47146966,60764046,137237605,-42056965,88853482,88755769,149519815,-6615996,1346004,872287.999999996,-1232384,-5630088,1125689,1125689,6550351,5703393,1198994,1198994,1286079,-4599099,12786950,-4682505,0.17748,-0.48126,-0.53953,-0.07509,-0.04458,0.702570000000002,1.91593,0.68462,0.08552,-0.20012,-0.20012,0.37092,2.66793,-0.1406,-0.06423,-0.04513,-2.26868,-1.75504
"39","2020_Q4",2.52390625,"Down",29091885,-22667126,6424759,-9147066,-5895983,-2041650,-1209433,-2722307,-622199,-540624,-3344506,7719,-3336787,7296,-3329491,-3329491,-3281749,-3281749,8466437,8466437,19254556,19254556,70807964,1746268,1746268,100275225,20628422,46696019,37854710,6459625,67324441,167599666,22756692,14739329,8017363,61074216,82383603,137513890,-45338714,85361518,85216063,167599666,-3329491,1209433,1392912,-514788,-1241934,-305576,-7803221,15622663,15482554,6437399,6437399,6113365,-1512874,19646387,-2340534,0.22084,-0.09358,-0.11281,-0.03851,-0.01958,0.7132,1.64186,0.96676,0.11722,-0.09831,-0.09831,0.87151,2.55719,-0.07012,-0.03031,-0.02162,-7.38988,-4.10679
"40","2021_Q1",3.57819672131148,"Up",25864756,-22620497,3244259,-9135454,-5684185,-2035040,-1416229,-5891195,-780537,-749316,-6671732,2263244,-4408488,-368744,-4777232,-4777232,-4802228,-4802228,4123094,4123094,19023098,19023098,63882938,1374677,1374677,88403807,20494312,47057514,38784058,6764781,67551826,155955633,17664586,8045694,9618892,52600276,74619656,137842998,-50140942,81456436,81335977,155955633,-4777232,1416229,625190,1700259,-1035554,-204771,-179744.000000002,-3314816,-3296399,-4511697,-4511697,-4343343,-4474966,16109345,-2610734,0.12543,-0.22777,-0.18567,-0.05904,-0.03079,0.54365,1.68067,0.91742,0.10329,-0.14368,-0.14368,0.77385,2.43711,-0.07811,-0.04568,-0.02483,-2.67851,-2.0346
"41","2021_Q2",3.72507936507936,"Up",13855386,-12074454,1780932,-8079518,-4684744,-2016686,-1378088,-6298586,-781636,-682419,-7080222,-103821,-7184043,-1833,-7185876,-7185876,-7172760,-7172760,3529994,3529994,20208165,20208165,66715986,1335303,1335303,91789448,20060468,46507688,38500527,6439452,66568156,158357604,20870215,12358274,8511941,61807906,83627523,138146140,-57313702,74863656,74730081,158357604,-7185876,1378088,1478298,857507,-3471983,-119525,-119525,2769836,2697613,-893895,-893895,-593100,-4920498,15852101,-4180683,0.12854,-0.45459,-0.51769,-0.09598,-0.04529,0.58286,1.48508,1.11906,0.1001,-0.21443,-0.21443,0.4142,2.23804,-0.12498,-0.07296,-0.04253,-2.50424,-1.95633
"42","2021_Q3",3.07421875,"Down",15051331,-13013171,2038160,-9441479,-5920286,-2109303,-1411890,-7403319,-659813,-863583,-8063132,-289630,-8352762,-42479,-8395241,-8395241,-8466452,-8466452,2926079,2926079,12906291,12906291,71990869,2931605,1981651,90754844,18357931,46974933,38584801,6688936,65332864,156087708,21366175,13790765,7575410,65423476,87579017,140062864,-65780154,68571056,68508691,156087708,-8395241,1411890,1078006,1490249,-4415096,401994,401994,1813206,3130942,-882160,-882160,-603915,-5991429,15410281,-4056707,0.13541,-0.49187,-0.56251,-0.12358,-0.05424,0.47915,1.38719,1.27836,0.09873,-0.25237,-0.25237,0.44866,2.04401,-0.12092,-0.09171,-0.04394,-2.08368,-1.6863
"43","2021_Q4",3.07296875,"Down",32376697,-26206067,6170630,-9492025,-5797322,-2357905,-1336798,-3321395,-780284,-692435,-4101679,1994958,-2106721,257632,-1849089,-1849089,-1847292,-1847292,3364511,3364511,24012608,24012608,65989304,1204298,1204298,94570721,18140972,45829157,37864866,6287105,63970129,158540850,30601339,22583749,8017590,68875887,87709274,144197962,-67627446,70895737,70831576,158540850,-1849089,1336798,-1333968,-116023,-1962282,1817546,1809047,-2876113,836229,682994,682994,438432,-1984597,13134434,-540706,0.19059,-0.10259,-0.05706,-0.02608,-0.01165,0.2927,1.37306,1.23828,0.08285,-0.05288,-0.05288,0.92686,2.02956,-0.01548,-0.02025,-0.00593,-4.92288,-2.94151
"44","2022_Q1",2.30758064516129,"Down",22765622,-19078447,3687175,-6933136,-5465177,-2031892,-1342805,-3245961,-656782,-734292,-3902743,2415397,-1487346,-188962,-1676308,-1676308,-1620010,-1620010,3527937,3527937,19389213,19389213,63395256,1555530,1555530,87867936,17740974,45862066,37130942,7079490,63603040,151470976,25082787,15947918,9134869,61095846,77077783,149721130,-69311909,74424199,74393193,151470976,-1676308,1342805,-3509283,-528895,-4371681,374230,374230,-754070.999999999,4227901,230450,230450,163426,-1903156,13271666,-1868859,0.16196,-0.14258,-0.07116,-0.02178,-0.0107,1.15361,1.4382,1.03609,0.08762,-0.04446,-0.04446,0.62485,2.04271,-0.05129,-0.0176,-0.0203,-5.11977,-3.0018
"45","2022_Q2",1.37193548387097,"Down",15531682,-12405012,3126670,-8913808,-5587635,-1995128,-1331045,-5787138,-873226,-710681,-6660364,80321,-6580043,165802,-6414241,-6414241,-6399975,-6399975,1894727,1894727,22247866,22247866,63270451,1550732,1550732,88963776,17500733,44922622,36207261,7129149,62423355,151387131,27186292,17460233,9726059,74776300,83513228,150077208,-75711884,67919175,67873903,151387131,-6414241,1331045,910214,-1311500,-5484482,-452647,-452647,4973183,4831688,-1105441,-1105441,-1633210,-4456093,12827454,-6386042,0.20131,-0.3726,-0.41206,-0.09429,-0.04228,0.99782,1.18973,1.23042,0.08473,-0.17404,-0.17404,0.42236,1.84694,-0.17366,-0.07527,-0.0751,-2.45343,-1.88914
"46","2022_Q3",0.99828125,"Down",12631409,-10971045,1660364,-10557386,-7073320,-2110413,-1373653,-8897022,-1093143,-810890,-9990165,466376,-9523789,-257776,-9781565,-9781565,-9795102,-9795102,2722066,2722066,16421053,16421053,67700645,1361838,1361838,88205602,17677729,44367652,35671019,7096984,62045381,150250983,25418531,16727229,8691302,54967847,86090454,155892050,-85506986,64192264,64160529,150250983,-9781565,1373653,1310420,4516150,-2581342,-753608,-753608,-923891,3867925,532975,532975,827339,-7523369,35707104,-3503051,0.13145,-0.70436,-0.77546,-0.15267,-0.06519,0.35763,1.60468,1.3418,0.23765,-0.26636,-0.26636,0.34349,1.74559,-0.09526,-0.09437,-0.03375,-4.38434,-3.70742
