"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",26.7654098360656,"Up",78205000,-34232000,43973000,-24811000,-14753000,-8109000,-6644000,-10058000,19162000,240000,-6000.00000000001,246000,19402000,19402000,-8604000,10798000,10798000,10798000,10798000,117029000,34899000,62457000,62457000,54394000,6234000,6234000,240114000,44810000,24775000,2206000,10232000,11924000,413000,69585000,309699000,29438000,13857000,12901000,14657000,7408000,7249000,44095000,3221000,1381000,3221000,47316000,255394000,9113000,-2124000,262383000,262383000,309699000,10798000,1701000,7890000,-15170000,5219000,-2862000,13951000,11089000,-297000,-25398000,-9090000,-9090000,-52000,-9142000,20863000,0,11435000,0.56228,0.24502,0.13807,0.04115,0.03487,1.05899,5.44538,0.18033,-1.61558713389263e-27,0.42508,0.41523,3.07869,10.32923,0.45016,0.04065,0.04305,-5.6094,-6.10735
"31","2018_Q2",34.256875,"Up",82313000,-34782000,47531000,-26967000,-16765000,-9024000,-7741000,-10202000,20564000,259000,-93000,352000,20823000,20823000,-4442000,16381000,16381000,16381000,16381000,123887000,65912000,59034000,59034000,54603000,6905000,6905000,244429000,43795000,23798000,3171000,10611000,9671000,345000,67593000,312022000,31726000,18492000,9669000,16149000,9029000,7120000,47875000,3420000,1944000,3420000,51295000,234817000,26136000,-226000,260727000,260727000,312022000,16381000,1724000,4540000,10069000,32714000,-1319000,23935000,21616000,-476000,-22918000,31412000,31412000,-399000,31013000,22288000,0,35480000,0.57744,0.24983,0.19901,0.06283,0.0525,2.16592,5.10557,0.19674,0,0.68075,0.66908,3.42073,10.83518,1.47446,0.06201,0.13432,-5.55846,-6.02446
"32","2018_Q3",39.324126984127,"Up",88604000,-37713000,50891000,-30107000,-17616000,-10151000,-7465000,-12491000,20784000,-214000,-48000,-166000,20570000,20570000,-2895000,17675000,17675000,17675000,17675000,148702000,86201000,54623000,54623000,56093000,9851000,9851000,269269000,43050000,22484000,4136000,10611000,7405000,332000,65534000,334803000,35566000,18976000,13457000,17470000,8962000,8508000,53036000,3283000,1455000,3283000,56319000,237402000,43811000,-2729000,278484000,278484000,334803000,17675000,1602000,5117000,1863000,26257000,-442000,-4403000,-5845000,-2255000,-91000,20321000,20321000,-32000,20289000,22386000,2.71050543121376e-20,26702000,0.57436,0.23457,0.19948,0.06347,0.05279,1.51072,5.0771,0.20223,1.0097419586829e-28,0.7379,0.72314,3.69908,11.62627,1.11477,0.06273,0.09477,-6.64263,-7.15464
"33","2018_Q4",30.8284126984127,"Down",76590000,-32956000,43634000,-29363000,-16646000,-8902000,-7744000,-12717000,14271000,218000,-104000,322000,14489000,14489000,-2921000,11568000,11568000,11568000,11568000,172938000,96103000,50349000,50349000,60742000,7070000,7070000,291099000,43135000,22218000,4101000,10611000,7050000,456000,65353000,356452000,38948000,20870000,14895000,20168000,11698000,8470000,59116000,3261000,1514000,3261000,62377000,241342000,55380000,-2647000,294075000,294075000,356452000,11568000,1636000,4148000,7085000,24437000,-1181000,-14165000,-15346000,-391000,726000,9817000,9817000,85000,9902000,15907000,0,24732000,0.56971,0.18633,0.15104,0.03934,0.03245,2.13797,4.9242,0.21211,0,0.48082,0.47282,3.18342,12.22308,1.02797,0.03891,0.08318,-10.87182,-12.11814
"34","2019_Q1",29.4067213114754,"Down",26277000,-20054000,6223000,-10758000,-4681000,6067000,-10748000,-4543000,-4535000,1999000,2451000,-452000,-2536000,-2536000,2008000,-528000,-528000,-528000,-528000,151792000,110951000,50854000,50854000,62095000,6140000,6140000,270881000,47900000,56849000,27326000,26372000,2569000,582000,104749000,375630000,41362000,16540000,21658000,18411000,8990000,9421000,59773000,3005000,1090000,3005000,62778000,248007000,67402000,-2557000,312852000,312852000,375630000,-528000.000000002,-114000,554000,-48226000,-48314000,-4600000,40947000,33347000,282000,-1626000,-16593000,-16593000,7000,-16586000,-4649000,-1.6940658945086e-21,-59483000,0.23682,-0.17258,-0.02009,-0.00169,-0.00141,112.6572,4.53183,0.20066,0,-0.02163,-0.0211100000000001,1.07671,12.81918,-2.43733,-0.00167,-0.18832,32.65046,33.47122
"35","2019_Q2",31.9598412698413,"Up",67100000,-33312000,33788000,-30463000,-17187000,-9282000,-7905000,-12987000,3325000,179000,-91000,270000,3504000,3504000,-531000,2973000,2973000,2973000,2973000,148063000,95212000,45252000,45252000,63819000,7235000,7235000,264369000,50532000,67424000,26572000,26372000,2473000,12007000,117956000,382325000,30014000,18901000,9490000,20393000,10641000,9752000,50407000,11532000,9861000,11532000,61939000,251866000,70375000,-1855000,320386000,320386000,382325000,2973000,2406000,4867000,-11102000,-856000,-4132000,-11832000,-15964000,-803000,745000,-16075000,-16075000,336000,-15739000,5731000,0,-8972000,0.50355,0.04955,0.04431,0.00928,0.00778,-3.01783,5.24469,0.19333,0,0.12148,0.11996,2.74169,13.09087,-0.36659,0.00896,-0.02703,-25.83546,-44.53023
"36","2019_Q3",31.148125,"Down",67620000,-32448000,35172000,-31423000,-16129000,-8244000,-7885000,-14098000,3749000,813000,-15000,828000,4562000,4562000,-632000,3930000,3930000,3930000,3930000,144982000,94035000,51602000,51602000,67640000,7955000,7955000,272179000,52779000,66141000,25811000,26310000,2807000,11213000,118920000,391099000,30937000,19459000,10361000,20018000,9865000,10153000,50955000,11164000,9385000,11164000,62119000,256528000,74305000,-1853000,328980000,328980000,391099000,3930000,2655000,3508000,-11540000,-1447000.00000001,-3286000,2066000,-1220000,-1525000,1462000,-1205000,-1205000,28000,-1177000,6404000,-1.05879118406788e-22,-7790000,0.52014,0.0554400000000001,0.05812,0.01195,0.01005,-1.98219,5.34156,0.18882,3.94430452610506e-31,0.15985,0.15772,2.75035,13.38079,-0.31685,0.01155,-0.0229,-22.63929,-38.67218
"37","2019_Q4",33.964375,"Up",50618000,-25298000,25320000,-14078000,-10994000,1912000,-12906000,-4569000,11242000,2516000,2773000,-257000,13758000,13758000,-999000,12759000,12759000,12759000,12759000,144110000,51009000,56969000,56969000,69808000,7398000,7398000,278285000,52449000,65489000,25078000,26310000,3664000,10437000,117938000,396223000,30986000,17541000,12283000,18845000,7370000,11475000,49831000,10620000,9030000,10620000,60451000,259769000,78516000,-2513000,335772000,335772000,396223000,12759000,-1662000,-409000,16515000,27203000,3217000,19052000,22269000,740000,-4539000,44933000,44933000,-703000,44230000,9580000,0,30311000,0.50022,0.22209,0.25206,0.038,0.0322,2.37566,5.58458,0.18004,0,0.51379,0.5072,2.03834,13.5212,1.22059,0.03683,0.0875,-15.0428,-12.81889
"38","2020_Q1",34.1956451612903,"Up",120558000,-79810000,40748000,-64107000,-36958000,-12637000,-24321000,-16704000,-23359000,938000,999000,-60999.9999999999,-22421000,-22421000,4669000,-17752000,-17752000,-17752000,-17752000,320236000,130673000,123656000,123656000,176134000,21638000,21638000,641664000,98420000,708496000,371953000,307148000,1456000,27939000,806916000,1448580000,53942000,27738000,26204000,31801000,12629000,19172000,85743000,98811000,31771000,98811000,184554000,1269487000,-4863000,-598000,1264026000,1264026000,1448580000,-17752000,13011000,27173000,-29186000,-6754000,-2601000,-42262000,-980999.999999996,-1866000,-1866000,-9601000,-9601000,572000,-9029000,-10348000,-6.61744490042422e-24,-46804000,0.33799,-0.19376,-0.14725,-0.01404,-0.01225,2.63655,7.48357,0.146,0,-0.39429,-0.39299,2.6777,28.07512,-1.03956,-0.01303,-0.03434,30.94666,13.70932
"39","2020_Q2",32.5053968253968,"Down",139928000,-77297000,62631000,-67877000,-33218000,-13071000,-20147000,-20927000,-5246000,1242000,1210000,32000,-4004000,-4004000,-4e+05,-4404000,-4404000,-4404000,-4404000,291949000,101320000,149229000,149229000,160543000,26798000,26798000,628519000,96973000,690895000,358222000,307626000,1397000,23650000,787868000,1416387000,61600000,32205000,29395000,32728000,15570000,17158000,94328000,96254000,29991000,96254000,190582000,1238427000,-9267000,-3355000,1225805000,1225805000,1416387000,-4404000,16835000,14637000,-18170000,8898000,-997000,-1603000,-2600000,-1401000,-35015000,-28717000,-28717000,-636000,-29353000,11589000,0,-7178000,0.44759,-0.03749,-0.03147,-0.00359,-0.00311,1.62988,6.66312,0.15547,0,-0.08787,-0.08787,2.7918,24.45691,-0.14321,-0.00333,-0.00543,-25.19191,55.65173
"40","2020_Q3",33.16875,"Up",134948000,-63363000,71585000,-63655000,-27785000,-11869000,-15916000,-22167000,7930000,-512000,686000,-1198000,7418000,7418000,6000.00000000047,7424000,7424000,7424000,7424000,312061000,129388000,137529000,137529000,171836000,23486000,23486000,644912000,95517000,676343000,344569000,307626000,1285000,22863000,771860000,1416772000,69449000,34318000,35131000,29266000,15656000,13610000,98715000,96848000,30577000,96848000,195563000,1223117000,-1843000,-65000.0000000005,1221209000,1221209000,1416772000,7424000,16840000,8476000,5233000,37973000,-1612000,8712000,9948000,-2134000,-20520000,27401000,27401000,667000,28068000,24770000,0,28385000,0.53046,0.05876,0.05501,0.00608,0.00524,3.82341,6.53307,0.16014,0,0.1524,0.15015,2.77027,25.06947,0.5827,0.00563,0.02154,-12.59834,-39.35195
"41","2020_Q4",40.085625,"Up",126492000,-57604000,68888000,-59606000,-26282000,-11924000,-14358000,-19678000,9282000,-355000,544000,-899000,8927000,8927000,-836000,8091000,8091000,8091000,8091000,340403000,101606000,131429000,131429000,184981000,19908000,19908000,676721000,92716000,661278000,330923000,307626000,1292000,21437000,753994000,1430715000,68549000,37486000,31063000,28682000,15871000,12811000,97231000,95801000,31523000,95801000,193032000,1229769000,6248000,1666000,1237683000,1237683000,1430715000,8091000,17240000,6025000,-5368000,25988000,-782000,-56273000,-57055000,2399000,2399000,-28668000,-28668000,886000,-27782000,26522000,0,21208000,0.5446,0.07338,0.06396,0.00654,0.00566,2.62118,6.95993,0.15596,0,0.1656,0.16482,2.58892,25.33173,0.43407,0.00607,0.0159,-12.83474,-36.67345
"42","2021_Q1",59.5537704918033,"Up",155128000,-79779000,75349000,-60638000,-26161000,-11272000,-14889000,-21812000,14711000,-184000,459000,-643000,14527000,14527000,5387000,19914000,19914000,19914000,19914000,373722000,136720000,149251000,149251000,191217000,17471000,17471000,731661000,87950000,648561000,318357000,306632000,2235000,21337000,736511000,1468172000,77258000,40183000,37075000,42833000,14334000,28499000,120091000,83335000,27712000,83335000,203426000,1234016000,26162000,4568000,1264746000,1264746000,1468172000,19914000,16663000,6985000,-10437000,33125000,-438000,1546000,1108000.00000001,-566000.000000001,-565999.999999998,33667000,33667000,1447000,35114000,31374000,5.16987882845642e-26,15112000,0.48572,0.09483,0.12837,0.01575,0.01356,0.75886,6.09255,0.16084,-1.92592994438724e-34,0.40765,0.40437,3.17553,25.88987,0.30935,0.01477,0.01121,-11.91184,-25.40426
"43","2021_Q2",68.7039682539683,"Up",169279000,-78810000,90469000,-62984000,-28663000,-13104000,-15559000,-21964000,27485000,-883000,361000,-1244000,26602000,26602000,-2489000,24113000,24113000,24113000,24113000,392900000,126450000,141876000,141876000,200896000,19156000,19156000,754828000,87679000,661212000,318210000,313891000,2332000,26779000,748891000,1503719000,74547000,45622000,28925000,51865000,21424000,30441000,126412000,84995000,28737000,84995000,211407000,1239499000,50275000,2538000,1292312000,1292312000,1503719000,24113000,15975000,9582000,1329000,50999000,-3875000,-29679000,-60349000,593000,593000,-8757000,-8757000,-1513000,-10270000,43460000,0,43403000,0.53444,0.16237,0.14245,0.01866,0.01604,1.79998,5.97117,0.16359,0,0.4921,0.48642,3.45467,26.37371,0.88578,0.01751,0.03151,-9.0405,-14.29507
"44","2021_Q3",72.10890625,"Up",193387000,-87931000,105456000,-69515000,-31684000,-15429000,-16255000,-25507000,35941000,15000.0000000001,304000,-289000,35956000,35956000,-905000,35051000,35051000,35051000,35051000,410839000,134218000,174662000,174662000,206981000,19147000,19147000,811629000,88015000,646849000,305886000,313891000,2263000,24809000,734864000,1546493000,87642000,46685000,40957000,45526000,21190000,24336000,133168000,83762000,27895000,83762000,216930000,1241729000,85326000,2508000,1329563000,1329563000,1546493000,35051000,16190000,7265000,-33077000,25429000,-5683000,-10366000,-16049000,-3877000,-3877000,5503000,5503000,2265000,7768000.00000001,52131000,0,14276000,0.54531,0.18585,0.18125,0.02636,0.02266,0.40729,6.09478,0.16316,0,0.71533,0.70707,3.94667,27.13394,0.29135,0.0248,0.0101,-7.8809,-11.43093
"45","2021_Q4",86.2921875,"Up",200589000,-91231000,109358000,-66232000,-29428000,-16111985.3368674,-16283166.8289402,-23811000,43126000,-57000,234000,-291000,43069000,43069000,-6621000,36448000,36448000,36448000,36448000,461551000,152207000,179766000,179766000,222311000,21846000,21846000,885474000,85685000,632104000,292892000,313891000,2254000,23067000,717789000,1603263000,93509000,50867000,42642000,55108000,26551000,28557000,148617000,81096000,26742000,81096000,229713000,1248752000,121774000,3024000,1373550000,1373550000,1603263000,36448000,16553000,5668000,-8817000,49852000,-1618000,-32912000,-34530000,2913000,2913000,18235000,18235000,-246000,17989000,59679000,0,55865000,0.54518,0.215,0.1817,0.02654,0.02273,1.53273,5.95809,0.16724,0,0.7384,0.73245,4.06371,27.82662,1.13176,0.02506,0.0384,-7.73389,-10.70238
"46","2022_Q1",88.9208064516129,"Up",225644000,-101841000,123803000,-73948000,-35420000,-15766845.2143702,-16083169.8002347,-24836000,49855000,2e+05,264000,-64000.0000000001,50055000,50055000,-3318000,46737000,46737000,46737000,46737000,511343000,169602000,177205000,177205000,243108000,16433000,16433000,948089000,82094000,619630000,277281000,315811000,4822000,21716000,701724000,1649813000,96387000,53345000,43042000,58139000,29979000,28160000,154526000,69232000,28951000,69232000,223758000,1256228000,168511000,1316000,1426055000,1426055000,1649813000,46738000,17083000,-4756000,-10064000,49001000,-863000,-33002000,-30865000,3041000,3041000,21177000,21177000,-3782000,17395000,66938000,0,59329000,0.54867,0.22095,0.20713,0.03277,0.02833,1.26942,6.13547,0.15691,0,0.94684,0.93921,4.5713,28.89032,1.20194,0.03126,0.03968,-7.63905,-10.2566
"47","2022_Q2",73.9954838709677,"Down",241350000,-110327000,131023000,-72279000,-32119000,-15632000,-16487000,-26341000,58744000,173000,377000,-204000,58917000,58917000,-5587000,53330000,53330000,53330000,53330000,541911000,172463000,206695000,206695000,263008000,20628000,20628000,1032242000,81689000,608476000,263512000,315811000,4669000,24484000,690165000,1722407000,108498000,70757000,37741000,76181000,36462000,39719000,184679000,65407000,32011000,65407000,250086000,1255777000,221841000,-5297000,1472321000,1472321000,1722407000,53330000,16185000,1325000,-25384000,45456000,-2494000,-30806000,-33300000,-7570000,-7570000,4586000,4586000,-1725000,2861000,74929000,0,52638000,0.54288,0.2434,0.22097,0.03622,0.03096,0.98702,5.58938,0.16986,0,1.08041,1.0717,4.88949,29.82762,1.06639,0.03468,0.03423,-7.23233,-9.22496
"48","2022_Q3",73.47078125,"Down",256310000,-124183000,132127000,-74676000,-35219000,-16913000,-18306000,-25637000,57451000,-198000,661000,-859000,57253000,57253000,-5678000,51575000,51575000,51575000,51575000,5.45e+08,180175000,234731000,234731000,280613000,25287000,25287000,1085631000,82986000,592843000,249742000,315811000,4461000,22829000,675829000,1761460000,111205000,72248000,38957000,65462000,32121000,33341000,176667000,56850000,31428000,56850000,233517000,1265206000,273416000,-10679000,1527943000,1527943000,1761460000,51575000,16120000,4437000,-62200000,9932000,-4408000,4502000,94000,1445000,1445000,11471000,11471000,-3759000,7712000,73571000,2.52435489670724e-29,12641000,0.5155,0.22415,0.20122,0.03375,0.02928,0.2451,6.14507,0.15283,0,1.03946,1.03342,5.16577,30.79475,0.25477,0.03254,0.00798,-7.40781,-9.48634
