"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",60.2925396825397,"Up",506859000,-336110000,170749000,-123660000,-79278000,-39386000,-4996000,47089000,-1882000,-2589000,707000,45207000,-40679000,4528000,-13430000,-8902000,-8902000,-983000,-9885000,-9885000,151380000,151380000,368710000,368710000,189553000,122037000,122037000,831680000,180867000,695578000,82733000,475705000,91808000,45332000,876445000,1708125000,310800000,203986000,106814000,155766000,80342000,75424000,479222000,348744000,218167000,86310000,86310000,1680000,130177000,566911000,1046133000,1259704000,-421185000,-194694000,643825000,661992000,1708125000,-8902000,16082000,18676000,4898000,30754000,-10679000,-284000,-10963000,-2813000,37000,37000,1021000,-1755000,18036000,18036000,1330000,19366000,63171000,361400000,70820000,0.33688,0.0929,-0.0195,-0.01493,-0.00579,-7.16439,1.73548,1.58028,0.21158,-0.25844,-0.25844,13.25191,16.83291,1.8516,-0.00796,0.05704,3.32463,4.46006
"28","2017_Q1",62.1532258064516,"Up",495713000,-336838000,158875000,-115543000,-69753000,-39680000,-6110000,43332000,-7542000,-4906000,-2636000,35790000,-7796000,27994000,-15325000,12669000,12669000,-1020000,11649000,11649000,133565000,133565000,351506000,351506000,163049000,84346000,84346000,732466000,176458000,668887000,72151000,452494000,94113000,50129000,845345000,1577811000,265508000,172711000,92797000,133475000,64976000,68499000,413046000,308888000,205524000,84498000,84498000,3073000,117953000,514412000,927458000,1270467000,-409536000,-229327000,631604000,650353000,1577811000,12669000,16755000,8101000,-3564000,33961000,-12980000,-1776000,-14756000,-34211000,898000,898000,986000,-32327000,-13122000,-13122000,-4693000,-17815000,60087000,322951000,58868000,0.3205,0.08741,0.0235,0.01791,0.00738,5.05348,1.77333,1.42608,0.20468,0.30427,0.29542,12.94797,16.49743,1.53763,0.00988,0.04994,3.15186,4.37058
"29","2017_Q2",65.5896825396825,"Up",477592000,-319955000,157637000,-123758000,-78442000,-40767000,-4549000,33879000,-5766000,-2930000,-2836000,28113000,-3052000,25061000,-9047000,16014000,16014000,-169000,15845000,15845000,187928000,187928000,344411000,344411000,178060000,95424000,95424000,805823000,178647000,689453000,69485000,462906000,106896000,50166000,868100000,1673923000,294758000,194012000,100746000,154564000,84705000,69859000,464791000,306302000,200223000,87663000,87663000,3214000,109346000,506525000,971316000,1276298000,-379326000,-213618000,683354000,702607000,1673923000,16014000,14378000,7305000,25560000,63257000,-9122000,-78000,-9200000,-2813000,405000,405000,155000,-2253000,51804000,51804000,2559000,54363000,48257000,321771000,73742000,0.33007,0.07094,0.03318,0.02255,0.00947,4.65396,1.73373,1.38245,0.19223,0.41184,0.40405,12.41337,17.76145,1.91667,0.01294,0.06022,2.77355,3.95062
"30","2017_Q3",72.5595238095238,"Up",503082000,-324805000,178277000,-135606000,-87612000,-43024000,-4970000,42671000,-6061000,-2941000,-3120000,36610000,-5043000,31567000,-16560000,15007000,15007000,-910000,14097000,14097000,127880000,127880000,374180000,374180000,203634000,93266000,93266000,798960000,186506000,794158000,104144000,541071000,96062000,52881000,980664000,1779624000,323092000,208379000,114713000,164820000,79112000,85708000,504787000,321710000,209630000,93263000,93263000,3350000,113017000,531340000,1036127000,1282085000,-365229000,-193209000,723647000,743497000,1779624000,15007000,15090000,12915000,-12825000,30187000,-12776000,-378000,-112631000,17188000,1793000,1793000,797000,19778000,-62666000,-62666000,2618000,-60048000,57761000,338585000,48720000,0.35437,0.08482,0.02802,0.01896,0.00792,3.45605,1.58277,1.39359,0.19026,0.36442,0.35841,13.00525,18.70711,1.25947,0.01091,0.03772,3.64788,4.9379
"31","2017_Q4",71.488253968254,"Down",486747000,-320992000,165755000,-128207000,-80127000,-42455000,-5625000,37548000,-4732000,-2737000,-1995000,32816000,678000,33494000,-6640000,26854000,26854000,-1278000,25576000,25576000,137584000,137584000,376149000,376149000,207703000,112959000,112959000,834395000,192784000,790759000,100289000,550732000,95666000,44072000,983543000,1817938000,328513000,212564000,115949000,151600000,74598000,77002000,498394000,317174000,211849000,96849000,96849000,3447000,111553000,529023000,1027417000,1287803000,-339654000,-177743000,770406000,790521000,1817938000,26854000,16532000,5840000,-28169000,21057000,-11595000,466000,-10500000,-4219000,599000,599000,264000,-3356000,7201000,7201000,2503000,9704000,54080000,335455000,20956000,0.34054,0.07714,0.05254,0.03235,0.01407,0.81936,1.67417,1.29967,0.18452,0.66066,0.64804,12.57322,19.90045,0.54132,0.01912,0.01566,3.65886,5.26981
"32","2018_Q1",71.5809836065574,"Up",550776000,-375694000,175082000,-127885000,-79083000,-43161000,-5641000,47197000,-3743000,-3111000,-632000,43454000,999000,44453000,-42079000,2374000,2374000,-594000,1780000,1780000,176274000,176274000,398029000,398029000,193835000,81604000,81604000,849742000,200768000,1055637000,95228000,555762000,49971000,354676000,1256405000,2106147000,368771000,262166000,106605000,119324000,41438000,77886000,507783000,607284000,185448000,95717000,95717000,1525000,88206000,792732000,1300515000,1294767000,-337873000,-170478000,786416000,805632000,2106147000,2374000,17215000,48457000,8807000,76853000,-16002000,692000,-15848000,295781000,812000,812000,-8803000,287790000,348795000,348795000,956000,349751000,64412000,626972000,99296000,0.31788,0.08569,0.00323,0.00221,0.00085,55.78427,1.67344,1.61428,0.29769,0.0459399999999998,0.04502,14.21357,20.29461,2.56248,0.0011,0.06137,6.99711,9.54929
"33","2018_Q2",63.33,"Down",607221000,-427366000,179855000,-232438000,-154414000,-60284000,-17740000,-52583000,-16010000,-14843000,-1167000,-68593000,-87865000,-156458000,11188000,-145270000,-145270000,-396000,-145666000,-145666000,143951000,143951000,481389000,481389000,209373000,97925000,97925000,932638000,234924000,1568967000,318984000,1142757000,58917000,48309000.0000001,1803891000,2736529000,417673000,275702000,141971000,204085000,87293000,116792000,638008000,1120984000,272934000,100045000,100045000,1571000,171318000,1393918000,2031926000,1310379000,-471812000,-152595000,685972000,704603000,2736529000,-145270000,31072000,-5086000,94836000,-24448000,-17433000,1e+05,-819821000,523543000,3384000,3384000,-25088000,501839000,-342430000,-342430000,563000,-341867000,-21511000,1137234000,44704000,0.29619,-0.0866,-0.23989,-0.20673,-0.05323,-0.30689,1.4618,2.88379,0.41558,-3.7403,-3.7403,15.59176,17.61387,1.14788,-0.06888,0.02114,-46.17558,-18.88981
"34","2018_Q3",63.0880952380952,"Down",585890000,-409313000,176577000,-161637000,-88863000,-54775000,-17999000,14940000,-13009000,-14012000,1003000,1931000,5623000,7554000,-3781000,3772999.99999997,3772999.99999997,-1116000,2656999.99999997,2656999.99999997,162882000,162882000,443394000,443394000,195056000,95418000,95418000,896750000,223435000,1523388000,296778000,1119409000,58305000,48896000,1746823000,2643573000,366548000,249013000,117535000,208636000,94546000,114090000,595497000,1112843000,252247000,94386000,94386000,1455000,156406000,1365090000,1960587000,1317781000,-469155000,-185868000,662758000,682986000,2643573000,3772999.99999997,30907000,12817000,-6169999.99999997,41327000,-11876000,-643000,-12519000.0000001,-3839000,1543000,1543000,-1534000,-3830000,24978000.0000001,24978000,-5404000,19573999.9999998,45847000,1133156000,31582000,0.30138,0.0255,0.00452999999999998,0.00389,0.00101,11.88634,1.50589,2.87061,0.42865,0.067709999999999,0.066780000000001,14.9298,16.88857,0.80478,0.00128,0.01527,21.1633,64.94471
"35","2018_Q4",52.855873015873,"Down",595962000,-398865000,197097000,-154755000,-89556000,-47239000,-17960000,42342000,-16174000,-13740000,-2434000,26168000,-666000.000000015,25502000,-5715000,19787000,19787000,95000,19882000,19882000,109044000,109044000,449592000,449592000,208038000,101511000,101511000,868185000,220795000,1507762000,278192000,1121895000,56874000,50801000,1728557000,2596742000,396999000,274950000,122049000,194471000,92350000,102121000,615845000,1019001000,249564000,96081000,96081000,1462000,152021000,1268565000,1884410000,1326719000,-449273000,-185246000,692200000,712332000,2596742000,19787000,30449000,8561000,-8293000,50504000,-13184000,362000,-13409000,-90063000,3356000,3356000,-2946000,-89653000,-52558000,-52558000,-1334000,-53892000,72791000,1043376000,57029000,0.33072,0.07105,0.03336,0.02791,0.00766,2.86837,1.40975,2.64541,0.4018,0.50539,0.49818,15.14901,17.59532,1.44964,0.00990999999999999,0.02844,12.83582,22.06632
"36","2019_Q1",53.0513114754098,"Up",587044000,-410254000,176790000,-153998000,-90377000,-45607000,-18014000,22792000,-14266000,-13455000,-811000,8526000,5725000,14251000,10878000,25129000,25129000,-1252000,23877000,23877000,120221000,120221000,437161000,437161000,220674000,118085000,118085000,896141000,226551000,1486290000,257583000,1116533000,64830000,47344000,1712841000,2608982000,413307000,309951000,103356000,210962000,93621000,117341000,652707000,1001423000,220804000,91522000,91522000,1543000,127739000,1222227000,1874934000,1334364000,-425396000,-196305000,712663000,734048000,2608982000,25129000,30069000,5198000,-18024000,42372000,-17459000,550000,-16909000,-14062000,888000,888000,639000,-12535000,12928000,12928000,-1750000,11178000,52861000,1029861000,6500000,0.30115,0.03883,0.04067,0.03253,0.00915,0.272229999999998,1.37296,2.55424,0.39474,0.60528,0.62288,14.88146,18.06588,0.16477,0.01203,0.00328,17.20815,39.91049
"37","2019_Q2",55.561746031746,"Up",614576000,-427313000,187263000,-159178000,-92715000,-111078286.365071,-15973000,28085000,-14851000,-13207000,-1644000,13234000,-7262000,5972000,-6121000,-149000,-149000,-1758000,-1907000,-1907000,110828000,110828000,473077000,473077000,221097000,129975000,129975000,934977000,224938000,1536704000,239988000,1106305000,63493000,126918000,1761642000,2696619000,444828000,331441000,113387000,198550000,87937000,110613000,665878000,998774000,299936000,90925000,90925000,1509000,207502000,1298710000,1964588000,1334793000,-427303000,-198085000,709405000,732031000,2696619000,-149000,28427000,13025000,-16379000,24924000,-11415000,299000,-11116000,-14063000,-6776000,1758000,-2404000,-23243000,-9435000,-9435000,72000,-9363000,56512000,1021274000,34839000,0.3047,0.0457,-0.0031,-0.00261,-0.00071,-18.26901,1.40413,2.68375,0.37872,-0.04809,-0.04809,15.4969,17.88807,0.87849,-0.00093,0.01697,16.11067,32.41752
"38","2019_Q3",67.2640625,"Up",635037000,-443823000,191214000,-153825000,-88259000,-205311883.458163,-16117000,37389000,-15022000,-12962000,-2060000,22367000,6169000,28536000,-8419000,20117000,20117000,-671000,19446000,19446000,135736000,135736000,466366000,466366000,229910000,130584000,130584000,962596000,228513000,1515245000,221767000,1110061000,60977000,122440000,1743758000,2706354000,440274000,320582000,119692000,203323000,95197000,108126000,670160000,987835000,301760000,92073000,92073000,1514000,208173000,1289595000,1959755000,1325508000,-407857000,-194349000,723302000,746599000,2706354000,20117000,28641000,5951000,-1570000,53139000,-15096000,9474000,-5622000,-8125000,-14223000,2243000,-936000.000000001,-23284000,24233000,24233000,655000,24888000,66030000,1014398000,57783000,0.30111,0.05888,0.03062,0.02605,0.00719,2.97146,1.43637,2.62491,0.37482,0.4937,0.48503,16.1226,18.36351,1.46702,0.00943,0.02801,13.30701,23.50055
"39","2019_Q4",78.7178125,"Up",624474000,-428070000,196404000,-150373000,-83666000,-258841288.822174,-16095000,46031000,-15110000,-12351000,-2759000,30921000,-6592000,24329000,-6152000,18177000,18177000,-1330000,16847000,16847000,140938000,140938000,468477000,468477000,231081000,126527000,126527000,967023000,225658000,1483207000,202321000,1097408000,59332000,124146000,1708865000,2675888000,450829000,315394000,135435000,195024000,94989000,100035000,684603000,946258000,283111000,88374000,88374000,1445000,193292000,1229369000,1913972000,1335353000,-391010000,-207054000,737289000,761916000,2675888000,18177000,28623000,16343000,-13106000,50037000,-18059000,204000,-17855000,-28125000,3116000,3116000,-2056000,-27065000,5117000,5117000,-1270000,3847000,74654000,985008000,49641000,0.31451,0.07371,0.02698,0.02211,0.0063,2.94658,1.41253,2.51205,0.36811,0.42674,0.42221,15.81828,18.67595,1.25743,0.0083,0.02445,11.30643,18.33699
"40","2020_Q1",76.0083870967742,"Down",628383000,-450945000,177438000,-149982000,-82232000,-202200000,-16101000,27456000,-14668000,-12084000,-2584000,12788000,1407000,14195000,75000,14270000,14270000,350000,14620000,14620000,149904000,149904000,472925000,472925000,227896000,146526000,146526000,997251000,233228000,1477362000,185097000,1103907000,63899000,124459000,1710590000,2707841000,469541000,328128000,141413000,201850000,99556000,102294000,671391000,947214000,288421000,98712000,98712000,1809000,187900000,1235635000,1907026000,1357600000,-376390000,-204672000,776538000,800815000,2707841000,14270000,28709000,9958000,-8197000,44740000,-16179000,2592000,-13587000,-37344000,17273000,17273000,-3856000,-23927000,7226000.00000001,7226000.00000001,978000,8204000.00000001,56165000,947214000,31714000,0.28237,0.04369,0.02327,0.01826,0.0054,2.16922,1.48535,2.38136,0.3498,0.36826,0.36307,15.82829,19.56015,0.79884,0.00718,0.01557,14.19585,29.03955
"41","2020_Q2",63.6953968253968,"Down",598415000,-426849000,171566000,-145444000,-80498000,-53781000,-11165000,26122000,-9658000,-10724000,1066000,16464000,248000,16712000,-7550000,9162000,9162000,-478000,8684000,8684000,554520000,554520000,463613000,463613000,221850000,147743000,147743000,1387726000,225925000,1458096000,170810000,1100328000,62064000,124894000,1684021000,3071747000,441096000,326433000,114663000,219279000,118231000,101048000,667094000,1338866000,270292000,97523000,97523000,1774000,170995000,1609158000,2276252000,1368329000,-367706000,-229883000,770740000,795495000,3071747000,9162000,24031000,17218000,-31517000,18894000,-12602000,3345000,-9257000,4e+08,2247000,2911000,-510000,401737000,411374000,411374000,-6758000,404616000,50153000,1345585000,13584000,0.2867,0.04365,0.01451,0.01092,0.00283,1.56426,2.08026,2.86143,0.43805,0.21687,0.21456,14.94431,19.24781,0.33924,0.0036,0.00563,15.77303,30.28348
"42","2020_Q3",63.5715625,"Down",509594000,-371077000,138517000,-129672000,-69538000,-48994000,-11140000,8845000,-12299000,-10426000,-1873000,-3454000,-54232000,-57686000,-4801000,-62487000,-62487000,-315000,-62802000,-62802000,544823000,544823000,411200000,411200000,226564000,172241000,172241000,1354828000,216319000,1440995000,157125000,1101648000,57835000,124387000,1657314000,3012142000,366314000,240221000,126093000,221302000,124834000,96468000,601679000,1331722000,275872000,99184000,99184000,1794000,174894000,1607594000,2209273000,1376134000,-430508000,-167827000,777799000,802869000,3012142000,-62487000,24199000,72245000,-27065000,6892000,-16447000,175000,-19902000,5.96046447753906e-08,1936000,1272000,-1710000,226000,-12784000.0000001,-12784000,3087000,-9697000.00000006,33044000,1345785000,-5667000,0.27182,0.01736,-0.12324,-0.07822,-0.02085,0.0902400000000001,2.25175,2.75172,0.44679,-1.56158,-1.57849,12.67111,19.34006,-0.14091,-0.0259,-0.00234,24.23926,90.55534
"43","2020_Q4",76.88640625,"Up",540184000,-396933000,143251000,-122389000,-64982000,-46224000,-11183000,20862000,-13063000,-10456000,-2607000,7799000,-44842000,-37043000,11985000,-25058000,-25058000,-299000,-25357000,-25357000,586167000,586167000,386920000,386920000,205178000,173906000,173906000,1352171000,205930000,1457823000,144888000,1114511000,72305000,126119000,1663753000,3015924000,338943000,232236000,106707000,226356000,117729000,108627000,586705000,1324428000,307526000,103273000,103273000,1854000,202399000,1631954000,2218659000,1381774000,-455865000,-154013000,771896000,797265000,3015924000,-25058000,24076000,7686000,38081000,44785000,-7248000,53000,-4313000,0,876000,876000,-249000,627000,41099000,41099000,245000,41344000,44938000,1345834000,63786000,0.26519,0.03862,-0.04694,-0.0318,-0.00841,-2.51552,2.30469,2.78284,0.44624,-0.62863,-0.62863,13.39177,19.13618,1.58133,-0.01035,0.02603,16.90478,36.41391
"44","2021_Q1",98.8867213114754,"Up",525157000,-376324000,148833000,-118227000,-61902000,-45102000,-11223000,30606000,-11224000,-9397000,-1827000,19382000,1996000,21378000,127999.999999998,21506000,21506000,14000,21520000,21520000,206933000,206933000,369828000,369828000,182377000,171124000,171124000,930262000,207816000,1468945000,132955000,1131916000,76142000,127932000,1676761000,2607023000,317692000,215639000,102053000,213848000,112928000,100920000,549899000,915638000,301213000,119457000,119457000,1921000,179835000,1216851000,1766750000,1389419000,-434345000,-138526000,816548000,840273000,2607023000,21506000,24984000,13370000,-20917000,38943000,-9911000,466000,-7564000,-414063000,3827000.00000003,3827000,-3930000,-414166000,-382787000,-382787000,3553000,-379234000,55590000,933997000,24634000,0.28341,0.05828,0.04098,0.02561,0.00825,1.1447,1.6917,2.10259,0.35826,0.53248,0.53248,12.99411,20.20408,0.60953,0.01037,0.01187,13.07904,23.7556
"45","2021_Q2",92.7690476190476,"Down",519574000,-352530000,167044000,-136692000,-75992000,-51727000,-8973000,30352000,-12699000,-9933000,-2766000,17653000,588000,18241000,-4661000,13580000,13580000,-977000,12603000,12603000,574592000,574592000,365826000,365826000,169412000,150271000,150271000,1260101000,199650000,1468217000,122861000,1118322000,94620000,132414000,1667867000,2927968000,286245000,181606000,104639000,223317000,130403000,92914000,909562000,513841000,283397000,115257000,115257000,1806000,166334000,797238000,1706800000,1768517000,-421742000,-150309000,1196466000,1221168000,2927968000,13580000,21810000,17370000,-2805000,49955000,-11412000,2764000,-5806000,30349000,391657000,391657000,-97425000,324581000,368730000,368730000,-1071000,367659000,52162000,913841000,42606000,0.3215,0.05842,0.02426,0.01032,0.0043,3.38062,1.38539,1.39768,0.31211,0.3035,0.30033,12.51202,28.81245,1.02601,0.00521,0.01762,6.50376,11.17715
"46","2021_Q3",85.68609375,"Down",489412000,-339537000,149875000,-131904000,-74144000,-48763000,-8997000,17971000,-25729000,-13572000,-12157000,-7758000,-24903000,-32661000,216000,-32445000,-32445000,-678000,-33123000,-33123000,207131000,207131000,336071000,336071000,179347000,120351000,120351000,842900000,196209000,1449476000,113672000,1123155000,99297000,113352000,1645685000,2488585000,293423000,175546000,117877000,220942000,130118000,90824000,514365000,494945000,278617000,116666000,116666000,1832000,160119000,773562000,1287927000,1775315000,-454865000,-145172000,1175278000,1200658000,2488585000,-32445000,21109000,56130000,27931000,72725000,-9064000,54999.9999999995,-8709000,-4.4e+08,1017000,1016999.99999994,6257999.99999999,-432725000,-368709000,-368709000,1248000,-367461000,39080000,494945000,57731000,0.30623,0.03672,-0.06768,-0.02759,-0.01331,-1.74293,1.63872,1.07268,0.19889,-0.79764,-0.78932,11.78568,28.30222,1.39024,-0.01678,0.02924,7.36474,16.01547
"47","2021_Q4",70.35390625,"Down",486949000,-351986000,134963000,-127671000,-71838000,-46889000,-8944000,7292000,-4037000,-2276000,-1761000,3255000,-3128999.99999999,126000,-1136000,-1010000,-1010000,-859000,-1869000,-1869000,188691000,188691000,320994000,320994000,175432000,117270000,117270000,802387000,189748000,1430632000,103763000,1115697000,101907000,109265000,1620380000,2422767000,301684000,188663000,113021000,194070000,101263000,92807000,495754000,466227000,260960000,114771000,114771000,1792000,144397000,727187000,1222941000,1782060000,-456734000,-151739000,1173587000,1199826000,2422767000,-1010000,21333000,12871000,-14727000,18467000,-7305000,1000,-7304000,-31094000,1096000,1096000,1334000,-28664000,-17501000,-17501000,-939000,-18440000,28625000,466227000,7729000,0.27716,0.01497,-0.00384,-0.00156000000000001,-0.000770000000000003,-4.13537,1.61852,1.01927,0.19244,-0.04249,-0.04249,11.0713,26.68274,0.17573,-0.000970000000000006,0.00401,9.69558,38.06034
"48","2022_Q1",55.9470967741935,"Down",485637000,-364350000,121287000,-137289000,-78546000,-49856000,-8887000,-16002000,-2046000,-1300000,-746000,-18048000,-91468000,-109516000,51093000,-58423000,-58423000,-443000,-58866000,-58866000,162579000,162579000,298459000,298459000,165799000,123092000,123092000,749929000,163184000,1480677000,92529000,1098975000,181472000,107701000,1643861000,2393790000,318869000,193129000,125740000,182475000,82816000,99659000,501344000,463844000,285843000,87863000,99504886.3854245,2e+06,195980000,749687000,1251031000,1779775000,-515600000,-148098000,1116077000,1142759000,2393790000,-58423000,19901000,-27004000,79173000,13647000,-6901000,2506000,-13065000,-45349000,-7299000.00000001,728999.999999985,36569000,-16078999.9999999,-15497000,-25247000.0000001,-865000,-26112000.0000001,3899000,463844000,25078000,0.24975,-0.03295,-0.12121,-0.05151,-0.02459,-0.42602,1.49584,1.09475,0.19377,-1.20108,-1.20108,9.90873,22.77197,0.51168,-0.03111,0.01325,77.26725,-18.82671
"49","2022_Q2",49.6135483870968,"Down",475331000,-340107000,135224000,-132550000,-76401000,-49596000,-6553000,2674000,-2064000,-1375000,-689000,610000,4145000,4755000,-3859000,896000,896000,10000.0000000001,906000,906000,203997000,203997000,303250000,303250000,171259000,114021000,114021000,792527000,157244000,1470045000,85514000,1091888000,186133000,106510000,1627289000,2419816000,308701000,203475000,105226000,192867000,118807000,74060000,501568000,463979000,267517000,81932000,81932000,1956000,183629000,731496000,1233064000,1770057000,-514694000,-95283000,1160080000,1186752000,2419816000,896000,16837000,9465000,-19607000,7591000,-5369000,362000,50949000,-2030127806.84039,-16188000,784000,-917000,-17105000,41435000,41435000,-17000,41418000,19511000,463979000,-1606000,0.28448,0.00563,0.00191,0.000759999999999997,0.000370000000000002,-1.77263,1.5801,1.03902,0.19174,0.02002,0.02002,10.50548,25.63939,-0.03549,0.000469999999999998,-0.00084,13.32489,97.22588
"50","2022_Q3",49.7934375,"Up",431882000,-305777000,126105000,-124417000,-72877000,-45055000,-6485000,1688000,-2697000,-1311000,-1386000,-1009000,-35215000,-36224000,-641000,-36865000,-36865000,-102000,-36967000,-36967000,208500000,208500000,259657000,259657000,174522000,113409000,113409000,756088000,150663000,1400846000,78030000,1036160000,187178000,99478000,1551509000,2307597000,271672000,169368000,102304000,189518000,120038000,69480000,461190000,462700000,250607000,77396000,77396000,1849000,171362000,713307000,1174497000,1777476000,-551661000,-115705000,1110110000,1133100000,2307597000,-36865000,16414000,49232000,-13716000,15065000,-5294000,1360000,-3934000.00000001,-7287846420.52117,1013000,1013000,-3984000,-2971000,8160000,8160000,-3657000,4503000,18102000,462700000,-267000,0.29199,0.00391,-0.0856,-0.03262,-0.01602,0.00722,1.63943,1.03653,0.20051,-0.82029,-0.82029,9.58332,24.63298,-0.00592000000000002,-0.02002,-0.00014,14.04265,150.59242
