"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",54.7192063492064,"Up",2.622e+09,-1.181e+09,1.441e+09,-9.45e+08,-2.95e+08,-6.5e+08,4.96e+08,-3.1e+07,-3.4e+07,3e+06,4.65e+08,7e+06,4.72e+08,-1.11e+08,3.61e+08,3.61e+08,3.61e+08,3.61e+08,6.75e+08,6.75e+08,3.73e+08,4.59e+08,2.59e+08,1.783e+09,4.374e+09,2.148e+09,6.84e+08,5.86e+08,5.47e+08,6.522e+09,8.305e+09,1.921e+09,1.79e+09,1.31e+08,2.66e+08,2.29e+09,3.121e+09,1.123e+09,1.123e+09,4.244e+09,6.534e+09,1.978e+09,-2.71e+08,1.707e+09,1.771e+09,8.305e+09,3.61e+08,1.39e+08,-1.45e+08,1.61e+08,5.16e+08,-1999999.99999994,-1.94e+08,-1.96e+08,-1.78e+08,5e+07,-4e+06,-2.46e+08,7.4e+07,7.4e+07,2.3e+07,9.7e+07,6.35e+08,3.387e+09,9.05e+08,0.54958,0.18917,0.13768,0.20384,0.04347,2.50693,0.7786,3.68944,0.40783,0.8242,0.80942,5.9863,3.89726,2.06621,0.40639,0.08581,0.14409,0.49307,4.27087,5.46774
"22","2015_Q3",52.49484375,"Down",3.105e+09,-1.443e+09,1.662e+09,-1.205e+09,-3.53e+08,-8.52e+08,4.57e+08,-2.7e+07,-3.3e+07,6e+06,4.3e+08,-9.2e+07,3.38e+08,-1.02e+08,2.36e+08,2.36e+08,2.36e+08,2.36e+08,6.36e+08,6.36e+08,3.5e+08,4.64e+08,2.76e+08,1.729e+09,4.372e+09,2.193e+09,6.84e+08,6.22e+08,5.54e+08,6.565e+09,8.294e+09,2.037e+09,1.881e+09,1.56e+08,5.68e+08,2.689e+09,2.831e+09,1.141e+09,1.141e+09,3.972e+09,6.661e+09,1.726e+09,-1.57e+08,1.569e+09,1.633e+09,8.294e+09,2.36e+08,1.87e+08,5.7e+07,-4.9e+07,4.31e+08,1.5e+07,-1.71e+08,-1.56e+08,-1.77e+08,8e+06,1e+06,-3.3e+08,-5.5e+07,-5.5e+07,1.6e+07,-3.9e+07,6.44e+08,3.399e+09,7.12e+08,0.53527,0.14718,0.07601,0.14452,0.02845,3.01695,0.64299,4.079,0.40981,0.54005,0.53034,7.10526,3.59039,1.62929,0.40503,0.0669,0.11534,0.75,4.29037,6.04594999999999
"23","2015_Q4",45.5971875,"Down",3.427e+09,-1.558e+09,1.869e+09,-1.264e+09,-3.28e+08,-9.36e+08,6.05e+08,-2.9e+07,-3.2e+07,3e+06,5.76e+08,-5e+06,5.71e+08,-1.45e+08,4.26e+08,4.26e+08,4.26e+08,4.26e+08,8.61e+08,8.61e+08,3.55e+08,4.73e+08,2.48e+08,1.919e+09,4.263e+09,2.124e+09,6.74e+08,5.63e+08,5.47e+08,6.387e+09,8.306e+09,1.964e+09,1.811e+09,1.53e+08,5.66e+08,2.642e+09,2.651e+09,1.12e+09,1.12e+09,3.771e+09,6.413e+09,2.079e+09,-2.62e+08,1.825e+09,1.893e+09,8.306e+09,85296634.9322899,127139253.366907,172320125.874471,-150368023.996519,234387990.177149,48012599.1889504,-70622840.4884842,-22614032.9087919,-181812561.203054,-1115508264.10976,33125194.1522299,-1735893226.93094,-1524119269.66258,-1524119269.66258,8740069.24187149,-1515379200.42071,444439174.474129,3.217e+09,411858882.544974,0.54537,0.17654,0.12431,0.22504,0.05129,2.36606118167602,0.72634,3.38774,0.38731,0.97706,0.95946,7.86009,4.18578,0.958630137828626,0.421885982586431,0.06838,0.0664813892534652,0.391336616388097,3.22119759292188,3.89421
"24","2016_Q1",46.1150819672131,"Up",-2.736e+09,1.717e+09,-1.019e+09,9.54e+08,-8.2e+07,1.036e+09,-65000000.0000001,-1.14e+08,-4.2e+07,-7.2e+07,-1.79e+08,5.1e+07,-1.28e+08,3.1e+07,-9.7e+07,2.6e+08,2.6e+08,2.6e+08,3.13e+08,3.13e+08,3.24e+08,1.01e+09,1.33e+08,1.687e+09,2.347e+09,4.027e+09,5.71e+08,5.91e+08,3.3e+08,6.374e+09,8.061e+09,1.129e+09,1.074e+09,5.5e+07,9.21e+08,3.087e+09,3.007e+09,9.92e+08,7.45e+08,3.999e+09,7.086e+09,1.15e+09,-2.39e+08,9.11e+08,9.75e+08,8.061e+09,123646298.837419,89064031.7945413,106033265.299506,-56252312.6783839,262491283.253083,7122227.2007671,-52092731.7184077,-44972724.6510605,-188370677.831515,-1647427605.46594,-25724968.4586149,-2665714008.90818,-2448195450.30616,-2448195450.30616,7025631.87502213,-2441169818.43114,395276763.365934,3.928e+09,412606673.154853,0.37244,0.02376,-0.09503,0.26667,0.03225,1.59428180136075,0.54649,7.26769,0.48728,0.60046,0.59497,-6.31871,2.10393,0.981642861553235,0.445766300541851,0.04411,0.0652087879856675,0.37732409514234,6.31295193612818,-55.61538
"25","2016_Q2",52.08859375,"Up",1.443e+09,-5.44e+08,8.99e+08,-5.55e+08,-2.43e+08,-3.12e+08,3.44e+08,-3.4e+07,-4.2e+07,8e+06,3.1e+08,-2e+06,3.08e+08,-8.2e+07,2.26e+08,3.64e+08,3.64e+08,3.64e+08,9.34e+08,9.34e+08,4.18e+08,4.01e+08,2.79e+08,1.963e+09,4.111e+09,2.147e+09,6.44e+08,7.02e+08,5e+08,6.258e+09,8.221e+09,2.205e+09,2.055e+09,1.5e+08,2.321e+09,4.648e+09,2.51e+09,8.46e+08,8.46e+08,3.356e+09,8.004e+09,4.54e+08,-3e+08,1.56e+08,2.17e+08,8.221e+09,2.26e+08,7.3e+07,-10000000.0000002,2e+07,3.09e+08,8000000.00000001,-7.5e+07,-6.7e+07,-1.92e+08,7.93e+08,-53999999.9999999,-3.78e+08,-1.36e+08,-1.36e+08,3e+06,-133000000.000001,4.17e+08,4.831e+09,5.27e+08,0.62301,0.23839,0.25225,1.67742,0.04428,1.4478,0.42233,36.88479,0.58764,0.875,0.86256,3.46875,0.375,1.26683,0.46154,0.09433,0.08941,0.52747,9.34532,11.32849
"26","2016_Q3",56.72421875,"Up",1.509e+09,-5.7e+08,9.39e+08,-5.77e+08,-2.54e+08,-3.23e+08,3.62e+08,-4.5e+07,-5.1e+07,5999999.99999999,3.17e+08,4.7e+07,3.64e+08,-9.8e+07,2.66e+08,3.36e+08,3.36e+08,3.36e+08,7.95e+08,7.95e+08,3.95e+08,4.34e+08,3.32e+08,1.879e+09,4.096e+09,2.209e+09,6.49e+08,7.22e+08,5.28e+08,6.305e+09,8.184e+09,2.138e+09,2.016e+09,1.22e+08,3.9e+07,2.279e+09,5.324e+09,9.12e+08,9.12e+08,6.236e+09,8.515e+09,-1.23e+08,-2.66e+08,-3.89e+08,-3.31e+08,8.184e+09,2.66e+08,7.4e+07,-4.1e+07,-2.1e+07,2.78e+08,7.6e+07,-9.9e+07,-2.3e+07,-1.87e+08,4.518e+09,9e+06,3.198e+09,3.453e+09,3.453e+09,-4e+06,3.449e+09,4.36e+08,5.363e+09,5.89e+08,0.62227,0.23989,0.22266,-1.01511,0.04106,1.75298,0.82448,-25.72508,0.6553,0.81951,0.80576,3.68049,-0.94878,1.43659,0.4561,0.08799,0.09909,0.55655,10.47706,12.61878
"27","2016_Q4",56.3550793650794,"Down",1.518e+09,-5.63e+08,9.55e+08,-5.78e+08,-2.7e+08,-3.08e+08,3.77e+08,-9.6e+07,-9.8e+07,2e+06,2.81e+08,2e+07,3.01e+08,-8.3e+07,2.18e+08,6.4e+08,6.4e+08,6.4e+08,2.885e+09,2.885e+09,4.4e+08,4.23e+08,2.87e+08,4.003e+09,4.01e+09,2.419e+09,6.35e+08,9e+08,5.62e+08,6.429e+09,1.0432e+10,2.115e+09,2.058e+09,5.7e+07,4.8e+07,2.299e+09,9.119e+09,8.44e+08,8.44e+08,9.963e+09,1.2262e+10,-1.572e+09,-3.24e+08,-1.896e+09,-1.83e+09,1.0432e+10,2.18e+08,7.7e+07,4.3e+07,1.1e+07,3.49e+08,6.3e+07,-1e+08,-3.7e+07,-1.8e+08,-6e+06,5.7e+07,-2.378e+09,-2.066e+09,-2.066e+09,-7e+06,-2.073e+09,4.54e+08,9.167e+09,6.11e+08,0.62912,0.24835,0.42161,-0.34973,0.06135,0.95469,1.74119,-6.70055,0.87874,1.64948,1.62025,3.91237,-4.8866,1.57474,0.46392,0.10023,0.07469,0.28125,13.837,16.66313
"28","2017_Q1",58.8440322580645,"Up",1.886e+09,-1.812e+09,7.4e+07,3.8e+08,-3.62e+08,7.42e+08,4.54e+08,-1.8e+08,-1.16e+08,-6.4e+07,2.74e+08,9.8e+07,3.72e+08,-6.4e+07,3.08e+08,3.03e+08,3.03e+08,3.03e+08,7.25e+08,7.25e+08,3.7e+08,3.73e+08,2.36e+08,1.505e+09,2.113e+09,1.835e+09,5.36e+08,7.72e+08,3.76e+08,3.948e+09,5.453e+09,1.103e+09,1.067e+09,3.6e+07,6.6e+07,1.306e+09,9.059e+09,7.03e+08,7.03e+08,9.762e+09,1.1068e+10,-5.157e+09,-4.58e+08,-5.615e+09,-5.615e+09,5.453e+09,3.08e+08,8.6e+07,-2.9e+07,-5.3e+07,3.12e+08,2.23e+08,-1e+08,1.23e+08,-1.85e+08,-1.3e+07,9.9e+07,-1.186e+09,-7.51e+08,-7.51e+08,-2.6e+07,-7.77e+08,5.4e+08,9.125e+09,7.74e+08,0.03924,0.24072,0.16066,-0.0539600000000001,0.05557,2.55446,1.15237,-1.97115,1.67339,0.83702,0.82787,5.20994,-15.51105,2.13812,0.51105,0.11583,0.18372,0.61056,15.55556,18.5022
"29","2017_Q2",63.1730158730159,"Up",1.417e+09,-7.58e+08,6.59e+08,-2.83e+08,-2.37e+08,-4.6e+07,3.76e+08,-1.4e+08,-1.1e+08,-3e+07,2.36e+08,1.11e+08,3.47e+08,-6.7e+07,2.8e+08,2.8e+08,2.8e+08,2.8e+08,5.25e+08,5.25e+08,3.55e+08,3.63e+08,2.15e+08,1.277e+09,2.084e+09,1.79e+09,5.39e+08,7.44e+08,3.57e+08,3.874e+09,5.151e+09,1.017e+09,9.72e+08,4.5e+07,3.93e+08,1.558e+09,8.715e+09,6.9e+08,6.9e+08,9.405e+09,1.0963e+10,-5.433e+09,-3.79e+08,-5.812e+09,-5.812e+09,5.151e+09,2.8e+08,7e+07,-4.3e+07,-1.9e+07,2.88e+08,1.85e+08,-8.1e+07,1.04e+08,-1.06e+08,-8000000.00000024,-5.4e+07,-6.29e+08,-2.37e+08,-2.37e+08,1.7e+07,-2.2e+08,4.46e+08,9.108e+09,6.79e+08,0.46507,0.26535,0.1976,-0.04818,0.05436,2.425,0.81964,-1.88627,1.7682,0.78431,0.76923,3.96919,-16.28011,1.90196,0.29692,0.09684,0.17035,0.37857,19.24439,22.82713
"30","2017_Q3",68.5865079365079,"Up",1.448e+09,-7.48e+08,7e+08,-3.01e+08,-2.47e+08,-5.4e+07,3.99e+08,-1.07e+08,-1.05e+08,-2e+06,2.92e+08,1.9e+07,3.11e+08,-1.05e+08,2.06e+08,2.06e+08,2.06e+08,2.06e+08,9.7e+08,9.7e+08,3.56e+08,4.28e+08,2.67e+08,1.785e+09,2.021e+09,1.79e+09,5.4e+08,7.63e+08,3.4e+08,3.811e+09,5.596e+09,9.42e+08,9.29e+08,1.3e+07,3.75e+08,1.478e+09,9.474e+09,7.46e+08,7.46e+08,1.022e+10,1.1698e+10,-5.71e+09,-3.92e+08,-6.102e+09,-6.102e+09,5.596e+09,2.06e+08,6.5e+07,4.8e+07,-1.68e+08,1.51e+08,1.36e+08,-6.7e+07,6.9e+07,-1.05e+08,7.36e+08,-1.7e+07,2.19e+08,4.39e+08,4.39e+08,6e+06,4.45e+08,4.64e+08,9.849e+09,5.37e+08,0.48343,0.27555,0.14227,-0.03376,0.03681,2.6068,1.20771,-1.91708,1.76001,0.58857,0.57542,4.13714,-17.43429,1.53429,0.3,0.06922,0.11952,0.50971,19.13578,22.25313
"31","2017_Q4",72.284126984127,"Up",1.436e+09,-7.17e+08,7.19e+08,-2.76e+08,-2.15e+08,-6.1e+07,4.43e+08,-1.2e+08,-1.1e+08,-1e+07,3.23e+08,2.01e+08,5.24e+08,-1.06e+08,4.18e+08,4.18e+08,4.18e+08,4.18e+08,9.8e+08,9.8e+08,3.58e+08,6.46e+08,4.65e+08,1.999e+09,1.861e+09,1.594e+09,5.25e+08,6.49e+08,3.04e+08,3.455e+09,5.454e+09,8.5e+08,8.23e+08,2.7e+07,3.72e+08,1.403e+09,9.479e+09,6.93e+08,6.93e+08,1.0172e+10,1.1575e+10,-5.817e+09,-3.04e+08,-6.121e+09,-6.121e+09,5.454e+09,4.18e+08,6e+07,-1.03e+08,-9.6e+07,2.79e+08,3.95e+08,-7.9e+07,3.16e+08,-1.04e+08,23000000.0000001,-4.6e+07,-6.19e+08,-23999999.9999999,-23999999.9999999,1.9e+07,-4999999.99999988,5.03e+08,9.851e+09,9.08e+08,0.5007,0.3085,0.29109,-0.06829,0.07664,2.17225,1.4248,-1.89103,1.8062,1.21159,1.18414,4.16232,-17.74203,2.63188,0.30145,0.11802,0.20529,0.2488,17.63618,20.02483
"32","2018_Q1",75.2196721311475,"Up",1.577e+09,-7.31e+08,8.46e+08,-3.76e+08,-3e+08,-7.6e+07,4.7e+08,-1.3e+08,-1.2e+08,-1e+07,3.4e+08,7.52e+08,1.092e+09,-6.56e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,1.522e+09,1.522e+09,4e+08,5.85e+08,3.84e+08,2.507e+09,1.594e+09,1.21e+09,5.12e+08,1.39e+08,3.45e+08,2.804e+09,5.311e+09,9.36e+08,8.13e+08,1.23e+08,3.75e+08,1.512e+09,9.429e+09,7.04e+08,7.04e+08,1.0133e+10,1.1645e+10,-6.063e+09,-2.71e+08,-6.334e+09,-6.334e+09,5.311e+09,4.36e+08,5.8e+07,-2.08e+08,2.6e+07,3.12e+08,1.057e+09,-7.4e+07,9.83e+08,-1.01e+08,-4.8e+07,-5e+06,-7.66e+08,5.29e+08,5.29e+08,1.9e+07,5.48e+08,5.28e+08,9.804e+09,2.267e+09,0.53646,0.29803,0.27647,-0.06883,0.08209,5.19954,1.65807,-1.83849,1.84598,1.29762,1.26377,4.69345,-18.85119,6.74702,0.3006,0.12865,0.54312,0.23165,15.68561,17.62128
"33","2018_Q2",76.89484375,"Up",1.371e+09,-4.38e+08,9.33e+08,-5.38e+08,-2.19e+08,-3.19e+08,3.95e+08,-4.2e+07,-1.07e+08,6.5e+07,3.53e+08,1.56e+08,5.09e+08,-7.6e+07,4.33e+08,4.33e+08,4.33e+08,4.33e+08,9.82e+08,9.82e+08,5.01e+08,4.06e+08,4.06e+08,1.889e+09,1.651e+09,1.296e+09,5.14e+08,1.87e+08,4.9e+08,2.947e+09,4.836e+09,1.048e+09,9.24e+08,1.24e+08,6.1e+07,1.109e+09,9.419e+09,1.062e+09,1.062e+09,1.0481e+10,1.159e+10,-6.539e+09,-2.15e+08,-6.754e+09,-6.754e+09,4.836e+09,4.33e+08,3.7e+07,-1.77e+08,-1.04e+08,1.89e+08,2.05e+08,-4.1e+07,1.64e+08,-1.2e+08,-3.27e+08,-3.1e+07,-9.76e+08,-6.23e+08,-6.23e+08,3.8e+07,-5.85e+08,4.32e+08,9.48e+09,6.09e+08,0.68053,0.28811,0.31583,-0.06411,0.08954,1.40647,1.70334,-1.71602,1.9603,1.30422,1.27353,4.12952,-20.34337,1.83434,0.36145,0.14599,0.16077,0.27714,19.6713,21.51392
"34","2018_Q3",77.2344444444444,"Up",1.368e+09,-4.21e+08,9.47e+08,-5.22e+08,-2.08e+08,-3.14e+08,4.25e+08,-9.7e+07,-1.12e+08,1.5e+07,3.28e+08,28999999.9999999,3.57e+08,-3.6e+07,3.21e+08,3.21e+08,3.21e+08,3.21e+08,3.13e+08,3.13e+08,5.27e+08,3.63e+08,3.63e+08,1.203e+09,1.533e+09,1.59e+09,5.02e+08,2.11e+08,7.87e+08,3.123e+09,4.326e+09,8.7e+08,8.22e+08,4.8e+07,5.4e+07,9.24e+08,9.612e+09,1.037e+09,1.037e+09,1.0649e+10,1.1573e+10,-6.965e+09,-2.82e+08,-7.247e+09,-7.247e+09,4.326e+09,3.21e+08,3.4e+07,-8.1e+07,-8.2e+07,1.92e+08,4.7e+07,-2.53e+08,-2.06e+08,-1.16e+08,1.94e+08,-1.1e+07,-6.03e+08,-6.17e+08,-6.17e+08,-5.7e+07,-6.74e+08,4.59e+08,9.666e+09,4.6e+08,0.69225,0.31067,0.23465,-0.04429,0.0742,1.43302,1.30195,-1.59694,2.2344,0.99074,0.96979,4.22222,-22.36728,1.41975,0.35802,0.12645,0.1331,0.36137,20.37691,22.00706
"35","2018_Q4",83.0587301587302,"Up",1.391e+09,-3.99e+08,9.92e+08,-5.32e+08,-2.04e+08,-3.28e+08,4.6e+08,-2.6e+07,-1.11e+08,8.5e+07,4.34e+08,1e+08,5.34e+08,-8e+07,4.54e+08,4.54e+08,4.54e+08,4.54e+08,1.98e+08,1.98e+08,5.28e+08,4.43e+08,4.43e+08,1.169e+09,1.378e+09,1.608e+09,4.89e+08,1.49e+08,8.86e+08,2.986e+09,4.155e+09,8.99e+08,8.85e+08,1.4e+07,2.95e+08,1.194e+09,9.405e+09,1.014e+09,1.014e+09,1.0419e+10,1.1613e+10,-7.141e+09,-3.17e+08,-7.458e+09,-7.458e+09,4.155e+09,4.54e+08,3.2e+07,-1.04e+08,3.3e+07,4.15e+08,1.93e+08,-62000000.0000001,1.31e+08,-1.13e+08,5e+07,-3e+06,-5.82e+08,-3.6e+07,-3.6e+07,-3.6e+07,-7.2e+07,4.92e+08,9.7e+09,7.98e+08,0.71316,0.3307,0.32638,-0.06087,0.10927,1.75771,0.97906,-1.55712,2.33454,1.42767,1.39692,4.37421,-23.45283,2.50943,0.35535,0.17414,0.24509,0.2489,19.31301,20.65652
"36","2019_Q1",88.4183606557377,"Up",1.558e+09,-3.76e+08,1.182e+09,-6.99e+08,-2.64e+08,-4.35e+08,4.83e+08,-2.99e+08,-1.22e+08,-1.77e+08,1.84e+08,2.55e+08,4.39e+08,-1.05e+08,3.34e+08,3.34e+08,3.34e+08,3.34e+08,2.92e+08,2.92e+08,5.61e+08,3.54e+08,3.54e+08,1.207e+09,1.237e+09,1.686e+09,5.25e+08,1.95e+08,7.24e+08,2.923e+09,4.13e+09,9.8e+08,9.11e+08,6.9e+07,3.21e+08,1.301e+09,9.751e+09,1.004e+09,1.004e+09,1.0755e+10,1.2056e+10,-7.592e+09,-3.34e+08,-7.926e+09,-7.926e+09,4.13e+09,3.34e+08,3.4e+07,-7.2e+07,8.4e+07,3.8e+08,3.8e+08,-9e+07,2.24e+08,-1.13e+08,3.75e+08,-1.5e+07,-4.59e+08,1.45e+08,1.45e+08,-8e+06,1.37e+08,5.17e+08,1.0072e+10,1.086e+09,0.75866,0.31001,0.21438,-0.04214,0.08087,3.2515,0.92775,-1.52107,2.43874,1.06369,1.04375,4.96178,-25.24204,3.4586,0.35987,0.1419,0.34476,0.33832,18.91683,20.24845
"37","2019_Q2",97.3763492063492,"Up",1.254e+09,-2.72e+08,9.82e+08,-5.55e+08,-2.11e+08,-3.44e+08,4.27e+08,-1.34e+08,-1.15e+08,-1.9e+07,2.93e+08,6e+06,2.99e+08,-3.7e+07,2.62e+08,2.62e+08,2.62e+08,2.62e+08,2.78e+08,2.78e+08,5.43e+08,3.65e+08,3.65e+08,1.186e+09,1.212e+09,2.346e+09,5.29e+08,2.02e+08,1.372e+09,3.558e+09,4.744e+09,9.89e+08,9.18e+08,7.1e+07,3.38e+08,1.327e+09,9.736e+09,1.585e+09,1.585e+09,1.1321e+10,1.2648e+10,-7.58e+09,-3.24e+08,-7.904e+09,-7.904e+09,4.744e+09,2.62e+08,2.6e+07,6.6e+07,-5.4e+07,3e+08,1.4e+07,-4.8e+07,-3.4e+07,-1.29e+08,-2999999.99999994,-3.7e+07,-2.78e+08,-1.2e+07,-1.2e+07,1.2e+07,0,4.53e+08,1.0074e+10,4.5e+08,0.78309,0.34051,0.20893,-0.03315,0.05523,1.71756,0.89375,-1.6002,2.12352,0.85065,0.83175,4.07143,-25.66234,1.46104,0.41883,0.10413,0.11984,0.49237,21.62472,22.94145
"38","2019_Q3",107.5575,"Up",1.31e+09,-2.86e+08,1.024e+09,-5.51e+08,-1.98e+08,-3.53e+08,4.73e+08,-1e+08,-1.19e+08,1.9e+07,3.73e+08,4e+06,3.77e+08,-8.8e+07,2.89e+08,2.89e+08,2.89e+08,2.89e+08,2.52e+08,2.52e+08,5.35e+08,3.35e+08,3.35e+08,1.122e+09,1.193e+09,2.359e+09,5.26e+08,2.12e+08,1.378e+09,3.552e+09,4.674e+09,8.61e+08,7.98e+08,6.3e+07,3.25e+08,1.186e+09,9.869e+09,1.613e+09,1.613e+09,1.1482e+10,1.2668e+10,-7.614e+09,-3.8e+08,-7.994e+09,-7.994e+09,4.674e+09,2.89e+08,2.8e+07,1.4e+07,-1.7e+08,1.61e+08,1.1e+07,-2.9e+07,-1.8e+07,-1.28e+08,1.24e+08,-1.4e+07,-2.14e+08,-7.1e+07,-7.1e+07,-1.4e+07,-8.5e+07,5.01e+08,1.0194e+10,4.3e+08,0.78168,0.36107,0.22061,-0.03615,0.06183,1.48789,0.94604,-1.58469,2.181,0.94444,0.92332,4.28105,-26.12418,1.40523,0.4183,0.10936,0.11277,0.44291,19.84431,21.01903
"39","2019_Q4",97.84640625,"Down",1.339e+09,-2.92e+08,1.047e+09,-5.76e+08,-2.08e+08,-3.68e+08,4.71e+08,-1.79e+08,-1.2e+08,-5.9e+07,2.92e+08,8e+06,3e+08,-4.5e+07,2.55e+08,2.55e+08,2.55e+08,2.55e+08,6.91e+08,6.91e+08,5.27e+08,3.3e+08,3.3e+08,1.548e+09,1.151e+09,2.304e+09,5.21e+08,2.24e+08,1.316e+09,3.455e+09,5.003e+09,9.03e+08,8.7e+08,3.3e+07,8.4e+07,9.87e+08,1.0491e+10,1.622e+09,1.622e+09,1.2113e+10,1.31e+10,-7.669e+09,-4.28e+08,-8.097e+09,-8.097e+09,5.003e+09,2.55e+08,3e+07,8.6e+07,5.1e+07,4.22e+08,3e+07,-3.2e+07,-2e+06,-1.28e+08,3.78e+08,-3.1e+07,51999999.9999999,4.72e+08,4.72e+08,-2.5e+07,4.47e+08,5.01e+08,1.0575e+10,6.27e+08,0.78193,0.35176,0.19044,-0.03149,0.05097,2.45882,1.56839,-1.61788,2.11373,0.83062,0.8121,4.36156,-26.37459,2.04235,0.41694,0.09341,0.15293,0.50196,19.72854,20.98514
"40","2020_Q1",88.5398387096774,"Down",1.694e+09,-3.85e+08,1.309e+09,-7.83e+08,-3e+08,-4.83e+08,5.26e+08,-1.48e+08,-1.32e+08,-1.6e+07,3.78e+08,1.9e+07,3.97e+08,9.1e+07,4.88e+08,4.88e+08,4.88e+08,4.88e+08,6.05e+08,6.05e+08,5.84e+08,3.38e+08,3.38e+08,1.527e+09,1.17e+09,2.534e+09,5.3e+08,4.47e+08,1.313e+09,3.704e+09,5.231e+09,1.11e+09,9.6e+08,1.5e+08,4.31e+08,1.541e+09,1.0131e+10,1.575e+09,1.575e+09,1.1706e+10,1.3247e+10,-7.628e+09,-3.88e+08,-8.016e+09,-8.016e+09,5.231e+09,4.88e+08,2.8e+07,-3.04e+08,2.2e+08,4.32e+08,5.5e+07,-8.9e+07,-3.4e+07,-1.26e+08,-2.6e+07,-3e+06,-4.98e+08,-1e+08,-1e+08,3.2e+07,-6.8e+07,5.54e+08,1.0562e+10,7.38e+08,0.77273,0.31051,0.28808,-0.06088,0.09329,1.5123,0.99091,-1.65257,2.01912,1.61056,1.57419,5.59076,-26.45545,2.43564,0.41584,0.14899,0.17908,0.2582,17.97292,18.92966
"41","2020_Q2",81.4096825396825,"Down",1.263e+09,-2.98e+08,9.65e+08,-5.76e+08,-2.08e+08,-3.68e+08,3.89e+08,-3.07e+08,-1.18e+08,-1.89e+08,8.2e+07,1.3e+07,9.5e+07,-1.2e+07,8.3e+07,8.3e+07,8.3e+07,8.3e+07,1.154e+09,1.154e+09,5.11e+08,3.26e+08,3.26e+08,1.991e+09,1.252e+09,2.842e+09,5.96e+08,5.01e+08,1.398e+09,4.094e+09,6.085e+09,1.053e+09,9.28e+08,1.25e+08,4.47e+08,1.5e+09,1.1059e+10,1.755e+09,1.755e+09,1.2814e+10,1.4314e+10,-7.695e+09,-5.49e+08,-8.229e+09,-8.229e+09,6.085e+09,83000000.0000001,2.7e+07,1.47e+08,-1.9e+07,2.38e+08,2e+06,-3.5e+07,-4.41e+08,-1.41e+08,9.52e+08,-1.3e+07,7.98e+08,5.95e+08,5.95e+08,-5.3e+07,5.42e+08,4.16e+08,1.1506e+10,4.11e+08,0.76405,0.308,0.06572,-0.01009,0.01364,4.95181,1.32733,-1.73946,1.89088,0.27483,0.27036,4.18212,-27.24834,1.36093,0.46689,0.04452,0.08168,1.6988,24.88462,26.61183
"42","2020_Q3",88.31890625,"Up",1.198e+09,-3.49e+08,8.49e+08,-5.59e+08,-2.59e+08,-3e+08,2.9e+08,-4.1e+07,-1.32e+08,91000000.0000001,2.49e+08,8e+06,2.57e+08,-5.1e+07,2.06e+08,2.06e+08,2.06e+08,2.06e+08,1.243e+09,1.243e+09,5.3e+08,6.25e+08,6.25e+08,2.398e+09,1.265e+09,2.758e+09,6.02e+08,4.99e+08,1.313e+09,4.023e+09,6.421e+09,1.041e+09,9.08e+08,1.33e+08,4.34e+08,1.475e+09,1.1252e+10,1.802e+09,1.802e+09,1.3054e+10,1.4529e+10,-7.631e+09,-4.88e+08,-8.108e+09,-8.108e+09,6.421e+09,2.06e+08,2.6e+07,-7.1e+07,-3.7e+07,1.24e+08,1e+06,-3.2e+07,-3.1e+07,-1.42e+08,1.77e+08,-2.5e+07,1e+07,1.03e+08,1.03e+08,3.5e+07,1.38e+08,3.16e+08,1.1686e+10,3.31e+08,0.70868,0.24207,0.17195,-0.02541,0.03208,1.6068,1.62576,-1.79193,1.81997,0.68212,0.67101,3.96689,-26.84768,1.09603,0.4702,0.06468,0.06152,0.68932,33.04747,36.01034
