"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",14.4590163934426,"Down",430151000,-259683000,170468000,-126991000,-71230000,-55761000,43477000,-2873000,-3233000,360000,40604000,39794000,-1006000,38788000,38788000,38788000,38788000,140172000,91184000,48988000,81515000,81515000,67848000,16319000,13705000,305854000,46754000,293966000,3133000,3429000,340720000,646574000,68740000,35046000,33694000,4978000,4978000,92161000,8548000,5169000,95776000,187937000,843116000,-387573000,3094000,458637000,458637000,646574000,5588000,11011000,7095000,2763000,26457000,-3838000,-3838000,-17364000,-21182000,-7605000,402000.000000001,-16623000,-11348000,-11348000,221000,-11127000,54488000,105671000,54419000,0.3963,0.10107,0.09017,0.08457,0.05999,1.40299,3.31869,0.40977,0.16343,0.53237,0.50812,5.90388,6.29486,0.74691,0.06771,0.095,-0.63319,-0.793550000000001
"31","2018_Q2",13.55109375,"Down",118290000,-73161000,45129000,-41495000,-23449000,-18046000,3634000,-1222000,-710000,-512000,2412000,2412000,-287000,2125000,2125000,2125000,2125000,142069000,93699000,48370000,78524000,78524000,73780000,17422000,14452000,311795000,47851000,286542000,3145000,2381000,334393000,646188000,62385000,38889000,23496000,4515000,4515000,96630000,11233000,7746000,78548000,175178000,851323000,-385498000,5185000,471010000,471010000,646188000,2125000,10719000,5445000,-8967000,9322000,-7418000,-3831000,4007000,-3391000,4397000,4754000,-4353000,1578000,1578000,1078000,2656000,14353000,97045000,-1745000,0.38151,0.03072,0.01796,0.00451,0.00329,-0.82118,3.22669,0.37192,0.15018,0.02918,0.02858,1.62428,6.46761,-0.02396,0.00367,-0.00301,-3.13691,-12.38965
"32","2018_Q3",13.7880952380952,"Up",135509000,-79291000,56218000,-44907000,-25232000,-19675000,11311000,-534000,-584000,49999.9999999999,10777000,10777000,-1654000,9123000,9123000,9123000,9123000,142899000,95624000,47275000,84779000,84779000,76379000,20266000,18822000,324323000,49161000,277737000,3067000,2278000,326898000,651221000,71914000,42054000,29860000,4927000,4927000,110360000,11056000,7744000,62193000,172553000,853352000,-376375000,1691000,478668000,478668000,651221000,9123000,10538000,7264000,-6189000,20736000,-11842000,-4714000,8250000,-3571000,-6850000,-4754000,-14596000,2569000,2569000,-1136000,1433000,21849000,84656000,5472000,0.41487,0.08347,0.06732,0.01906,0.01401,0.5998,2.93877,0.36049,0.13,0.12471,0.12244,1.85233,6.54311,0.0748,0.01588,0.00953,-2.66571,-5.14924
"33","2018_Q4",13.941746031746,"Up",134989000,-82019000,52970000,-43602000,-24745000,-18857000,9368000,-287000,-408000,121000,9081000,9081000,-1393000,7688000,7688000,7688000,7688000,142099000,91990000,50109000,88869000,88869000,81538000,17165000,15716000,329671000,52857000,269944000,3042000,2197000,322801000,652472000,74545000,49668000,24877000,4795000,4795000,105401000,10827000,7537000,57020000,162421000,857580000,-368687000,1158000,490051000,490051000,652472000,7688000,11113000,7959000,-10680000,16080000,6957000,-3781000,-13484000,-6501000,10165000,7712000,-12783000,-3204000,-3204000,-458000,-3662000,20481000,72254000,18151000,0.3924,0.0694,0.05695,0.01569,0.01178,2.36095,3.12778,0.33144,0.11074,0.10412,0.10247,1.8282,6.63693,0.24583,0.01341,0.03167,-3.41023,-7.4557
"34","2019_Q1",15.0772131147541,"Up",140887000,-84865000,56022000,-44226000,-25828000,-18398000,11796000,-139000,-256000,117000,11657000,11657000,73443000,85100000,85100000,85100000,85100000,149003000,98472000,50531000,95333000,95333000,77706000,15778000,13669000,337820000,54054000,336348000,77301000,2193000,390402000,728222000,67737000,40006000,27731000,4941000,4941000,102518000,45540000,43185000,45540000,148058000,862971000,-283587000,780000,580164000,580164000,728222000,85100000,11317000,-66440000,-7415000,22562000,-7543000,-7543000,-316000,-7832000,-3.72529029846191e-09,0,-7597000,7133000,7133000,260000,7393000,23113000,29840000,-65288000,0.39764,0.08373,0.60403,0.14668,0.11686,-0.767190000000001,3.29523,0.2552,0.04098,1.14831,1.10744,1.90108,7.82852,-0.88097,0.12982,-0.09959,-5.15567,-10.10198
"35","2019_Q2",16.3653968253968,"Up",132213000,-79692000,52521000,-44907000,-25184000,-19723000,7614000,-99000,-15000,-84000,7515000,7515000,-2032000,5483000,5483000,5483000,5483000,159845000,105759000,54086000,81492000,81492000,83216000,13832000,11747000,338385000,54697000,363539000,77293000,36936000,418236000,756621000,54114000,31555000,22559000,12907000,6885000,100643000,62990000,60684000,62990000,163633000,871691000,-278104000,-599000,592988000,592988000,756621000,5483000,11037000,9398000,-5280000,20638000,-18410000,-6028000,9050000,-9332000,3568000,3870000,-3932000,7374000,7374000,-207000,7167000,18651000,33622000,-3007000,0.39725,0.05759,0.04147,0.00925,0.00725,-0.54842,3.36223,0.27595,0.04444,0.07373,0.07214,1.77796,7.97434,-0.04044,0.00795,-0.00436,-6.76763,-16.57775
"36","2019_Q3",17.0971875,"Up",138018000,-82666000,55352000,-46357000,-26283000,-20074000,8995000,243000,162000,81000,9238000,9238000,-2289999.99999999,6948000,6948000,6948000,6948000,176881000,124810000,52071000,71289000,71289000,83852000,15624000,14282000,347646000,54436000,355487000,77279000,35683000,409923000,757569000,55752000,26252000,29500000,13401000,7198000,102810000,50657000,48318000,50657000,153467000,875099000,-271156000,159000,604102000,604102000,757569000,6948000.00000001,11421000,8640999.99999999,7728000,34738000,-13826000,-5432000,10660000,-3138000,-5725000,-3870000,-13105000,18495000,18495000,486000,18981000,20416000,33657000,16608000,0.40105,0.06517,0.05034,0.0115,0.00916999999999999,2.39033,3.38144,0.25404,0.04443,0.09313,0.0912899999999999,1.85001,8.09745,0.22262,0.01009,0.02412,-7.01528,-15.92262
"37","2019_Q4",22.55421875,"Up",140604000,-85286000,55318000,-45983000,-25887000,-20096000,9335000,528000,302000,226000,9863000,9863000,-1584000,8279000,8279000,8279000,8279000,199971000,122946000,77025000,84750000,84750000,85989000,19077000,17834000,389787000,56240000,347578000,77274000,34691000,403818000,793605000,80983000,50968000,30015000,14731000,8315000,141907000,37152000,34908000,37152000,179059000,879603000,-262877000,-2180000,614546000,614546000,793605000,8279000,10434000,11168000,-1879000,28002000,17994000,-2782000,-45608000,-27577000,9829000,7672000,-1939000,-1514000,-1514000,-440000,-1954000,19769000,46193000,37468000,0.39343,0.06639,0.05888,0.01347,0.01043,4.52567,2.74678,0.29137,0.05821,0.10998,0.10591,1.86775,8.16347,0.49772,0.01186,0.05369,-7.77874,-16.47327
"38","2020_Q1",23.8764516129032,"Up",178629000,-104324000,74305000,-50587000,-28981000,-21606000,23718000,729000,350000,379000,24447000,24447000,-5811000,18636000,18636000,18636000,18636000,220872000,144545000,76327000,97868000,97868000,83258000,17045000,15064000,419043000,58747000,362092000,71252000,34034000,420839000,839882000,77353000,40914000,36439000,16361000,9810000,136560000,46686000,39700000,62325000,198885000,885821000,-244241000,-583000,640997000,640997000,839882000,18636000,11965000,15877000,-8808000,37670000,-6605000,-6605000,785000.000000015,-26305000,421000,421000,12398000,23763000,23763000,-566000,23197000,35683000,58485000,26081000,0.41597,0.13278,0.10433,0.02907,0.02219,1.3995,3.06856,0.31027,0.06963,0.24608,0.23633,2.35876,8.46424,0.34439,0.02498,0.03495,-4.55082,-6.84657
"39","2020_Q2",24.6604761904762,"Up",160753000,-93363000,67390000,-48960000,-27693000,-21267000,18430000,276000,367000,-91000,18706000,18706000,-2816000,15890000,15890000,15890000,15890000,239366000,169607000,69759000,90100000,90100000,78983000,17806000,15699000,426255000,63745000,359379000,70273000,38589000,423124000,849379000,69314000,40139000,29175000,16645000,9830000,117494000,65468000,59373000,65468000,182962000,895677000,-228351000,-909000,666417000,666417000,849379000,15890000,11824000,10828000,797000,39339000,-12050000,-12050000,6568000,-5442000,4513000,4513000,-9071000,24826000,24826000,312000,25138000,30254000,31535000,21817000,0.41921,0.11465,0.09885,0.02384,0.01871,1.373,3.62789,0.27455,0.03713,0.20907,0.20239,2.11503,8.76807,0.28705,0.02081,0.02858,-6.86954,-11.27678
"40","2020_Q3",27.88140625,"Up",157824000,-91657000,66167000,-43674000,-22755000,-20919000,22493000,138000,205000,-67000,22631000,22631000,-2162000,20469000,20469000,20469000,20469000,261103000,199926000,61177000,86616000,86616000,87813000,19882000,18458000,455414000,83662000,345158000,69712000,31368000,428820000,884234000,81954000,44334000,37620000,19957000,13789000,123236000,41551000,35208000,70276000,193512000,898146000,-207882000,458000,690722000,690722000,884234000,20469000,11133000,6890000,4616000,43108000,-24693000,-24693000,9116000,-15535000,422000.000000001,422000.000000001,1806000,29379000,29379000,271000,29650000,33626000,50050000,15711000,0.41925,0.14252,0.1297,0.02963,0.02315,0.76755,3.69546,0.28016,0.0566,0.26836,0.2594,2.06914,9.05568,0.20598,0.02616,0.02008,-6.27648,-9.38305
"41","2020_Q4",36.1215625,"Up",177996000,-101247000,76749000,-54712000,-31834000,-22878000,22037000,355000,56000,299000,22392000,22392000,499000,22891000,22891000,22891000,22891000,241468000,185368000,56100000,96946000,96946000,94616000,23164000,21687000,456194000,97528000,361885000,71464000,31727000,459413000,915607000,106929000,62903000,44026000,20225000,13670000,136274000,38317000,32635000,65191000,201465000,896576000,-184991000,2557000,714142000,714142000,915607000,22891000,11783000,8365000,-1277000,41762000,-5144000,-5144000,4925000,-35218000,4653000,4653000,-21705000,-15161000,-15161000,679000,-14482000,33820000,35994000,26900000,0.43118,0.12381,0.1286,0.03205,0.025,1.17513,3.34762,0.28211,0.03931,0.29718,0.29279,2.3108,9.2712,0.34922,0.02903,0.03412,-6.07552,-9.32405
"42","2021_Q1",45.4770491803279,"Up",197043000,-119429000,77614000,-56786000,-32816000,-23970000,20828000,618000,9000.00000000001,609000,21446000,21446000,-2173000,19273000,19273000,19273000,19273000,255035000,187225000,67810000,107603000,107603000,99229000,25207000,23303000,487074000,104103000,372040000,66242000,33890000,476143000,963217000,117387000,62045000,55342000,27668000,20964000,154571000,39584000,34238000,64562000,219133000,903838000,-165718000,5964000,744084000,744084000,963217000,19273000,13945000,14101000,-2272000,45047000,-13978000,-13978000,-11868000,-42727000,422000.000000001,422000,-1965000,354999.999999996,354999.999999996,2500000,2855000,34773000,34494000,20696000,0.39389,0.1057,0.09781,0.0259,0.02001,1.07383,3.15113,0.2945,0.03581,0.24895,0.23971,2.54525,9.6115,0.26733,0.02356,0.0253,-6.34231,-10.58868
"43","2021_Q2",39.4242857142857,"Down",186636000,-109930000,76706000,-54061000,-30015000,-24046000,22645000,186000,14000,172000,22831000,22831000,-3206000,19625000,19625000,19625000,19625000,267709000,173616000,94093000,103500000,103500000,104727000,22169000,19371000,498105000,112312000,369794000,65821000,40969000,482106000,980211000,111188000,67720000,43468000,26201000,18644000,146649000,44639000,39674000,67029000,213678000,915136000,-146093000,3228000,766533000,766533000,980211000,19625000,12935000,14422000,-14626000,32356000,-13470000,-13470000,-26452000,-39922000,-251000,5487000,-3768000,-11334000,-11334000,-1456000,-12790000,35580000,31650000,10690000,0.41099,0.12133,0.10515,0.0256,0.02002,0.54471,3.39658,0.27876,0.03229,0.25291,0.24535,2.40517,9.87826,0.13776,0.02328,0.01268,-6.6346,-10.42433
"44","2021_Q3",37.208125,"Down",188076000,-111793000,76283000,-55933000,-30479000,-25454000,20350000,-162000,32000,-194000,20188000,20188000,-2283000,17905000,17905000,17905000,17905000,256235000,160273000,95962000,108265000,108265000,111890000,21101000,19244000,497491000,125348000,365707000,66945000,42301000,491055000,988546000,113932000,62445000,51487000,30563000,22655000,153851000,45025000,40412000,65148000,218999000,894062000,-128188000,3673000,769547000,769547000,988546000,17905000,13643000,10909000,-8658000,33799000,-17852000,-17852000,-2039000,-23764000,-17791000,422000,-24275000,-14240000,-14240000,-102000,-14342000,33993000,29479000,9766000,0.4056,0.1082,0.0952,0.02327,0.01811,0.54543,3.23359,0.28458,0.02982,0.23074,0.22385,2.42372,9.9171,0.12585,0.02121,0.01157,-6.67067,-11.1428
"45","2021_Q4",40.94296875,"Up",189964000,-109745000,80219000,-56966000,-30940000,-26026000,23253000,28000,-30000,58000,23281000,23281000,-2784000,20497000,20497000,20497000,20497000,264679000,153781000,110898000,105807000,105807000,115104000,20911000,18892000,506501000,140098000,359992000,67231000,40273000,500090000,1006591000,119550000,64925000,54625000,31237000,23275000,1.6e+08,42459000,38195000,60201000,220201000,892303000,-107691000,1778000,786390000,786390000,1006591000,20497000,9040000,16411000,-11666000,34282000,-20031000,-20050580.5862922,-15132000,-31290000,4738000,4738000,-8826000,-5834000,-5834000,-658000,-6492000,32293000,26955000,3380000,0.42229,0.12241,0.1079,0.02606,0.02036,0.1649,3.16563,0.28002,0.02678,0.26399,0.25883,2.44663,10.12828,0.04353,0.02395,0.00395,-7.36147,-10.22337
"46","2022_Q1",41.6329032258065,"Up",204998000,-115439000,89559000,-57769000,-32358000,-25411000,31790000,410000,-49000,459000,32200000,32200000,-6303000,25897000,25897000,25897000,25897000,276065000,151010000,125055000,115541000,115541000,111548000,20885000,18652000,524039000,146555000,349926000,61995000,39290000,496481000,1020520000,108698000,57862000,50836000,31125000,23224000,148754000,40552000,36929000,55986000,204740000,899023000,-81794000,-1449000,815780000,815780000,1020520000,25897000,8901000,18935000,-14806000,38927000,-15143000,-18336824.0094587,-14622000,-29765000,-80999.9999999963,6000,-10330000,-1168000,-1168000,-964000,-2132000,40691000,24365000,17045000,0.43688,0.15507,0.12633,0.03175,0.02538,0.65818,3.52286,0.25097,0.02388,0.33354,0.32702,2.64026,10.50681,0.21953,0.02941,0.01935,-6.18564,-7.91758
"47","2022_Q2",38.5759677419355,"Down",197174000,-102950000,94224000,-60040000,-32906000,-27134000,34184000,138000,-54000,192000,34322000,34322000,-4450000,29872000,29872000,29872000,29872000,296356000,167182000,129174000,113505000,113505000,125590000,20697000,18671000,556148000,152179000,348553000,62746000,40616000,500732000,1056880000,112816000,65378000,47438000,35051000,27002000,154657000,40375000,37244000,55550000,210207000,902994000,-51922000,-4399000,846673000,846673000,1056880000,29872000,9329000,12695000,-7741000,44155000,-15606000,-15606000,-5472000,-21078000,-3710000,5687000,-6016000,17061000,17061000,-1142000,15919000,43513000,21965000,24616000,0.47787,0.17337,0.1515,0.03528,0.02826,0.82405,3.59601,0.24827,0.02078,0.38348,0.37712,2.53121,10.86913,0.31601,0.03286,0.02708,-6.30595,-8.02688
"48","2022_Q3",32.46625,"Down",203907000,-109538000,94369000,-61723000,-33406000,-28317000,32646000,732000,181000,551000,33378000,33378000,-3136000,30242000,30242000,30242000,30242000,266314000,136395000,129919000,107726000,107726000,143475000,19549000,17447000,537064000,157814000,347569000,65059000,39281000,505383000,1042447000,115762000,60927000,54835000,39098000,31255000,159585000,37962000,35053000,52877000,212462000,860584000,-21680000,-8919000,829985000,829985000,1042447000,30242000,9519000,10466000,-7581000,42646000,-14510000,-14510000,-1402000,-20033000,-44931000,0,-51247000,-28634000,-28634000,-2328000,-30962000,42165000,19640000,23210000,0.4628,0.1601,0.14831,0.03644,0.02901,0.76748,3.36538,0.25598,0.01884,0.38823,0.3818,2.61765,10.6549,0.29796,0.03407,0.02615,-5.85021,-7.55603
