"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",44.6934920634921,"Up",566262000,-370868000,195394000,-141180000,-28223000,-23106000,-89851000,54214000,91000,-379000,470000,54305000,1.45519152283669e-11,54305000,-15126000,39179000,39179000,-1598000,37581000,37581000,116508000,116508000,29295000,29295000,15439000,11170000,11170000,172412000,868668000,158201000,3161000,121040000,3.4e+07,1026869000,1199281000,167253000,52061000,93977000,78779000,78779000,246208000,91361000,6520000,84841000,143652000,389860000,224796000,572743000,797388000,12033000,809421000,1199281000,39179000,23106000,8278000,-36592000,33971000,-37574000,-37574000,728000,-3198000,-17401000,-21004000,-21004000,-21004000,77320000,52467000,18280000,0.34506,0.09574,0.06637,0.04643,0.03134,0.48642,0.70027,0.48165,0.04375,0.52951,0.52589,7.97856,11.23509,0.25756,0.05504,0.01918,-0.82826,-1.18126
"31","2017_Q4",46.5661904761905,"Up",540507000,-357110000,183397000,-137884000,-26123000,-23534000,-88227000,45513000,-141000,-5e+05,359000,45372000,-2000,45370000,-13046000,32324000,32324000,-1310000,31014000,31014000,114436000,114436000,24979000,24979000,15453000,10461000,10461000,165329000,886972000,160418000,2930000,121040000,36448000,1047390000,1212719000,167612000,48979000,95121000,70648000,70648000,238269000,91674000,4707000,86967000,143658000,381927000,229980000,588826000,818743000,12049000,830792000,1212719000,32324000,23534000,5601000,-1697000,59762000,-43400000,-43400000,194000,-3239000,-18434000,-2072000,-2072000,-2072000,69047000,51993000,36996000,0.33931,0.0842,0.05738,0.03733,0.02557,1.19288,0.69388,0.45971,0.04287,0.43642,0.43345,7.60581,11.52104,0.52059,0.04713,0.03797,-0.90436,-1.37198
"32","2018_Q1",53.1570491803279,"Up",545076000,-360515000,184561000,-146461000,-28700000,-24263000,-93498000,38100000,-27000,-366000,339000,38073000,-641000,37432000,-7422000,30010000,30010000,-1392000,28618000,28618000,150918000,150918000,76496000,76496000,16306000,13361000,13361000,257081000,912147000,161395000,2700000,121040000,37655000,1073542000,1330623000,173371000,57579000,98353000,156627000,156627000,329998000,97253000,5301000,91952000,149234000,479232000,236619000,602499000,839079000,12312000,851391000,1330623000,30010000,24263000,11248000,32782000,98303000,-44591000,-44591000,73000,-2369000,-17230000,36482000,36482000,36482000,62363000,51981000,57976000,0.3386,0.0699,0.0525,0.03361,0.02151,2.02586,0.77904,0.56288,0.03907,0.40228,0.3988,7.66213,11.79492,0.81497,0.04352,0.05794,-1.58647,-2.59677
"33","2018_Q2",58.2871875,"Up",627705000,-410667000,217038000,-152081000,-30175000,-24484000,-97422000,64957000,-35000,-359000,324000,64922000,-86000,64836000,-8457000,56379000,56379000,-1838000,54541000,54541000,197829000,197829000,26060000,26060000,16466000,15613000,15613000,255968000,922891000,164283000,2514000,121040000,40729000,1087174000,1343142000,195266000,60170000,109678000,104651000,104651000,299926000,104372000,8401000,95971000,156351000,456277000,235842000,638309000,874222000,12643000,886865000,1343142000,56379000,24484000,12136000,13808000,106807000,-35307000,-35307000,0,-9642000,-24589000,46911000,46911000,46911000,89441000,51988000,76399000,0.34576,0.10348,0.08689,0.0615,0.04061,1.40076,0.85344,0.51448,0.03871,0.7646,0.75957,8.79964,12.25551,1.07102,0.06661,0.07323,-1.63058,-2.24519
"34","2018_Q3",63.302380952381,"Up",629237000,-415814000,213423000,-159134000,-35004000,-25165000,-98965000,54289000,162000,-283000,445000,54451000,-22000,54429000,-8466000,45963000,45963000,-1736000,44227000,44227000,154353000,154353000,32151000,32151000,17025000,13270000,12491000,216799000,928765000,166029000,2329000,121040000,42660000,1094794000,1311593000,182837000,58372000,104304000,97545000,97545000,280392000,107627000,8619000,99008000,109603000,389995000,243428000,664668000,908049000,13549000,921598000,1311593000,45963000,25165000,10796000,-23624000,58300000,-31411000,-31411000,9.31322574615479e-10,-2510000,-70365000,-43476000,-43476000,-43476000,79454000,1986000,32885000,0.33918,0.08628,0.07029,0.04799,0.03372,0.74355,0.7732,0.42317,0.00151,0.61904,0.61511,8.80729,12.70976,0.46028,0.0602,0.03189,-1.91768,-2.80659
"35","2018_Q4",60.0584126984127,"Down",594595000,-401941000,192654000,-157190000,-35023000,-25843000,-96324000,35464000,213000,-168000,381000,35677000,-20000,35657000,-5398000,30259000,30259000,-1134000,29125000,29125000,151190000,151190000,34804000,34804000,16336000,13825000,13046000,216155000,940955000,167716000,2144000,121040000,44532000,1108671000,1324826000,184520000,55021000,108107000,87947000,87947000,272477000,109078000,7102000,101976000,111051000,383528000,250552000,675909000,926255000,15043000,941298000,1324826000,30259000,25843000,8760000,-4390000,60472000,-44188000,-44188000,-43118500.3983875,-1576000,-19447000,-3163000,-3163000,-3163000,61307000,1983000,18127000,0.32401,0.05964,0.04898,0.03094,0.02198,0.62239,0.7933,0.40745,0.0015,0.40729,0.40445,8.31497,12.95298,0.25349,0.04465,0.01723,-2.43377,-4.20728
"36","2019_Q1",58.8118032786885,"Down",605912000,-409053000,196859000,-163502000,-35961000,-25724000,-101817000,33357000,422000,219000,203000,33779000,-150000,33629000,-1936000,31693000,31693000,-1361000,30332000,30332000,210125000,210125000,92114000,92114000,18827000,23953000,16384000,345019000,956676000,167581000,1959000,123220000,42402000,1124257000,1469276000,192900000,62060000,112936000,192242000,192242000,385142000,121345000,17268000,104077000,123426000,508568000,257460000,688337000,945569000,15139000,960708000,1469276000,31693000,25724000,21017000,48855000,127289000,-45074000,-47239000,-105840094.173689,-3238000,-21115000,58935000,58935000,58935000,59081000,2081000,64798000,0.3249,0.05505,0.05006,0.03157,0.02064,2.13629,0.89582,0.52937,0.00142,0.42374,0.42047,8.4647,13.20978,0.90524,0.04447,0.05977,-3.52134,-6.23689
"37","2019_Q2",53.1104761904762,"Down",690608000,-460720000,229888000,-169426000,-35983000,-27773000,-105670000,60462000,867000,754000,113000,61329000,-17000,61312000,-9119000,52193000,52193000,-1803000,50390000,50390000,252107000,252107000,34685000,34685000,17521000,18685000,18685000,322998000,971135000,643817000,1711000,123220000,518886000,1614952000,1937950000,217882000,65413000,122290000,144568000,144568000,362450000,587353000,15298000,572055000,587353000,949803000,259122000,714502000,973493000,14654000,988147000,1937950000,52193000,27773000,10971000,20478000,111415000,-42044000,-42044000,-143654140.862146,-9485000,-27389000,41982000,41982000,41982000,88235000,0,75788000,0.33288,0.08755,0.07296,0.05099,0.026,1.50403,0.89115,0.9612,0,0.70227,0.69805,9.6248,13.56728,1.05623,0.04335,0.0481,-2.85722,-4.16968
"38","2019_Q3",50.40078125,"Down",689828000,-459807000,230021000,-176422000,-39960000,-28454000,-108008000,53599000,832000,691000,141000,54431000,-316000,54115000,-7427000,46688000,46688000,-1843000,44845000,44845000,144839000,144839000,39409000,39409000,17907000,15273000,15169000,217428000,991339000,660084000,1513000,123220000,535351000,1651423000,1868851000,223036000,65799000,131326000,136029000,136029000,359065000,604168000,13630000,590538000,604168000,963233000,152942000,738123000,890852000,14766000,905618000,1868851000,46688000,28454000,8674000,-8215000,75601000,-45738000,-45738000,-112050000,-3533000,-137131000,-107268000,-107268000,-107268000,82053000,0,35527000,0.33345,0.0777,0.06501,0.04952,0.024,0.79222,0.60554,1.06362,0,0.62841,0.62515,9.66647,12.48339,0.49784,0.04398,0.02353,-1.76519,-2.70227
"39","2019_Q4",52.42953125,"Up",650489000,-436494000,213995000,-169050000,-35225000,-28347000,-105478000,44945000,-73000,81000,-154000,44872000,-61000,44811000,-6785000,38026000,38026000,-1495000,36531000,36531000,99540000,99540000,33948000,33948000,17198000,13976000,13976000,164662000,1020167000,670732000,1375000,123220000,546137000,1690899000,1855561000,208324000,59504000,120926000,123948000,123948000,332272000,614592000,12664000,601928000,614592000,946864000,140515000,753791000,893975000,14722000,908697000,1855561000,38026000,28347000,10619000,-22011000,54981000,-56784000,-56784000,-18913000,-3360000,-43496000,-45299000,-45299000,-45299000,73292000,0,1282000,0.32898,0.06909,0.05616,0.0402,0.01969,0.03509,0.49556,1.042,8.67361737988404e-19,0.52508,0.52233,9.34987,12.84964,0.01843,0.03791,0.000840000000000004,-1.35813,-2.21471
"40","2020_Q1",53.0720967741935,"Up",725238000,-431950000,293288000,-241170000,-38221000,-30970000,-171979000,52118000,266000,-12000,278000,52384000,1293000,53677000,-9066000,44611000,44611000,-1925000,42686000,42686000,107879000,107879000,99305000,99305000,20267000,20448000,18433000,247899000,1056563000,679103000,1234000,124748000,553121000,1735666000,1983565000,190699000,61653000,129046000,226521000,226521000,417220000,635176000,22695000,612481000,635176000,1052396000,140570000,775649000,915994000,15175000,931169000,1983565000,44611000,30970000,17610000,39110000,132301000,-68718000,-70254000,-8886000,-3131000,-53708000,8339000,8339000,8339000,83088000,7.45058059692383e-09,62546000,0.4044,0.07186,0.05886,0.04584,0.02152,1.46526,0.59417,1.13019,0,0.61553,0.61152,10.45795,13.20866,0.90191,0.05387,0.03993,-1.29837,-2.0699
"41","2020_Q2",47.0909523809524,"Down",652524000,-464730000,187794000,-171409000,-32954000,-29054000,-109401000,16385000,-577000,-69000,-508000,15808000,-595000,15213000,1939000,17152000,17152000,-1123000,16029000,16029000,230606000,230606000,25441000,25441000,20321000,26206000,19682000,302574000,1068701000,683429000,1101000,124748000,557580000,1752130000,2054704000,140675000,42984000,95596000,170186000,170186000,310861000,643100000,23115000,619985000,833100000,1143961000,129865000,766689000,896292000,14451000,910743000,2054704000,17152000,29054000,10502000,-34992000,21716000,-46672000,-44505000,-12621000,-6874000,145516000,122727000,122727000,122727000,45439000,1.9e+08,-38164000,0.2878,0.02511,0.02456,0.0176,0.0078,-2.38093,0.97334,1.25607,0.09247,0.23089,0.22947,9.39938,12.91078,-0.54974,0.02352,-0.02188,-0.89364,-2.47824
"42","2020_Q3",56.54109375,"Up",476425000,-371914000,104511000,-152269000,-29615000,-29016000,-93638000,-47758000,-1120000,-1030000,-90000,-48878000,440000,-48438000,15132000,-33306000,-33306000,-247000,-33553000,-33553000,282493000,282493000,30285000,30285000,23102000,23497000,14191000,359377000,1072173000,698934000,993000,124748000,573193000,1771107000,2130484000,177967000,63363000,113837000,174275000,174275000,402242000,655523000,11760000,643763000,845523000,1247765000,135137000,733136000,868021000,14698000,882719000,2130484000,-33306000,29016000,-3886000,48305000,40129000,-35161000,-35161000,-1.86264514923096e-09,-3081000,46919000,51887000,51887000,51887000,-18742000,2.4e+08,-20730000,0.21937,-0.10024,-0.07043,-0.03801,-0.01575,0.61783,0.89343,1.41355,0.11265,-0.48375,-0.48677,6.86887,12.51472,-0.29888,-0.01887,-0.01166,2.26726,0.88976
"43","2020_Q4",71.93234375,"Up",631185000,-391861000,239324000,-203632000,-25951000,-29364000,-148317000,35692000,-1501000,-1502000,1000,34191000,-716000,33475000,-3072000,30403000,30403000,-1173000,29230000,29230000,328636000,328636000,32015000,32015000,19889000,19001000,15033000,399541000,1076924000,711546000,890000,124748000,585908000,1788470000,2188011000,181297000,65843000,114338000,165105000,165105000,396402000,683106000,7138000,675968000,873106000,1269508000,140728000,762366000,902916000,15587000,918503000,2188011000,30403000,29364000,3599000,20824000,84190000,-35656000,-35656000,0,-2391000,-2391000,46143000,46143000,46143000,65056000,2.4e+08,53296000,0.37917,0.05655,0.04631,0.03182,0.01336,1.82333,1.00792,1.38215,0.10969,0.42089,0.41339,9.0886,13.00132,0.76742,0.01587,0.02894,-1.36246,-2.48336
"44","2021_Q1",84.3704918032787,"Up",637989000,-427905000,210084000,-188296000,-30983000,-30443000,-126870000,21788000,-1393000,-1490000,97000,20395000,-1392000,19003000,1673000,20676000,20676000,-1127000,19549000,19549000,363155000,363155000,98418000,98418000,22364000,26714000,22212000,510651000,1088623000,725887000,2271000,127001000,596615000,1814510000,2325161000,204235000,66977000,134399000,252083000,252083000,506318000,685792000,2802000,682990000,875792000,1382110000,145696000,781915000,927505000,15546000,943051000,2325161000,20676000,30443000,5546000,27738000,84403000,-35203000,-45783000,0,-4101000,-4101000,34519000,34519000,34519000,52231000,2.4e+08,43093000,0.32929,0.03415,0.03064,0.02073,0.00841,2.20436,1.00856,1.46557,0.10322,0.28119,0.27894,9.17679,13.34117,0.61985,0.01046,0.02306,-2.35789,-5.65242
"45","2021_Q2",95.2080952380952,"Up",800629000,-509518000,291111000,-209680000,-36712000,-30869000,-142099000,81431000,-1677000,-1460000,-217000,79754000,-504000,79250000,-12820000,66430000,66430000,-2280000,64150000,64150000,495646000,495646000,37742000,37742000,23362000,20868000,20868000,577618000,1093790000,735320000,2071000,127001000,606248000,1829110000,2406728000,255916000,86131000,160373000,202248000,202248000,508164000,698546000,3823000,694723000,888546000,1396710000,147674000,846065000,993621000,16397000,1010018000,2406728000,66430000,30869000,12099000,68615000,178013000,-38666000,-36474000,-538959.318667351,-9048000,-9048000,132491000,132491000,132491000,112300000,2.4e+08,155069000,0.3636,0.10171,0.08012,0.06351,0.02665,2.41729,1.13668,1.38286,0.09972,0.92121,0.91464,11.49718,14.26858,2.22682,0.03292,0.07958,-2.27646,-3.13942
"46","2021_Q3",90.599375,"Down",898788000,-583651000,315137000,-225392000,-36861000,-31650000,-156881000,89745000,-736000,-975000,239000,89009000,-16999.9999999999,88992000,-11067000,77925000,77925000,-2445000,75480000,75480000,483419000,483419000,48600000,48600000,25634000,24120000,18959000,581773000,1117393000,749779000,1881000,127001000,620897000,1867172000,2448945000,281284000,89300000,185877000,198524000,198524000,479808000,716454000,5753000,710701000,906454000,1386262000,153318000,893613000,1046835000,15848000,1062683000,2448945000,77925000,31650000,12621000,-3363000,118833000,-46402000,-45309000,-4779480.61845406,-7819000,-85751000,-12227000,-12227000,-12227000,121395000,1.9e+08,82697000,0.35062,0.09985,0.08398,0.07103,0.03082,1.09561,1.21251,1.30449,0.07758,1.08391,1.07618,12.90676,15.03274,1.18754,0.05252,0.042,-2.41706,-3.26947
"47","2021_Q4",86.8890625,"Down",868943000,-584757000,284186000,-222459000,-41234000,-31627000,-149598000,61727000,-338000,-604000,266000,61389000,-29000,61360000,-7144000,54216000,54216000,-1610000,52606000,52606000,436563000,436563000,52346000,52346000,27784000,21222000,16429000,537915000,1139661000,764977000,1701000,127001000,636275000,1904638000,2442553000,261857000,80444000,176185000,181997000,181997000,443854000,728092000,2370000,725722000,918092000,1361946000,146968000,918302000,1065174000,15433000,1080607000,2442553000,54216000,31627000,8910000,-42890000,51863000,-53933000,-51630000,-14683000,-4489000,-47089000,-46856000,-46856000,-46856000,93354000,1.9e+08,3675000,0.32705,0.07104,0.06054,0.04868,0.02154,0.06986,1.21192,1.26035,0.07779,0.75426,0.74993,12.45886,15.27241,0.05269,0.04029,0.00184,-2.64116,-3.99441
"48","2022_Q1",83.893064516129,"Down",895586000,-601705000,293881000,-228858000,-42673000,-32615000,-153570000,65023000,-1549000,-624000,-925000,63474000,-184000,63290000,-8547000,54743000,54743000,-1685000,53058000,53058000,335645000,335645000,161358000,161358000,31595000,34927000,24226000,563525000,1162441000,785986000,1520000,127001000,657465000,1948427000,2511952000,279535000,95234000,184216000,322609000,322609000,602144000,736324000,11734000,724590000,836324000,1438468000,114573000,943551000,1058124000,15360000,1073484000,2511952000,54743000,32615000,18960000,13799000,120117000,-61691000,-61691000,-36951000,-4584000,-159344000,-100918000,-100918000,-100918000,97638000,1e+08,58293000,0.32814,0.0726,0.05924,0.04943,0.02112,1.09867,0.93586,1.34,0.03981,0.758,0.75646,12.79463,15.11671,0.83279,0.04234,0.03052,-2.41346,-3.62403
"49","2022_Q2",77.4551612903226,"Down",987486000,-659267000,328219000,-238727000,-40294000,-33620000,-164813000,89492000,-63000,-397000,334000,89429000,646000,90075000,-12747000,77328000,77328000,-2126000,75202000,75202000,325723000,325723000,45152000,45152000,30043000,25069000,22401000,425987000,1181707000,829626000,6848000,144334000,678444000,2011333000,2437320000,296450000,100093000,192857000,245324000,245324000,541774000,760287000,14154000,746133000,860287000,1402061000,32822000,986958000,1019780000,15479000,1035259000,2437320000,77328000,33620000,12937000,63884000,187769000,-46841000,-73278000,-84705000,-7913000,-124413000,-9922000,-9922000,-9922000,123112000,1e+08,152902000,0.33238,0.09063,0.07616,0.07264,0.03085,2.03322,0.78628,1.35431,0.04103,1.07727,1.07208,14.14574,14.60835,2.19032,0.05645,0.08066,-1.83348,-2.52227
"50","2022_Q3",86.5121875,"Up",1024606000,-680083000,344523000,-258194000,-49213000,-34420000,-174561000,86329000,150000,-395000,545000,86479000,-411000,86068000,-11531000,74537000,74537000,-2118000,72419000,72419000,180411000,180411000,45465000,45465000,31831000,23237000,18770000,280944000,1207996000,832778000,7001000,148732000,677045000,2040774000,2321718000,295577000,101619000,193496000,232882000,232882000,528459000,764240000,15430000,748810000,839240000,1367699000,67000,938825000,938892000,15127000,954019000,2321718000,74537000,34420000,11725000,-9748000,110934000,-59538000,-65854000,-128154000,-6486000,-190392000,-145312000,-145312000,-145312000,120749000,7.5e+07,62994000,0.33625,0.08426,0.07068,0.07591,0.03119,0.86985,0.53163,1.43362,0.0323,1.07043,1.06671,15.1448,13.87785,0.93112,0.05753,0.03513,-0.87298,-1.22104
