"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"37","2019_Q4",24.17828125,"Down",16061000,12900000,17012000,-4112000,3161000,-247000,15814000,-10606000,-10606000,5208000,5208000,5208000,-933000,4275000,4275000,4275000,4275000,103188000,15958000,196254000,1151937000,25990000,47340000,34213000,1574880000,1278028000,585663000,692365000,56382000,13062000,1347472000,81264000,157126000,-10982000,227408000,227408000,1574880000,4275000,663000,1064000,917000,6919000,-636000,14579000,-66280000,-52337000,-1654000,2954000,35597000,36732000,-8686000,-8686000,-8686000,5871000,56382000,7085000,0.32426,0.26617,0.0188,0.00271,1.65731,5.92535,0.0358,0.38731,0.38731,1.45511,20.60292,0.64189,0.14985,0.00376,0.0045,0.3869,-7.97241,-8.98733
"38","2020_Q1",25.1564516129032,"Up",16319000,13336000,17149000,-3813000,2983000,-728000,15591000,-9638000,-9638000,5953000,5953000,5953000,-1230000,4723000,4723000,4723000,4723000,50137000,5468000,243338000,1211771000,26283000,47340000,22993000,1607330000,1288347000,599536000,688811000,48073000,15846000,1377072000,81535000,160081000,-11358000,230258000,230258000,1607330000,4723000,1054000,70387000,-73387000,3915000,-141000,-32935000,-60437000,-93803000,-1657000,18017000,10235000,26592000,-63296000,-63296000,-63296000,7007000,72879000,-65291000,0.36479,0.28942,0.02051,0.00294,-13.82405,5.98056,0.04534,0.42748,0.42748,1.47703,20.84067,-5.90949,0.14998,0.00397,-0.04062,0.35084,3.24561,3.82026
"39","2020_Q2",20.4238095238095,"Down",17175000,14053000,17464000,-3411000,3122000,-1430000,15745000,-10668000,-10668000,5077000,5077000,5077000,-972000,4105000,4105000,4105000,4105000,49844000,45862000,225244000,1239108000,26120000,47340000,21607000,1655125000,1348707000,623187000,725520000,32353000,12820000,1418668000,81844000,162416000,-7803000,236457000,236457000,1655125000,4105000,837000,18950000,-20671000,4651000,-420000,22948000,-27773000,-5805000,-1768000,-17643000,60276000,40695000,39541000,39541000,39541000,5914000,57141000,-14205000,0.2956,0.23901,0.01736,0.00248,-3.46041,5.99969,0.03452,0.37149,0.37149,1.55428,21.39856,-1.2855,0.16,0.00355,-0.00858,0.43069,1.23385,1.43727
"40","2020_Q3",19.81546875,"Down",17901000,14575000,17273000,-2698000,3326000,-1569000,16332000,-10367000,-10367000,5965000,5965000,5965000,-1161000,4804000,4804000,4804000,4804000,54336000,35741000,257501000,1334790000,26049000,47340000,28690000,1784447000,1477375000,636502000,840873000,32717000,14971000,1544150000,82134000,165476000,-7313000,240297000,240297000,1784447000,4804000,837000,63357000,-67227000,3340000,-580000,-43600000,-86076000,-130023000,-1768000,-5474000,128585000,121287000,-5396000,-5396000,-5396000,6802000,51804000,-59844000,0.33322,0.26836,0.01999,0.00269,-12.45712,6.42601,0.02903,0.43478,0.43478,1.62011,21.74776,-5.4161,0.16001,0.00368,-0.03354,0.36803,-0.37224,-0.42448
"41","2020_Q4",20.70703125,"Up",19739000,15024000,17293000,-2269000,4715000,-1987000,17752000,-12055000,-12055000,5697000,5697000,5697000,-1287000,4410000,4410000,4410000,4410000,46395000,46015000,280369000,1351979000,26776000,47340000,27726000,1826600000,1518873000,653236000,865637000,31741000,14841000,1583179000,69180000,168381000,5860000,243421000,243421000,1826600000,4410000,865000,68084000,-66844000,8502000,-1315000,-22558000,-19286000,-43180000,-1768000,-2590000,41498000,36990000,2312000,2312000,2312000,6562000,49465000,-60310000,0.28862,0.22342,0.01812,0.00241,-13.67574,6.50387,0.02708,0.39883,0.39883,1.78515,22.01444,-5.4543,0.15989,0.00338,-0.03302,0.40091,0.46785,0.53888
"42","2021_Q1",23.1652459016393,"Up",21748000,16124000,18139000,-2015000,5624000,-1995000,19753000,-11286000,-11286000,8467000,8467000,8467000,-1691000,6776000,6776000,6776000,6776000,98279000,82080000,338959000,1289318000,27063000,47340000,26505000,1909544000,1596162000,702698000,893464000,30239000,16122000,1660384000,69872000,173591000,5697000,249160000,249160000,1909544000,6776000,712000,57266000,-55860000,10889000,-681000,-59479000,61440000,1284000,-1882000,380000,77289000,75780000,87953000,87953000,87953000,9179000,48100000,-45671000,0.38932,0.31157,0.0272,0.00355,-6.74011,6.66393,0.02519,0.61107,0.61107,1.96126,22.46949,-4.11866,0.16972,0.00453,-0.02392,0.27774,-5.46672,-5.92642
"43","2021_Q2",21.7193650793651,"Down",20028000,15037000,16765000,-1728000,4991000,-1700000,18328000,-12359000,-12359000,5969000,5969000,5969000,-1060000,4909000,4909000,4909000,4909000,118139000,61766000,384260000,1327254000,26703000,47340000,27823000,1993285000,1683851000,693760000,990091000,30072000,14694000,1746457000,70068000,176617000,143000,246828000,246828000,1993285000,4909000,819000,36651000,-37634000,6445000,-219000,-60184000,-31949000,-92104000,-1889000,-324000,87689000,85453000,-206000,-206000,-206000,6788000,47912000,-30005000,0.29803,0.24511,0.01989,0.00246,-6.11224,7.0756,0.02404,0.44184,0.44184,1.80263,22.21591,-2.70062,0.17002,0.00341,-0.01505,0.3848,-10.34576,-11.76529
"44","2021_Q3",21.498125,"Down",20003000,15976000,17530000,-1554000,4027000,-641000,19362000,-13060000,-13060000,6302000,6302000,6302000,-1319000,4983000,4983000,4983000,4983000,93636000,76080000,441137000,1443336000,26915000,56066000,29695000,2166865000,1854073000,758132000,1095941000,29882000,14457000,1916280000,70087000,179734000,764000,250585000,250585000,2166865000,4983000,844000,30283000,-30163000,6588000,-610000,-25746000,-62781000,-82875000,-1889000,-190000,54186000,51906000,-24381000,-24381000,-24381000,7146000,47750000,-22308000,0.31505,0.24911,0.01989,0.0023,-4.47682,7.64723,0.02204,0.4485,0.44452,1.80038,22.55406,-2.00785,0.17002,0.00317,-0.0103,0.37909,-6.42121,-7.28118
"45","2021_Q4",26.34671875,"Up",22524000,18450000,20122000,-1672000,4074000,-659000,21865000,-14321000,-14321000,7544000,7544000,7544000,-1624000,5920000,5920000,5920000,5920000,112875000,59825000,459019000,1479864000,26476000,55214000,25710000,2218983000,1866228000,781915000,1084313000,29601000,16099000,1964237000,69664000,184181000,901000,254746000,254746000,2218983000,5920000,888000,28500000,-20201000,15766000,-393000,-19606000,-37095000,-53119000,-1888000,34140000,12167000,44312000,6959000,6959000,6959000,8432000,81910000,-10538000,0.33493,0.26283,0.02324,0.00267,-1.78007,7.71057,0.03691,0.53284,0.52811,2.02732,22.92895,-0.94849,0.16993,0.00352,-0.00475,0.31892,-3.67232,-4.10459
"46","2022_Q1",32.4417741935484,"Up",24552000,20035000,22423000,-2388000,4517000,-444000,24108000,-14426000,-14426000,9682000,9682000,9682000,-1999000,7683000,7683000,7683000,7683000,135485000,56251000,465651000,1841177000,26913000,80434000,32389000,2638300000,2193462000,1069307000,1124155000,29268000,19867000,2341133000,122674000,189401000,-3184000,297167000,297167000,2638300000,7683000,736000,27084000,-30005000,5942000,-286000,-9453000,-25228000,-37596000,-2004000,39667000,16743000,54399000,22745000,22745000,22745000,10418000,127804000,-17874000,0.39435,0.31293,0.02585,0.00291,-2.32643,7.87817,0.04844,0.66761,0.66761,2.13343,25.82214,-1.55315,0.17414,0.00367,-0.00677,0.26084,-0.73728,-0.79333
"47","2022_Q2",36.4912903225806,"Up",24126000,19783000,21899000,-2116000,4343000,-580000,23546000,-13493000,-13493000,10053000,10053000,10053000,-1951000,8102000,8102000,8102000,8102000,94118000,54081000,450279000,1945449000,26653000,80434000,35131000,2686145000,2253597000,1074373000,1179224000,31680000,17235000,2399667000,111147000,195057000,-19726000,286478000,286478000,2686145000,8102000,908000,27514000,-29207000,7897000,-284000,-5988000,-104478000,-108514000,-2462000,1024000,60754000,59316000,-41301000,-41301000,-41301000,10961000,128835000,-16579000,0.41669,0.33582,0.02828,0.00302,-2.04628,8.37644,0.04796,0.62007,0.62007,1.84643,21.925,-1.26884,0.18842,0.00393,-0.00617,0.30388,3.16732,3.4534
"48","2022_Q3",29.3696875,"Down",25184000,21864000,23911000,-2047000,3320000,-1628000,23556000,-13235000,-13235000,10321000,10321000,10321000,-2050000,8271000,8271000,8271000,8271000,69955000,8168000,436296000,2016394000,26492000,80434000,36977000,2674716000,2224046000,1042099000,1181947000,71944000,20690000,2393843000,111323000,200811000,-31261000,280873000,280873000,2674716000,8271000,908000,22239000,-18508000,14538000,-270000,-990000,-72171000,-71438000,-2462000,20264000,-28931000,-11183000,-68083000,-68083000,-68083000,11229000,149107000,-5499000,0.40982,0.32842,0.02945,0.00309,-0.66485,8.52287,0.05575,0.63844,0.63844,1.94394,21.68048,-0.42447,0.19004,0.00401,-0.00206,0.29767,7.04889,7.66902
