"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",31.54796875,"Up",632142000,-357221000,274921000,-250197000,-250197000,24724000,-592000,-3683000,24132000,22354000,-5174000,17180000,17180000,32000,17212000,17212000,96481000,96481000,125559000,125559000,579902000,62385000,62385000,864327000,208898000,428841000,212819000,88941000,637739000,1502066000,437663000,268917000,168746000,437663000,197587000,152678000,152678000,350265000,787928000,137341000,591429000,-16065000,712705000,1433000,714138000,1502066000,17180000,12101000,7460000,14606000,51347000,-7929000,-1434000,-9363000,-3023000,0,-3122000,-9433000,32551000,32551000,-117000,32434000,36825000,197587000,48676000,0.4349,0.03911,0.02723,0.0241,0.01146,2.82803,1.97487,1.10333,0.13154,0.41069,0.40948,15.08332,17.00561,1.16144,0.07213,0.01901,0.04573,0.17563,2.74558,4.08939
"32","2018_Q3",32.9174603174603,"Up",706612000,-413510000,293102000,-258836000,-258836000,34266000,-524000,-3602000,33742000,31620000,-8009000,23611000,23611000,35000,23646000,23646000,102884000,102884000,153421000,153421000,715705000,62159000,62159000,1034169000,207726000,451750000,227503000,89701000,659476000,1693645000,596378000,400391000,195987000,596378000,197702000,162371000,162371000,360073000,956451000,140578000,612044000,-16769000,735853000,1341000,737194000,1693645000,23611000,12094000,7895000,-3940000.00000001,39660000,-10630000,-1517000.00000001,-28940000,-3030000,2.98023223876953e-08,-1243000,-4273000,6447000,6447000,-44000,6403000,46360000,197702000,39799000,0.4148,0.04849,0.03346,0.03208,0.01396,1.68312,1.73408,1.29742,0.11673,0.56348,0.56192,16.83853,17.53534,0.94841,0.0722,0.02431,0.03627,0.12814,2.04525,2.76712
"33","2018_Q4",29.5993650793651,"Down",775829000,-465219000,310610000,-265522000,-265522000,45088000,-1125000,-4210000,43963000,38623000,-9468000,29155000,29155000,-2000,29153000,29153000,90491000,90491000,192246000,192246000,698265000,63166000,63166000,1044168000,218103000,746131000,370507000,92279000,964234000,2008402000,526978000,317499000,209479000,876978000,197817000,166522000,166522000,364339000,1241317000,144186000,638191000,-16624000,765753000,1332000,767085000,2008402000,29155000,12874000,8316000,-46942000,3403000,-16685000,-345496000,-362672000,-3006000,349886000,47000,346927000,-12342000,-12342000,-51000,-12393000,57962000,547817000,3803000,0.40036,0.05812,0.03758,0.038,0.01452,0.13045,1.19064,1.61823,0.27276,0.69414,0.69237,18.47256,18.23265,0.09055,0.07157,0.02171,0.00257,0.10311,7.8901,10.14296
"34","2019_Q1",26.3762295081967,"Down",720263000,-442552000,277711000,-267210000,-267210000,10501000,-3728000,-6782000,6773000,-98351000,22924000,-75427000,-75427000,-25000,-75452000,-75452000,30200000,30200000,191722000,191722000,683171000,71354000,71354000,976447000,230784000,631337000,307366000,81440000,862121000,1838568000,518336000,316298000,202038000,853336000,197932000,151865000,151865000,349797000,1203133000,146308000,519346000,-31601000,634053000,1382000,635435000,1838568000,-75427000,15492000,100363000,-5249000,35179000,-27239000,344031000,-35381999.9999999,-2924000,-14886000,2614000,-60051000,-60254000,-60254000,-37000,-60291000,25993000,532932000,-29419000,0.38557,0.01458,-0.10476,-0.11874,-0.04104,0.3899,1.14427,1.8934,0.28986,-1.83354,-1.84918,17.50293,15.40796,-0.7149,0.07106,-0.05494,-0.02228,-0.03875,19.34105,47.87468
"35","2019_Q2",21.4120634920635,"Down",677754000,-397918000,279836000,-262111000,-262111000,17725000,-4721000,-7340000,13004000,12148000,-3063000,9085000,9085000,-2000,9083000,9083000,35778000,35778000,148487000,148487000,648145000,54902000,54902000,887312000,236257000,1369501000,304101000,820993000,1605758000,2493070000,457295000,289071000,168224000,911300000,860796000,92342000,92342000,953138000,1864438000,147063000,512046000,-31873000,627236000,1396000,628632000,2493070000,9085000,11434000,9868000,19523000,49910000,-18443000,-2917000,-21360000,-2947000,-1.7e+07,-2953000,-22900000,5650000,5650000,-72000,5578000,29159000,1178796000,33302000,0.41289,0.02615,0.0134,0.01445,0.00364,3.66641,0.97368,2.96587,0.47283,0.22294,0.22262,16.63567,15.39569,0.81741,0.07233,0.00633,0.01753,0.32445,39.19949,64.48621
"36","2019_Q3",17.53921875,"Down",752485000,-446541000,305944000,-267531000,-267531000,38413000,-4739000,-7389000,33674000,33065000,-7838000,25227000,25227000,114000,25341000,25341000,42601000,42601000,167727000,167727000,792064000,51394000,51394000,1053786000,232045000,1358562000,300835000,812452000,1590607000,2644393000,638927000,448596000,190331000,1082129000,847261000,90325000,90325000,937586000,2019715000,150288000,504546000,-31405000,623429000,1249000,624678000,2644393000,25227000,11523000,11985000,17933000,66668000,-7662000,-1167000,-8829000,-2861000,-1.8e+07,-288000,-51144000,6694999.99999999,6694999.99999999,128000,6822999.99999999,49936000,1147261000,68045000,0.40658,0.05105,0.03368,0.04057,0.00958,2.68517,0.97381,3.23321,0.43385,0.6343,0.63341,18.8352,15.60484,1.70321,0.07161,0.01514,0.03654,0.1129,22.12152,28.75745
"37","2019_Q4",21.0546875,"Up",792375000,-472605000,319770000,-275330000,-275330000,44440000,-7926000,-10559000,36514000,35545000,-7784000,27761000,27761000,226000,27987000,27987000,52502000,52502000,156253000,156253000,644646000,48245000,45974000,901646000,230261000,1339303000,297570000,796458000,1569564000,2471210000,454729000,275699000,165051000,894230000,828007000,95623000,95623000,923630000,1817860000,152620000,528538000,-30318000,650840000,2510000,653350000,2471210000,27761000,21145000,4e+06,-23747000,29159000,-10613000,-809000,-11422000,-2823000,-5e+06,3719000,-7882000,9855000,9855000,46000,9901000,65585000,1123007000,39009000,0.40356,0.05608,0.03532,0.04284,0.01133,1.39383,1.00829,2.78237,0.45444,0.71292,0.71192,20.1843,16.57895,0.99368,0.07191,0.01646,0.02084,0.10087,16.32241,24.08877
"38","2020_Q1",13.4345161290323,"Down",698948000,-420138000,278810000,-260788000,-260788000,18022000,-7834000,-7835000,10188000,-2165000,2174000,9000,9000,399000,407999.999999985,407999.999999985,45218000,45218000,162181000,162181000,618406000,56494000,50305000,882299000,224846000,1324562000,294304000,775248000,1549408000,2431707000,393361000,267018000,119157000,850950000,827423000,104204000,49191000,931627000,1782577000,153893000,523900000,-31843000,645950000,3180000,649130000,2431707000,9000,14974000,2.2e+07,-11934000,25049000,-7179000,-726000,-7905000,-2791000,-2e+07,680000,-24406000,-7262000.00000001,-7262000.00000001,-22000,-7283999.99999999,32996000,1102423000,11709000,0.3989,0.02578,0.000579999999999976,0.000630000000000006,0.000170000000000007,28.69853,1.03684,2.7461,0.45335,0.0104,0.0103799999999999,17.8144,16.46362,0.29843,0.07114,0.00172000000000001,0.00631,6.84069,32.0404,58.66191
"39","2020_Q2",6.68857142857143,"Down",397184000,-275286000,121898000,-225194000,-225194000,-103296000,-5893000,-9478000,-109189000,-432104000,85932000,-346172000,-346172000,334000,-345838000,-345838000,187717000,187717000,145333000,145333000,585307000,91433000,44563000,1009790000,200800000,1013095000,273648000,729991000,1213895000,2223685000,478901000,297557000,173752000,1077539000,799639000,61384000,49604000,861023000,1938562000,155323000,160189000,-33216000,282296000,2827000,285123000,2223685000,-346172000,15331000,280667000,50902000,728000,-3523000,-977000,-4500000,-2810000,163500000,-323000,146529000,142757000,142757000,-258000,142499000,-87965000,1238139000,-126518000,0.30691,-0.26007,-0.87072,-1.21294,-0.15552,0.36583,0.93713,6.79904,0.5568,-8.94817,-8.94817,10.2767,7.3041,-3.27351,0.07271,-0.21647,-0.07984,-0.00813,-11.94136,-10.16905
"40","2020_Q3",7.7575,"Up",501448000,-318828000,182620000,-201330000,-201330000,-18710000,-9716000,-13388000,-28426000,-33855000,3186000,-30669000.0000001,-30669000,-48000,-30717000,-30717000,148544000,148544000,110249000,110249000,574830000,96426000,43768000,930049000,193593000,988752000,270361000,653504000,1182345000,2112394000,496653000,280319000,208024000,1017900000,778020000,71340000,58289000,849360000,1867260000,157292000,116385000,-31437000,242240000,2894000,245134000,2112394000,-30668999.9999999,13043000,2634999.99999994,81783000,66792000,-2871000,-1243000,-4114000,-2685000,-88500000,-326000,-101994000,-39316000,-39316000,143000,-39173000,-5667000,1128020000,70059000,0.36419,-0.03731,-0.06126,-0.12531,-0.01454,-2.28079,0.91369,7.6173,0.534,-0.82766,-0.82766,13.51138,6.52709,1.88772,0.07235,-0.01941,0.0485,-0.0874099999999998,-172.83854,-52.3504
"41","2020_Q4",10.87390625,"Up",647479000,-390507000,256972000,-236901000,-236901000,20071000,-5420000,-10881000,14651000,14651000,275000,14926000,14926000,-509000,14417000,14417000,124330000,124330000,141059000,141059000,507365000,99401000,45513000,872155000,189207000,965698000,267074000,689168000,1154905000,2027060000,473562000,285582000,180927000,959908000,755079000,50418000,37474000,805497000,1765405000,159706000,128149000,-31184000,256671000,4984000,261655000,2027060000,14926000,13335000,12050000,-6065000,34246000,-5622000,-1305000,-6927000,-2653000,-5e+07,1169000,-51589000,-24270000,-24270000,56000,-24214000,33406000,1055079000,21444000,0.39688,0.031,0.02227,0.0551,0.00711,1.48741,0.90858,6.74707,0.5205,0.39439,0.39439,17.71246,7.0215,0.58662,0.07258,0.01249,0.01569,0.18402,27.86173,46.37283
"42","2021_Q1",16.6244262295082,"Up",570959000,-345400000,225559000,-226064000,-226064000,-505000.000000004,-10424000,-14540000,-10929000,-65803000,-11276000,-77079000,-77079000,103000,-76976000,-76976000,88295000,88295000,126994000,126994000,487955000,79312000,45387000,782556000,172437000,912057000,240071000,583153000,1084494000,1867050000,414674000,280501000,129104000,905509000,717793000,39894000,31650000,757687000,1663196000,160826000,48557000,-9136000,200247000,3607000,203854000,1867050000,-77079000,12919000,63247000,25500000,24587000,-4770000,-1749000,-6519000,-2616000,-5e+07,-1579000,-54252000,-36184000,-36184000,149000,-36035000,12414000,967793000,44420000,0.39505,-0.000879999999999992,-0.13482,-0.3776,-0.04123,-0.57706,0.86422,8.15876,0.51835,-2.1053,-2.1053,15.61576,5.47677,1.21489,0.07155,-0.06138,0.03666,-0.03398,70.84727,-1741.5802
"43","2021_Q2",24.5615873015873,"Up",638636000,-363749000,274887000,-243535000,-243535000,31352000,-7964000,-11792000,23388000,9906000,-3521000,6385000,6385000,-238000,6147000,6147000,98244000,98244000,132698000,132698000,445299000,80877000,45027000,757118000,165118000,880587000,236924000,552266000,1045705000,1802823000,487087000,293309000,182419000,865937000,689321000,40909000,30653000,730230000,1596167000,159764000,52041000,-8936000,202869000,3787000,206656000,1802823000,6385000,12092000,15248000,36653000,70378000,-2659000,-1218000,-3877000,-2663000,-5e+07,-450000,-56614000,9887000,9887000,62000,9949000,43444000,889321000,80959000,0.43043,0.04909,0.00963,0.02975,0.00341,13.17049,0.87433,7.72379,0.49329,0.16515,0.16515,17.15841,5.45054,2.17515,0.07155,0.00775,0.07121,0.43322,18.20912,25.23211
"44","2021_Q3",23.6990625,"Down",675531000,-353238000,322293000,-259501000,-259501000,62792000,-8081000,-11941000,54711000,54711000,-16559000,38152000,38152000,-756000,37396000,37396000,54684000,54684000,110522000,110522000,565512000,76645000,41619000,807363000,161066000,864469000,233777000,536609000,1025535000,1832898000,599670000,348795000,233564000,978669000,563286000,45652000,32078000,608938000,1587607000,162505000,86764000,-8572000,240697000,4594000,245291000,1832898000,38151000,11543000,12980000,2495000,65169000,-4157000,-1363000,-5520000,-2673000,-1e+08,-227000,-103151000,-43502000,-43502000,-58000,-43560000,74335000,762826000,89232000,0.4771,0.09295,0.05536,0.15246,0.0204,2.38614,0.82496,6.47234,0.41619,1.00473,1.00473,18.14968,6.46687,2.39742,0.07182,0.03802,0.08468,0.0714799999999999,9.52636,11.2775800000002
"45","2021_Q4",23.5065625,"Down",784156000,-448805000,335351000,-254033000,-254033000,81318000,-1225000,-5069000,80093000,79444000,-19759000,59685000,59685000,-63000,59622000,59622000,74772000,74772000,161892000,161892000,543218000,82816000,47790000,862698000,155516000,856344000,230625000,529014000,1011860000,1874558000,612753000,352084000,238298000,1070060000,452786000,45967000,32364000,498753000,1568813000,165858000,143711000,-8471000,301098000,4647000,305745000,1874558000,59686000,11428000,8492000,-25425000,54181000,-3621000,-1541000,-5162000,-2675000,-2.5e+07,-1189000,-28891000,20128000,20128000,-40000,20088000,92746000,727384000,83459000,0.42766,0.1037,0.07603,0.19501,0.03181,1.3998,0.80621,5.13112,0.38803,1.62276,1.60728,21.34281,8.19515,2.27155,0.07281,0.05773,0.07734,0.04487,7.03655,8.02543
"46","2022_Q1",21.431935483871,"Down",679281000,-384495000,294786000,-250959000,-250959000,43827000,1718000,-2128000,45545000,45183000,-11242000,33941000,33941000,-86999.9999999999,33854000,33854000,30115000,30115000,122236000,122236000,596807000,87318000,48790000,836476000,150238000,857212000,227503000,530570000,1007450000,1843926000,607118000,331470000,253026000,1025613000,452909000,42017000,27286000,494926000,1520539000,169206000,157970000,-8606000,318570000,4817000,323387000,1843926000,33941000,11574000,-38131000,-28671000,-21287000,-7956000,-1630000,-9586000,-2637000,1.5e+07,-8996000,-13729000,-44602000,-44602000,-55000,-44657000,55401000,742909000,30016000,0.43397,0.06452,0.04984,0.10469,0.01836,0.88663,0.81559,4.70192,0.4029,0.92142,0.91263,18.48836,8.67069,0.81696,0.07177,0.03292,0.02708,0.07789,12.86609,16.26381
"47","2022_Q2",24.5625806451613,"Up",735116000,-408122000,326994000,-260799000,-260799000,66195000,1123000,-2299000,67318000,67318000,-17333000,49985000,49985000,524000,50509000,50509000,33717000,33717000,181551000,181551000,643527000,74846000,46254000,933641000,137600000,857057000,224475000,530973000,994657000,1928298000,646195000,386821000,219956000,1069887000,452742000,47641000,32830000,500383000,1570270000,169399000,191165000,-8328000,352236000,5792000,358028000,1928298000,49985000,11092000,7339000,-48730000,19686000,-9305000,-2345000,-11650000,-2648000,1.5e+07,1500000,-4420000,3616000,3616000,-14000,3602000,77287000,757742000,36585000,0.44482,0.09005,0.06871,0.14108,0.02619,0.72433,0.87265,4.38589,0.39296,1.38434,1.36441,20.14789,9.654,1.00271,0.07258,0.04569,0.03145,0.05243,9.368,10.93776
"48","2022_Q3",26.3071875,"Up",738330000,-401515000,336815000,-268395000,-268395000,68420000,633000,-2584000,69053000,69053000,-17500000,51553000,51553000,-375000,51178000,51178000,45955000,45955000,127580000,127580000,770652000,74604000,45698000,1018791000,137007000,869410000,221447000,543749000,1006417000,2025208000,659699000,399265000,240295000,1139800000,451657000,48874000,33935000,500531000,1640331000,173610000,212803000,-7280000,379133000,5744000,384877000,2025208000,51553000,10842000,5726999.99999999,-60557000,7565000,-7515000,-1561000,-9076000,-2552000,43500000,0,13734000,12223000,12223000,15000,12238000,79262000,800157000,28690000,0.45618,0.09267,0.06932,0.13297,0.02527,0.56059,0.89383,4.26196,0.3951,1.40267,1.38248,20.23598,10.39119,0.78633,0.06994,0.04354,0.02325,0.04987,9.5153,11.02312
