"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",15.9031746031746,"Down",1.209e+09,-2.49e+08,9.6e+08,-7.71e+08,-4.94e+08,-2.25e+08,-5.2e+07,1.89e+08,-4.9e+07,-4.2e+07,-7e+06,1.4e+08,5.65e+08,7.05e+08,6.06e+08,1.311e+09,1.342e+09,1.342e+09,1.342e+09,2.532e+09,2.142e+09,3.9e+08,6.66e+08,6.66e+08,3.69e+08,3.69e+08,3.567e+09,8.38e+08,1.1575e+10,2.754e+09,8.318e+09,1.71e+08,1.2413e+10,1.598e+10,5.82e+08,1.81e+08,2.15e+08,2.519e+09,3.68e+08,3.101e+09,5.587e+09,2.334e+09,6.18e+08,1.137e+09,7.921e+09,1.1022e+10,4.507e+09,4.36e+08,1.5e+07,4.958e+09,4.958e+09,1.598e+10,1.311e+09,1.98e+08,-2.174e+09,9.25e+08,2.94e+08,-3.3e+07,-2.27e+08,6.7e+08,-6.3e+08,9e+06,-1.4e+07,-6.84e+08,2.8e+08,2.8e+08,2.6e+07,3.06e+08,3.87e+08,5.587e+09,6.73e+08,0.79404,0.15633,1.11001,0.27067,0.08398,0.50149,1.15027,2.22307,0.34962,2.16801,2.01199,1.95315,8.00969,1.08724,6,0.10801,0.05226,7.89406,16.16402
"32","2018_Q1",14.5081967213115,"Down",1.21e+09,-2.64e+08,9.46e+08,-8.08e+08,-4.97e+08,-2.57e+08,-5.4e+07,1.38e+08,-6.6e+07,-7.3e+07,7e+06,7.2e+07,-1.37e+08,-6.5e+07,6999999.99999988,-57999999.9999998,-5.9e+07,-5.9e+07,-5.9e+07,2.162e+09,1.774e+09,3.88e+08,8.09e+08,8.09e+08,5.22e+08,5.22e+08,3.493e+09,7.78e+08,1.1488e+10,2.643e+09,8.319e+09,5.26e+08,1.2266e+10,1.5759e+10,4.3e+08,1.68e+08,2.62e+08,2.74e+09,2.74e+09,3.17e+09,5.026e+09,2.54e+09,5.92e+08,1.948e+09,7.566e+09,1.0736e+10,4.691e+09,3.28e+08,4e+06,5.023e+09,5.023e+09,1.5759e+10,-5.8e+07,1.14e+08,248999999.999999,-28999999.9999996,2.66e+08,-3.7e+07,-3.2e+07,-1.06e+08,-5.7e+08,3.8e+07,3.9e+07,-5.41e+08,-3.81e+08,-3.81e+08,1.3e+07,-3.68e+08,2.52e+08,5.026e+09,1.79e+08,0.78182,0.11405,-0.0487599999999999,-0.01175,-0.00373999999999999,-3.0339,1.10189,2.13737,0.31893,-0.0950099999999994,-0.0755400000000002,1.94847,8.08857,0.28824,5,-0.000870000000000024,0.01422,11.36508,20.75362
"33","2018_Q2",12.8353125,"Down",1.156e+09,-2.49e+08,9.07e+08,-8.09e+08,-5.19e+08,-2.37e+08,-5.3e+07,9.8e+07,-7.1e+07,-5.2e+07,-1.9e+07,2.7e+07,-9.6e+07,-6.9e+07,4e+06,-6.5e+07,-6e+07,-6e+07,-6e+07,2.325e+09,2.001e+09,3.24e+08,5.02e+08,5.02e+08,5.01e+08,5.01e+08,3.328e+09,7.58e+08,1.2162e+10,2.532e+09,8.322e+09,1.308e+09,1.292e+10,1.6248e+10,3.35e+08,1.7e+08,1.65e+08,2.54e+09,2.54e+09,2.875e+09,5.032e+09,2.423e+09,5.98e+08,1.825e+09,7.455e+09,1.033e+10,4.78e+09,1.158e+09,-2e+07,5.918e+09,5.918e+09,1.6248e+10,-6.5e+07,1.52e+08,5.4e+07,1.9e+08,3.31e+08,-4.4e+07,-5e+06,-5.4e+07,0,4e+06,2.2e+07,-3.4e+07,2.43e+08,2.43e+08,-1.6e+07,2.27e+08,2.5e+08,5.032e+09,3.92e+08,0.7846,0.08478,-0.0519,-0.01014,-0.00369,-6.53333,1.15757,1.74552,0.3097,-0.09615,-0.09615,1.85256,9.48397,0.62821,6,0,0.02931,10.828,27.62245
"34","2018_Q3",10.9360317460317,"Down",1.175e+09,-2.56e+08,9.19e+08,-7.61e+08,-4.79e+08,-2.31e+08,-5.1e+07,1.58e+08,-7.4e+07,-5.2e+07,-2.2e+07,8.4e+07,-5.6e+07,2.8e+07,-3.6e+07,-8e+06,-8e+06,-8e+06,-8e+06,2.436e+09,2.147e+09,2.89e+08,5.37e+08,5.37e+08,4.45e+08,4.45e+08,3.418e+09,7.78e+08,1.2038e+10,2.433e+09,8.328e+09,1.277e+09,1.2816e+10,1.6234e+10,3.23e+08,1.58e+08,1.65e+08,2.491e+09,2.491e+09,3.411e+09,4.442e+09,2.431e+09,6.52e+08,1.779e+09,6.873e+09,1.0284e+10,4.867e+09,1.1e+09,-1.7e+07,5.95e+09,5.95e+09,1.6234e+10,-8000000.00000003,1.53e+08,1.84e+08,-8.9e+07,2.4e+08,-5.1e+07,-2e+06,-6.5e+07,0,2e+06,2.4e+07,-2.4e+07,1.51e+08,1.51e+08,-5e+06,1.46e+08,3.11e+08,5.039e+09,2.07e+08,0.78213,0.13447,-0.00681000000000004,-0.00134,-0.000489999999999995,-25.875,1.00205,1.7284,0.3104,-0.0127000000000001,-0.0127,1.86508,9.44444,0.32857,4,0.00313,0.01542,8.36977,16.47468
"35","2018_Q4",11.1380952380952,"Up",1.211e+09,-2.66e+08,9.45e+08,-7.23e+08,-4.62e+08,-2.09e+08,-5.2e+07,2.22e+08,-7.2e+07,-5.3e+07,-1.9e+07,1.5e+08,-5.3e+07,9.7e+07,-3.8e+07,5.9e+07,6.5e+07,6.5e+07,6.5e+07,2.579e+09,2.309e+09,2.7e+08,7.23e+08,7.23e+08,4.22e+08,4.22e+08,3.724e+09,7.91e+08,1.1941e+10,2.329e+09,8.344e+09,1.268e+09,1.2732e+10,1.6456e+10,4.27e+08,2.01e+08,2.26e+08,2.618e+09,2.618e+09,3.643e+09,4.447e+09,2.46e+09,6.26e+08,1.834e+09,6.907e+09,1.055e+10,4.804e+09,1.116e+09,-1.4e+07,5.906e+09,5.906e+09,1.6456e+10,5.9e+07,1.52e+08,6.9e+07,9.7e+07,3.77e+08,-3.2e+07,-5e+06,5.8e+07,0,2e+06,-2.14e+08,-2.71e+08,1.64e+08,1.64e+08,-2e+06,1.62e+08,3.74e+08,5.045e+09,4.77e+08,0.78035,0.18332,0.05367,0.01101,0.00395,7.33846,1.02223,1.78632,0.30658,0.10172,0.10172,1.89515,9.24257,0.74648,6,0.00925,0.03557,6.59358,11.10811
"36","2019_Q1",11.7672131147541,"Up",-1.086e+09,3.16e+08,-7.7e+08,6.71e+08,3.38e+08,2.57e+08,7.6e+07,-9.9e+07,-4.8e+07,-5.1e+07,3e+06,-1.47e+08,-1.6e+07,-1.63e+08,6.7e+07,-95999999.9999999,3.4e+07,3.4e+07,3.4e+07,2.043e+09,1.791e+09,2.52e+08,7.08e+08,7.08e+08,4.35e+08,4.35e+08,3.186e+09,7.9e+08,1.1962e+10,2.25e+09,8.45e+09,1.262e+09,1.2752e+10,1.5938e+10,4.22e+08,1.65e+08,2.57e+08,2.853e+09,2.853e+09,3.766e+09,3.961e+09,2.473e+09,5.77e+08,1.896e+09,6.434e+09,1.02e+10,4.812e+09,9.33e+08,-7e+06,5.738e+09,5.738e+09,1.5938e+10,4.5e+07,1.58e+08,7.2e+07,2.72e+08,5.47e+08,-5.4e+07,1.32e+08,-1.8e+08,-6e+08,-2.23e+08,-9000000.00000003,-8.8e+08,-5.13e+08,-5.13e+08,-5e+06,-5.18e+08,5.9e+07,4.452e+09,2.1e+08,0.70902,0.09116,-0.0313099999999998,0.00593000000000003,0.00213,6.17647000000001,0.84599,1.77762,0.27933,0.05354,0.04527,-1.71024,9.03622,0.33071,6,0.00648,0.01658,40.83051,-24.33333
"37","2019_Q2",11.6501587301587,"Down",1.247e+09,-2.72e+08,9.75e+08,-7.93e+08,-5.01e+08,-2.41e+08,-5.1e+07,1.82e+08,-4.9e+07,-4.9e+07,0,1.33e+08,-2.5e+07,1.08e+08,-8.2e+07,2.6e+07,2.6e+07,2.6e+07,2.6e+07,1.694e+09,1.532e+09,1.62e+08,4.38e+08,4.38e+08,4.29e+08,4.29e+08,2.561e+09,7.84e+08,1.2024e+10,2.137e+09,8.449e+09,1.438e+09,1.2808e+10,1.5369e+10,3.33e+08,1.35e+08,1.98e+08,2.781e+09,2.781e+09,3.608e+09,3.964e+09,2.547e+09,5.48e+08,1.999e+09,6.511e+09,1.0119e+10,4.701e+09,5.61e+08,-1.2e+07,5.25e+09,5.25e+09,1.5369e+10,2.6e+07,1.58e+08,7.7e+07,6.4e+07,3.25e+08,-4.9e+07,-5e+06,3.8e+07,-615226638.078777,-5.22e+08,-5.2e+07,-6.25e+08,-2.62e+08,-2.62e+08,3e+06,-2.59e+08,3.4e+08,4.458e+09,4.37e+08,0.78188,0.14595,0.02085,0.00495,0.00169,16.80769,0.70981,1.92743,0.29006,0.042,0.0405,2.01454,8.48142,0.70598,6,0.00628,0.03566,8.12941,15.18681
"38","2019_Q3",12.69796875,"Up",1.1e+07,7.9e+07,9e+07,6999999.99999976,-58000000.0000001,55000000.0000001,9999999.99999997,96999999.9999999,-4.8e+07,-4.6e+07,-2e+06,49000000.0000001,-5e+06,44000000.0000001,6e+06,5e+07,7.85e+08,7.85e+08,7.85e+08,1.831e+09,1.697e+09,1.34e+08,5.93e+08,5.93e+08,7.336e+09,2.89e+08,9.76e+09,6.76e+08,5.793e+09,1.146e+09,2.675e+09,1.972e+09,6.469e+09,1.6229e+10,3.39e+08,1.2e+08,2.19e+08,3.472e+09,1.54e+09,5.056e+09,3.219e+09,1.842e+09,5.38e+08,1.304e+09,5.061e+09,1.0117e+10,4.816e+09,1.298e+09,-2e+06,6.112e+09,6.112e+09,1.6229e+10,7.85e+08,9.3e+07,-5.78e+08,-1.19e+08,1.81e+08,-2.7e+07,0,1000000.00000048,-194653802.828534,5.1e+07,-1.3e+07,-9e+06,1.73e+08,1.73e+08,-8e+06,1.65e+08,1.9e+08,4.464e+09,38000000.0000002,8.18182,8.81818,71.36364,0.128440000000004,0.04837,0.0484100000000005,1.93038,1.65527000000001,0.27506,1.26817,1.21894,0.0177700000000001,9.87399,0.06139,6,0.067,0.00306000000000001,13.85789,27.14433
"39","2019_Q4",13.35015625,"Up",8.22e+08,-1.14e+08,7.08e+08,-8.7e+07,-5.7e+07,-8e+06,-2.2e+07,6.21e+08,1.67e+08,0,1.67e+08,7.88e+08,6e+06,7.94e+08,-1.54e+08,6.4e+08,-9.5e+07,-9.5e+07,-9.5e+07,1.2768e+10,1.2649e+10,1.19e+08,1.71e+08,1.71e+08,6.32e+08,4.11e+08,1.3571e+10,3.65e+08,4.611e+09,1.119e+09,2.676e+09,8.16e+08,4.976e+09,1.8547e+10,2.88e+08,1.57e+08,1.31e+08,3.676e+09,3.655e+09,4.713e+09,3.719e+09,1.438e+09,1.65e+08,1.273e+09,5.157e+09,9.87e+09,4.853e+09,3.812e+09,1.2e+07,8.677e+09,8.677e+09,1.8547e+10,2.845e+09,5.6e+07,-4.894e+09,2.392e+09,3.99e+08,-1e+07,1.1082e+10,1.0952e+10,-2000000.00000024,-3.24e+08,2e+06,-4.03e+08,1.0948e+10,1.0948e+10,4e+06,1.0952e+10,6.77e+08,4.468e+09,3.213e+09,0.86131,0.75547,-0.11557,-0.01095,-0.00512,-33.82105,2.87948,1.13749,0.2409,-0.15273,-0.14706,1.32154,13.95016,5.16559,5,-0.0011,0.22033,-12.25997,-13.36554
"40","2020_Q1",16.6483870967742,"Up",4.1e+08,-8.6e+07,3.24e+08,-6.03e+08,-4.53e+08,-1.34e+08,-1.6e+07,-2.79e+08,3.94e+08,-1.01e+08,4.95e+08,1.15e+08,-2.42e+08,-1.27e+08,-1.1e+07,-1.38e+08,3.171e+09,3.171e+09,3.171e+09,2.263e+09,2.177e+09,8.6e+07,1.11e+08,1.11e+08,705000000.000001,4.35e+08,3.079e+09,2.38e+08,4.418e+09,1.067e+09,2.585e+09,7.66e+08,4.656e+09,7.735e+09,2.02e+08,8.7e+07,1.15e+08,1.664e+09,1.664e+09,2.622e+09,3.465e+09,1.638e+09,1.49e+08,1.489e+09,5.103e+09,7.725e+09,3.356e+09,-3.33e+09,-1.6e+07,1e+07,1e+07,7.735e+09,2.31e+08,5.4e+07,-198999999.999999,-1.852e+09,-1.766e+09,-3e+06,-1.0527e+10,387999999.999996,-5.66e+08,-6.63e+08,-5.53e+08,-9.086e+09,-1.0464e+10,-1.0464e+10,-8e+06,-1.0472e+10,-2.25e+08,4.221e+09,-2.069e+09,0.79024,-0.68049,7.73415,317.1,0.40995,-0.65247999999999,1.17429,772.5,0.5457,5.285,4.95469,0.68333,0.0166699999999977,-3.44833,6,1.7848,-0.35253,-8.70222,-7.01792
"41","2020_Q2",19.1111111111111,"Up",6.14e+08,-8.6e+07,5.28e+08,-2.81e+08,-1.98e+08,-6.5e+07,-1.8e+07,2.47e+08,-2.1e+07,-4e+07,1.9e+07,2.26e+08,-1.27e+08,9.9e+07,5e+07,1.49e+08,1.18e+08,1.18e+08,1.18e+08,1.131e+09,1.073e+09,5.8e+07,1.02e+08,1.02e+08,7.17e+08,3.64e+08,1.95e+09,8.8e+07,4.367e+09,1.042e+09,2.588e+09,7.37e+08,4.455e+09,6.405e+09,1.31e+08,6e+07,7.1e+07,1.654e+09,1.654e+09,2.548e+09,2.841e+09,1.519e+09,1.7e+08,1.349e+09,4.36e+09,6.908e+09,2.713e+09,-3.212e+09,-4e+06,-5.03e+08,-5.03e+08,6.405e+09,1.18e+08,4.6e+07,1.4e+08,-1.34e+08,1.7e+08,-1e+06,2.4e+07,2.3e+07,-1.179e+09,2e+06,-2.3e+07,-1.305e+09,-1.112e+09,-1.112e+09,8e+06,-1.104e+09,2.93e+08,3.604e+09,1.08e+08,0.85993,0.40228,0.19218,-0.23459,0.01842,0.91525,0.76531,-13.7336,0.56269,0.2,0.19218,1.04068,-0.85254,0.18305,7,0.04827,0.02338,8.44027,10.01215
"42","2020_Q3",20.46125,"Up",6.26e+08,-9e+07,5.36e+08,-2.92e+08,-2.11e+08,-6.3e+07,-1.8e+07,2.44e+08,1e+06,-3.7e+07,38000000.0000001,2.45e+08,-1.4e+07,2.31e+08,-6.5e+07,1.66e+08,64000000.000001,64000000.000001,64000000.000001,1.049e+09,1.009e+09,4e+07,9.6e+07,9.6e+07,6.47e+08,3.77e+08,1.792e+09,7.5e+07,4.446e+09,1.02e+09,2.596e+09,8.3e+08,4.521e+09,6.313e+09,1.39e+08,6.6e+07,7.3e+07,1.562e+09,1.562e+09,1.748e+09,3.556e+09,1.485e+09,1.8e+08,1.305e+09,5.041e+09,6.789e+09,2.65e+09,-3.148e+09,2.2e+07,-4.76e+08,-4.76e+08,6.313e+09,6.4e+07,3.9e+07,1.7e+07,-2.33e+08,-1.13e+08,1.16e+08,1.8e+07,1.34e+08,0,3e+06,-6999999.99999994,-85999999.999999,-6.5e+07,-6.5e+07,1e+06,-6.4e+07,2.83e+08,3.603e+09,2.31e+08,0.85623,0.38978,0.10224,-0.13444999999999,0.01014,3.60938,1.02517,-14.26261,0.57073,0.108110000000001,0.10667,1.05743,-0.80405,0.3902,3,0.03166,0.0500900000000001,9.02473,10.46721
"43","2020_Q4",19.20171875,"Down",6.39e+08,-8.7e+07,5.52e+08,-2.71e+08,-1.82e+08,-7.1e+07,-1.8e+07,2.81e+08,-2.7e+07,-3.2e+07,5e+06,2.54e+08,-1e+06,2.53e+08,-8e+07,1.73e+08,1.78e+08,1.78e+08,1.78e+08,1.073e+09,1.046e+09,2.7e+07,1.11e+08,1.11e+08,6.64e+08,3.94e+08,1.848e+09,7e+07,4.439e+09,9.99e+08,2.606e+09,8.34e+08,4.509e+09,6.357e+09,1.53e+08,6.7e+07,8.6e+07,1.605e+09,1.605e+09,1.821e+09,3.542e+09,1.486e+09,2.01e+08,1.285e+09,5.028e+09,6.849e+09,2.42e+09,-2.97e+09,5.8e+07,-4.92e+08,-4.92e+08,6.357e+09,1.78e+08,2.8e+07,6e+07,2.7e+07,2.93e+08,-2e+06,9e+06,7e+06,0,-1.27e+08,-2.7e+07,-2.67e+08,3.3e+07,3.3e+07,4e+06,3.7e+07,3.09e+08,3.605e+09,4.14e+08,0.86385,0.43975,0.27856,-0.36179,0.028,2.32584,1.01483,-13.92073,0.56709,0.30118,0.29766,1.08122,-0.83249,0.70051,7,0.06327,0.09002,8.19417,9.01068
"44","2021_Q1",20.0706557377049,"Up",6.72e+08,-9.9e+07,5.73e+08,-2.88e+08,-2e+08,-6.8e+07,-2e+07,2.85e+08,2.3e+07,-3.5e+07,5.8e+07,3.08e+08,-1.9e+07,2.89e+08,-8.1e+07,2.08e+08,1.94e+08,1.94e+08,1.94e+08,9.51e+08,9.33e+08,1.8e+07,1.17e+08,1.17e+08,4.7e+08,2.37e+08,1.538e+09,7.8e+07,4.745e+09,1.116e+09,2.867e+09,7.62e+08,4.823e+09,6.361e+09,1.59e+08,5.2e+07,1.07e+08,1.664e+09,1.664e+09,2.136e+09,3.288e+09,1.437e+09,1.37e+08,1.3e+09,4.725e+09,6.861e+09,2.229e+09,-2.776e+09,4.7e+07,-5e+08,-5e+08,6.361e+09,1.94e+08,3.7e+07,-4.8e+07,1.73e+08,3.56e+08,9.9e+07,12000000.0000001,-2.33e+08,-1.2e+07,-1.58e+08,-2e+06,-2.45e+08,-1.22e+08,-1.22e+08,9e+06,-1.13e+08,3.22e+08,3.601e+09,6.75e+08,0.85268,0.42411,0.28869,-0.387999999999999,0.0305,3.47938,0.72004,-13.722,0.56611,0.33276,0.32993,1.15266,-0.85763,1.1578,6,0.05884,0.14874,8.22981,9.29825
"45","2021_Q2",23.948253968254,"Up",6.86e+08,-1.02e+08,5.84e+08,-2.9e+08,-2.01e+08,-6.8e+07,-2.1e+07,2.94e+08,-3.5e+07,-3.2e+07,-3e+06,2.59e+08,-7e+06,2.52e+08,-7.1e+07,1.81e+08,1.81e+08,1.81e+08,1.81e+08,1.245e+09,1.23e+09,1.5e+07,1.05e+08,1.05e+08,4.36e+08,1.98e+08,1.786e+09,7.1e+07,4.708e+09,1.096e+09,2.863e+09,7.49e+08,4.779e+09,6.565e+09,1.42e+08,7.6e+07,6.6e+07,1.641e+09,1.641e+09,2.221e+09,3.422e+09,1.419e+09,1.46e+08,1.273e+09,4.841e+09,7.062e+09,2.049e+09,-2.595e+09,4.9e+07,-4.97e+08,-4.97e+08,6.565e+09,1.81e+08,3.6e+07,3.8e+07,3e+06,2.58e+08,-1e+06,0,-1e+06,1.4e+08,1e+06,-1.3e+07,4.4e+07,3.01e+08,3.01e+08,-4e+06,2.97e+08,3.3e+08,3.86e+09,4.03e+08,0.85131,0.42857,0.26385,-0.36419,0.02757,2.22652,0.80414,-14.20926,0.58797,0.3073,0.30167,1.16469,-0.8438,0.68421,7,0.05542,0.08427,7.92424,8.89456
"46","2021_Q3",25.16734375,"Up",6.92e+08,-1e+08,5.92e+08,-3e+08,-2.13e+08,-6.6e+07,-2.1e+07,2.92e+08,1.46e+08,-3.1e+07,1.77e+08,4.38e+08,-5e+06,4.33e+08,-1e+08,3.33e+08,3.33e+08,3.33e+08,3.33e+08,1.541e+09,1.526e+09,1.5e+07,1.08e+08,1.08e+08,3.01e+08,2.43e+08,1.95e+09,6.7e+07,4.716e+09,1.064e+09,2.896e+09,7.56e+08,4.783e+09,6.733e+09,1.53e+08,8.1e+07,7.2e+07,1.588e+09,1.588e+09,2.814e+09,2.779e+09,1.372e+09,1.4e+08,1.232e+09,4.151e+09,6.965e+09,1.996e+09,-2.262e+09,3.4e+07,-2.32e+08,-2.32e+08,6.733e+09,3.33e+08,3.5e+07,-1.43e+08,-1.65e+08,6e+07,3.54e+08,0,3.14e+08,-1e+07,7e+06,-1e+06,-7.7e+07,2.97e+08,2.97e+08,-1e+06,2.96e+08,3.27e+08,3.852e+09,6.16e+08,0.85549,0.42197,0.48121,-1.43534,0.04946,1.84985,0.69296,-30.02155,0.57211,0.57315,0.56345,1.19105,-0.39931,1.06024,6,0.08133,0.1234,7.06728,7.91438
"47","2021_Q4",24.5834375,"Down",7.02e+08,-1.05e+08,5.97e+08,-2.83e+08,-2.02e+08,-6e+07,-2.1e+07,3.14e+08,-4.1e+07,-3.2e+07,-9e+06,2.73e+08,-1.2e+07,2.61e+08,-5.9e+07,2.02e+08,2.02e+08,2.02e+08,2.02e+08,1.781e+09,1.771e+09,1e+07,1.13e+08,1.13e+08,2.63e+08,2.05e+08,2.157e+09,6.3e+07,4.653e+09,1.054e+09,2.876e+09,7.23e+08,4.716e+09,6.873e+09,1.63e+08,8.3e+07,8e+07,1.634e+09,1.634e+09,2.883e+09,2.757e+09,1.331e+09,1.37e+08,1.194e+09,4.088e+09,6.971e+09,1.94e+09,-2.06e+09,2.2e+07,-9.8e+07,-9.8e+07,6.873e+09,2.02e+08,3.7e+07,2e+06,8.9e+07,3.3e+08,-2e+06,4e+06,3e+06,-9e+06,0,-1e+06,-8.3e+07,2.5e+08,2.5e+08,-5e+06,2.45e+08,3.51e+08,3.843e+09,4.97e+08,0.85043,0.44729,0.28775,-2.06122,0.02939,2.4604,0.74818,-71.13265,0.55914,0.34708,0.34179,1.20619,-0.16838,0.85395,7,0.05418,0.09791,5.87464,6.56688
"48","2022_Q1",26.8448387096774,"Up",7.16e+08,-1.01e+08,6.15e+08,-4.79e+08,-3.98e+08,-5.9e+07,-2.2e+07,1.36e+08,-33000000.0000001,-3.1e+07,-2e+06,1.03e+08,-7e+06,9.6e+07,2.4e+07,1.2e+08,1.2e+08,1.2e+08,1.2e+08,1.891e+09,1.887e+09,4e+06,1.2e+08,1.2e+08,2.49e+08,1.93e+08,2.26e+09,6e+07,4.623e+09,1.023e+09,2.873e+09,7.27e+08,4.683e+09,6.943e+09,1.44e+08,6.3e+07,8.1e+07,1.921e+09,1.921e+09,3.065e+09,2.736e+09,1.235e+09,7.5e+07,1.16e+09,3.971e+09,7.036e+09,1.851e+09,-1.94e+09,-4e+06,-9.3e+07,-9.3e+07,6.943e+09,1.2e+08,3.2e+07,-4.6e+07,2.2e+08,3.26e+08,-2000000.00000006,1.2e+07,10000000.0000001,-1.5e+08,6000000.00000001,-9.31322574615479e-10,-2.17e+08,1.19e+08,1.19e+08,-3e+06,1.16e+08,1.68e+08,3.736e+09,3.62e+08,0.85894,0.18994,0.1676,-1.29032,0.01728,3.01667,0.73736,-75.65591,0.5381,0.19608,0.19139,1.16993,-0.15196,0.5915,7,0.03957,0.07421,10.98214,13.56618
"49","2022_Q2",24.0891935483871,"Down",7.07e+08,-1.02e+08,6.05e+08,-3.42e+08,-2.6e+08,-6.1e+07,-2.1e+07,2.63e+08,-3.2e+07,-3.1e+07,-1e+06,2.31e+08,-2e+06,2.29e+08,-2.9e+07,2e+08,2e+08,2e+08,2e+08,1.291e+09,1.291e+09,1733153.14669806,1.02e+08,1.02e+08,2.36e+08,1.8e+08,1.629e+09,5.6e+07,4.562e+09,9.93e+08,2.861e+09,7.08e+08,4.618e+09,6.247e+09,1.19e+08,7.1e+07,4.8e+07,1.891e+09,1.891e+09,2.624e+09,2.714e+09,1.208e+09,6.3e+07,1.145e+09,3.922e+09,6.546e+09,1.479e+09,-1.734e+09,-4.4e+07,-2.99e+08,-2.99e+08,6.247e+09,2e+08,2.9e+07,-3e+07,1.6e+07,2.15e+08,-2e+06,6e+06,4e+06,-4.1e+08,-3e+08,-1.6e+07,-8.07e+08,-5.88e+08,-5.88e+08,-8e+06,-5.96e+08,2.92e+08,3.328e+09,3.35e+08,0.85573,0.37199,0.28289,-0.6689,0.03202,1.675,0.62081,-21.89298,0.53274,0.34602,0.33113,1.22318,-0.5173,0.57958,7,0.06632,0.07907,6.97603,7.74525
"50","2022_Q3",22.79390625,"Down",7.48e+08,-1.19e+08,6.29e+08,-3.79e+08,-2.77e+08,-7.3e+07,-2.9e+07,2.5e+08,-4.6e+07,-4.8e+07,2e+06,2.04e+08,-9e+06,1.95e+08,-1.26e+08,6.9e+07,6.9e+07,6.9e+07,6.9e+07,1.095e+09,1.095e+09,7199459.44009419,1.52e+08,1.52e+08,3.75e+08,3.45e+08,1.622e+09,1.08e+08,1.4152e+10,3.332e+09,1.0126e+10,6.94e+08,1.426e+10,1.5882e+10,1.77e+08,6.6e+07,1.11e+08,2.473e+09,2.473e+09,2.825e+09,9.883e+09,1.476e+09,3.92e+08,1.084e+09,1.1359e+10,1.4184e+10,3.378e+09,-1.665e+09,-1.5e+07,1.698e+09,1.698e+09,1.5882e+10,6.9e+07,4.9e+07,2e+06,-2.08e+08,-8.8e+07,-2e+06,2e+06,-6.55e+09,6.626e+09,-9.8e+07,0,6.456e+09,-1.82e+08,-1.82e+08,-1.4e+07,-1.96e+08,2.99e+08,1.0058e+10,2.15e+08,0.84091,0.33422,0.09225,0.04064,0.00434,3.11594,0.57416,8.35336,0.6333,0.11695,0.11597,1.2678,2.87797,0.36441,1,0.01066,0.01625,29.97659,35.852
