"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",6.11746031746032,"Down",57954806,-41485166,16469640,-5729786,-5729786,10739854,-73633,-35303,-38330,10666221,10666221,-1654416,9011805,9011805,9011805,9011805,153154657,153154657,136794689,136794689,85975555,22537537,3791349,18746188,398462438,29028781,42144215,19163847,15105947,71172996,469635434,63466809,22463673,40488804,4368000,9018297,9017964,76853106,84063634,160956179,244201627,-19586007,385571799,385571799,469635433,9011805,9011805,1226500,5863,-1725328,8518840,-31273,0,-31273,-191056,-191056,8296511,8296511,-5947491,2349020,11966354,11578528,11864169,0.28418,0.18531,0.1555,0.02337,0.01919,1.31651,5.18473,0.21802,0.02465,2.78132,2.78132,17.88665,118.9994,3.66165,0.02269,0.02987,-11.83118,-13.18231
"34","2019_Q3",4.6515625,"Down",52254463,-40010238,12244225,-7969472,-7969472,4274753,-241373,-53620,-187753,4033380,4033380,-1527645,2505735,2505735.00000001,2505735.00000001,2505735.00000001,117546683,117546683,120505844,120505844,115013591,43951612,3173718,40777894,397017730,28227394,41153414,18710644,14579165,69380808,466398538,56252862,13312634,42357901,4362000,10504966,10502718,71119828,78422571,161146260,246887783,-20058076,387975967,387975967,466398538,2505735,2505735,1207689,512216.000000001,-40187542,-35961902,-25922,16128,-9794,410777.999999999,410778,-35560918,-35560918,-47057,-35607975,5482442,11664743,-33203377,0.23432,0.08181,0.04795,0.00646,0.00537,-13.25095,5.58238,0.20213,0.02501,0.748339999999998,0.748340000000002,15.60577,115.86887,-9.91618,0.00627,-0.08308,-19.31292,-24.76914
"35","2019_Q4",3.5475,"Down",108120570,-86963595,21156975,-13707663,-13707663,7449312,-191803,-90453,-101350,7257509,7257509,-2139610,5117899,5117899,5117899,5117899,69242037,69242037,154557359,154557359,132579212,55943227,4887732,51055495,412321835,28120511,41233855,18736458,14439095,69354366,481676201,54498380,9436035,44395197,12058201,11461702,11460012,78018283,78018283,160942449,252209492,-9494023,403657918,403657918,481676201,5117899,5117899,1237638,103221,-56979962,-50521204,-1901,88,-1813,-1028,-1028,-50524045,-50524045,2219400,-48304645,8686950,12058201,-46155303,0.19568,0.0689,0.04734,0.01268,0.01063,-9.01841,5.28494,0.19328,0.02503,1.59994,1.59994,33.8002,126.18983,-14.42888,0.01231,-0.11103,-6.58273,-7.67639
"36","2020_Q1",2.88387096774194,"Down",75990964,-61219124,14771840,-18431011,-18431011,-3659171,-210204,-94104,-116100,-3869375,-3869375,-1175669,-5045044,-5045044,-5045044,-5045044,72259804,72259804,145190160,145190160,194727706,2776370,2776370,42311703.3001183,414954040,26669938,39376422,17881449,13620552,66046360,481000400,63112680,19004548,43387412,3640000,10174726,10156564,76927406,84444713,138016432,247122574,11416680,396555686,396555686,481000399,-5045044,-5045044,1248952,9785732,563778,6553418,-4514,-1,-4515,-1135974,7543256,14092159,14092159,-11074394,3017765,-2410219,11157307,-675286,0.19439,-0.04815,-0.06639,-0.01272,-0.01049,0.133850000000001,5.3941,0.21295,0.0232,-1.33935,-1.33935,20.17399,105.2771,-0.179270000000001,-0.01237,-0.00166,25.35143,16.69845
"37","2020_Q2",2.68015873015873,"Down",50821571,-37662324,13159247,-19972147,-19972147,-6812900,-53769,-23578,-30191,-6866669,-6866669,-449131,-7315800,-7315800,-7315800,-7315800,82953941,82953941,138984949,138984949,146848526,32521806,3305910,29215896,401309222,24830646,36958553,16758281,12639530,61789199,463098421,59664143,17349392,41616450,11012958,9966917,9964297,80644018,80644018,179905226,239737872,-37188696,382454402,382454402,463098420,-7315799,-7315799,1188190,13983142,-4775899,3079634,-11401,-7195,-18596,279600,10731600,13792638,13792638,-3098502,10694136,-5624710,11012958,-9962879,0.25893,-0.13406,-0.14395,-0.01913,-0.0158,1.36183,4.9763,0.21086,0.02378,-1.62411,-1.62411,11.28237,84.90477,-2.21176,-0.01859,-0.02532,12.79017,10.55952
"38","2020_Q3",2.7134375,"Up",49565009,-40744524,8820485,-36618503,-36618503,-27798018,-107497,-34234,-73263,-27905515,-27905515,824635,-27080880,-27080880,-27080880,-27080880,78706500,78706500,156080809,156080809,114448765,34054708,2961071,31093637,383290782,24771055,37050699,16792061,12492382,61821754,445112536,57146697,15217368,41192661,5732970,11553363,11553363,74433030,74433030,184264947,213272271,-26857714,370679504,370679504,445112534,-27080880,-27080880,1182028,-13925327,34670214,-5153965,-39132,7195,-31937,7600,207600,-4978302,-4978302,730862,-4247440,-26615990,5732970,7190457,0.17796,-0.56084,-0.54637,-0.07306,-0.06084,-0.26552,5.14947,0.2008,0.01288,-4.9463,-4.9463,9.053,67.70427,1.31333,-0.07194,0.0191,2.74172,2.62513
"39","2020_Q4",2.605,"Down",85826689,-73209255,12617434,-61081805,-61081805,-48464371,-40921,-22363,-18558,-48505292,-48505292,-1717017,-50222309,-50222309,-50222309,-50222309,41311137,41311137,166452189,166452189,62234682,66298851,3363721,62935130,336296859,23595885,35381976,16103409,11647517,58977861,395274720,63949651,20310699,42915109,3809700,11923140,11923140,79682491,79682491,185702275,163500883,-33610930,315592228,315592228,395274719,-50222310,-50222310,1172886,76346244,-63899373,-36602553,-15677,37293.0985926852,-15677,-5000,195000,-36423230,-36423230,-972132,-37395362,-47291485,3809700,-109489518,0.14701,-0.56468,-0.58516,-0.15914,-0.12706,2.1801,4.22046,0.25249,0.00964,-8.1865,-8.1865,13.9902,51.4432,-17.84737,-0.15724,-0.3428,0.79298,0.77379
"40","2021_Q1",5.25459016393443,"Up",43214843,-35757443,7457400,-62304191,-62304191,-54846791,-32631,-47327,14696,-54879422,-54879422,-762474,-55641896,-52133148,-52133148,-52133148,11838593,11838593,99052071,99052071,98408639,75899678,3408747,65002789,285198981,22913555,34015648,15639051,12770343,56929203,342128184,59394230,17274034,41394301,3537500,16390531,16390531,79322261,79322261,155461682,111864338,-4520098,262805922,262805922,342128183,-52133147,-52133147,1155378,82271530,-58813361,-27519600,-31273,45856.6260664861,-31273,-1382935,-1382935,-28933808,-28933808,-442552,-29376360,-53691413,3537500,-111773573,0.17257,-1.26917,-1.20637,-0.19837,-0.15238,2.144,3.59545,0.30183,0.01034,-8.19074,-8.19074,6.78956,41.28993,-17.56095,-0.19574,-0.41966,0.15461,0.15135
"41","2021_Q2",11.8231746031746,"Up",42140710,-34266517,7874193,-35961940,-35961940,-28087747,-39542,-34409,-5133,-28127289,-28127289,-1569003,-29696292,-30952914,-30952914,-30952914,12831922,12831922,109201762,109201762,146038174,4199998,4039103,160895.000000007,272271856,23124076,34694439,16196501,11169140,57818515,330090371,67318132,19534919,47028077,3974400,13476985,13476985,84769517,84769517,155461682,80745930,9113241,245320853,245320853,330090370,-30952914,-30952914,920432,30474148,-2095178,-1653512,-21112,-8854.99999999999,-29967,294400,294400,-1389079,-1389079,2286224,897145,-27167315,3974400,-27714602,0.18685,-0.66652,-0.73451,-0.12617,-0.09377,0.89538,3.21191,0.34555,0.01204,-4.87438,-4.87438,6.6362,38.63242,-4.36442,-0.12416,-0.11117,0.32604,0.31535
"42","2021_Q3",9.33015625,"Down",38863338,-32147754,6715584,-45498189,-45498189,-38782605,-98659,-46325,-52334,-38881264,-38881264,-1382137,-40263401,-40036662,-40036662,-40036662,9826386,9826386,102412975,102412975,90830515,38692931,4104630,34588301,241762807,23330179,35479808,16653569,11208671,58809987,300572794,66003642,17527362,47691390,4131000,13226271,13226271,83360913,83360913,155461682,41373386,20376813,217211881,217211881,300572794,-40036663,-40036663,947039,38794903,-4288978,-4583699,-71689,-110634,-182323,11600,11600,-4754422,-4754422,1748884,-3005538,-37835566,4131000,-40814096,0.1728,-0.99792,-1.03019,-0.18432,-0.1332,1.01942,2.90019,0.38378,0.01374,-6.30486,-6.30486,6.12009,34.2059,-6.42729,-0.18088,-0.18439,0.15053,0.14685
"43","2021_Q4",10.55453125,"Up",13860254,-3914442,9945812,-25531439,-25531439,-15585627,-38908,-39391,483,-15624535,-15624535,490617,-15133918,-14814790,-14814790,-14814790,5075588,5075588,125733691,125733691,64017955,38075913,4562443,33513470,232903147,22647933,34779214,16429712,10751849,57427147,290330294,72161230,22234276,49144116,4120200,11710986,11710986,87992416,87992416,184269926,26995719,-8927768,202337877,202337877,290330293,-14814788,-14814788,983031,22499953,-13015522,-4347326,-170910,-86190,-257100,-800,49200,-4555226,-4555226,-195571,-4750797,-14602596,4120200,-28279645,0.71758,-1.12448,-1.06887,-0.07322,-0.05103,1.90888,2.64685,0.43488,0.01419,-2.33299,-2.33299,2.18267,31.86359,-4.4534,-0.07176,-0.13698,0.06543,0.0613
"44","2022_Q1",9.03306451612903,"Down",86418451,-79089961,7328490,-47164529,-47164529,-39836039,454870,-40235,495105,-39381169,-39381169,-519029,-39900198,-33943251,-33943251,-33943251,18340378,18340378,67422866,67422866,57634145,74316799,7616115,23649966,217714188,22082354,26932196,15734438,10385883,49014550,266728738,42773408,2132530,39846754,4179600,32264877,11066845,79217885,79217885,170231683,-5812533,23091704,187510854,187510854,266728739,-33943252,116710371.551332,963629,26370052,4314590,-2294981,-5089,-1701,-6790.00000000006,-3100,13946900,11645129,11645129,1873226,13518355,-38872410,4179600,-34043880,0.0848,-0.46097,-0.39278,-0.18102,-0.12726,1.00296,2.7483,0.42247,0.01567,-4.06967,-4.06967,10.36125,22.48186,-4.08174,-0.17707,-0.1776,0.36429,0.35548
"45","2022_Q2",7.98887096774193,"Down",32838888,-26339040,6499848,-19745293,-19745293,-13245445,-29537,-26764,-2773,-13274982,-13274982,-70464,-13345446,-15077208,-15077208,-15077208,22022563,22022563,99143737,99143737,52463033,29474759,6109382,23365377,203104092,21654369,26155003,16303367,9851636,47809372,250913464,60771326,13580483,46395180,4187700,13064218,13064218,78023244,78023244,170231683,-20524043,23182580,172890220,172890220,250913464,-15077208,419108421.653995,812559,16677155,-897550,1514956,-69792,32277,1793168,-553206.533508328,55695997.252002,3308124,3308124,120495,3428619,-12432886,4187700,-13329764,0.19793,-0.40335,-0.45913,-0.08721,-0.06009,0.8841,2.60312,0.45129,0.01669,-2.20178,-2.20178,4.79559,25.24781,-1.9466,-0.08514,-0.07528,1.43449,1.34649
"46","2022_Q3",5.72296875,"Down",44427149,-36859202,7567947,-35749175,-35749175,-28181228,426850,-35154,462004,-27754378,-27754378,-558540,-28312918,-31982935,-31982935,-31982935,23607170,23607170,74786136,74786136,38766953,34003433,6917487,27085946,171163692,21196299,25646064,16184054,9462010,46842363,218006055,57916291,6402013,50707329,4247100,11672768,11672768,73836159,73836159,170231683,-52124706,26062920,144169897,144169897,218006056,-31982936,956948968.30799,818460,19602187,13529546,1967257,-14024,194,-1844513,-1911419.60052498,138836191.756006,122744.000000002,122744.000000002,1461863,1584607,-27362768,4247100,-13288706,0.17035,-0.63432,-0.7199,-0.22184,-0.14671,0.41549,2.31816,0.51215,0.01948,-5.03658,-5.03658,6.99626,22.70346,-2.09267,-0.21549,-0.08954,0.70753,0.68698
