"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q4",2.08296875,"Down",18018000,-17673000,-2379000,-9859000,345000,-181000,-222000,41000,164000,164000,-38000,126000,126000,144000,144000,1942000,1942000,10995000,10995000,1645000,766000,879000,15435000,48219000,7405000,8000,7397000,55624000,71059000,12018000,10530000,1382000,1560000,4841000,3854000,987000,18419000,14148000,15225000,33644000,59184000,-21716000,37468000,37415000,71059000,126000,630000,22000,-67000,711000,-2732000,-2822000,-1839000,-1839000,-1839000,975000,15708000,-1786000,0.01915,0.00799,0.00385,0.00203,-12.40278,0.83799,0.89921,0.22106,0.03715,0.03716,4.64826,9.66594,-0.46075,0.00266,-0.03295,14.11897,39.90145
"38","2020_Q1",1.73612903225806,"Down",17306000,-14075000,-2440000,-11092000,-263000,-165000,-237000,72000,-428000,-428000,-25000,-453000,-453000,-440000,-440000,1446000,1446000,12009000,12009000,1342000,725000,617000,15610000,54856000,8698000,8000,8690000,63554000,79164000,13207000,11719000,1395000,1823000,3992000,3153000,839000,19022000,22125000,23178000,42200000,59186000,-22156000,37030000,36964000,79164000,-453000,674000,14000,-185000,50000,-1470000,-1470000,6689000,6689000,6689000,411000,23948000,-1219000,-0.0152,-0.02542,-0.0119,-0.00556,2.77045,0.82063,1.14165,0.30251,-0.11359,-0.11355,4.46756,9.55932,-0.31469,-0.0071,-0.01967,54.74939,-85.55894
"39","2020_Q2",1.44571428571429,"Down",14403000,-14432000,-2232000,-9568000,-557000,-229000,-307000,78000,-786000,-786000,-44000,-830000,-830000,-813000,-813000,1448000,1448000,10977000,10977000,1688000,860000,828000,15162000,49740000,12774000,8000,12766000,62514000,77676000,11919000,10407000,1440000,1798000,4914000,4018000,896000,18631000,22234000,22910000,41541000,59187000,-22969000,36218000,36135000,77676000,-830000,699000,19000,-288000,-4e+05,-977000,-977000,-1660000,-1660000,-1660000,142000,24032000,-1079000,-0.03867,-0.05645,-0.0225,-0.01047,1.32718,0.8138,1.14961,0.30939,-0.20981,-0.20981,3.7169,9.34658,-0.27845,-0.01336,-0.01773,159.04225,-40.54578
"40","2020_Q3",1.6478125,"Up",13067000,-12725000,-1927000,-7923000,-222000,-201000,-304000,103000,-423000,-423000,-24000,-447000,-447000,-435000,-435000,5529000,5529000,7809000,7809000,1683000,559000,1124000,16093000,50341000,12532000,8000,12524000,62873000,78966000,10006000,8661000,1304000,3027000,5695000,4776000,919000,18728000,23476000,24548000,43276000,59189000,-23404000,35785000,35690000,78966000,-447000,712000,22000,2133000,2420000,-1339000,-1339000,3492000,3492000,3492000,490000,26503000,1308000,-0.01699,-0.03329,-0.01219,-0.00551,-3.0069,0.8593,1.21255,0.33563,-0.11226,-0.11226,3.37213,9.23484,0.33755,-0.00688,0.02067,42.80408,-94.47748
"41","2020_Q4",2.0625,"Up",16625000,-14514000,-2110000,15339000,1019000,-219000,-302000,83000,8e+05,8e+05,-27000,773000,773000,781000,781000,4667000,4667000,8679000,8679000,1691000,810000,881000,16071000,50473000,11483000,8000,11475000,61956000,78027000,9458000,8094000,1318000,3498000,5166000,4041000,1125000,18122000,22594000,23441000,41563000,59190000,-22623000,36567000,36464000,78027000,773000,741000,20000,-1767000,-233000,-891000,-891000,-1550000,-1550000,-1550000,1760000,26092000,-871000,0.06129,0.04698,0.02142,0.01001,-1.11524,0.88682,1.13984,0.3344,0.20148,0.20155,4.28889,9.4335,-0.2247,0.01232,-0.01374,12.1733,21.02552
"42","2021_Q1",3.50540983606557,"Up",14625000,-14115000,-2403000,-756999.999999996,-116000,-224000,-297000,73000,-340000,461000,-3000,458000,458000,481000,481000,4210000,4210000,8744000,8744000,1395000,730000,665000,15259000,57034000,5657000,8000,5649000,62691000,77950000,10410000,9097000,1270000,2456000,4317000,3196000,1121000,17183000,22501000,23800000,40983000,59235000,-22142000,37093000,36967000,77950000,458000,757000,-812000,381000.000000001,784000,-1304000,-1304000,-818000,-818000,-818000,641000,24957000,-279000,-0.00793000000000001,0.03289,0.01301,0.00617,-0.58004,0.88803,1.10864,0.32017,0.12408,0.12375,3.77275,9.56873,-0.07197,0.00761,-0.00441,32.36661,-178.85345
"43","2021_Q2",4.04111111111111,"Up",15113000,-14666000,-2280000,-764000,-146000,-210000,-297000,87000,-356000,731000,-43000,688000,688000,716000,716000,4038000,4038000,10688000,10688000,1644000,893000,751000,17508000,57130000,5138000,8000,5130000,62268000,79776000,12035000,10444000,1524000,2330000,5194000,4122000,1072000,19559000,21267000,22561000,42120000,59236000,-21426000,37810000,37656000,79776000,688000,764000,-1083000,-106000,263000,-665000,-665000,-689000,-689000,-689000,618000,23597000,-110000,-0.00966,0.04738,0.01901,0.00898,-0.15363,0.89514,1.11855,0.29579,0.18362,0.1815,3.87569,9.69629,-0.02821,0.01145,-0.00176,31.64887,-133.96575
"44","2021_Q3",4.38015625,"Up",16390000,-15015000,-2536000,-767000,27000.0000000001,-165000,-291000,126000,-138000,739000,-15000,724000,724000,742000,742000,4451000,4451000,9038000,9038000,1919000,766000,1153000,16642000,57590000,4488000,8000,4480000,62078000,78720000,10340000,8581000,1700000,1920000,6494000,5376000,1118000,18754000,20448000,21584000,40338000,59238000,-20684000,38554000,38382000,78720000,724000,767000,-860000,804000,1435000,-1152000,-1152000,-99000.0000000002,-99000.0000000002,-99000.0000000002,794000,22368000,461000,0.00165,0.04527,0.01933,0.00943,0.62129,0.88738,1.05096,0.28415,0.19028,0.18809,4.20318,9.88708,0.11822,0.01199,0.00745,22.56549,663.59259
"45","2021_Q4",3.8615625,"Down",21301000,-18597000,-2743000,-777000,1047000,-205000,-290000,85000,842000,842000,-27000,815000,815000,983000,983000,4106000,4106000,9919000,9919000,1656000,751000,905000,16835000,58269000,3490000,8000,3482000,61759000,78594000,10724000,8973000,1654000,1829000,5464000,4422000,1042000,18017000,20107000,21021000,39038000,59239000,-19701000,39538000,39556000,78594000,815000,777000,46000,-1246000,392000,-1429000,-1429000,-1109000,-1109000,-1109000,1824000,21936000,-824000,0.04915,0.04615,0.02485,0.01251,-0.83825,0.9344,0.9869,0.27911,0.25209,0.24981,5.46259,10.13943,-0.21131,0.01575,-0.0132,9.77522,17.02961
"46","2022_Q1",3.44258064516129,"Down",17579000,-16796000,-2319000,-804000,-367000,-209000,-280000,71000,-576000,-576000,-3999.99999999999,-580000,-580000,-470000,-470000,3254000,3254000,9933000,9933000,1679000,996000,683000,15971000,58728000,3338000,8000,3330000,62066000,78037000,11569000,10164000,1338000,1827000,4628000,3363000,1265000,18024000,19872000,21036000,39060000,59240000,-20171000,39069000,38977000,78037000,-580000,804000,6000,42999.9999999995,273000,-1175000,-1175000,-1248000,-1248000,-1248000,437000,21699000,-691000,-0.02088,-0.02674,-0.01206,-0.00602,1.47021,0.8861,1.00213,0.27806,-0.12054,-0.11956,4.50859,10.02026,-0.17722,-0.0076,-0.01117,42.20824,-50.2588599999998
"47","2022_Q2",3.10903225806452,"Down",14309000,-14727000,-2265000,-829000,-1166000,-214000,-278000,64000,-1380000,-1380000,-20000,-1400000,-1400000,-1262000,-1262000,2430000,2430000,10737000,10737000,1984000,1180000,804000,16509000,59797000,2307000,8000,2299000,62104000,78613000,12005000,10196000,1735000,1816000,6324000,4943000,1381000,20145000,19579000,20748000,40893000,59241000,-21433000,37808000,37720000,78613000,-1400000,829000,14000,155000,-402000,-1284000,-1284000,-1844000,-1844000,-1844000,-337000,21395000,-1446000,-0.08149,-0.0882,-0.03346,-0.01605,1.1458,0.81951,1.08412,0.27216,-0.32367,-0.32104,3.66992,9.69685,-0.37086,-0.02093,-0.02399,-56.27596,-16.26501
"48","2022_Q3",2.83,"Down",19522000,-17405000,-2340000,-842000,592000,-155000,-274000,119000,437000,437000,-33000,404000,404000,484000,484000,3267000,3267000,10454000,10454000,2178000,939000,1239000,17429000,61500000,1463000,8000,1455000,62963000,80392000,13119000,10954000,2070000,1797000,7083000,5782000,1301000,21999000,19247000,20268000,42267000,59242000,-20949000,38293000,38125000,80392000,404000,842000,15000,1260000,2521000,-2020000,-2020000,161000,161000,161000,1434000,21044000,707000,0.03032,0.02479,0.0127,0.00602,1.46074,0.79226,1.10864,0.26177,0.12413,0.12341,5.00692,9.82124,0.18133,0.00804,0.01175,12.39679,30.02872
