"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",82.1171428571429,"Up",254669000,-40810000,213859000,-165884000,-154132000,-77477000,-76655000,-11752000,47975000,-12733000,-323000,35242000,35242000,-9422000,25820000,25820000,25820000,25820000,187474000,187409000,172062000,172062000,24177000,24177000,383713000,69714000,69714000,-25378546.9425429,1649125000,204920000,1138700000,166388000,132205000,1718839000,2102552000,167526000,145927000,21599000,309588000,85431000,224157000,477114000,90739000,39752000,50165000,695012000,1172126000,312943000,668550000,-51067000,930426000,930426000,2102552000,25820000,39323000,7146000,-21098000,51191000,-9802000,-5000,-3563000,-13370000,448000,762000,-314000,-2325000,25529000,63350000,63350000,109000,63459000,87298000,604273000,65820000,0.83975,0.18838,0.10139,0.02775,0.01228,2.54919,0.80424,1.25977,0.2874,0.544,0.52947,5.36561,19.60309,1.38676,0.0267,0.04049,4.77444,8.68784
"30","2017_Q3",74.8426984126984,"Down",273174000,-43159000,230015000,-171455000,-159900000,-80862000,-79038000,-11555000,58560000,-17897000,-4228000,40663000,40663000,-9287000,31376000,31376000,31376000,31376000,330808000,330743000,181528000,181528000,293124000,22354000,805460000,71173000,71173000,-7593676.88387674,1651028000,193180000,1139426000,152553000,158641000,1722201000,2527661000,148318000,135473000,12845000,88700000,88153000,547000,483670000,92055000,34764000,57234000,1088432000,1572102000,315266000,679029000,-38736000,955559000,955559000,2527661000,31376000,39902000,9682000,-20496000,60464000,-9911000,0,-32867000.0000001,-42778000.0000001,-6002000,422000,-6424000,-1050000,385994000,403680000,403680000,5467000,409147000,98462000,1243029000,77342000,0.84201,0.21437,0.11486,0.03284,0.01241,2.46501,1.66531,1.64522,0.49177,0.65989,0.641,5.74533,20.0971,1.62664,0.02161,0.03376,9.2647,15.57754
"31","2017_Q4",72.3911111111111,"Down",273615000,-42370000,231245000,-168288000,-155858000,-79433000,-76425000,-12430000,62957000,-21436000,3891000,41521000,41521000,-9163000,32358000,32358000,32358000,32358000,402544000,402544000,187482000,187482000,40187999.9999999,30663000,630214000,71333000,71333000,28418531.6167278,1603139000,176041000,1107988000,137088000,179523000,1674472000,2304686000,134617000,134617000,0,91233000,86782000,4451000,225850000,99098000,40915000,58132000,1098296000,1324146000,319186000,692387000,-31033000,980540000,980540000,2304686000,32358000,39372000,21611000,-2.6e+07,67341000,-11090000,0,22670000,11580000,-1006000,118000,-1124000,-1732000,-275957000,-197036000,-197036000,3024000,-194012000,102329000,999198000,74402000,0.84515,0.23009,0.11826,0.033,0.01404,2.29934,2.79041,1.35043,0.43355,0.67965,0.66689,5.74703,20.59533,1.56274,0.02453,0.03579,5.83074,9.47717
"32","2018_Q1",75.5708196721312,"Up",316380000,-45974000,270406000,-194190000,-183923000,-92524000,-91399000,-10267000,76216000,6324000,22695000,82540000,82540000,-32669000,49871000,49871000,49871000,49871000,350945000,350945000,234195000,234195000,35287000,35287000,620427000,79773000,79773000,57722000,1695171000,193606000,1196611000,157327000,147627000,1832666000,2453093000,169837000,169837000,0,95265000,95255000,10000,265102000,165742000,82045000,83650000,1167686000,1432788000,326333000,723062000,-29090000,1020305000,1020305000,2453093000,49871000,43444000,-29442000,21550000,85423000,-11032000,1000,-102891000,-113922000,-1923000,65000,-1988000,-2584000,-23743000,-52242000,-52242000,643000,-51599000,119660000,1001944000,162847000,0.85469,0.2409,0.15763,0.04888,0.02033,3.26536,2.34033,1.40427,0.40844,1.04497,1.02953,6.62926,21.37893,3.41221,0.03153,0.07443,5.44041,8.5415
"33","2018_Q2",82.28546875,"Up",280623000,-48145000,232478000,-186320000,-174110000,-86311000,-87799000,-12210000,46158000,-20270000,-4519000,25888000,25888000,-7017000,18871000,18871000,18871000,18871000,331367000,331367000,174411000,174411000,31990000,31588000,537768000,85852000,85852000,64947000,1763651000,202973000,1257521000,154287000,148870000,1914450000,2452218000,127713000,127713000,1877545.93927097,114231000,113940000,291000,241944000,174310000,77472000,88820000,1179106000,1421050000,332886000,723562000,-25280000,1031168000,1031168000,2452218000,18871000,42618000,21538000,20883000,103910000,-13340000,-13403000,-80223000,-106966000,47000,658000,-611000,-243000,-20080000,-23136000,-23136000,3960000,-19176000,88776000,1004796000,103336000,0.82844,0.16448,0.06725,0.0183,0.0077,5.47592,2.2227,1.3781,0.40975,0.39419,0.38744,5.86182,21.53965,2.15854,0.01753,0.04675,7.58571,14.58965
"34","2018_Q3",82.5836507936508,"Up",287889000,-47749000,240140000,-185757000,-174505000,-83171000,-91334000,-11252000,54383000,-15896000,-393000.000000004,38487000,38487000,-7038000,28478000,28478000,28478000,28478000,357365000,357365000,179716000,179716000,36408000,36006000,573489000,91081000,91081000,70215000,1745874000,190412000,1260814000,148331000,146317000,1907170000,2480659000,147053000,143246000,3807000,116869000,116580000,289000,263922000,178434000,72819000,98629000,1186128000,1450050000,338889000,730725000,-39005000,1030609000,1030609000,2480659000,28478000,43857000,24394000,5654000,102383000,-15401000,-8781000,-22979000,-47161000,-1928000,817000,-2745000,-1203000,-23144000,32078000,32078000,-6080000,25998000,98240000,1007694000,95531000,0.83414,0.1889,0.09892,0.02763,0.01148,3.35455,2.17295,1.40698,0.40622,0.59389,0.5786,6.00378,21.49282,1.99225,0.02187,0.0431,6.6198,11.95831
"35","2018_Q4",71.5939682539683,"Down",292724000,-49218000,243506000,-186451000,-174501000,-80708000,-93793000,-11950000,57055000,-16412000,-1238000,40643000,40643000,-9310000,30723000,30723000,30723000,30723000,303524000,303524000,176758000,176758000,33864000,33864000,514146000,98016000,98016000,82517000,1822484000,206955000,1314301000,145217000,156011000,2003017000,2517163000,167105000,158919000,8186000,127346000,126931000,415000.000000002,294451000,167324000,74698000,87080000,1177890000,1472341000,346150000,740433000,-41761000,1044822000,1044822000,2517163000,30723000,46375000,21525000,-10800000,87823000,-16370000,-12874000,-88365000,-117609000,-732000,79000,-811000,-2442000,-23931000,-53717000,-53717000,-526000,-54243000,103430000,1010566000,85570000,0.83186,0.19491,0.10496,0.02941,0.01221,2.78521,1.74612,1.40918,0.40147,0.63993,0.62345,6.09715,21.76261,1.78234,0.02316,0.0385,6.83595,12.39229
"36","2019_Q1",78.754262295082,"Up",346059000,-55962000,290097000,-203413000,-190455000,-88114000,-102341000,-12958000,86684000,-14042000,1517000,72642000,72569000,-21395000,50615000,50615000,50615000,50615000,209474000,209474000,221615000,221615000,29242000,29242000,460331000,98813000,98813000,83828000,1917858000,191208000,1380376000,185026000,161248000,2100499000,2560830000,179436000,166521000,12915000,187530000,127568000,59962000,366966000,144991000,80723000,51068000,1158120000,1525086000,354691000,769575000,-45979000,1035744000,1035744000,2560830000,50615000,54324000,43859000,-41589000,107209000,-11937000,34558000,-120863000,-134877000,-40865000,2070000,-42935000,780000,-64207000,-91875000,-91875000,-2175000,-94050000,141008000,1013129000,108877000,0.83829,0.25049,0.14626,0.04887,0.01977,2.15108,1.25442,1.47245,0.39563,1.05517,1.04346,7.21427,21.59208,2.26975,0.03306,0.04963,5.69936,9.27109
"37","2019_Q2",86.6684126984127,"Up",299893000,-51013000,248880000,-198018000,-185034000,-86880000,-98154000,-12984000,50862000,-18234000,-2215000,32628000,32628000,295000,32449000,32449000,32449000,32449000,226612000,226612000,176741000,176741000,32208000,32208000,435561000,173924000,173924000,93731000,1939697000,194231000,1415635000,170440000,159391000,2207352000,2642913000,197605000,186964000,10641000,150918000,129964000,20954000,348523000,221769000,79778000,130152000,1237736000,1586259000,359409000,742173000,-44928000,1056654000,1056654000,2642913000,32449000,49209000,21914000,13282000,116854000,-22325000,29465879.2656824,-59339000,-81664000,4082000,5259000,-1177000,-1875000,-19276000,15914000,15914000,1224000,17138000,100071000,1015967000,90733000,0.8299,0.1696,0.1082,0.03071,0.01228,2.79617,1.24973,1.50121,0.38441,0.68226,0.66892,6.30547,22.21693,1.90773,0.02351,0.03955,7.88795,15.51954
"38","2019_Q3",87.13,"Up",322432000,-60266000,262166000,-205552000,-193614000,-88446000,-105168000,-11938000,56614000,-16958000,377000,39656000,39656000,-11148000,32589000,32589000,32589000,32589000,155476000,155476000,174142000,174142000,35717000,35717000,365335000,177619000,177619000,104002000,2162976000,233414000,1589704000,182753000,157105000,2444597000,2809932000,214467000,204692000,9775000,173246000,147915000,25331000,387713000,230683000,93225000,121950000,1350121000,1737834000,366165000,752040000,-46107000,1072098000,1072098000,2809932000,32589000,57003000,18371000,-12606000,95357000,-23134000,0,-206661000,-229795000,-620000,2010000,-2630000,-13281000,64075000,-70363000,-70363000,-773000,-71136000,113617000,1119438000,89025000,0.81309,0.17558,0.10107,0.0304,0.0116,2.73175,0.94228,1.62097,0.39839,0.6828,0.66368,6.75551,22.46233,1.86523,0.02255,0.03675,8.48431,17.02692
"39","2019_Q4",95.0584375,"Up",344141000,-61716000,282425000,-223066000,-209296000,-98486000,-110810000,-13770000,59359000,-18090000,-819000,41269000,41224000,-6998000,30745000,30745000,30745000,30745000,92185000,92185000,203869000,203869000,48857000,48857000,344911000,207630000,207630000,96788000,2243971000,257260000,1626266000,205713000,154732000,2548389000,2893300000,228510000,226366000,2144000,181543000,155162000,26381000,410053000,248364000,95171000,141386000,1398879000,1808932000,370449000,768192000,-54273000,1084368000,1084368000,2893300000,30745000,64197000,21600000,-19446000,97096000,-4070000,0,-145349000,-161469000,-16755000,0,-16755000,-3633000,2053000,-62320000,-62320000,-971000,-63291000,123556000,1150515000,107038000,0.82067,0.17248,0.08934,0.02835,0.01063,3.48148,0.84114,1.66819,0.39765,0.64491,0.62662,7.2187,22.74571,2.24523,0.01257,0.0431,8.56559,17.82931
"40","2020_Q1",89.8087096774194,"Down",83998000,-14337000,69661000,-148273000,-142314000,-53849000,-88465000,-5959000,-78612000,24091000,351999.999999999,-54521000,-58687000,4091000,-54890000,123023000,123023000,123023000,575615000,575615000,261928000,261928000,49347000,49347000,886890000,127817000,127817000,100079000,2391060000,238502000,1633033000,180022000,279527000,2618956000,3505846000,255817000,238059000,17758000,191755000,162855000,28900000,833104000,298621000,119128000,166749000,1361550000,2194654000,466128000,891526000,-46462000,1311192000,1311192000,3505846000,123023000,61623000,-42195000,-39219000,103232000,-21105000,993186.462813193,-3994000,-32345000,2276000.00000001,2517000,-241000,-14481000,409843000,480730000,480730000,2700000,483430000,-16989000,1448461000,-81404000,0.82932,-0.93588,1.46459,0.09383,0.03509,-0.6617,1.06456,1.67379,0.41316,2.58307,2.48908,1.76368,27.53066,-1.70921,0.04021,-0.02662,-51.37713,-11.10322
"41","2020_Q2",75.1571428571429,"Down",332393000,-59131000,273262000,-218015000,-202609000,-99438000,-103171000,-15406000,55247000,-27847000,-6876000,27400000,6568000,-8703000,-6404000,-6404000,-6404000,-6404000,526554000,526554000,204783000,204783000,50758000,50758000,782095000,136439000,136439000,98020000,2352339000,226637000,1637193000,165581000,264355000,2586798000,3368893000,179388000,162656000,16732000,189293000,160924000,28369000,368681000,303685000,116932000,174528000,1759131000,2127812000,462901000,832648000,-54468000,1241081000,1241081000,3368893000,-6404000,53980000,52520000,1940000,102036000,-26678000,-842999.999999998,-18701000,-69062000,-62014000,952000,-62966000,-16342000,-78356000,-45382000,-45382000,-3679000,-49061000,109227000,1455446000,93192000,0.82211,0.16621,-0.01927,-0.00516,-0.0019,-14.55215,2.12133,1.71448,0.43203,-0.13448,-0.13448,6.98,26.06176,1.95696,-0.00212999999999999,0.03106,8.50423000000001,16.81344
"42","2020_Q3",65.16328125,"Down",330984000,-56802000,274182000,-201142000,-187536000,-92805000,-94731000,-13606000,73040000,-13137000,9059000,59903000,59900000,-15978000,38101000,38101000,38101000,38101000,616820000,616820000,188383000,188383000,47942000,45767000,853145000,254525000,254525000,94042000,2217733000,206478000,1637287000,153417000,163604000,2566300000,3419445000,190691000,166289000,24402000,190398000,159907000,30491000,772181000,312732000,123421000,177810000,1384096000,2156277000,467736000,850232000,-54800000,1263168000,1263168000,3419445000,38101000,50088000,27544000,23858000,139591000,-23475000,0,-648000,-27806000,-22200000,3303000,-25503000,-986000,-23186000,88599000,88599000,1667000,90266000.0000001,123128000,1462456000,139489000,0.82838,0.22068,0.11511,0.03016,0.01114,3.66103,1.10485,1.70704,0.42769,0.81324,0.77856,7.06462,26.96142,2.97729,0.01254,0.04591,6.86794,11.57771
"43","2020_Q4",83.24421875,"Up",356976000,-55822000,301154000,-223716000,-209455000,-95074000,-114381000,-14261000,77438000,-8482000,14230000,68956000,85922000,-24330000,60883000,60883000,60883000,60883000,567930000,567930000,192800000,192800000,46594000,46594000,807324000,147268000,147268000,96575000,2291826000,190689000,1661546000,142018000,240083000,2535669000,3342993000,190553000,177820000,12733000,184380000,155806000,28574000,768913000,322672000,127031000,184409000,1397743000,2166656000,452189000,782142000,-57994000,1176337000,1176337000,3342993000,60883000,59612000,1108000,-7221000,114382000,-23508000,0,16546000,-10418000,-150436000,0,-150436000,-3099000,-153935000,-49971000,-49971000,2012000,-47959000,137050000,1469051000,130651000,0.84363,0.21693,0.17055,0.05176,0.01821,2.14594,1.04995,1.84187,0.43944,1.31575,1.31491,7.71464,25.42193,2.82351,0.02051,0.04402,6.57513000000003,11.63668
"44","2021_Q1",108.266229508197,"Up",138476000,-6647999.99999999,131828000,-199213000,-185338000,-79042000,-106296000,-13875000,-67385000,-6657000,-16348000,-74042000,-74042000,10661000,-63920000,58088000,58088000,58088000,177105000,176442000,309549000,309549000,136189000,52160000,622843000,131524000,131524000,97495000,2813469000,363515000,1.525e+09,174792000,737967000,3042488000,3665331000,228302000,197855000,30447000,257452000,166132000,91320000,882555000,389538000,168983000,206354000,1571758000,2454313000,456717000,809107000,-54806000,1211018000,1211018000,3665331000,58088000,65057000,38525000,-37600000,124070000,-21502000,-403000,-455071000,-478934000,-32002999.9999999,4746000,-36749000,-47153000,20844000,-334020000,-334020000,7811000,-326209000,-2328000,1579021000,-72091000,0.95199,-0.48662,0.41948,0.04797,0.01585,-1.24107,0.70573,2.02665,0.4308,1.30561,1.27305,3.11245,27.21936,-1.62035,0.01827,-0.02267,-602.19759,-20.80457
"45","2021_Q2",126.353492063492,"Up",311657000,-43852000,267805000,-240924000,-221249000,-107951000,-113298000,-19675000,26881000,-21234000,243000,5647000,7626000,6884000,38780000,77922000,77922000,77922000,372634000,371971000,242420000,242420000,60449000,52386000,675503000,155799000,155799000,138703000,2733652000,341600000,1777745000,157575000,407450000,3028154000,3703657000,233834000,201141000,32693000,233807000,193934000,39873000,867534000,374774000,175023000,184617000,1561212000,2428746000,456070000,882071000,-63230000,1274911000,1274911000,3703657000,77922000,65492000,-10164000,45474000,178724000,-20278000,-999000,385000,-28956000,-11735000,444000,-12179000,-8404000,-20139000,129629000,129629000,-310000,129319000,92373000,1586331000,110685000,0.85929,0.08625,0.25002,0.06112,0.02104,1.42046,0.77865,1.90503,0.42831,1.75503,1.66743,7.01944,28.71476,2.49295,0.02408,0.0342,13.13909,45.15074
"46","2021_Q3",138.06453125,"Up",341293000,-48785000,292508000,-249824000,-232119000,-120421000,-111698000,-17705000,42684000,-21829000,-815999.999999998,20855000,-27628000,10334000,-23045000,15718000,15718000,15718000,347857000,347857000,249005000,249005000,65116000,56177000,661978000,171645000,171645000,117396000,2752347000,322281000,1837539000,170530000,381242000,3041388000,3703366000,209691000,198220000,11471000,233194000,193531000,39663000,845019000,374120000,169848000,187637000,1563847000,2408866000,461869000,892605000,-59974000,1294500000,1294500000,3703366000,15718000,64734000,72566000,-41720000,111298000,-31455000,663000,-89874000,-123655000,-5636000,5119000,-10755000,-5824000,-11451000,-23808000,-23808000,-306000.000000001,-24113999.9999999,107418000,1591861000,23909000,0.85706,0.12507,0.04605,0.01214,0.00424,1.52112,0.78339,1.86085,0.42984,0.35402,0.33634,7.68693,29.15596,0.538499999999999,0.00482,0.00733,11.58096,29.1445
"47","2021_Q4",138.528,"Up",355144000,-49698000,305446000,-260436000,-240817000,-45960748.6436421,-71943771.6504282,-19619000,45010000,-14383000,107000,30627000,6027000,2665000,6769000,42569000,42569000,42569000,546467000,546467000,268349000,268349000,73457000,73457000,888273000,183179000,183179000,110718000,2648487000,301897000,1861332000,160943000,286554000,2942384000,3830657000,230770000,228977000,1793000,229573000,197901000,31672000,1028397000,322302000,124157000,182956000,1433001000,2461398000,508971000,931477000,-71189000,1369259000,1369259000,3830657000,42569000,66217000,60381000,-28937000,140230000,-37017000,0,25921000,-6965000,-5372000,1549000,-6921000,-5778000,71427000,204692000,204692000,-6082000,198610000,111227000,1678753000,42608000,0.86006,0.12674,0.11986,0.03109,0.01111,1.00092,0.86375,1.79761,0.43824,0.94057,0.89496,7.84696,30.25397,0.94143,0.01263,0.01264,10.17996,25.15632
