"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",30.3052380952381,"Up",2.309e+09,1.312e+09,1.493e+09,-1.81e+08,9.97e+08,-9.9e+07,2.21e+09,-1.409e+09,-2.4e+07,-1.385e+09,8.01e+08,8.01e+08,-1.3e+07,7.88e+08,-2.41e+08,5.47e+08,5.47e+08,-2.2e+07,5.25e+08,-3.7e+07,4.88e+08,1.452e+09,5.47e+08,5.47e+08,4.2602e+10,2.2187e+10,1.18442e+11,-1.464e+09,1.19906e+11,1.879e+09,6.95e+09,5.3e+08,1.6826e+10,1.89228e+11,1.31229e+11,3.13e+09,2.3437e+10,6.694e+09,1.6449e+11,1.014e+10,3.616e+09,6.524e+09,1.2632e+10,-7.33e+08,2.4642e+10,9.6e+07,2.4738e+10,1.89228e+11,5.47e+08,1.07e+08,9.9e+07,2.3e+07,-1.369e+09,-5.93e+08,-8.29e+08,-2.5e+08,-4.4e+07,7.93e+08,-2.1e+08,-5.89e+08,0,2.81e+08,-8e+06,-5.26e+08,-3.26e+08,-3.26e+08,-3.26e+08,9.08e+08,2.6567e+10,0.3469,0.21135,0.01973,0.00258,6.64928,0.1404,0.67624,0.66711,3.19966,30.5402,0.291,0.00369,0.43033,27.65969,31.35456
"22","2015_Q3",29.755625,"Down",2.331e+09,1.312e+09,1.489e+09,-1.77e+08,1.019e+09,-9.7e+07,2.234e+09,-1.456e+09,-3.5e+07,-1.421e+09,7.78e+08,7.78e+08,-1.97e+08,5.81e+08,-8e+07,5.01e+08,5.01e+08,-1e+07,4.91e+08,-3.7e+07,4.54e+08,1.607e+09,1.014e+09,1.014e+09,4.0999e+10,2.1562e+10,1.20844e+11,-1.457e+09,1.22301e+11,1.9e+09,7.141e+09,5.14e+08,1.6998e+10,1.91017e+11,1.32783e+11,3.883e+09,2.3271e+10,5.948e+09,1.65885e+11,1.0334e+10,3.667e+09,6.667e+09,1.2891e+10,-7.48e+08,2.508e+10,5.2e+07,2.5132e+10,1.91017e+11,5.01e+08,1.1e+08,9.7e+07,1.01e+08,-1.94e+08,6.15e+08,1.593e+09,-1.454e+09,7.3e+07,3.8e+07,-2.32e+08,4.83e+08,0,-4e+06,-2.78e+08,-3.1e+07,6.22e+08,6.22e+08,6.22e+08,8.88e+08,2.7154e+10,0.33376,0.19477,0.01806,0.00238,6.60055,0.14215,0.62631,0.61808,3.2157,31.00789,0.32005,0.00359,0.51101,28.76914,32.83676
"23","2015_Q4",29.22078125,"Down",2.452e+09,1.464e+09,1.65e+09,-1.86e+08,9.88e+08,-1.03e+08,2.349e+09,-1.517e+09,-4.2e+07,-1.475e+09,8.32e+08,8.32e+08,-7.7e+07,7.55e+08,-2.22e+08,5.33e+08,5.33e+08,-4e+06,5.29e+08,-3.7e+07,4.92e+08,1.538e+09,1.242e+09,1.242e+09,4.4072e+10,2.4827e+10,1.34057e+11,-1.458e+09,1.35515e+11,2.038e+09,8.498e+09,7e+08,1.6664e+10,2.08809e+11,1.47827e+11,2.581e+09,2.4883e+10,6.254e+09,1.81545e+11,1.2245e+10,3.901e+09,8.344e+09,1.3172e+10,-7.96e+08,2.7224e+10,4e+07,2.7264e+10,2.08809e+11,5.33e+08,1.21e+08,1.03e+08,3.2e+07,1.091e+09,1.88e+09,-2.28e+08,-5.74e+08,-5.6e+07,-1.293e+09,-2.48e+08,-1.08e+09,5.9e+07,9.23e+08,-8.2e+07,-4.28e+08,1.59e+08,1.59e+08,1.59e+08,9.53e+08,2.7464e+10,0.33931,0.20065,0.01805,0.00236,6.65878,0.13153,0.64361,0.63564,3.2076,32.2081,0.32442,0.00354,0.50407,27.20462,31.16106
"24","2016_Q1",26.0108196721311,"Down",2.519e+09,1.504e+09,1.695e+09,-1.91e+08,1.015e+09,-1.29e+08,2.39e+09,-1.547e+09,-2.9e+07,-1.518e+09,8.43e+08,8.43e+08,-5e+07,7.93e+08,-2.51e+08,5.42e+08,5.42e+08,-3e+06,5.39e+08,-3.7e+07,5.02e+08,2.123e+09,1.588e+09,1.588e+09,4.4283e+10,2.5753e+10,1.34491e+11,-1.46e+09,1.35951e+11,2.007e+09,8.548e+09,6.86e+08,1.6221e+10,2.09947e+11,1.49124e+11,3.593e+09,2.3769e+10,6.121e+09,1.82607e+11,1.2267e+10,3.902e+09,8.365e+09,1.3464e+10,-1.028e+09,2.7306e+10,3.4e+07,2.734e+10,2.09947e+11,5.42e+08,1.23e+08,1.29e+08,1.25e+08,3.1e+08,1.229e+09,-6.34e+08,-9.18e+08,4.17e+08,-1.387e+09,-2.47e+08,4.3e+07,9000000.00000003,1.306e+09,-2.2e+07,1.089e+09,9.31e+08,9.31e+08,9.31e+08,9.66e+08,2.7362e+10,0.33466,0.19929,0.01836,0.00239,6.67911,0.13033,0.64269,0.63464,3.225,31.62648,0.31623,0.00357,0.49203,26.12733,29.9395
"25","2016_Q2",27.591875,"Up",2.545e+09,1.529e+09,1.721e+09,-1.92e+08,1.016e+09,-1.84e+08,2.361e+09,-1.523e+09,-2.2e+07,-1.501e+09,8.38e+08,8.38e+08,-2.2e+07,8.16e+08,-2.46e+08,5.7e+08,5.7e+08,-6e+06,5.64e+08,-3.7e+07,5.27e+08,1.825e+09,9.53e+08,9.53e+08,4.7146e+10,2.7795e+10,1.33608e+11,-1.488e+09,1.35096e+11,2.001e+09,8.559e+09,6.56e+08,1.7657e+10,2.12405e+11,1.505e+11,4.13e+09,2.2823e+10,6.713e+09,1.84166e+11,1.2272e+10,3.912e+09,8.36e+09,1.3791e+10,-9.17e+08,2.82e+10,3.9e+07,2.8239e+10,2.12405e+11,5.7e+08,1.27e+08,1.84e+08,-1.9e+07,-9.92e+08,-1.3e+08,-2.234e+09,5.25e+08,-7.2e+07,-1.781e+09,-2.48e+08,-6e+08,4.33e+08,1.383e+09,1e+07,9.78e+08,-9.33e+08,-9.33e+08,-9.33e+08,9.65e+08,2.6953e+10,0.32927,0.20707,0.01866,0.00248,6.52169,0.12689,0.67461,0.66694,3.25784,32.18923,0.31746,0.00365,0.47059,26.03938,29.98568
"26","2016_Q3",29.6534375,"Up",2.747e+09,1.617e+09,1.805e+09,-1.88e+08,1.13e+09,-1.11e+08,2.636e+09,-1.705e+09,-2.6e+07,-1.679e+09,9.31e+08,9.31e+08,-9.2e+07,8.39e+08,-2.52e+08,5.87e+08,5.87e+08,-3e+06,5.84e+08,-4.3e+07,5.41e+08,1.958e+09,6.55e+08,6.55e+08,4.7852e+10,2.909e+10,1.40719e+11,-1.507e+09,1.42226e+11,2.088e+09,9.621e+09,9.46e+08,1.802e+10,2.21859e+11,1.59238e+11,1.472e+09,2.4435e+10,6.971e+09,1.92116e+11,1.3384e+10,4.073e+09,9.311e+09,1.4104e+10,-8.37e+08,2.9704e+10,3.9e+07,2.9743e+10,2.21859e+11,5.87e+08,1.42e+08,1.11e+08,3.8e+07,1.13e+08,9.91e+08,2.11e+09,-1.628e+09,3.4e+07,-2.73e+08,-2.71e+08,-2.895e+09,8e+06,2.116e+09,1.59e+08,-8.83e+08,-1.65e+08,-1.65e+08,-1.65e+08,1.073e+09,2.5907e+10,0.33892,0.19694,0.01819,0.00244,6.4592,0.11677,0.66441,0.65681,3.37361,32.73029,0.33282,0.00366,0.50092,22.31966,25.72395
"27","2016_Q4",34.1412698412698,"Up",2.774e+09,1.61e+09,1.795e+09,-1.85e+08,1.164e+09,-1.48e+08,2.626e+09,-1.668e+09,-2.7e+07,-1.641e+09,9.58e+08,9.58e+08,-4.3e+07,9.15e+08,-2.73e+08,6.42e+08,6.42e+08,0,6.42e+08,-4.3e+07,5.99e+08,1.85e+09,1.122e+09,1.122e+09,4.7853e+10,3.0103e+10,1.40912e+11,-1.511e+09,1.42423e+11,2.059e+09,9.627e+09,8.92e+08,1.8307e+10,2.22622e+11,1.59915e+11,4.064e+09,2.2776e+10,5.776e+09,1.92531e+11,1.329e+10,4.057e+09,9.233e+09,1.4459e+10,-7.5e+08,3.0052e+10,3.9e+07,3.0091e+10,2.22622e+11,6.42e+08,1.41e+08,1.48e+08,3.1e+07,-1.186e+09,-2.24e+08,-3.25e+08,-6.31e+08,3.03e+08,-6.53e+08,-2.86e+08,1.027e+09,-1.35e+08,6.84e+08,-5.4e+07,1.236e+09,3.59e+08,3.59e+08,3.59e+08,1.099e+09,2.684e+10,0.34535,0.21593,0.01991,0.00269,6.39829,0.12056,0.73721,0.72773,3.41407,33.22868,0.35199,0.00398,0.47746,22.73885,26.08559
"28","2017_Q1",37.7562903225806,"Up",2.727e+09,1.565e+09,1.745e+09,-1.8e+08,1.162e+09,-1.29e+08,2.598e+09,-1.655e+09,-2.7e+07,-1.628e+09,9.43e+08,9.43e+08,-1.3e+07,9.3e+08,-2.87e+08,6.43e+08,6.43e+08,-7e+06,6.36e+08,-4.4e+07,5.92e+08,1.897e+09,1.895e+09,1.895e+09,4.4238e+10,2.7558e+10,1.41833e+11,-1.489e+09,1.43322e+11,2.107e+09,9.638e+09,8.54e+08,1.6814e+10,2.19276e+11,1.60234e+11,1.406e+09,2.1965e+10,5.745e+09,1.8935e+11,1.3151e+10,4.047e+09,9.104e+09,1.4809e+10,-1.132e+09,2.9881e+10,4.5e+07,2.9926e+10,2.19276e+11,6.43e+08,1.45e+08,1.29e+08,1.8e+07,1.543e+09,2.478e+09,2.814e+09,-1.252e+09,1.06e+08,1.731e+09,-2.87e+08,-3.084e+09,-3.76e+08,3.24e+08,2.1e+08,-3.213e+09,9.96e+08,9.96e+08,9.96e+08,1.088e+09,2.3371e+10,0.3458,0.21709,0.01978,0.0027,6.32727,0.10658,0.73019,0.71958,3.36357,33.09055,0.354,0.00401,0.4848,19.73713,22.772
"29","2017_Q2",35.322380952381,"Down",2.78e+09,1.609e+09,1.775e+09,-1.66e+08,1.171e+09,-1.48e+08,2.632e+09,-1.674e+09,-2.2e+07,-1.652e+09,9.58e+08,9.58e+08,-4.28e+08,5.3e+08,-1.04e+08,4.26e+08,4.26e+08,-5e+06,4.21e+08,-4.3e+07,3.78e+08,1.739e+09,2.294e+09,2.294e+09,4.5324e+10,2.7115e+10,1.41118e+11,-1.487e+09,1.42605e+11,2.104e+09,9.618e+09,8.18e+08,1.7486e+10,2.20501e+11,1.61333e+11,2.019e+09,2.1635e+10,5.489e+09,1.90476e+11,1.312e+10,4.057e+09,9.063e+09,1.4933e+10,-1.125e+09,2.9981e+10,4.4e+07,3.0025e+10,2.20501e+11,4.26e+08,1.37e+08,1.48e+08,4.22e+08,-9.75e+08,1.58e+08,-1.281e+09,3.33e+08,2.42e+08,-7.06e+08,-2.86e+08,-8.5e+07,-7.4e+07,1.104e+09,-1.4e+07,6.45e+08,9.7e+07,9.7e+07,9.7e+07,1.095e+09,2.3654e+10,0.3446,0.13597,0.01259,0.00171,6.34391,0.10727,0.46672,0.45945,3.43251,33.24843,0.35313,0.00301,0.75661,20.0137,22.87578
"30","2017_Q3",37.654126984127,"Up",2.855e+09,1.635e+09,1.824e+09,-1.89e+08,1.22e+09,-1.35e+08,2.72e+09,-1.732e+09,-3.8e+07,-1.694e+09,9.88e+08,9.88e+08,-9999999.99999994,9.78e+08,-3.04e+08,6.74e+08,6.74e+08,999999.999999999,6.75e+08,-4.4e+07,6.31e+08,2.201e+09,8.08e+08,8.08e+08,4.5702e+10,2.7318e+10,1.4216e+11,-1.485e+09,1.43645e+11,2.084e+09,9.618e+09,7.82e+08,1.7837e+10,2.21192e+11,1.56968e+11,6.142e+09,2.1738e+10,5.995e+09,1.90843e+11,1.3006e+10,4.04e+09,8.966e+09,1.5321e+10,-1.073e+09,3.0307e+10,4.2e+07,3.0349e+10,2.21192e+11,6.74e+08,1.37e+08,1.35e+08,44000000.0000001,3.4e+08,1.33e+09,-2.84e+08,-1.382e+09,-2.54e+08,-1.92e+09,-2.86e+08,4.2e+09,-2.46e+08,-4.36e+09,1.89e+08,-5.03e+08,-1.093e+09,-1.093e+09,-1.093e+09,1.125e+09,2.788e+10,0.34606,0.22102,0.02079,0.00285,6.28828,0.12604,0.77999,0.77009,3.52914,33.68934,0.35353,0.00415,0.45325,22.82578,25.99089
"31","2017_Q4",39.8114285714286,"Up",2.813e+09,1.647e+09,1.877e+09,-2.3e+08,1.166e+09,-1.26e+08,2.687e+09,-1.698e+09,-2.7e+07,-1.671e+09,9.89e+08,9.89e+08,-4.7e+07,9.42e+08,-2.94e+08,6.48e+08,6.48e+08,-8e+06,6.4e+08,-4.3e+07,5.97e+08,2.243e+09,3.43e+08,3.43e+08,4.8071e+10,2.5044e+10,1.42211e+11,-1.49e+09,1.43701e+11,2.055e+09,9.618e+09,7.11e+08,1.639e+10,2.21642e+11,1.57371e+11,4.938e+09,2.3648e+10,5.99e+09,1.91947e+11,1.1803e+10,3.91e+09,7.893e+09,1.6259e+10,-1.467e+09,2.9648e+10,4.7e+07,2.9695e+10,2.21642e+11,6.48e+08,1.39e+08,1.26e+08,3.5e+07,5.23e+08,1.471e+09,-1.327e+09,9.28e+08,-1.77e+08,-5.76e+08,-3.05e+08,9.11e+08,-9.2e+08,-8.28e+08,-5.4e+07,-1.196e+09,-3.01e+08,-3.01e+08,-3.01e+08,1.128e+09,2.8586e+10,0.35158,0.21223,0.0201,0.00269,6.46395,0.12897,0.75136,0.74058,3.54033,33.47144,0.38386,0.00407,0.51089,23.35372,26.636
"32","2018_Q1",44.7332786885246,"Up",2.869e+09,1.644e+09,1.898e+09,-2.54e+08,1.225e+09,-1.38e+08,2.731e+09,-1.833e+09,-3.6e+07,-1.797e+09,8.98e+08,8.98e+08,-2.2e+07,8.76e+08,-2.09e+08,6.67e+08,6.67e+08,-9e+06,6.58e+08,-4.4e+07,6.14e+08,2.243e+09,3.43e+08,3.43e+08,4.8071e+10,2.5044e+10,1.42211e+11,-1.49e+09,1.43701e+11,2.055e+09,9.618e+09,7.11e+08,1.639e+10,2.21642e+11,1.57371e+11,4.938e+09,2.3648e+10,5.99e+09,1.91947e+11,1.1803e+10,3.91e+09,7.893e+09,1.6259e+10,-1.467e+09,2.9648e+10,4.7e+07,2.9695e+10,2.21642e+11,6.67e+08,1.37e+08,1.38e+08,2.4e+07,7.1e+08,1.676e+09,-1.156e+09,-1.109e+09,4e+07,-2.225e+09,-3.02e+08,-6.4e+07,-3.73e+08,1.242e+09,2e+06,5.05e+08,-44000000.0000001,-44000000.0000001,-44000000.0000001,1.035e+09,2.8586e+10,0.313,0.21401,0.02068,0.00277,6.46395,0.12897,0.78374,0.77167,3.66212,33.947,0.38549,0.00413,0.49186,25.45217,29.33519
"33","2018_Q2",44.4396875,"Down",2.813e+09,1.633e+09,1.921e+09,-2.88e+08,1.18e+09,-1.5e+08,2.663e+09,-1.658e+09,-3e+07,-1.628e+09,1.005e+09,1.005e+09,-2.8e+07,9.77e+08,-1.86e+08,7.91e+08,7.91e+08,-3e+06,7.88e+08,-4.3e+07,7.45e+08,2189024933.32808,507986030.980786,507986037.988597,46958585173.914,24750918330.7565,143550644790.42,-1508771938.93218,145059416729.352,2104809582.03254,9568833588.12524,647613314.963991,16792024473.974,222319521887.998,160041394980.641,2614436764.15781,23951756677.4122,5929283017.85036,192536871440.061,11620595705.7228,3902272045.44374,7718323660.27903,16580276682.5146,-1519189415.99647,29735463907.4541,47186495.6675282,29782650447.9362,222319521887.998,7.91e+08,1.38e+08,1.5e+08,3.1e+07,-8.02e+08,3.08e+08,-2.22e+08,3.85e+08,4e+07,2.03e+08,-3.35e+08,-6.51e+08,-3.2e+08,8.3e+08,-7e+06,-4.83e+08,2.8e+07,2.8e+07,2.8e+07,1.143e+09,0,0.35727,0.26484,0.0235581828534013,0.00315470810074371,6.4650933190633,0.119524539278432,0.9556,0.94184,3.60818,34.2697777245877,0.4297,0.00454691280449519,0.44966,22.777439251654,26.0979239793673
"34","2018_Q3",43.2465079365079,"Down",2.879e+09,1.657e+09,1.994e+09,-3.37e+08,1.222e+09,-1.35e+08,2.744e+09,-1.696e+09,-3.2e+07,-1.664e+09,1.048e+09,1.048e+09,-2.4e+07,1.024e+09,-2.02e+08,8.22e+08,8.22e+08,-3e+06,8.19e+08,-4.4e+07,7.75e+08,2.046e+09,6.62e+08,6.62e+08,4.6013e+10,2.4264e+10,1.44653e+11,-1.53e+09,1.46183e+11,2.154e+09,9.617e+09,6.47e+08,1.6889e+10,2.22681e+11,1.59475e+11,3.576e+09,2.4081e+10,5.717e+09,1.92849e+11,1.1236e+10,3.872e+09,7.364e+09,1.7197e+10,-1.706e+09,2.978e+10,5.2e+07,2.9832e+10,2.22681e+11,8.22e+08,1.36e+08,1.35e+08,4.4e+07,-1.8e+07,1.119e+09,1.603e+09,-3.342e+09,-2.7e+07,-1.766e+09,-3.34e+08,0,-3.1e+08,1.283e+09,-5e+07,5.89e+08,-5.8e+07,-5.8e+07,-5.8e+07,1.184e+09,2.7657e+10,0.36402,0.26919,0.02598,0.00348,6.4645,0.1242,0.99892,0.98632,3.71084,34.44929,0.4305,0.00498,0.43097,21.63091,24.43798
"35","2018_Q4",40.7752380952381,"Down",2.926e+09,1.687e+09,2.069e+09,-3.82e+08,1.239e+09,-1.35e+08,2.791e+09,-1.724e+09,-3.3e+07,-1.691e+09,1.067e+09,1.067e+09,-1.8e+07,1.049e+09,-2.1e+08,8.39e+08,8.39e+08,-7e+06,8.32e+08,-4.3e+07,7.89e+08,2.123e+09,7.48e+08,7.48e+08,4.565e+10,2.4568e+10,1.45152e+11,-1.538e+09,1.4669e+11,2.154e+09,9.832e+09,7.89e+08,1.6437e+10,2.22885e+11,1.54556e+11,9.652e+09,2.3236e+10,5.434e+09,1.92878e+11,1.1074e+10,3.853e+09,7.221e+09,1.7673e+10,-1.852e+09,2.9948e+10,5.9e+07,3.0007e+10,2.22885e+11,8.39e+08,1.39e+08,1.35e+08,3.7e+07,4.01e+08,1.551e+09,8.2e+07,-7e+08,-5.52e+08,-1.17e+09,-3.56e+08,5.29e+09,-2e+08,-4.919e+09,-9.6e+07,-2.81e+08,1e+08,1e+08,1e+08,1.206e+09,3.2888e+10,0.36466,0.26965,0.02629,0.00354,6.42777,0.14756,1.0226,1.00912,3.79231,34.85786,0.4614,0.00514,0.4512,25.50995,28.83318
"36","2019_Q1",41.7654098360656,"Up",2.94e+09,1.705e+09,2.136e+09,-4.31e+08,1.235e+09,-1.46e+08,2.794e+09,-1.708e+09,-2.7e+08,-1.438e+09,1.086e+09,1.086e+09,-7.6e+07,1.01e+09,-2.05e+08,8.05e+08,8.05e+08,-7e+06,7.98e+08,-4.4e+07,7.54e+08,2.753e+09,9.84e+08,9.84e+08,4.584e+10,2.5288e+10,1.47455e+11,-1.558e+09,1.49013e+11,2.118e+09,9.818e+09,7.58e+08,1.5971e+10,2.25697e+11,1.61199e+11,5.178e+09,2.3709e+10,5.433e+09,1.95519e+11,1.0666e+10,3.817e+09,6.849e+09,1.8118e+10,-1.715e+09,3.0122e+10,5.6e+07,3.0178e+10,2.25697e+11,8.05e+08,1.42e+08,1.46e+08,2.6e+07,2.52e+08,1.371e+09,3.14e+08,-2.609e+09,7.71e+08,-2.23e+09,-3.53e+08,-4.163e+09,-3.75e+08,6.644e+09,-7.6e+07,1.677e+09,8.18e+08,8.18e+08,8.18e+08,1.228e+09,2.8887e+10,0.36939,0.25646,0.02499,0.00334,6.47886,0.12799,0.98583,0.97251,3.84396,35.39185,0.46154,0.0049,0.46817,21.28176,24.06446
"37","2019_Q2",42.2709523809524,"Up",2.898e+09,1.696e+09,2.173e+09,-4.77e+08,1.202e+09,-1.55e+08,2.743e+09,-1.688e+09,-3.1e+07,-1.657e+09,1.055e+09,1.055e+09,-8e+07,9.75e+08,-1.77e+08,7.98e+08,7.98e+08,-6e+06,7.92e+08,-4.3e+07,7.49e+08,1.873e+09,7.51e+08,7.51e+08,4.6758e+10,2.6663e+10,1.47496e+11,-1.561e+09,1.49057e+11,2.078e+09,9.818e+09,7.26e+08,1.8183e+10,2.27683e+11,1.59766e+11,6.305e+09,2.4729e+10,6e+09,1.968e+11,1.0673e+10,3.83e+09,6.843e+09,1.8518e+10,-1.421e+09,3.0823e+10,6e+07,3.0883e+10,2.27683e+11,7.98e+08,1.37e+08,1.55e+08,3.2e+07,-1.867e+09,-7.45e+08,-4.17e+08,-1.93e+08,1.33e+08,-4.77e+08,-3.52e+08,2.039e+09,0,-1.432e+09,-4.8e+07,2.07e+08,-1.015e+09,-1.015e+09,-1.015e+09,1.192e+09,3.1034e+10,0.36404,0.25845,0.02425,0.00329,6.37244,0.1363,0.98019,0.96761,3.79252,36.34175,0.46065,0.00484,0.46996,24.46393,27.64076
"38","2019_Q3",43.1575,"Up",3.042e+09,1.69e+09,2.206e+09,-5.16e+08,1.352e+09,-1.72e+08,2.87e+09,-1.728e+09,-3.1e+07,-1.697e+09,1.142e+09,1.142e+09,-2.3e+07,1.119e+09,-2.34e+08,8.85e+08,8.85e+08,999999.999999999,8.86e+08,-4.4e+07,8.42e+08,1.831e+09,7.07e+08,7.07e+08,4.5452e+10,2.5965e+10,1.50991e+11,-1.595e+09,1.52586e+11,2.029e+09,9.83e+09,7.12e+08,1.932e+10,2.30872e+11,1.59521e+11,1.0344e+10,2.264e+10,6.603e+09,1.99108e+11,1.0719e+10,3.83e+09,6.889e+09,1.905e+10,-1.119e+09,3.1703e+10,6.1e+07,3.1764e+10,2.30872e+11,8.85e+08,1.39e+08,1.72e+08,4.8e+07,-3.1e+08,9.34e+08,1.598e+09,-3.754e+09,-1.74e+08,-2.33e+09,-3.54e+08,1.764e+09,0,-140999999.999999,-1.44e+08,1.125e+09,-2.71e+08,-2.71e+08,-2.71e+08,1.281e+09,3.2984e+10,0.37541,0.27679,0.02651,0.00365,6.26835,0.14287,1.09926,1.08703,3.97144,37.4036,0.46216,0.00518,0.42043,24.31928,27.27933
"39","2019_Q4",47.59734375,"Up",3.003e+09,1.7e+09,2.218e+09,-5.18e+08,1.303e+09,-1.17e+08,2.886e+09,-1.806e+09,-2.1e+08,-1.596e+09,1.08e+09,1.08e+09,-3.4e+07,1.046e+09,-2.18e+08,8.28e+08,8.28e+08,-3e+06,8.25e+08,-9e+07,7.35e+08,2.027e+09,8.66e+08,8.66e+08,5.489e+10,3.6122e+10,1.4784e+11,-1.573e+09,1.49413e+11,2.022e+09,9.832e+09,6.78e+08,1.8595e+10,2.3675e+11,1.6228e+11,1.0405e+10,2.552e+10,6.242e+09,2.04447e+11,1.0763e+10,3.832e+09,6.931e+09,1.944e+10,-1.026e+09,3.2234e+10,6.9e+07,3.2303e+10,2.3675e+11,8.28e+08,1.41e+08,1.17e+08,3.9e+07,6.5e+08,1.775e+09,-9.333e+09,2.887e+09,1.18e+08,-6.564e+09,-3.89e+08,2.908e+09,-4.2e+07,2.669e+09,-1.1e+07,5.135e+09,3.46e+08,3.46e+08,3.46e+08,1.221e+09,3.5925e+10,0.35964,0.24476,0.02275,0.0031,6.32904,0.15174,0.9593,0.94709,3.91944,38.08113,0.50771,0.00475,0.52925,27.76249,31.38704
"40","2020_Q1",41.8624193548387,"Down",3.625e+09,2.227e+09,2.812e+09,-5.85e+08,1.398e+09,-1.71e+08,3.454e+09,-2.352e+09,-1.61e+08,-2.191e+09,1.102e+09,1.102e+09,-2.23e+08,8.79e+08,-1.53e+08,7.26e+08,7.26e+08,-5e+06,7.21e+08,-1.9e+07,7.02e+08,4.084e+09,1.6398e+10,1.6398e+10,8.046e+10,7.4727e+10,2.98293e+11,-1.549e+09,2.99842e+11,3.712e+09,2.4154e+10,3.142e+09,4.2835e+10,4.73078e+11,3.34727e+11,1.8218e+10,4.1339e+10,1.2236e+10,4.0652e+11,4.232e+10,6.711e+09,3.5609e+10,1.9806e+10,-8.44e+08,6.6384e+10,1.74e+08,6.6558e+10,4.73078e+11,7.26e+08,2.13e+08,1.71e+08,-3000000.00000001,-1.551e+09,-4.44e+08,9.582e+09,1.716e+09,8.9e+07,1.7719e+10,-3.64e+08,-2.599e+09,5.96046447753906e-08,1.821e+09,2.8e+07,-1.114e+09,1.6161e+10,1.6161e+10,1.6161e+10,1.315e+09,5.9557e+10,0.304,0.19366,0.01055,0.00148,6.10776,0.12589,0.75963,0.74992,3.9226,66.31304,0.39388,0.00225,0.51852,42.18479,50.33848
"41","2020_Q2",32.2760317460317,"Down",5.611e+09,3.65e+09,4.426e+09,-7.76e+08,1.961e+09,-8.93e+08,4.718e+09,-3.324e+09,-2.47e+08,-3.077e+09,1.394e+09,1.394e+09,-1.07e+08,1.287e+09,-2.24e+08,1.063e+09,1.063e+09,-3e+06,1.06e+09,-7.4e+07,9.86e+08,5.312e+09,3.1036e+10,3.1036e+10,8.4057e+10,8.0194e+10,3.14018e+11,-5.211e+09,3.19229e+11,3.999e+09,2.3927e+10,3.168e+09,4.0712e+10,5.06229e+11,3.50179e+11,1.2696e+10,6.5662e+10,1.1631e+10,4.40168e+11,4.2321e+10,6.737e+09,3.5584e+10,1.8076e+10,8.98e+08,6.5894e+10,1.67e+08,6.6061e+10,5.06229e+11,1.063e+09,3.99e+08,8.93e+08,8.1e+07,2.192e+09,4.628e+09,-1e+07,-1.8024e+10,-3.04e+08,-1.9515e+10,-6.82e+08,1.7984e+10,-5e+08,1.5474e+10,-1.06e+08,3.217e+10,1.7283e+10,1.7283e+10,1.7283e+10,1.793e+09,7.8358e+10,0.24844,0.17573,0.01493,0.00195,6.66305,0.15479,0.73343,0.72631,4.1737,45.59378,0.5073,0.00329,0.69168,40.73954,52.40029
