"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2019_Q4",75.636875,"Up",726600000,-204900000,521700000,-540400000,-401300000,-139100000,-18700000,-2400000,-20600000,18200000,-21100000,-21100000,9e+05,-20200000,-20200000,-20200000,-20200000,3048100000,1314900000,1733200000,407500000,407500000,261900000,261900000,3717500000,2.75e+08,669900000,1599400000,337900000,2544300000,6261800000,391100000,68600000,322500000,1449600000,1449600000,1998800000,1394800000,1182600000,212200000,2809500000,4808300000,2340800000,-880100000,-7200000,1453500000,1453500000,6261800000,-20200000,40300000,218700000,57600000,296400000,-20300000,107900000,-140300000,36700000,36700000,0,-4900000,31800000,187900000,187900000,187900000,21600000,1572800000,5.8e+07,0.718,-0.02574,-0.0278,-0.0139,-0.00323,-2.87129,1.85987,3.30808,0.25117,-0.07125,-0.07125,2.56296,5.12698,0.20459,-0.00457,0.01312,-68.3009299999998,78.89305
"30","2020_Q1",69.8143548387097,"Down",805800000,-217400000,588400000,-598300000,-439600000,-158700000,-9900000,-3800000,-2e+07,16200000,-13700000,-13700000,-7100000,-20800000,-20800000,-20800000,-20800000,2803100000,961400000,1841700000,582400000,582400000,279300000,279300000,3664800000,2.96e+08,575400000,2.056e+09,423100000,2927400000,6592200000,471200000,73300000,397900000,1582100000,1582100000,2053300000,1522600000,1306600000,2.16e+08,2952600000,5005900000,2490900000,-900900000,-3700000,1586300000,1586300000,6592200000,-20800000,42200000,210900000,-800000.999999993,231499999,-53099999,-4700000,-448699999,1400000,1399999.99999999,0,-8600000,-136100000,-353300000,-353300000,-353300000,32300000,1.43e+09,-14500000,0.73021,-0.01229,-0.02581,-0.01311,-0.00316,0.69712,1.78483,3.15571,0.21692,-0.07245,-0.07245,2.80669,5.52525,-0.05051,-0.00458,-0.00319,-42.51084,138.69697
"31","2020_Q2",70.4646031746032,"Up",771900000,-217699999,554200001,-6.06e+08,-435500000,-170500000,-51799999,-2700000,-18900000,16200000,-54499999,-54499999,-5100000,-59599999,-59599999,-59599999,-59599999,2861200000,1263700000,1597500000,499200000,499200000,289400000,289400000,3649800000,316400000,467600000,2.391e+09,706500000,3.175e+09,6824800000,392700000,74700000,3.18e+08,1658900000,1658900000,2051600000,1811300000,1357100000,454200000,3256800000,5308400000,2477500000,-960500000,-600000.000000001,1516400000,1516400000,6824800000,-59600000,4.4e+07,228200000,12600000,225200000,-47200000,358100000,244500000,-161800000,36300000,-198100000,-5300000,-167100000,302600000,302600000,302600000,-7799999,1445500000,-37299999,0.71797,-0.06711,-0.07721,-0.0393,-0.00873,0.62584,1.779,3.50066,0.2118,-0.20566,-0.20566,2.66356,5.23257,-0.12871,-0.01249,-0.00781,181.50002,27.33012
"32","2020_Q3",83.19796875,"Up",816700000,-233100001,583599999,-636500000,-451100000,-185400000,-52900001,-8200000,-1.9e+07,10800000,-61100001,-61100001,-12600000,-73700001,-73700001,-73700001,-73700001,3133900000,2e+09,1133900000,540300000,540300000,3.04e+08,3.04e+08,3978200000,311400000,317900000,2576600000,774900000,3205900000,7184100000,481800000,55400000,426400000,1757700000,1757700000,2239500000,1874900000,1440800000,434100000,3336100000,5575600000,2644500000,-1034200000,-1800000,1608500000,1608500000,7184100000,-73700000,48400000,245700000,86500000,306900000,-49100000,614800000,436400000,6e+05,599999.999999993,-5.96046447753906e-08,-6700000.00000001,-6100000.00000006,737200000,737200000,737200000,-4500001,1461200000,45499999,0.71458,-0.06477,-0.09024,-0.04582,-0.01026,-0.617369999999999,1.77638,3.46634,0.20339,-0.24966,-0.24966,2.7666,5.44885,0.15413,-0.01491,0.0092,371.71103,31.62004
"33","2020_Q4",93.43890625,"Up",869400000,-258300000,611100000,-667600000,-471300000,-196300000,-56500000,-11300000,-19400000,8100000,-67800000,-67800000,-7e+06,-74800000,-74800000,-74800000,-74800000,2038800000,1484700000,554100000,668800000,668800000,306400000,306400000,3.014e+09,357200000,151200000,2979400000,785900000,3487800000,6501800000,481100000,52300000,428800000,1854600000,1854600000,2335700000,1944400000,1.516e+09,428400000,3421400000,5757100000,1855700000,-1.109e+09,-2e+06,744700000,744700000,6501800000,-74800000,53200000,253600000,-62100000,169900000,-86300000,748800000,274700000,-953200000,46800000,-1e+09,-6100000,-959300000,-514700000,-514700000,-514700000,-3300000,1.477e+09,-144700000,0.7029,-0.06499,-0.08604,-0.10044,-0.0115,1.93449,1.29041,7.73076,0.22717,-0.25811,-0.25811,3,2.5697,-0.49931,-0.01795,-0.03473,170.24242,9.94336
"34","2021_Q1",118.870491803279,"Up",950400000,-290400000,6.6e+08,-677800000,-461900000,-215900000,-17800000,-30600000,-31400000,800000.000000001,-48400000,-48400000,-10500000,-58900000,-58900000,-58900000,-58900000,3747800000,2.958e+09,789800000,1037099999,1037099999,344300000,138300000,5129199999,348100000,554400000,3033700000,862600000,3936200000,9065399999,642600000,63600000,5.79e+08,2049100000,2049100000,2691700000,2187800000,1761100000,426700000,5271900000,7963600000,2259200000,-1167900000,10500000,1101800000,1101800000,9065400000,-58900000,60500000,297300000,34800000,333700000,-31800000,-4.33e+08,-464800000,3e+05,300000.000000007,2.38418579101562e-07,-376700000,1602700000,1471600000,1471600000,1471600000,42700000,3084100000,56199999.9999999,0.69444,-0.01873,-0.06197,-0.05346,-0.0065,-0.954160000000001,1.90556,7.22781,0.34021,-0.20451,-0.20451,3.3,3.82569,0.19514,-0.00924,0.00882,-15.54333,37.28652
"35","2021_Q2",118.496031746032,"Down",9.46e+08,-277800000,668200000,-712700000,-475300000,-237400000,-44500000,-37800000,-40200000,2400000,-82300000,-82300000,-9900000,-92200000,-92200000,-92200000,-92200000,3217600000,2.142e+09,1075600000,675500000,675500000,407800000,407800000,4300900000,337900000,873200000,3214500000,857100000,4425600000,8726500000,497600000,48500000,449100000,2137500000,2137500000,2635100000,2225200000,1809300000,415900000,5344400000,7979500000,2003900000,-1260100000,3200000,7.47e+08,7.47e+08,8726500000,-92200000,5.8e+07,319400000,249700000,534900000,-29600000,-631500000,-886200000,-454600000,45400000,-5e+08,-9900000,-464500000,-815800000,-815800000,-815800000,13500000,3119200000,243500000,0.70634,-0.04704,-0.09746,-0.12343,-0.01057,-2.641,1.63216,10.68206,0.35744,-0.32182,-0.32182,3.30192,2.60733,0.84991,-0.01514,0.03997,-7.28888999999998,2.21123999999999
"36","2021_Q3",140.51390625,"Up",1016900000,-307600000,709300000,-798100000,-531400000,-266700000,-88800000,-41200000,-40700000,-5e+05,-1.3e+08,-1.3e+08,-12300000,-142300000,-142300000,-142300000,-142300000,3171199999,2113199999,1.058e+09,669200000,669200000,435400000,435400000,4275799999,330700000,857100000,4024800000,900200000,5212600000,9488399999,5.61e+08,44700000,516300000,2289700000,2289700000,4376300000,2445700000,1872700000,5.73e+08,4074800000,8451100000,2429800000,-1402400000,9900000,1037300000,1037300000,9488400000,-142300000,64900000,343600000,98300000,364500000,-32100000,53100000,-384400000,300000.000000119,300000.000000007,0,-5699999.99999994,-5400000,-25300000,-25300000,-25300000,-23900000,3154700000,54600000,0.69751,-0.08732,-0.13994,-0.13718,-0.015,-0.3837,0.97704,8.14721,0.33248,-0.49461,-0.49461,3.53458,3.60549,0.18978,-0.02144,0.00823,0.69038,0.18581
"37","2021_Q4",173.003125,"Up",1073900000,-330600000,743300000,-853700000,-542700000,-3.11e+08,-110400000,-4e+07,-4.1e+07,1e+06,-150400000,-150400000,5300000,-145100000,-145100000,-145100000,-145100000,2945400000,1886100000,1059300000,766800000,766800000,428700000,428700000,4140900000,322700000,885400000,4213099999,969700000,5421199999,9562099999,586100000,71800000,514300000,2421200000,2421200000,3007300000,2.367e+09,1953800000,413200000,5557600000,8564900000,2541100000,-1547500000,3600000,997200000,997200000,9562100000,-145100000,68700000,358100000,-3900000,277800000,-26900000,-33900000,-207600000,-2.92e+08,5.8e+07,-3.5e+08,-6500000,-298500000,-228300000,-228300000,-228300000,-41700000,3190600000,-77800000,0.69215,-0.1028,-0.13512,-0.14551,-0.01517,0.53618,1.37695,8.58895,0.33367,-0.49914,-0.49914,3.69419,3.43034,-0.26763,-0.02214,-0.01187,-5.8801,-2.22101
"38","2022_Q1",178.998548387097,"Up",1219300000,-358900000,860400000,-920800000,-595500000,-325300000,-60400000,-41900000,-41400000,-5e+05,-102300000,-102300000,-1.7e+07,-119300000,-119300000,-119300000,-119300000,2901100000,1874200000,1026900000,1240400000,1240400000,505800000,229300000,4647300000,318400000,888300000,4387599999,1178899999,5594299999,10241599999,816900000,56900000,7.6e+08,2741900000,2741900000,3558800000,2822300000,2282100000,540200000,6048300000,9607100000,2311200000,-1666800000,-9900000,634500000,634500000,10241600000,-119300000,68799999,371800000,4499999.99999999,325799999,-27400000,2.5e+07,-2400000,-327800000,299999.999999993,-328100000,-6900000,-335600000,-12200000.9999999,-12200000.9999999,-12200000.9999999,8399999,3.226e+09,2499998.99999999,0.70565,-0.04954,-0.09784,-0.18802,-0.01165,-0.02096,1.30586,15.14121,0.31499,-0.4087,-0.4087,4.17712,2.17369,0.00856000000000001,-0.01785,0.00037,38.67858,-5.37914
"39","2022_Q2",177.349032258065,"Down",1247400000,-380600000,866800000,-949500000,-6.1e+08,-339500000,-82700000,-8500000,-6900000,-1600000,-91200000,-91200000,-12400000,-103600000,-103600000,-103600000,-103600000,3461400000,2272900000,1188500000,812100000,812100000,565600000,292700000,4839100000,324300000,898800000,4364200000,1160600000,5587300000,10426400000,670700000,95300000,575400000,2801600000,2801600000,7144400000,2763100000,2356600000,406500000,2763100000,9907500000,2033900000,-1503700000,-11300000,518900000,518900000,10426400000,-103600000,6.9e+07,363100000,260400000,588900000,-34600000,-177900000,-229900000,58700000,58700000,-230093204.402765,-2e+07,38700000,397700000,397700000,397700000,-13700000,3672100000,224500000,0.69489,-0.0663,-0.08305,-0.19965,-0.00994,-2.16699,0.67733,19.09327,0.35219,-0.35823,-0.35823,4.31328,1.79426,0.77628,-0.0149,0.03228,-15.37956,-2.54776
"40","2022_Q3",173.193125,"Down",1316900000,-405300000,911600000,-985500000,-626500000,-3.59e+08,-73900000,-6900000,-6800000,-1e+05,-80800000,-80800000,-12700000,-93500000,-93500000,-93500000,-93500000,3340300000,1922700000,1417600000,952200000,952200000,576100000,2.98e+08,4868600000,362700000,8.51e+08,4318200000,1.143e+09,5531900000,10400500000,774300000,120400000,653900000,2958200000,2958200000,7406400000,2876300000,2.491e+09,385300000,2876300000,10282700000,1745200000,-1597200000,-30200000,117800000,117800000,10400500000,-93500000,69700000,369100000,137300000,482600000,-80700000,-193600000,-274300000,-549900000,1e+05,-5.5e+08,-8600000,-558500000,-350200000,-350200000,-350200000,-4200000,3673900000,65100000,0.69223,-0.05612,-0.071,-0.79372,-0.00899,-0.69626,0.65735,87.28947,0.35324,-0.32164,-0.32164,4.5301,0.40523,0.22394,-0.01402,0.00976,-79.42857,-4.51421
