"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","total_otti_realized","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"22","2016_Q1",18.7060655737705,"Down",2.269e+09,1.748e+09,4.28e+08,9.3e+07,-2.8e+07,-2.8e+07,1.21e+08,-1.376e+09,-6.04e+08,-4.12e+08,-1.23e+08,-3.8e+07,-3.8e+07,-1.61e+08,-1.61e+08,9.1e+07,-7e+07,-7e+07,-7e+07,-7e+07,4.4699e+10,3.9572e+10,1.97e+08,4.252e+09,3.87e+08,6.531e+09,3.43e+08,5.98e+08,2.487e+09,5.5045e+10,3.6486e+10,2.2663e+10,3.671e+09,1.0152e+10,2.21e+09,4.243e+09,4.3289e+10,2.836e+09,-7.8e+07,9.313e+09,-3.15e+08,1.1756e+10,1.1756e+10,5.5045e+10,-7e+07,-7e+07,2.2e+07,-46999999.9999999,4.37e+08,3.42e+08,-4.1e+07,-4.1e+07,-9.1e+07,1.4e+07,-1.18e+08,-6.7e+07,-1e+06,-6.8e+07,1.56e+08,1.56e+08,-5e+06,1.51e+08,-1.01e+08,2.56e+09,2.04e+08,-0.05421,-0.03085,-0.00595,-0.00127,-2.91429,3.68229,0.04651,-0.25916,-0.25868,8.40059,43.52462,0.75528,0.24806,-5.00000000000014e-05,0.00371,-0.95714,-21.51485,-17.66667
"23","2016_Q2",19.7659375,"Up",2.195e+09,1.699e+09,4.35e+08,6.1e+07,-3.6e+07,-3.6e+07,9.7e+07,-1.408e+09,-3.07e+08,-3.81e+08,9.9e+07,-4.2e+07,-4.2e+07,5.7e+07,5.7e+07,9e+06,6.6e+07,6.6e+07,6.6e+07,6.6e+07,4.5371e+10,4.0252e+10,1.89e+08,4.255e+09,2.42e+08,6.843e+09,2.63e+08,6.22e+08,2.161e+09,5.5502e+10,3.7325e+10,2.3018e+10,3.807e+09,1.05e+10,2.708e+09,3.999e+09,4.4032e+10,2.829e+09,-7.3e+07,8.77e+09,-5.6e+07,1.147e+10,1.147e+10,5.5502e+10,6.6e+07,6.6e+07,2.1e+07,3.46e+08,-9.9e+07,3.34e+08,7.4e+07,-3.3e+07,-8.3e+07,0,-9e+06,-6.09e+08,0,-4.69e+08,-1.44e+08,-1.44e+08,-1e+06,-1.45e+08,1.2e+08,2.708e+09,8.6e+07,0.0451,0.03007,0.00575,0.00119,1.30303,3.83888,0.04879,0.24417,0.24363,8.12061,42.43433,0.31817,2.25305,0.01216,0.00155,9.22727,20.55,24.90909
"24","2016_Q3",20.2928125,"Up",2.348e+09,1.73e+09,5.02e+08,1.16e+08,1.6e+07,1.6e+07,1e+08,-1.339e+09,-3.05e+08,-3.78e+08,3.26e+08,-3.8e+07,-3.8e+07,2.88e+08,2.88e+08,-7.9e+07,2.09e+08,2.09e+08,2.09e+08,2.09e+08,4.6549e+10,4.1857e+10,1.23e+08,3.959e+09,2.89e+08,7.051e+09,2.76e+08,6.2e+08,2.121e+09,5.6906e+10,3.798e+10,2.2975e+10,3.865e+09,1.114e+10,2.708e+09,4.332e+09,4.502e+10,2.838e+09,-7.3e+07,8.911e+09,2.1e+08,1.1886e+10,1.1886e+10,5.6906e+10,2.09e+08,2.09e+08,1.8e+07,-50000000.0000001,1.02e+08,2.79e+08,-3.2e+07,-3.2e+07,-1.28e+08,2e+06,-1.58e+08,-6.8e+07,-1e+06,-68999999.9999999,51999999.9999999,5.2e+07,-5e+06,46999999.9999999,3.44e+08,2.708e+09,4.93e+08,0.13884,0.08901,0.01758,0.00367,2.35885,3.78765,0.04759,0.77264,0.7715,8.68022,43.94085,1.82255,0.25139,0.00487,0.00866,0.32536,7.03197999999999,7.42025
"25","2016_Q4",23.9319047619048,"Up",2.433e+09,1.767e+09,5.24e+08,1.42e+08,4.6e+07,4.6e+07,9.6e+07,-1.202e+09,-3.14e+08,-4.03e+08,5.14e+08,-3.9e+07,-3.9e+07,4.75e+08,4.75e+08,-1.32e+08,3.43e+08,3.43e+08,3.43e+08,3.43e+08,4.698e+10,4.2321e+10,1.16e+08,3.914e+09,2.9e+08,6.812e+09,2.87e+08,6.19e+08,1.871e+09,5.6859e+10,3.7753e+10,2.2672e+10,3.862e+09,1.1219e+10,2.709e+09,4.202e+09,4.4664e+10,2.846e+09,-7.3e+07,9.185e+09,2.37e+08,1.2195e+10,1.2195e+10,5.6859e+10,3.43e+08,3.43e+08,1.8e+07,3.8e+07,1.08e+08,5.07e+08,-2.9e+07,-2.9e+07,-4.08e+08,0,-4.37e+08,-6.9e+07,2e+06,-6.7e+07,3e+06,3e+06,-2e+06,1e+06,5.32e+08,2.709e+09,7.43e+08,0.21126,0.14098,0.02813,0.00603,2.16618,3.66248,0.04764,1.26802,1.26475,8.99445,45.08318,2.74677,0.25508,0.00725,0.01307,0.20117,4.54699,4.70623
"26","2017_Q1",27.6238709677419,"Up",2.39e+09,1.728e+09,5.27e+08,1.35e+08,2.4e+07,2.4e+07,1.11e+08,-1.334e+09,-3.09e+08,-3.9e+08,3.57e+08,-4e+07,-4e+07,3.17e+08,3.17e+08,-7.6e+07,2.41e+08,2.41e+08,2.41e+08,2.41e+08,4.542e+10,4.0905e+10,1.1e+08,3.814e+09,2.71e+08,6.625e+09,3.1e+08,6e+08,2.007e+09,5.5233e+10,3.6431e+10,2.2343e+10,3.762e+09,1.0326e+10,2.71e+09,4.123e+09,4.3264e+10,2.856e+09,-7.3e+07,9.359e+09,-1.73e+08,1.1969e+10,1.1969e+10,5.5233e+10,2.41e+08,2.41e+08,2e+07,-4.6e+07,8.1e+07,2.96e+08,-5.2e+07,-5.2e+07,-1.9e+08,-2.3283064365387e-10,-2.42e+08,-6.7e+07,-1e+06,-6.8e+07,-1.4e+07,-1.4e+07,-5e+06,-1.9e+07,3.77e+08,2.71e+09,4.82e+08,0.14937,0.10084,0.02014,0.00436,2,3.61467,0.04906,0.8916,0.88799,8.84203,44.28043,1.7832,0.24787,0.00558,0.00873,0.278009999999999,6.4695,6.83193
"27","2017_Q2",30.488253968254,"Up",2.33e+09,1.645e+09,5.45e+08,1.4e+08,3.6e+07,3.6e+07,1.04e+08,-1.293e+09,-3.05e+08,-3.46e+08,3.86e+08,-4.3e+07,-4.3e+07,3.43e+08,3.43e+08,-8.3e+07,2.6e+08,2.6e+08,2.6e+08,2.6e+08,4.5279e+10,4.098e+10,1.2e+08,3.568e+09,2.99e+08,6.539e+09,3.24e+08,6.26e+08,2.134e+09,5.5201e+10,3.6663e+10,2.226e+10,3.912e+09,1.0491e+10,2.56e+09,4.135e+09,4.3508e+10,2.844e+09,-6.5e+07,9.006e+09,-9.2e+07,1.1693e+10,1.1693e+10,5.5201e+10,2.6e+08,2.6e+08,2.1e+07,5.6e+07,-5.5e+07,2.82e+08,-3e+07,-3e+07,3.83e+08,1e+06,3.54e+08,-6.09e+08,0,-6.09e+08,2.7e+07,2.7e+07,1e+06,2.8e+07,4.07e+08,2.71e+09,4.05e+08,0.16567,0.11159,0.02224,0.00471,1.55769,3.72086,0.04909,0.96047,0.95694,8.60731,43.19542,1.49612,2.24972,0.01574,0.00734,2.34231,5.92383,6.24611
"28","2017_Q3",33.5338095238095,"Up",2.366e+09,1.734e+09,4.75e+08,1.57e+08,5e+07,5e+07,1.07e+08,-1.28e+09,-3.12e+08,-3.64e+08,4.1e+08,-4e+07,-4e+07,3.7e+08,3.7e+08,-9.8e+07,2.72e+08,2.72e+08,2.72e+08,2.72e+08,4.6268e+10,4.1749e+10,1.18e+08,3.755e+09,2.25e+08,6.832e+09,3.36e+08,6.47e+08,1.897e+09,5.6205e+10,3.711e+10,2.2179e+10,4.107e+09,1.0824e+10,2.561e+09,4.356e+09,4.4177e+10,2.85e+09,-6.5e+07,9.211e+09,3.2e+07,1.2028e+10,1.2028e+10,5.6205e+10,2.72e+08,2.72e+08,2.2e+07,-1e+07,-5.1e+07,2.33e+08,-3.8e+07,-3.8e+07,-2.21e+08,1.6e+07,-2.43e+08,-6.7e+07,-1e+06,-6.8e+07,-7.8e+07,-7.8e+07,4e+06,-7.4e+07,4.32e+08,2.711e+09,4.41e+08,0.17329,0.11496,0.02261,0.00484,1.62132,3.67285,0.04823,1.00332,1.00037,8.72741,44.36739,1.62671,0.24714,0.00603,0.00785,0.24632,5.75463,6.06341
"29","2017_Q4",35.5204761904762,"Up",2.398e+09,1.806e+09,5.09e+08,8.3e+07,-2.4e+07,-2.4e+07,1.07e+08,-1.48e+09,-3.09e+08,-3.81e+08,2.28e+08,-4.1e+07,-4.1e+07,1.87e+08,1.87e+08,-4.3e+07,1.44e+08,1.44e+08,1.44e+08,1.44e+08,4.6747e+10,4.209e+10,1.29e+08,3.806e+09,2.83e+08,6.626e+09,3.25e+08,6.43e+08,1.958e+09,5.6582e+10,3.7309e+10,2.2209e+10,4.06e+09,1.104e+10,2.707e+09,4.247e+09,4.4413e+10,2.85e+09,-6.1e+07,9.273e+09,1.07e+08,1.2169e+10,1.2169e+10,5.6582e+10,1.44e+08,1.44e+08,2.3e+07,8.4e+07,1.28e+08,3.79e+08,-1.2e+07,-1.2e+07,-3.2e+08,3e+06,-3.29e+08,-8.5e+07,-1.6e+07,4e+06,5.4e+07,5.4e+07,4e+06,5.8e+07,2.51e+08,2.857e+09,4.1e+08,0.09508,0.06005,0.01183,0.00254,2.84722,3.64968,0.05049,0.53097,0.52922,8.84218,44.87094,1.5118,0.31342,0.00405,0.00725,0.59028,10.25498,11.28947
"30","2018_Q1",35.9886885245902,"Up",2.448e+09,1.803e+09,5.05e+08,1.4e+08,3.1e+07,3.1e+07,1.09e+08,-1.257e+09,-3.07e+08,-4.37e+08,4.47e+08,-3.7e+07,-3.7e+07,4.1e+08,4.1e+08,-1.87e+08,2.23e+08,2.23e+08,2.23e+08,2.23e+08,4.687e+10,4.1487e+10,6.95e+08,3.849e+09,3.55e+08,6.553e+09,3.26e+08,6.34e+08,1.829e+09,5.6567e+10,3.7212e+10,2.2004e+10,4.029e+09,1.1179e+10,2.708e+09,4.253e+09,4.4323e+10,2.858e+09,-6e+07,9.414e+09,3.2e+07,1.2244e+10,1.2244e+10,5.6567e+10,2.23e+08,2.23e+08,2.2e+07,-2e+06,1.17e+08,3.6e+08,-2.2e+07,-2.2e+07,-1.84e+08,0,-2.06e+08,-8.1e+07,-1e+06,-8.2e+07,7.2e+07,7.2e+07,4.65661287307739e-10,7.2e+07,4.69e+08,2.858e+09,7.51e+08,0.1826,0.09109,0.01821,0.00394,3.36771,3.61998,0.05052,0.82167,0.81775,9.0199,45.11422,2.76713,0.29845,0.00537,0.01328,0.36323,5.33689,5.59955
"31","2018_Q2",34.23921875,"Down",2.535e+09,1.785e+09,4.9e+08,2.6e+08,1.2e+07,1.2e+07,2.48e+08,-1.339e+09,-2.96e+08,-5.19e+08,3.81e+08,-3.5e+07,-3.5e+07,3.46e+08,3.46e+08,-5.5e+07,2.91e+08,2.91e+08,2.91e+08,2.91e+08,4.5535e+10,4.0259e+10,7.7e+08,3.642e+09,2.82e+08,6.779e+09,3.46e+08,6.65e+08,4.042e+09,5.7649e+10,3.7106e+10,2.2067e+10,4.256e+09,1.0783e+10,2.679e+09,6.409e+09,4.6224e+10,2.856e+09,-5.9e+07,9.028e+09,-4e+08,1.1425e+10,1.1425e+10,5.7649e+10,2.91e+08,2.91e+08,2e+07,-1e+06,-9.2e+07,2.18e+08,-3.8e+07,-3.8e+07,5.12e+08,1.5e+07,4.89e+08,-6.24e+08,-7e+06,-7.81e+08,-7.4e+07,-7.4e+07,1e+06,-7.3e+07,4.01e+08,2.709e+09,3.26e+08,0.1503,0.11479,0.02547,0.00505,1.12027,4.04586,0.04699,1.07222,1.06828,9.34046,42.09654,1.20118,2.29919,0.01587,0.00565,2.14433,6.05237,6.37008
"32","2018_Q3",32.981746031746,"Down",2.574e+09,1.815e+09,5.06e+08,2.53e+08,-1e+06,-999999.999999996,2.54e+08,-1.327e+09,-3.59e+08,-5.23e+08,3.65e+08,-3.5e+07,-3.5e+07,3.3e+08,3.3e+08,-6e+07,2.7e+08,2.7e+08,2.7e+08,2.7e+08,4.5152e+10,3.9795e+10,7.73e+08,3.719e+09,2.88e+08,7.133e+09,3.47e+08,6.73e+08,4.265e+09,5.7858e+10,3.7067e+10,2.199e+10,4.41e+09,1.0667e+10,2.679e+09,6.667e+09,4.6443e+10,2.862e+09,-5.8e+07,9.216e+09,-6.05e+08,1.1415e+10,1.1415e+10,5.7858e+10,2.7e+08,2.7e+08,2.1e+07,-5.3e+07,-1.02e+08,1.36e+08,-3.8e+07,-3.8e+07,-11000000.0000001,-1e+06,-5e+07,-81999999.9999999,8e+06,-7.4e+07,1.2e+07,1.2e+07,-6e+06,6000000.00000001,3.86e+08,2.709e+09,3.06e+08,0.1418,0.1049,0.02365,0.00467,1.13333,4.06859,0.04682,0.99448,0.99119,9.48066,42.0442,1.12707,0.30203,0.00608,0.00529,0.3037,6.27202,6.63288
"33","2018_Q4",32.3868253968254,"Down",2.622e+09,1.853e+09,4.87e+08,2.82e+08,1.4e+07,1.4e+07,2.68e+08,-1.312e+09,-3.37e+08,-5.37e+08,4.36e+08,-3.4e+07,-3.4e+07,4.02e+08,4.02e+08,-6.6e+07,3.36e+08,3.36e+08,3.36e+08,3.36e+08,4.4929e+10,3.9628e+10,7.95e+08,3.638e+09,3.1e+08,6.578e+09,3.32e+08,6.54e+08,4.456e+09,5.7259e+10,3.6498e+10,2.1604e+10,4.289e+09,1.0605e+10,2.68e+09,6.571e+09,4.5749e+10,2.869e+09,-5.8e+07,9.456e+09,-7.57e+08,1.151e+10,1.151e+10,5.7259e+10,3.36e+08,3.36e+08,1.8e+07,1.56e+08,4e+06,5.14e+08,-1.1e+07,-1.1e+07,-3.5e+08,2e+06,-3.59e+08,-9.5e+07,-9e+06,-1.34e+08,2.1e+07,2.1e+07,1e+06,2.2e+07,4.54e+08,2.68e+09,5.13e+08,0.16629,0.12815,0.02919,0.00587,1.52679,3.97472,0.0468,1.23711,1.23303,9.6539,42.3785,1.88881,0.34978,0.00753,0.00896,0.28274,5.22026,5.43578
"34","2019_Q1",32.6539344262295,"Up",2.403e+09,1.859e+09,3.34e+08,2.1e+08,-7.7e+07,-7.7e+07,2.87e+08,-1.594e+09,-3.43e+08,-5.46e+08,-8e+07,-3.4e+07,-3.4e+07,-1.14e+08,-1.14e+08,3e+07,-8.4e+07,-8.4e+07,-8.4e+07,-8.4e+07,4.4486e+10,3.9546e+10,7.8e+08,3.321e+09,3.1e+08,6.749e+09,3.24e+08,6.33e+08,4.65e+09,5.7152e+10,3.6764e+10,2.1984e+10,4.183e+09,1.0597e+10,2.68e+09,6.491e+09,4.5935e+10,2.875e+09,-5.7e+07,9.277e+09,-8.78e+08,1.1217e+10,1.1217e+10,5.7152e+10,-8.4e+07,-83999999.9999999,2e+07,1.9e+08,2.33e+08,3.59e+08,-1.2e+07,-1.2e+07,-2.47e+08,2e+06,-2.57e+08,-9.5e+07,-1e+06,-96000000.0000001,6e+06,6e+06,-6e+06,3.72529029846191e-09,-59999999.9999999,2.68e+09,1.31e+08,-0.03329,-0.03496,-0.00749,-0.00147,-1.55952,4.09512,0.04689,-0.30939,-0.30803,8.85083,41.31492,0.4825,0.34991,0.000189999999999998,0.00229,-1.13095,-39.5,-29.625
"35","2019_Q2",34.787619047619,"Up",2.695e+09,1.803e+09,5.71e+08,3.21e+08,3.1e+07,3.1e+07,2.9e+08,-1.357e+09,-3.42e+08,-5.43e+08,4.53e+08,-3.4e+07,-3.4e+07,4.19e+08,4.19e+08,-7.7e+07,3.42e+08,3.42e+08,3.42e+08,3.42e+08,4.5639e+10,4.0553e+10,8.14e+08,3.409e+09,2.23e+08,6.712e+09,3.14e+08,6.64e+08,4.925e+09,5.8477e+10,3.7336e+10,2.1836e+10,4.422e+09,1.1078e+10,2.681e+09,7.005e+09,4.7022e+10,2.867e+09,-6.4e+07,8.976e+09,-3.24e+08,1.1455e+10,1.1455e+10,5.8477e+10,3.42e+08,3.42e+08,1.9e+07,-1.3e+07,-6.1e+07,2.87e+08,-8e+06,-8e+06,2.81e+08,1.6e+07,2.89e+08,-6.43e+08,-8e+06,-6.65e+08,-8.9e+07,-8.9e+07,2e+06,-8.7e+07,4.72e+08,2.681e+09,4.8e+08,0.16809,0.1269,0.02986,0.00585,1.40351,4.10493,0.04585,1.2592,1.25459,9.92268,42.17599,1.7673,2.36745,0.01684,0.00821,1.88012,5.20763,5.42605
"36","2019_Q3",36.8659375,"Up",2.61e+09,1.824e+09,5.15e+08,2.71e+08,-1.8e+07,-1.8e+07,2.89e+08,-1.352e+09,-3.38e+08,-5.44e+08,3.76e+08,-3.4e+07,-3.4e+07,3.42e+08,3.42e+08,-6.4e+07,2.78e+08,2.78e+08,2.78e+08,2.78e+08,4.6747e+10,4.1639e+10,8.3e+08,3.362e+09,2.71e+08,6.885e+09,3.02e+08,6.81e+08,5.077e+09,5.9963e+10,3.7914e+10,2.1729e+10,4.648e+09,1.1537e+10,2.678e+09,7.284e+09,4.7876e+10,2.873e+09,-6.5e+07,9.159e+09,1.2e+08,1.2087e+10,1.2087e+10,5.9963e+10,2.78e+08,2.78e+08,1.7e+07,2.1e+07,-89000000.0000001,2.27e+08,-6e+06,-6e+06,-50000000.0000001,0,-55999999.9999999,-94999999.9999999,-2e+06,-1.23e+08,4.8e+07,4.8e+07,1.86264514923096e-09,4.8e+07,3.93e+08,2.678e+09,3.62e+08,0.14406,0.10651,0.023,0.00464,1.30216,3.96095,0.04466,1.02356,1.02056,9.60972,44.50295,1.33284,0.34978,0.00622,0.00604,0.34173,6.12468,6.4016
"37","2019_Q4",35.02296875,"Down",2.685e+09,1.89e+09,4.87e+08,3.08e+08,7e+06,7e+06,3.01e+08,-1.614e+09,-3.45e+08,-5.67e+08,1.59e+08,-3.2e+07,-3.2e+07,1.27e+08,1.27e+08,-2e+07,1.07e+08,1.07e+08,1.07e+08,1.07e+08,4.7535e+10,4.2459e+10,8.41e+08,3.312e+09,3.4e+08,6.527e+09,2.93e+08,6.68e+08,5.087e+09,6.045e+10,3.8509e+10,2.1596e+10,4.608e+09,1.2305e+10,2.678e+09,7.14e+09,4.8327e+10,2.88e+09,-6.7e+07,9.171e+09,1.39e+08,1.2123e+10,1.2123e+10,6.045e+10,1.07e+08,1.07e+08,1.6e+07,-1.17e+08,4.6e+08,4.66e+08,-6e+06,-6e+06,-2.87e+08,0,-2.93e+08,-9.6e+07,-1e+06,-9.9e+07,7.4e+07,7.4e+07,-5e+06,6.9e+07,1.75e+08,2.678e+09,6.49e+08,0.05922,0.03985,0.00883,0.00177,6.06542,3.98639,0.0443,0.39396,0.39266,9.88586,44.63549,2.38954,0.35346,0.00336,0.01074,0.8972,13.36,14.7044
"38","2020_Q1",33.6033870967742,"Down",2.777e+09,1.911e+09,5.45e+08,3.21e+08,9e+06,9e+06,3.12e+08,-1.483e+09,-3.58e+08,-5.7e+08,3.66e+08,-3.1e+07,-3.1e+07,3.35e+08,3.35e+08,-6.2e+07,2.73e+08,2.73e+08,2.73e+08,2.73e+08,4.6685e+10,4.2207e+10,8.65e+08,3.613e+09,2.42e+08,6.628e+09,2.82e+08,6.62e+08,6.113e+09,6.0612e+10,3.8614e+10,2.172e+10,4.583e+09,1.2311e+10,2.679e+09,7.104e+09,4.8397e+10,2.886e+09,-7e+07,9.348e+09,5.1e+07,1.2215e+10,1.2215e+10,6.0612e+10,2.73e+08,2.73e+08,1.6e+07,-6e+07,-69000000.0000001,1.6e+08,-6e+06,-6e+06,2.62e+08,-1.23e+08,-1.65e+08,-9.5e+07,-1e+06,-1.01e+08,-1.06e+08,-1.06e+08,8e+06,-9.8e+07,3.82e+08,2.679e+09,3.69e+08,0.1318,0.09831,0.02235,0.0045,1.35165,3.9621,0.0442,1.00515,1.00183,10.22459,44.97423,1.35862,0.34978,0.00607,0.00609,0.34799,6.37958,6.65847
"39","2020_Q2",25.351746031746,"Down",2.291e+09,1.869e+09,3.29e+08,9.3e+07,-2.16e+08,-2.16e+08,3.09e+08,-1.425e+09,-3.44e+08,-5.8e+08,-5.8e+07,-3.1e+07,-3.1e+07,-8.9e+07,-8.9e+07,2.8e+07,-6.1e+07,-6.1e+07,-6.1e+07,-6.1e+07,4.4086e+10,4.0098e+10,7.99e+08,2.168e+09,8.57e+08,6.83e+09,2.71e+08,6.83e+08,5.678e+09,5.8405e+10,3.8351e+10,2.1872e+10,4.745e+09,1.1734e+10,2.68e+09,7.012e+09,4.8043e+10,2.87e+09,-7.2e+07,8.634e+09,-1.07e+09,1.0362e+10,1.0362e+10,5.8405e+10,-6.1e+07,-6.1e+07,1.6e+07,1.1e+07,2.46e+08,2.12e+08,-3e+06,-3e+06,-3.18e+08,1.469e+09,1.087e+09,-6.49e+08,-8e+06,-6.75e+08,6.24e+08,6.24e+08,-9e+06,6.15e+08,-4.2e+07,2.68e+09,1.73e+08,-0.02532,-0.02663,-0.00589,-0.00104,-2.83607,4.63646,0.04589,-0.22468,-0.22468,8.43831,38.16575,0.6372,2.39042,0.01007,0.00296,-10.63934,-43.40476,-31.43103
"40","2020_Q3",26.8675,"Up",2.766e+09,1.85e+09,5.34e+08,3.82e+08,6.9e+07,6.9e+07,3.13e+08,-1.642e+09,-3.42e+08,-5.69e+08,2.13e+08,-3.1e+07,-3.1e+07,1.82e+08,1.82e+08,-3.1e+07,1.51e+08,1.51e+08,1.51e+08,1.51e+08,4.7757e+10,4.2775e+10,8.59e+08,3.081e+09,5.86e+08,7.19e+09,2.64e+08,6.99e+08,5.599e+09,6.2095e+10,3.9862e+10,2.227e+10,4.996e+09,1.2596e+10,2.68e+09,7.908e+09,5.045e+10,2.879e+09,-7.1e+07,8.683e+09,1.54e+08,1.1645e+10,1.1645e+10,6.2095e+10,1.51e+08,1.51e+08,1.5e+07,-4.7e+07,3.19e+08,4.38e+08,-7e+06,-7e+06,2.75e+08,-9.66e+08,-6.12e+08,-1.01e+08,0,-1.01e+08,-2.75e+08,-2.75e+08,4e+06,-2.71e+08,2.28e+08,2.68e+09,5.71e+08,0.07701,0.05459,0.01297,0.00243,3.78146,4.33233,0.04316,0.55617,0.55291,10.18785,42.89134,2.10313,0.37201,0.00406,0.0092,0.66887,9.18421,9.83099
"41","2020_Q4",28.69421875,"Up",2.82e+09,1.953e+09,5.17e+08,3.5e+08,2.7e+07,2.7e+07,3.23e+08,-1.616e+09,-3.6e+08,-5.62e+08,2.82e+08,-3.2e+07,-3.2e+07,2.5e+08,2.5e+08,-3.7e+07,2.13e+08,2.13e+08,2.13e+08,2.13e+08,4.9006e+10,4.3901e+10,9.19e+08,3.098e+09,4.42e+08,6.897e+09,2.56e+08,6.97e+08,5.477e+09,6.2775e+10,4.0532e+10,2.2534e+10,5.02e+09,1.2978e+10,2.776e+09,7.446e+09,5.0754e+10,2.885e+09,-7.1e+07,8.796e+09,4.11e+08,1.2021e+10,1.2021e+10,6.2775e+10,2.13e+08,2.13e+08,1.5e+07,7.8e+07,4.52e+08,7.58e+08,-6e+06,-6e+06,-7.92e+08,9.5e+07,-8.82e+08,-1e+08,-1e+06,-2.5e+07,-1.49e+08,-1.49e+08,5e+06,-1.44e+08,2.97e+08,2.776e+09,7.8e+08,0.1,0.07553,0.01772,0.00339,3.66197,4.22211,0.04422,0.78366,0.78223,10.37528,44.22737,2.86976,0.36792,0.00499,0.01243,0.46948,7.85859,8.2766
"42","2021_Q1",36.5909836065574,"Up",2.931e+09,1.977e+09,5.55e+08,3.99e+08,6.6e+07,12525965.9764384,3.33e+08,-1.487e+09,-3.64e+08,-5.74e+08,5.06e+08,-2.8e+07,-2.8e+07,4.78e+08,4.78e+08,-9.1e+07,3.87e+08,3.87e+08,3.87e+08,3.87e+08,4.9225e+10,4.4631e+10,9.92e+08,3.602e+09,4.19e+08,7.064e+09,2.52e+08,7.08e+08,6.358e+09,6.4026e+10,4.1143e+10,2.2706e+10,5.119e+09,1.3318e+10,2.776e+09,7.4e+09,5.1319e+10,2.894e+09,-7.1e+07,9.081e+09,8.03e+08,1.2707e+10,1.2707e+10,6.4026e+10,3.87e+08,244777815.733973,1.4e+07,-1.17e+08,8.3e+07,3.67e+08,-7e+06,-4266782.09744888,1.33e+08,-5.78e+08,-2.98e+08,-1e+08,-1e+06,-1.01e+08,-3.2e+07,-3.2e+07,9e+06,-2.3e+07,5.2e+08,2.776e+09,6.87e+08,0.17264,0.13204,0.03046,0.00604,1.77519,4.03864,0.04336,1.42489,1.41914,10.79161,46.78571,2.52946,0.36819,0.00761,0.01073,0.258400000000001,4.53269,4.6581
"43","2021_Q2",40.9195238095238,"Up",2.866e+09,1.962e+09,5.04e+08,4e+08,5.7e+07,5.7e+07,3.43e+08,-1.506e+09,-3.59e+08,-5.95e+08,4.06e+08,-2.8e+07,-2.8e+07,3.78e+08,3.78e+08,-6.6e+07,3.12e+08,3.12e+08,3.12e+08,3.12e+08,4.7628e+10,4.3579e+10,9.84e+08,3.065e+09,5.88e+08,7.763e+09,2.44e+08,7.41e+08,6.749e+09,6.3713e+10,4.1147e+10,2.3056e+10,5.319e+09,1.2772e+10,2.777e+09,7.7e+09,5.1624e+10,2.877e+09,-5.9e+07,9.084e+09,1.87e+08,1.2089e+10,1.2089e+10,6.3713e+10,3.12e+08,3.12e+08,1.4e+07,-4.5e+07,-1.99e+08,8.2e+07,-3e+06,-3e+06,-1.74e+08,6.01e+08,4.08e+08,-3.1e+08,-8e+06,-3.21e+08,1.69e+08,1.69e+08,8862852.95276257,1.69e+08,4.2e+08,2.777e+09,2.84e+08,0.14166,0.10886,0.02581,0.0049,0.91026,4.27033,0.04359,1.14748,1.14328,10.54064,44.4612,1.0445,1.14013,0.00976,0.00446,0.99359,5.2119,5.39163
