"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",10.1375,"Up",49453000,-52997000,-3544000,-2673000,-2673000,-6217000,888000,888000,-5329000,-5329000,1315000,-4014000,-4014000,-4014000,-4014000,53975000,53975000,20450000,20450000,4027000,15445000,14356000,93897000,30541000,419978000,-389437000,29395000,4575000,59936000,153833000,20422000,7737000,12685000,12233000,12233000,32655000,29054000,23116000,21941000,1175000,5938000,29054000,61709000,495605000,-367083000,-24541000,92124000,92124000,153833000,-4014000,2673000,-1505000,3793000,947000,-2307000,-2307000,-2307000,-1770000,-2325000,-3685000,-3685000,-3685000,-3544000,0,-3373000,-0.07166,-0.12572,-0.08117,-0.04357,-0.02609,0.84031,2.87542,0.66985,0,-0.73935,-0.73935,9.10887,16.96854,-0.62128,0.32602,-0.01852,-0.02784,-0.44096,15.22997,8.68184
"32","2018_Q3",9.27111111111111,"Down",51169000,-49823000,1346000,-2735000,-2735000,-1389000,890999.999999999,891000,-498000.000000002,-476000.000000002,-58000,-534000,-533999.999999998,-534000,-534000,56751000,56751000,19931000,19931000,4101000,11604000,10515000,92387000,29239000,421211000,-391972000,29008000,4311000,58247000,150634000,20387000,7254000,13133000,11525000,11525000,31912000,28925000,22013000,20844000,1169000,6912000,28925000,60837000,495708000,-369400000,-24384000,89797000,89797000,150634000,-534000.000000002,2735000,-798000,4815000,6218000,-1390000,-1390000,-1390000,-1782000,-2052000,2776000,2776000,2776000,1346000,0,4829000,0.0263,-0.02715,-0.01044,-0.00595,-0.00355000000000002,-9.04307,2.89506,0.67749,0,-0.0979999999999994,-0.0979999999999999,9.39013,16.47883,0.88618,0.32702,0.01051,0.04067,-3.33708,-42.1627,40.8574499999993
"33","2018_Q4",9.1884126984127,"Down",49052000,-47641000,1411000,-2713000,-2713000,-1302000,862000,862000,-440000,-440000,-596000,-1036000,-1036000,-1036000,-1036000,58471000,58471000,19759000,19759000,4193000,7720000,6631000,90143000,27294000,421773000,-394479000,28249000,4123000,55543000,145686000,19106000,7064000,12042000,11095000,11095000,30201000,28444000,20911000,19746000,1165000,7533000,28444000,58645000,495842000,-372217000,-24226000,87041000,87041000,145686000,-1036000,2713000,-297000,3002000,4382000,-647000,-647000,-647000,-1784000,-2015000,1720000,1720000,1720000,1411000,0,4362000,0.02877,-0.02654,-0.02112,-0.0119,-0.00711,-4.21042,2.98477,0.67376,0,-0.19035,-0.19035,9.01278,15.99285,0.80147,0.32779,0.00648,0.03777,-1.72201,-41.4394,44.9086
"34","2019_Q1",8.50180327868853,"Down",52613000,-51036000,1577000,-2580000,-2580000,-1003000,1250000,1250000,247000,-16696000,-2941000,-19637000,-19637000,-19637000,-19637000,55313000,55313000,22057000,22057000,3912000,6112000,5023000,87394000,26261000,422966000,-396705000,8905000,5029000,35166000,122560000,20214000,6334000,13880000,11449000,11449000,31663000,40099000,33054000,31889000,1165000,7045000,40099000,71762000,494389000,-393582000,-37408000,50798000,50798000,122560000,-19637000,2580000,17981000,-753000,171000,-1312000,-1312000,-1312000,-1780000,-2017000,-3158000,-3158000,-3158000,1577000,0,2453000,0.02997,-0.01906,-0.37323,-0.38657,-0.16022,-0.12492,2.76013,1.41269,0,-3.61852,-3.61852,9.69503,9.36058,0.45202,0.328,-0.19645,0.02699,-0.09065,-35.07483,55.14756
"35","2019_Q2",8.40015873015873,"Down",46589000,-48055000,-1466000,-2462000,-2462000,-3928000,829000,829000,-3099000,-3099000,964000,-2135000,-2135000,-2135000,-2135000,50301000,50301000,19552000,19552000,3877000,7456000,6367000,81186000,23924000,423015000,-399091000,50322000,26555000,74246000,155432000,16985000,4725000,12260000,12153000,12153000,29138000,60717000,32159000,30997000,1162000,28558000,60717000,89855000,494389000,-378526000,-37345000,65577000,65577000,155432000,-2135000,2462000,-1204000,-1889000,-2766000,-180000,-180000,-180000,-1726000,-2066000,-5012000,-5012000,-5012000,-1466000,0,-4499000,-0.03147,-0.08431,-0.04583,-0.03256,-0.01374,2.10726,2.78626,1.37022,0,-0.39548,-0.39548,8.62989,12.14712,-0.83337,0.31971,-0.00324,-0.03562,-0.80843,34.31173,12.80575
"36","2019_Q3",8.03359375,"Down",47115000,-47695000,-580000,-2473000,-2473000,-3053000,1133000,1133000,-1920000,23988000,-7460000,16528000,16528000,16528000,16528000,52017000,52017000,20468000,20468000,3454000,5808000,5808000,81747000,21996000,423389000,-401393000,67247000,48297000,89243000,170990000,17976000,6062000,11914000,12844000,12844000,30820000,59573000,31263000,30105000,1158000,28310000,59573000,90393000,494389000,-363381000,-37283000,80597000,80597000,170990000,16528000,2473000,-20577000,3305000,1729000,-277000,-277000,1895000,-1721000,-1908000,1716000,1716000,1716000,-580000,0,9908000,-0.01231,-0.0648,0.3508,0.20507,0.09666,0.59947,2.6524,1.12154,0,3.06617,3.06617,8.74047,14.95184,1.83807,0.31927,0.13019,0.07069,0.10413,89.68448,17.038
"37","2019_Q4",7.5559375,"Down",43057000,-44647000,-1590000,-2429000,-2429000,-4019000,1161000,1161000,-2858000,-5813000,1808000,-4005000,-4005000,-4005000,-4005000,53249000,53249000,16895000,16895000,2614000,5470000,5470000,78228000,19237000,381662000,-362425000,48155000,47697000,67392000,145620000,20637000,5868000,14769000,11349000,11349000,31986000,58127000,30366000,29213000,1153000,27515000,58127000,90113000,494389000,-388342000,-37220000,55507000,55507000,145620000,-4005000,2429000,901000,4497000,3822000,-750000,-750000,-681000,-1717000,-1909000,1232000,1232000,1232000,-1590000,0,349000,-0.03693,-0.09334,-0.09302,-0.07215,-0.0275,-0.08714,2.44569,1.62345,0,-0.74495,-0.74495,8.0088,10.32456,0.06492,0.31937,-0.02013,0.00307,-0.42871,33.48994,13.24932
"38","2020_Q1",5.94564516129032,"Down",46802000,-46980000,-178000,-2114000,-2114000,-2292000,1046000,1046000,-1246000,-1368000,272000,-1096000,-1096000,-1096000,-1096000,48626000,48626000,18441000,18441000,2573000,5164000,5164000,74804000,18453000,343893000,-325440000,47788000,47419000,66241000,141045000,19440000,6103000,13337000,12098000,12098000,31538000,51770000,24386000,23039000,1347000,27384000,51770000,83308000,494389000,-391148000,-32061000,57737000,57737000,141045000,-1096000,2114000,-860000,-1738000,-1580000,-1208000,-1208000,-1208000,-1712000,-1835000,-4623000,-4623000,-4623000,-178000,0,-3396000,-0.0038,-0.04897,-0.02342,-0.01898,-0.00776999999999999,3.09854,2.37187,1.44289,0,-0.203680000000001,-0.203680000000001,8.69758,10.72971,-0.6311,0.31815,0.00562999999999998,-0.03101,-1.56204,273.17978,21.21553
"39","2020_Q2",3.8968253968254,"Down",40343000,-43279000,-2936000,-1829000,-1829000,-4765000,1352000,1352000,-3413000,-3408000,1787000,-1621000,-1621000,-1621000,-1621000,43934000,43934000,14946000,14946000,2677000,9249000,9249000,70806000,16841000,344046000,-327205000,48805000,48514000,65646000,136452000,16506000,4989000,11517000,14283000,14283000,30789000,51041000,22996000,21657000,1339000,28045000,51041000,81830000,494389000,-394482000,-31842000,54622000,54622000,136452000,-1621000,1829000,-831000,-1971000,-2594000,-385000,-385000,-385000,-1713000,-1713000,-4692000,-4692000,-4692000,-2936000,0,-7079000,-0.07278,-0.11811,-0.04018,-0.02968,-0.01188,4.36706,2.29972,1.49811,0,-0.30284,-0.30284,7.53708,10.20475,-1.32253,0.32003,0.00087,-0.067,-1.05676,14.9639,9.22015
"40","2020_Q3",3.98484375,"Up",35415000,-37927000,-2512000,-1866000,-1866000,-4378000,1331000,1331000,-3047000,-3047000,-367000,-3414000,-3414000,-3414000,-3414000,42310000,42310000,13019000,13019000,3060000,31325000,8550000,89714000,15181000,314418000,-299237000,25711000,25498000,40892000,130606000,16995000,4903000,12092000,14012000,14012000,31007000,49028000,21605000,20275000,1330000,27423000,49028000,80035000,494389000,-398752000,-31623000,50571000,50571000,130606000,-3414000,1866000,-752000,2531000,231000,-142000,-142000,-142000,-1713000,-1713000,-1624000,-1624000,-1624000,-2512000,0,244000,-0.07093,-0.12362,-0.0964,-0.06751,-0.02614,-0.0714699999999997,2.89335,1.58263,0,-0.63782,-0.63782,6.6164,9.44792,0.0455900000000002,0.32003,-0.01708,0.00244999999999998,-0.50176,16.84315,9.66423
"41","2020_Q4",3.76734375,"Down",37742000,-38282000,-540000,-1816000,-1816000,-2356000,2095000,2095000,-261000,-322000,224000,-98000,-98000,-98000,-98000,43174000,43174000,15174000,15174000,2062000,31119000,8344000,91529000,13479000,313667000,-300188000,24259000,24104000,37738000,129267000,18405000,5792000,12613000,14860000,14860000,33265000,46166000,20215000,18893000,1322000,25951000,46166000,79431000,494389000,-399706000,-31404000,49836000,49836000,129267000,-98000,1816000,-2041000,1406000,1083000,-118000,-118000,637000,-856000,-856000,864000,864000,864000,-540000,0,524000,-0.01431,-0.06242,-0.0026,-0.00197,-0.00076,-5.34694,2.75151,1.59385,0,-0.01831,-0.01831,7.05115,9.31061,0.0979,0.15992,0.0079,0.00546,-8.73469,79.95185,18.32513
"42","2021_Q1",5.8116393442623,"Up",40799000,-42460000,-1661000,-1760000,-1760000,-3421000,2236000,2236000,-1185000,-1782000,43000,-1739000,-1739000,-1739000,-1739000,42015000,42015000,16562000,16562000,1974000,27555000,4780000,88106000,11959000,312532000,-300573000,23150000,23010000,35109000,123215000,18588000,7759000,10829000,12896000,12896000,31484000,45323000,19892000,18520000,1372000,25431000,45323000,76807000,494389000,-402303000,-32235000,46408000,46408000,123215000,-1739000,1760000,-425000,194000,-210000,-242000,-242000,-92000.0000000001,-857000,-857000,-1159000,-1159000,-1159000,-1661000,0,-1752000,-0.04071,-0.08385,-0.04262,-0.03747,-0.01411,1.00748,2.79844,1.65504,0,-0.32489,-0.32489,7.62227,8.67017,-0.32732,0.16011,-0.00962,-0.0191,-0.49281,25.295,12.2815
"43","2021_Q2",5.30920634920635,"Down",36815000,-39378000,-2563000,-1138000,-1138000,-3701000,1254000,1254000,-2447000,-2446000,-319000,-2765000,-2765000,-2765000,-2765000,38132000,38132000,15503000,15503000,2366000,29087000,6312000,85088000,10932000,312578000,-301646000,22068000,21977000,3.3e+07,118088000,17905000,7381000,10524000,13760000,13760000,31665000,43276000,18479000,17119000,1360000,24797000,43276000,74941000,494389000,-405924000,-31875000,43147000,43147000,118088000,-2765000,1138000,-840000,-398000,-2865000,-163000,-163000,-162000,-856000,-856000,-3883000,-3883000,-3883000,-2563000,0,-2805000,-0.06962,-0.10053,-0.07511,-0.06408,-0.02341,1.01447,2.68713,1.73688,0,-0.51657,-0.51657,6.87796,8.06093,-0.52404,0.15992,-0.02209,-0.03246,-0.30958,14.87788,10.30316
"44","2021_Q3",4.741875,"Down",38668000,-40645000,-1977000,-1035000,-1035000,-3012000,1613000,1613000,-1399000,-1399000,-83000,-1482000,-1482000,-1482000,-1482000,37770000,37770000,14585000,14585000,2007000,27486000,5086000,81848000,9996000,312678000,-302682000,21414000,21320000,31410000,113258000,18128000,6621000,11507000,13137000,13137000,31265000,40825000,17062000,15718000,1344000,23763000,40825000,72090000,494563000,-408262000,-31690000,41168000,41168000,113258000,-1482000,1035000,-1142000,1809000,220000,-1e+05,-1e+05,275000,-856000,-857000,-362000,-362000,-362000,-1977000,0,-185000.000000001,-0.05113,-0.07789,-0.03833,-0.036,-0.01309,0.12483,2.61788,1.75112,0,-0.27687,-0.27687,7.22414,7.69121,-0.03456,0.15992,-0.00763,-0.00226,-0.5776,19.1047,12.53984
"45","2021_Q4",4.75234375,"Up",38311000,-39611000,-1300000,-1018000,-1018000,-2318000,1827000,1827000,-491000,-753000,2384000,1631000,1631000,1631000,1631000,34659000,34659000,14249000,14249000,2201000,27616000,5216000,78725000,9208000,312664000,-303456000,20524000,20422000,29732000,108457000,18348000,6197000,12151000,12139000,12139000,30487000,35667000,15653000,14317000,1336000,20014000,35667000,66154000,494563000,-407487000,-31330000,42303000,42303000,108457000,1631000,1018000,-782000,-3862000,-1995000,-260000,-43889.8197307194,-260000,-856000,-856000,-3111000,-3111000,-3111000,-1300000,0,-7806000,-0.03393,-0.0605,0.04257,0.03856,0.01504,-4.78602,2.58225,1.56381,0,0.30472,0.30472,7.1576,7.90342,-1.45839,0.15993,0.0319,-0.10012,0.52483,26.66077,14.95211
"46","2022_Q1",4.9391935483871,"Up",40580000,-40363000,217000,-875000,-875000,-658000,2638000,2638000,1980000,1980000,169000,2149000,2149000,2149000,2149000,32439000,32439000,16012000,16012000,2192000,25885000,3485000,76528000,8822000,312979000,-304157000,20102000,19845000,28924000,105452000,17326000,7821000,9505000,10592000,10592000,27918000,34957000,15624000,14012167.3795531,1336733.27486956,19333000,34957000,62875000,494621000,-406195000,-32406000,42577000,42577000,105452000,2149000,875000,-4137000,-7000,-1120000,-244000,-51338.976192276,-243000,-857000,-857000,-2220000,-2220000,-2220000,217000,0,-203000,0.00535000000000001,-0.01621,0.05296,0.05047,0.02038,-0.0944599999999998,2.74117,1.47674,0,0.4015,0.4015,7.58152,7.95462,-0.03793,0.16011,0.03877,-0.00262000000000001,0.39879,-149.48848,49.29939
"47","2022_Q2",4.85806451612903,"Down",36287000,-38053000,-1766000,-712000,-712000,-2478000,18000,18000,-2460000,-2460000,-184000,-2644000,-2644000,-2644000,-2644000,30892000,30892000,12758000,12758000,1781000,27133000,4733000,72564000,8091000,312959000,-304868000,19408000,19176000,27499000,100063000,15818000,5832000,9986000,10652000,10652000,26470000,34386000,15702000,14365000,1337000,18684000,34386000,60856000,494563000,-409695000,-32218000,39207000,39207000,100063000,-2644000,712000,283000,1185000,-464000,-227000,-227000,-227000,-856000,-856000,-1547000,-1547000,-1547000,-1766000,0,-624000,-0.04867,-0.06829,-0.07286,-0.06744,-0.02642,0.23601,2.74137,1.55217,0,-0.49398,-0.49398,6.77946,7.325,-0.11658,0.15993,-0.0243,-0.00848,-0.32375,17.49264,12.46651
"48","2022_Q3",5.04453125,"Up",37573000,-39033000,-1460000,-716000,-716000,-2176000,28000,28000,-2148000,-2250000,-165000,-2415000,-2415000,-2415000,-2415000,26560000,26560000,13600000,13600000,1770000,26733000,4333000,68663000,8091000,313675000,-305584000,18065000,17855000,26156000,94819000,15270000,5873000,9397000,10683000,10683000,25953000,32800000,15780000,14456000,1324000,17020000,32800000,58753000,494563000,-412967000,-32087000,36066000,36066000,94819000,-2415000,716000,339000,-1442000,-2802000,-673000,-673000,-673000,-857000,-857000,-4332000,-4332000,-4332000,-1460000,0,-3410000,-0.03886,-0.05791,-0.06427,-0.06696,-0.02547,1.41201,2.64567,1.62904,0,-0.45119,-0.45119,7.01972,6.73817,-0.63709,0.16011,-0.02262,-0.04952,-0.35487,18.19178,12.20588
