"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q3",39.8479365079365,"Down",765738000,-520571000,245167000,-127210000,-39928000,-87282000,117957000,-45812000,-45812000,72145000,-2887000,69258000,-10368000,58890000,58890000,58836000,58836000,79463000,79463000,329256000,329256000,80503000,80503000,489222000,3103331000,2910594000,91566000,2739303000,51072000,6013925000,6503147000,360854000,130228000,230626000,33264000,394118000,3187788000,239149000,160809000,3426937000,3821055000,2530956000,2653301000,2682092000,6503147000,58890000,39928000,3850000,42581000,144964000,-91228000,-91228000,-91228000,-3835000,-95063000,-23246000,-2572000,-25818000,24083000,24083000,21655000,157885000,3221052000,119606000,0.32017,0.15404,0.07684,0.02194,0.00905,2.03287,1.24131,1.42465,0.49531,0.67393,0.67267,8.77104,30.39187,1.37001,0.00958,0.01947,19.89796,26.63334
"32","2018_Q4",34.6114285714286,"Down",760916000,-526753000,234163000,-130123000,-39659000,-90464000,104040000,-46651000,-46651000,57389000,-2353000,55036000,-8757000,46279000,46279000,46232000,46232000,48928000,48928000,345659000,345659000,96146000,96146000,490733000,3126642000,2912209000,91259000,2729941000,54295000,6038851000,6529584000,357479000,133914000,223565000,33264000,390743000,3181962000,247932000,165663000,3429894000,3820637000,2536251000,2680249000,2708947000,6529584000,46279000,39659000,12089000,-27182000,68869000,-88434000,-88434000,-88434000,-311000,-88745000,-8246000,-1939000,-10185000,-30061000,-30061000,-30535000,143699000,3215226000,36840000,0.30774,0.13673,0.06076,0.01707,0.00708,0.79685,1.2559,1.41038,0.49241,0.52931,0.52814,8.71171,30.68613,0.42178,0.00749,0.00597,22.03424,30.43347
"33","2019_Q1",28.3280327868852,"Down",-364200000,287379000,-76821000,39248000,39018000,230000,-37573000,-46828000,-46828000,-84401000,-20586000,-104987000,6432000,-98555000,-331529000,-331637000,-331637000,50510000,50510000,318087000,318087000,81820000,81820000,450417000,3107766000,2614321000,88990000,2396412000,64927000,5722087000,6172504000,382265000,117740000,264525000,34112000,416377000,3159375000,234639000,154267000,3394014000,3810391000,2542861000,2333307000,2362113000,6172504000,-98555000,-39018000,32853000,41930000,127897000,-3198000,-3198000,-3198000,8307000,-98470000,-30166000,6666000,-26593000,2834000,-17484000,-18736000,-76591000,3193487000,-44291000,0.21093,0.10317,0.91059,-0.1404,-0.05373,0.13355,1.08175,1.61313,0.51737,-3.79517,-3.81833,-4.16781,26.70176,-0.50685,-0.05728,-0.00765,-41.03585,-83.64988
"34","2019_Q2",32.3295238095238,"Up",760617000,-536850000,223767000,-134445000,-40580000,-93865000,89322000,-48130000,-48130000,41192000,-4321000,36871000,-7360000,29511000,29511000,29470999.9999999,29471000,43684000,43684000,331851000,331851000,76979000,76979000,452514000,3173052000,3159951000,89796000,2441999000,578416000,6333003000,6785517000,360184000,116666000,243518000,36503000,424671000,3221709000,703863000,626941000,3925572000,4350243000,2547635000,2403343000,2435274000,6785517000,29511000,40580000,10510000,-36928000,43673000,-69248000,-69248000,-69248000,-453000,-110101000,63327000,-4824000,58503000,-7925000,-7925000,-6826000,129902000,3258212000,31086000,0.29419,0.11743,0.03875,0.0121,0.00434,1.0548,1.06556,1.78635,0.48017,0.33679,0.336069999999999,8.69227,27.46521,0.35525,0.00461000000000002,0.00486,24.74579,35.98809
"35","2019_Q3",30.450625,"Down",789362000,-539981000,249381000,-135754000,-41077000,-94677000,113627000,-48610000,-48610000,65017000,-5212000,59805000,-11604000,48201000,48201000,48140000,48140000,43541000,43541000,346489000,346489000,81464000,81464000,471494000,3164076000,3154848000,89613000,2435025000,553841000,6318924000,6790418000,364215000,115651000,248564000,38895000,430688000,3206868000,698309000,615213000,3905177000,4335865000,2551529000,2422346000,2454553000,6790418000,48201000,41077000,7850000,-12115000,85013000,-69880000,-69880000,-69880000,6499000,-67881000,-14819000,-1136000,-15955000,1177000,1177000,-143000,154704000,3245763000,84313000,0.31593,0.14395,0.06099,0.01961,0.00709,1.75141,1.09475,1.76646,0.47799,0.54942,0.548,9.00903,27.64636,0.96227,0.00752,0.01318,20.69903,28.18188
"36","2019_Q4",31.33515625,"Up",777251000,-541677000,235574000,-133595000,-40620000,-92975000,101979000,-46644000,-46644000,55335000,-5775000,49560000,-6837000,42723000,42723000,42566000,42566000,92900000,92900000,350225000,350225000,93788000,93788000,536913000,3131419000,3059793000,89028000,2424241000,543153000,6191212000,6728125000,388909000,131472000,257437000,41287000,458206000,3133635000,683229000,604179000,3816864000,4275070000,2555685000,2420691000,2453055000,6728125000,42723000,40620000,14482000,-12982000,84843000,-50124000,-63594000,-63594000,90914000,40790000,-73246000,-1461000,-74707000,50926000,50926000,49359000,142599000,3174922000,86330000,0.30309,0.1312,0.05476,0.01735,0.00633,2.02814,1.17177,1.74275,0.47189,0.48564,0.48439,8.86777,27.61801,0.98495,0.00674,0.01368,21.61321,30.22212
"37","2020_Q1",28.6296774193548,"Down",-318849000,271680000,-47169000,56335000,34354000,21981000,9166000,-43941000,-43941000,-34775000,-33066000,-67841000,716000,-67125000,-10313000,-11254000,-11254000,99535000,99535000,288863000,288863000,153813000,64967000,542211000,1499587000,4837344000,68826000,2085104000,2680075000,6336931000,6879142000,253086000,90257000,162829000,43679000,463576000,3105420000,771614000,679879000,3877034000,4340610000,2558519000,2505381000,2538532000,6879142000,-67125000,-34354000,28674000,42705000,119375000,-31662000,-29957000,-29957000,21023000,-63949000,-28246000,1250000,-29468000,25958000,1301000,6635000,-25188000,3149099000,-14861000,0.14794,-0.02875,0.0353,-0.00443,-0.00164,1.32051,1.16963,1.70989,0.45777,-0.12836,-0.12811,-3.63672,28.57577,-0.1695,-0.00174,-0.0023,-121.0721,332.70391
"38","2020_Q2",24.96,"Down",509217000,-349351000,159866000,-90991000,-22835000,-68156000,68875000,-42565000,-42565000,26310000,-1526000.00000001,24784000,-5806000,18978000,34067000,33463000,33463000,81004000,81004000,339505000,339505000,82443000,82443000,502952000,3151739000,3063304000,89052000,2426700000,544245000,6215043000,6717995000,353841000,134693000,219148000,196072000,579584000,2944820000,695933000,601513000,3640753000,4220337000,2562096000,2464167000,2497658000,6717995000,18978000,22835000,19185000,-44412000,45546000,-58389000,-58427000,-58427000,-1671000,-74161000,-10621000,-2089000,-13430000,-42045000,-61637000,-62780000,91710000.0000001,3140892000,-5285000,0.31394,0.13526,0.06571,0.0134,0.00498,-0.15794,0.86778,1.68972,0.46753,0.38128,0.38039,5.80205,28.07688,-0.06022,0.00528,-0.000829999999999999,33.36482,44.42669
"39","2020_Q3",29.0309375,"Up",491475000,-336396000,155079000,-89502000,-23331000,-66171000,65577000,-20448000,-38518000,45129000,-8279000,36850000,-9177000,27673000,41714000,41079000,41079000,211939000,211939000,325507000,325507000,73495000,73495000,610941000,3160784000,3061503000,89047000,2425372000,543810000,6222287000,6833228000,448861000,118799000,330062000,48465000,527364000,3078445000,690142000,590771000,3768587000,4295951000,2567929000,2503338000,2537277000,6833228000,27673000,23331000,22436000,113248000,219396000,-55819000,-55824000,-55824000,-3176000,-65768000,-10621000,-11188000,-22579000,131049000,106373000,106259000,88908000,3126910000,155514000,0.31554,0.13343,0.08358,0.01619,0.00601,3.78573,1.15848,1.69313,0.4576,0.46749,0.46425,5.59314,28.48878,1.7698,0.00646,0.02447,32.78637,44.45112
"40","2020_Q4",39.858125,"Up",547961000,-351129000,196832000,-92345000,-24132000,-68213000,104487000,-55385000,-37315000,49102000,-3024000,46078000,-9191000,36887000,37561000,36998000,36998000,338702000,338702000,333231000,333231000,84477000,84477000,756410000,3253720000,3095015000,90023000,2460722000,541028000,6348735000,7105145000,520048000,130395000,389653000,50858000,601339000,3067243000,775377000,631167000,3842620000,4443959000,2573466000,2606639000,2661186000,7105145000,36887000,24132000,33733000,68362000,207298000,-54524000,-54553000,-54553000,-5887000,-69725000,-10621000,-1198000,-12555000,125018000,118718000,120463000,128619000,3118101000,151648000,0.35921,0.19068,0.06752,0.0139,0.00521000000000001,4.09882,1.25788,1.66992,0.43885,0.42086,0.41622,6.23313,29.65089,1.72502,0.00564,0.02314,21.60955,26.60043
"41","2021_Q1",54.1088524590164,"Up",541276000,-362738000,178538000,-51871000,-24958000,-26913000,126667000,-39707000,-39707000,86960000,-10875000,76085000,-16432000,59653000,-782541000,-783672000,-783672000,378697000,378697000,273551000,273551000,1871147000,61332000,2523395000,1622896000,2353071000,68535000,2105264000,176063000,3975967000,6499362000,391180000,87815000,303365000,153478000,1308185000,2968948000,267458000,217441000,3236406000,4544591000,2581207000,1899456000,1954771000,6499362000,59653000,24958000,25919000,25926000,186567000,-56140000,-56160000,-56160000,-2630999.99999994,-72185000,5787000,-7698000,-2935000,111447000,86964000,90563000,151625000,3122426000,137843000,0.32985,0.23402,-1.44782,-0.4009,-0.12058,-0.17589,1.92893,2.32487,0.48042,-8.91012,-8.80204,6.15415,21.59626,1.56723,-0.14663,0.02579,18.09549,21.66096
"42","2021_Q2",62.7088888888889,"Up",551199000,-366684000,184515000,-96904000,-24894000,-72010000,87611000,-29027000,-29027000,58584000,-29260000,29324000,-6204000,23120000,10479000,9717000,9717000,178915000,178915000,276041000,276041000,73269000.0000002,73269000,528225000,1654732000,2343958000,68627000,2105264000,166890000,3998690000,4526915000,380372000,91505000,288867000,11911000,410979000,1484212000,277025000,208347000,1761237000,2172216000,2598668000,2297999000,2354699000,4526915000,23120000,24894000,39029000,-11259000,76037000,-58548000,-58682000,-58682000,1426151000,1367603000,-1639603000,-7886000,-1647489000,-203849000,-203849000,-199782000,112505000,1496123000,48902000,0.33475,0.15895,0.0176300000000003,0.00413,0.00215000000000003,5.03262,1.28528,0.9225,0.3305,0.110120000000004,0.108039999999997,6.24645,26.04201,0.55418,0.00235000000000002,0.01185,11.708,15.03473
"43","2021_Q3",63.12546875,"Up",582156000,-376182000,205974000,-99401000,-25650000,-73751000,106573000,-16687000,-16687000,89886000,-24889000,64997000,-19333000,45664000,45664000,44514000,44514000,185546000,185546000,286522000,286522000,103558000,103558000,575626000,1651274000,2337101000,68463000,2103503000,161990000,3988375000,4564001000,392680000,87223000,305457000,13281000,425215000,1443192000,280614000,207470000,1723806000,2149021000,2612741000,2356586000,2414980000,4564001000,45664000,25650000,36648000,-17485000,90477000,-53506000,-54271000,-54271000,3227000,-50279000,-40987999.9999998,7421000,-33567000,6631000,6631000,6631000,132223000,1456473000,80565000,0.35381,0.18307,0.07646,0.01843,0.00975,1.80988,1.35373,0.88987,0.31912,0.50445,0.49492,6.59727,26.70595,0.913,0.01072,0.0194,9.612,11.92541
"44","2021_Q4",59.62859375,"Down",587559000,-386762215.898111,210512034.050648,-502248000,-27805000,-474443000,85311000,-24580800.6171018,-25096241.1361818,85311000,-15073575.1484227,85311000,-17411000,67900000,67900000,67900000,66126000,196313000,196313000,282161000,282161000,88685000.0000001,88685000,567159000,1665025000,2362543000,69366000,2103503000,186562000,4027568000,4594727000,367292000,85924000,281368000,15938000,403292000,1413407000,281508000,207835000,1694915000,2098207000,2624475000,2434446000,2496520000,4594727000,67900000,27805000,11395000,3017000,110117000,-42778000,-45706698.4351343,-45706698.4351343,-31448000,-74226000,-27657000,2533000,-25124000.0000002,10767000,10767000,10767000,113116000,1429345000,90766000,0.352965124795285,0.1452,0.11254,0.02649,0.01439,1.37262,1.40632,0.84045,0.31108,0.74564,0.72984,6.62531,27.45079,1.02348,0.01572,0.02157,10.9006,14.45338
"45","2022_Q1",58.0932258064516,"Down",593480000,-397551982.844252,206011403.486776,308397000,-28368000,336765000,134979000,-31279000,-31279000,103700000,-7572000,96128000,-24609000,71519000,71519000,68504000,70278000,133813000,133813000,281332000,281332000,79886000,79886000,495031000,1771159000,2501888000,70145000,2199937000,228726000,4273047000,4768078000,362919000,98575000,264344000,18594000,404861000,1478626000,301714000,227346000,1780340000,2185201000,2637240000,2517489000,2582877000,4768078000,71519000,28368000,15735000,-17776000,97846000,-86486000,-41452944.4587218,-41452944.4587218,36000,-225465000,67343999.9999999,-2225000,65119000,-62500000,-62500000,-62500000,163347000,1497220000,83694000,0.341985261233363,0.22744,0.11842,0.02721,0.01474,1.1909,1.22272,0.84603,0.31401,0.78264,0.76602,6.6092,28.03565,0.93205,0.01604,0.0191,8.34669,10.10088
"46","2022_Q2",69.761935483871,"Up",616653000,-407621000,209032000,-110351000,-28926000,-81425000,98681000,-15787000,-15787000,82894000,-3582000,79312000,-17402000,61910000,61910000,60837000,60837000,140367000,140367000,299022000,299022000,90710000,90710000,530099000,1795791000,2508749000,70319000,2200659000,234724000,4304540000,4834639000,364331000,104209000,260122000,21250000,410751000,1463848000,315226000,237622000,1779074000,2189825000,2633424000,2574510000,2644814000,4834639000,61910000,28926000,11524000,-25573000,76787000,-49233000,-50527000,-50527000,-460000,-49693000,-12656000,-7884000,-20540000,6554000,6554000,6554000.00000001,127607000,1485098000,70203000,0.33898,0.16003,0.09866,0.023,0.01258,1.15395,1.29056,0.82797,0.30718,0.68341,0.66826,6.92713,28.92058,0.78862,0.01369,0.01579,10.53807,13.62705
"47","2022_Q3",79.92609375,"Up",651719000,-416042000,235677000,-105515000,-29128000,-76387000,130162000,-16565000,-16565000,113597000,-3940000,109657000,-27725000,81932000,81932000,80079000,80079000,128368000,128368000,300313000,300313000,89351000,89351000,518032000,1857295000,2507312000,70214000,2205307000,228776000,4364607000,4882639000,395225000,111479000,283746000,21250000,441653000,1384073000,318396000,236118000,1702469000,2144122000,2641877000,2663042000,2738517000,4882639000,81932000,29128000,12972000,25170000,149202000,-81537000,-81917000,-81917000,-4556000,-86093000,-80313000,5205000,-75108000,-11999000,-11999000,-11999000,159290000,1405323000,130648000,0.36162,0.19972,0.12287,0.02924,0.0164,1.63149,1.17294,0.78295,0.28782,0.8925,0.87544,7.2636,29.68038,1.45611,0.01795,0.02928,8.01654,9.81051
