"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",7.09063492063492,"Down",231123000,-102137000,128986000,-160096000,-77328000,-80022000,-31110000,-2430000,-1787000,-643000,-33540000,-33540000,1617000,-31923000,-31923000,-31923000,-31923000,127108000,127108000,154906000,154906000,83377000,24772000,24772000,390163000,68565000,268180000,92925000,44267000,336745000,726908000,135667000,73553000,62114000,188181000,113664000,74517000,346274000,108203000,38693000,64347000,268915000,615189000,921830000,-808833000,-1278000,111719000,111719000,726908000,-31923000,4968000,7777000,14828000,-4350000,-5888000,-35422000,-1578000,-1578000,13829000,-25943000,-25943000,37000,-25906000,-26142000,183138000,-18819000,0.55808,-0.1346,-0.13812,-0.28574,-0.04392,0.58951,1.12675,5.50657,0.25194,-0.28096,-0.28096,2.03416,0.98326,-0.16563,-0.0792,-0.04669,-2.14329,-1.80103
"31","2018_Q4",5.80079365079365,"Down",262004000,-119021000,142983000,-151204000,-83947000,-65156000,-8221000,-3663000,-3304000,-359000,-11884000,-11884000,-1729000,-13613000,-13613000,-13613000,-13613000,103177000,103177000,188408000,188408000,77756000,26659000,26659000,3.96e+08,86487000,257998000,85406000,43348000,344485000,740485000,144203000,90800000,53403000,194783000,117741000,77042000,363706000,109896000,38828000,65440000,263854000,627560000,935842000,-822446000,-471000,112925000,112925000,740485000,-13613000,7324000,15700000,-25389000,-15978000,-8690000,-8690000,6193000,6193000,930000,-23738000,-23738000,-193000,-23931000,-897000,178678000,-33247000,0.54573,-0.03138,-0.05196,-0.12055,-0.01838,2.4423,1.08879,5.55732,0.2413,-0.11831,-0.11831,2.27713,0.98145,-0.28896,-0.03391,-0.08281,-84.17057,-9.18392
"32","2019_Q1",7.29639344262295,"Up",278300000,-128133000,150167000,-153538000,-89074000,-62210000,-3371000,-3903000,-4417000,514000,-7274000,-7274000,1642000,-5632000,-5632000,-5632000,-5632000,121139000,121139000,212423000,212423000,63867000,30484000,30484000,427913000,78519000,263816000,77092000,47642000,342335000,770248000,138847000,75689000,63158000,212018000,130865000,81153000,359872000,108895000,43660000,59100000,297644000,657516000,942513000,-828078000,-1703000,112732000,112732000,770248000,-5632000,8054000,17600000,751000.000000007,20773000,-18412000,-17813000,-1316000,-1316000,15532000,18492000,18492000,-530000,17962000,4683000,197756000,-14620000,0.53959,-0.01211,-0.02024,-0.04996,-0.00731,2.59588,1.18907,5.83256,0.25674,-0.04857,-0.05131,2.3999,0.97214,-0.12607,-0.01343,-0.03486,16.36067,-22.72827
"33","2019_Q2",6.60539682539683,"Down",239886000,-107815000,132071000,-137089000,-80353000,-54595000,-5018000,-2645000,-3132000,487000,-7663000,-7663000,-1402000,-9065000,-9065000,-9065000,-9065000,140167000,140167000,164683000,164683000,55580000,35371000,35371000,395801000,76224000,259859000,70023000,50754000,336083000,731884000,92861000,43873000,48988000,220171000,137991000,82180000,322040000,116215000,45874000,64107000,292713000,614753000,956474000,-836646000,-2697000,117131000,117131000,731884000,-9065000,6783000,15057000,21555000,34330000,-7417000,-6690000,7137000,7137000,-8179000,19461000,19461000,-433000,19028000,1765000,185506000,17305000,0.55056,-0.02092,-0.03779,-0.07739,-0.01239,-1.90899,1.22904,5.24842,0.25346,-0.07724,-0.07724,2.04388,0.99798,0.14744,-0.02164,0.04132,25.68782,-9.03527
"34","2019_Q3",7.23453125,"Up",252680000,-111381000,141299000,-136548000,-82228000,-52745000,4751000,-2822000,-2423000,-399000,1929000,1929000,5270000,7199000,7199000,7199000,7199000,140643000,140643000,144909000,144909000,58297000,39088000,39088000,382937000,74499000,254513000,63544000,53170000,329012000,711949000,94285000,34977000,59308000,208274000,138239000,70035000,311568000,110264000,47854000,60711000,284510000,596078000,963043000,-829447000,-2725000,115871000,115871000,711949000,7199000,6693000,9827000,3562000,27281000,-3723000,-3723000,-17132000,-2132000,-23150000,408000,408000,68000,475999.999999996,11444000,183255000,6013000,0.5592,0.0188,0.02849,0.06213,0.01011,0.83525,1.22906,5.14432,0.2574,0.06125,0.06022,2.14966,0.98577,0.05116,0.01758,0.01469,3.72352,8.96906
"35","2019_Q4",7.0115625,"Down",250864000,-111945000,138919000,-141173000,-87800000,-52081000,-2254000,-2801000,-2368000,-433000,-5055000,-5055000,-1877000,-6932000,-6932000,-6932000,-6932000,156813000,156813000,141455000,141455000,57645000,34684000,34684000,390597000,73057000,247856000,57362000,51917000,320913000,711510000,95198000,49143000,46055000,198540000,136452000,62088000,302747000,110802000,51269000,57689000,282795000,585542000,979896000,-836379000,-2549000,125968000,125968000,711510000,-6932000,6550000,16851000,1422000,17891000,-5041000,-5041000,8039000,8039000,3151000,16001000,16001000,169000,16170000,4296000,181002000,2554000,0.55376,-0.00898,-0.02763,-0.05503,-0.00974,-0.36844,1.29018,4.64834,0.25439,-0.05877,-0.05979,2.12696,1.06802,0.02165,-0.01659,0.00611,5.63059,-10.73159
"36","2020_Q1",5.54903225806452,"Down",252359000,-113413000,138946000,-142617000,-90568000,-50711000,-3671000,-2880000,-2442000,-438000,-6551000,-15085000,-1970000,-17055000,-17055000,-17055000,-17055000,169607000,169607000,174414000,174414000,63589000,34379000,34379000,441989000,73554000,241331000,51112000,51642000,314885000,756874000,132108000,65704000,66404000,214910000,144230000,70680000,356029000,115119000,59012000,54150000,284858000,640887000,986894000,-853434000,-2473000,115987000,115987000,756874000,-17055000,32847000,-9613000,19264000,25443000,-6549000,-6354999.99999999,-1560000,-1560000,-6264000,12824000,12824000,-30000,12794000,29176000,178750000,43861000,0.55059,-0.01455,-0.06758,-0.14704,-0.02253,-2.57174,1.24144,5.52551,0.23617,-0.14337,-0.14337,2.12139,0.97502,0.36871,-0.04161,0.10702,0.31337,-2.4906
"37","2020_Q2",3.52619047619048,"Down",255506000,-118263000,137243000,-147385000,-86339000,-59116000,-10142000,-3939000,-4497000,558000,-14081000,-36143000,-1595000,-37738000,-37738000,-37738000,-37738000,161074000,131369000,152277000,152277000,82394000,38963000,38963000,434708000,70613000,546471000,96087000,117543000,617084000,1051792000,127984000,63519000,64465000,266944000,182149000,84795000,411451000,193086000,91508000,99458000,546492000,957943000,1003392000,-891172000,-3371000,93849000,93849000,1051792000,-37738000,7101000,26999000,3436000,-202000,-5239000,-209194000,4136000,4136000,171387000,-38009000,-38009000,-229000,-38238000,-3041000,369929000,-3249000,0.53714,-0.03969,-0.1477,-0.40211,-0.03588,0.08609,1.05652,10.20728,0.35171,-0.31389,-0.31389,2.12521,0.7806,-0.02702,-0.05745,-0.00494999999999998,-68.67971,-20.59308
"38","2020_Q3",4.34796875,"Up",267472000,-118801000,148671000,-148291000,-90534000,-55380000,380000,-6505000,-5757000,-748000,-6125000,-21741000,-1797000,-23538000,-23538000,-23538000,-23538000,140414000,140414000,159790000,159790000,79664000,37744000,37744000,417612000,67938000,529103000,86740000,112179000,597041000,1014653000,137922000,65995000,71927000,268221000,180935000,87286000,422957000,191853000,96902000,92837000,540769000,963726000,1008301000,-914710000,-2485000,50927000,50927000,1014653000,-23538000,7150000,30808000,7693000,22113000,-4199000,25546999.9999999,-26409000,-1230000,-38651000,9009000.00000001,9009000.00000001,36000.0000000001,9045000,7530000,365730000,12821000,0.55584,0.00142,-0.088,-0.46219,-0.0232,-0.54469,0.98736,18.92368,0.36045,-0.19688,-0.19688,2.23721,0.42597,0.10724,-0.03868,0.02107,29.92244,592.93684
"39","2020_Q4",5.36875,"Up",209519000,-98184000,111335000,-137887000,-85251000,-50577000,-26552000,-4439000,-5757000,1318000,-30991000,-42795000,-1557000,-44352000,-44352000,-44352000,-44352000,196350000,196350000,96212000,96212000,66214000,36737000,36737000,395513000,62961000,514978000,77152000,106742000,577939000,973452000,102948000,52981000,49967000,254762000,174900000,79862000,374529000,182819000,96799000,83787000,582523000,957052000,1024963000,-959062000,-6388000,16400000,16400000,973452000,-44352000,7468000,20914000,21120000,5150000,-3192000,-3192000,1764000,6585000,54526000,56484000,56484000,-548000,55936000,-19084000,416523000,401000,0.53138,-0.12673,-0.21168,-2.70439,-0.04556,-0.00904,1.05603,58.35683,0.42788,-0.3722,-0.3722,1.75827,0.13763,0.00337,-0.07203,0.000650000000000001,-11.53705,-8.29214000000002
"40","2021_Q1",8.71311475409836,"Up",215522000,-94932000,120590000,-129091000,-82499000,-44533000,-8501000,-6710000,-6319000,-391000,-15211000,-19813000,-1404000,-21217000,-21217000,-21217000,-21217000,193872000,193872000,122727000,122727000,62589000,35019000,35019000,414207000,58813000,506068000,68394000,106515000,564881000,979088000,171883000,48439000,123444000,209422000,190226000,19196000,397821000,181284000,100961000,77989000,575869000,973690000,1035168000,-980279000,-6378000,5398000,5398000,979088000,-21217000,42102000,-9941000,-2121000,8823000,-2638000,-2638000,-9491000,-9491000,-8770000,-2585000,-2585000,107000,-2478000.00000001,33601000,411101000,30246000,0.55953,-0.03944,-0.09844,-3.93053,-0.02167,-1.42555,1.04119,180.37977,0.41988,-0.17635,-0.17635,1.79136,0.04487,0.2514,-0.03549,0.0506,6.46496,-25.55335
"41","2021_Q2",10.6122222222222,"Up",235802000,-100784000,135018000,-132102000,-80786000,-49524000,2916000,-7432000,-6545000,-887000,-4516000,-7492000,-1320000,-8812000,-8812000,-8812000,-8812000,193116000,193116000,123637000,123637000,55830000,34097000,34097000,406680000,55995000,496819000,59903000,105757000,552814000,959494000,172206000,59440000,112766000,211890000,192330000,19560000,435611000,178511000,105463000,70602000,513972000,949583000,1047051000,-989091000,-4936000,9911000,9911000,959494000,-8812000,15218000,15135000,3204000,24745000,-3023000,-3023000,3581000,3581000,-22772000,-1050000,-1050000,294000,-756000,18134000,386976000,19635000,0.57259,0.01237,-0.03737,-0.88911,-0.00918,-2.22821,0.93359,95.81102,0.40331,-0.0724,-0.0724,1.93749,0.08143,0.16133,-0.01531,0.03412,10.69042,66.48148
"42","2021_Q3",10.5540625,"Down",242128000,-101936000,140192000,-133784000,-83092000,-49186000,6408000,-6940000,-5986000,-954000,-532000,-1227000,-1823000,-3050000,-3050000,-3050000,-3050000,183969000,183969000,128242000,128242000,49830000,41257000,41257000,403298000,55974000,486565000,51748000,103658000,542539000,945837000,185813000,53677000,132136000,217517000,198291000,19226000,422242000,176729000,110844000,63235000,505670000,927912000,1055849000,-992141000,-2670000,17925000,17925000,945837000,-3050000,13899000,17471000,9706000,38026000,-5016000,-5016000,-3581000,-3581000,-42465000,-9455000,-9455000,308000,-9147000,20307000,347853000,26820000,0.579,0.02647,-0.0126,-0.17015,-0.00322,-8.79344,0.95513,51.76636,0.36777,-0.02474,-0.02474,1.96429,0.14542,0.21758,-0.00562,0.04944,8.07032,25.57491
"43","2021_Q4",12.25015625,"Up",253400000,-104587000,148813000,-137236000,-86921000,-48909000,11577000,-5244000,-5513000,269000,6333000,5908000,-2436000,3472000,3472000,3472000,3472000,203139000,203139000,130558000,130558000,43924000,43259000,43259000,420880000,56116000,476680000,43893000,101628000,532796000,953676000,178905000,57165000,121740000,214676000,195500000,19176000,414895000,181243000,122919000,55509000,503645000,918540000,1069930000,-988669000,-3012000,35136000,35136000,953676000,3472000,13185000,14094000,-6026000,24725000,-4279000,-4279000,-23434943.8177757,-87855976.7339884,-1144000,19302000,19302000,-132000,19170000,24762000,343716000,16893000,0.58727,0.04569,0.0137,0.09882,0.00364,4.8655,1.01443,26.14242,0.36041,0.02782,0.02782,2.03068,0.28157,0.13538,0.0062,0.03016,5.67713,12.14278
"44","2022_Q1",12.4759677419355,"Up",278088000,-116988000,161100000,-143025000,-92243000,-49376000,18075000,-4575000,-4460000,-115000,13500000,12996000,-2670000,10326000,10326000,10326000,10326000,246894000,246894000,156476000,156476000,32885000,51340000,51340000,487595000,55004000,467494000,36038000,100297000,522498000,1010093000,200824000,60142000,140682000,231155000,212412000,18743000,455700000,184060000,133172000,47060000,499925000,955625000,1078735000,-978343000,-2811000,54468000,54468000,1010093000,10326000,13015000,19723000,13975000,57039000,-4858000,-4858000,-40604925.0903676,-298625930.201965,-8401000,43780000,43780000,-25000,43755000,31090000,339586000,42877000,0.57931,0.065,0.03713,0.18958,0.01022,4.15233,1.06999,17.54471,0.33619,0.08174,0.07328,2.20146,0.43119,0.33943,0.01786,0.07417,2.98141,5.12819
"45","2022_Q2",10.1616129032258,"Down",535368000,-379765000,155603000,-135450000,-86530000,-47766000,20153000,-3599000,-3770000,171000,16554000,14765000,-2069000,12696000,12696000,12696000,12696000,191349000,191349000,129611000,129611000,32439000,70772000,70772000,424171000,52878000,531755000,45898000,98049000,584633000,1008804000,193656000,63394000,130262000,235260000,216807000,18453000,455060000,184040000,139216000,40838000,481419000,936479000,1084807000,-965647000,-3722000,72325000,72325000,1008804000,12696000,11595000,16192000,-229000,40254000,-3410000,-72927000,-44611193.8177757,-685272860.40393,-22681000,-55354000,-55354000,-191000,-55545000,31748000,323523000,30178000,0.29065,0.03764,0.02371,0.17554,0.01259,2.37697,0.93212,12.94821,0.3207,0.10237,0.09944,4.31682,0.58318,0.24333,0.02189,0.05204,4.16322,6.55853
"46","2022_Q3",12.6128125,"Up",280933000,-122147000,158786000,-138326000,-89442000,-48080000,20460000,-2921000,-2993000,72000,17539000,15134000,-1793000,13341000,13341000,13341000,13341000,173548000,173548000,133255000,133255000,37180000,86534000,86534000,430517000,52117000,530166000,40945000,93975000,582283000,1012800000,196263000,58831000,137432000,242875000,224735000,18140000,467680000,187063000,148477000,34447000,475521000,943201000,1092783000,-952306000,-2791000,69599000,69599000,1012800000,13341000,10031000,16310000,-17454000,22228000,-3243000,-3243000,-24974000,-1297178767.33988,-36713000,-17728000,-17728000,-73000,-17801000,30491000,3.17e+08,11587000,0.56521,0.07283,0.04749,0.19168,0.01317,0.86853,0.92054,13.55193,0.31299,0.1031,0.09984,2.17099,0.53785,0.08954,0.02326,0.0202,4.70473,7.01134
