"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q4",77.5360317460317,"Up",526501000,-114176000,412325000,-271661000,-128690000,-80023000,-62948000,140664000,-28787000,-28498000,-289000,111877000,111877000,-41069000,70808000,70808000,70808000,70808000,69777000,69777000,250224000,250224000,214381000,214381000,534382000,8924381000,10952422000,-2028041000,1040012000,310339000,9964393000,10498775000,164365000,258573000,322721000,322721000,745659000,3066734000,2784672000,1853564000,626189000,5851406000,6597065000,2526282000,1480027000,-104599000,3901710000,3901710000,10498775000,70808000,80023000,44100000,-1373000.00000006,193558000,-252763000,15385000,-230685000,-47761000,97877000.0000001,55044000,55044000,-43659000,61500999.9999998,24374000,24374000,24374000,220687000,3325307000,7619999.99999994,0.78314,0.26717,0.13449,0.01815,0.00674,0.10761,0.71666,1.69081,0.31673,0.66571,0.66571,4.94999,36.68262,0.0716399999999999,0.44903,0.01184,0.000760000000000004,0.67451,14.7518,23.14402
"29","2018_Q1",72.1872131147541,"Down",464880000,-72561000,392319000,-300527000,-160931000,-84800000,-54796000,91792000,-36530000,-33710000,-2820000,55262000,55262000,-19409000,35853000,35853000,35853000,35853000,26409000,26409000,222263000,222263000,290974000,290974000,539646000,9259182000,11301304000,-2042122000,950768000,220636000,10209950000,10749596000,233050000,447745000,332648000,332648000,1013443000,3067045000,2770442000,1878699000,661155000,5837487000,6850930000,2536896000,1467024000,-105254000,3898666000,3898666000,10749596000,35853000,84800000,44665000,-43789000,121529000,-324941000,28463000,-308951000,-48856000,189172000,3850000,3850000,-112000.000000007,144054000,-43368000,-43368000,-43368000,176592000,3514790000,-172729000,0.84391,0.19745,0.07712,0.0092,0.00334,-4.8177,0.53249,1.75725,0.32697,0.33565,0.33565,4.35212,36.49855,-1.61706,0.45738,0.00832,-0.01696,1.36268,19.7539,38.0031
"30","2018_Q2",77.21546875,"Up",889192000,-366917000,522275000,-280714000,-129567000,-88374000,-62773000,241561000,-33544000,-31509000,-2035000,208017000,208017000,106115000,314132000,314132000,314132000,314132000,54750000,54750000,489217000,489217000,234943000,234943000,778910000,9518792000,11609627000,-2090835000,967018000,236886000,10485810000,11264720000,285675000,336816000,336919000,336919000,959410000,3067469000,2674221000,1033206000,1407678000,5741690000,6701100000,2940617000,1729319000,-106316000,4563620000,4563620000,11264720000,314132000,88374000,-101820000,-127448000,173238000,-383238000,348000,-382890000,-51837000,-110929000,400759000,400759000,0,237993000,28341000,28341000,28341000,329935000,3404285000,-286866000,0.58736,0.27166,0.35328,0.06883,0.02789,-0.9132,0.81186,1.46837,0.30221,2.89352,2.89352,8.19049,42.03622,-2.64237,0.47748,0.03439,-0.02696,0.16502,10.15211,13.86621
"31","2018_Q3",82.7433333333333,"Up",1219409000,-626960000,592449000,-323461000,-161073000,-89381000,-73007000,268988000,-27557000,-27304000,-253000,241431000,241431000,-62439000,178992000,178992000,178992000,178992000,71074000,71074000,407134000,407134000,144528000,144528000,622736000,9761329000,11903715000,-2142386000,972257000,242125000,10733586000,11356322000,230823000,579602000,538702000,538702000,1349127000,2617892000,2667957000,1107036000,1323473000,5285849000,6634976000,2952100000,1854257000,-85011000,4721346000,4721346000,11356322000,178992000,89381000,64420000,245336000,578129000,-310740000,968000,-306772000,-54054000,-207214000,6235000,6235000,0,-255033000,16324000,16324000,16324000,358369000,3197494000,355404000,0.48585,0.22059,0.14679,0.03791,0.01576,1.98559,0.46158,1.40531,0.28156,1.60235,1.60235,10.91624,42.26582,3.1816,0.4839,0.02201,0.03357,0.30199,8.72402,11.6229
"32","2018_Q4",86.1474603174603,"Up",562245000,-130886000,431359000,-308366000,-145075000,-90671000,-72620000,122993000,-25352000,-23349000,-2003000,97641000,97641000,-26448000,71193000,71193000,71193000,71193000,20930000,20930000,253546000,253546000,178379000,178379000,452855000,10071860000,12260376000,-2188516000,982909000,252777000,11054769000,11507624000,198172000,694777000,573012000,573012000,1465961000,2618315000,2663796000,1133622000,1290228000,5282111000,6748072000,2964599000,1871334000,-76381000,4759552000,4759552000,11507624000,71193000,90671000,29737000,92328000,283929000,-394494000,-3068000,-397562000,-54116000,115175000,3948000,3948000,-1518000,63489000.0000001,-50144000,-50144000,-50144000,213664000,3313092000,-62054000.0000001,0.76721,0.21875,0.12662,0.01496,0.00619,-0.87163,0.30891,1.4178,0.2879,0.6365,0.6365,5.02673,42.55261,-0.554789999999999,0.48382,0.01167,-0.00578000000000001,0.76013,15.40813,26.76707
"33","2019_Q1",88.337868852459,"Up",444700000,-43085000,401615000,-307223000,-159080000,-92657000,-55486000,94392000,-30337000,-24484000,-5853000,64055000,64055000,-25308000,38747000,38747000,38747000,38747000,13771000,13771000,253295000,253295000,211787000,211787000,478853000,10371147000,12567373000,-2196226000,1024437000,294018000,11395584000,11874437000,217283000,1150780000,547068000,547068000,1915131000,2493665000,2695690000,1154067000,1364103000,5189355000,7104486000,2975482000,1878116000,-83647000,4769951000,4769951000,11874437000,38747000,92657000,33317000,-75355000,89366000,-379119000,11102000,-376342000,-54899000,331003000,3713000,3713000,-4.65661287307739e-10,279817000,-7159000,-7159000,-7159000,187049000,3644445000,-242117000,0.90311,0.21226,0.08713,0.00812,0.00326,-6.24866,0.25004,1.48943,0.30692,0.34618,0.34618,3.97313,42.61663,-2.16317,0.49049,0.00843,-0.02179,1.41686,19.41028,38.46379
"34","2019_Q2",93.2712698412698,"Up",877782000,-342165000,535617000,-299153000,-138600000,-96065000,-64488000,236464000,-35572000,-27849000,-7723000,200892000,200892000,-43246000,157646000,157646000,157646000,157646000,218197000,218197000,478373000,478373000,216168000,216168000,912738000,10698229000,12948229000,-2.25e+09,1004822000,274403000,11703051000,12615789000,301734000,5.75e+08,578764000,578764000,1455498000,3084779000,2727317000,1191824000,1358911000,5812096000,7267594000,3477060000,1985250000,-114115000,5348195000,5348195000,12615789000,157646000,96065000,44112000,-133139000,164684000,-416404000,1111000,-415293000,-58722000,21214000,498975000,498975000,-6432000,455035000,204426000,204426000,204426000,332529000,3659779000,-173768000,0.61019,0.26939,0.1796,0.02948,0.0125,-1.10227,0.6271,1.35889,0.2901,1.38529,1.3849,7.71337,46.99644,-1.52696,0.51601,0.01844,-0.01481,0.37249,10.34972,14.55436
"35","2019_Q3",100.08515625,"Up",1094645000,-471676000,622969000,-325292000,-149427000,-96772000,-79093000,297677000,-22717000,-26949000,4232000,274960000,274960000,-60072000,214888000,214888000,214888000,214888000,108353000,108353000,419612000,419612000,143216000,143216000,671181000,10971734000,13272148000,-2300414000,1032035000,301616000,12003769000,12674950000,244042000,1.25e+08,495097000,495097000,864139000,3528713000,2773997000,1251836000,1345568000,6302710000,7166849000,3486379000,2138532000,-116810000,5508101000,5508101000,12674950000,214888000,96772000,57774000,26711000,396145000,-361182000,4054000,-353128000,-61606000,-91914000,5453999.99999988,5453999.99999988,-4795000,-152861000,-109844000,-109844000,-109844000,394449000,3653713000,120050000,0.56911,0.27194,0.19631,0.03901,0.01695,0.55866,0.7767,1.30115,0.28826,1.82759,1.82486,9.30979,46.84556,1.02101,0.52395,0.02317,0.01006,0.28669,8.98813,11.91009
"36","2019_Q4",100.91234375,"Up",485738000,-31326000,454412000,-332210000,-164545000,-97700000,-69965000,122202000,-17947000,-19592000,1645000,104255000,104255000,-23789000,80466000,80466000,80466000,80466000,46163000,46163000,285433000,285433000,171938000,171938000,503534000,11340596000,13687833000,-2347237000,1036968000,306549000,12377564000,12881098000,206500000,199942000,494932000,494932000,901374000,3529135000,2808593000,1280307000,1350684000,6337728000,7239102000,3600315000,2157344000,-115663000,5641996000,5641996000,12881098000,80466000,97700000,26007000,43926000,248099000,-421613000,-5367000,-426980000,-61654000,74942000,103430000,103430000,-27000,116691000,-62190000,-62190000,-62190000,219902000,3729077000,-133996000,0.93551,0.25158,0.16566,0.01426,0.00625,-1.66525,0.55863,1.28307,0.2895,0.68148,0.67943,4.11381,47.78315,-1.13484,0.52216,0.01167,-0.011,0.76621,16.74798,30.13792
"37","2020_Q1",101.702258064516,"Up",443683000,-13670000,430013000,-340298000,-177736000,-100919000,-61643000,89715000,-19513000,-28763000,9250000,70202000,70202000,-11796000,58406000,58406000,58406000,58406000,24550000,24550000,230571000,230571000,202910000,202910000,458031000,11787669000,14180593000,-2392924000,1121919000,391213000,12909588000,13367619000,265024000,464915000,479501000,479501000,1209440000,3529452000,2878504000,1300015000,1578489000,6407956000,7617396000,3712791000,2152015000,-114583000,5750223000,5750223000,13367619000,58406000,100919000,14700000,-14184000,159841000,-494278000,8803000,-488259000,-63735000,355114000,105567000,105567000,-90141000,306805000,-21613000,-21613000,-21613000,190634000,3994367000,-306032000,0.96919,0.20221,0.13164,0.01016,0.00437,-5.23974,0.37871,1.32471,0.29881,0.48939,0.48743,3.71765,48.18152,-2.56426,0.53404,0.00968,-0.02424,1.09124,20.82429,44.2492
"38","2020_Q2",93.7820634920635,"Down",875563000,-296868000,578695000,-325914000,-152245000,-105062000,-68607000,252781000,-22342000,-27229000,4887000,230439000,230439000,-51766000,178673000,178673000,178673000,178673000,189272000,189272000,435616000,435616000,187241000,187241000,812129000,12250423000,14691719000,-2441296000,1325573000,594867000,13575996000,14388125000,308113000,49999.9999999404,537009000,537009000,845172000,4324285000,3090893000,1352333000,1738560000,7415178000,8260350000,3980175000,2261131000,-113531000,6127775000,6127775000,14388125000,178673000,105062000,50253000,-161543000,172445000,-529186000,2553000,-528235000,-69557000,334535000,4267000,4267000,251267000,520512000,164722000,164722000,164722000,357843000,4324335000,-281120000,0.66094,0.28871,0.20407,0.02916,0.01242,-1.57338,0.9609,1.34802,0.30055,1.47526,1.47227,7.22931,50.59552,-2.32114,0.57431,0.01833,-0.02076,0.3893,11.55552,16.35828
"39","2020_Q3",93.35140625,"Down",977665000,-317883000,659782000,-328344000,-147824000,-105916000,-74604000,331438000,-25160000,-22171000,-2989000,306278000,306278000,-66632000,239646000,239646000,239646000,239646000,320099000,320099000,377817000,377817000,131645000,131645000,829561000,12548240000,15044831000,-2496591000,1338597000,607891000,13886837000,14716398000,190088000,200054000,543248000,543248000,933390000,4328866000,3149727000,1421779000,1727948000,7478593000,8411983000,3986799000,2430257000,-112641000,6304415000,6304415000,14716398000,239646000,105916000,68865000,46903000,461330000,-465551000,947000,-463002000,-70520000,199923000,262101000,262101000,-259005000,132499000,130827000,130827000,130827000,437354000,4528920000,85338000,0.67485,0.33901,0.24512,0.03801,0.01628,0.3561,0.88876,1.3343,0.30775,1.94966,1.94836,7.95386,51.29002,0.69427,0.57372,0.02218,0.0061,0.29427,9.62337,12.69867
"40","2020_Q4",90.6921875,"Down",492995000,-26072000,466923000,-327888000,-149460000,-107104000,-71324000,139035000,-12345000,-19580000,7235000,126690000,126690000,-8899000,117791000,117791000,117791000,117791000,208064000,208064000,236466000,236466000,157629000,157629000,602159000,12880850000,15443224000,-2562374000,1387973000,657267000,14268823000,14870982000,200116000,157000,502413000,502413000,702686000,4531341000,3175484000,1420065000,1755419000,7706825000,8409511000,4100747000,2477451000,-116727000,6461471000,6461471000,14870982000,117791000,107104000,5146000,31670000,261711000,-410936000,1906000,-409030000,-70597000,77000,105804000,105804000,0,35284000,-112035000,-112035000,-112035000,246139000,4531498000,-124228000,0.94712,0.28202,0.23893,0.01823,0.00792,-1.05465,0.85694,1.30149,0.30472,0.95745,0.95741,4.00724,52.52118,-1.00977,0.57384,0.0133,-0.00877,0.59934,17.56501,31.09601
"41","2021_Q1",86.2254098360656,"Down",474914000,-18031000,456883000,-356038000,-180072000,-111746000,-64220000,100845000,-17456000,-15494000,-1962000,83389000,83389000,-18056000,65333000,65333000,65333000,65333000,20808000,20808000,230595000,230595000,219855000,219855000,471258000,13355347000,15957221000,-2601874000,1532427000,801170000,14887774000,15359032000,235775000,165000,546461000,546461000,782401000,4531779000,3253649000,1456569000,1797080000,7785428000,8567829000,4377778000,2471014000,-57589000,6791203000,6791203000,15359032000,65333000,111746000,16140000,-50706000,142513000,-530003000,4261000,-525251000,-71770000,0,271678000,271678000,-4426000.00000006,195482000,-187256000,-187256000,-187256000,212591000,4531944000,-350062000,0.96203,0.21234,0.13757,0.00962,0.00425,-5.35812,0.60232,1.26161,0.29507,0.52647,0.52646,3.82699,54.7254,-2.8209,0.57834,0.00941,-0.02402,1.09853,21.21979,44.73336
"42","2021_Q2",95.5828571428571,"Up",914480000,-288260000,626220000,-327380000,-138643000,-115285000,-73452000,298840000,-15938000,-22010000,6072000,282902000,282902000,-65224000,217678000,217678000,217678000,217678000,457599000,457599000,492526000,492526000,242163000,242163000,1192288000,13762143000,16412507000,-2650364000,1521448000,790191000,15283591000,16475879000,284995000,171000,512673000,512673000,797839000,5124862000,3340022000,1542394000,1797628000,8464884000,9262723000,4600955000,2609669000,2532000.00000001,7213156000,7213156000,16475879000,217678000,115285000,60794999.9999999,-236689000,157069000,-456809000,3217000,-453592000,-79023000,597390000,220009000,220009000,-5062000,733314000,436791000,436791000,436791000,414125000,5125033000,-214149000,0.68478,0.32679,0.23803,0.03018,0.01321,-0.98379,1.4944,1.28414,0.31106,1.71354,1.71354,7.1987,56.7813,-1.68576,0.62206,0.01892,-0.01366,0.36303,11.27059,15.6185
"43","2021_Q3",92.7678125,"Down",1319073000,-573809000,745264000,-363460000,-156375000,-118636000,-88449000,381804000,-23262000,-26096000,2834000,358542000,358542000,-61788000,296754000,296754000,296754000,296754000,865311000,865311000,469595000,469595000,285528000,285528000,1620434000,14039588000,16752585000,-2712997000,3748788000,3017531000,17788376000,19408810000,263597000,177000,607525000,607525000,871299000,7316404000,3400182000,1.658e+09,1742182000,10716586000,11587885000,4854356000,2826098000,140471000,7820925000,7820925000,19408810000,296754000,118636000,-2028496000,53791000,-1559315000,-388919000,-3552000,-392471000,-80325000,2660634000,-211718000,-211718000,-9093000,2359498000,407712000,407712000,407712000,500440000,7316581000,227100000,0.56499,0.28945,0.22497,0.03794,0.01529,0.76528,1.85979,1.48165,0.37697,2.29753,2.29746,10.21255,60.55128,1.75826,0.62189,0.02034,0.01225,0.27068,12.8912,16.89681
"44","2021_Q4",91.52015625,"Down",605553000,-86869999.9999999,518683000,-385293000,-184470000,-119348000,-81475000,133390000,-15075000,-20962000,5887000,118315000,118315000,-15904000,102411000,102411000,102411000,102411000,524621000,524621000,291122000,291122000,299623000,299623000,1115366000,14477749000,17265383000,-2787634000,3722320000,2991063000,18200069000,19315435000,280352000,200442000,581722000,581722000,1062516000,7128505000,3350656000,1667784000,1682872000,10479161000,11541677000,4865922000,2846597000,61239000,7773758000,7773758000,19315435000,102411000,119348000,23638999.9999995,-1619000.00000012,243779000,-512232000,5978000,-506254000,-81912000,-4.76837158203125e-07,3830000,3830000,-133000,-78215000.0000005,-340690000,-340690000,-340690000,252738000,7328947000,-245209000,0.85654,0.22028,0.16912,0.01317,0.0053,-2.39436,1.04974,1.4847,0.37943,0.79947,0.79946,4.72726,60.68602,-1.91423,0.63945,0.00999,-0.01329,0.79984,26.92245,51.01077
"45","2022_Q1",106.247741935484,"Up",568384000,-83778000,484606000,-393642000,-199531000,-124708000,-69403000,90964000,-31424000,-14486000,-16938000,59540000,59540000,-10820000,48720000,48720000,48720000,48720000,116723000,116723000,342967000,342967000,2379025000,2379025000,2838715000,15063970000,17885098000,-2821128000,1705977000,974720000,16769947000,19608662000,423222000,2400452000,1155369000,1155369000,3979043000,4930205000,2792525000,1705809000,1086716000,7722730000,11701773000,5024413000,2812673000,69803000,7906889000,7906889000,19608662000,48720000,124708000,2095684000,-2194896000,74216000,-611580000,6314000,-611338000,-82644000,-460678000,610387000,610387000,62159000,129224000,-407898000,-407898000,-407898000,215672000,7330657000,-2579984000,0.8526,0.16004,0.08572,0.00616,0.00248,-52.95534,0.71342,1.47995,0.37385,0.37089,0.37053,4.32698,60.19343,-19.64086,0.62915,0.00729,-0.14309,1.69631,33.44863,79.30537
"46","2022_Q2",112.116612903226,"Up",1012786000,-371163000,641623000,-365762000,-159110000,-127856000,-78796000,275861000,-11149000,-19851000,8702000,264712000,264712000,-15503000,249209000,249209000,249209000,249209000,264005000,264005000,514333000,514333000,2495867000,2495867000,3274205000,15726791000,18573857000,-2847066000,1544788000,813531000,17271579000,20545784000,398431000,2401377000,626684000,626684000,3426492000,5555177000,3274570000,1744648000,1529922000,8829747000,12256239000,5294218000,2971471000,23856000,8289545000,8289545000,20545784000,249209000,127856000,-9710000,-305531000,61824000,-684180000,4432000,-679748000,-90411000,596142000,265861000,265861000,-6386000,765206000,147282000,147282000,147282000,403717000,7956554000,-570491000,0.63352,0.27238,0.24606,0.03006,0.01213,-2.28920999999999,0.95556,1.47852,0.38726,1.89717,1.89533,7.71012,63.10651,-4.34302,0.68828,0.0174,-0.02922,0.36279,19.05431,27.8856
"47","2022_Q3",112.7878125,"Up",1649819000,-871378000,778441000,-393309000,-163352000,-133374000,-96583000,385132000,-23715000,-28928000,5213000,361417000,361417000,-36418000,324999000,324999000,324999000,324999000,582495000,582495000,565184000,565184000,2381317000,2381317000,3528996000,16084973000,19019069000,-2934096000,1657174000,925917000,17742147000,21271143000,354003000,2201404000,653009000,653009000,3208416000,5757595000,3321901000,1848626000,1473275000,9079496000,12287912000,5634715000,3202937000,145579000,8983231000,8983231000,21271143000,324999000,133374000,32848000,87439000,578660000,-505849000,3628000,-502221000,-93533000,596980000,-257851000,-257851000,-3545000,242051000,318490000,318490000,318490000,518506000,7958999000,136514000,0.47183,0.23344,0.19699,0.03618,0.01528,0.42004,1.09992,1.36787,0.37417,2.47415,2.47174,12.55971,68.38739,1.03925,0.71205,0.02065,0.00674,0.28779,14.22646,19.15318
