"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",0.80359375,"Down",3539000,-2087000,1452000,-1450000,-1371000,-79000,2000,-87000,-115000,-85000,-85000,-9000,-94000.0000000001,-94000.0000000001,-94000.0000000001,-94000.0000000001,6070000,6070000,491000,337000,154000,7331000,440000,2995000,780000,1863000,3435000,10766000,1692000,1692000,3329000,3329000,5021000,1401000,1401000,3329000,8350000,69456000,-1695000,-65345000,2416000,2416000,10766000,-94000.0000000001,79000,288000,-135000,138000,-101000,-101000,7000,43999.9999999995,43999.9999999995,43999.9999999995,81000,1928000,-146000,0.41029,0.000569999999999998,-0.02656,-0.03891,-0.00873,1.55319,1.46007,3.45613,0.17908,-0.00557,-0.00557,0.20981,0.14323,-0.00865999999999999,-0.01636,-0.02541,-51.1358,-2071
"37","2019_Q4",1.03453125,"Up",4176000,-2679000,1497000,-1509000,-1425000,-84000,-12000,-78000,-14000,-90000,-90000,-5000,-95000,-95000,-95000,-95000,5922000,5922000,562000,156000,406000,8525000,515000,2839000,780000,1729000,3354000,11879000,3207000,3207000,3044000,3044000,6251000,1242000,1242000,3220000,9471000,69546000,-1698000,-65440000,2408000,2408000,11879000,-95000,84000,-283000,281000,-13000,-137000,-137000,2000,-148000,-148000,-148000,72000,1978000,221000,0.35848,-0.00287,-0.02275,-0.03945,-0.008,-2.32632,1.36378,3.93314,0.16651,-0.00543,-0.00543,0.23848,0.13751,0.01262,-0.01688,0.03927,-54.77778,328.66667
"38","2020_Q1",1.27,"Up",20404000,-18398000,2006000,-1566000,-1440000,-126000,440000,-75000,-75000,365000,365000,-19000,346000,346000,346000,346000,8678000,8678000,289000,108000,181000,14185000,705000,2677000,780000,1590000,3382000,17567000,8851000,8851000,2749000,2749000,11600000,1070000,1070000,3098000,14698000,69663000,-1700000,-65094000,2869000,2869000,17567000,346000,126000,518000,1883000,2873000,-293000,-118000,1000.00000000003,2756000,2756000,2756000,566000,2028000,2175000,0.09831,0.02156,0.01696,0.1206,0.0197,6.28613,1.22284,5.12304,0.11544,0.01995,0.01093,1.1765,0.16543,0.12541,0.05799,0.3645,-11.74912,-15.1136399999996
"39","2020_Q2",0.974603174603175,"Down",10597000,-8996000,1601000,-1878000,-1759000,-119000,-277000,-82000,-82000,-359000,-359000,-9000,-368000,-368000,-368000,-368000,5321000,5321000,424000,213000,211000,6825000,786000,2510000,780000,1446000,3296000,10121000,1838000,1838000,2869000,2869000,4707000,893000,893000,2972000,7679000,69774000,-1870000,-65462000,2442000,2442000,10121000,-368000,119000,130000,-2893000,-3012000,-177000,-177000,-168000,-3357000,-3357000,-3357000,-158000,2079000,-3219000,0.15108,-0.02614,-0.03473,-0.1507,-0.03636,8.74728,1.44997,3.14455,0.20541,-0.02076,-0.02076,0.59775,0.13775,-0.18158,-0.06797,-0.59457,20.51899,11.70397
"40","2020_Q3",0.84046875,"Down",6454000,-5687000,767000,-1716000,-1584000,-132000,-949000,-84000,-84000,-1033000,-1033000,-9000,-1042000,-1042000,-1042000,-1042000,7134000,7134000,672000,306000,366000,11575000,862000,2339000,780000,1297000,3201000,14776000,5422000,5422000,4147000,4147000,9993000,692000,692000,3290000,13283000,69867000,-1870000,-66504000,1493000,1493000,14776000,-1042000,132000,-9000,2028000,1109000,-186000,-186000,890000,1813000,1813000,1813000,-817000,3022000,1034000,0.11884,-0.14704,-0.16145,-0.69792,-0.07052,-0.992319999999999,1.15831,8.89685,0.20452,-0.0584,-0.0584,0.36173,0.08368,0.05795,-0.20012,0.19858,5.03304999999974,4.33297999999999
"41","2020_Q4",0.62171875,"Down",20763000,-17990000,2773000,-1807000,-1668000,-139000,966000,-105000,-105000,861000,861000,-9000,852000,852000,852000,852000,9455000,9455000,578000,237000,341000,11498000,764000,2283000,780000,1264000,3047000,14545000,3261000,2888000,5680000,5680000,8941000,521000,521000,3224000,12165000,69904000,-1872000,-65652000,2380000,2380000,14545000,852000,139000,116000,1234000,2341000,-18000,-18000,-2000,2321000,2321000,2321000,1105000,2703000,2330000,0.13355,0.04653,0.04103,0.35798,0.05858,2.73474,1.28599,5.11134,0.18584,0.04775,0.04775,1.16371,0.13339,0.13059,0.15203,0.41577,-6.11041,-6.98965
"42","2021_Q1",0.788524590163934,"Up",7248000,-5586000,1662000,-1802000,-1663000,-139000,-140000,8e+05,-96000,660000,660000,-23000,637000,637000,637000,637000,19012000,19012000,1779000,58000,1721000,20988000,662000,2158000,780000,1161000,2820000,23808000,13374000,13374000,4710000,4710000,18084000,307000,307000,2541000,20625000,70072000,-1874000,-65015000,3183000,3183000,23808000,637000,139000,-1154000,9937000,9559000,-15000,-15000,13000,9557000,9557000,9557000,-1000,2234000,9944000,0.2293,-0.01932,0.08789,0.20013,0.02676,15.61068,1.16058,6.47974,0.09383,0.03565,0.02086,0.40564,0.17814,0.55653,0.11129,1.73725,16778,119.84286
"43","2021_Q2",0.528253968253968,"Down",5170000,-3865000,1305000,-1912000,-1775000,-137000,-607000,-85000,-85000,-692000,-692000,-7000,-699000,-699000,-699000,-699000,8903000,8903000,759000,231000,528000,10592000,549000,2002000,780000,1028000,2551000,13143000,2860000,2860000,5370000,5370000,8230000,91000,91000,2373000,10603000,70216000,-1962000,-65714000,2540000,2540000,13143000,-699000,137000,462000,-9928000,-10028000,-1000,-1000,-80000,-10109000,-10109000,-10109000,-470000,2282000,-10392000,0.25242,-0.11741,-0.1352,-0.2752,-0.05318,14.86695,1.287,4.17441,0.17363,-0.03923,-0.0333,0.29012,0.14254,-0.58316,-0.14228,-2.1152,14.08723,10.90774
"44","2021_Q3",0.51390625,"Down",3068000,-1616000,1452000,-1803000,-1667000,-136000,-351000,-103000,-103000,-454000,-454000,-2000,-456000,-456000,-456000,-456000,7273000,7273000,2386000,302000,2084000,9821000,486000,1942000,780000,990000,2428000,12249000,1455000,1455000,6553000,6553000,8008000,72000,72000,2051000,10059000,70335000,-1977000,-66170000,2190000,2190000,12249000,-456000,136000,-858000,-46000,-1224000,-51000,-51000,-355000,-1630000,-1630000,-1630000,-215000,1979000,-310000,0.47327,-0.11441,-0.14863,-0.20822,-0.03723,0.679819999999996,1.2264,4.59315,0.16156,-0.0251,-0.0251,0.16888,0.12044,-0.0170600000000002,-0.10752,-0.0731000000000002,24.6232599999993,15.08262
"45","2021_Q4",0.580625,"Up",4587000,-2666000,1921000,-1693000,-1560000,-133000,228000,-83000,-83000,145000,145000,-22000,123000,123000,123000,123000,11987000,11987000,2784000,193000,2591000,18407000,384000,1960000,780000,1031000,2344000,20751000,10581000,10581000,5736000,5736000,18328000,48000,48000,48000,18376000,70450000,-2030000,-66047000,2375000,2375000,20751000,123000,133000,180000,4339000,4775000,-8000,-8000,-53000,4714000,4714000,4714000,361000,2011000,4714000,0.41879,0.04971,0.02681,0.05179,0.00593,38.3252,1.00431,7.73726,0.09691,0.00677,0.00677,0.25249,0.13062,0.25948,0.02774,1.06315,-27.63435,-43.75439
"46","2022_Q1",0.441612903225806,"Down",14585000,-12902000,1683000,-1784000,-1654000,-130000,-101000,-130000,-159000,-231000,-231000,-34000,-265000,-265000,-265000,-265000,7992000,7992000,2969000,550000,2419000,11808000,281000,7192000,780000,6286000,7473000,19281000,7016000,7016000,3079000,644000,12118000,4960000,4960000,4960000,17078000,70586000,-2071000,-66312000,2203000,2203000,19281000,-265000,130000,1059000,-4899000,-3975000,-4000,-4000.00000000001,-16000,-3995000,-3995000,-3995000,29000,2023000,-4840000,0.11539,-0.00692,-0.01817,-0.12029,-0.01374,18.26415,0.97442,7.75216,0.10492,-0.01476,-0.01476,0.81217,0.12268,-0.26952,-0.02885,-0.52689,-205.82759,59.09901
"47","2022_Q2",0.416129032258065,"Down",5192000,-3526000,1666000,-1839000,-1729000,-110000,-173000,-124000,-124000,-297000,-297000,-11000,-308000,-308000,-308000,-308000,12841000,12841000,2822000,211000,2611000,15941000,202000,7093000,780000,6210000,7295000,23236000,10999000,10999000,3428000,3428000,16440000,4798000,4798000,4798000,21238000,70690000,-2074000,-66620000,1998000,1998000,23236000,-308000,110000,-1200000,6278000,4880000,-8000,-8000,-23000,4849000,4849000,4849000,-63000,2013000,6218000,0.32088,-0.03332,-0.05932,-0.15415,-0.01326,-20.18831,0.96965,10.62963,0.08663,-0.01633,-0.01633,0.27526,0.10582,0.32966,-0.03496,0.70587,171.87302,62.5896
"48","2022_Q3",0.5434375,"Up",6421000,-3809000,2612000,-1673000,-1603000,-70000,939000,-158000,-158000,781000,781000,-10000,771000,771000,771000,771000,8366000,8366000,4761000,348000,4413000,13358000,269000,6971000,780000,6110000,7240000,20598000,5750000,5750000,5265000,5265000,13059000,4632000,4632000,4632000,17691000,70828000,-2074000,-65849000,2907000,2907000,20598000,771000,69000,-789000,-4462000,-4411000,-114000,-114000,50000,-4475000,-4475000,-4475000,1008000,2044000,-3558000,0.40679,0.14624,0.12007,0.26522,0.03743,-4.61479,1.0229,6.08566,0.09923,0.04088,0.04088,0.34042,0.15401,-0.18863,0.08045,-0.37128,-6.27182999999999,-6.73269
