"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",77.15515625,"Up",392805000,-78794000,314011000,-276220000,-23030000,-42066000,37791000,-1123000,-1226000,103000,36668000,-10212000,26456000,-5331000,21125000,21125000,21125000,21125000,496000,496000,191437000,191437000,34066000,34066000,225999000,760858000,1334557000,-573699000,28690000,23686000,5004000,789548000,1015547000,65866000,65866000,14791000,98020000,98020000,178677000,127782000,101694000,61031000,40663000,229476000,408153000,250259000,360625000,-3490000,607394000,607394000,1015547000,21125000,23030000,3608000,-12261000,35502000,-46781000,-46781000,4339000,4018000,4018000,7055000,-4224000,-4224000,-4224000,60821000,142573000,7110000,0.79941,0.09621,0.05378,0.03478,0.0208,0.33657,1.26485,0.67197,0.14039,0.82205,0.80299,15.28543,23.63585,0.27668,0.0248,0.00835,2.33599,3.75955
"32","2018_Q3",77.8230158730159,"Up",428732000,-84745000,343987000,-292554000,-25241000,-46907000,51433000,-1312000,-1454000,142000,50121000,-9868000,40253000,-9972000,30281000,30281000,30281000,30281000,1189000,1189000,200644000,200644000,30854000,30854000,232687000,824681000,1419359000,-594678000,28590000,23346000,5244000,853271000,1085958000,71045000,71045000,16839000,117693000,117693000,205577000,138161000,102246000,63419000,38827000,240407000,445984000,252562000,390906000,-3494000,639974000,639974000,1085958000,30281000,25241000,5787000,15307000,76616000,-71374000,-71374000,-4677000,147000,147000,-4549000,692999.999999999,692999.999999999,692999.999999999,76674000,1.55e+08,30579000,0.80234,0.11997,0.07063,0.04732,0.02788,1.00984,1.13187,0.69688,0.14273,1.17523,1.14945,16.63945,24.83793,1.1868,0.03375,0.03408,2.00604,2.99051
"33","2018_Q4",60.7747619047619,"Down",425562000,-81643000,343919000,-294911000,-26694000,-43582000,49008000,-1271000,-1410000,139000,47737000,-10311000,37426000,-9231000,28195000,28195000,28195000,28195000,529000,529000,197973000,197973000,26155000,26155000,224657000,835725000,1445049000,-609324000,27710000,23005000,4705000,863435000,1088092000,62025000,62025000,17622000,130104000,130104000,209751000,103715000,105335000,65895000,39440000,209050000,418801000,253392000,419101000,-3202000,669291000,669291000,1088092000,28195000,26694000,5431000,14672000,74992000,-36284000,-36284000,-39293000,0,0,-39368000,-660000,-660000,-660000,75702000,121337000,63321000,0.80815,0.11516,0.06625,0.04213,0.02591,2.24582,1.07107,0.62574,0.11151,1.09317,1.07075,16.49977,25.94956,2.45506,0.03147,0.07067,1.59584,2.46507
"34","2019_Q1",61.9504918032787,"Up",406750000,-79818000,326932000,-285562000,-27188000,-41817000,41370000,-1638000,-1328000,-310000,39732000,-8034000,31698000,-6318000,25380000,25380000,25380000,25380000,2194000,2194000,181612000,181612000,29567000,29567000,213373000,893058000,1521341000,-628283000,27312000,22664000,4648000,920370000,1133743000,78994000,78994000,18082000,112234000,112234000,209310000,104777000,123792000,86893000,36899000,228569000,437879000,254764000,444481000,-3381000,695864000,695864000,1133743000,25380000,27188000,24052000,-7294000,69326000,-68145000,-68145000,484000,-2.3283064365387e-10,-2.3283064365387e-10,484000,1665000,1665000,1665000,68558000,122859000,-563000.000000007,0.80377,0.10171,0.0624,0.03647,0.02239,-0.0221799999999996,1.01941,0.62926,0.10837,0.98403,0.96944,15.77039,26.97984,-0.0218299999999996,0.02693,-0.000600000000000003,1.76004,2.91673
"35","2019_Q2",63.9669841269841,"Up",410584000,-83543000,327041000,-288754000,-26782000,-41620000,38287000,-1049000,-1383000,334000,37238000,-9656000,27582000,-5323000,22259000,22259000,22259000,22259000,31000,31000,202133000,202133000,38923000,38923000,241087000,905530000,1553938000,-648408000,100240000,22356000,77884000,1005770000,1246857000,71983000,71983000,17914000,121569000,121569000,211466000,130964000,186777000,92208000,94569000,317741000,529207000,254601000,466740000,-3691000,717650000,717650000,1246857000,22259000,26782000,8076000,-26717000,30400000,-56466000,-56466000,26019000,1798000,1798000,23903000,-2163000,-2163000,-2163000,65069000,148878000,-12791000,0.79653,0.09325,0.05421,0.03102,0.01785,-0.57464,1.14007,0.73742,0.1194,0.86032,0.84564,15.86921,27.73741,-0.49438,0.02113,-0.01214,2.28753,3.88766
"36","2019_Q3",79.3365625,"Up",464195000,-85328000,378867000,-314515000,-29143000,-47683000,64352000,-1763000,-1903000,140000,62589000,-13186000,49403000,-12330000,37073000,37073000,37073000,37073000,503000,503000,227046000,227046000,33840000,33840000,261389000,991337000,1665557000,-674220000,99394000,22066000,77328000,1090731000,1352120000,77521000,77521000,18959000,140710000,140710000,237190000,160920000,196508000,100244000,96264000,357428000,594618000,257609000,503813000,-3920000,757502000,757502000,1352120000,37073000,29143000,9327000,7631000,83174000,-109588000,-109588000,25943000,356000,356000,26886000,472000,472000,472000,93495000,179879000,3868000,0.81618,0.13863,0.07987,0.04894,0.02742,0.10433,1.10202,0.78497,0.13303,1.42825,1.403,17.88323,29.18296,0.14902,0.0327,0.00341,1.91856,2.78742
"37","2019_Q4",94.5925,"Up",468891000,-84259000,384632000,-330972000,-31333000,-49477000,53660000,-1848000,-1868000,20000,51812000,-8301000,43511000,-10543000,32968000,32968000,32968000,32968000,15000,15000,2.18e+08,2.18e+08,31694000,31694000,249709000,1041124000,1735019000,-693895000,131439000,21775000,109664000,1172563000,1422272000,84857000,84857000,19245000,139979000,139979000,244081000,146020000,239800000,108711000,131089000,385820000,629901000,259414000,536781000,-3824000,792371000,792371000,1422272000,32968000,31333000,12034000,17389000,93724000,-78471000,-78471000,-15721000,773000,773000,-15741000,-488000,-488000,-488000,84993000,165265000,34454000,0.8203,0.11444,0.07031,0.04161,0.02318,1.04507,1.02306,0.79496,0.1162,1.26907,1.2444,18.04954,30.50162,1.32628,0.02753,0.02877,1.94428,3.07958
"38","2020_Q1",87.6620967741935,"Down",443065000,-216906000,226159000,-229872000,-31877000,41713000,-3712999.99999999,-1274000,-1534000,260000,-4987000,31143000,26156000,-4737000,21419000,21419000,21419000,21419000,248000,248000,196119000,196119000,36012000,18542000,232379000,1052599000,1739222000,-686623000,130715000,9379000,109231000,1183314000,1415693000,83621000,83621000,19405000,138220000,138220000,241246000,117025000,242196000,111555000,130641000,359221000,600467000,260897000,558200000,-3871000,815226000,815226000,1415693000,21419000,31877000,5537000,6745000,65578000,-36506000,-36506000,-32310000,0,0,-28839000,232999.999999998,232999.999999998,232999.999999998,28164000,136430000,3139999.99999999,0.51044,-0.00838,0.04834,0.02627,0.01513,0.1466,0.96324,0.73657,0.09637,0.82381,0.80823,17.04096,31.35485,0.12077,0.01794,0.00263,4.83532,-36.67708
"39","2020_Q2",95.835873015873,"Up",446396000,-82899000,363497000,-315690000,-32590000,-44455000,47807000,-1949000,-1402000,-547000,45858000,-9031000,36827000,-8716000,28111000,28111000,28111000,28111000,46909000,46909000,210894000,210894000,48105000,41563000,305908000,1121886000,1834768000,-712882000,149465000,21193000,128272000,1271351000,1577259000,91395000,91395000,19565000,138087000,138087000,249047000,216202000,268623000,118624000,149999000,484825000,733872000,262034000,586311000,-4958000,843387000,843387000,1577259000,28111000,32590000,9198000,-18632000,51267000,-102676000,-102676000,95933000,2137000,2137000,98070000,46661000,46661000,46661000,80397000,235767000,-32195000,0.81429,0.1071,0.06297,0.03333,0.01782,-1.14528,1.22831,0.87015,0.14948,1.07829,1.06111,17.12298,32.35086,-1.23494,0.02086,-0.02389,2.34907,3.95043
"40","2020_Q3",127.5415625,"Up",418114000,-65902000,352212000,-298090000,-33664000,-40149000,54122000,-843000,-1594000,751000,53279000,-18441000,34838000,-6384000,28454000,28454000,28454000,28454000,29280000,29280000,205131000,205131000,35232000,34082000,269643000,1118703000,1862048000,-743345000,149854000,20902000,128952000,1268557000,1538200000,81516000,81516000,19727000,146851000,146851000,248094000,141112000,273904000,119125000,154779000,415016000,663110000,265290000,614765000,-4965000,875090000,875090000,1538200000,28454000,33664000,5611000,29237000,96966000,-40046000,-40046000,-75003000,454000,454000,-74548999.9999999,-17629000,-17629000,-17629000,87786000,160839000,83361000,0.84238,0.12944,0.06805,0.03252,0.0185,2.92968,1.08686,0.75776,0.10456,1.08877,1.06994,15.99885,33.48473,3.18975,0.02172,0.06364,1.49863,2.43079
"41","2020_Q4",164.11703125,"Up",481374000,-74106000,407268000,-381082000,-34224000,-94766000,26186000,-783000,-1174000,391000,25403000,29030000,54433000,-12894000,41539000,41539000,41539000,41539000,25469000,25469000,226677000,226677000,27971000,27971000,280117000,1141119000,1903383000,-762264000,144444000,20611000,123833000,1285563000,1565680000,97060000,97060000,20735000,157896000,157896000,275691000,100186000,271337000,122162000,149175000,371523000,647214000,267101000,656304000,-4939000,918466000,918466000,1565680000,41539000,34224000,6705000,8260000,90728000,-54788000,-54788000,-36439000,287000,287000,-39751000,-3811000,-3811000,-3811000,60410000,120921000,26776000,0.84605,0.0544,0.08629,0.04523,0.02653,0.6446,1.01605,0.70467,0.07723,1.58849,1.56038,18.40818,35.12298,1.02394,0.03169,0.02043,1.58007,3.64515
"42","2021_Q1",203.758524590164,"Up",476482000,-217696000,258786000,-206580000,-34177000,75843000,52206000,-468000,-1007000,539000,51738000,-1557999.99999999,50180000,-9944000,40236000,40236000,40236000,40236000,25308000,25308000,216899000,216899000,29489000,19505000,271696000,1136027000,1901244000,-765217000,141051000,8216000,120730000,1277078000,1548774000,89381000,89381000,20588000,165785000,165785000,275754000,50388000,261344000,119818000,141526000,311732000,587486000,267692000,696540000,-2944000,961288000,961288000,1548774000,40236000,34177000,-1233000,-2996000,70184000,-21307000,-21307000,-53545000,908000,908000,-49038000,-161000,-161000,-161000,86383000,70976000,72024000,0.54312,0.10957,0.08444,0.04186,0.02598,1.79004,0.98528,0.61114,0.04583,1.53537,1.50917,18.18217,36.68198,2.74838,0.0311,0.05568,0.52867,0.87477
"43","2021_Q2",226.772857142857,"Up",484074000,-374369000,109705000,-61190000,-35372000,-25818000,48515000,-721000,-852000,131000,47794000,199000,47993000,-10702000,37291000,37291000,37291000,37291000,53260000,53260000,242895000,242895000,52160000,52160000,348315000,1121768000,1918279000,-796511000,140502000,20030000,120472000,1262270000,1610585000,121613000,121613000,21055000,164590000,164590000,307258000,44962000,260747000,121144000,139603000,305709000,612967000,267456000,733831000,-3669000,997618000,997618000,1610585000,37291000,35372000,3692000,-15384000,60971000,-25388000,-25388000,-4959000,3678000,3678000,-7631000,27952000,27952000,27952000,83887000,66017000,53817000,0.22663,0.10022,0.07704,0.03738,0.02315,1.44316,1.13362,0.61443,0.04099,1.41872,1.39819,18.41636,37.95389,2.04744,0.02816,0.04064,0.15207,0.26295
"44","2021_Q3",231.18171875,"Up",571333000,-421931000,149402000,-66546000,-34659000,-31887000,82856000,-404000,-834000,430000,82452000,69000,82521000,-20047000,62474000,62474000,62474000,62474000,52860000,52860000,261113000,261113000,39908000,38310000,353881000,1156940000,1983923000,-826983000,136574000,19739000,116835000,1293514000,1647395000,100499000,100499000,21648000,162748000,162748000,284895000,39378000,259964000,1.23e+08,136964000,299342000,584237000,270634000,796305000,-3781000,1063158000,1063158000,1647395000,62474000,34659000,5131000,-23095000,79169000,-74578000,-74578000,-4991000,4.65661287307739e-10,4.65661287307739e-10,-4991000,-4e+05,-4e+05,-4e+05,117515000,61026000,39889000,0.2615,0.14502,0.10935,0.05876,0.03792,0.63849,1.24215,0.54953,0.03704,2.37679,2.34239,21.73609,40.44733,1.51756,0.04514,0.02882,0.06949,0.0985600000000001
"45","2021_Q4",310.36015625,"Up",616216000,-448114000,168102000,-65832000,-35742000,-30090000,102270000,-791000,-777000,-14000,101479000,3847000,105326000,-25617000,79709000,79709000,79709000,79709000,121702000,121702000,295862000,295862000,33045000,33045000,450609000,1202224000,2048419000,-846195000,136426000,19448000,116978000,1338650000,1789259000,140774000,140774000,20245000,177602000,177602000,338621000,34926000,270986000,124903000,146083000,305912000,644533000,272571000,876014000,-3859000,1144726000,1144726000,1789259000,79709000,35742000,553000,11542000,127546000,-48458000,-48958000,-5855000,0,0,-6076000,72512000,72512000,72512000,138012000,55171000,126713000,0.2728,0.16596,0.12935,0.06963,0.04455,1.5897,1.33072,0.56305,0.03083,3.0288,2.98547,23.41513,43.49759,4.81487,0.05419,0.08615,-0.48207,-0.65054
"46","2022_Q1",277.031290322581,"Down",617081000,612800000,1229881000,-1128381000,-35927000,-28751000,101500000,-452000,-749000,297000,101048000,-4115000,96933000,-23172000,73761000,73761000,73761000,73761000,106588000,106588000,276755000,276755000,32912000,32912000,416255000,1280454000,2144528000,-864074000,148541000,19157000,129384000,1428995000,1845250000,114010000,114010000,19396000,187942000,187942000,321348000,31008000,272561000,124137000,148424000,303569000,624917000,274659000,949775000,-4554907.58277141,1220333000,1220333000,1845250000,73761000,35927000,-6599000,11817000,114906000,-128924000,-128924000,-11337000,0,0,-4766000,-18784000,-18784000,-18784000,137427000,50404000,43492000,1.99306,0.16448,0.11953,0.06044,0.03997,0.58963,1.29534,0.51209,0.02732,2.79557,2.75691,23.38757,46.25101,1.64836,0.04779,0.02818,-0.40883,-0.55354
"47","2022_Q2",200.922903225806,"Down",661216000,-490482000,170734000,-67261000,-39952000,-27309000,103473000,-927000,-692000,-235000,102546000,-24000,102522000,-23098000,79424000,79424000,79424000,79424000,141325000,141325000,322343000,322343000,46998000,46998000,510666000,1271565000,2162492000,-890927000,150118000,18866000,131252000,1421683000,1932349000,130163000,130163000,18373000,190585000,190585000,339121000,26506000,275232000,122106000,153126000,301738000,640859000,267771000,1029199000,-5480000,1291490000,1291490000,1932349000,79424000,39952000,-1849000,-21566000,95961000,-45376000,-45376000,-5525000,907000,907000,-15848000,34737000,34737000,34737000,143425000,44879000,99581000,0.25821,0.15649,0.12012,0.0615,0.0411,1.25379,1.50585,0.49622,0.02323,3.0158,2.9709,25.10693,49.03896,3.78117,0.04928,0.06179,-0.67245,-0.93209
"48","2022_Q3",212.003125,"Up",745554000,-532401000,213153000,-67139000,-36944000,-30195000,146014000,-1437000,-668000,-769000,144577000,-21000,144556000,-35311000,109245000,109245000,109245000,109245000,137871000,137871000,357052000,357052000,41453000,32041000,536376000,1352899000,2277527000,-924628000,158580000,18576000,140004000,1511479000,2047855000,145298000,145298000,17935000,175916000,175916000,339149000,21360000,283584000,123229000,160355000,304944000,644093000,271421000,1138444000,-6103000,1403762000,1403762000,2047855000,109245000,36944000,4804000,-39049000,111944000,-109915000,-109915000,-5584000,101000,101000,-5483000,-3454000,-3454000,-3454000,182958000,39295000,69305000,0.285900000000001,0.19585,0.14653,0.07782,0.05335,0.6344,1.58153,0.45883,0.01919,4.13948,4.09618,28.25031,53.19094,2.62608,0.06327,0.04014,-0.53879,-0.67511
