"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",31.92109375,"Down",99082000,-83692000,15390000,-10219000,-10219000,5171000,62000,68000,-6000,5233000,7000,5240000,-980000,4260000,4260000,4260000,4260000,17115000,8173000,54319000,54319000,68680000,14573000,1230000,7316000,6027000,154687000,147928000,4330000,653000,152258000,306945000,57292000,22214000,35078000,58737000,8597000,8397000,2e+05,8597000,67334000,210000,239401000,239611000,239611000,306945000,4260000,4129000,2244000,111000,10744000,-8445000,6000,-8451000,-8451000,14000,-20421000,-3039000,1340000,-4379000,-568000,-3607000,-13284000,-13284000,-13284000,9300000,0,1946000,0.15533,0.05219,0.04299,0.01778,0.01388,0.45681,2.63355,0.28101,0,0.08125,0.08051,1.88966,4.56977,0.03711,0.01716,0.00784,-1.84032,-3.3098
"32","2018_Q3",37.3719047619048,"Up",109588000,-82003000,27585000,-13086000,-13086000,14499000,79000,67000,12000,14578000,4000,14582000,-2891000,11691000,11691000,11691000,11691000,18809000,15854000,53418000,53418000,70467000,11971000,1453000,4971000,5547000,154665000,161121000,4485000,634000,165606000,320271000,71673000,25127000,38146000,73219000,8615000,8415000,2e+05,8615000,81834000,209000,238228000,238437000,238437000,320271000,11691000,4309000,2307000,7195000,25502000,-17469000,5000,-17474000,-17474000,2000,-11380000,-6201000,959000,-7160000,-240000,-6441000,7681000,7681000,7681000,18808000,5.55111512312578e-17,11425000,0.25172,0.1323,0.10668,0.04903,0.0365,0.97725,2.11236,0.34321,-1.03397576569128e-25,0.22318,0.22177,2.09202,4.55173,0.2181,0.04732,0.04625,-1.00005,-1.29726
"33","2018_Q4",35.0392063492063,"Down",112937000,-80174000,32763000,-13190000,-13190000,19573000,41000,36000,5000,19614000,-2000,19612000,-5527000,14085000,14085000,14085000,14085000,8517000,7265000,51207000,51207000,79182000,5790000,1310000,2292000,2188000,144696000,164896000,4432000,639000,169328000,314024000,53716000,16224000,37492000,55354000,9041000,8841000,2e+05,9041000,64395000,209000,249420000,249629000,249629000,314024000,14085000,4427000,2058000,-12624000,7946000,-8403000,0,-8403000,-8403000,16000,-3327000,-4756000,1205000,-5961000,-52000,-13208000,-8589000,-8589000,-8589000,2.4e+07,0,8500000,0.2901,0.17331,0.12472,0.05642,0.04485,0.60348,2.61401,0.25796,0,0.26963,0.26764,2.16194,4.77861,0.16271,0.08693,0.03286,-0.35488,-0.43514
"34","2019_Q1",38.4280327868852,"Up",112340000,-84545000,27795000,-11699000,-11699000,16096000,-33000,25000,-58000,16063000,3000,16066000,-3773000,12293000,12293000,12293000,12293000,1994000,1994000,54078000,54078000,77612000,7177000,1046000,6104000,27000,140861000,163003000,4333000,598000,167336000,308197000,48071000,10616000,37455000,48071000,12627000,10826000,1801000,12627000,60698000,208000,247291000,247499000,247499000,308197000,12293000,4790000,4249000,-10668000,10664000,-2938000,2000,-2940000,-2940000,10101000,493000.000000001,-7863000,1483000,-9346000,-237000,-16428000,-5271000,-5271000,-5271000,20886000,-4.44089209850063e-16,11053000,0.24742,0.14328,0.10943,0.04967,0.03989,0.89913,2.93027,0.24525,0,0.23603,0.23453,2.15699,4.75211,0.21222,0.07927,0.04249,-0.09547,-0.12388
"35","2019_Q2",46.5015873015873,"Up",113822000,-88029000,25793000,-11001000,-11001000,14792000,-17000,9000,-26000,14775000,-284000,14491000,-3589000,10902000,10902000,10902000,10902000,7143000,7143000,58688000,58688000,74577000,6390000,1607000,4756000,27000,146798000,166652000,6075000,2399000,172727000,319525000,4.4e+07,5947000,38053000,4.4e+07,16155000,12713000,3442000,16155000,60155000,1177000,258193000,259370000,259370000,319525000,8757000,5914000,7050000,-6808000,14913000,-8720000,52000,-8772000,-8772000,17000,-8703000,-473000,4010000,-4483000,-588000,-1061000,5149000,5149000,5149000,20706000,0,8767000,0.22661,0.12996,0.09578,0.04203,0.03412,0.80416,3.33632,0.23193,0,0.20969,0.20817,2.18922,4.98864,0.16862,0.03957,0.03182,-0.34497,-0.4829
"36","2019_Q3",47.37984375,"Up",119437000,-89262000,30175000,-13481000,-13481000,16694000,48000,31000,17000,16742000,-6000,16736000,-3775000,12961000,12961000,12961000,12961000,13683000,13683000,68933000,68933000,77044000,8970000,1696000,3246000,4028000,168630000,167631000,5990000,2372000,173621000,342251000,58953000,7885000,42713000,58953000,18729000,14938000,3791000,18729000,77682000,1795000,262774000,264569000,264569000,342251000,13391000,5846000,5586000,-3864000,20959000,-8005000,7000,-8012000,-8012000,11000,-11994000,-2033000,3675000,-5708000,-392000,-2425000,6540000,6540000,6540000,22540000,7.105427357601e-15,14446000,0.25264,0.13977,0.10852,0.04899,0.03787,1.11457,2.86041,0.29362,0,0.24838,0.24543,2.28881,5.07001,0.27683,0.04575,0.05099,-0.60705,-0.81964
"37","2019_Q4",47.624375,"Up",113500000,-86424000,27076000,-14481000,-14481000,12595000,2000,9000,-7000,12597000,-5999.99999999997,12591000,-16000,12575000,12575000,12575000,12575000,28373000,28373000,56083000,56083000,80623000,5457000,1559000,3870000,28000,170536000,175738000,5878000,2318000,181616000,352152000,53882000,11118000,42764000,53882000,18703000,15034000,3669000,18703000,72585000,2889000,276678000,279567000,279567000,352152000,14290000,5867000,2186000,12368000,34711000,-14038000,9000,-14047000,-14047000,11000,-10027000,-1648000,3598000,-5246000,-43000,-9994000,14690000,14690000,14690000,18462000,0,16808000,0.23856,0.11097,0.11079,0.04498,0.03571,1.33662,3.16499,0.25963,0,0.24144,0.23864,2.1792,5.36768,0.32271,0.07,0.05635,-1.53683,-2.25272
"38","2020_Q1",51.3314516129032,"Up",122574000,-86193000,36381000,-13114000,-13114000,23267000,-13000,17000,-30000,23254000,-41000,23213000,-5940000,17273000,17273000,17273000,17273000,26797000,26797000,67399000,67399000,73601000,19752000,1375000,772000,17605000,187549000,178094000,5781000,2280000,183875000,371424000,56028000,11759000,44269000,56028000,25256000,15297000,9959000,25256000,81284000,3839000,286301000,290140000,290140000,371424000,17273000,5139000,4852000,78000.0000000019,27342000,-6334000,1000,-6335000,-6335000,12000,-6322000,-2807000,1342000,-4149000,-485000,-5020000,1.6e+07,1.6e+07,1.6e+07,28406000,1.13686837721616e-13,28090000,0.29681,0.18982,0.14092,0.05953,0.0465,1.62624,3.34742,0.28015,2.11758236813575e-22,0.33178,0.32796,2.35444,5.5731,0.53956,0.08122,0.08906,-0.94336,-1.15172
"39","2020_Q2",49.5577777777778,"Down",137483000,-94536000,42947000,-15214000,-15214000,27733000,34000,61000,-27000,27767000,62000,27829000,-5976000,21853000,21853000,21853000,21853000,35677000,35677000,69894000,69894000,72855000,18540000,2045000,0,16495000,196966000,193029000,5625000,2183000,198654000,395620000,64185000,13501000,50684000,64185000,25112000,15130000,9982000,25112000,89297000,208000,306115000,306323000,306323000,395620000,21853000,6002000,2197000,7545000,37597000,-21816000,61000,-21877000,-21877000,12000,-21804000,-7068000,4497000,-11565000,-953000,-8021000,7772000,7772000,7772000,33735000,0,25440000,0.31238,0.20172,0.15895,0.07134,0.05524,1.16414,3.06872,0.29151,0,0.41967,0.41332,2.64026,5.8827,0.48856,0.06593,0.07676,-1.05757,-1.28645
"40","2020_Q3",56.6521875,"Up",125596000,-87465000,38131000,-15939000,-15939000,22192000,51000,19000,32000,22243000,0,22243000,-4439000,17804000,17804000,17804000,17804000,61284000,61284000,56394000,56394000,85411000,16686000,1943000,5154000,9589000,219775000,204428000,5604000,2220000,210032000,429807000,76620000,19698000,46992000,76620000,30492000,20358000,10134000,30492000,107112000,6660000,316035000,322695000,322695000,429807000,17804000,6338000,8417000,-7394000,25165000,-11633000,1.45519152283669e-11,-11633000,-11633000,13000.0000000001,-11620000,5304000,9676000,-4372000,-149000,5155000,18700000,18700000,18700000,28530000,1.81898940354586e-12,13942000,0.3036,0.17669,0.14176,0.05517,0.04142,0.78308,2.86838,0.33193,-1.6940658945086e-21,0.34075,0.33656,2.4038,6.17612,0.26684,0.05041,0.03947,-2.14805,-2.76154
"41","2020_Q4",62.52984375,"Up",134772000,-93924000,40848000,-14716000,-14716000,26132000,25000,10000,15000,26157000,-1000,26156000,-5696000,20460000,20460000,20460000,20460000,70603000,70603000,62195000,62195000,78819000,13914000,1973000,3914000,8027000,225531000,208878000,5504000,2178000,214382000,439913000,61506000,16038000,45468000,61506000,33515000,22973000,10542000,33515000,95021000,8384000,336508000,344892000,344892000,439913000,20460000,6631000,7546000,-404000,34233000,-15445000,0,-15445000,-15445000,13000,-15432000,-1107000,4346000,-5453000,-28000,-11045000,7756000,7756000,7756000,32763000,0,22610000,0.30309,0.1939,0.15181,0.05932,0.04651,1.10508,3.66681,0.27551,0,0.39193,0.38535,2.58167,6.60669,0.43311,0.08026,0.05975,-2.15496,-2.70178
"42","2021_Q1",72.7219672131148,"Up",116700000,-82777000,33923000,-14622000,-14622000,19301000,29000,-2000,31000,19330000,6417000,25747000,-6855000,18892000,18892000,18892000,18892000,79025000,79025000,47387000,47387000,82219000,11620000,3770000,4587000,3263000,220251000,223340000,5417000,2150000,228757000,449008000,59033000,12447000,46586000,59033000,39110000,28324000,10786000,39110000,98143000,5370000,345495000,350865000,350865000,449008000,18892000,6663000,999000.000000001,5265000,31819000,-18848000,-1000,-18847000,-18847000,6431000,-12417000,-5771000,2899000,-8670000,-39000,-15715000,3687000,3687000,3687000,25964000,0,19236000,0.29069,0.16539,0.16189,0.05384,0.04207,1.01821,3.73098,0.27972,2.71050543121376e-20,0.36226,0.35392,2.23775,6.72792,0.36885,0.07384,0.04933,-3.04364,-4.09435
"43","2021_Q2",65.3585714285714,"Down",115788000,-82631000,33157000,-14696000,-14696000,18461000,20000,3000,17000,18481000,7431872.22991258,18481000,-2105000,16376000,16376000,16376000,16376000,97047000,97047000,52579000,52579000,84040000,11741000,3631000,7353000,757000,245407000,232648000,5329000,2100000,237977000,483384000,66679000,17615000,49064000,66679000,43667000,32982000,10685000,43667000,110346000,11167000,361871000,373038000,373038000,483384000,16376000,7398000,7208000,-2144000,28838000,-16404000,-225.061749403984,-16404000,-16404000,14000,-16390000,4253000,9438000,-5185000,-1217000,3036000,15484000,15484000,15484000,25859000,0,9416000,0.28636,0.15944,0.14143,0.0439,0.03388,0.57499,3.68042,0.2958,0,0.31316,0.3043,2.2142,7.13355,0.18006,0.0393,0.0226,-3.75293,-5.25687
"44","2021_Q3",64.5165625,"Down",143876000,-101769000,42107000,-16895000,-16895000,25212000,35000,-4000,39000,25247000,3553227.38789647,25247000,-4632000,20615000,20615000,20615000,20615000,111427000,111427000,53311000,53311000,87399000,7003000,2940000,3339000,724000,259140000,239764000,5280000,2051000,245044000,504184000,78511000,21250000,47291000,78511000,41947000,31071000,10876000,41947000,120458000,11208000,372518000,383726000,383726000,504184000,20615000,7526000,1626000,4307000,34074000,-16751000,2000,-16753000,-16753000,15000.0000000009,-16736000,-2676000,2410000,-5086000,-315000,-2991000,14347000,14347000,14347000,32738000,4.65661287307739e-10,24926000,0.29266,0.17523,0.14328,0.05372,0.04089,1.20912,3.30068,0.31392,0,0.39422,0.38307,2.75132,7.33793,0.47666,0.04843,0.05856,-3.4036,-4.4196
"45","2021_Q4",74.41375,"Up",138571000,-102552000,36019000,-15897000,-15897000,20122000,-29000,-10000,-19000,20093000,15000.0000000056,20108000,-4527000,15581000,15581000,15581000,15581000,101813000,101813000,58756000,58756000,104553000,5493000,2802000,1999000,692000,270615000,240581000,5207000,1978000,245788000,516403000,74206000,25940000,48266000,74206000,41918000,31090000,10828000,41918000,116124000,12176000,388103000,400279000,400279000,516403000,15581000,7608000,3090000,-14488000,11791000,-9462000,-2000,-16679022.474458,-16679022.474458,12000,-9450000,-2018000,2725000,-4743000,-5000,-11987000,-9646000,-9646000,-9646000,27730000,0,8307000,0.25993,0.14521,0.11244,0.03893,0.03017,0.53315,3.64681,0.29011,0,0.29739,0.29034,2.64487,7.64003,0.15855,0.05777,0.01879,-3.67158,-5.05979
"46","2022_Q1",60.7359677419355,"Down",136282000,-109735000,26547000,-21110000,-21110000,5437000,-97000,-121000,24000,5340000,6000,5346000,839999.999999999,6186000,6186000,6186000,6186000,2858999.99999999,2859000,70780000,70780000,130270000,14171000,2071000,5723000,6377000,218080000,258062000,174038000,18190000,432100000,650180000,79226000,29020000,50206000,86768000,57242000,31993000,25249000,97242000,184010000,81864000,384306000,466170000,466170000,650180000,6186000,7811000,4299000,-31816000,-13520000,-12726000,-2506.90081030372,-15467577.9382915,-15467577.9382915,13000,-116143000,713000,6575000,-5862000,-53000,30677000,-98986000,-98986000,-98986000,13248000,4e+07,-32134000,0.19479,0.0399,0.04539,0.01327,0.00951,-5.19463,2.51337,0.39473,0.06152,0.11782,0.1163,2.59555,8.87842,-0.61201,0.0287,-0.05703,2.80352,6.83116
"47","2022_Q2",52.2420967741935,"Down",182771000,-136707000,46064000,-23056000,-23056000,23008000,-169000,-190000,21000,22839000,2000,22841000,-4782000,18059000,18059000,18059000,18059000,5633000,5633000,113736000,113736000,146091000,18236000,5548000,2092000,10596000,283696000,266370000,167392000,18190000,433762000,717458000,88686000,35796000,52890000,114226000,58076000,32966000,25110000,123076000,237302000,77786000,402370000,480156000,480156000,717458000,18059000,7076000,4654000,-36592000,-6803000,-14029000,2000,-14031000,-14031000,14000,-14264000,-388000,2890000,-3278000,-804000,23808000,2741000,2741000,2741000,30084000,6.5e+07,-15755000,0.25203,0.12588,0.09881,0.03761,0.02517,-0.87242,2.48364,0.49422,0.0906,0.34324,0.33473,3.47386,9.12615,-0.29945,0.02994,-0.02612,1.97337,2.58028
"48","2022_Q3",57.6465625,"Up",208814000,-161438000,47376000,-26933000,-26933000,20443000,-330000,-550000,220000,20113000,10000,20123000,-4177000,15946000,15946000,15946000,15946000,17647000,17647000,124335000,124335000,164001000,21429000,4679000,7618000,9132000,327412000,292464000,156836000,8535000,449300000,776712000,106410000,36189000,60125000,136169000,43788000,31866000,11922000,150037000,286206000,82291000,408215000,490506000,490506000,776712000,15946000,9224000,2606000,-22553000,5223000,-13186000,10000,-13196000,-13196000,-21987000,-35173000,861000,3495000,-2634000,-150000,41932000,11982000,11982000,11982000,29667000,106249000,-1895000,0.22688,0.0979,0.07636,0.03251,0.02053,-0.11884,2.40445,0.58349,0.13679,0.30033,0.29716,3.93282,9.23822,-0.03569,0.02489,-0.00296,2.98655,4.3341
