"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",39.7766666666667,"Up",2.752e+09,-1.872e+09,8.8e+08,-3.86e+08,-3.2e+08,-6.6e+07,4.94e+08,-1.23e+08,-1.23e+08,3.71e+08,-7e+06,3.64e+08,-1.19e+08,2.45e+08,2.45e+08,2.45e+08,2.45e+08,8.14e+08,8.14e+08,8.55e+08,7.5e+08,7.5e+08,2.419e+09,1.2494e+10,7.09e+08,4.251e+09,1.065e+09,8.63e+08,1.566e+09,3.95e+08,3.62e+08,1.7454e+10,1.9873e+10,1.866e+09,1.866e+09,2.6e+07,1.892e+09,1.4131e+10,3.449e+09,2.424e+09,1.025e+09,1.758e+10,1.9472e+10,6.863e+09,-4.976e+09,-1.442e+09,-4.4e+07,4.01e+08,4.01e+08,1.9873e+10,2.45e+08,2.45e+08,5.47e+08,2.24e+08,-1.14e+08,-7.6e+07,-3.8e+07,9.02e+08,2.07e+08,1.815e+09,-1.608e+09,6e+06,2.1e+08,-9.28e+08,-1e+06,-9.64e+08,1.48e+08,1.48e+08,5e+06,1.53e+08,1.041e+09,1.4157e+10,1.253e+09,0.31977,0.17951,0.08903,0.61097,0.01233,5.11429,1.27854,48.5586,0.71237,2.9697,2.82584,33.35758,4.86061,15.18788,0.01361,0.06958,12.81748,27.01012
"32","2018_Q1",45.045737704918,"Up",2.019e+09,-1.563e+09,4.56e+08,-3.1e+08,-2.45e+08,-6.5e+07,1.46e+08,-1.17e+08,-1.17e+08,2.9e+07,-2.8e+07,1e+06,2.19e+08,2.2e+08,2.2e+08,2.2e+08,2.2e+08,6.11e+08,6.11e+08,9.22e+08,5.33e+08,5.33e+08,2.066e+09,1.133e+10,5.47e+08,3.756e+09,1.073e+09,8.5e+08,9.31e+08,4.23e+08,4.79e+08,1.5633e+10,1.7699e+10,1.619e+09,1.619e+09,2.6e+07,1.645e+09,1.2794e+10,2.687e+09,1.594e+09,1.093e+09,1.5481e+10,1.7126e+10,6.821e+09,-5.002e+09,-1.222e+09,-2.4e+07,5.73e+08,5.73e+08,1.7699e+10,2.2e+08,2.2e+08,4.47e+08,-7.2e+07,1.2e+07,5.3e+07,-2.5e+07,6.07e+08,8.05e+08,2.73e+09,-1.925e+09,-2.9e+07,7.72e+08,-1.41e+09,-7e+06,-1.483e+09,-1.04e+08,-1.04e+08,4e+06,-1e+08,5.93e+08,1.282e+10,1.191e+09,0.22585,0.07231,0.10896,0.38394,0.01243,5.41364000000006,1.25593,29.88831,0.72433,2.70603,2.66022,24.83395,7.04797,14.64945,0.01368,0.07407,20.58853,83.62329
"33","2018_Q2",43.5534375,"Down",1.968e+09,-1.607e+09,3.61e+08,-3.57e+08,-2.96e+08,-6.1e+07,4e+06,-1.18e+08,-1.18e+08,-1.14e+08,-1.5e+07,-1.29e+08,4.2e+07,-8.7e+07,-8.7e+07,-8.7e+07,-8.7e+07,5.44e+08,5.44e+08,8.8e+08,6.99e+08,6.99e+08,2.123e+09,1.307e+10,3.32e+08,3.697e+09,1.085e+09,8.49e+08,9.67e+08,4.23e+08,3.73e+08,1.7099e+10,1.9222e+10,1.777e+09,1.777e+09,2.6e+07,1.803e+09,1.3963e+10,3.001e+09,1.567e+09,1.434e+09,1.6964e+10,1.8767e+10,6.781e+09,-4.96e+09,-1.344e+09,-2.2e+07,4.55e+08,4.55e+08,1.9222e+10,-8.7e+07,-8.7e+07,4.6e+08,5e+06,1.25e+08,1.6e+07,1.09e+08,5.03e+08,-1.707e+09,2.576e+09,-4.283e+09,-1.9e+07,-1.736e+09,1.046e+09,-8e+06,1.024e+09,-2.09e+08,-2.09e+08,9e+06,-2e+08,4.64e+08,1.3989e+10,-1.16e+09,0.18343,0.00203,-0.04421,-0.19121,-0.00453,13.33333,1.17748,41.24615,0.72776,-1.07407,-1.07407,24.2963,5.61728,-14.32099,-0.00499,-0.06649,28.97629,3361.25
"34","2018_Q3",33.3619047619048,"Down",2.328e+09,-1.766e+09,5.62e+08,-3.88e+08,-3.21e+08,-6.7e+07,1.74e+08,-1.29e+08,-1.29e+08,4.5e+07,-7e+06,3.8e+07,-1.2e+07,2.6e+07,2.6e+07,2.6e+07,2.6e+07,4.89e+08,4.89e+08,9.02e+08,8.32e+08,8.32e+08,2.223e+09,1.4582e+10,2.53e+08,3.861e+09,1.049e+09,8.43e+08,1.12e+09,4.45e+08,4.04e+08,1.8696e+10,2.0919e+10,1.832e+09,1.832e+09,2.4e+07,1.856e+09,1.532e+10,3.371e+09,1.727e+09,1.644e+09,1.8691e+10,2.0547e+10,6.78e+09,-5.02e+09,-1.316e+09,-7.2e+07,3.72e+08,3.72e+08,2.0919e+10,2.6e+07,2.6e+07,5.36e+08,1.08e+08,-5.2e+07,-8.4e+07,3.2e+07,6.18e+08,-1.954e+09,2.237e+09,-4.191e+09,-4e+07,-2.012e+09,1.441e+09,-1.2e+07,1.365e+09,-2.9e+07,-2.9e+07,-1.1e+07,-4e+07,7.1e+08,1.5344e+10,-1.284e+09,0.24141,0.07474,0.01117,0.06989,0.00124,-49.38462,1.19774,55.23387,0.7335,0.32258,0.32258,28.88337,4.61538,-15.93052,0.00136,-0.06727,20.92254,85.37356
"35","2018_Q4",29.0192063492063,"Down",2.778e+09,-1.881e+09,8.97e+08,-3.98e+08,-3.36e+08,-6.2e+07,4.99e+08,-1.29e+08,-1.29e+08,3.7e+08,-1.5e+07,3.55e+08,-1.42e+08,2.13e+08,2.13e+08,2.13e+08,2.13e+08,6.05e+08,6.05e+08,9.18e+08,6.57e+08,6.57e+08,2.18e+09,1.2882e+10,7.72e+08,3.907e+09,1.064e+09,8.44e+08,1.065e+09,5.16e+08,4.18e+08,1.7561e+10,1.9741e+10,1.885e+09,1.885e+09,2.3e+07,1.908e+09,1.446e+10,2.852e+09,1.775e+09,1.077e+09,1.7312e+10,1.922e+10,6.767e+09,-5.065e+09,-1.103e+09,-7.8e+07,5.21e+08,5.21e+08,1.9741e+10,2.13e+08,2.13e+08,5.4e+08,2.96e+08,-7.5e+07,-7.2e+07,-3e+06,9.74e+08,1.86e+08,1.948e+09,-1.762e+09,-7.9e+07,7.1e+07,-8.65e+08,-5e+06,-9.35e+08,1.1e+08,1.1e+08,-3e+06,1.07e+08,1.039e+09,1.4483e+10,1.292e+09,0.32289,0.17963,0.07667,0.40883,0.01079,6.06573,1.14256,36.8906,0.73365,2.70648,2.61671,35.2986,6.62008,16.41677,0.01193,0.07236,13.35707,27.8116199999999
"36","2019_Q1",29.9606557377049,"Up",2.05e+09,-1.564e+09,4.86e+08,-3.33e+08,-2.67e+08,-6.6e+07,1.53e+08,-1.26e+08,-1.26e+08,2.7e+07,-2.4e+07,3000000.00000006,1e+07,1.3e+07,1.3e+07,1.3e+07,1.3e+07,6.15e+08,6.15e+08,9.55e+08,6.04e+08,6.04e+08,2.174e+09,1.221e+10,6.31e+08,4.134e+09,1.092e+09,8.25e+08,1.301e+09,5.59e+08,3.57e+08,1.6975e+10,1.9149e+10,1.693e+09,1.693e+09,2.3e+07,1.716e+09,1.376e+10,3.259e+09,1.961e+09,1.298e+09,1.7019e+10,1.8735e+10,6.772e+09,-5.134e+09,-1.091e+09,-1.33e+08,4.14e+08,4.14e+08,1.9149e+10,1.3e+07,1.3e+07,4.38e+08,2.2e+07,4.1e+07,9.6e+07,-9e+07,5.14e+08,3.2e+08,2.904e+09,-2.584e+09,-4.2e+07,2.51e+08,-7.02e+08,-1.2e+07,-7.87e+08,-2.2e+07,-2.2e+07,-1.1e+07,-3.3e+07,5.91e+08,1.3783e+10,9.42e+08,0.23707,0.07463,0.00633999999999998,0.0314,0.00068,72.46154,1.2669,45.25362,0.71978,0.16905,0.16796,26.658,5.38362,12.24967,0.00074,0.05396,22.28088,86.06536
"37","2019_Q2",33.5604761904762,"Up",1.92e+09,-1.556e+09,3.64e+08,-3.51e+08,-2.84e+08,-6.7e+07,1.3e+07,-1.23e+08,-1.23e+08,-1.1e+08,-2.6e+07,-1.36e+08,4.5e+07,-9.1e+07,-9.1e+07,-9.1e+07,-9.1e+07,5.4e+08,5.4e+08,9.15e+08,6.82e+08,6.82e+08,2.137e+09,1.3322e+10,6.27e+08,6.816e+09,1.086e+09,8.09e+08,1.389e+09,6.37e+08,2.895e+09,2.0765e+10,2.2902e+10,2.235e+09,2.235e+09,2.3e+07,2.258e+09,1.4706e+10,5.614e+09,1.995e+09,3.619e+09,2.032e+10,2.2578e+10,6.738e+09,-5.099e+09,-1.178e+09,-1.37e+08,3.24e+08,3.24e+08,2.2902e+10,-9.1e+07,-9.1e+07,6.51e+08,-3e+06,-1.17e+08,2e+06,9.7e+07,4.4e+08,-1.348e+09,3.085e+09,-4.433e+09,-8.1e+07,-1.434e+09,9.46e+08,-5e+06,9.37e+08,-5.7e+07,-5.7e+07,-2e+06,-5.9e+07,6.64e+08,1.4729e+10,-8.46e+08,0.18958,0.00677,-0.0474,-0.28086,-0.00397,9.2967,0.94641,69.68519,0.64313,-1.20053,-1.20053,25.32982,4.27441,-11.16095,-0.0044,-0.04093,21.36898,1091.46154
"38","2019_Q3",30.65140625,"Down",2.337e+09,-1.715e+09,6.22e+08,-3.79e+08,-3.13e+08,-6.6e+07,2.43e+08,-1.38e+08,-1.38e+08,1.05e+08,-2.4e+07,8.1e+07,-1.9e+07,6.2e+07,6.2e+07,6.2e+07,6.2e+07,5.34e+08,5.34e+08,9.2e+08,8.32e+08,8.32e+08,2.286e+09,1.5027e+10,4.32e+08,6.71e+09,1.107e+09,8.06e+08,1.438e+09,6.79e+08,2.68e+09,2.2169e+10,2.4455e+10,2.249e+09,2.249e+09,4.2e+08,2.669e+09,1.5571e+10,5.839e+09,2.029e+09,3.81e+09,2.141e+10,2.4079e+10,6.724e+09,-5.093e+09,-1.116e+09,-1.39e+08,3.76e+08,3.76e+08,2.4455e+10,6.2e+07,6.2e+07,7.76e+08,5.8e+07,-3.71e+08,-7.9e+07,-2.5e+07,5.25e+08,-1.705e+09,2.694e+09,-4.399e+09,4.2e+07,-1.712e+09,1.114e+09,-2.4e+07,1.09e+09,-9.7e+07,-9.7e+07,6e+06,-9.1e+07,1.019e+09,1.5991e+10,-1.038e+09,0.26615,0.10398,0.02653,0.16489,0.00254,-16.74194,0.8565,64.03989,0.65389,0.81579,0.81579,30.75,4.94737,-13.65789,0.00279,-0.04674,15.16879,63.60905
"39","2019_Q4",29.98671875,"Down",2.753e+09,-1.842e+09,9.11e+08,-4.12e+08,-3.5e+08,-6.2e+07,4.99e+08,-1.39e+08,-1.39e+08,3.6e+08,-3.2e+07,3.28e+08,-1.39e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,6.15e+08,6.15e+08,8.72e+08,6.6e+08,6.6e+08,2.147e+09,1.3504e+10,9.05e+08,6.552e+09,1.083e+09,7.92e+08,1.36e+09,6.42e+08,2.675e+09,2.0961e+10,2.3108e+10,2.195e+09,2.195e+09,95000000.0000001,2.29e+09,1.498e+10,5.343e+09,2.058e+09,3.285e+09,2.0323e+10,2.2613e+10,6.736e+09,-5.141e+09,-9.27e+08,-1.73e+08,4.95e+08,4.95e+08,2.3108e+10,1.89e+08,1.89e+08,7.82e+08,2.77e+08,-2.82e+08,1.2e+07,-3.1e+07,9.66e+08,8.7e+07,2.054e+09,-1.967e+09,3.5e+07,1.08e+08,-8.81e+08,5e+06,-9.37e+08,1.37e+08,1.37e+08,-1.4e+07,1.23e+08,1.281e+09,1.5075e+10,1.225e+09,0.33091,0.18126,0.06865,0.38182,0.00818,6.48148,0.93755,45.68283,0.65237,2.52,2.46094,36.70667,6.6,16.33333,0.00904,0.05858,11.28806,28.97796
"40","2020_Q1",29.9362903225806,"Down",2.162e+09,-1.648e+09,5.14e+08,-3.58e+08,-2.9e+08,-6.8e+07,1.56e+08,-1.22e+08,-1.22e+08,34000000.0000001,-2e+07,1.4e+07,1.28e+08,1.42e+08,1.42e+08,1.42e+08,1.42e+08,6.86e+08,6.86e+08,9.11e+08,5.48e+08,5.48e+08,2.145e+09,1.2969e+10,7.78e+08,7.234e+09,1.101e+09,7.98e+08,1.662e+09,6.49e+08,3.024e+09,2.0981e+10,2.3126e+10,2.206e+09,2.206e+09,1.9e+07,2.225e+09,1.4484e+10,5.761e+09,2.189e+09,3.572e+09,2.0245e+10,2.247e+10,6.742e+09,-5.144e+09,-7.85e+08,-1.57e+08,6.56e+08,6.56e+08,2.3126e+10,1.42e+08,1.42e+08,-3.19e+08,8e+08,31999999.9999999,7.5e+07,4.3e+07,6.55e+08,3e+08,2.638e+09,-2.338e+09,-5e+06,2.86e+08,-7.64e+08,-6e+06,-7.72e+08,1.69e+08,1.69e+08,2.3e+07,1.92e+08,-1.63e+08,1.4503e+10,4.1e+07,0.23774,0.07216,0.06568,0.21646,0.00614,0.288730000000002,0.96404,34.25305,0.62713,1.91892,1.91375,29.21622,8.86486,0.554049999999997,0.00679,0.00196,-84.76687,88.57051
"41","2020_Q2",18.3480952380952,"Down",1.753e+09,-1.517e+09,2.36e+08,-3.2e+08,-2.51e+08,-6.9e+07,-8.4e+07,-1.31e+08,-1.31e+08,-2.15e+08,-5e+07,-2.65e+08,1.07e+08,-1.58e+08,-1.58e+08,-1.58e+08,-1.58e+08,6.79e+08,6.79e+08,7.12e+08,5.36e+08,5.36e+08,1.927e+09,1.3582e+10,6.61e+08,7.382e+09,1.069e+09,7.94e+08,1.797e+09,7.85e+08,2.937e+09,2.1625e+10,2.3552e+10,2.145e+09,2.145e+09,1.18e+08,2.263e+09,1.5394e+10,5.603e+09,2.204e+09,3.399e+09,2.0997e+10,2.326e+10,6.678e+09,-5.186e+09,-9.44e+08,-2.56e+08,2.92e+08,2.92e+08,2.3552e+10,-1.58e+08,-1.58e+08,4.83e+08,3.2e+08,-2.75e+08,1.63e+08,-9.6e+07,3.7e+08,-1.295e+09,2.499e+09,-3.794e+09,-1.36e+08,-1.482e+09,1.074e+09,-9e+06,9.62e+08,-1.5e+08,-1.5e+08,-2.9e+07,-1.79e+08,3.99e+08,1.5512e+10,-1.278e+09,0.13463,-0.04792,-0.09013,-0.5411,-0.00671,8.08861,0.85152,79.65753,0.65863,-2.16735,-2.16735,24.04664,4.00549,-17.53086,-0.00738,-0.0597,37.17544,-176.58333
"42","2020_Q3",30.11703125,"Up",7.6e+08,-9.96e+08,-2.36e+08,-2.03e+08,-1.32e+08,-7.1e+07,-4.39e+08,-1.38e+08,-1.38e+08,-5.77e+08,-3.2e+07,-6.09e+08,1.28e+08,-4.81e+08,-4.81e+08,-4.81e+08,-4.81e+08,1.258e+09,1.258e+09,5.37e+08,4.45e+08,4.45e+08,2.24e+09,1.1539e+10,5.62e+08,7.349e+09,1.077e+09,7.9e+08,1.737e+09,7.25e+08,3.02e+09,1.945e+10,2.169e+10,2.084e+09,2.084e+09,1.9e+07,2.103e+09,1.4424e+10,5.316e+09,2.013e+09,3.303e+09,1.974e+10,2.1843e+10,6.671e+09,-5.176e+09,-1.425e+09,-2.23e+08,-1.53e+08,-1.53e+08,2.169e+10,-4.81e+08,-4.81e+08,4.05e+08,2.98e+08,-2.42e+08,8e+07,-2e+06,-19999999.9999999,1.748e+09,2.214e+09,-4.66e+08,6e+07,1.799e+09,-1.171e+09,-1.5e+07,-1.186e+09,5.93e+08,5.93e+08,2.5e+07,6.18e+08,-33999999.9999998,1.4443e+10,1.344e+09,-0.31053,-0.57763,-0.63289,3.14379,-0.02218,-2.79418,1.06515,-142.76471,0.66588,-6.901,-6.901,10.90387,-2.19512,19.28264,-0.02453,0.06855,-387.79412,-30.03417
"43","2020_Q4",35.15078125,"Up",1.534e+09,-1.081e+09,4.53e+08,-2.4e+08,-1.66e+08,-7.4e+07,2.13e+08,-1.41e+08,-1.41e+08,7.2e+07,-1.9e+07,5.3e+07,-8e+06,4.5e+07,4.5e+07,4.5e+07,4.5e+07,1.564e+09,1.564e+09,6.01e+08,4.7e+08,4.7e+08,2.635e+09,9.472e+09,4.99e+08,6.99e+09,1.112e+09,7.8e+08,1.443e+09,6.7e+08,2.985e+09,1.6961e+10,1.9596e+10,2.147e+09,2.147e+09,1.9e+07,2.166e+09,1.2484e+10,5.022e+09,1.685e+09,3.337e+09,1.7506e+10,1.9672e+10,6.673e+09,-5.175e+09,-1.38e+09,-1.94e+08,-7.6e+07,-7.6e+07,1.9596e+10,4.5e+07,4.5e+07,1.75e+08,2.22e+08,-1.6e+08,-8.7e+07,3.9e+07,2.82e+08,2.114e+09,2.678e+09,-5.64e+08,5.5e+07,2.166e+09,-2.146e+09,-1.2e+07,-2.159e+09,2.89e+08,2.89e+08,3.2e+07,3.21e+08,3.88e+08,1.2503e+10,2.35e+09,0.29531,0.13885,0.02934,-0.592110000000001,0.00229999999999999,52.22222,1.21653,-258.84211,0.63804,0.6447,0.6447,21.97708,-1.08883,33.66762,0.00258,0.13468,28.1933,51.35681
"44","2021_Q1",51.6726229508197,"Up",1.355e+09,-1.096e+09,2.59e+08,-2.26e+08,-1.54e+08,-7.2e+07,3.3e+07,-1.39e+08,-1.39e+08,-1.06e+08,-2.9e+07,-1.35e+08,4.5e+07,-89999999.9999999,-89999999.9999999,-9e+07,-9e+07,6.92e+08,6.92e+08,6.47e+08,4.56e+08,4.56e+08,1.795e+09,8.81e+09,2.81e+08,6.652e+09,1.137e+09,7.74e+08,1.198e+09,6.67e+08,2.876e+09,1.5743e+10,1.7538e+10,2.034e+09,2.034e+09,1.9e+07,2.053e+09,1.1048e+10,4.592e+09,1.383e+09,3.209e+09,1.564e+10,1.7693e+10,6.669e+09,-5.167e+09,-1.47e+09,-1.87e+08,-1.55e+08,-1.55e+08,1.7538e+10,-89999999.9999999,-38108100.962466,2.67e+08,-3.2e+07,-8.6e+07,-27639924.2574966,98577394.1601179,5.9e+07,6.97e+08,1.368e+09,-6.71e+08,3e+06,6.94e+08,-1.654e+09,-8e+06,-1.662e+09,-9.09e+08,-9.09e+08,1.4e+07,-8.95e+08,3e+08,1.1067e+10,8.66e+08,0.19114,0.0243499999999999,-0.06642,0.58065,-0.00513,-9.62222000000001,0.87433,-114.14839,0.63103,-1.2931,-1.2931,19.46839,-2.22701,12.44253,-0.0058,0.05586,34.58333,314.39394
"45","2021_Q2",82.8995238095238,"Up",1.372e+09,-1.086e+09,2.86e+08,-2.5e+08,-1.82e+08,-6.8e+07,3.6e+07,-1.36e+08,-1.36e+08,-1e+08,-1.5e+08,-2.5e+08,8e+07,-1.7e+08,-1.7e+08,-1.7e+08,-1.7e+08,5.76e+08,5.76e+08,7.86e+08,5.06e+08,5.06e+08,1.868e+09,9.712e+09,3.07e+08,6.722e+09,1.121e+09,7.5e+08,1.348e+09,6.66e+08,2.837e+09,1.6741e+10,1.8609e+10,2.171e+09,2.171e+09,1.9e+07,2.19e+09,1.2065e+10,4.67e+09,1.47e+09,3.2e+09,1.6735e+10,1.8925e+10,6.643e+09,-5.156e+09,-1.64e+09,-1.63e+08,-3.16e+08,-3.16e+08,1.8609e+10,-1.7e+08,-1.7e+08,2.59e+08,3.96e+08,-1.49e+08,23999999.9999999,1.81e+08,3.36e+08,-1.363e+09,-3.03e+09,1.667e+09,1e+06,-1.366e+09,9.45e+08,-1.2e+07,9.14e+08,-1.16e+08,-1.16e+08,-1e+07,-1.26e+08,2.95e+08,1.2084e+10,-1.297e+09,0.20845,0.02624,-0.12391,0.53797,-0.00914,7.62941,0.85297,-59.88924,0.64936,-2.43205,-2.43205,19.62804,-4.52074,-18.55508,-0.01034,-0.0789,39.01017,319.66667
"46","2021_Q3",88.1378125,"Up",2.371e+09,-1.37e+09,1.001e+09,-3.56e+08,-2.94e+08,-6.2e+07,6.45e+08,-1.36e+08,-1.36e+08,5.09e+08,-2.3e+07,4.86e+08,-8.8e+07,3.98e+08,3.98e+08,3.98e+08,3.98e+08,1.324e+09,1.324e+09,7.97e+08,6.15e+08,6.15e+08,2.736e+09,1.2306e+10,2.15e+08,6.756e+09,1.127e+09,7.39e+08,1.349e+09,7.69e+08,2.772e+09,1.9277e+10,2.2013e+10,2.446e+09,2.446e+09,2.1e+07,2.467e+09,1.4685e+10,4.769e+09,1.537e+09,3.232e+09,1.9454e+10,2.1921e+10,6.647e+09,-5.152e+09,-1.242e+09,-1.61e+08,9.2e+07,9.2e+07,2.2013e+10,3.98e+08,3.98e+08,3.36e+08,2.97e+08,-1.12e+08,-1.41e+08,2.47e+08,9.19e+08,-2.56e+09,5.34e+09,-7.9e+09,-1.08e+08,-2.669e+09,2.534e+09,-1.5e+07,2.516e+09,7.66e+08,7.66e+08,6e+06,7.72e+08,9.81e+08,1.4706e+10,-1.603e+09,0.42218,0.27204,0.16786,4.32609,0.01808,-4.02764,1.10904,238.27174,0.66806,5.69385,5.69385,33.91989,1.31617,-22.93276,0.02034,-0.08192,13.64118,20.74729
"47","2021_Q4",221.64875,"Up",3.001e+09,-1.502e+09,1.499e+09,-4.3e+08,-3.61e+08,-6.9e+07,1.069e+09,-1.27e+08,-1.27e+08,9.42e+08,-1.3e+07,9.29e+08,-2.55e+08,6.74e+08,6.74e+08,6.75e+08,6.75e+08,8.86e+08,8.86e+08,8.13e+08,5.68e+08,5.68e+08,2.267e+09,1.2465e+10,2.49e+08,6.629e+09,1.114e+09,7.38e+08,1.309e+09,7.93e+08,2.675e+09,1.9343e+10,2.161e+10,2.48e+09,2.48e+09,1.8e+07,2.498e+09,1.4758e+10,4.552e+09,1.734e+09,2.818e+09,1.931e+10,2.1808e+10,6.674e+09,-6.142e+09,-5.67e+08,-1.76e+08,-2.11e+08,-1.98e+08,2.161e+10,6.74e+08,665805332.119757,5.85e+08,-1.86e+08,2.2e+08,-155716204.848642,313195899.432223,1.293e+09,-8.62e+08,1.003e+09,-1.865e+09,-2.2e+07,-8.96e+08,9.3e+07,3e+07,-8.52e+08,-4.55e+08,-4.55e+08,-1.1e+07,-4.66e+08,1.654e+09,1.4776e+10,1.267e+09,0.4995,0.35621,0.22493,-3.40909,0.03124,1.87704,0.90753,-110.14141,0.68376,10.59655,10.44892,47.11146,-3.3124,19.89011,0.03528,0.06623,8.39782,12.99345
"48","2022_Q1",201.164677419355,"Down",2.569e+09,-1.494e+09,1.075e+09,-3.81e+08,-3.08e+08,-7.3e+07,6.94e+08,-1.32e+08,-1.32e+08,5.62e+08,-1.9e+07,5.43e+08,-1.62e+08,3.81e+08,3.81e+08,3.82e+08,3.82e+08,5.34e+08,5.34e+08,7.75e+08,5.38e+08,5.38e+08,1.847e+09,1.3403e+10,2.22e+08,7.128e+09,1.108e+09,7.24e+08,1.615e+09,8.42e+08,2.839e+09,2.0753e+10,2.26e+10,2.389e+09,2.389e+09,1.9e+07,2.408e+09,1.538e+10,5.021e+09,2.242e+09,2.779e+09,2.0401e+10,2.2809e+10,6.677e+09,-6.579e+09,-1.85e+08,-1.33e+08,-2.2e+08,-2.09e+08,2.26e+10,3.81e+08,596594302.258027,2.22e+08,7.87e+08,-4.47e+08,-48383039.4491355,347942845.093233,9.43e+08,-1.297e+09,7.67e+08,-2.064e+09,-4.9e+07,-1.375e+09,5.86e+08,-1.4e+07,1.09e+08,-3.23e+08,-3.23e+08,4e+06,-3.19e+08,9.16e+08,1.5399e+10,-6.66e+08,0.41845,0.27014,0.1487,-1.82775,0.0169,-1.74346,0.76703,-109.13397,0.68137,5.99686,5.91331,40.32967,-3.45369,-10.45526,0.0189,-0.03295,16.22817,21.41931
"49","2022_Q2",219.316129032258,"Up",2.432e+09,-1.258e+09,1.174e+09,-3.41e+08,-2.83e+08,-5.8e+07,8.33e+08,-1.3e+08,-1.3e+08,7.03e+08,-8e+06,6.95e+08,-1.68e+08,5.27e+08,5.27e+08,5.29e+08,5.29e+08,5.5e+08,5.5e+08,7.79e+08,4.39e+08,4.39e+08,1.768e+09,1.4518e+10,1.82e+08,7.105e+09,1.096e+09,7.06e+08,1.54e+09,8.82e+08,2.881e+09,2.1805e+10,2.3573e+10,2.675e+09,2.675e+09,2.7e+07,2.702e+09,1.6777e+10,5.077e+09,2.323e+09,2.754e+09,2.1854e+10,2.4556e+10,6.647e+09,-7.889e+09,3.44e+08,-9.4e+07,-9.92e+08,-9.83e+08,2.3573e+10,5.27e+08,5.27e+08,3.81e+08,-3.7e+07,2.77e+08,9e+06,3.03e+08,1.148e+09,-1.147e+09,-2.726e+09,1.579e+09,-1.7e+07,-1.165e+09,1.337e+09,-8e+06,3e+07,1.3e+07,1.3e+07,-2e+06,1.1e+07,1.214e+09,1.6804e+10,5.12e+08,0.48273,0.34252,0.21752,-0.53815,0.02244,0.96786,0.65433,-24.98067,0.71285,9.37943,9.16811,43.12057,-17.58865,9.07801,0.02531,0.0245,13.3888,19.51261
"50","2022_Q3",164.36625,"Down",3.244e+09,-1.583e+09,1.661e+09,-4.1e+08,-3.59e+08,-5.1e+07,1.251e+09,-1.61e+08,-1.61e+08,1.09e+09,-7e+06,1.083e+09,-3.09e+08,7.74e+08,7.74e+08,7.78e+08,7.78e+08,5.79e+08,5.79e+08,8.71e+08,6.15e+08,6.15e+08,2.065e+09,1.6835e+10,2.47e+08,6.948e+09,1.066e+09,6.85e+08,1.423e+09,9.85e+08,2.789e+09,2.403e+10,2.6095e+10,2.744e+09,2.744e+09,2.7e+07,2.771e+09,1.8722e+10,5.251e+09,2.484e+09,2.767e+09,2.3973e+10,2.6744e+10,6.644e+09,-8.29e+09,1.122e+09,-1.3e+08,-6.54e+08,-6.49e+08,2.6095e+10,7.74e+08,7.74e+08,3.96e+08,9.1e+07,-3.8e+07,-1.48e+08,1.31e+08,1.223e+09,-2.602e+09,5.322e+09,-7.924e+09,-1.03e+08,-2.705e+09,2.013e+09,-1.2e+07,1.552e+09,7e+07,7e+07,-2.3e+07,4.7e+07,1.647e+09,1.8749e+10,-6.84e+08,0.51202,0.38564,0.23983,-1.19877,0.02981,-0.87918,0.74522,-41.20801,0.71849,14.6516,14.27523,61.09228,-12.31638,-12.88136,0.03332,-0.02929,11.03218,14.52438
