"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"25","2020_Q1",26.0327419354839,"Down",607400000,-377500000,229900000,-170700000,-170700000,59200000,-6500000,-8200000,1700000,52700000,-64400000,-11700000,11200000,-5e+05,-5e+05,-4e+05,-9e+05,-9e+05,180600000,180600000,331200000,331200000,348200000,107100000,107100000,967100000,1.41e+08,3.25e+08,1371900000,682300000,438900000,2900000,247800000,1512900000,2.48e+09,380800000,202100000,178700000,12500000,34100000,34100000,427400000,785900000,488300000,109700000,279600000,1274200000,1701600000,341700000,-736200000,1263300000,-102100000,766700000,11700000,778400000,2.48e+09,-5e+05,9400000,49700000,1.48e+08,206600000,-5800000,6200000,-8100000,-8200000,-135800000,2e+05,-5e+06,-2e+05,-1.44e+08,54500000,54500000,9e+05,55400000,68600000,798400000,199600000,0.3785,0.09746,-0.00148,-0.00116,-0.00036,-221.77778,2.26275,2.18602,0.32194,-0.01112,-0.01112,7.50803,9.47713,2.46724,0.10136,0.00353,0.09665,-9.11111,9.00583,10.43581
"26","2020_Q2",19.342380952381,"Down",439300000,-257500000,181800000,-156100000,-156100000,25700000,-7200000,-7800000,6e+05,18500000,-8800000,9699999.99999999,3100000,12800000,12800000,2e+05,1.3e+07,1.3e+07,472600000,472600000,323400000,323400000,405300000,50400000,50400000,1251700000,138300000,138300000,1363700000,680700000,434700000,2400000,245900000,1.502e+09,2753700000,282300000,137600000,144700000,12500000,824900000,824900000,1119700000,423600000,474500000,109500000,278500000,898100000,2017800000,3.29e+08,-7.6e+08,1268100000,-111500000,725600000,10300000,735900000,2753700000,12800000,7800000,47600000,-144800001,-76600001,-3600000,-199999.999999998,-9300000,-9e+06,427500000,-19500000,-2.1e+07,-19700000,379300000,293399999,293399999,-1400000,291999999,33500000,436100000,-118000001,0.41384,0.0585,0.02959,0.01767,0.00472,-9.07692,1.11789,2.74195,0.15837,0.15971,0.15971,5.39681,8.914,-1.44963,0.11057,0.01336,-0.07167,0.692309999999999,-1.08955,-1.42023000000001
"27","2020_Q3",23.37640625,"Up",349100000,-201900000,147200000,-143600000,-143600000,3600000,-8800000,-10500000,1700000,-5200000,3700000,-1500000,-4e+05,-1900000,-1900000,3e+05,-1600000,-1600000,422600000,422600000,263800000,263800000,386500000,45700000,45700000,1118600000,134900000,134900000,1335900000,679600000,435600000,2400000,218300000,1470800000,2589400000,330400000,154900000,175500000,183500000,162500000,162500000,676400000,715900000,461200000,109400000,265800000,1177100000,1853500000,337100000,-759900000,1258300000,-111500000,7.24e+08,11900000,735900000,2589400000,-1900000,7600000,-7800000,117700001,115600001,-3e+06,21500000,18500000,-8e+06,-202900000,6e+05,0,26100000,-184200000,-50099999,-50099999,1e+05,-49999999,11200000,899400000,126300001,0.42166,0.01031,-0.00458,-0.00217,-0.00062,-78.9375,1.65376,2.51868,0.34734,-0.01956,-0.01956,4.26773,8.85086,1.54401,0.0978,0.00305,0.06024,-5,42.57143,132.44444
"28","2020_Q4",27.959375,"Up",493100000,-291100000,2.02e+08,-157500000,-157500000,44500000,-12200000,-12800000,6e+05,32300000,-1899999.99999999,30400000,-8700000,21700000,21700000,7e+05,22400000,22400000,3.42e+08,3.42e+08,332100000,332100000,325700000,42200000,42200000,1.042e+09,126300000,126300000,1332800000,678500000,437800000,1800000,214700000,1459100000,2501100000,362900000,191800000,171100000,162500000,34599999.9999999,34599999.9999999,5.6e+08,714100000,461500000,109200000,267300000,1175600000,1735600000,349900000,-7.6e+08,1272400000,-108200000,754100000,11400000,765500000,2501100000,21700000,8400000,1e+05,66300000,96500000,6e+05,3300000,400000.000000004,-8400000,-148500000,1900000,0,-24700000,-179700000,-82800000,-82800000,2200000,-80600000,52900000,876600000,128500000,0.40965,0.09025,0.0454300000000001,0.02926,0.00896,5.73661,1.86071,2.26728,0.35049,0.2735,0.2735,6.02076,9.20757,1.56899,0.10256,0.01464,0.06109,0.375,10.10586,12.01348
"29","2021_Q1",33.2249180327869,"Up",509600000,-3.05e+08,204600000,-182200000,-182200000,22400000,-13300000,-12500000,-8e+05,9100000,-231800000,-222700000,51500000,-171200000,-171200000,5e+05,-170700000,-170700000,347400000,347400000,268300000,268300000,243100000,45400000,45400000,904200000,124600000,124600000,1108600000,455300000,442400000,3200000,207700000,1233200000,2137400000,3.62e+08,1.85e+08,1.77e+08,1e+07,3.4e+07,3.4e+07,4.06e+08,712500000,445900000,1.47e+08,263400000,1158400000,1564400000,3.63e+08,-764300000,1093300000,-130600000,561400000,11600000,5.73e+08,2137400000,-171200000,8999999,187100000,148700000,173599999,-4300000,8e+05,-3500000,-8200000,-1.55e+08,5800000,0,-1.2e+07,-169400000,699999,699999,4700000,5399999,31399999,722500000,124299999,0.40149,0.04396,-0.33497,-0.29791,-0.07986,-0.72818,2.22709,2.73019,0.33803,-2.07917,-2.07917,6.20706,6.838,1.51401,0.09988,-0.09332,0.07138,-0.04804,11.94586,16.74554
"30","2021_Q2",36.5793650793651,"Up",510700000,-288400000,222300000,-174400000,-174400000,47900000,-12400000,-9600000,-2800000,35500000,10200000,45700000.0000001,-7300000.00000001,38400000,38400000,1e+05,38500000,38500000,364800000,364800000,323600000,323600000,320900000,37900000,37900000,1047200000,120800000,120800000,1099300000,453500000,442700000,2200000,200900000,1220100000,2267300000,454100000,279300000,174800000,1e+07,33700000,33700000,497800000,710400000,4.34e+08,146500000,250500000,1144400000,1642200000,376900000,-766800000,1123100000,-124100000,609100000,1.6e+07,625100000,2267300000,38400000,7200000,14900000,-34200000,26300000,-2200000,-5e+05,-2700000,-8500000,-2500000,10500000,-20019988.5876736,-4400000,-4900000,18700000,18700000,-1300000,17400000,55100000,720400000,2.6e+07,0.43528,0.09379,0.07539,0.06159,0.01698,0.675320000000001,2.10366,2.6271,0.31773,0.46667,0.46667,6.1903,7.38303,0.31515,0.10303,0.02641,0.01461,0.22078,6.45372,7.4238
"31","2021_Q3",33.06171875,"Down",631900000,-361500000,270400000,-201800000,-201800000,68600000,-9800000,-9700000,-1e+05,58800000,-4800000,5.4e+07,-9600000,44400000,44400000,3e+05,44700000,44700000,345800000,345800000,3.72e+08,3.72e+08,331700000,36900000,36900000,1086400000,120200000,120200000,1.097e+09,452900000,443600000,2e+06,198500000,1217200000,2303600000,480200000,279200000,2.01e+08,1e+07,32700000,32700000,522900000,708400000,423200000,145900000,239700000,1131600000,1654500000,389800000,-797300000,1159600000,-118900000,633200000,15900000,649100000,2303600000,44400000,7200000,3900000,-30100000,25400000,-4500000,-9e+05,-5400000,-8400000,-2500000,-25400000,-26900000,-3900000,-40200000,-20200000,-20200000,1200000,-1.9e+07,75800000,718400000,50800000,0.42792,0.10856,0.07074,0.06886,0.0194,1.13647,2.07764,2.54891,0.31186,0.54182,0.54182,7.65939,7.67515,0.61576,0.10182,0.02965,0.02837,0.18792,4.91557,5.43149
"32","2021_Q4",31.01984375,"Down",636700000,-361900000,274800000,-2.15e+08,-2.15e+08,59800000,-9200000,-9600000,4e+05,50600000,-51300000,-7e+05,-99999.9999999981,-8e+05,-8e+05,8e+05,0,0,183600000,183600000,362600000,362600000,4.12e+08,44400000,44400000,1002600000,127300000,122826868.65703,1551500000,795100000,555500000,1900000,1.99e+08,1678800000,2681400000,497700000,265100000,232600000,3.2e+08,34400000,34400000,852100000,704400000,4.83e+08,145300000,216500000,1187400000,2039500000,401300000,-797400000,1151200000,-128400000,626700000,15200000,641900000,2681400000,-8e+05,8700000,11400000,-5.4e+07,-34700000,-3300000,-5e+05,-421600000,-8300000,300100000,3599999.99999999,0,-6e+05,294800000,-161500000,-161500000,-7e+05,-162200000,68500000,1024400000,11300000,0.4316,0.09392,1.38777878078145e-17,-1.38777878078145e-17,0,-1.24699309236381,1.17662,3.17729,0.38204,0,0,7.71758,7.59636,0.13697,0.10061,0.00386,0.00526,-0.602988063202932,12.27445,14.0602
"33","2022_Q1",24.3035483870968,"Down",635600000,-373200000,262400000,-226600000,-226600000,35800000,-9700000,-8500000,-1200000,26100000,-44800000,-18700000,3700000,-1.5e+07,-1.5e+07,4e+05,-14600000,-14600000,161700000,161700000,319600000,319600000,365500000,56900000,56900000,903700000,1.29e+08,126196189.145382,1553700000,792700000,556600000,1800000,202600000,1682700000,2586400000,486300000,222100000,264200000,2.35e+08,38300000,38300000,759600000,731800000,450600000,107400000,224300000,1182400000,1.942e+09,410500000,-810200000,1128200000,-98900000,629600000,14800000,644400000,2586400000,-1.5e+07,10100000,44800000,29900000,69800000,-7600000,-4e+05,-7600000,-8300000,-60500000,-11200000,-12700000,-4e+05,-80400000,-18200000,-18200000,-3700000,-21900000,45900000,966800000,64500000,0.41284,0.05632,-0.02297,-0.02266,-0.00564,-4.41781,1.18971,3.01366,0.3738,-0.1787,-0.1787,7.77968,7.70624,0.78947,0.10159,-0.00306,0.03128,-0.56849,17.54031,22.48883
"34","2022_Q2",20.3166129032258,"Down",614800000,-353500000,261300000,-211300000,-211300000,5e+07,-7600000,-8700000,1100000,42400000,-30400000,1.2e+07,-3600000,8400000,8400000,1300000,9700000,9700000,149600000,149600000,370600000,370600000,483300000,74400000,74400000,1077900000,128400000,128400000,1539700000,7.8e+08,552400000,1600000,205700000,1668100000,2.746e+09,567200000,293800000,273400000,3.65e+08,35200000,35200000,967400000,729600000,433700000,106200000,216700000,1163300000,2130700000,414400000,-845100000,1129600000,-102200000,596700000,18600000,615300000,2.746e+09,8400000,8500000,22100000,-131500001,-92500001,-7500000,3700000,-3800000,-8400000,127500000,-3.3e+07,-33800000,-1e+05,86000000.0000001,-10300001,-10300001,-1800000,-12100001,58500000,1094600000,-76900001,0.42502,0.08133,0.01578,0.01576,0.00353,-7.92784,1.11422,3.46286,0.39862,0.11825,0.11825,7.49499,7.27434,-0.93748,0.1024,0.00844,-0.03587,0.86598,16.15385,18.9
"35","2022_Q3",20.271875,"Down",713600000,-406500000,307100000,-229200000,-229200000,77900000,-10700000,-10100000,-6e+05,67200000,9e+07,157200000,-32700000,124500000,124500000,1e+05,124600000,124600000,149300000,149300000,4.2e+08,4.2e+08,639500000,84500000,84500000,1293300000,127500000,127500000,1528200000,750800000,539100000,1200000,237100000,1655700000,2.949e+09,561700000,318100000,243600000,5e+08,3.3e+07,3.3e+07,1094700000,727400000,465100000,1.05e+08,241900000,1192500000,2287200000,4.24e+08,-891400000,1246100000,-134800000,643900000,17900000,661800000,2.949e+09,124500000,8300000,-122700000,-165499999,-155399999,81400000,1100000,82500000,-8400000,132500000,-46900000,-47500000,-1e+05,77100000,4200001,4200001,-4500000,-299999,86200000,1227400000,34800001,0.43035,0.10916,0.17461,0.18827,0.04225,0.27929,1.18142,3.45603,0.41621,1.52883,1.52883,8.75583,7.90061,0.42699,0.10307,0.05649,0.01478,0.0674199999999998,12.50696,13.83954
