"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",144.05640625,"Down",1072064000,-707116000,364948000,-383945000,-383945000,-18997000,-7536000,-12046000,-26533000,-26533000,12971000,-13562000,-13562000,-14185000,-14185000,8479000,8479000,511747000,511747000,207163000,101512000,108319000,828901000,1022325000,1239217000,170262000,161555000,2261542000,3090443000,566691000,192141000,9549000,365001000,8265000,574956000,1244260000,823645000,118489000,97471000,607685000,2067905000,2642861000,137271000,-61254000,372200000,-93463000,354754000,447582000,3090443000,-13562000,47220000,-17587000,-96817000,-80746000,-39154000,-40224000,-2333000,120947000,-6067000,112547000,-8423000,-8423000,-8423000,28223000,1252525000,-120719000,0.34042,-0.01772,-0.01323,-0.03169,-0.00459,8.51033,1.44168,5.90475,0.40529,-1.98642,-1.51874,150.12799,49.67848,-16.90506,0.3267,-0.0047,-0.04783,-0.16447,44.07916,-65.48645
"32","2018_Q3",156.773015873016,"Up",1227272000,-815295000,411977000,-392298000,-392298000,19679000,-22562000,-12744000,-2883000,-2883000,134999.999999996,-2747999.99999999,-2747999.99999999,-3933000.00000001,-3933000.00000001,19724000,19724000,549929000,549929000,222073000,81160000,88900000,872886000,1012423000,1237679000,170899000,160184000,2250102000,3122988000,684660000,191665000,5071000,487924000,8263000,692923000,1162325000,824518000,118658000,96791000,609069000,1986843000,2679766000,137271000,-61254000,365929000,-92737000,349209000,443222000,3122988000,-2747999.99999999,46687000,12022000,82027000,137988000,-43078000,-35533000,-2338000,-82141000,-6731000,-91210000,11245000,11245000,11245000,66366000,1170588000,105180000,0.33569,0.01603,-0.00319999999999999,-0.00887,-0.00126,-26.74294,1.25972,6.0461,0.37483,-0.550760000000001,-0.42046,171.86276,48.90197,14.72903,0.32741,-0.000650000000000002,0.04314,-0.59446,17.34117,58.48183
"33","2018_Q4",181.473015873016,"Up",1211661000,-791317000,420344000,-375940000,-375940000,44404000,-11131000,-12827000,33273000,43443000,-16493000,26950000,26950000,25164000,25164000,9337000,9337000,523557000,523557000,229892000,82445000,91514000,845231000,998117000,1229076000,165903000,161342000,2227193000,3072424000,550178000,186706000,9363000,354109000,8438000,558616000,1222949000,822296000,98738000,123248000,600310000,2045245000,2603861000,137271000,-61254000,388750000,-92003000,372764000,468563000,3072424000,26950000,46589000,18918000,-123669000,-31212000,-27317000,-30290000,-2343000,60503000,-7045000,51115000,-10387000,-10387000,-10387000,90993000,1231387000,-43500000,0.34692,0.03665,0.02077,0.0537,0.00819,-1.72866,1.51308,5.55712,0.40079,3.52388,2.6756,169.67666,52.20053,-6.09158,0.32811,0.01091,-0.01725,0.09311,13.43015,27.52117
"34","2019_Q1",224.280655737705,"Up",1114367000,-755924000,358443000,-345627000,-345627000,12816000,-40130000,-12889000,-27314000,-27314000,1518000,-25796000,-25796000,-26976000,-26976000,13548000,13548000,512298000,512298000,210033000,61539000,70680000,797418000,1014252000,1198258000,165903000,1015873000,2212510000,3009928000,593120000,152040000,6093000,434987000,8617000,601737000,1131034000,821991000,85682000,127174000,609135000,1953025000,2554762000,137271000,-61254000,359435000,-77265000,358187000,455166000,3009928000,-25796000,24006000,53323000,91316000,142849000,-23427000,-37898000,-2339000,-83809000,-14592000,-100740000,4211000,4211000,4211000,36822000,1139651000,103193000,0.32166,0.0115,-0.02421,-0.05927,-0.00896,-3.82536,1.32519,5.61281,0.37863,-3.77762,-2.90033,156.05195,50.15922,14.45078,0.32755,-0.01019,0.0427,-0.0867100000000001,30.58234,87.86696
"35","2019_Q2",307.662063492064,"Up",1102912000,-713604000,389308000,-369154000,-369154000,20154000,-28737000,-12886000,-8583000,-8583000,3005000,-5578000,-5578000,-6831000,-6831000,8497000,8497000,521403000,521403000,220317000,58214000,69357000,808431000,992934000,1274323000,165903000,1092398000,2267257000,3075688000,536753000,168526000,9320000,358907000,22388000,559141000,1234360000,829584000,85371000,123920000,620293000,2063944000,2623085000,142047000,-61254000,369985000,-96407000,354371000,452603000,3075688000,-5578000,39979000,21115000,-49920000,5596000,-28634000,-33774000,-2339000,31886000,-6420000,23127000,-5051000,-5051000,-5051000,60133000,1256748000,-21426000,0.35298,0.01827,-0.00619,-0.01509,-0.00222,3.13658,1.44584,5.79555,0.40861,-0.95659,-0.72981,154.44784,49.62484,-3.00042,0.32755,-0.00177,-0.00844,-0.34241,20.75817,61.93565
"36","2019_Q3",307.38109375,"Down",1273659000,-837880000,435779000,-368565000,-368565000,67214000,-43176000,-11995000,24038000,24038000,-7182000,16856000,16856000,15370000,15370000,5692000,5692000,567791000,567791000,230898000,59539000,72327000,863920000,962402000,1305831000,165903000,1124366000,2268233000,3132153000,578162000,181418000,4316000,392428000,23790000,601952000,1202138000,860354000,87300000,131498000,641556000,2062492000,2664444000,142047000,-61254000,383012000,-95814000,367991000,467709000,3132153000,16856000,39337000,46420000,-19623000,82990000,-28124000,-28124000,-2343000,-48647000,-6681000,-57671000,-2805000,-2805000,-2805000,106551000,1225928000,65986000,0.34215,0.05277,0.01207,0.03286,0.00491,4.29317,1.4352,5.6968,0.3914,2.15236,1.62302,178.35863,51.53214,9.24044,0.32811,0.00694,0.02584,0.15244,11.45213,18.15449
"37","2019_Q4",275.271875,"Down",1271029000,-838805000,432224000,-378378000,-378378000,53846000,-31676000,-10965000,22170000,22170000,-6624000,15546000,15546000,13006000,13006000,5989000,5989000,549066000,549066000,231752000,65087000,78397000,851894000,957197000,1309627000,165903000,1128621000,2266824000,3118718000,589035000,191780000,7404000,389851000,24138000,613173000,1149039000,875399000,84361000,132428000,658610000,2024438000,2637611000,142047000,-61254000,393674000,-95618000,378849000,481107000,3118718000,15546000,39829000,30150000,30472000,115997000,-38961000,-40188000,-2344000,-67180000,-5988000,-75512000,297000,297000,297000,93675000,1173177000,91810000,0.34006,0.04236,0.01023,0.02703,0.00417,7.05905,1.38932,5.48238,0.37617,1.82131,1.38406,177.99034,53.05265,12.85674,0.32825,0.00607,0.03629,0.18022,12.45997,21.67641
"38","2020_Q1",245.410483870968,"Down",1178949000,-765758000,413191000,-373651000,-373651000,39540000,-42940000,-10144000,-3400000,-3400000,-4864000,-8264000,-8264000,-10170000,-10170000,9614000,9614000,539057000,539057000,225926000,55679000,69461000,830276000,997403000,1299247000,165903000,1133344000,2296650000,3126926000,597768000,187476000,4946000,405346000,24427000,622195000,1145088000,908527000,114831000,125130000,668566000,2053615000,2675810000,142047000,-61254000,381161000,-115002000,346952000,451116000,3126926000,-8264000,37741000,40922000,15388000,85787000,-71591000,-71591000,-2343000,8941000,-17169000,-10571000,3625000,3625000,3625000,77281000,1169515000,25942000,0.35047,0.03354,-0.00863,-0.02254,-0.00325,-2.55084,1.33443,5.93153,0.37401,-1.42417,-1.07722,165.09578,48.58591,3.63282,0.32811,-0.00309,0.01026,-0.23038,15.00888,29.33488
"39","2020_Q2",230.847142857143,"Down",1173021000,-767726000,405295000,-372474000,-372474000,32821000,-11859000,-9561000,20962000,20962000,-5361000,15601000,15601000,14662000,14662000,47748000,47748000,569683000,569683000,228624000,57430000,73592000,903485000,984769000,1307489000,165903000,271561000,2292258000,3195743000,585054000,209694000,7210000,368150000,22936000,607990000,1220723000,902707000,116635000,131024000,655048000,2123430000,2731420000,142047000,-61254000,393479000,-115052000,359220000,464323000,3195743000,15601000,37799000,13093000,-34204000,32289000,-31435000,-32328000,-2344000,51015000,-10498000,38173000,38134000,38134000,38134000,70620000,1243659000,10342000,0.34551,0.02798,0.0125,0.03158,0.00459,0.70536,1.48602,5.88259,0.38916,6.569,6.36648,525.54704,160.94086,4.63351,1.05018,0.00651,0.00396,0.15987,16.93445,36.43737
"40","2020_Q3",247.33296875,"Up",1227215000,-797914000,429301000,-346183000,-346183000,83118000,-25318000,-9184000,57800000,57800000,-15187000,42613000,42613000,39569000,39569000,77550000,77550000,560507000,560507000,211128000,50926000,72170000,900111000,996751000,1287718000,165903000,1108091000,2284469000,3184580000,612558000,216138000,4454000,391966000,21672000,634230000,1105176000,939609000,117839000,147101000,674669000,2044785000,2679015000,142047000,-61254000,430706000,-114081000,397418000,505565000,3184580000,42613000,37079000,38615000,78407000,196714000,-39687000,-40376000,-2342000,-114016000,-10178000,-126536000,29802000,29802000,29802000,120197000,1126848000,174104000,0.34982,0.06773,0.03224,0.07827,0.01243,4.40001,1.41922,5.29905,0.35385,17.72805,17.24139,549.82751,178.05466,78.00358,1.04928,0.01629,0.06769,0.05919,8.72982,12.6242
"41","2020_Q4",251.18375,"Up",1328484000,-856046000,472438000,-368594000,-368594000,103844000,-30427000,-9033000,73417000,73417000,-18363000,55054000,55054000,51884000,51884000,164823000,164823000,552487000,552487000,207773000,51815000,69829000,976898000,1050491000,1285504000,165903000,1106337000,2335995000,3312893000,659364000,234715000,6693000,417956000,24626000,683990000,1155338000,914010000,103431000,131218000,679361000,2069348000,2753338000,142047000,-61254000,480246000,-112801000,448238000,559555000,3312893000,55054000,42325000,43986000,6033000,147398000,-37198000,-37386000,-2344000,-8927000,-11468000,-22739000,87273000,87273000,87273000,146169000,1179964000,133367000,0.35562,0.07817,0.03906,0.09272,0.01566,2.57048,1.42823,4.92059,0.35617,23.24552,22.86646,595.19892,200.82348,59.75224,1.05018,0.02044,0.05026,0.04518,6.94498,9.77563
"42","2021_Q1",271.776557377049,"Up",1278637000,-816762000,461875000,-368280000,-368280000,93595000,-4734000,-8957000,88861000,88861000,-20032000,68829000,68829000,66378000,66378000,54793000,54793000,490112000,490112000,225757000,80575000,74146000,851237000,1022722000,1348491000,165903000,1182588000,2371213000,3222450000,621434000,217560000,3944000,399930000,25626000,647060000,1130372000,932028000,113325000,139423000,679280000,2062400000,2709460000,149017000,-61254000,544280000,-119053000,512990000,512990000,3222450000,68829000,38733000,20078000,-9580000,118060000,-90329000,-90329000,-2344000,-18072000,-117345000,-137761000,-110030000,-110030000,-110030000,132328000,1155998000,52451000,0.36122,0.0732,0.05191,0.12939,0.0206,0.79019,1.31555,5.2817,0.35873,29.73925,29.15152,572.86604,229.83423,23.49955,1.05018,0.02642,0.02017,0.03531,8.32178,11.76564
"43","2021_Q2",348.863174603175,"Up",1269857000,-821154000,448703000,-354519000,-354519000,94184000,-20801000,-8746000,73383000,73383000,-20020000,53363000,53363000,53363000,53363000,51828000,51828000,534715000,534715000,257363000,82942000,76592000,926848000,1021198000,1336786000,165903000,1170883000,2357984000,3284832000,658610000,227935000,6260000,424415000,25297000,683907000,1093547000,942036000,115306000,159845000,666885000,2035583000,2719490000,149017000,-61254000,595300000,-117721000,565342000,565342000,3284832000,53363000,37716000,38626000,-47795000,81910000,-37130000,-39642000,-2343000,-32697000,-10193000,-45233000,-2965000,-2965000,-2965000,131900000,1118844000,66995000,0.35335,0.07417,0.04202,0.09439,0.01625,1.25546,1.35523,4.81034,0.34061,23.90815,23.52866,568.93235,253.28943,30.01568,1.04973,0.02121,0.02551,0.04391,8.08958,11.32906
"44","2021_Q3",394.03265625,"Up",1433086000,-938146000,494940000,-374079000,-374079000,120861000,-55406000,-8365000,65455000,65455000,-17275000,48180000,48180000,48180000,48180000,54204000,54204000,550415000,550415000,237823000,84427000,76323000,926869000,1020293000,1335136000,165903000,1169233000,2355429000,3282298000,718037000,283452000,3979000,430606000,25915000,743952000,961792000,964052000,116448000,142596000,705008000,1925844000,2669796000,149017000,-61254000,641136000,-116397000,612502000,612502000,3282298000,48180000,50167000,26854000,64274000,189475000,-41500000,-42710000,-2344000,-132171000,-9873999.99999999,-144389000,2376000,2376000,2376000,171028000,987707000,211077000,0.34537,0.08434,0.03362,0.07866,0.01468,4.38101,1.24587,4.35884,0.30092,21.58602,21.24339,642.06362,274.41846,94.56855,1.05018,0.0197,0.08231,0.04865,5.45819,7.72377
"45","2021_Q4",489.16234375,"Up",1457432000,-939720000,517712000,-380681000,-380681000,137031000,-43079000,-8097000,93952000,93952000,-25022000,68930000,68930000,68930000,68930000,186878000,186878000,553162000,553162000,240495000,91084000,84152000,1071619000,1009325000,1338996000,165903000,1173093000,2348321000,3419940000,741637000,270937000,6281000,464419000,26659000,768296000,983072000,988432000,110582000,151558000,726292000,1971504000,2739800000,149017000,-61254000,707723000,-115346000,680140000,680140000,3419940000,68930000,30027000,43031000,26502000,168490000,-36775000,-37245000,-2343000,13801000,-10029000,1429000,132674000,132674000,132674000,167058000,1009731000,181807000,0.35522,0.09402,0.0473,0.10135,0.02016,2.63756,1.3948,4.02829,0.29525,30.88262,30.33891,652.97133,304.72222,81.45475,1.04973,0.02661,0.06788,0.03399,4.92555,6.00487
"46","2022_Q1",533.989193548387,"Up",1402339000,-909507000,492832000,-405737000,-405737000,87095000,-64736000,-8241000,22359000,22359000,-3252000,19107000,19107000,19107000,19107000,142314000,142314000,546549000,546549000,302851000,84948000,78068000,1076662000,1030688000,1338220000,165903000,1172317000,2368908000,3445570000,806748000,319318000,4096000,483334000,28108000,834856000,910495000,988433000,93391000,136432000,758610000,1898928000,2733784000,149017000,-61254000,724486000,-100463000,711786000,711786000,3445570000,19107000,39410000,43474000,-20111000,81880000,-35014000,-42346000,-2344000,-66433000,-15321000,-84098000,-44564000,-44564000,-44564000,126505000,938603000,74632000,0.35144,0.06211,0.01363,0.02684,0.00555,3.906,1.28964,3.84074,0.27241,0.620439999999999,0.62012,45.5364,23.11294,2.42343,0.0761100000000001,0.00813,0.02828,0.12268,6.29453,9.14276
"47","2022_Q2",518.135483870968,"Down",1404358000,-896782000,507576000,-376591000,-376591000,130985000,-4420000,-7699000,126565000,126565000,-33175000,93390000,93390000,93390000,93390000,127085000,127085000,550682000,550682000,276278000,97173000,94151000,1051218000,1071731000,1302983000,165903000,1137080000,2374714000,3425932000,743344000,273702000,6238000,463404000,150727000,894071000,727652000,1000562000,96398000,169827000,734337000,1728214000,2622285000,149017000,-61254000,815532000,-99648000,803647000,803647000,3425932000,93390000,37361000,34269000,-34139000,130881000,-102175000,-132521000,-2344000,-1375000,-9870000,-13589000,-15229000,-15229000,-15229000,168346000,878379000,65207000,0.36143,0.09327,0.0665,0.11621,0.02726,0.69822,1.17577,3.26298,0.25639,9.96373,9.92771,149.83015,85.74064,6.9569,0.25008,0.03569,0.02431,0.0251,4.4628,5.73573
"48","2022_Q3",488.28421875,"Down",1595215000,-1044556000,550659000,-403366000,-403366000,147293000,-13345000,-7146000,133948000,133948000,-34386000,99562000,99562000,99562000,99562000,188803000,188803000,630972000,630972000,303539000,89889000,86844000,1213203000,1081604000,1286861000,165903000,1120958000,2368465000,3581668000,825448000,323449000,3988000,498011000,151985000,977433000,724381000,978174000,99491000,148151000,730532000,1702555000,2679988000,149017000,-61254000,912751000,-98834000,901680000,901680000,3581668000,99562000,48491000,-22685000,-12714000,112654000,-37752000,-39093000,-2343000,-529000,-8971000,-11843000,61718000,61718000,61718000,195784000,876366000,179704000,0.34519,0.09233,0.06241,0.11042,0.0278,1.80495,1.24121,2.97222,0.24468,10.62221,10.59621,170.19257,96.19972,19.17252,0.24997,0.03697,0.0652,0.02353,3.51184,4.668
