"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",105.10619047619,"Up",29662000,-16597000,13065000,-10861000,-10302000,-5944000,-4358000,-559000,2204000,-92000,-92000,2112000,2112000,-215000,1897000,1897000,1897000,1897000,13675000,13675000,12999000,12999000,28873000,6531000,6531000,62078000,16587000,59362000,11970000,75949000,138027000,10181000,7038000,3143000,19575000,8530000,8530000,8530000,28105000,246497000,-136776000,201000,109922000,109922000,138027000,1897000,1137000,1505000,-4247000,292000,-432000,-432000,-288289.302265218,1741000,1325000,1741000,1601000,1601000,-52000,1549000,3341000,9027000,-1123000,0.44046,0.0743,0.06395,0.01726,0.01374,-0.59199,3.17129,0.25568,0.0654,0.26384,0.24163,4.12545,15.28818,-0.15619,3,0.01488,-0.00881,-1.3912,-2.10889
"35","2018_Q4",98.3626984126984,"Down",30954000,-16160000,14794000,-18390000,-17454000,-6215000,-11239000,-936000,-3596000,51000,51000,-3545000,-3545000,1876000,-1669000,-1669000,-1669000,-1669000,9236000,9236000,13647000,13647000,27639000,7521000,7521000,58043000,16284000,69793000,13851000,86077000,144120000,15063000,4545000,10518000,24128000,8391000,8391000,8391000,32519000,249831000,-138446000,216000,111601000,111601000,144120000,-1669000,1140000,-507000,2995000,1959000,-230000,-8319000,-5000.00000000093,1928000,2014000,1923000,-4437000,-4437000,-2000,-4439000,-2456000,8785000,-1567000,0.47794,-0.11617,-0.05392,-0.01496,-0.01158,0.93889,2.40563,0.29139,0.06096,-0.22894,-0.21132,4.24609,15.30878,-0.21495,4,-0.01296,-0.01217,0.18363,0.12542
"36","2019_Q1",90.1890163934426,"Down",34065000,-18593000,15472000,-12157000,-10988000,-6364000,-4624000,-1169000,3315000,50000,50000,3365000,3365000,174000,3467000,3467000,3467000,3467000,13389000,13389000,16454000,16454000,25104000,4471000,2938000,59418000,15981000,66156000,14121000,97034000,156452000,17611000,7469000,10142000,20363000,7680000,7082000,13680000,34043000,257111000,-134979000,277000,122409000,122409000,156452000,3467000,1122000,1381000,859000.000000001,6829000,-296000,-3048000,-5000,377000,407000,372000,4153000,4153000,-7.27595761418343e-12,4153000,4437000,8526000,4826000,0.45419,0.09731,0.10178,0.02832,0.02216,1.39198,2.91794,0.27811,0.0545,0.46481,0.43528,4.56697,16.41091,0.647,5,0.02501,0.03482,-1.09601,-1.46697
"37","2019_Q2",77.9533333333333,"Down",29511000,-16968000,12543000,-12618000,-11252000,-7033000,-4219000,-1366000,-75000,16000,16000,-59000,-59000,1010000,770000,770000,814000,814000,9101000,9101000,16202000,16202000,27388000,4620000,4620000,57311000,15511000,74118000,15176000,105469000,162780000,18393000,7746000,10647000,22790000,12025000,6728000,18051000,40841000,255227000,-134165000,215000,121277000,121939000,162780000,770000,1265000,697000,-2005000,727000,-234000,-458000,-1486000,-3070000,410000,-4556000,-4287000,-4287000,-1000,-4288000,1190000,8730000,-2059000,0.42503,-0.00254,0.02758,0.00668,0.005,-2.52948,2.51474,0.33493,0.05363,0.10913,0.1022,3.95643,16.25915,-0.27604,4,0.0057,-0.01443,-0.31176,4.94667
"38","2019_Q3",75.07515625,"Down",28146000,-15734000,12412000,-12978000,-10739000,-6715000,-4024000,-2239000,-566000,-21000,-21000,-587000,-587000,426000,-288000,-288000,-241000,-241000,9992000,9992000,12775000,12775000,28977000,5366000,3044000,57110000,15318000,74004000,15920000,105734000,162844000,11085000,7330000,3755000,15385000,11457000,6442000,24207000,39592000,257030000,-134406000,298000,122922000,123252000,162844000,-288000,1257000,1478000,-8530000,-6083000,-395000,-793000,7153000,608000,608000,7761000,885000,885000,6000,891000,691000,15365000,-8660000,0.44099,-0.02011,-0.00855999999999999,-0.00196,-0.00148,35.93361,3.71206,0.32123,0.09435,-0.03228,-0.03033,3.76939,16.46203,-1.15977,2,-0.00161,-0.0577,7.77569,-9.49293
"39","2019_Q4",86.661875,"Up",31237000,-17573000,13664000,-13471000,-10939000,-6709000,-4230000,-2532000,193000,-927000,-927000,-734000,-734000,530000,-351000,-351000,-310000,-310000,80505000,80505000,13715000,13715000,26215000,5723000,2695000,126158000,14623000,66122000,6634000,97853000,224011000,10826000,5524000,5302000,15227000,10978000,6183000,54801000,70028000,288259000,-134716000,140000,153683000,153983000,224011000,-351000,1237000,1575000,-381000,2080000,-93000,-93000,73419000,215000,215000,70562000,72549000,72549000,-36000,72513000,1430000,46510000,426000,0.43743,0.00618,-0.00992,-0.00201,-0.00138,-1.37419,8.28515,0.45478,0.20762,-0.04157,-0.03891,4.18895,20.60923,0.05713,4,-0.00147,0.00201,-23.77273,-176.1399
"40","2020_Q1",90.5379032258064,"Up",33767000,-17937000,15830000,-15055000,-12952000,-7221000,-5731000,-2103000,775000,-1978000,-1978000,-1203000,-1203000,-520000,-1862000,-1862000,-1728000,-1728000,89030000,89030000,15161000,15161000,26601000,9075000,6856000,139867000,15469000,74781000,6429000,104557000,244424000,27524000,6600000,20924000,32199000,11222000,5966000,57691000,89890000,290295000,-136444000,513000,154364000,154534000,244424000,-131000,1157000,2356000,3190000,6572000,-322000,-579000.000000001,-27000,4076000,596000,496999.999999985,6490000,6490000,35000,6525000,1932000,46469000,5320000,0.4688,0.02295,-0.05117,-0.01118,-0.00707,-3.0787,4.34383,0.58168,0.19012,-0.22833,-0.22833,4.46181,20.39693,0.70296,5,-0.00814,0.02507,-22.0295,-54.91742
"41","2020_Q2",77.0825396825397,"Down",30654000,-17206000,13448000,-18066000,-15938000,-7380000,-8558000,-2128000,-4618000,-2199000,-2199000,-6817000,-6817000,1508000,-5439000,-5439000,-5288000,-5288000,191245000,191245000,14838000,14838000,29056000,6501000,3790000,241640000,15076000,75872000,8027000,109341000,350981000,17228000,7137000,10091000,21906000,10432000,5521000,58414000,80320000,412230000,-141750000,157000,270638000,270661000,350981000,-5439000,1374000,924000,-1620000,-4761000,-210000,-14630000,121990000,-202000,336000,121630000,102239000,102239000,-24000,102215000,-3244000,50905000,-6582000,0.4387,-0.15065,-0.17251,-0.01954,-0.01507,1.2447,11.03077,0.29675,0.14504,-0.69873,-0.69873,4.05048,35.7607,-0.86971,4,-0.01593,-0.01983,43.26141,30.38978
"42","2020_Q3",98.84640625,"Up",45712000,-27847000,17865000,-22320000,-20624000,-9583000,-11041000,-1696000,-4455000,-2144000,-2144000,-6599000,-6599000,212000,-6474000,-6474000,-6357000,-6357000,79189000,79189000,26312000,26312000,40772000,7544000,4467000,153817000,33873000,169337000,8205000,223082000,376899000,25102000,11891000,13211000,32854000,24050000,5204000,74087000,106941000,415781000,-148107000,2373000,270047000,269958000,376899000,-6474000,3330000,4268000,-9458000,-8334000,-106000,-105296000,311000,1106000,1178000,1360999.99999997,-112269000,-112269000,213000,-112056000,-1125000,50037000,-10901000,0.39082,-0.09746,-0.13907,-0.02355,-0.01687,1.7148,4.68183,0.39614,0.13276,-0.72552,-0.72552,5.21707,30.82025,-1.24412,1,-0.01848,-0.03168,25.91289,6.54366
"43","2020_Q4",124.43640625,"Up",56635000,-33232000,23403000,-23201000,-21004000,-10751000,-10253000,-2197000,202000,-2010000,-2010000,-1808000,-1808000,-3413000,-5304000,-5304000,-5219000,-5219000,84508000,84508000,27062000,27062000,39348000,10583000,5848000,161501000,34997000,167124000,5170000,222374000,383875000,25567000,12277000,13290000,33519000,23917000,4689000,75645000,109164000,420409000,-153326000,7799000,274882000,274711000,383875000,11913000,3337000,-7845000,-2411000,4994000,-170000,121883000,-122200000,494000,536000,-121492000,5385000,5385000,-66000,5319000,3539000,51728000,4371000,0.41323,0.00357,-0.09215,-0.019,-0.0136,-0.83752,4.81819,0.39738,0.13475,-0.57176,-0.57176,6.20454,30.11415,0.47886,4,-0.0149,0.01248,-9.2625,-162.27723
"44","2021_Q1",177.337540983607,"Up",64322000,-37748000,26574000,-25895000,-23144000,-10754000,-12390000,-2751000,679000,752000,752000,1431000,1431000,1454000,2465000,2465000,2465000,2465000,86334000,86334000,31080000,31080000,40037000,13824000,9949000,171275000,35542000,177233000,5694000,228564000,399839000,33174000,15119000,18055000,42115000,21658000,4667000,70671000,112786000,423745000,-150861000,14169000,287053000,287053000,399839000,11809884.0301018,3344000,2168000,1933000,7445000,-190000,-6554000,-919000,2874999.99999999,2223000.00000001,265000.00000003,1156000.00000001,1156000.00000001,670000,1825999.99999999,4023000,49013000,4312000,0.41314,0.01056,0.03832,0.00859,0.00616,1.74929,4.06684,0.39291,0.12258,0.26008,0.25041,6.78645,30.28624,0.45495,6,0.00689,0.01205,-9.27691,-54.96465
"45","2021_Q2",196.244603174603,"Up",60503000,-35033000,25470000,-24452000,-23266000,-10907000,-12359000,-1186000,1018000,-526000,-526000,492000,492000,1565000,1871000,1871000,1871000,1871000,238455000,238455000,29891000,29891000,39357000,15059000,10574000,322762000,34863000,196009000,16758000,246811000,569573000,29878000,14958000,14920000,37786000,22227000,4483000,106514000,144300000,562112000,-145625000,8786000,425273000,425273000,569573000,1871000,3571000,2572000,-6677000,1337000,-249000,-13131000,-106000,165357000,165357000,164355000,152561000,152561000,-440000,152121000,4589000,84287000,-3902000,0.42097,0.01683,0.03092,0.0044,0.00328,-2.08552,8.54184,0.33931,0.14798,0.1974,0.19007,6.38352,44.86949,-0.41169,4,0.00352,-0.00734,-33.59512,-151.44204
"46","2021_Q3",254.911875,"Up",64928000,-37656000,27272000,-27968000,-26020000,-12449000,-13571000,-1948000,-696000,-580000,-580000,-1276000,-1276000,1052000,-567000,-567000,-567000,-567000,245153000,245153000,27887000,27887000,41204000,16599000,11082000,330843000,34296000,196843000,17845000,248523000,579366000,31949000,14581000,17368000,41481000,20176000,4074000,104119000,145600000,569320000,-146192000,10638000,433766000,433766000,579366000,-567000,3109000,5973000,-2698000,5817000,-256000,-255999.999999996,-547000,1841000,1841000.00000003,944000.00000006,6505000,6505000,193000,6698000.00000003,2413000,83943000,-1593000,0.42003,-0.01072,-0.00873,-0.00131,-0.00098,2.80952,7.97577,0.33566,0.14489,-0.05982,-0.0576,6.85039,45.76556,-0.16807,5,-0.00105,-0.00296,-66.80895,231.62356
"47","2021_Q4",198.9384375,"Down",60240000,-34996000,25244000,-27677000,-25722000,-13067439.7656401,-14468901.3443801,-1955000,-2433000,30000,30000,-2403000,-2403000,813000,-1898000,-1898000,-1898000,-1898000,222900000,222900000,25286000,25286000,45036000,18398000,12880000,311620000,33727000,234659000,18601000,285574000,597194000,29924000,12064000,17860000,37934000,24572000,3870000,124418000,162352000,575725000,-148090000,7207000,434842000,434842000,597194000,-1898000,3404000,5053000,-8441000,-1882000,-446000,-21209000,-167999.999999999,1572000,1572000,833000,-22258000,-22258000,5000,-22253000,971000,99846000,-8729000,0.41906,-0.04039,-0.03151,-0.00436,-0.00318,4.59905,8.21479,0.37336,0.16719,-0.18617,-0.18617,5.90878,42.65248,-0.8562,4,-0.00339,-0.01561,-126.72915,50.57707
"48","2022_Q1",141.492741935484,"Down",68068000,-40260000,27808000,-26690000,-24797000,-12666534.3963164,-15009355.4009691,-1893000,1118000,-1372000,-1372000,-254000.000000001,-254000.000000001,143000,-554000,-554000,-554000,-554000,223574000,223574000,27995000,27995000,49361000,18625000,13381000,319555000,33413000,230976000,19429000,284517000,604072000,34798000,15374000,19424000,43926000,24358000,3854000,124292000,168218000,579461000,-148644000,5037000,435854000,435854000,604072000,594000,3471000,2541000,-5631000,975000.000000002,-405000,-405000,-62000,460000,459999.999999993,272000.000000007,841999.999999996,841999.999999996,-168000,674000,4589000,99934000,-1590000,0.40853,0.01642,-0.00814,-0.00127,-0.000920000000000001,2.87004,7.27485,0.38595,0.16543,-0.0543400000000001,-0.05434,6.67661,42.75174,-0.15596,3,-0.000990000000000001,-0.00284,-26.94269,-110.59034
"49","2022_Q2",107.92,"Down",64800000,-35655000,29145000,-40599000,-28143000,-11997000,-16146000,-12456000,-11454000,-359000,-359000,-11813000,-11813000,2208000,-9986000,-9986000,-9986000,-9986000,172744000,172744000,26541000,26541000,55222000,18242000,12853000,272749000,33818000,273132000,21503000,328922000,601671000,32149000,12375000,19774000,40531000,32505000,3711000,132545000,173076000,585231000,-158630000,1994000,428595000,428595000,601671000,-9986000,3300000,3100000,-14079000,-17665000,-334000,-29843000,-62000.0000000001,1761000,1761000,-3262000,-50770000,-50770000,-60000,-50830000,-8154000,100040000,-24775000,0.44977,-0.17676,-0.1541,-0.0233,-0.0166,2.48097,6.72939,0.40382,0.16627,-0.97787,-0.97787,6.34548,41.96974,-2.42607,1,-0.0178,-0.04415,8.91636,6.34748
"50","2022_Q3",88.376875,"Down",64677000,-37350000,27327000,-32871000,-30545000,-11765000,-18780000,-2326000,-5544000,-480000,-480000,-6024000,-6024000,1133000,-5246000,-5246000,-5246000,-5246000,171928000,171928000,27887000,27887000,55799000,17257000,12363000,272871000,32711000,258457000,22693000,313918000,586789000,31208000,12050000,19158000,39457000,29897000,3621000,130045000,169502000,590555000,-163876000,-9392000,417287000,417287000,586789000,-5246000,3526000,8827000,-6056000,1051000,-759000,-759000,-53000,484000,484000,391000,683000.000000015,683000.000000015,-1499000,-816000,-2018000,100148000,-9965999.99999999,0.42251,-0.08572,-0.08111,-0.01257,-0.00894,1.89973,6.91566,0.4062,0.17067,-0.50691,-0.50691,6.24959,40.32148,-0.96299,3,-0.00958,-0.01821,35.56987,12.94733
