"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",24.9333333333333,"Down",46547000,-13803000,32744000,-37872000,-35097000,-2775000,-5128000,-637000,-637000,-5765000,-5765000,3025000,-2740000,-2740000,-2740000,-2740000,10760000,10760000,48730000,48730000,3520000,13340000,76350000,21294000,99302000,54512000,24220000,14634000,120596000,196946000,34344000,9108000,25236000,1978000,72458000,29974000,14150000,41000,14109000,44124000,116582000,211360000,-196339000,64324000,1019000,80364000,80364000,196946000,-2740000,2776000,-1020000,8013000,7029000,-1874000,-1482000,-3355000,-1465000,153000,190000,-37000,-1356000,2318000,2318000,355000,2673000,-2352000,31952000,761999.999999999,0.70346,-0.11017,-0.05887,-0.03409,-0.01391,-0.2781,1.05371,1.45067,0.16224,-0.19759,-0.19759,3.35667,5.79534,0.0549500000000002,-0.02167,0.00603,-9.0102,-4.13261
"31","2018_Q4",22.3360317460317,"Down",50460000,-15544000,34916000,-37502000,-34909000,-2593000,-2586000,-760000,-760000,-3346000,-3088000,554000,-2534000,-2534000,-2534000,-2534000,11774000,11774000,51035000,51035000,3747000,13036000,79592000,21750000,98292000,53185000,24220000,13680000,120042000,199634000,32032000,8652000,23380000,2034000,73256000,35396000,12683000,39000,12644000,48079000,121335000,211874000,-196197000,61790000,832000,78299000,78299000,199634000,-2534000,2654000,699000,-1594000,-775000,-693000,-260000,-953000,3916000,211000,211000,0,2983000,1255000,1255000,-241000,1014000,68000,37430000,-2773000,0.69195,-0.05125,-0.05022,-0.03236,-0.01269,1.09432,1.08649,1.54964,0.18749,-0.18237,-0.18237,3.63152,5.63505,-0.19957,-0.01973,-0.02159,377.29412,-9.92111
"32","2019_Q1",24.9596721311475,"Up",64819000,-17058000,47761000,-40161000,-37296000,-2865000,7600000,-687000,-687000,6913000,7073000,-5294000,1779000,1779000,1779000,1779000,10153000,10153000,71914000,71914000,3160000,18158000,103385000,21401000,89089000,51934000,24220000,12935000,110490000,213875000,40864000,9790000,31074000,2092000,94844000,30320000,8211000,210000,8001000,38531000,133375000,212633000,-196043000,63569000,341000,80500000,80500000,213875000,1779000,2800000,6316000,-2626000,8269000,-1547000,-553000,-2100000,-8904000,248000,249000,-1000.00000000003,-7468000,-1299000,-1299000,-322000,-1621000,10400000,32412000,11521000,0.73684,0.11725,0.02745,0.0221,0.00832,6.47611,1.09005,1.65683,0.15155,0.1279,0.1279,4.66022,5.78762,0.82831,0.01469,0.09512,2.14029,2.92882
"33","2019_Q2",29.6642857142857,"Up",53829000,-17046000,36783000,-37436000,-34644000,-2792000,-653000,-604000,-604000,-1257000,-1257000,-1e+05,-1357000,-1357000,-1357000,-1357000,11085000,11085000,55646000,55646000,2920000,13841000,83492000,20691000,92141000,50701000,24220000,12343000,112832000,196324000,34021000,7685000,26011000,2151000,82393000,26927000,10144000,210000,9934000,37071000,119464000,213643000,-195884000,59069000,32000,76860000,76860000,196324000,-1357000,2792000,1756000,4943000,8134000,-1431000,-689000,-2120000,-4897000,223000,230000,-7000,-4891000,1123000,1123000,-191000,932000,2139000,29078000,5751000,0.68333,-0.01213,-0.02521,-0.01766,-0.00691,-4.23803,1.01334,1.55431,0.14811,-0.09751,-0.09751,3.86786,5.52274,0.41324,-0.01169,0.04954,8.41186999999997,-27.55436
"34","2019_Q3",36.06859375,"Up",50356000,-14991000,35365000,-38921000,-35924000,-2997000,-3556000,-629000,-629000,-4185000,-3927000,410000,-3517000,-3517000,-3517000,-3517000,13108000,13108000,50591000,50591000,2840000,12879000,79418000,19725000,91033000,50146000,24220000,11015000,110758000,190176000,31927000,7933000,23887000,2211000,79347000,26220000,9575000,210000,9365000,35795000,115142000,214313000,-195301000,55552000,470000,75034000,75034000,190176000,-3517000,2997000,1763000,3973000,5216000,-764000,-567000,-1363000,-2209000,209000,214000,-4999.99999999999,-2084000,1769000,1769000,254000,2023000,-559000,28431000,2240000,0.7023,-0.07062,-0.06984,-0.04687,-0.01849,-0.63691,1.00089,1.53453,0.1495,-0.25235,-0.25235,3.61312,5.3838,0.16072,-0.03111,0.01982,-27.41145,-4.30906
"35","2019_Q4",36.24234375,"Up",56006000,-16342000,39664000,-41528000,-38714000,-2814000,-1864000,-554000,-554000,-2418000,-2418000,394000,-2024000,-2024000,-2024000,-2024000,10858000,10858000,52113000,52113000,3072000,13016000,79059000,19171000,89634000,48873000,24220000,10086000,108805000,187864000,34911000,7428000,27068000,2273000,82352000,21381000,9965000,210000,9755000,31346000,113698000,215445000,-195133000,53528000,326000,74166000,74166000,187864000,-2024000,2830000,2410000,2058000,5274000,-801000,-565000,-1366000,-6340000,250000,250000,0,-6272000,-2364000,-2364000,114000,-2250000,966000,23654000,1829000,0.70821,-0.03328,-0.03614,-0.02729,-0.01077,-0.90366,0.96001,1.53302,0.12591,-0.14495,-0.14495,4.01103,5.31161,0.13099,-0.01878,0.01697,13.24638,-6.86481
"36","2020_Q1",28.6166129032258,"Down",65165000,-17663000,47502000,-38774000,-31248000,-2737000,8728000,-534000,-534000,8194000,8194000,-2319000,5875000,5875000,5875000,5875000,27699000,27699000,73227000,73227000,3481000,14933000,119340000,18579000,86994000,47690000,24220000,10039000,105573000,224913000,38987000,9668000,28555000,2335000,103544000,16648000,22707000,180000,22527000,39355000,142899000,217317000,-194975000,59403000,269000,82014000,82014000,224913000,5875000,2740000,4097000,-884000,11828000,-1157000,-867000,-2024000,7204000,281000,281000,1.16415321826935e-10,7315000,17119000,17119000,-278000,16841000,11468000,18983000,11746000,0.72895,0.13394,0.09016,0.07163,0.02612,1.99932,1.15255,1.74237,0.0844,0.42039,0.42039,4.66297,5.86862,0.8405,0.04749,0.09495,-0.76003,-0.99863
"37","2020_Q2",20.2709523809524,"Down",58613000,-16584000,42029000,-42188000,-39399000,-2789000,-159000,-601000,-601000,-760000,-760000,216000,-544000,-544000,-544000,-544000,32761000,32761000,53195000,53195000,3155000,14092000,103203000,18181000,89907000,46519000,24220000,14010000,108088000,211291000,28946000,6970000,21976000,2399000,84006000,16020000,27730000,180000,27550000,43750000,127756000,219299000,-194855000,58859000,232000,83535000,83535000,211291000,-544000,2789000,2891000,1700000,6836000,-1408000,-3058000,-4466000,3186000,251000,254000,-3000,2655000,5025000,5025000,37000,5062000,2630000,18419000,2706000,0.71706,-0.00271,-0.00928,-0.00651,-0.00256999999999999,-4.97426,1.22852,1.52937,0.08717,-0.03891,-0.03891,4.19203,5.97447,0.19353,-0.00418999999999999,0.02087,-5.45323,90.20126
"38","2020_Q3",19.19578125,"Down",53744000,-15078000,38666000,-39045000,-36221000,-2824000,-379000.000000001,-543000,-543000,-921999.999999999,-922000,2019000,1097000,1097000,1097000,1097000,24810000,24810000,48722000,48722000,2795000,15531000,91858000,18368000,91559000,45350000,24220000,14923000,109927000,201785000,32452000,8735000,23717000,2465000,89224000,15379000,24267000,180000,24087000,39646000,128870000,217398000,-204761000,59956000,322000,72915000,72915000,201785000,1097000,2824000,717000,5899000,10537000,-1108000,-1774000,-2882000,-1825000,-13600000,230000,-13830000,-15554000,-7899000,-7899000,-52000,-7951000,2445000,17844000,5217000,0.71945,-0.00704999999999998,0.02041,0.01504,0.00544,4.7557,1.02952,1.7674,0.08843,0.0792599999999999,0.0769599999999999,3.88324,5.26842,0.37695,0.00954,0.04535,-2.84908,18.37995
"39","2020_Q4",20.7984375,"Up",37106000,-10284000,26822000,-26967000,-25611000,-2816000,-145000,-603000,-603000,-748000,-748000,-10220000,-10968000,-10968000,-10968000,-10968000,37006000,37006000,38612000,38612000,3106000,13295000,92019000,16894000,84691000,44189000,24220000,14894000,101585000,193604000,27134000,3922000,23212000,2532000,80375000,29596000,26585000,4274000,22311000,56181000,136556000,212420000,-204591000,48988000,231000,57048000,57048000,193604000,-10968000,2816000,5324000,4164000,1336000,-820000,-1204000,-2024000,13034000,296000,296000,0,13074000,12386000,12386000,-190000,12196000,2671000,32128000,16235000,0.72285,-0.00391,-0.29559,-0.19226,-0.05665,-1.48022,1.14487,2.3937,0.16595,-0.79083,-0.81516,2.67546,4.11335,1.1706,-0.09475,0.14025,-1.82628,33.64138
"40","2021_Q1",26.1514754098361,"Up",48993000,-11140000,37853000,-32476000,-28748000,-2841000,5377000,-515000,-515000,4862000,3226000,-2246000,980000,980000,980000,980000,27137000,27137000,56407000,56407000,2974000,15146000,101664000,15723000,88050000,47125000,24220000,15611000,103773000,205437000,28250000,5622000,22628000,7600000,102528000,29048000,14408000,5298000,9110000,43456000,145984000,213273000,-204429000,49968000,641000,59453000,59453000,205437000,980000,2841000,3820000,1213000,8854000,-847000,-1646000,-2493000,-16730000,128000,266000,-138000,-16732000,-10371000,-10371000,502000,-9869000,8218000,36648000,10830000,0.77262,0.10975,0.02,0.01648,0.00477,11.05102,0.99157,2.45545,0.17839,0.0706200000000002,0.0706199999999998,3.53052,4.28428,0.78043,0.00887,0.098,1.15734,1.76883
"41","2021_Q2",30.8314285714286,"Up",48324000,-11938000,36386000,-36555000,-33683000,-2872000,-169000,-544000,-544000,-713000,-713000,-179000,-892000,-892000,-892000,-892000,34260000,34260000,43066000,43066000,2675000,15430000,95431000,14169000,86760000,45996000,24220000,15516000,100929000,196360000,25593000,3691000,21902000,7670000,96598000,27100000,13909000,5089000,8820000,41009000,137607000,211020000,-202291000,49076000,948000,58753000,58753000,196360000,-892000,2872000,2257000,6639000,10876000,-185000,-263000,-448000,-1878000,-1274000,256000,-1530000,-3481000,6947000,6947000,176000,7123000,2703000,34770000,9336000,0.75296,-0.0035,-0.01846,-0.01518,-0.00453999999999999,-10.46637,0.98792,2.34213,0.17707,-0.06382,-0.06382,3.45739,4.20355,0.66795,-0.00829999999999999,0.0869,0.18868,-3.01775
"42","2021_Q3",38.50484375,"Up",48162000,-10822000,37340000,-36497000,-33623000,-2874000,843000.000000001,-524000,-524000,319000,319000,-365000,-46000,-46000,-46000,-46000,40343000,40343000,41482000,41482000,2641000,15799000,100265000,13159000,85305000,44864000,24220000,15378000,98464000,198729000,27897000,5060000,22837000,7741000,101108000,25138000,13443000,4812000,8631000,38581000,139689000,210169000,-201074000,49030000,915000,59040000,59040000,198729000,-46000,2874000,2607000,5601000,11036000,-692000,-1029000,-1721000,-1891000,-1233000,208000,-1441000,-3335000,5980000,5980000,103000,6083000,3717000,32879000,8991000,0.7753,0.0175,-0.000960000000000013,-0.00078,-0.00023,-195.45652,0.99166,2.36601,0.16545,-0.00327000000000001,-0.00326999999999995,3.42035,4.19288,0.63852,-0.00044,0.08533,-2.00807,-8.85409
"43","2021_Q4",44.34703125,"Up",58737000,-12829000,45908000,-42794000,-40133000,-2661000,3114000,-509000,-509000,2605000,2605000,10149000,12754000,12754000,12754000,12754000,35757000,35757000,44477000,44477000,2652000,15343000,98229000,12114000,102306000,51603000,31220000,14167000,114420000,212649000,32667000,4655000,28012000,8648000,104643000,26104000,7570000,2552397.9041655,7570000,33674000,138317000,212636000,-200852000,61784000,764000,74332000,74332000,212649000,12754000,2661000,-6753000,278000,8940000,-308000,-535000,-11397000,-1903000,319000,319000,0,-1943000,-4400000,-4400000,-186000,-4586000,5775000,34752000,-4404000,0.78159,0.05302,0.21714,0.17158,0.05998,-0.3453,0.93871,1.8608,0.16342,0.90912,0.90912,4.18683,5.29845,-0.31392,0.10933,-0.03775,-0.174029999999999,-0.32274
"44","2022_Q1",46.325,"Up",68945000,-15677000,53268000,-48955000,-37549000,-2789000,4313000,-449000,-449000,3864000,3864000,-2057000,1807000,1807000,1807000,1807000,47417000,47417000,70680000,70680000,2496000,16115000,136708000,11525000,101421000,50097000,31220000,15153000,112946000,249654000,41928000,6948000,34980000,8722000,136539000,24136000,9116000,375000,8741000,33252000,169791000,216241000,-200678000,63591000,709000,79863000,79863000,249654000,1807000,2789000,5357000,5372000,15325000,-417000,-677000,-749000,-1928000,290000,290000,0,-2720000,11856000,11856000,-196000,11660000,7102000,32858000,14114000,0.77262,0.06256,0.02621,0.02263,0.00724,7.81073999999999,1.00124,2.12603,0.13161,0.12684,0.12626,4.8396,5.60599,0.99073,0.01483,0.11584,-2.04999,-3.37561
"45","2022_Q2",39.7540322580645,"Down",61259000,-13661000,47598000,-42053000,-39343000,-2710000,5545000,-431000,-431000,5114000,5114000,-1302000,3812000,3812000,3812000,3812000,51250000,51250000,51692000,51692000,2579000,16162000,121683000,10585000,98392000,48667000,31220000,14246000,108977000,230660000,31592000,5485000,26107000,8798000,118160000,22146000,8317000,375000,7942000,30463000,148623000,214857000,-200788000,67403000,565000,82037000,82037000,230660000,3812000,2710000,3370000,272000,10164000,-520000,-243000,-763000,-1948000,-3144000,344000,-3488000,-5460000,3941000,3941000,-108000,3833000,8255000,30944000,9309000,0.777,0.09052,0.06223,0.04647,0.01653,2.44203,1.02982,1.81166,0.13415,0.26758,0.26635,4.30008,5.7586,0.65345,0.03143,0.07674,-2.45984,-3.66204
"46","2022_Q3",49.48890625,"Up",56600000,-12485000,44115000,-40598000,-38062000,-2536000,3517000,-411000,-411000,3106000,3106000,-1228000,1878000,1878000,1878000,1878000,61062000,61062000,47726000,47726000,2472000,16105000,127365000,10032000,96067000,47325000,31220000,13864000,106099000,233464000,29946000,6644000,23302000,8875000,119753000,20141000,7442000,375000,7067000,27583000,147336000,216701000,-200387000,69281000,533000,86128000,86128000,233464000,1878000,2536000,3668000,4992000,13074000,-744000,-531000,-1275000,-1961000,277000,324000,-47000,-1987000,9812000,9812000,0,9812000,6053000,29016000,11529000,0.77942,0.06214,0.03318,0.0218,0.00804,6.13898,1.06356,1.71066,0.12428,0.13183,0.13122,3.97305,6.04577,0.80928,0.01532,0.09405,-5.29423,-9.11174
