"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",17.44734375,"Down",72915000,-23782000,49133000,-37326000,-9655000,-12036000,-15635000,11807000,-7383000,-6629000,-6631000,2000,4424000,-1556000,2868000,2868000,2868000,2848000,2848000,36894000,13403000,5293000,30953000,5555000,25398000,73140000,1314504000,1314504000,5516000,5486000,1320020000,1393160000,37725000,31775000,5950000,45183000,539179000,539179000,584362000,883045000,-81311000,801734000,7064000,808798000,1393160000,2868000,11978000,1969000,-3389000,13426000,-6947000,-6947000,-6947000,-5928000,-15320000,773000,10537000,10537000,-1186000,-5196000,2302000,2302000,2302000,23785000,539179000,0.67384,0.16193,0.03906,0.00352,0.00204,1.61875,0.72251,0.38702,0.06225,0.06188,1.59364,17.52279,0.33484,0.01348,5.37921,21.11772,42.54129
"32","2018_Q3",18.9914285714286,"Up",85374000,-25244000,60130000,-39635000,-10328000,-11922000,-17385000,20495000,-5648000,-6652000,-6667000,15000,14847000,-1362000,13485000,13485000,13485000,13385000,13385000,30853000,8077000,6976000,32320000,4439000,27881000,70149000,1308571000,1308571000,5381000,5351000,1313952000,1384101000,36789000,31358000,5431000,44351000,531072000,531072000,575423000,883211000,-83079000,800132000,8546000,808678000,1384101000,13485000,11863000,471000,-1258000,24561000,-5813000,-5813000,-5813000,-3989000.00000001,-15337000,-8198000,144000,144000,-24000,-23415000,-2843000,-2843000,-2843000,32358000,531072000,0.70431,0.24006,0.15678,0.01655,0.00967,1.58168,0.71156,0.38369,0.29182,0.29044,1.86131,17.44437,0.33438,0.02144,1.14583,15.4589,24.40688
"33","2018_Q4",17.5715873015873,"Down",88898000,-27310000,61588000,-39778000,-10153000,-11962000,-17663000,21810000,-5684000,-6372000,-6707000,335000,16126000,-1435000,14691000,14691000,14691000,14580000,14580000,32812000,10270000,6418000,32140000,3757000,28383000,71370000,1328560000,1328560000,5156000,5126000,1333716000,1405086000,41936000,36358000,5578000,49958000,532950000,532950000,582908000,896621000,-83758000,812863000,9315000,822178000,1405086000,14691000,11903000,994000,5856000,33444000,-10549000,-10549000,-10549000,-30567000,-15390000,1787000,13680000,13680000,-259000,-182000,2695000,2695000,2695000,33713000,532950000,0.69279,0.24534,0.16401,0.01773,0.01038,1.4286,0.70898,0.3793,0.31593,0.31433,1.92629,17.61359,0.33348,0.02212,1.05556,14.83517,22.93159
"34","2019_Q1",18.0659016393443,"Up",77043000,-29266000,47777000,-37994000,-9551000,-12249000,-16194000,9783000,-8577000,-6763000,-6873000,110000,1206000,-1408000,-201999.999999998,-174000,-174000,-172000.000000002,-172000,28737000,7192000,4495000,27576000,2431000,25145000,60808000,1373773000,1373773000,5128000,5070000,1378901000,1439709000,39359000,33692000,5667000,49009000,583282000,583282000,632291000,896751000,-99285000,797466000,9952000,807418000,1439709000,-174000,12188000,2781000,-11000,14784000,-8108000,-8108000,-8108000,-55917000,-15543000,50239000,125000.000000002,125000,-4000,34817000,-6316000,-6316000,-6316000,21971000,583282000,0.62013,0.12698,-0.00223000000000001,-0.000209999999999998,-0.00012,1.24075,0.7831,0.40514,-0.00369999999999998,-0.00369999999999998,1.65602,17.14137,0.33409,0.01105,-90.36628,25.23986,56.68455
"35","2019_Q2",18.2893650793651,"Up",75679000,-25329000,50350000,-38966000,-9681000,-12772000,-16513000,11384000,-8265000,-7142000,-7197000,55000,3119000,-1491000,1628000,1628000,1628000,1613000,1613000,32056000,11199000,5221000,26846000,5504000,21342000,64123000,1372077000,1372077000,27911000,27853000,1399988000,1464111000,35917000,30184000,5733000,71626000,597568000,597568000,669194000,897627000,-113039000,784588000,10329000,794917000,1464111000,1628000,12710000,2630000,-3657000,13311000,-11741000,-11741000,-11741000,-11741000,-15603000,14192000,119000,119000,-74000,-1366000,204000,204000,204000,24094000,597568000,0.66531,0.15042,0.02131,0.00203,0.0011,0.89525,0.84184,0.40814,0.03465,0.03451,1.62552,16.85231,0.33514,0.01236,9.67328,23.47107,49.67604
"36","2019_Q3",16.894375,"Down",87874000,-25854000,62020000,-41152000,-10185000,-12999000,-17968000,20868000,-6608000,-7065000,-7131000,66000,14260000,-4735000,9525000,9525000,9525000,9437000,9437000,29762000,8847000,7475000,22547000,4482000,18065000,59784000,1358667000,1358667000,26306000,26248000,1384973000,1444757000,35738000,29843000,5895000,69757000,578403000,578403000,648160000,904538000,-119049000,785489000,11108000,796597000,1444757000,9525000,12937000,4520000,-2464000,24518000,-2491000,-11478000,-11478000,-2080000,-15633000,-19259000,7e+06,7e+06,-175000,-28067000,-5629000,-5629000,-5629000,33805000,578403000,0.70578,0.23748,0.10739,0.01185,0.00653,0.85703,0.81366,0.40035,0.20181,0.20089,1.87921,16.79787,0.33432,0.01823,1.65656,16.22958,26.29102
"37","2019_Q4",17.473125,"Up",90078000,-27939000,62139000,-40947000,-9854000,-12923000,-18170000,21192000,-9800000,-7016000,-7050000,34000,11392000,-1294000,10098000,10098000,10098000,10002000,10002000,29763000,10257000,9456000,20256000,4119000,16137000,59475000,1368065000,1368065000,25960000,25902000,1394025000,1453500000,42281000,36263000,6018000,77825000,583640000,583640000,661465000,904629000,-124531000,780098000,11937000,792035000,1453500000,10098000,12861000,4433000,4460000,31852000,-14025000,-14025000,-14025000,-21875000,-15712000,5143000,80000,80000,-6000,-10495000,-518000,-518000,-518000,34053000,583640000,0.68984,0.23526,0.11104,0.01263,0.00688,0.76421,0.83515,0.40154,0.21319,0.21209,1.91996,16.62729,0.33489,0.01869,1.57089,16.26515,26.13614
"38","2020_Q1",13.7951612903226,"Down",74697000,-25409000,49288000,-46065000,-9998000,-12811000,-23256000,3223000,-9832000,-6834000,-6869000,35000,-6609000,4238000,-2371000,-2371000,-2371000,-2349000,-2349000,24589000,6620000,4626000,34832000,5460720.62659335,34832000,64047000,1367612000,1367612000,6915000,6886000,1374527000,1438574000,39154000,33012000,6142000,78085000,585465000,585465000,663550000,904742000,-142365000,762377000,12647000,775024000,1438574000,-2371000,12750000,4054000,2120000,16553000,-19010000,-19010000,-19010000,-8879000,-15712000,1729000,99000,99000.0000000009,-2000,-13886000,-6212000,-6212000,-6212000,15973000,585465000,0.65984,0.04315,-0.03145,-0.00303,-0.00163,0.82022,0.85617,0.40698,-0.05006,-0.04974,1.59199,16.24828,0.33486,0.00982,-6.6888,35.114,174.02296
"39","2020_Q2",6.66063492063492,"Down",60209000,-25217000,34992000,-35817000,-8043000,-13061000,-14713000,-825000,-10425000,-6752000,-6833000,81000,-11250000,-16861000,-28111000,-28111000,-28111000,-27783000,-27783000,57972000,57972000,2801000,17610000,6011000,11599000,78383000,1366471000,1366471000,25238000,25209000,1391709000,1470092000,25754000,25285000,469000,65557000,666265000,666265000,731822000,906405000,-180479000,725926000,12344000,738270000,1470092000,-28111000,1.3e+07,20891000,-8640000,-2860000,-12307000,-12307000,-12307000,-12307000,-16237000,80703000,92000,92000,-2000,64556000,49389000,49389000,49389000,12175000,666265000,0.58118,-0.0137,-0.46144,-0.03763,-0.0189,1.19565,0.99127,0.45321,-0.59178,-0.59178,1.28245,15.46217,0.34585,-0.00822,-0.584420000000001,49.96246,-737.32485
"40","2020_Q3",6.51796875,"Down",20173000,-5914000,14259000,-32087000,-5845000,-13668000,-12574000,-17828000,-8573000,-6995000,-7034000,39000,-26401000,-792000.000000004,-27193000,-27193000,-27193000,-26827000,-26827000,36883000,36883000,2251000,13475000,4612000,8863000,52609000,1359263000,1359263000,25483000,25454000,1384746000,1437355000,19775000,19306000,469000,61036000,664175000,664175000,725211000,906447000,-207306000,699141000,13003000,712144000,1437355000,-27193000,13607000,3201000,-2495000,-12880000,-8167000,-8167000,-8167000,-8167000,0,-2186000,35999.9999999999,35999.9999999999,-628000,-2777999.99999999,-23825000,-23825000,-23825000,-4221000,664175000,0.70684,-0.88376,-1.32985,-0.03767,-0.01866,0.86193,1.01835,0.46208,-0.57127,-0.57127,0.42958,14.88792,0,-0.01949,0,-148.61218,-35.18578
"41","2020_Q4",9.525625,"Up",34969000,-12584000,22385000,-35003000,-6865000,-13620000,-14518000,-12618000,-8068000,-7220000,-7245000,25000,-20686000,2374000,-18312000,-18312000,-18312000,-18057000,-18057000,31570000,31570000,2228000,14840000,3995000,10845000,48638000,1354484000,1354484000,26366000,26337000,1380850000,1429488000,26674000,26205000,469000,72583000,662024000,662024000,734607000,906491000,-225363000,681128000,13753000,694881000,1429488000,-18312000,13558000,2100000,5644000,2990000,-6656000,-6656000,-6656000,-6656000,1.86264514923096e-09,1674000,38000,38000,-1377000,335000,-3331000,-3331000,-3331000,940000,662024000,0.64014,-0.36083,-0.51637,-0.02599,-0.01263,0.6701,1.05717,0.46312,-0.38447,-0.38447,0.74457,14.5027,2.77555756156289e-17,-0.01331,0,670.69574,-49.96465
"42","2021_Q1",12.6385245901639,"Up",29565000,-12732000,16833000,-33049000,-7544000,-13522000,-11983000,-16216000,-8301000,-6976000,-7010000,34000,-24517000,21113000,-3404000,-3404000,-3404000,-3356000,-3356000,21124000,21124000,1688000,33236000,2266000,30970000,56048000,1308825000,1308825000,5384000,5384000,1314209000,1370257000,25843000,25374000,469000,82352000,595445000,595445000,677797000,906470000,-228718000,677752000,14708000,692460000,1370257000,-3404000,13462000,-18169000,9e+05,-7211000,53936000,-10512000,-10512000,53936000,0,-57310000,15999.9999999995,16000.0000000005,-393000,-57687000,-10962000,-10962000,-10962000,-2754000,595445000,0.56936,-0.54849,-0.11351,-0.00485,-0.00245,0.68059,0.97882,0.43455,-0.07145,-0.07145,0.62945,14.42955,0,-0.00261,0,-208.54067,-35.41693
"43","2021_Q2",13.2646031746032,"Up",32114000,-12963000,19151000,-32596000,-7342000,-13334000,-11920000,-13445000,-7627000,-6396000,-6470000,74000,-21072000,23774000,2702000,2702000,2702000,2656000,2656000,14638000,14638000,2507000,36086000,6882000,29204000,53231000,1304526000,1304526000,4990000,4990000,1309516000,1362747000,22497000,22350000,147000,67357000,577924000,577924000,645281000,930210000,-226062000,704148000,13318000,717466000,1362747000,2702000,13274000,-20847000,-7201000,-12072000,-10004000,-10004000,-10004000,-7204000,-281000,-9168000,21294000,21294000,-660000,11185000,-8091000,-8091000,-8091000,-171000,577924000,0.59634,-0.41866,0.08271,0.0037,0.00195,0.79028,0.89939,0.42409,0.05624,0.05607,0.68002,14.9105,0.00595,0.00227,0.1058,-3294.07018,-41.89557
"44","2021_Q3",11.9434375,"Down",50243000,-15940000,34303000,-36721000,-9372000,-13353000,-13996000,-2418000,-6328000,-6328000,-6356000,28000,-8746000,28000,-8718000,-8718000,-8718000,-8558000,-8558000,131367000,131367000,3834000,37088000,5843000,31245000,172289000,1299865000,1299865000,4564000,4564000,1304429000,1476718000,25651000,25504000,147000,76195000,571464000,571464000,647659000,1048793000,-234620000,814221000,14838000,829059000,1476718000,-8718000,13292000,1731000,3600000,9905000,-9427000.00000001,-9427000,-9427000,-9426999.99999999,-1000,-759000,123289000,123289000,-4074000,118455000,118933000,118933000,118933000,10874000,571464000,0.68274,-0.04813,-0.17033,-0.01032,-0.0058,2.26116,0.7812,0.38698,-0.18122,-0.18067,1.06391,17.24031,2e-05,-0.00611,-0.00012,40.4724099999999,-182.00868
"45","2021_Q4",12.78828125,"Up",64295000,-20022000,44273000,-39826000,-10229000,-13668000,-15929000,4447000,-5823000,-5823000,-5823000,63537.1349312529,-1376000,-7000,-1383000,-1383000,-1383000,-1319000,-3307000,18580000,18580000,3235000,36275000,5138000,31137000,58090000,1363464000,1363464000,4413000,4413000,1367877000,1425967000,32906000,30772000,2134000,88025000,511414000,511414000,599439000,1048546000,-237927000,810667000,15861000,826528000,1425967000,-1383000,13606000,1763000,6597000,20583000,-77645000,-22296295.8744683,-22296295.8744683,-77645000,0,-55407000,15000,15000,-275000,-55667000,-112729000,-112729000,-112729000,18053000,511414000,0.68859,0.06917,-0.05143,-0.004,-0.00232,0.65993,0.72525,0.35864,-0.06783,-0.06783,1.31872,16.62619,-9.18183714823662e-19,-0.00247,-1.87702501111553e-17,27.29929,110.82393
"46","2022_Q1",13.6425806451613,"Up",57323000,-19715000,37608000,-37745000,-9233000,-13860000,-14652000,-137000,-5670000,-5670000,-5811000,141000,-5807000,-5639000,-11446000,-11446000,-11446000,-11189000,-13176000,19188000,19188000,3003000,33457000,2791000,30666000,55648000,1350424000,1350424000,4627000,4627000,1355051000,1410699000,29521000,27718000,1803000,87224000,509282000,509282000,596506000,1048605000,-251103000,797502000,16691000,814193000,1410699000,-11446000,13795000,7324000,688000,10361000,-7666999.99999999,-37752924.6473889,-37752924.6473889,-7667000.00000003,0,526000.000000007,13999.9999999851,13999.9999999851,-2931000,-2391000,302999.99999997,302999.99999997,302999.99999997,13658000,509282000,0.65607,-0.00238999999999999,-0.22986,-0.01618,-0.00934,0.63799,0.73263,0.36101,-0.27025,-0.27025,1.17572,16.35715,0,-0.00996,0,35.8832900000002,-3577.32847
"47","2022_Q2",12.5129032258065,"Down",54885000,-20108000,34777000,-38087000,-9292000,-15036000,-13759000,-3310000,-6389000,-6389000,-6389000,148656.432534374,-9699000,-9030732.17790759,-9699000,-9699000,-9699000,-9446000,-11433000,18149000,18149000,3628000,37642000,9530000,28112000,59419000,1373643000,1373643000,4646000,4646000,1378289000,1437708000,25498000,23842000,1656000,86502000,547067000,547067000,633569000,1047519000,-262536000,785031000,19108000,804139000,1437708000,-9699000,14970000,1718000,-11164000,-4175000,-38091000,-38091000,-38091000,-38091000,-147000,41163000,14000,14000,-2188000,38842000,-3424000,-3424000,-3424000,11660000,547067000,0.63363,-0.06031,-0.20831,-0.01422,-0.00795,0.68691,0.78788,0.38051,-0.23449,-0.23449,1.12569,16.09997,0.00301,-0.00835,-0.01286,45.36175,-159.79396
"48","2022_Q3",11.95703125,"Down",81761000,-23278000,58483000,-44245000,-11266000,-15277000,-17702000,14238000,-6935000,-6935000,-6936000,1000,7303000,2020000,9323000,9323000,9323000,9152000,7164000,17750000,17750000,7276000,37952000,8269000,29683000,62978000,1286661000,1286661000,4121000,4121000,1290782000,1353760000,29569000,27913000,1656000,91122000,449940000,449940000,541062000,1047468000,-255372000,792144000,20554000,812698000,1353760000,9323000,15223000,-176000,1518000,25888000,73604000,-5965000,-5965000,74004000,0,-96502000,19000,19000,-2066000,-98549000,1343000,1343000,1343000,29461000,449940000,0.71529,0.17414,0.08762,0.00882,0.00529,0.69114,0.66576,0.33236,0.14693,0.14693,1.67692,16.24586,0,0.00567,0,14.6699,30.3546800000003
