"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",77.4784126984127,"Up",2.465e+09,-1.794e+09,6.71e+08,-2.11e+08,-1.8e+08,-5.9e+07,4.6e+08,-5.7e+07,-6.1e+07,4e+06,4.03e+08,0,4.03e+08,-7.9e+07,3.24e+08,3.24e+08,3.23e+08,3.23e+08,1.95e+08,1.95e+08,1.047e+09,1.047e+09,1.576e+09,4.27e+08,4.27e+08,3.245e+09,5.485e+09,1.2145e+10,-6.66e+09,7.294e+09,4.52e+09,3.7e+08,1.2779e+10,1.6024e+10,1.402e+09,1.402e+09,3.69e+08,1.771e+09,6.325e+09,2.829e+09,1.349e+09,1.48e+09,9.154e+09,1.0925e+10,1.97e+09,-3.1e+09,6.391e+09,-2.38e+08,5.023e+09,5.099e+09,1.6024e+10,3.24e+08,1.48e+08,1.05e+08,-4.9e+07,5.28e+08,-1.46e+08,-1e+06,-1.47e+08,-7.4e+07,-2.34e+08,-9.8e+07,-4.1e+08,-2.9e+07,-2.9e+07,2e+06,-2.7e+07,6.08e+08,6.694e+09,4.92e+08,0.27221,0.18661,0.13103,0.06335,0.02016,1.52322,1.8323,2.14258,0.41775,2.23839,2.21993,17.08247,34.80942,3.40956,0.51282,8,0.02715,0.03365,0.2291,10.68914,14.12826
"32","2018_Q1",86.7560655737705,"Up",2.362e+09,-1.905e+09,4.57e+08,-1.93e+08,-1.89e+08,-5.3e+07,2.64e+08,-7e+07,-5.9e+07,-1.1e+07,1.94e+08,-8e+06,1.86e+08,3.05e+08,4.91e+08,4.91e+08,4.91e+08,4.91e+08,1.91e+08,1.91e+08,1.026e+09,1.026e+09,1.509e+09,4.17e+08,4.17e+08,3.143e+09,5.607e+09,1.237e+10,-6.763e+09,7.249e+09,4.527e+09,3.49e+08,1.2856e+10,1.5999e+10,1.589e+09,1.589e+09,3.93e+08,1.982e+09,6.147e+09,2.39e+09,8.93e+08,1.497e+09,8.537e+09,1.0519e+10,1.985e+09,-3.175e+09,6.802e+09,-2.09e+08,5.403e+09,5.48e+09,1.5999e+10,4.91e+08,1.47e+08,-3.42e+08,3.5e+08,6.46e+08,-2.11e+08,-2e+06,-2.13e+08,-7.3e+07,-2.9e+08,-7.3e+07,-4.38e+08,-5000000.00000001,-5000000.00000001,1e+06,-4e+06,4.11e+08,6.54e+09,2.45e+08,0.19348,0.11177,0.20787,0.0896,0.03069,0.49898,1.58577,1.91953,0.40878,3.42399,3.37922,16.47141,37.67782,1.70851,0.50907,7,0.03914,0.017,0.14868,15.44769,24.04924
"33","2018_Q2",91.04328125,"Up",2.607e+09,-2.026e+09,5.81e+08,-2.16e+08,-1.9e+08,-5.6e+07,3.65e+08,-1.3e+07,-5.9e+07,4.6e+07,3.52e+08,-2e+06,3.5e+08,-6e+07,2.9e+08,2.9e+08,2.9e+08,2.9e+08,1.94e+08,1.94e+08,1.43e+09,1.43e+09,1.476e+09,3.83e+08,3.83e+08,3.483e+09,5.632e+09,1.252e+10,-6.888e+09,7.251e+09,4.54e+09,3.62e+08,1.2883e+10,1.6366e+10,1.44e+09,1.44e+09,5.89e+08,2.029e+09,6.311e+09,2.406e+09,9.14e+08,1.492e+09,8.717e+09,1.0746e+10,2.006e+09,-3.275e+09,7.026e+09,-2.12e+08,5.545e+09,5.62e+09,1.6366e+10,2.9e+08,1.52e+08,-1.82e+08,-2.95e+08,-3.5e+07,-1.28e+08,5e+07,-7.8e+07,-8e+07,2.99e+08,-1.03e+08,1.16e+08,3e+06,3e+06,2.3283064365387e-10,3e+06,5.17e+08,6.9e+09,1.54e+08,0.22286,0.14001,0.11124,0.0516,0.01772,0.53103,1.71661,1.9121,0.42161,2.03081,2.00276,18.2563,38.83053,1.07843,0.56022,5,0.02479,0.01032,0.27586,12.97099,18.3726
"34","2018_Q3",85.965873015873,"Down",2.621e+09,-1.917e+09,7.04e+08,-2.19e+08,-1.89e+08,-6e+07,4.85e+08,-5.1e+07,-6.1e+07,1e+07,4.34e+08,-4e+06,4.3e+08,-83999999.9999999,3.46e+08,3.46e+08,3.44e+08,3.44e+08,1.93e+08,1.93e+08,1.393e+09,1.393e+09,1.532e+09,3.8e+08,3.8e+08,3.498e+09,5.57e+09,1.2513e+10,-6.943e+09,7.192e+09,4.514e+09,4e+08,1.2762e+10,1.626e+10,1.406e+09,1.406e+09,6.62e+08,2.068e+09,6.033e+09,2.385e+09,9.33e+08,1.452e+09,8.418e+09,1.0486e+10,2.023e+09,-3.425e+09,7.292e+09,-1.93e+08,5.697e+09,5.774e+09,1.626e+10,3.46e+08,1.48e+08,3.5e+07,-8.6e+07,4.43e+08,-1.16e+08,1.5e+07,-1.01e+08,-8e+07,-1.09e+08,-1.48e+08,-3.39e+08,3e+06,3e+06,-4e+06,-1e+06,6.33e+08,6.695e+09,5.15e+08,0.2686,0.18504,0.13125,0.05958,0.02116,1.49709,1.69149,1.81607,0.41175,2.42424,2.38889,18.47075,40.14799,3.62932,0.56378,8,0.02854,0.03467,0.23256,10.27172,13.40619
"35","2018_Q4",69.5415873015873,"Down",2.547e+09,-1.819e+09,7.28e+08,-2.05e+08,-1.75e+08,-6e+07,5.23e+08,-6.4e+07,-5.8e+07,-6e+06,4.59e+08,0,4.59e+08,-4.6e+07,4.13e+08,4.13e+08,4.12e+08,4.12e+08,1.93e+08,1.93e+08,1.404e+09,1.404e+09,1.625e+09,4.25e+08,4.25e+08,3.647e+09,5.57e+09,1.2604e+10,-7.034e+09,7.145e+09,4.509e+09,4.05e+08,1.2715e+10,1.6362e+10,1.425e+09,1.425e+09,7.28e+08,2.153e+09,5.898e+09,2.316e+09,9.44e+08,1.372e+09,8.214e+09,1.0367e+10,2.038e+09,-3.55e+09,7.626e+09,-1.94e+08,5.92e+09,5.995e+09,1.6362e+10,4.13e+08,1.51e+08,-6.7e+07,-1.02e+08,3.95e+08,-1.37e+08,1e+06,-1.36e+08,-8e+07,-5.4e+07,-1.24e+08,-2.59e+08,0,0,0,0,6.74e+08,6.626e+09,4.81e+08,0.28583,0.20534,0.16176,0.06872,0.02518,1.16748,1.69392,1.72927,0.40496,2.9303,2.89326,18.11522,42.10526,3.42105,0.56899,7,0.03294,0.0322,0.19417,9.54451,12.30019
"36","2019_Q1",69.937868852459,"Up",2.376e+09,-1.91e+09,4.66e+08,-2.95e+08,-1.67e+08,-5.9e+07,1.71e+08,-5.4e+07,-5.7e+07,3e+06,1.17e+08,-4.6e+07,7.1e+07,-3.6e+07,3.5e+07,3.5e+07,3.4e+07,3.4e+07,2.26e+08,2.26e+08,1.154e+09,1.154e+09,1.583e+09,4.02e+08,4.02e+08,3.365e+09,5.6e+09,1.2731e+10,-7.131e+09,7.03e+09,4.467e+09,3.78e+08,1.263e+10,1.5995e+10,1.608e+09,1.608e+09,2.43e+08,1.851e+09,5.925e+09,2.341e+09,8.84e+08,1.457e+09,8.266e+09,1.0117e+10,2.05e+09,-3.575e+09,7.573e+09,-2.45e+08,5.803e+09,5.878e+09,1.5995e+10,3.5e+07,1.53e+08,1.42e+08,4.1e+08,7.4e+08,-1.42e+08,-3e+06,-1.48e+08,-7.8e+07,-4.52e+08,-2.5e+07,-5.58e+08,3.4e+07,3.4e+07,-1e+06,3.3e+07,3.24e+08,6.168e+09,6.28e+08,0.19613,0.07197,0.01431,0.00578000000000001,0.00213,18.47059,1.81794,1.72116,0.38562,0.24373,0.24217,17.03226,41.59857,4.50179,0.55914,7,0.00778,0.04365,2.29412,18.33951,34.74854
"37","2019_Q2",67.3685714285714,"Down",2.38e+09,-1.806e+09,5.74e+08,-2.24e+08,-1.87e+08,-5.8e+07,3.5e+08,-5.4e+07,-5.6e+07,2e+06,2.96e+08,-3.2e+07,2.64e+08,-5.5e+07,2.09e+08,2.09e+08,2.09e+08,2.09e+08,1.95e+08,1.95e+08,1.297e+09,1.297e+09,1.704e+09,3.55e+08,3.55e+08,3.551e+09,5.576e+09,1.2796e+10,-7.22e+09,7.234e+09,4.477e+09,6.27e+08,1.281e+10,1.6361e+10,1.49e+09,1.49e+09,8.62e+08,2.352e+09,5.602e+09,2.488e+09,8.92e+08,1.596e+09,8.09e+09,1.0442e+10,2.062e+09,-3.7e+09,7.675e+09,-1.94e+08,5.843e+09,5.919e+09,1.6361e+10,2.09e+08,1.55e+08,-5.6e+07,-3.13e+08,-5e+06,-1.06e+08,0,-1.25e+08,-8.7e+07,3.2e+08,-1.31e+08,1.02e+08,-2.8e+07,-2.8e+07,-3e+06,-3.1e+07,5.05e+08,6.464e+09,1.41e+08,0.24118,0.14706,0.08782,0.03531,0.01277,0.67464,1.50978,1.76415,0.39509,1.5036,1.49179,17.1223,42.03597,1.01439,0.6259,4,0.0199,0.00948,0.41627,12.41386,17.91143
"38","2019_Q3",64.18734375,"Down",2.363e+09,-1.774e+09,5.89e+08,-2.01e+08,-1.65e+08,-5.7e+07,3.88e+08,-5.4e+07,-5.5e+07,1e+06,3.34e+08,-1.8e+07,3.16e+08,-5.7e+07,2.59e+08,2.59e+08,2.58e+08,2.58e+08,1.86e+08,1.86e+08,1.232e+09,1.232e+09,1.73e+09,3.68e+08,3.68e+08,3.516e+09,5.55e+09,1.2848e+10,-7.298e+09,7.19e+09,4.481e+09,6.16e+08,1.274e+10,1.6256e+10,1.495e+09,1.495e+09,7.31e+08,2.226e+09,5.624e+09,2.46e+09,8.88e+08,1.572e+09,8.084e+09,1.031e+10,2.081e+09,-3.825e+09,7.848e+09,-2.35e+08,5.869e+09,5.946e+09,1.6256e+10,2.59e+08,1.56e+08,1e+07,-2999999.99999988,4.22e+08,-9.2e+07,-2e+06,-9.4e+07,-8.6e+07,-1.31e+08,-1.21e+08,-3.39e+08,-1.1e+07,-1.1e+07,2e+06,-9e+06,5.44e+08,6.355e+09,5.06e+08,0.24926,0.1642,0.10918,0.04339,0.01587,1.96124,1.57951,1.73394,0.39093,1.87228,1.85212,17.14804,42.59071,3.67199,0.62409,5,0.0233,0.03428,0.33333,11.34007,15.89948
"39","2019_Q4",69.35171875,"Up",2.325e+09,-1.751e+09,5.74e+08,-2.02e+08,-1.63e+08,-5.9e+07,3.72e+08,-5.7e+07,-5.4e+07,-3e+06,3.15e+08,-2e+06,3.13e+08,-4.6e+07,2.67e+08,2.67e+08,2.66e+08,2.66e+08,2.07e+08,2.07e+08,1.191e+09,1.191e+09,1.695e+09,3.47e+08,3.47e+08,3.44e+09,5.534e+09,1.2898e+10,-7.364e+09,7.163e+09,4.464e+09,6.65e+08,1.2697e+10,1.6137e+10,1.438e+09,1.438e+09,6.42e+08,2.08e+09,5.567e+09,2.393e+09,8.87e+08,1.506e+09,7.96e+09,1.004e+10,2.094e+09,-3.9e+09,8.029e+09,-2.03e+08,6.02e+09,6.097e+09,1.6137e+10,2.67e+08,1.51e+08,3.7e+07,-3.9e+07,4.16e+08,-1.1e+08,-2e+06,-1.41e+08,-8.5e+07,-9e+07,-7.6e+07,-2.5e+08,2.5e+07,2.5e+07,-4e+06,2.1e+07,5.23e+08,6.209e+09,4.2e+08,0.24688,0.16,0.11441,0.04363,0.01648,1.57895,1.65385,1.64671,0.38477,1.94302,1.93736,16.9832,43.9737,3.06793,0.62089,5,0.02388,0.02857,0.31955,11.4761,16.13441
"40","2020_Q1",58.4308064516129,"Down",2.205e+09,-1.708e+09,4.97e+08,-3.58e+08,-1.76e+08,-6e+07,1.39e+08,-5.6e+07,-5.3e+07,-3e+06,82999999.9999999,-7.4e+07,9e+06,1.8e+07,2.7e+07,2.7e+07,2.6e+07,2.6e+07,2.04e+08,2.04e+08,9.8e+08,9.8e+08,1.662e+09,4.75e+08,4.75e+08,3.321e+09,5.571e+09,1.3081e+10,-7.51e+09,7.116e+09,4.431e+09,6.74e+08,1.2687e+10,1.6008e+10,1.618e+09,1.618e+09,1.71e+08,1.789e+09,5.611e+09,2.576e+09,9.15e+08,1.661e+09,8.187e+09,9.976e+09,2.107e+09,-3.9e+09,7.965e+09,-2.14e+08,5.958e+09,6.032e+09,1.6008e+10,2.7e+07,1.49e+08,1.28e+08,3.67e+08,6.71e+08,-1.17e+08,-3e+06,-1.2e+08,-8.5e+07,-4.69e+08,3e+06,-5.56e+08,-4999999.99999997,-4999999.99999997,2e+06,-3000000.00000003,2.88e+08,5.782e+09,5.2e+08,0.2254,0.06304,0.01179,0.00431000000000001,0.00162,20,1.85634,1.65385,0.36119,0.19132,0.18937,16.22517,43.84106,3.82634,0.62546,7,0.00771,0.03614,3.26923,19.36806,40.1295
"41","2020_Q2",58.1487301587302,"Down",2.241e+09,-1.664e+09,5.77e+08,-1.91e+08,-1.6e+08,-6.1e+07,3.86e+08,-5.6e+07,-5.2e+07,-4e+06,3.3e+08,-1.4e+07,3.16e+08,-5.6e+07,2.6e+08,2.6e+08,2.58e+08,2.58e+08,6.8e+08,6.8e+08,1.045e+09,1.045e+09,1.659e+09,4.67e+08,4.67e+08,3.851e+09,5.498e+09,1.3082e+10,-7.584e+09,7.116e+09,4.417e+09,7.37e+08,1.2614e+10,1.6465e+10,1.42e+09,1.42e+09,8.95e+08,2.315e+09,5.399e+09,2.559e+09,9.24e+08,1.635e+09,7.958e+09,1.0273e+10,2.111e+09,-3.93e+09,8.133e+09,-1.97e+08,6.117e+09,6.192e+09,1.6465e+10,2.6e+08,1.39e+08,-3.4e+07,-1.94e+08,1.71e+08,-9.9e+07,-2e+06,-1.01e+08,-9e+07,5.39e+08,-3e+07,4.08e+08,4.78e+08,4.78e+08,-2e+06,4.76e+08,5.25e+08,6.294e+09,2.88e+08,0.25747,0.17224,0.11513,0.04167,0.01567,1.11628,1.6635,1.65908,0.38227,1.89706,1.89011,16.47794,44.97794,2.11765,0.66176,7,0.02313,0.01914,0.34884,10.69333,14.54404
"42","2020_Q3",70.1909375,"Up",1.924e+09,-1.553e+09,3.71e+08,-1.77e+08,-1.55e+08,-5.2e+07,1.94e+08,-5.4e+07,-5.5e+07,1e+06,1.4e+08,-1.41e+08,-1e+06,3.1e+07,3e+07,30000000.0000001,2.7e+07,2.7e+07,7.04e+08,7.04e+08,9.04e+08,9.04e+08,1.419e+09,4.99e+08,4.99e+08,3.526e+09,5.478e+09,1.3175e+10,-7.697e+09,6.969e+09,4.425e+09,7.27e+08,1.2447e+10,1.5973e+10,1.176e+09,1.176e+09,7.02e+08,1.878e+09,5.431e+09,2.566e+09,9.32e+08,1.634e+09,7.997e+09,9.875e+09,2.119e+09,-3.96e+09,8.071e+09,-2.09e+08,6.021e+09,6.098e+09,1.5973e+10,30000000.0000001,1.41e+08,4.6e+07,2.19e+08,4.36e+08,-9.7e+07,-3e+06,-1e+08,-8.9e+07,-1.93e+08,-4.3e+07,-3.14e+08,2.2e+07,2.2e+07,2e+06,24000000.0000001,3.35e+08,6.133e+09,4.26e+08,0.19283,0.10083,0.01403,0.00443000000000002,0.00169,15.77778,1.87753,1.61938,0.38396,0.1997,0.19809,14.23077,44.53402,3.15089,0.65828,6,0.00784,0.02879,3.2963,16.20597,27.98454
"43","2020_Q4",87.03984375,"Up",2.122e+09,-1.621e+09,5.01e+08,-1.91e+08,-1.65e+08,-5.6e+07,3.1e+08,-5.9e+07,-5.2e+07,-7e+06,2.51e+08,-6.1e+07,1.9e+08,-2.5e+07,1.65e+08,1.65e+08,1.61e+08,1.61e+08,6.5e+08,6.5e+08,1.077e+09,1.077e+09,1.338e+09,4.69e+08,4.69e+08,3.534e+09,5.489e+09,1.3332e+10,-7.843e+09,6.986e+09,4.443e+09,7.41e+08,1.2475e+10,1.6009e+10,1.419e+09,1.419e+09,3.7e+08,1.789e+09,5.495e+09,2.569e+09,9.28e+08,1.641e+09,8.064e+09,9.853e+09,2.136e+09,-3.96e+09,8.142e+09,-2.43e+08,6.075e+09,6.156e+09,1.6009e+10,1.65e+08,1.49e+08,1.2e+07,1.16e+08,4.42e+08,-8.2e+07,1e+06,-8.1e+07,-9e+07,-3.33e+08,7e+06,-4.16e+08,-5.5e+07,-5.5e+07,1e+06,-5.4e+07,4.59e+08,5.865e+09,5.18e+08,0.2361,0.14609,0.07587,0.02615,0.01006,3.21739,1.97541,1.60055,0.36636,1.18995,1.18035,15.68367,44.90022,3.82853,0.66519,6,0.0172,0.0355,0.55901,11.36166,16.82258
"44","2021_Q1",102.614426229508,"Up",2.186e+09,-1.66e+09,5.26e+08,-4.4e+08,-1.74e+08,-5.7e+07,86000000.0000001,-4.9e+07,-5.1e+07,2e+06,3.7e+07,-1.2e+07,25000000.0000001,9000000.00000001,3.4e+07,3.4e+07,3.2e+07,3.2e+07,5.64e+08,5.64e+08,1.033e+09,1.033e+09,1.379e+09,5.65e+08,5.65e+08,3.541e+09,5.549e+09,1.3531e+10,-7.982e+09,6.993e+09,4.465e+09,7.36e+08,1.2542e+10,1.6083e+10,1.689e+09,1.689e+09,3.49e+08,2.038e+09,5.269e+09,2.668e+09,8.48e+08,1.82e+09,7.937e+09,9.975e+09,2.176e+09,-3.96e+09,8.08e+09,-2.73e+08,6.023e+09,6.108e+09,1.6083e+10,3.4e+07,1.45e+08,1.16e+08,1.11e+08,4.06e+08,-1.05e+08,-6e+06,-1.12e+08,-8.9e+07,-3.2e+08,6e+06,-3.82e+08,-8.8e+07,-8.8e+07,2e+06,-8.6e+07,2.31e+08,5.618e+09,2.28e+08,0.24062,0.03934,0.01464,0.00523999999999999,0.00199,7.125,1.73749,1.6331,0.34931,0.23616,0.23392,16.13284,44.45018,1.68266,0.65683,7,0.00841,0.01584,2.78125,21.87879,58.76744
"45","2021_Q2",114.104761904762,"Up",2.409e+09,-1.811e+09,5.98e+08,-2.06e+08,-1.84e+08,-5.8e+07,3.92e+08,-4.6e+07,-5e+07,4e+06,3.46e+08,-7e+06,3.39e+08,-6.2e+07,2.77e+08,2.77e+08,2.74e+08,2.74e+08,5.4e+08,5.4e+08,1.229e+09,1.229e+09,1.505e+09,5.23e+08,5.23e+08,3.797e+09,5.466e+09,1.3527e+10,-8.061e+09,6.932e+09,4.446e+09,7.45e+08,1.2398e+10,1.6195e+10,1.692e+09,1.692e+09,3.24e+08,2.016e+09,5.2e+09,2.66e+09,8.55e+08,1.805e+09,7.86e+09,9.876e+09,2.221e+09,-4e+09,8.26e+09,-2.48e+08,6.233e+09,6.319e+09,1.6195e+10,2.77e+08,1.49e+08,2.6e+07,-2.36e+08,2.16e+08,-9.1e+07,-8e+06,-9.9e+07,-9.4e+07,-2.5e+07,-1.8e+07,-1.37e+08,-2e+07,-2e+07,-4e+06,-2.4e+07,5.41e+08,5.524e+09,2.76e+08,0.24824,0.16272,0.11374,0.04336,0.01692,1.0073,1.88343,1.56291,0.34109,2.01323,1.99128,17.70022,45.79721,2.02792,0.69067,6,0.02537,0.01903,0.34307,9.21257,12.71429
"46","2021_Q3",105.468125,"Down",2.653e+09,-1.972e+09,6.81e+08,-2.28e+08,-2.02e+08,-6.3e+07,4.53e+08,-5e+07,-5.1e+07,1e+06,4.03e+08,-5.1e+08,-1.07e+08,-3.7e+07,-1.44e+08,-1.44e+08,-1.46e+08,-1.46e+08,6.09e+08,6.09e+08,1.293e+09,1.293e+09,1.501e+09,1.335e+09,5.42e+08,4.738e+09,5.181e+09,1.3079e+10,-7.898e+09,6.179e+09,4.053e+09,7.36e+08,1.136e+10,1.6098e+10,1.873e+09,1.873e+09,3.25e+08,2.295e+09,5.223e+09,2.552e+09,8.31e+08,1.721e+09,7.775e+09,1.007e+10,2.257e+09,-4.1e+09,8.02e+09,-2.33e+08,5.944e+09,6.028e+09,1.6098e+10,-1.44e+08,1.4e+08,3.49e+08,81000000.0000001,4.26e+08,-1.07e+08,-8e+06,-1.78e+08,-9.4e+07,0,-8.4e+07,-1.78e+08,7e+07,7e+07,-1e+06,6.9e+07,5.93e+08,5.548e+09,6.04e+08,0.25669,0.17075,-0.05503,-0.02422,-0.00907,-4.13699,2.06449,1.67054,0.34464,-1.07432,-1.05797,19.52171,43.73804,4.44444,0.69169,6,-0.00368,0.04275,-0.64384,8.32884,10.90287
"47","2021_Q4",106.993125,"Up",2.72e+09,-2.058e+09,6.62e+08,-2.31e+08,-2.01e+08,-6.6e+07,4.31e+08,-4.3e+07,-4.9e+07,6e+06,3.88e+08,-6.7e+07,3.21e+08,3.3e+07,3.54e+08,3.54e+08,3.51e+08,3.51e+08,7.17e+08,7.17e+08,1.356e+09,1.356e+09,1.63e+09,1.172e+09,4.19e+08,4.875e+09,5.172e+09,1.3138e+10,-7.966e+09,6.212e+09,4.044e+09,7.61e+08,1.1384e+10,1.6259e+10,1.97e+09,1.97e+09,1.046e+09,3.113e+09,4.442e+09,2.497e+09,8.27e+08,1.67e+09,6.939e+09,1.0052e+10,2.277e+09,-4.25e+09,8.278e+09,-1.85e+08,6.12e+09,6.207e+09,1.6259e+10,3.54e+08,1.27e+08,-2.3e+07,8.9e+07,5.47e+08,-1.17e+08,-5e+06,-1.7e+08,-9.4e+07,-2.5e+07,-1.5e+08,-2.69e+08,1.08e+08,1.08e+08,0,1.08e+08,5.58e+08,5.488e+09,4.97e+08,0.24338,0.15846,0.12904,0.05655,0.02159,1.41595,1.56601,1.61946,0.33754,2.59424,2.56204,20.10347,45.23282,3.67332,0.69475,7,0.03136,0.03502,0.26781,8.55018,11.06961
"48","2022_Q1",113.510967741935,"Up",2.694e+09,-2.135e+09,5.59e+08,2.8e+07,-2.08e+08,-6.7e+07,5.87e+08,-4.2e+07,-4.8e+07,6e+06,5.45e+08,-15999999.9999999,5.29e+08,-1.49e+08,3.8e+08,3.8e+08,3.78e+08,3.78e+08,4.59e+08,4.59e+08,1.091e+09,1.091e+09,1.504e+09,1.592e+09,5.85e+08,4.646e+09,4.996e+09,1.268e+10,-7.684e+09,5.877e+09,3.641e+09,8.74e+08,1.0873e+10,1.5519e+10,2.133e+09,2.133e+09,7.47e+08,2.971e+09,4.412e+09,2.348e+09,8.1e+08,1.538e+09,6.76e+09,9.731e+09,2.189e+09,-4.86e+09,8.557e+09,-1.82e+08,5.704e+09,5.788e+09,1.5519e+10,3.8e+08,1.22e+08,-2.73e+08,2.01e+08,4.3e+08,-2.4e+08,-6e+06,4.18e+08,-9.3e+07,-3e+08,-7.48e+08,-1.106e+09,-2.58e+08,-2.58e+08,0,-2.58e+08,7.09e+08,5.159e+09,8.19e+08,0.2075,0.21789,0.14031,0.06531,0.02436,2.16667,1.56378,1.68124,0.33243,3.08068,3.00477,21.95599,46.48737,6.67482,0.75795,7,0.03543,0.0616,0.24603,6.62906,8.00681
"49","2022_Q2",100.97935483871,"Down",2.714e+09,-2.164e+09,5.5e+08,-2.3e+08,-1.96e+08,-6.5e+07,3.2e+08,-3.4e+07,-4.6e+07,1.2e+07,2.86e+08,1e+06,2.87e+08,-5.1e+07,2.36e+08,2.36e+08,2.35e+08,2.35e+08,4.87e+08,4.87e+08,1.187e+09,1.187e+09,1.671e+09,1.584e+09,5.54e+08,4.929e+09,4.997e+09,1.2753e+10,-7.756e+09,5.88e+09,3.665e+09,9.12e+08,1.0877e+10,1.5806e+10,2.053e+09,2.053e+09,9.84e+08,3.136e+09,4.379e+09,2.314e+09,7.95e+08,1.519e+09,6.693e+09,9.829e+09,2.264e+09,-4.92e+09,8.694e+09,-1.45e+08,5.893e+09,5.977e+09,1.5806e+10,2.36e+08,1.21e+08,-1.3e+07,-3.27e+08,1.7e+07,-1.12e+08,-5e+06,-1.17e+08,-9.8e+07,2.36e+08,-9e+06,1.29e+08,2.9e+07,2.9e+07,-1e+06,2.8e+07,4.41e+08,5.363e+09,5.3e+07,0.20265,0.11791,0.08659,0.03932,0.01487,0.22553,1.57175,1.64447,0.3393,1.77358,1.74591,20.48302,44.47547,0.4,0.73962,5,0.02439,0.00388,0.41702,11.05669,15.2375
"50","2022_Q3",88.3753125,"Down",2.784e+09,-2.114e+09,6.7e+08,-2.18e+08,-1.85e+08,-6.7e+07,4.52e+08,-5.9e+07,-4.5e+07,-1.4e+07,3.93e+08,-1.2e+07,3.81e+08,-1.24e+08,2.57e+08,2.57e+08,2.56e+08,2.56e+08,4.56e+08,4.56e+08,1.21e+09,1.21e+09,1.826e+09,5.11e+08,5.11e+08,4.003e+09,4.959e+09,1.2743e+10,-7.784e+09,5.913e+09,3.663e+09,1.002e+09,1.0872e+10,1.4875e+10,2.169e+09,2.169e+09,9.79e+08,3.148e+09,4.012e+09,2.308e+09,7.38e+08,1.57e+09,6.32e+09,9.468e+09,2.181e+09,-5.572e+09,8.857e+09,-1.43e+08,5.323e+09,5.407e+09,1.4875e+10,2.57e+08,1.22e+08,-1.47e+08,1.3e+07,2.45e+08,-1.35e+08,1.1e+07,8.73e+08,-9.8e+07,-2.86e+08,-7.55e+08,-1.139e+09,-2.1e+07,-2.1e+07,-1e+07,-3.1e+07,5.74e+08,4.991e+09,5.76e+08,0.24066,0.16236,0.09195,0.04735,0.01721,2.25,1.2716,1.75106,0.33553,1.9845,1.95868,21.5814,41.26357,4.46512,0.75969,6,0.02786,0.04533,0.38281,7.9007,10.03319
