"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","discontinued_operations_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_discontinued_operations_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2018_Q1",16.157868852459,"Down",430799000,-316280000,114519000,-97717000,-97717000,16802000,-13251000,-12793000,-458000,3551000,3551000,786000,4337000,-11951000,-11951000,-11951000,47681000,47681000,208229000,208229000,299437000,542782000,40067000,371053000,1098129000,232135000,543277000,205127000,319139000,2960000,16051000,775412000,1873541000,267209000,83258000,11078000,92792000,92792000,371079000,968080000,135574000,3037000,132537000,1103654000,1474733000,398808000,1873541000,4337000,11522000,2675000,5215000,23749000,-12365000,-30492000,-42857000,-2559000,-379000,-45000,-45000,-1143000,-4126000,-23234000,1231000,-22003000,236000,-21767000,28324000,979158000,20388000,0.26583,0.039,-0.02774,-0.02997,-0.00638,-1.70597,2.95929,3.69785,0.52262,-0.28643,-0.27634,10.32497,0.48864,0.06133,-0.00621,0.01347,-0.21412,32.88649,55.43846
"30","2018_Q2",17.85140625,"Up",437303000,-316459000,120844000,-105807000,-105807000,15037000,-17110000,-16642000,-468000,-2073000,-2073000,24904000,22831000,30989000,30989000,30989000,84420000,84420000,212023000,212023000,359844000,562640000,64837000,377603000,1218927000,280725000,680863000,277160000,385076000,2952000,15675000,961588000,2180515000,315296000,117482000,12593000,89661000,89661000,417550000,1238393000,89759000,5225000,84534000,1328152000,1745702000,434813000,2180515000,22831000,12958000,-19399000,-22044000,-5654000,-10346000,-198683000,-209029000,-2990000,273156000,-4332000,-4332000,-7308000,258526000,43843000,-6419000,37424000,-685000,36739000,27995000,1250986000,-29299000,0.27634,0.03439,0.07086,0.07127,0.01421,-0.94546,2.91924,4.01483,0.57371,0.73919,0.71509,10.4311,-0.69888,0.07132,0.01914,-0.0165,0.09649,41.67051,77.5797
"31","2018_Q3",15.5471428571429,"Down",478560000,-357246000,121314000,-105310000,-105310000,16004000,-12816000,-16044000,3228000,3188000,3188000,-1237000,1951000,90280000,90280000,90280000,84660154.2544709,84660154.2544709,268411946.317869,268411946.317869,398992343.606085,334706221.218689,70755684.6412199,157670446.243178,1086770665.39711,326179362.785955,799400111.226308,301614670.02147,478921673.84976,2647097.9684821,16216669.3865967,1125579474.01226,2212350139.40938,359666941.993995,146994838.512068,12062756.4867611,53179882.1900377,53170225.0438244,424909580.670794,1254290500.7384,76500776.6698492,6223936.20300358,70276840.4668456,1330791277.40825,1755700858.07905,456649281.330329,2212350139.40938,1951000,13313000,3736000,-60446000,-41446000,-2574000,672660000,423856000,-2882000,-155199000,-28529000,-28529000,-17000,-186627000,195783000,-41964000,153819000,-1783000,152036000,29317000,0,-32466000,0.2535,0.03344,0.18865,0.0764161574297836,0.0156824592824271,-0.35961,2.54919252135426,3.85457463186822,0.57399793309909,2.17663,2.10994,11.53796,-0.78275,0.06948,0.0376824810492078,-0.00725517320387594,0.03192,76.277801739211,91.149981442145
"32","2018_Q4",11.0942857142857,"Down",516550000,-377599000,138951000,-112659000,-112659000,26292000,-17290000,-15796000,-1494000,9002000,9002000,-1560000,7442000,5827000,5827000,5827000,63766000,63766000,311129000,311129000,395813000,167419000,56955000,326000,938127000,325078000,838446000,316956000,502055000,2930000,16505000,1163524000,2101651000,378996000,150602000,10739000,25795000,25795000,415530000,1124981000,95053000,4926000,90127000,1220034000,1635564000,466087000,2101651000,7442000,14047000,2589000,25813000,49891000,-19746000,-429545000,-203061000,-40944000,39656999.9999999,-12727000,-12727000,-207000,-14221000,-167391000,-13890000,-181281000,8591000,-172690000,40339000,1135720000,47966000,0.269,0.0509,0.01128,0.0125,0.00277,8.23168,2.25766,3.50914,0.54039,0.14461,0.1396,12.81921,1.19037,1.01611,0.02756,0.02827,7.0266,26.57364,40.77111
"33","2019_Q1",14.1131147540984,"Up",545505000,-415296000,130209000,-94741000,-94741000,35468000,-11775000,-15389000,3614000,23693000,23693000,-22662000,1031000,-1418000,-1418000,-1418000,69758000,69758000,280509000,280509000,398359000,164248000,42121000,324000,912874000,342492000,829524000,370858000,439395000,2916000,16355000,1172016000,2084890000,372850000,139192000,13011000,7210000,7210000,393071000,1108071000,109357000,2647000,106710000,1217428000,1610499000,474391000,2084890000,1031000,15485000,20656000,18229000,55401000,-8555000,-637000,-9192000,-2981000,-15405000,-17000,-17000,-210000,-18613000,27596000,-16654000,10942000,-4950000,5992000,50953000,1121082000,83289000,0.23869,0.06502,-0.0026,-0.00299,-0.00068,-58.73695,2.32242,3.39488,0.53772,-0.03516,-0.03391,13.52771,2.06544,0.07392,0.00092,0.04885,-2.10226,20.63321,29.64148
"34","2019_Q2",15.0890476190476,"Up",510522000,-367476000,143046000,-113754000,-113754000,29292000,-15327000,-16331000,1004000,13965000,13965000,-5212000,8753000,8753000,8753000,8753000,81752000,81752000,253351000,253351000,452362000,129172000,39615000,324999.999999996,916637000,336490000,821662000,365381000,438428000,2909000,14944000,1158152000,2074789000,347570000,138368000,12872000,6882000,6882000,367324000,1142079000,93825000,2510000,91315000,1235904000,1603228000,471561000,2074789000,8753000,15085000,2849000,-25646000,1041000,-8346000,196405055.057136,-17565000,-3143000,34681000,-1348000,-1348000,-1616000,28574000,12050000,-458000.000000004,11592000,401999.999999998,11994000,44377000,1154951000,15597000,0.2802,0.05738,0.01715,0.01856,0.00422,1.78189999999999,2.49545,3.39983,0.55666,0.2148,0.20896,12.52815,0.38275,0.07713,0.00691,0.00907,0.35908,24.18368,36.63796
"35","2019_Q3",15.8296875,"Up",549633000,-412129000,137504000,-111783000,-111783000,25721000,-16037000,-17305000,1268000,9684000,9684000,-3194000,6490000,-1156000,-1156000,-1156000,57979000,57979000,344049000,344049000,457071000,130006000,45778000,324000,989105000,332852000,821951000,364740000,439118000,2901000,15192000,1154803000,2143908000,343720000,120532000,10807000,11657000,11657000,366184000,1206195000,97245000,2307000,94938000,1303440000,1669624000,474284000,2143908000,6490000,15492000,5798000,-83827000,-56047000,-19614000,2.38418579101562e-07,-19763000,-3704000,60251000,-130000,-130000,-932000,55485000,-20325000,-2980000,-23305000,-468000,-23773000,41213000,1217002000,-59034000,0.25017,0.0468,-0.0021,-0.00244,-0.00054,51.06747,2.70111,3.5203,0.56766,-0.02823,-0.02697,13.42271,-1.44168,0.09046,0.00142,-0.03301,-3.20415,28.12275,45.06135
"36","2019_Q4",18.6940625,"Up",574970000,-420487000,154483000,-117989000,-117989000,36494000,-16108000,-17087000,979000,20386000,20386000,-6258000,14128000,13595000,13595000,13595000,58112000,58112000,322310000,322310000,436885000,144046000,52898000,323000,961353000,331345000,818761000,361249000,438417000,2895000,16200000,1150106000,2111459000,353693000,148123000,10884000,2653000,2653000,367230000,1159621000,96443000,2295000,94148000,1256064000,1623294000,488165000,2111459000,14128000,15595000,5015000,35250000,69988000,-10334000,-9500000,-19834000,-3415000,-46392000,2.3283064365387e-10,0,-347000,-50154000,0,-436000,-436000,569000,133000,52089000,1170505000,83263000,0.26868,0.06347,0.02364,0.02785,0.00644,6.12453,2.61785,3.3253,0.55436,0.33186,0.31474,14.0353,2.03249,0.08336,0.00969,0.04744,0.251200000000001,21.35562,30.48153
"37","2020_Q1",16.0998387096774,"Down",239123000,-157311000,81812000,-64813000,-64813000,16999000,-14811000,-16790000,1979000,2188000,2188000,-6089000,-3901000,16095000,16095000,16095000,72377000,72377000,264450000,264450000,442121000,146231000,40799000,321000,925179000,337326000,812434000,356639000,437067000,2888000,15840000,1149760000,2074939000,375241000,124665000,10525000,4333000,4333000,390099000,1093749000,113328000,3331000,109997000,1207077000,1597176000,477763000,2074939000,-3901000,5345000,2536000,71384000,75364000,3705000,-9219000,-6899000,-3414000,-65406000,0,0,-61000,-68881000,-416000,14871000,14455000,-190000,14265000,22344000,1104274000,103522000,0.34213,0.07109,0.06731,0.03369,0.00776,6.43194,2.37165,3.34303,0.5322,0.39187,0.36911,5.82204,2.5205,0.08312,0.01151,0.06106,0.21212,46.18229,60.70339
"38","2020_Q2",14.6052380952381,"Down",548438000,-398517000,149921000,-117798000,-117798000,32123000,-15172000,-15950000,778000,16951000,16951000,-6339000,10612000,10612000,10612000,10612000,64792000,64792000,272572000,272572000,467069000,141521000,44374000,321000,945954000,332148000,979700000,357743000,446590000,2883000,172484000,1311848000,2257802000,346981000,126943000,9451000,32079000,3787000,388511000,1137134000,237464000,3216000,234248000,1374598000,1763109000,494693000,2257802000,10612000,15825000,9462000,-54068000,-18169000,-12988000,-10531000,-23519000,-3392000,39912000,-1758000,-1758000,-60999.9999999991,34701000,-6987000,-605999.999999998,-7593000,8000,-7585000,47948000,1146585000,-12769000,0.27336,0.05857,0.01935,0.02145,0.0047,-1.20326,2.43482,3.56405,0.50783,0.25774,0.24176,13.32033,-0.31013,0.08238,0.00745,-0.0068,0.31964,22.5618,33.67659
"39","2020_Q3",18.49625,"Up",566350000,-414318000,152032000,-126467000,-126467000,25565000,-15946000,-16561000,615000,9619000,2929000,-2034000,895000,895000,895000,895000,69024000,69024000,335033000,335033000,462119000,137539000,42723000,321000,1003715000,335820000,979212000,353743000,436782000,2873000,185814000,1315032000,2318747000,347153000,118479000,9470000,30497000,2450000,387120000,1216226000,238947000,3154000,235793000,1455173000,1842293000,476454000,2318747000,895000,15719000,13219000,-72507000,-42674000,-9241000,0,-9241000,-3957000,82360000,-5721000,-5721000,-13032000,59650000,7735000,-1388000,6347000,-2115000,4232000,41284000,1225696000,-38430000,0.26844,0.04514,0.00158,0.00188,0.00039,-42.93855,2.59277,3.86668,0.5286,0.02153,0.02045,13.62565,-0.92458,0.0952,0.0025,-0.0198,4.42123,28.01744,45.24436
"40","2020_Q4",19.42625,"Up",632061000,-467058000,165003000,-113509000,-113509000,51494000,-15779000,-16585000,806000,35715000,34480000,-12649000,21831000,21831000,21831000,21831000,71999000,71999000,359464000,359464000,411028000,145459000,51365000,1951000,987950000,335318000,986952000,354384000,439667000,6086000,186815000,1322270000,2310220000,394188000,176164000,9235000,32748000,3730000,436171000,1123365000,242229000,6281000,235948000,1365594000,1801765000,508455000,2310220000,21831000,15523000,6315000,73118000,116787000,-12183000,0,-12313000,-3290000,-96885000,-7.45058059692383e-09,9.31322574615479e-10,-3481000,-103656000,818000,-487000.000000001,330999.999999993,2644000,2975000.00000001,67017000,1132600000,140601000,0.26106,0.08147,0.03454,0.04294,0.00945,6.44043,2.26505,3.54361,0.49026,0.52339,0.4984,15.15334,3.37084,0.07888,0.01334,0.07466,0.1507,15.82585,20.59659
"41","2021_Q1",22.3901639344262,"Up",319697000,-202659000,117038000,-86680000,-86680000,30358000,-17237000,-16699000,-538000,13121000,13121000,-5015000,8106000,20091000,20091000,20091000,218089000,218089000,278420000,278420000,320188000,289331000,41514000,247817000,1106028000,297084000,1045481000,354202000,424098000,86358000,180823000,1342565000,2448593000,316508000,143971000,9922000,115392000,85720000,441822000,1037042000,269578000,10438000,259140000,1306620000,1748442000,700151000,2448593000,8106000,5033000,8029000,29776000,50944000,-6404000,0,-6404000,-3890000,-94222000,178165000,0,-2558000,77495000,122035000,22215000,144250000,1840000,146090000,35391000,1046964000,63778000,0.36609,0.09496,0.06284,0.0287,0.00821,3.17446,2.50333,2.49724,0.42758,0.43768,0.41334,6.96462,1.38941,0.08474,0.01189,0.03163,0.19362,23.4205,27.30335
"42","2021_Q2",24.2736507936508,"Up",541523000,-377387000,164136000,-111709000,-111709000,52427000,-15289000,-15646000,357000,37138000,37138000,-11708000,25430000,29500000,29500000,29500000,233807000,233807000,318535000,318535000,445022000,146967000,59116000,1591000,1144331000,342706000,997406000,357832000,446456000,5397000,187721000,1340112000,2484443000,399494000,161594000,11158000,36146000,4842000,446798000,1037413000,260185000,5504000,254681000,1297598000,1744396000,740047000,2484443000,25430000,12590000,5669000,-31374000,12315000,-8969000,-2242000,-11185000,-4422000,-1329000,-2909000,-2909000,-637000,-9297000,-8167000.00000003,22662000,14495000,1223000,15718000,65017000,1048571000,36382000,0.3031,0.09681,0.05448,0.03986,0.01187,1.23329,2.56118,2.35714,0.42205,0.58305,0.55459,10.70288,0.71907,0.0874,0.01656,0.01776,0.1499,12.53155,15.54092
"43","2021_Q3",21.75171875,"Down",574682000,-413476000,161206000,-117559000,-117559000,43647000,-14446000,-15527000,1081000,29201000,29201000,-11082000,18119000,17112000,17112000,17112000,175564000,175564000,399193000,399193000,484753000,132230000,55705000,1525000,1191740000,341005000,991535000,357506000,446365000,5295000,182369000,1332540000,2524280000,408377000,151091000,14913000,35285000,4600000,458575000,1043859000,257415000,6415000,2.51e+08,1301274000,1759849000,764431000,2524280000,18119000,13149000,10431000,-98425000,-56726000,-8784000,0,-10921000,-4256000,7785000,0,0,-148000,3381000,-64266000,5719000,-58547000,304000,-58243000,56796000,1058772000,-39331000,0.28051,0.07595,0.02978,0.02239,0.00678,-2.29845,2.59879,2.30217,0.41944,0.3366,0.32147,11.30418,-0.77365,0.08372,0.01027,-0.0189,0.24871,15.55053,20.23525
"44","2021_Q4",24.4353125,"Up",584218000,-424316000,159902000,-117870000,-117870000,42032000,-15825000,-15800000,-25000,26207000,26207000,-12078000,14129000,16707000,16707000,16707000,220697000,220697000,363046000,363046000,510309000,132806000,57770000,695000,1226858000,338762000,983043000,355488000,445749000,3607000,178199000,1321805000,2548663000,418916000,160002000,13024000,34537000,3641000,466477000,1042612000,254233000,4712000,249521000,1296845000,1763322000,785341000,2548663000,14129000,13379000,12417000,17800000,57725000,-7080000,0,-9599000,-4229000,-4124000,0,0,-58000,-8410999.99999999,39715000,6809000,46524000,-1391000,45133000,55411000,1055636000,78209000,0.2737,0.07195,0.0286,0.02127,0.00656,4.68121,2.63005,2.24529,0.41419,0.32942,0.31398,11.51918,1.54207,0.08338,0.00999,0.03733,0.25313,15.06811,19.86437
"45","2022_Q1",21.2006451612903,"Down",570203000,-414334000,155869000,-123392000,-123392000,32477000,-15068000,-15762000,694000,17409000,17409000,-4785000,12624000,15892000,15892000,15892000,248653000,248653000,294804000,294804000,472794000,352428000,76009000,276419000,1368679000,290222000,945784000,350025000,426148000,3424000,166187000,1236006000,2604685000,404966000,144928000,12486000,114184000,84303000,531636000,1033197000,232694000,3794000,228900000,1265891000,1797527000,807158000,2604685000,12624000,13184000,15361000,15325000,56494000,-11881000,0,-24462000,-4232000,-9253000,-448000,-448000,15000,-13918000,18114000,13522000,31636000,-3680000,27956000,45661000,1045683000,53890000,0.27336,0.05696,0.02787,0.01969,0.0061,3.39101,2.57447,2.22698,0.40146,0.3122,0.29702,11.20176,1.05868,0.08314,0.00965,0.02584,0.2663,17.45538,24.54137
"46","2022_Q2",23.2614516129032,"Up",591749000,-425907000,165842000,-127352000,-127352000,38490000,-14573000,-15648000,1075000,23917000,23917000,-7213000,16704000,13384000,13384000,13384000,151220000,151220000,334040000,334040000,531182000,337959000,75862000,262097000,1354401000,290552000,937790000,346802000,426683000,3375000,160930000,1228342000,2582743000,390880000,147269000,15675000,106283000,77351000,512838000,1037755000,219765000,3740000,216025000,1257520000,1770358000,812385000,2582743000,16704000,13081000,8891000,-123681000,-85005000,-10544000,-209075387.337572,-9969000,-5260000,8314999.99999999,-10886000,-10886000,-781000,-8612000,-103586000,7063000,-96523000,-910000,-97433000,51571000,1053430000,-75441000,0.28026,0.06504,0.02262,0.01647,0.00518,-5.63666,2.64099,2.17921,0.40787,0.26293,0.25015,11.62503,-1.48205,0.10333,0.00894,-0.03617,0.39301,17.49452,23.44011
"47","2022_Q3",30.16234375,"Up",779617000,-518974000,260643000,-157838000,-157838000,102805000,-19395000,-21376000,1981000,83410000,83410000,-24638000,58772000,71603000,71603000,71603000,122293000,122293000,512449000,512449000,687011000,328333000,62975000,265358000,1650086000,304169000,1832768000,949730000,707523000,3194000,172321000,2136937000,3787023000,449419000,222334000,25110000,108740000,76530000,583269000,1941725000,378815000,4406000,374409000,2320540000,2903809000,883214000,3787023000,58772000,16252000,9484000,-172136000,-87628000,-11454000,-851464000,-848570000,-4831000,929070000,0,0,-15703000,908536000,-27662000,1338000,-26324000,-2603000,-28927000,119057000,1966835000,-39895000,0.33432,0.13187,0.09184,0.08107,0.01891,-0.55717,2.82903,3.28778,0.51936,1.3991,1.33207,15.23344,-0.77953,0.0944,0.02367,-0.01236,0.06747,15.49293,17.94214
