"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"35","2018_Q4",34.0568253968254,"Up",589400000,-5.4e+08,-54500000,-485500000,49400000,5500000,-4400000,54900000,54900000,-13300000,41600000,41600000,41600000,41600000,12100000,12100000,240700000,240700000,48300000,48300000,301100000,1347200000,772900000,153300000,2120100000,2421200000,283600000,203400000,42100000,325700000,8.66e+08,485800000,311500000,174300000,1351800000,1677500000,325700000,449500000,-31500000,743700000,743700000,2421200000,83900000,1100000,-55800000,-54700000,-9e+06,-24400000,0,3500000,-29900000,-7e+05,-7e+05,-7e+05,908100000,0.08381,0.07058,0.05594,0.01718,0.92447,2.25561,0.37506,0.9697,0.96296,13.73893,17.33566,0.20979,0.02367,0.21635,18.13765
"36","2019_Q1",31.9904918032787,"Down",564900000,-542400000,-58100000,-484300000,22500000,-32400000,-4300000,-9900000.00000001,26900000,-6300000,20600000,20600000,20600000,20600000,19600000,19600000,223700000,223700000,75100000,75100000,318400000,1366600000,745400000,116600000,2.112e+09,2430400000,328700000,246800000,42100000,370800000,814300000,4.9e+08,312700000,177300000,1304300000,1675100000,329800000,4.6e+08,-34500000,755300000,755300000,2430400000,1.02e+08,-251500000,226300000,-25200000,-9100000,-51700000,2e+05,-3800000,-64400000,12400000,12400000,12400000,856400000,0.03983,0.03647,0.02727,0.00848,0.85868,2.21779,0.35237,0.48244,0.47907,13.22951,17.68852,0.21311,0.01413,0.44175,37.19111
"37","2019_Q2",35.2125396825397,"Up",532400000,-523400000,-56300000,-467100000,9e+06,4500000,-4600000,13500000,13500000,-1e+06,12500000,12500000,12500000,12500000,15400000,15400000,217900000,217900000,73300000,73300000,306600000,1386200000,9.84e+08,353700000,2370200000,2676800000,311600000,232400000,45200000,411100000,822900000,679800000,317900000,361900000,1502700000,1913800000,329900000,467800000,-34700000,7.63e+08,7.63e+08,2676800000,33400000,-12300000,-20900000,-33200000,-9100000,11800000,362716.25414455,-3100000,-4e+05,-2e+05,-2e+05,-2e+05,868100000,0.0169,0.02348,0.01638,0.00467,0.7458,2.50826,0.32431,0.29206,0.29002,12.43925,17.8271,0.21262,0.00935,0.728,94.74444
"38","2019_Q3",35.57203125,"Up",557900000,-527800000,-5.5e+07,-472800000,30100000,-4400000.00000001,-6100000,25700000,25700000,-7300000,18400000,18400000,18400000,18400000,2.4e+07,2.4e+07,2.13e+08,2.13e+08,52600000,52600000,289600000,1398700000,969200000,346300000,2367900000,2657500000,314400000,221100000,53600000,425400000,7.91e+08,675900000,323900000,3.52e+08,1466900000,1892300000,332800000,467600000,-35200000,765200000,765200000,2657500000,74800000,-23900000,-9700000,-33600000,-9100000,-23600000,253392.653485142,-1e+05,-32800000,8400000,8400000,8400000,844600000,0.05395,0.03298,0.02405,0.00692,0.68077,2.47295,0.31782,0.42991,0.42494,13.03505,17.8785,0.21262,0.01203,0.49457,27.26246
"39","2019_Q4",35.9128125,"Up",572100000,-525300000,-52700000,-472600000,46800000,-16100000,-6200000,30700000,48500000,-12300000,36200000,36200000,36200000,36200000,23600000,23600000,223900000,223900000,5.2e+07,5.2e+07,299500000,1485500000,968800000,351600000,2454300000,2753800000,324900000,2.35e+08,48400000,437700000,834600000,683800000,335900000,347900000,1518400000,1956100000,335400000,4.98e+08,-35700000,797700000,797700000,2753800000,72199999,-23400000,-78100000,-101500000,-9500000,38400000,1e+05,-1e+05,28900000,-400001,-400001,-400001,8.83e+08,0.0818,0.06328,0.04538,0.01315,0.68426,2.45218,0.32065,0.84579,0.83796,13.36682,18.63785,0.22196,0.01933,0.26243,18.36325
"40","2020_Q1",33.4922580645161,"Down",540700000,-518300000,-52800000,-465500000,22400000,-5300000,-5600000,17100000,20100000,-4500000,15600000,15600000,15600000,15600000,21200000,21200000,205900000,205900000,62500000,62500000,289600000,1598100000,881500000,350800000,2555800000,2845400000,235700000,235700000,48400000,436699999,9.1e+08,6.93e+08,337600000,355400000,1.603e+09,2039699999,338400000,504200000,-36900000,805700000,805700000,2845399999,68400001,-28200000,-110400000,-138600000,-9500000,75400000,2e+05,2e+05,66300000,-3899999,-3899999,-3899999,958400000,0.04143,0.02885,0.01936,0.00548,0.66316,2.53159,0.33682,0.36449,0.3578,12.63318,18.82477,0.22196,0.01022,0.60897,41.83929
"41","2020_Q2",27.3966666666667,"Down",513900000,-504900000,-56600000,-448300000,9e+06,-8e+06,-8600000,1e+06,5e+06,-1200000,3800000,3800000,3800000,3800000,19900000,19900000,218800000,218800000,7e+07,7e+07,308700000,1589600000,863300000,335300000,2527200000,2835900000,275700000,275700000,53400000,470900000,871500000,693300000,340200000,353100000,1564800000,2035700000,3.37e+08,500700000,-37500000,800200000,800200000,2835900000,68600000,-11600000,-9100000,-20700000,-9500000,-33500000,699896.707207377,-7600000,-50600000,-2700000,-2700000,-2700000,924900000,0.01751,0.00739,0.00475,0.00134,0.65555,2.54399,0.32614,0.08837,0.08776,11.95116,18.6093,0.22093,0.0055,2.5,100.55556
"42","2020_Q3",36.26328125,"Up",524100000,-476600000,-50300000,-426300000,47500000,-6700000,-8200000,40800000,44500000,-11700000,32800000,32800000,32800000,32800000,19500000,19500000,215200000,215200000,38900000,38900000,273600000,1578400000,848100000,322800000,2.504e+09,2777600000,335600000,247400000,50500000,449600000,823500000,6.89e+08,348800000,340200000,1512500000,1962100000,3.39e+08,513900000,-37400000,815500000,815500000,2777600000,7.2e+07,-7e+06,-7400000.00000001,-14400000,-9600000,-34900000,1e+05,-16400000,-60800000,-3200000,-3200000,-3200000,8.74e+08,0.09063,0.06258,0.04022,0.01181,0.60854,2.40601,0.31466,0.76279,0.75751,12.18837,18.96512,0.22326,0.01783,0.29268,17.98947
"43","2020_Q4",52.6890625,"Up",645200000,-554500000,-58700000,-495800000,90700000,-3300000,-5700000,87400000,95100000,-24200000,70900000,70900000,70900000,70900000,12700000,12700000,234300000,234300000,42600000,42600000,289600000,1614600000,847300000,324800000,2517100000,2806700000,336300000,245400000,53400000,453600000,754500000,706800000,370900000,335900000,1461300000,1914900000,344899999,584800000,-37900000,891799999,891799999,2806699999,130200000,-19200000,-41300000,-60500000,-1e+07,-66400000,0,-1e+05,-76500000,-6800000,-6800000,-6800000,807900000,0.14058,0.10989,0.0795,0.02526,0.63845,2.14723,0.28785,1.64884,1.62615,15.00465,20.73953,0.23256,0.03362,0.14104,8.76736
"44","2021_Q1",66.3419672131148,"Up",700100000,-593300000,-59400000,-533900000,106800000,-3300000,-4900000,103500000,114400000,-28800000,85600000,85600000,85600000,85600000,14400000,14400000,253400000,253400000,38100000,38100000,305900000,1689900000,856100000,336300000,2594700000,2900600000,283100000,283100000,59200000,511500000,685600000,742300000,389600000,352700000,1427900000,1939400000,353900000,658100000,-50800000,961200000,961200000,2900600000,1.59e+08,-51400000,-3e+07,-81400000,-10100000,-63500000,9.31322574615479e-10,0,-73600000,4e+06,4e+06,4e+06,744800000,0.15255,0.12227,0.08906,0.02951,0.59804,2.01769,0.25677,1.97235,1.95434,16.13134,22.14747,0.23272,0.03909,0.11799,6.83895
"45","2021_Q2",63.4746031746032,"Down",711800000,-600800000,-56100000,-544700000,1.11e+08,-5900000,-7300000,105100000,114300000,-27100000,87200000,87200000,87200000,87200000,11800000,11800000,261100000,261100000,4.1e+07,4.1e+07,313900000,1.684e+09,884300000,367200000,2615800000,2929700000,259899999,259899999,59200000,519099999,624300000,757400000,396100000,361300000,1381700000,1900799999,344600000,735200000,-50900000,1028900000,1028900000,2929699999,122900000,-37100000,-12344618.6466934,-37100000,-10100000,-61200000,-40430957.878285,-17100000,-88400000,-2600000,-2600000,-2600000,683500000,0.15594,0.12251,0.08475,0.02976,0.6047,1.84741,0.2333,2.00922,1.99087,16.40092,23.70737,0.23272,0.0394,0.11583,6.05135
"46","2021_Q3",72.17875,"Up",874900000,-673800000,-58200000,-615600000,201100000,-4e+06,-5500000,197100000,209900000,-47400000,162500000,162500000,162500000,162500000,17400000,17400000,313600000,313600000,71700000,71700000,402700000,1715800000,867600000,353300000,2633500000,3036200000,279600000,279600000,6.5e+07,532300000,581500000,749600000,404900000,344700000,1331100000,1863400000,349100000,874400000,-50700000,1172800000,1172800000,3036200000,115900000,-62500000,-3.72529029846191e-09,-62500000,-10100000,-37400000,-94769389.0278508,-3e+05,-47800000,5600000,5600000,5600000,646500000,0.22985,0.18574,0.13856,0.05352,0.75653,1.58885,0.21293,3.74424,3.71005,20.15899,27.02304,0.23272,0.06719,0.06215,3.12829
"47","2021_Q4",83.51078125,"Up",1071600000,-57400000,-57400000,-1175582931.60876,364900000,-3300000,-5100000,361600000,374600000,-91400000,283200000,283200000,283200000,283200000,75900000,75900000,328600000,328600000,77200000,77200000,481700000,1826800000,877100000,365500000,2741100000,3222800000,2.99e+08,2.99e+08,6.5e+07,547300000,567500000,763200000,4.2e+08,343200000,1330700000,1.878e+09,345400000,1050300000,-50900000,1344800000,1344800000,3222800000,344500000,-145100000,2200000,-142900000,-13100000,-14300000,-115700000,0,-143100000,58500000,58500000,58500000,632500000,0.34052,0.26428,0.21059,0.08787,0.88014,1.39649,0.19626,6.6014,6.52535,24.97902,31.34732,0.30536,0.10812,0.04626,1.52535
"48","2022_Q1",99.0020967741935,"Up",1.267e+09,-1462100000,-64800000,-1397300000,454200000,-3e+06,-4700000,451200000,472500000,-7.8e+07,394500000,394500000,394500000,394500000,282400000,282400000,343700000,343700000,78400000,78400000,704500000,1878300000,1051600000,542700000,2988600000,3693100000,308400000,308400000,6.5e+07,612400000,549700000,863600000,425200000,438400000,1413300000,2025700000,344800000,1353500000,-30900000,1667400000,1667400000,3693100000,400800000,-63800000,-17100000,-80900000,-12600000,-18200000,-82600000,0,-113400000,206500000,206500000,206500000,614700000,0.35848,0.31137,0.2366,0.10682,1.15039,1.21489,0.16645,9.1958,9.08986,29.5338,38.86713,0.29371,0.12941,0.03194,0.73162
"49","2022_Q2",84.7316129032258,"Down",1165500000,-766900000,-63200000,-703700000,398600000,-2800000,-4800000,395800000,429800000,-90600000,339200000,339200000,339200000,339200000,392800000,392800000,371400000,371400000,110600000,110600000,874800000,1894600000,1115400000,609100000,3102700000,3977500000,301600000,301600000,6.5e+07,610200000,535700000,920900000,431100000,489800000,1456600000,2066800000,326600000,1614800000,-30700000,1910700000,1910700000,3977500000,273900000,-3.7e+07,-9400000,-46400000,-12900000,-14400000,-70400000,-19400000,-117100000,110400000,110400000,110400000,600700000,0.342,0.29103,0.17753,0.08528,1.43363,1.0817,0.15102,8.17349,8.07619,28.08434,46.04096,0.31084,0.10258,0.03803,0.52158
"50","2022_Q3",76.0271875,"Down",1261100000,-792700000,-64300000,-728400000,468400000,-2700000,-4500000,465700000,490400000,-109700000,380700000,380700000,380700000,380700000,6.09e+08,6.09e+08,380600000,380600000,123100000,123100000,1112700000,1894700000,1058100000,554500000,3045900000,4158600000,304800000,304800000,6.5e+07,632100000,517900000,8.75e+08,433800000,441200000,1392900000,2.025e+09,323900000,1841200000,-31500000,2133600000,2133600000,4158600000,417200000,-30600000,-2e+06,-32600000,-12100000,-18100000,-138100000,-1e+05,-168400000,216200000,216200000,216200000,582900000,0.37142,0.30188,0.17843,0.09155,1.76032,0.9491,0.14017,9.54135,9.49377,31.60652,53.47368,0.30326,0.10937,0.03178,-0.05572
