"","YQ","p","d","revenue","cost_of_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",74.6629032258064,"Up",1217789000,-905017000,312772000,19303000,-233332000,-184462000,-48870000,98743000,-13284000,-5601000,-6249000,85459000,85459000,-22878000,62581000,62581000,62581000,62581000,127325000,127325000,174832000,174832000,746534000,142298000,91636000,1190989000,727596000,1181012000,792979000,188471000,1908608000,3099597000,393422000,273742000,2106000,117574000,3847000,562482000,562482000,959751000,1138063000,126015000,116888000,1264078000,2223829000,8728000,650793000,300084000,-83837000,875768000,875768000,3099597000,62581000,45609000,-11629000,66823000,163384000,-53777000,5956000,-721430000,-34604000,-757444000,-89396000,2039000,-91435000,585591000,27545000,27545000,-5071000,22474000,144352000,1141910000,180276000,0.25684,0.08108,0.05139,0.07146,0.02019,2.88068,1.24094,2.53929,0.36841,0.98427,0.97287,19.15335,13.63678,2.83538,0.54425,0.04534,0.0841,0.55295,7.02855,10.27501
"29","2017_Q2",74.887619047619,"Up",1153782000,-911291000,242491000,20430000,-241832000,-189827000,-52005000,21089000,-21422000,-7914000,-11608000,-333000,-333000,-2578000,-2911000,-2911000,-2911000,-2911000,137494000,137494000,176277000,176277000,800611000,136095000,81193000,1250477000,729063000,1156459000,786574000,185887000,1885522000,3135999000,455253000,348016000,2332000,104905000,2888000,528244000,528244000,986385000,1174853000,129666000,120580000,1304519000,2290904000,9249000,664674000,241237000,-70065000,845095000,845095000,3135999000,-2911000,44538000,28473000,-23071000,47029000,-38391000,13699000,-24742000,-36384000,-444386000,-17486000,4321000,-21807000,-20008000,2279000,2279000,4003000,6282000,65627000,1177741000,6743000,0.21017,0.01828,-0.00252,-0.00344,-0.00093,-2.31639,1.26774,2.71082,0.37556,-0.04611,-0.04539,18.27687,13.2405,0.10681,0.57635,0.01555,0.00312999999999999,-12.4988,15.8509,49.32652
"30","2017_Q3",83.2698412698413,"Up",1364920000,-1014534000,350386000,19143000,-270347000,-209594000,-60753000,99182000,-7216000,-8032000,2152000,91966000,91966000,-29925000,62041000,62041000,62041000,62041000,127378000,127378000,169314000,169314000,815990000,104197000,85221000,1216879000,736866000,1161227000,786935000,192167000,1898093000,3114972000,479067000,352538000,9725000,116804000,2831000,566208000,566208000,1048106000,1064966000,137398000,128389000,1202364000,2250470000,10725000,680315000,227904000,-54442000,864502000,864502000,3114972000,62041000,46586000,7528000,99859000,216014000,-43412000,7086000,-36445000,-36228000,-566484000,-41109000,2706000,-43815000,-189752000,-10183000,-10183000,2948000,-7235000,145768000,1067797000,232140000,0.25671,0.07267,0.04545,0.07177,0.01992,3.74172,1.16103,2.6032,0.3428,0.98642,0.97232,21.70157,13.57464,3.69091,0.57601,0.04748,0.11216,0.583939999999998,6.45148,9.48175
"31","2017_Q4",104.87380952381,"Up",1478726000,-1114764000,363962000,18138000,-265192000,-202063000,-63129000,116908000,-7727000,-8492000,2368000,109181000,109181000,-27293000,81888000,81888000,81888000,81888000,132260000,132260000,184074000,184074000,841922000,90394000,80859000,1248650000,735441000,1148975000,784616000,191287000,1884416000,3133066000,531240000,385858000,27448000,117934000,27835000,635963000,635963000,1195038000,892149000,138584000,129218000,1030733000,2225771000,11331000,689423000,250544000,-44003000,907295000,907295000,3133066000,81888000,46981000,5648000,99535000,234052000,-44844000,22445000,-27695000,-36311000,-839377000,-16056000,7199000,-23255000,-200484000,5873000,5873000,2646000,8519000,163889000,919984000,245873000,0.24613,0.07906,0.05538,0.09026,0.02614,3.00255,1.04486,2.45319,0.29364,1.30715,1.2818,23.60448,14.30201,3.9248,0.57962,0.06013,0.12507,0.44342,4.80645,6.73798
"32","2018_Q1",106.834426229508,"Up",1431049000,-1063237000,367812000,18595000,-263929000,-201517000,-62412000,122478000,-4501000,-7717000,5137000,117977000,117977000,-86503000,31474000,31474000,31474000,31474000,138345000,138345000,200144000,200144000,783961000,131054000,101453000,1253504000,747189000,1088900000,780586000,115511000,1836089000,3089593000,442310000,317377000,10737000,114196000,47746000,640255000,640255000,1130311000,865266000,150640000,140512000,1015906000,2146217000,11717000,734525000,242763000,-45629000,943376000,943376000,3089593000,31474000,53003000,83788000,-79952000,88313000,-57741000,-10958000,-62214000,-36500000,-571226000,26928000,28512000,-1584000,-17436000,8663000,8663000,219000,8882000,175481000,913012000,124291000,0.25702,0.08559,0.02199,0.03336,0.01019,3.94901,1.10899,2.27504,0.29551,0.49963,0.485,22.71687,14.78941,1.97303,0.57941,0.03387,0.06193,1.15969,4.41453,6.32495
"33","2018_Q2",104.4465625,"Down",1297473000,-973992000,323481000,21425000,-261630000,-196400000,-65230000,83276000,-9584000,-8048000,19975000,73692000,73692000,-17978000,55714000,55714000,55714000,55714000,166357000,166357000,186044000,186044000,922925000,109260000,96247000,1384586000,759957000,1075064000,777844000,114881000,1835021000,3219607000,481300000,366872000,6599000,107829000,65245000,567950000,567950000,1114495000,964234000,156118000,146112000,1120352000,2234847000,11298000,756519000,246980000,-30037000,984760000,984760000,3219607000,55714000,52720000,13175000,-124798000,-3189000,-55558000,256000,-44119000,-37796000,-578342000,-3082000,11905000,-14987000,75181000,27873000,27873000,1856000,29729000,135996000,1029479000,-26382000,0.24932,0.06418,0.04294,0.05658,0.0173,-0.47353,1.24234,2.26943,0.31975,0.88012,0.85426,20.49623,15.37782,-0.41676,0.59706,0.04309,-0.01216,0.67839,6.34667,10.36459
"34","2018_Q3",100.209841269841,"Down",1502532000,-1117356000,385176000,21344000,-284063000,-215733000,-68330000,122457000,-9609000,-9216000,3561000,112848000,112848000,-20308000,92540000,92540000,92540000,92540000,181753000,181753000,190343000,190343000,925243000,116855000,106586000,1414194000,762268000,1063016000,765050000,115399000,1825284000,3239478000,492706000,361717000,5973000,125016000,40120000,582344000,582344000,1115170000,1072502000,161528000,152861000,1234030000,2349200000,12768000,791770000,140033000,-54293000,890278000,890278000,3239478000,92540000,45864000,15483000,14451000,168338000,-49011000,10180000,-42648000,-37898000,-732521000,-145837000,31543000,-177380000,-98847000,26843000,26843000,-8226000,18617000,168321000,1112622000,154069000,0.25635,0.0815,0.06159,0.10395,0.02857,1.66489,1.26814,2.63873,0.34346,1.46489,1.42619,23.78478,13.89081,2.43888,0.59992,0.06026,0.07118,0.40953,5.53032,7.6016
"35","2018_Q4",81.0895238095238,"Down",1651415000,-1250145000,401270000,21348000,-283749000,-219568000,-64181000,138869000,-15810000,-19823000,4124000,123059000,123059000,-27530000,95529000,95529000,95529000,95529000,183411000,183411000,217694000,217694000,1019517000,110931000,105066000,1531553000,807511000,1808967000,1515431000,116447000,2616478000,4148031000,569623000,436401000,8963000,124259000,66595000,649622000,649622000,1285840000,1797732000,156587000,149533000,1954319000,3240159000,9620000,800225000,152561000,-54534000,907872000,907872000,4148031000,95529000,57326000,256000,35878000,188989000,-53194000,11771000,-771348000,-37054000,-659838000,-50854000,3710000,-54564000,586132000,3773000,3773000,466000,4239000,196195000,1864327000,206409000,0.24299,0.08409,0.05785,0.10522,0.02303,2.16069,1.19109,3.56896,0.44945,1.53566,1.5033,26.54709,14.43973,3.3181,0.59566,0.04527,0.07048,0.38788,8.56758,12.10433
"36","2019_Q1",77.0959016393443,"Down",1627080000,-1235807000,391273000,23283000,-271758000,-209799000,-61959000,142798000,-23197000,-19913000,439999.999999999,119601000,119601000,-28084000,91517000,91517000,91517000,91517000,161164000,161164000,197082000,197082000,969511000,157946000,121472000,1485703000,843122000,1796090000,1517594000,87474000,2639212000,4124915000,475842000,346294000,4545000,125003000,66543000,654989000,654989000,1197374000,1896027000,157662000,151172000,2053689000,3251063000,6837000,808595000,121393000,-62973000,873852000,873852000,4124915000,91517000,55090000,44086000,-67731000,122962000,-67637000,3493000,-101385000,-36252000,-608799000,-101527000,242000,-101769000,-39065999.9999999,-17489000,-17489000,-3596000,-21085000,197888000,1962570000,90604000,0.24048,0.08776,0.05625,0.10473,0.02219,0.99002,1.2408,3.72038,0.47578,1.49123,1.47264,26.51263,14.12767,1.47636,0.59071,0.04267,0.03026,0.39612,9.10316,12.61506
"37","2019_Q2",83.3320634920635,"Up",1495690000,-1143242000,352448000,18805000,-289317000,-222197000,-67120000,81936000,-17524000,-20419000,3501000,64412000,64412000,-16016000,48396000,48396000,48378000,48378000,151439000,151439000,206812000,206812000,1148637000,132062000,106512000,1638950000,868128000,1901639000,1506414000,88489000,2769767000,4408717000,554787000,436938000,5144000,112705000,66512000,626809000,626809000,1248108000,2034770000,237616000,231769000,2272386000,3520494000,8724000,821399000,127513000,-69710000,887926000,888223000,4408717000,48396000,54415000,3713000,-144741000,-38217000,-70254000,213000,-70041000,-37144000,-870568000,-2903000,3207000,-6110000,99605000,-8653000,-8653000,-993000,-9646000,136351000,2101282000,-62628000,0.23564,0.05478,0.03234,0.05447,0.01097,-1.29456,1.31315,3.96352,0.47662,0.78941,0.77995,24.40588,14.34635,-1.02193,0.6061,0.0265,-0.01941,0.76779,14.30017,23.79715
"38","2019_Q3",79.9625,"Down",1779315000,-1342867000,436448000,19746000,-321072000,-244693000,-76379000,135122000,-20804000,-20620000,271000,114318000,114318000,-26173000,88145000,88145000,88263000,88263000,96081000,96081000,224501000,224501000,1130264000,119958000,112921000,1570804000,889825000,1903583000,1508722000,92641000,2793408000,4364212000,563670000,418850000,6094000,138726000,66505000,702203000,702203000,1332378000,1831563000,237576000,232219000,2069139000,3401517000,10607000,845189000,177540000,-70820000,962516000,962695000,4364212000,88145000,57531000,10213000,85180000,241069000,-66949000,10008000,-58741000,-37286000,-982939000,2579000,3006000,-427000,-239170000,-56842000,-56842000,881000,-55961000,192653000,1898068000,237057000,0.24529,0.07594,0.04961,0.09168,0.02022,2.6858,1.17895,3.53333,0.43492,1.43704,1.41982,28.96964,15.49836,3.85961,0.60707,0.04052,0.07651,0.42244,9.35354,13.336
"39","2019_Q4",90.119375,"Up",1771595000,-1335091000,436504000,21649000,-327911000,-250610000,-77301000,130242000,-22072000,-19761000,1728000,108170000,108170000,-19811000,88359000,88359000,88359000,88359000,122216000,122216000,217231000,217231000,1270110000,133581000,118623000,1743138000,887644000,1896640000,1494646000,95189000,2784284000,4527422000,725575000,584506000,4632000,136437000,66664000,753886000,753886000,1546125000,1716959000,239501000,234760000,1956460000,3502585000,11615000,867797000,228837000,-83591000,1024658000,1024837000,4527422000,88359000,61054000,15074000,68761000,233248000,-52097000,1479000,-50618000,-37270000,-978193000,1523999,1986999,-463000,-148435001,34194999,34194999,-2988000,31206999,191296000,1783623000,227771000,0.24639,0.07352,0.04988,0.08622,0.01952,2.57779,1.12742,3.4177,0.39396,1.43725,1.4191,28.81673,16.47814,3.70492,0.60623,0.04122,0.07473,0.4218,8.68501,12.75631
"40","2020_Q1",76.653064516129,"Down",1735900000,-1312500000,423400000,-60200000,-307700000,-235600000,-72100000,55500000,65400000,-16800000,82200000,120900000,120900000,-21900000,9.9e+07,9.9e+07,9.9e+07,9.9e+07,157100000,157100000,190400000,190400000,1121100000,158400000,125900000,1.627e+09,899800000,1793100000,1490200000,93300000,2803500000,4430500000,601900000,450200000,5900000,145800000,166700000,759400000,759400000,1.528e+09,1526800000,253900000,249900000,1780700000,3308700000,13600000,893400000,287300000,-72700000,1121600000,1121800000,4430500000,9.9e+07,61500000,9200000,49300000,2.19e+08,-62100000,2200000,-59900000,-37400000,2561700000,6100001,7500001,-1400000,-123799999,35300001,35300001,2300000,37600001,1.17e+08,1693500000,126100000,0.24391,0.03197,0.05703,0.08825,0.02235,1.27374,1.06479,2.94946,0.38224,1.60803,1.57865,28.19576,17.99695,2.04821,0.60748,0.04444,0.04109,0.37778,13.13162,27.68288
"41","2020_Q2",71.7701587301587,"Down",1405200000,-1112300000,292900000,19700000,-307100000,-228700000,-78400000,5500000,-17100000,-16200000,-9e+05,-11600000,-11600000,6200000,-5400000,-5400000,-5400000,-5400000,424400000,424400000,167900000,167900000,1234800000,158100000,112200000,1985200000,886100000,1892600000,1478400000,90900000,2778700000,4763900000,680900000,556100000,3700000,121100000,166700000,665400000,665400000,1.513e+09,1996800000,245600000,242200000,2242400000,3755400000,6700000,8.99e+08,210600000,-1.08e+08,1008300000,1008500000,4763900000,-5400000,62400000,4900000,-133300000,-71400000,-46800000,6e+06,-40800000,-3.8e+07,470200000,-46500000,2300000,-48800000,385700000,273500000,273500000,-4900000,268600000,67900000,2163500000,-118400000,0.20844,0.00391,-0.00384,-0.00534999999999999,-0.00113,21.92593,1.3121,3.72375,0.45414,-0.08724,-0.08724,22.70113,16.18094,-1.91276,0.61389,0.00954,-0.03464,-7.03704,25.61267,316.2
"42","2020_Q3",93.28734375,"Up",1511800000,-1179100000,332700000,25400000,-274300000,-207500000,-66800000,83800000,-18700000,-17900000,-8e+05,65100000,-314100000,78700000,-235400000,-235400000,-235400000,-235400000,544400000,544400000,195200000,195200000,1026400000,117700000,103500000,1883700000,873700000,1555300000,1.092e+09,184700000,2.429e+09,4312700000,692100000,545600000,7900000,138600000,536500000,6.79e+08,6.79e+08,1907600000,1391500000,246200000,242900000,1637700000,3545300000,14200000,921900000,-69300000,-99600000,767200000,767400000,4312700000,-235400000,64700000,301500000,250300000,381100000,-41300000,44600000,3300000,-3.8e+07,-236400000,4100000,4600000,-5e+05,-270300000,114100000,114100000,1800000,115900000,148500000,1.928e+09,278800000,0.22007,0.05543,-0.15571,-0.30675,-0.05458,-1.18437,0.98747,4.61989,0.44705,-3.82764,-3.82764,24.58211,12.2439,4.53333,0.61789,-0.06711,0.09478,-0.161429999999999,9.31717,16.51074
"43","2020_Q4",91.24546875,"Down",1954600000,-1.42e+09,534600000,-45100000,-313300000,-236100000,-77200000,176200000,42700000,-17300000,6e+07,218900000,218900000,-5.2e+07,166900000,166900000,1.67e+08,1.67e+08,820600000,820600000,241300000,241300000,1213500000,104300000,98600000,2379700000,865300000,1538600000,1087300000,186400000,2403900000,4783600000,938400000,790700000,3.8e+07,109700000,542100000,758500000,758500000,2.239e+09,1322300000,258300000,254800000,1580600000,3819600000,16200000,973400000,5.9e+07,-84900000,963700000,9.64e+08,4783600000,166900000,63400000,23100000,112600000,3.66e+08,-43700000,27500000,-16200000,-38200000,-65500000,25500000,25700000,-2e+05,-78200000,271600000,271600000,4500000,276100000,239600000,1864400000,360500000,0.27351,0.09015,0.08544,0.17324,0.03491,2.15868,1.06284,3.96224,0.38975,2.69355,2.69355,31.52581,15.28226,5.81452,0.61613,0.06648,0.11679,0.22874,4.35643,5.92394999999999
"44","2021_Q1",116.95737704918,"Up",1409800000,-1034300000,375500000,80400000,-119300000,-53600000,-65700000,336600000,-69900000,-15400000,-54500000,266700000,564800000,-122800000,4.42e+08,913200000,913300000,913300000,634700000,634700000,257200000,257200000,1177600000,1.38e+08,134100000,2207500000,888800000,1.477e+09,1083700000,177700000,2425200000,4632700000,925900000,782200000,2.2e+07,121700000,142100000,821400000,821400000,1889400000,1308600000,277600000,273200000,1586200000,3475600000,12300000,984500000,218400000,-58400000,1156800000,1157100000,4632700000,434400000,45300000,-283500000,89900000,342900000,-72500000,-14900000,-9.7e+07,-38300000,-414500000,2e+05,1e+06,-800000.000000015,-452600000,-206700000,-206700000,7300000,-199400000,244912593.770549,1450700000,179180079.518952,0.266770680107287,0.0850240544137376,0.138002541758052,0.278584891763885,0.0554669551792876,3.86954143975845,1.16836,3.00372,0.31314,4.11372615325451,4.09352969361841,33.9740812521402,18.40032,2.8776471539596,0.61576,0.0977609765474655,0.0571174199937349,-0.236020047657339,4.50819656118396,28.3346411063446
"45","2021_Q2",130.711111111111,"Up",1951100000,-1470600000,480500000,123764961.266816,-312500000,-2.33e+08,-79500000,1.68e+08,7200000,-11500000,18700000,175200000,175200000,-4.1e+07,134200000,134200000,134100000,134100000,432400000,432400000,237200000,237200000,1339900000,123600000,123200000,2133100000,8.79e+08,1454800000,1070800000,158600000,2380600000,4513700000,997400000,869100000,32900000,95400000,142100000,717400000,717400000,1856900000,1291700000,286200000,281900000,1577900000,3434800000,17900000,1083100000,48800000,-72500000,1077300000,1078900000,4513700000,134199999,59600000,25400000,-163200000,55999999,-45400000,15200000,-30200000,-38600000,-15899999.9999999,-169800000,129300000,-299100000,-224300000,-198500001,-198500001,-4300000,-202800001,227600000,1433800000,6e+07,0.24627,0.08611,0.06873,0.12429,0.02971,0.447430000000004,1.14874,3.18361,0.31766,2.1629,2.11514,31.46935,17.0871,0.96774,0.62258,0.0617,0.02144,0.28784,4.39982,5.96070999999996
"46","2021_Q3",123.1278125,"Down",1717800000,-1269100000,448700000,68569520.8061555,-252700000,-167900000,-84800000,1.96e+08,5700000,-10800000,16500000,201700000,201700000,-47600000,154100000,158500000,158400000,158400000,288800000,288800000,220300000,220300000,1514900000,109400000,109100000,2133400000,900400000,1462100000,1063900000,159200000,2391800000,4525200000,1031900000,899300000,35200000,97400000,53100000,737100000,737100000,1822100000,1278200000,290700000,286400000,1568900000,3.391e+09,11900000,1110600000,73500000,-63500000,1132500000,1134200000,4525200000,154100001,4.8e+07,13900000,-117200000,139600001,-63700000,19100000,-49900000,-38400000,-103200000,-94600000,16800000,-111400000,-236200000,-146499999,-146499999,2400000,-144099999,2.44e+08,1331300000,110700000,0.26121,0.1141,0.09221,0.13966,0.035,0.69886,1.17085,2.98977,0.2942,2.55484,2.49842,27.70645,18.07419,1.78548,0.61935,0.0714,0.04016,0.24242,4.27254,5.31888
"47","2021_Q4",114.754375,"Down",1777700000,-1357700000,4.2e+08,11300000.0000001,-273100000,-188300000,-84800000,158200000,-10600000,-10700000,1e+05,147600000,147600000,-30400000,117200000,114800000,114800000,114800000,316500000,316500000,242700000,242700000,1773600000,114900000,114300000,2447700000,931400000,1459800000,1053200000,160300000,2422600000,4870300000,1041500000,928200000,33600000,79700000,53300000,7.5e+08,7.5e+08,1844800000,1.47e+09,330300000,326100000,1800300000,3645100000,11500000,1135200000,150500000,-73900000,1223300000,1225200000,4870300000,117200000,54600000,17300000,-208500000,-42200000,-80100000,-6e+05,-85500000,-38200000,192800000,4800000,5600000,-8e+05,159400000,31700000,31700000,-5e+06,26700000,212800000,1523300000,-45400000,0.23626,0.08899,0.06458,0.0937,0.02357,-0.39547,1.32681,2.97511,0.31277,1.88197,1.8427,29.14262,19.86557,-0.74426,0.62623,0.04969,-0.01475,0.33275,5.67105,7.62832
"48","2022_Q1",111.644032258065,"Down",1992600000,-1590900000,401700000,42500000,-254400000,-174800000,-79600000,189800000,-44200000,-11200000,-3.3e+07,145600000,108800000,-13100000,95700000,98300000,99300000,99300000,502300000,502300000,227900000,227900000,1510700000,318100000,150900000,2.559e+09,927700000,1511800000,935200000,162900000,2488800000,5047800000,1549600000,7.76e+08,17100000,756500000,553300000,127200000,127200000,2230100000,1247400000,3.44e+08,327300000,1591400000,3821500000,11891540.0121313,1144400000,157300000,-77400000,1224300000,1226300000,5047800000,91100000,54200000,53400000,-47300000,140300000,-93600000,-39300000,-138300000,-38200000,277600000,-45900000,4400000,-50300000,193500000,195500000,195500000,-3700000,191800000,157749260.262536,1800700000,-139615914.751272,0.208813622138242,0.0506720146787133,0.0462174761668256,0.0718781569785261,0.0170691244431866,0.410696384875305,1.14748,3.11628,0.35673,1.46901222041966,1.43933162926903,31.1866173984845,19.6154978591488,-2.28170241981475,0.624123115656117,0.0370432799529988,-0.044365196863353,1.72055962726305,8.99438159019956,14.4597481991449
"49","2022_Q2",102.038870967742,"Down",1956800000,-1560500000,396300000,228942241.036486,-312900000,-230100000,-82800000,83400000,2700000,-11800000,14500000,86100000,86100000,-16200000,69900000,69900000,69900000,69900000,375400000,375400000,251100000,251100000,1879700000,148900000,146700000,2655100000,978200000,1462300000,1029400000,154500000,2473799999,5128899999,1083500000,978500000,14400000,90599999.9999999,553300000,614100000,614100000,2250900000,1.394e+09,3.52e+08,346600000,1.746e+09,3996900000,11400000,1143400000,4.5e+07,-69800000,1.13e+09,1.132e+09,5128900000,69900000,61300000,20400000,-200700000,-49100000,-57400000,18200000,-39200000,-37900000,147800000,-158400000,13900000,-172300000,-48500000,-136800000,-136800000,-3e+05,-137100000,144700000,1947300000,-97200000,0.20252,0.04262,0.03572,0.06175,0.01363,-1.39056,1.17957,3.53083,0.37967,1.1459,1.12379,32.07869,18.3377,-1.59344,0.62131,0.03142,-0.02833,0.5422,10.86317,18.84772
"50","2022_Q3",111.056875,"Up",1887500000,-1456500000,4.31e+08,631456723.109457,-242700000,-157900000,-84800000,188300000,-1300000,-14900000,13600000,1.87e+08,1.87e+08,-40800000,146200000,-4400000,-4600000,-4600000,314200000,314200000,297200000,297200000,1.908e+09,346400000,174400000,2865800000,939600000,1396400000,918700000,241100000,2373100000,5238900000,1668400000,978800000,11200000,678400000,553300000,118500000,24200000,2340200000,1463500000,350200000,3.45e+08,1813700000,4153900000,11400000,1.162e+09,3100000,-93700000,1082800000,1.085e+09,5238900000,4e+06,52400000,112700000,-159900000,-7899999.99999997,-6.2e+07,-1500000,-68700000,-38100000,69700000,3900000,3900000,0,35500000,-41100000,-41100000,-11300000,-52400000,240700000,2016800000,59600000,0.22834,0.09976,-0.00244,-0.00424,-0.00088,-12.95652,1.2246,3.82848,0.38497,-0.07679,-0.07603,31.51085,17.88648,0.99499,0.63606,0.0097,0.01727,-8.28261,7.07354,9.04195
