"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",40.4552380952381,"Down",281058000,-198523000,82535000,-54647000,-54963000,27888000,-113000,-595000,482000,27775000,-1132000,26643000,-9535000,17108000,-3983000,-3983000,13125000,13125000,13125000,25398000,25398000,332601000,12703000,12703000,533877000,86738000,211070000,67451000,58204000,50575000,34840000,297808000,831685000,214089000,86278000,127811000,47000,100429000,100429000,314565000,90000,47510000,47510000,47600000,362165000,150045000,-46631000,370097000,-3991000,469520000,469520000,831685000,17108000,6123000,2633000,17732000,43596000,-8867000,-8863000,-4316000,-6790000,-14824000,-14824000,-25930000,8803000,8803000,206000,9009000,34011000,137000,52411000,0.29366,0.09923,0.0467,0.02795,0.01578,3.99322,1.69719,0.77135,0.00016,0.57921,0.56635,12.40318,20.72007,2.31291,0.19047,0.03372,0.10134,0.32884,-0.74273,-0.9058
"30","2018_Q1",42.8373770491803,"Up",239978000,-170633000,69345000,-51182000,-51511000,18163000,-1666000,-544000,-1122000,16497000,-2259000,14238000,-22344000,-8106000,-541000,-541000,-8647000,-8647000,-8647000,17323000,17323000,326411000,12300000,12300000,496091000,89103000,202373000,67413000,56261000,32420000,15095000,291476000,787567000,201163000,77990000,123173000,4699000,80035000,80035000,285897000,79000,47937000,47937000,48016000,333913000,147929000,-47319000,357153000,-4109000,453654000,453654000,787567000,-8106000,6477000,5571000,23914000,27856000,-6732000,-13524000,-4297000,-13092000,-4376000,-4376000,-21765000,-7433000,-7433000,-642000,-8075000,24640000,4778000,64166000,0.28896,0.07569,-0.03603,-0.01906,-0.01098,-7.42061,1.73521,0.73605,0.00607,-0.38296,-0.37635,10.62824,20.09161,2.84181,0.19031,-0.00859,0.12672,-0.49694,-0.50913,-0.69069
"31","2018_Q2",42.59453125,"Down",261826000,-189237000,72589000,-57446000,-57717000,15143000,-663000,-632000,-31000,14480000,-2836000,11644000,-3047000,8597000,-608000,-608000,7989000,7989000,7989000,26226000,26226000,329784000,31346000,12672000,547929000,92237000,206034000,67534000,54411000,32469000,15917000,298271000,846200000,223677000,90718000,132959000,5880000,108971000,108971000,338528000,42000,48121000,48121000,48163000,386691000,150518000,-48346000,359232000,-1895000,459509000,459509000,846200000,8597000,6016000,3928000,-24693000,-6152000,-6903000,-13375000,-4721000,35939000,-3221000,-3221000,27997000,8470000,8470000,433000,8903000,21159000,5922000,-7390000,0.27724,0.05784,0.03051,0.01739,0.00944,-0.92502,1.61856,0.84153,0.007,0.35509,0.34784,11.63748,20.42397,-0.32847,0.20984,0.02475,-0.01439,0.59094,-0.95959,-1.34082
"32","2018_Q3",45.3103174603175,"Up",286636000,-205347000,81289000,-57708000,-57750000,23581000,-771000,-1251000,480000,22810000,-231000,22579000,-5752000,16827000,-882000,-882000,15945000,15945000,15945000,18573000,18573000,331453000,34704000,16458000,558591000,91277000,202077000,67360000,52216000,31842000,15934000,293354000,851945000,227195000,94988000,132207000,5169000,109389000,109389000,341753000,34000,47788000,47788000,47822000,389575000,151275000,-51536000,370461000,-7830000,462370000,462370000,851945000,16827000,5690000,2721000,-14900000,10338000,-4422000,-6506000,-4716000,-1662000.00000001,-4419000,-4419000,-10797000,-6965000,-6965000,-688000,-7653000,29271000,5203000,15701000,0.2836,0.08227,0.05563,0.03449,0.01872,0.9847,1.63449,0.84256,0.00611,0.70957,0.69451,12.75558,20.57591,0.69871,0.20987,0.04009,0.03047,0.29577,-0.45677,-0.56698
"33","2018_Q4",45.6206349206349,"Up",296619000,-209313000,87306000,-60122000,-60137000,27184000,-903000,-1254000,351000,26281000,-6000,26275000,-7002000,19273000,-3524000,-3524000,15749000,15749000,15749000,27321000,27321000,318420000,32976000,11681000,542026000,91735000,202626000,67387000,50263000,34907000,16284000,294361000,836387000,233958000,84031000,149927000,5980000,69013000,69013000,308951000,26000,53358000,53358000,53384000,362335000,152748000,-53082000,381503000,-7117000,474052000,474052000,836387000,19273000,6039000,3113000,34974000,63399000,-4308000,-5567000,-4707000,-43432000,-1631000,-1631000,-49770000,8062000,8062000,686000,8748000,33223000,6006000,70891000,0.29434,0.09165,0.0531,0.03322,0.01883,4.5013,1.75441,0.76434,0.00718,0.70232,0.68658,13.22766,21.14024,3.16137,0.20991,0.03835,0.1329,0.29888,-0.64157,-0.7841
"34","2019_Q1",45.4732786885246,"Down",246970000,-175367000,71603000,-51733000,-55732000,19870000,-2100000,-889000,-1211000,17770000,-1437000,16333000,-4176000,12157000,-8837000,-8837000,3320000,3320000,3320000,11138000,11138000,349811000,27740000,7256000,546224000,90754000,206154000,67321000,48411000,42334000,15619000,296908000,843132000,242956000,94357000,148599000,5377000,64253000,64253000,312586000,153000,63192000,63192000,63345000,375931000,150342000,-53660000,380113000,-9594000,467201000,467201000,843132000,-1694000,6359000,15860000,-17852000,2673000,-4508000,-4438000,-4710000,-2766000,-5615000,-5615000,-13551000,-15316000,-15316000,-867000,-16183000,26229000,5530000,8045000,0.28993,0.08046,0.01344,0.00711,0.00394,2.42319,1.74744,0.80465,0.00656,0.148,0.14521,11.0098,20.82759,0.358639999999999,0.20997,0.01498,0.01501,1.41867,-0.21381,-0.28223
"35","2019_Q2",44.3120634920635,"Down",283766000,-205803000,77963000,-60006000,-6e+07,17957000,-443000,-1089000,646000,17514000,0,17514000,-4410000,13104000,-888000,-888000,12216000,12216000,12216000,11746000,11746000,365251000,29196000,9412000,580357000,88850000,243527000,67370000,46581000,41126000,54747000,332377000,912734000,243929000,96878000,147051000,5023000,96618000,96618000,345570000,161000,93963000,93963000,94124000,439694000,152339000,-57565000,387170000,-8904000,473040000,473040000,912734000,13104000,6178000,3202000,-49210000,-26726000,-3084000,1746000,-5159000,36167000,-5835000,-5835000,25173000,193000,193000,415000,608000,24135000,5184000,-23749000,0.27474,0.06328,0.04305,0.02582,0.01338,-1.94409,1.67942,0.92951,0.00568,0.54483,0.53332,12.65581,21.09733,-1.05919,0.23009,0.03037,-0.04151,0.42231,-0.27189,-0.36543
"36","2019_Q3",42.62796875,"Down",305172000,-216267000,88905000,-60533000,-60536000,28372000,-311000,-1722000,1411000,28061000,-644000,27417000,-6862000,20555000,-1123000,-1123000,19432000,19432000,19432000,17419000,17419000,375258000,33649000,14972000,605712000,89197000,274618000,77728000,69017000,39825000,53648000,363815000,969527000,236118000,89149000,146969000,5085000,152737000,152737000,393940000,153000,90169000,90169000,90322000,484262000,153219000,-60908000,401465000,-8511000,485265000,485265000,969527000,20555000,6566000,1861000,-21762000,7220000,-4494000,-42904000,-5137000,51480000,-4903000,-4903000,41440000,5756000,5756000,-82999.9999999998,5673000,34938000,5238000,15544000,0.29133,0.09297,0.06368,0.04004,0.02004,0.79992,1.53757,0.99793,0.0054,0.87031,0.85193,13.66782,21.73369,0.69617,0.23007,0.04231,0.02677,0.26436,-0.34865,-0.42933
"37","2019_Q4",47.71421875,"Up",307723000,-215635000,92088000,-59959000,-59947000,32129000,-1283000,-1508000,225000,30846000,-825000,30021000,-7367000,22654000,-7903000,-7903000,14751000,14751000,14751000,13259000,13259000,340231000,34598000,14273000,557056000,88835000,274792000,77664000,66857000,39105000,52136000,363627000,920683000,218634000,71139000,147495000,5225000,105801000,105801000,329660000,132000,96839000,96839000,96971000,426631000,153915000,-59710000,411083000,-11236000,494052000,494052000,920683000,22654000,6517000,3414000,30025000,62610000,-4751000,-9813000,-5133000,-51882000,0,0,-57015000,-4218000,-4218000,58000,-4160000,38646000,5357000,71287000,0.29926,0.10441,0.04794,0.02986,0.01602,4.83269,1.68979,0.86353,0.00582,0.66061,0.64903,13.78111,22.12569,3.19253,0.22988,0.03335,0.11956,0.34798,-0.20447,-0.24595
"38","2020_Q1",44.2651612903226,"Down",241252000,-168408000,72844000,-54217000,-54232000,18627000,-667000,-967000,3e+05,17960000,-1116000,16844000,-4106000,12738000,-1220000,-1220000,11518000,11518000,11518000,10372000,10372000,387943000,15602000,15602000,540557000,89649000,273648000,77802000,64861000,37272000,54855000,363297000,903854000,217023000,92535000,124488000,56916000,26649000,26649000,300588000,129000,98909000,98909000,99038000,399626000,150614000,-55234000,417437000,-8589000,504228000,504228000,903854000,1604000,6548000,14016000,11656000,33824000,-3856000,-3840999.99999999,-5164000,-27812000,-9.31322574615479e-10,0,-32976000,-2993000,-2993000,106000,-2887000,25175000,57045000,37081000,0.30194,0.07721,0.04774,0.02284,0.01274,3.2194,1.79833,0.79255,0.06311,0.5134,0.50449,10.7535,22.47532,1.65284,0.23018,0.02527,0.05617,0.44834,1.85394,2.50566
"39","2020_Q2",38.0966666666667,"Down",254302000,-183907000,70395000,-55867000,-55873000,14528000,-1397000,-873000,-524000,13131000,-205000,12926000,-3305000,9621000,-994000,-994000,8627000,8627000,8627000,13268000,13268000,370935000,34801000,15422000,584689000,88573000,267449000,77588000,62482000,36631000,52176000,356022000,940711000,220247000,81266000,138981000,4595000,123365000,123365000,348207000,111000,95780000,95780000,95891000,444098000,152117000,-61059000,420449000,-14894000,496613000,496613000,940711000,8627000,6539000,6034000,-53989000,-32789000,-4422000,-4416000,-5615000,54316000,-8726000,-8726000,39975000,2770000,2770000,126000,2896000,21067000,4706000,-34039000,0.27682,0.05713,0.03392,0.01737,0.00917,-3.94564,1.67914,0.89425,0.005,0.38448,0.37724,11.3335,22.13259,-1.51702,0.25024,0.02385,-0.05701,0.65086,-0.40642,-0.58934
"40","2020_Q3",41.5646875,"Up",247939000,-183581000,64358000,-48328000,-48328000,16030000,-170000,-772000,602000,15860000,-9000.00000000012,15851000,-4009000,11842000,-875000,-875000,10967000,10967000,10967000,22510000,22510000,353315000,29555000,10687000,589898000,88022000,266845000,77593000,60594000,37040000,52299000,354867000,944765000,225444000,72133000,153311000,6084000,106078000,106078000,337606000,108000,96395000,96395000,96503000,434109000,1.52e+08,-59739000,431416000,-13021000,510656000,510656000,944765000,10967000,6338000,3400000,11199000,31904000,-4604000,-4604000,0,-18149000,0,0,-18149000,9151000,9151000,91000,9242000,22368000,6191999.99999999,32972000,0.25957,0.06465,0.04423,0.02148,0.01161,3.00647,1.7473,0.8501,0.00655,0.49112,0.48274,11.10317,22.86812,1.47655,0,0.01788,0.05377,0,-0.72952,-1.01797
"41","2020_Q4",44.32734375,"Up",343609000,-235861000,107748000,-59534000,-59497000,48214000,52000,-462000,514000,48266000,-250000,48016000,-11804000,36212000,-7587000,-7587000,28625000,28625000,28625000,16781000,16781000,331354000,10094000,10094000,596274000,88288000,266435000,77681000,58543000,39807000,51459000,354723000,950997000,263047000,79260000,183787000,3580000,37187000,37187000,303814000,103000,102176000,102176000,102279000,406093000,154448000,-59426000,460041000,-10159000,544904000,544904000,950997000,28625000,6436000,12189000,32240000,79490000,-4144000,-4136000,0,-80933000,0,0,-80933000,-5579000,-5579000,-150000,-5729000,54650000,3683000,94550000,0.31358,0.14032,0.08331,0.05253,0.0301,3.30306,1.96263,0.74526,0.00387,1.28083,1.25553,15.37481,24.38176,4.23065,0,0.04399,0.14529,0,-0.23967,-0.27166
"42","2021_Q1",40.3267213114754,"Down",282738000,-188584000,94154000,-60941000,-60972000,33213000,-27000,-221000,194000,33186000,-2600000,30586000,-7844000,22742000,-13568000,-13568000,9174000,9174000,9174000,19488000,19488000,365134000,15875000,15875000,598536000,89105000,268899000,77837000,54004000,44770000,51781000,358004000,956540000,256529000,100018000,156511000,10135000,35938000,35938000,302602000,97000,103605000,103605000,103702000,406304000,152956000,-60656000,463612000,-5676000,550236000,550236000,956540000,9174000,7010000,20169000,-17062000,19291000,-4650000,-4643000,-5603000,-2050000,-4756000,-4756000,-12409000,2239000,2239000,468000,2707000,40223000,10232000,26355000,0.33301,0.11747,0.03245,0.01667,0.00959,2.87279,1.97796,0.73842,0.0107,0.40994,0.40031,12.63402,24.58705,1.17766,0.25037,0.02225,0.03969,0.61075,-0.23012,-0.27869
"43","2021_Q2",42.7126984126984,"Up",276553000,-192769000,83784000,-54460000,-54460000,29324000,426000,-209000,635000,29750000,-2892846.23181436,29750000,-7586000,22164000,-1164000,-1164000,2.1e+07,2.1e+07,2.1e+07,17100000,17100000,411984000,13848000,13848000,617036000,88563000,270883000,77838000,52803000,43692000,55866000,359446000,976482000,251840000,108536000,143304000,42490000,19094000,19094000,313424000,84000,106034000,106034000,106118000,419542000,154238000,-68725000,479024000,-7597000,556940000,556940000,976482000,2.1e+07,6514000,4475000,-43387000,-11398000,-4966000,-7045000,-5588000,32781000,-11096000,-11096000,16097000,-2346000,-2346000,-42000,-2388000,35838000,42574000,-4929000,0.30296,0.10603,0.07593,0.03771,0.02151,-0.23471,1.96869,0.7533,0.0436,0.94095,0.92245,12.3915,24.95479,-0.22085,0.25038,0.03768,-0.00699,0.2661,0.71081,0.86871
"44","2021_Q3",41.18125,"Down",342076000,-242804000,99272000,-62347000,-62347000,36925000,337000,-495000,832000,37262000,-1425843.01427959,37262000,-9248000,28014000,-852999.999999998,-852999.999999998,27161000,27142000,27142000,27453000,27453000,426946000,14492000,14492000,680669000,96762000,377844000,126893000,105462000,38915000,64504000,474606000,1155275000,280307000,119632000,160675000,137397000,29363000,29363000,447067000,80000.0000000001,113011000,113011000,113091000,560158000,154934000,-66836000,500620000,-5102000,583616000,595117000,1155275000,27161000,6586000,1996000,-1192000,34551000,-6743000,-113929000,-5546000,95163000,1.86264514923096e-09,0,89617000,10239000,10239000,114000,10353000,43511000,137477000,44824000,0.2902,0.10794,0.07934,0.04561,0.02349,1.65146,1.52252,0.94126,0.119,1.21615,1.19224,15.32739,26.15006,2.00843,0.2485,0.03866,0.05301,0.20433,2.52865,2.97966
"45","2021_Q4",48.41546875,"Up",370310000,-265105000,105205000,-66509000,-66509000,38696000,136000,-652000,788000,38832000,-166000,38666000,-9481000,29185000,-5122000,-5122000,24063000,24050000,24050000,33144000,33144000,438024000,15268000,15268000,710857000,100787000,384089000,131549000,108312000,34790000,67315000,484876000,1195733000,305767000,128808000,176959000,131879000,40725000,40725000,478371000,68000,118742000,118742000,118810000,597181000,157447000,-81963000,519126000,-7592000,587018000,598552000,1195733000,24063000,7060000,7433000,17429000,55985000,-7697000,-23066000,-5544000,-5635000,-15422000,-15422000,-26601000,6318000,6318000,-627000,5691000,45756000,131947000,64969000,0.2841,0.1045,0.06495,0.04018,0.02011,2.70141,1.486,0.99771,0.11035,1.08327,1.06049,16.67958,26.44059,2.92635,0.24971,0.03485,0.0765,0.23052,2.15935,2.55331
"46","2022_Q1",45.4817741935484,"Down",309877000,-221207000,88670000,-64231000,-64231000,24439000,574000,-672000,1246000,25013000,-226000,24787000,-4729000,20058000,-1328000,-1328000,18730000,18694000,18694000,21755000,21755000,491023000,198427000,17823000,711205000,102786000,383970000,131652000,106234000,36126000,65871000,486756000,1197961000,302896000,137167000,165729000,128415000,45058000,45058000,476369000,21000,108944000,108944000,108965000,585334000,153249000,-75819000,532319000,-8169000,601580000,612627000,1197961000,18730000,7083000,3354000,-22741000,6426000,-6469000,-7209000,-5501000,-3716000,-343999.999999996,-344000,-10101000,-10884000,-10884000,-505000,-11389000,31522000,128436000,7040999.99999999,0.28615,0.07887,0.06033,0.03051,0.0156,0.37664,1.49297,0.95545,0.10721,0.85923,0.84432,14.24291,27.65048,0.32363,0.25284,0.02846,0.00828,0.29427,3.38433,4.36519
"47","2022_Q2",40.5643548387097,"Down",322831000,-232991000,89840000,-62884000,-62884000,26956000,644000,-805000,1449000,27600000,-40999.9999999999,27559000,-7005000,20554000,-1116000,-1116000,19438000,19446000,19446000,19999000,19999000,556642000,242774000,17471000,819415000,102984000,388010000,131538000,104344000,35964000,70646000,490994000,1310409000,297471000,139392000,158079000,248685000,31972000,31972000,578128000,49975744.5516789,109368000,109368000,109368000,687496000,155478000,-80622000,545830000,-8815000,611871000,622913000,1310409000,19438000,6952000,4374000,-134726000,-103962000,-6449000,-6449000,-5935000,120784000,-6517000,-6517000,108332000,-2079000,-2079000,323000,-1756000,33908000,248685000,-100262000,0.27829,0.0835,0.06024,0.03122,0.01484,-5.15592,1.41736,1.10368,0.18978,0.88441,0.86484,14.68249,27.82815,-4.55996,0.26993,0.02587,-0.10221,0.3052,6.74431,8.48368
"48","2022_Q3",39.126875,"Down",359412000,-263061000,96351000,-68468000,-68468000,27883000,119000,-1821000,1940000,28002000,-3000,27999000,-7122000,20877000,-1666000,-1666000,19211000,19126000,19126000,14186000,14186000,572820000,255855000,26198000,842861000,104931000,378760000,131125000,101649000,34086000,67015000,483691000,1326552000,310281000,140082000,170199000,63954000,35985000,35985000,410220000,203500000,100183000,100183000,303683000,713903000,156989000,-99294000,559069000,-15178000,601586000,612649000,1326552000,19211000,6941000,4367000,-21890000,8629000,-6754000,-6754000,-5887000,20438000,-19088000,-19088000,-6665000,-4790000,-4790000,-1023000,-5813000,34824000,267454000,13302000,0.26808,0.07758,0.05321,0.03122,0.01442,0.69549,2.05466,1.16527,0.20162,0.87021,0.85088,16.35289,27.37156,0.60523,0.26785,0.02552,0.01357,0.3078,7.2728,9.08324
