"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2019_Q3",25.62921875,"Up",134094000,-88775000,45319000,-27241000,-17637000,-9054000,-8583000,-9604000,18078000,-6238000,-758000,-1562000,-5480000,11840000,11209000,-591000,10618000,10618000,10618000,10618000,205959000,205959000,97537000,97537000,20094000,26261000,26261000,349851000,21532000,110135000,52409000,131667000,481518000,106993000,65989000,41004000,33577000,33577000,143613000,120744000,82288000,38456000,220634000,364247000,449803000,-332946000,414000,117271000,117271000,481518000,10618000,4122000,11917000,-11885000,14772000,-2518000,-2518000,91336000,30042000,30042000,115378000,127632000,127632000,240000,127872000,22200000,102933000,8388000,0.33796,0.13482,0.07918,0.09054,0.02205,0.78998,2.43607,3.10603,0.21377,0.09338,0.07428,1.17929,1.03134,0.07377,0.03114,0.0246,-4.64081,-5.69897
"31","2019_Q4",22.75953125,"Down",180057000,-115351000,64706000,-30531000,-19446000,-9551000,-9895000,-11085000,34175000,-2335000,-1392000,-2286000,-943000,31840000,31371000,-272000,31099000,31099000,31099000,31099000,203046000,203046000,133689000,133689000,30231000,24551000,24551000,391517000,23532000,108620000,52076000,132152000,523669000,109440000,60692000,48748000,34295000,34295000,146819000,123583000,85746000,37837000,224561000,371380000,453567000,-301847000,569000,152289000,152289000,523669000,31099000,3857000,7884000,-37879000,4961000,-4192000,-4192000,-1095000,2393000,2393000,-3140000,-2371000,-2371000,-542000,-2913000,38032000,104062000,-3767000,0.35936,0.1898,0.17272,0.20421,0.05939,-0.12113,2.66666,2.43865,0.19872,0.25437,0.23115,1.47276,1.24564,-0.03081,0.08185,-0.00991,-2.60265,-2.89639
"32","2020_Q1",37.6898387096774,"Up",210032000,-132151000,77881000,-32308000,-21140000,-10690000,-10450000,-11168000,45573000,-21000,-1488000,-2303000,1467000,45552000,44421000,72245000,116666000,116666000,116666000,116666000,251409000,251409000,145413000,145413000,32056000,70779000,26079000,499657000,28936000,184630000,54737000,213566000,713223000,114644000,57474000,57170000,81783000,81783000,199311000,139041000,100204000,38837000,241700000,441011000,458316000,-185181000,-923000,272212000,272212000,713223000,116666000,2568000,-64358000,47395000,102271000,-7420000,-7420000,111721000,-27759000,-27759000,-1966000,92885000,92885000,435000,93320000,48141000,105543000,15871000,0.37081,0.21698,0.55547,0.42859,0.16358,0.13604,2.50692,1.6201,0.14798,0.95089,0.87565,1.71186,2.21866,0.12936,0.22575,0.03071,-3.02997,-3.20071
"33","2020_Q2",47.7909523809524,"Up",205545000,-124870000,80675000,-35963000,-24087000,-11772000,-12315000,-11876000,44712000,-2988000,-2064000,-3155000,-924000,41724000,57068000,11868000,68936000,68936000,68936000,68936000,549144000,549144000,95484000,95484000,34617000,72452000,27752000,751697000,30500000,248590000,107669000,279090000,1030787000,94033000,34538000,59495000,39022000,39022000,233622000,185742000,106205000,79537000,480958000,714580000,433543000,-116245000,-1091000,316207000,316207000,1030787000,68936000,3844000,-17503000,-16055000,39222000,-3353000,-3353000,384563000,1979000,1979000,262071000,297940000,297940000,-205000,297735000,48556000,395783000,17280000,0.39249,0.21753,0.33538,0.21801,0.06688,0.25067,3.21758,2.25985,0.38396,0.55805,0.49916,1.66391,2.55974,0.13988,0.07679,0.01925,-3.15844,-3.42997
"34","2020_Q3",66.9709375,"Up",125538000,-77151000,48387000,-37533000,-24341000,-12371000,-11970000,-13192000,10854000,-5017000,-5670000,-5952000,653000,5837000,-53855000,6560999.99999999,-47294000,-47294000,-47294000,-47294000,607254000,607254000,89504000,89504000,31186000,29257000,29257000,757201000,32972000,207754000,61013000,240726000,997927000,80996000,24135000,56861000,40256000,40256000,223523000,151054000,110977000,40077000,404228000,627751000,534868000,-163539000,-1153000,370176000,370176000,997927000,-47294000,4141000,70378000,-1794000,25431000,-4451000,-4451000,-591000,2867000,2867000,-7594000,13386000,13386000,24000,13410000,14995000,355445000,2189000,0.38544,0.08646,-0.37673,-0.12776,-0.04739,-0.0462799999999999,3.38758,1.69582,0.35618,-0.37654,-0.3385,0.99948,2.94719,0.01743,-0.05395,0.0025,-16.79286,-23.19965
"35","2020_Q4",126.82578125,"Up",178503000,-83522000,94981000,-43222000,-28170000,-14645000,-13525000,-15052000,51759000,-6914000,-5883000,-5993000,-1031000,44845000,44845000,-5483000,39362000,39362000,39362000,39362000,661792000,661792000,122386000,122386000,37535000,28521000,28521000,850234000,35187000,206919000,66485000,242106000,1092340000,111111000,48148000,62963000,41738000,41738000,256519000,163163000,115757000,47406000,419615000,676134000,540739000,-124177000,-356000,416206000,416206000,1092340000,39362000,4765000,24950000,-1576000,67501000,-3903000,-3903000,-91325000,-138000,-138000,-9164000,54434000,54434000,104000,54538000,56524000,360122000,56528000,0.5321,0.28996,0.22051,0.09457,0.03603,1.43611,3.31451,1.62452,0.32968,0.3121,0.27564,1.41536,3.30013,0.44822,0.0419,0.06017,-5.33702,-5.82836
"36","2021_Q1",179.507704918033,"Up",264839000,-142901000,121938000,-42824000,-27023000,-16448263.4780619,-17509807.5088282,-15801000,79114000,-4725000,-5228000,-5270418.47052792,503000,74389000,71352000,1639000,72991000,72991000,72991000,72991000,679379000,679379000,182165000,182165000,41764000,29756000,29756000,933064000,42985000,224053000,77558000,267038000,1200102000,160411000,72609000,87802000,47665000,47665000,534043000,177168000,125473000,51695000,182066000,716109000,534745000,-51186000,434000,483993000,483993000,1200102000,72991000,5353000,11064000,-5228000,84180000,-8851000,-13861000,-23530000,3687000,3687000,-53635000,16684000.0000001,16684000.0000001,903000,17586999.9999999,84467000,330865000,68749000,0.46042,0.29872,0.27561,0.15081,0.06082,0.94188,1.74717,1.47959,0.2757,0.57477,0.49637,2.08548,3.81121,0.54136,0.07358,0.0693,-4.12604,-4.40521
"37","2021_Q2",146.678253968254,"Down",301754000,-178805000,122949000,-61563000,-39745000,-19622000,-20123000,-21818000,61386000,-6683000,-7256000,-7329000,573000,54703000,-1666000,33364000,31698000,31698000,31698000,31698000,1489010000,1489010000,236090000,236090000,34876000,31386000,31386000,1791362000,53648000,349189000,108003000,402837000,2194199000,210999000,81524000,129475000,49118000,49118000,344473000,199012000,142985000,56027000,1116885000,1461358000,751689000,-19488000,640000,732841000,732841000,2194199000,31698000,5558000,2.6e+07,12585000,75841000,-9940000,-90179000,1120955000,214000,214000,824671000,810333000,810333000,-702000,809631000,66944000,1002229000,36225000,0.40745,0.20343,0.10505,0.04325,0.01445,1.14282,5.2003,1.9941,0.45676,0.24141,0.21645,2.29815,5.5813,0.27589,0.01639,0.01873,-7.27147,-7.92984
"38","2021_Q3",171.5875,"Up",316057000,-188256000,127801000,-68401000,-45693000,-25586000,-20107000,-22708000,59400000,-13041000,-12408000,-12506000,-633000,46359000,46346000,-6995000.00000001,39351000,39351000,39351000,39351000,1312261000,1312261000,281154000,281154000,37756000,34748000,34748000,1665919000,63211000,371526000,134225000,434737000,2100656000,216384000,82141000,134243000,55084000,55084000,356593000,230649000,165645000,65004000,1159664000,1516257000,762612000,-180137000,1924000,584399000,584399000,2100656000,39351000,7596000,32191000,-13478000,65660000,-16428000,184372000,-221828000,-196572000,-196572000,-426557000,-176525000,-176525000,-224000,-176749000,66996000,1014140000,44085000,0.40436,0.18794,0.12451,0.06734,0.01873,1.1203,4.67177,2.59456,0.48277,0.2997,0.26871,2.40708,4.45077,0.33575,0.02151,0.0241,-4.44983,-5.01887
"39","2021_Q4",208.63546875,"Up",351519000,-211161000,140358000,-103007000,-73596000,-30168269.6653902,-25647783.073768,-29411000,37351000,-11644000,-12518000,-12169421.7083765,874000,25707000,25707000,-3898000,21809000,21809000,21809000,21809000,1394123000,885546000,273012000,273012000,65405000,35541000,35541000,1768081000,73445000,388638000,151296000,462083000,2230164000,248184000,92213000,155971000,59232000,59232000,393455000,248650000,177249000,71401000,1188894000,1582349000,806295000,-158328000,-152000,647815000,647815000,2230164000,21809000,8255000,60174000,23116000,113354000,-12932000,-757222000,0,42000,200042000,217529000,-426339000,-426339000,-376000,-426715000,45606000,1026283000,59688000,0.39929,0.10626,0.06204,0.03367,0.00978,2.73685,4.49373,2.44259,0.46018,0.1631,0.15241,2.62879,4.8446,0.44637,0.01134,0.03104,-8.06561,-9.8482
"40","2022_Q1",157.125806451613,"Down",412719000,-249405000,163314000,-105619000,-74030000,-34463589.7870665,-33815380.1378524,-31589000,57695000,-7039000,-12275000,-7463168.35987594,5236000,50656000,50541000,2050000,52591000,52591000,52591000,52591000,1016651000,119316000,333626000,333626000,74400000,37784000,37784000,1462461000,82167000,534628000,133146000,616795000,2079256000,291074000,113767000,177307000,62670000,62670000,439796000,257698000,187186000,70512000,1209292000,1649088000,837925000,-405737000,-2020000,430168000,430168000,2079256000,52591000,9437000,42305000,-7160000,97173000,-13208000,-556518000,-2629000,-296200000,3800000.00000006,-306232000,-765577000,-765577000,-653000,-766230000,67132000,1037646000,44714000,0.3957,0.13979,0.12743,0.12226,0.02529,0.85022,3.32532,3.83359,0.49905,0.38185,0.38782,2.99665,3.12334,0.32466,0.03048,0.02591,0.31274,0.363899999999997
"41","2022_Q2",180.774677419355,"Up",441292000,-264319000,176973000,-115149000,-79430000,-41344000,-38086000,-35719000,61824000,-4417000,-2276000,-2736000,-2141000,57407000,57407000,-5586000,51821000,51821000,51821000,51821000,1063471000,251850000,358310000,358310000,96436000,40566000,40566000,1558783000,85073000,619421000,140320000,704494000,2263277000,297844000,104738000,193106000,68693000,68693000,453756000,281589000,202711000,78878000,1478539000,1932295000,666512000,-328206000,-7324000,330982000,330982000,2263277000,51821000,15558000,54204000,-19140000,102443000,-12375000,39735000,-2484911680.10185,404000,404000,-8940000,133238000,133238000,-704000,132534000,77382000,1284169000,51453000,0.40103,0.1401,0.11743,0.15657,0.0229,0.9929,3.43529,5.83807,0.56739,0.38409,0.36628,3.27077,2.45317,0.38136,0.02732,0.02713,2.85206,3.56978
"42","2022_Q3",269.72328125,"Up",530196000,-311191000,219005000,-124969000,-85713000,-53588000,-32125000,-39256000,94036000,-1828000,-1372000,-2168000,-456000,92208000,92208000,-15232000,76976000,76976000,76976000,76976000,1247801000,495473000,312451000,312451000,130266000,45474000,45474000,1735992000,86778000,614338000,146140000,701116000,2437108000,317514000,90398000,227116000,74067000,74067000,480010000,308313000,217095000,91218000,1506099000,1986109000,713474000,-251230000,-11245000,450999000,450999000,2437108000,76976000,15247000,67759000,40668000,200650000,-8691000,44490999.9999999,-9235916040.30556,4183000,4183000,-1280000,243861000,243861000,-238000,243623000,109283000,1286215000,156492000,0.41306,0.17736,0.14518,0.17068,0.03158,2.033,3.61657,4.4038,0.52776,0.56937,0.53558,3.92168,3.33589,1.15752,0.03763,0.0765,0.35151,0.4085
