"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",31.2971428571429,"Up",4.648e+09,-2.944e+09,1.704e+09,-6.6e+08,-1.87e+08,-4.73e+08,-3.72529029846191e-09,1.044e+09,-1.19e+08,-1.53e+08,-1.61e+08,8e+06,3.4e+07,9.25e+08,9.25e+08,-3.8e+07,7e+06,8.94e+08,8.94e+08,8.94e+08,8.94e+08,3.898e+09,3.633e+09,2.891e+09,3e+09,1.56e+08,1.56e+08,9.945e+09,1.9098e+10,6.27e+08,2.685e+09,4.25e+08,3.91e+08,2.241e+10,3.2355e+10,3.801e+09,3.801e+09,1.117e+09,2.89e+08,5.207e+09,1.1336e+10,6.77e+08,6.77e+08,1.2013e+10,1.722e+10,8.114e+09,1.11e+08,8.003e+09,6.247e+09,-7e+06,1.4287e+10,1.5135e+10,3.2355e+10,8.94e+08,1.003e+09,7.4e+07,5.5e+07,-4e+07,-5.66e+08,-3.72e+08,3.5e+07,1e+08,-3.29e+08,1.405e+09,-1.164e+09,-1.164e+09,-6.66e+08,1.5e+07,-4.449e+09,-3.68e+08,2.882e+09,2.553e+09,-4.91e+08,-4.91e+08,-4.82e+08,2.047e+09,1.2453e+10,3.55e+08,0.36661,0.22461,0.19234,0.05907,0.02763,0.39709,1.90993,1.13776,0.38489,0.81347,0.77069,4.2293,13,0.32302,0.03163,0.01256,4.17929,8.19443999999999
"31","2017_Q4",42.6366666666667,"Up",5.566e+09,-2.957e+09,2.609e+09,-6.46e+08,-2.04e+08,-4.34e+08,-8e+06,1.963e+09,-2.26e+08,-1.43e+08,-1.53e+08,1e+07,-8.3e+07,1.737e+09,1.737e+09,-9.2e+07,2e+06,1.647e+09,1.647e+09,1.647e+09,1.647e+09,4.33e+09,4.048e+09,3.497e+09,3.064e+09,1.32e+08,1.32e+08,1.1023e+10,1.9014e+10,4.86e+08,2.744e+09,4.05e+08,4.44e+08,2.2244e+10,3.3267e+10,3.656e+09,3.656e+09,1.161e+09,3.26e+08,5.143e+09,1.051e+10,5.95e+08,5.95e+08,1.1105e+10,1.6248e+10,8.333e+09,1.11e+08,8.222e+09,7.893e+09,1.2e+07,1.6171e+10,1.7019e+10,3.3267e+10,1.647e+09,1.021e+09,1.69e+08,5.7e+07,9.1e+07,-4.3e+08,-5.65e+08,-6.6e+07,1.12e+08,8.9e+07,2.407e+09,-1.041e+09,-1.041e+09,96999999.9999999,7e+07,-8.74e+08,-1.218e+09,4.4e+07,-1.134e+09,3.99e+08,3.99e+08,4.17e+08,2.984e+09,1.1671e+10,1.605e+09,0.46874,0.35268,0.2959,0.09677,0.04951,0.9745,2.1433,0.9547,0.35083,1.48915,1.39932,5.03255,14.62116,1.45118,0.05624,0.05481,2.46012,3.73968
"32","2018_Q1",47.377868852459,"Up",6.138e+09,-3.026e+09,3.112e+09,-6.1e+08,-1.93e+08,-4.47e+08,3e+07,2.502e+09,-1.81e+08,-1.32e+08,-1.48e+08,1.6e+07,-4.9e+07,2.321e+09,2.321e+09,4.7e+07,1e+06,2.369e+09,2.369e+09,2.368e+09,2.368e+09,5.428e+09,5.109e+09,3.759e+09,3.123e+09,1.47e+08,1.47e+08,1.2457e+10,1.9431e+10,6.17e+08,2.831e+09,3.87e+08,4.5e+08,2.2879e+10,3.5336e+10,3.664e+09,3.664e+09,1.262e+09,4.08e+08,5.334e+09,9.893e+09,6.39e+08,6.39e+08,1.0532e+10,1.5866e+10,8.399e+09,1.12e+08,8.287e+09,1.026e+10,2.9e+07,1.8621e+10,1.947e+10,3.5336e+10,2.369e+09,1.066e+09,2.4e+07,5.7e+07,6.9e+07,-2.56e+08,-3.13e+08,-5.8e+07,5.3e+07,61999999.9999999,3.203e+09,-1.265e+09,-1.265e+09,-1.83e+08,1.7e+08,-1.278e+09,-7.84e+08,-1.08e+08,-8.58e+08,1.067e+09,1.067e+09,1.07e+09,3.568e+09,1.1155e+10,2e+09,0.50701,0.40762,0.38579,0.12162,0.06701,0.84459,2.3354,0.81489,0.31568,2.13141,1.99327,5.52475,16.76058,1.80018,0.07574,0.06397,1.6051,2.28897
"33","2018_Q2",53.53,"Up",6.803e+09,-3.056e+09,3.747e+09,-6.5e+08,-1.91e+08,-4.48e+08,-1.1e+07,3.097e+09,-3.05e+08,-1.01e+08,-1.24e+08,2.3e+07,-2.04e+08,2.792e+09,2.792e+09,-1.14e+08,0,2.678e+09,2.678e+09,2.678e+09,2.678e+09,6.174e+09,6.008e+09,3.876e+09,3.16e+09,1.48e+08,1.48e+08,1.3358e+10,2.0723e+10,3.14e+08,2.796e+09,3.68e+08,4.69e+08,2.3833e+10,3.7191e+10,3.766e+09,3.766e+09,1.401e+09,4.16e+08,5.583e+09,7.662e+09,5.53e+08,5.53e+08,8.215e+09,1.3798e+10,9.564e+09,1.16e+08,9.448e+09,1.2938e+10,2.4e+07,2.2526e+10,2.3393e+10,3.7191e+10,2.678e+09,1.09e+09,3.12e+08,5.1e+07,2.24e+08,-4.44e+08,-1.21e+08,-3.7e+07,-2.3e+08,-5.6e+07,3.636e+09,-1.956e+09,-1.956e+09,4.53e+08,6.9e+07,-1.434e+09,-2.744e+09,1.3e+07,-1.282e+09,9.2e+08,9.2e+08,9.14e+08,4.187e+09,9.063e+09,1.901e+09,0.55079,0.45524,0.39365,0.11448,0.07201,0.70986,2.39262,0.58983,0.24369,2.36155,2.18612,5.99912,19.8642,1.67637,0.08113,0.05759,0.68999,0.93284
"34","2018_Q3",49.9215873015873,"Down",7.351e+09,-3.081e+09,4.27e+09,-7.03e+08,-1.96e+08,-5.23e+08,1.6e+07,3.567e+09,-1.14e+08,-6.1e+07,-8.8e+07,2.7e+07,-5.3e+07,3.453e+09,3.453e+09,-1.43e+08,1e+06,3.311e+09,3.311e+09,3.309e+09,3.309e+09,8.042e+09,7.828e+09,4.437e+09,3.184e+09,1.73e+08,1.73e+08,1.5836e+10,2.1864e+10,5.2e+08,3.043e+09,3.48e+08,4.41e+08,2.5427e+10,4.1263e+10,4.194e+09,4.194e+09,1.514e+09,4.27e+08,6.135e+09,7.816e+09,7.46e+08,7.46e+08,8.562e+09,1.4697e+10,9.72e+09,1.16e+08,9.604e+09,1.6247e+10,4.3e+07,2.5697e+10,2.6566e+10,4.1263e+10,3.311e+09,1.151e+09,-1.98e+08,5.2e+07,4.9e+07,8.4e+07,-5.09e+08,-2.5e+07,4.08e+08,2.1e+08,4.348e+09,-2.261e+09,-2.261e+09,-2.55e+08,1.07e+08,-2.409e+09,-6.35e+08,4.59e+08,-1.38e+08,1.801e+09,1.801e+09,1.811e+09,4.718e+09,9.33e+09,2.684e+09,0.58087,0.48524,0.45014,0.12456,0.08019,0.81112,2.58126,0.55323,0.22611,2.86246,2.67286,6.359,22.22924,2.3218,0.09031,0.07325,0.273,0.36109
"35","2018_Q4",37.5225396825397,"Down",7.797e+09,-3.074e+09,4.723e+09,-7.7e+08,-2.11e+08,-6.03e+08,4.4e+07,3.953e+09,-2.37e+08,-4.4e+07,-8e+07,3.6e+07,-1.93e+08,3.716e+09,3.716e+09,1.09e+08,-2e+06,3.823e+09,3.823e+09,3.823e+09,3.823e+09,7.071e+09,6.808e+09,4.912e+09,3.369e+09,1.47e+08,1.47e+08,1.5499e+10,2.2705e+10,4.87e+08,3.154e+09,3.34e+08,6.03e+08,2.6346e+10,4.1845e+10,3.998e+09,3.998e+09,1.454e+09,4.31e+08,5.883e+09,5.895e+09,5.49e+08,5.49e+08,6.444e+09,1.2327e+10,8.986e+09,1.17e+08,8.869e+09,2.007e+10,2.2e+07,2.8649e+10,2.9518e+10,4.1845e+10,3.823e+09,1.233e+09,2.85e+08,4.8e+07,1.91e+08,-1.08e+09,-5.47e+08,-1.84e+08,-2.7e+07,-3.22e+08,4.261e+09,-2.411e+09,-2.411e+09,-1.6e+07,1.83e+08,-2.244e+09,-3.388e+09,2.85e+08,-3.023e+09,-1.006e+09,-1.006e+09,-1.014e+09,5.186e+09,7.349e+09,1.586e+09,0.60575,0.50699,0.49032,0.12951,0.09136,0.41486,2.63454,0.41761,0.17562,3.29853,3.09555,6.72735,24.71872,1.36842,0.10218,0.04239,0.05361,0.07033
"36","2019_Q1",38.237868852459,"Up",8.44e+09,-3.289e+09,5.151e+09,-7.74e+08,-2.15e+08,-5.67e+08,8e+06,4.377e+09,-3.1e+07,-1.6e+07,-5e+07,3.4e+07,-1.5e+07,4.346e+09,4.346e+09,-2e+07,4.65661287307739e-10,4.326e+09,4.326e+09,4.325e+09,4.325e+09,6.802e+09,6.506e+09,5.478e+09,3.595e+09,1.64e+08,1.64e+08,1.6039e+10,2.3672e+10,4.73e+08,3.192e+09,3.31e+08,6.11e+08,2.7337e+10,4.3376e+10,4.374e+09,4.374e+09,8.59e+08,5.21e+08,5.754e+09,3.78e+09,5.81e+08,5.81e+08,4.361e+09,1.0115e+10,8.318e+09,1.17e+08,8.201e+09,2.4395e+10,1e+07,3.2294e+10,3.3261e+10,4.3376e+10,4.326e+09,1.285e+09,20000000.0000001,4.7e+07,2.2e+07,-4.76e+08,-5.57e+08,-2.26e+08,5.17e+08,-2.1e+08,5.155e+09,-2.251e+09,-2.251e+09,-1.8e+07,1.4e+08,-2.129e+09,-3.427e+09,7.7e+07,-3.333e+09,-3.07e+08,-3.07e+08,-3.4e+08,5.662e+09,4.639e+09,2.955e+09,0.61031,0.5186,0.51244,0.13003,0.09971,0.68324,2.78745,0.30411,0.10695,3.73167,3.5509,7.28214,27.86368,2.54961,0.11239,0.07679,-0.38202,-0.49417
"37","2019_Q2",37.7122222222222,"Down",7.913e+09,-3.298e+09,4.615e+09,-8.56e+08,-2.09e+08,-6.11e+08,-3.6e+07,3.759e+09,1.4e+07,5e+06,-3.3e+07,3.8e+07,9e+06,3.773e+09,3.773e+09,-4.77e+08,1582739.8741502,3.296e+09,3.296e+09,3.293e+09,3.293e+09,5.563e+09,4.447e+09,5.418e+09,3.876e+09,1.82e+08,1.82e+08,1.5039e+10,2.4807e+10,1.565e+09,3.184e+09,3.56e+08,7.58e+08,2.9556e+10,4.4595e+10,4.2e+09,4.2e+09,3.98e+08,5.91e+08,5.189e+09,3.736e+09,8.34e+08,8.34e+08,4.57e+09,9.759e+09,8.467e+09,1.17e+08,8.35e+09,2.7769e+10,-5e+06,3.3869e+10,3.4836e+10,4.4595e+10,3.296e+09,1.335e+09,2.57e+08,6.1e+07,4e+06,-7.8e+07,1.89e+08,-2.86e+08,-4.6e+07,6.5e+07,4.81e+09,-2.7e+09,-2.7e+09,-1.91e+09,1.83e+08,-4.427e+09,-5.77e+08,-3.7e+07,-2.435e+09,-2.052e+09,-2.052e+09,-2.062e+09,5.094e+09,4.134e+09,2.793e+09,0.58322,0.47504,0.41615,0.09453,0.07384,0.84816,2.89825,0.28014,0.0927,2.90644,2.80494,6.98411,29.8932,2.46514,0.08273,0.07017,-0.28053,-0.38015
"38","2019_Q3",44.75234375,"Up",5.835e+09,-2.971e+09,2.864e+09,-9.07e+08,-2.09e+08,-6.01e+08,-9.7e+07,1.957e+09,-5.3e+07,3.1e+07,-2.7e+07,5.8e+07,-8.4e+07,1.904e+09,1.904e+09,-2.8e+08,1e+06,1.625e+09,1.625e+09,1.619e+09,1.619e+09,7.533e+09,6.353e+09,4.416e+09,4.39e+09,2.11e+08,2.11e+08,1.655e+10,2.6204e+10,1.614e+09,3.119e+09,3.5e+08,7.79e+08,3.0937e+10,4.7487e+10,4.062e+09,4.062e+09,2.634e+09,6.65e+08,7.361e+09,3.606e+09,9.93e+08,9.93e+08,4.599e+09,1.196e+10,8.261e+09,1.18e+08,8.143e+09,2.9364e+10,6e+06,3.4567e+10,3.5527e+10,4.7487e+10,1.625e+09,1.313e+09,2.79e+08,5.7e+07,9.4e+07,2.18e+08,1.013e+09,-5.14e+08,-2.8e+08,-1000000.00000003,3.435e+09,-2.649e+09,-2.649e+09,-1.05e+08,2.62e+08,-2.492e+09,-1.28e+08,1.735e+09,9.52e+08,1.895e+09,1.895e+09,1.904e+09,3.27e+09,6.24e+09,1.119e+09,0.49083,0.33539,0.27746,0.04557,0.03409,0.69117,2.24834,0.33665,0.1314,1.45332,1.41893,5.23788,31.02962,1.00449,0.03786,0.02617,-0.39541,-0.66071
"39","2019_Q4",47.26515625,"Up",4.788e+09,-2.96e+09,1.828e+09,-8.18e+08,-2.06e+08,-6.06e+08,-6e+06,1.01e+09,-2.94e+08,2.3e+07,-2.9e+07,5.2e+07,-3.17e+08,7.16e+08,7.16e+08,1.35e+08,0,8.51e+08,8.51e+08,8.4e+08,8.4e+08,6.689e+09,5.157e+09,3.257e+09,4.905e+09,2.15e+08,2.15e+08,1.5066e+10,2.7138e+10,1.167e+09,2.917e+09,3.39e+08,5.33e+08,3.1222e+10,4.6288e+10,3.494e+09,3.494e+09,1.346e+09,5.57e+08,5.397e+09,3.564e+09,1.039e+09,1.039e+09,4.603e+09,1e+10,8.335e+09,1.18e+08,8.217e+09,3.0201e+10,8e+06,3.5323e+10,3.6288e+10,4.6288e+10,8.51e+08,1.36e+09,2.6e+08,5.8e+07,3.27e+08,2.4e+08,1.171e+09,-5.15e+08,-3.77e+08,-3.9e+07,2.711e+09,-2.403e+09,-2.403e+09,97999999.9999995,2.39e+08,-2.066e+09,-1.671e+09,-3.7e+07,-1.847e+09,-1.202e+09,-1.202e+09,-1.195e+09,2.37e+09,4.91e+09,7.2e+07,0.38179,0.21094,0.17544,0.02315,0.01815,0.08571,2.79155,0.27557,0.10608,0.76018,0.74402,4.33303,31.96652,0.06516,0.01989,0.0017,-0.75063,-1.76139
"40","2020_Q1",51.4645161290323,"Up",4.87e+09,-3.475e+09,1.395e+09,-7.45e+08,-2.12e+08,-6.23e+08,9e+07,6.5e+08,4999999.99999994,1.8e+07,-3.9e+07,5.7e+07,-1.3e+07,6.55e+08,6.55e+08,-7.1e+07,2e+06,5.86e+08,5.86e+08,5.61e+08,5.61e+08,7.955e+09,7.152e+09,3.195e+09,5.118e+09,2.35e+08,2.35e+08,1.6503e+10,2.824e+10,1.164e+09,2.98e+09,3.4e+08,5.75e+08,3.2384e+10,4.8887e+10,4.626e+09,4.626e+09,1.31e+09,4.54e+08,6.39e+09,4.541e+09,1.088e+09,1.088e+09,5.629e+09,1.2019e+10,8.332e+09,1.18e+08,8.214e+09,3.0761e+10,9e+06,3.5881e+10,3.6868e+10,4.8887e+10,5.86e+08,1.416e+09,-5.5e+07,6.7e+07,-7.7e+07,2.86e+08,5.8e+07,-1.74e+08,5.29e+08,-1.27e+08,2.233e+09,-2.028e+09,-2.028e+09,7.44e+08,1.84e+08,-1.1e+09,2.586e+09,-1.58e+09,892000000.000001,2.025e+09,2.025e+09,2.045e+09,2.066e+09,5.851e+09,3.95e+08,0.28645,0.13347,0.1152,0.01522,0.01148,0.7041,2.58263,0.326,0.11968,0.50815,0.49734,4.41123,32.50091,0.35779,0.01281,0.00902,-1.01839,-3.23692
"41","2020_Q2",46.6692063492063,"Down",5.144e+09,-3.778e+09,1.366e+09,-8.48e+08,-2.11e+08,-6.4e+08,3e+06,5.18e+08,4.3e+07,-3e+06,-4.7e+07,4.4e+07,4.6e+07,5.61e+08,5.61e+08,-5.5e+07,2e+06,5.08e+08,5.08e+08,4.91e+08,4.91e+08,7.588e+09,6.969e+09,3.419e+09,4.943e+09,2.17e+08,2.17e+08,1.6167e+10,2.9352e+10,5.99e+08,3.531e+09,3.33e+08,1.187e+09,3.3482e+10,4.9649e+10,5.408e+09,5.408e+09,4.62e+08,4.47e+08,6.317e+09,5.188e+09,1.546e+09,1.546e+09,6.734e+09,1.3051e+10,8.547e+09,1.19e+08,8.428e+09,3.1218e+10,6e+06,3.65e+10,3.6598e+10,4.9649e+10,5.08e+08,1.296e+09,5.9e+07,7.2e+07,-3.2e+07,1.48e+08,-2.08e+08,1.75e+08,1.78e+08,3e+06,2.011e+09,-1.943e+09,-1.943e+09,7.44e+08,1e+07,-1.189e+09,-1.65e+08,-8.27e+08,-9.92e+08,-1.7e+08,-1.7e+08,-1.84e+08,1.814e+09,5.65e+09,7.4e+07,0.26555,0.1007,0.09545,0.01342,0.00989,0.15071,2.55928,0.3566,0.1138,0.44354,0.4349,4.64679,32.972,0.06685,0.01121,0.00169,-1.06836,-3.74131
"42","2020_Q3",47.9046875,"Up",4.797e+09,-3.442e+09,1.355e+09,-9.15e+08,-2.23e+08,-6.81e+08,-1.1e+07,4.4e+08,-1.3e+07,-1.2e+07,-4.6e+07,3.4e+07,-1e+06,4.27e+08,4.27e+08,-2.1e+07,1e+06,4.07e+08,4.07e+08,4.05e+08,4.05e+08,7.481e+09,7.118e+09,3.049e+09,5.208e+09,2.38e+08,2.38e+08,1.5976e+10,2.9647e+10,5.86e+08,3.439e+09,3.32e+08,1.115e+09,3.3672e+10,4.9648e+10,5.077e+09,5.077e+09,2.37e+08,5.08e+08,5.822e+09,5.188e+09,1.517e+09,1.517e+09,6.705e+09,1.2527e+10,8.844e+09,1.19e+08,8.725e+09,3.1602e+10,-9e+06,3.7023e+10,3.7121e+10,4.9648e+10,4.07e+08,1.365e+09,1.1e+08,8.5e+07,6e+06,1.19e+08,3.12e+08,-2.44e+08,7.9e+07,-2.8e+07,2.001e+09,-2.056e+09,-2.056e+09,2.72e+08,7.4e+07,-1.71e+09,-2.9e+08,7.5e+07,-2.15e+08,7.6e+07,7.6e+07,7.6e+07,1.805e+09,5.425e+09,-1.11e+08,0.28247,0.09172,0.08443,0.01091,0.00816,-0.27407,2.74407,0.33746,0.10927,0.36454,0.35746,4.31773,33.32403,-0.09991,0.00919,-0.00252,-1.13906,-4.67273
"43","2020_Q4",59.6840625,"Up",5.438e+09,-3.675e+09,1.763e+09,-8.75e+08,-2.16e+08,-6.49e+08,-1e+07,8.88e+08,-1.8e+07,-2.8e+07,-5.1e+07,2.3e+07,1e+07,8.7e+08,8.7e+08,-6.8e+07,3e+06,8.05e+08,8.05e+08,8.03e+08,8.03e+08,8.658e+09,8.267e+09,3.603e+09,5.405e+09,2.33e+08,2.33e+08,1.7899e+10,3.0081e+10,5.77e+08,3.448e+09,3.32e+08,1.113e+09,3.4106e+10,5.2005e+10,5.364e+09,5.364e+09,3.3e+08,4.91e+08,6.185e+09,6.356e+09,1.546e+09,1.546e+09,7.902e+09,1.4087e+10,8.883e+09,1.19e+08,8.764e+09,3.2402e+10,-1.1e+07,3.782e+10,3.7918e+10,5.2005e+10,8.05e+08,1.422e+09,6.9e+07,8.2e+07,-1e+06,-2.73e+08,-5.65e+08,-1.79e+08,4.43e+08,2.8e+07,2.023e+09,-1.944e+09,-1.944e+09,-1.6e+07,8e+06,-1.952e+09,1.169e+09,-9.7e+07,1.072e+09,1.143e+09,1.143e+09,1.149e+09,2.31e+09,6.686e+09,1.61e+08,0.3242,0.1633,0.14766,0.02118,0.01544,0.2005,2.89394,0.37151,0.12856,0.72212,0.70999,4.89029,34.01079,0.14478,0.0174,0.00349,-0.85368,-2.22072
"44","2021_Q1",83.9693442622951,"Up",6.056e+09,-3.988e+09,2.068e+09,-9.11e+08,-2.31e+08,-6.3e+08,-5e+07,1.157e+09,-3.2e+07,-3.7e+07,-52374333.263448,14151787.7908704,5e+06,1.125e+09,1.125e+09,-1.36e+08,1e+06,9.9e+08,9.9e+08,9.88e+08,9.88e+08,8.142e+09,7.624e+09,3.912e+09,5.373e+09,5.38e+08,5.38e+08,1.7965e+10,3.1031e+10,1.048e+09,3.634e+09,3.34e+08,1.365e+09,3.5713e+10,5.3678e+10,5.817e+09,5.817e+09,2.7e+08,5.48e+08,6.635e+09,6.373e+09,1.674e+09,1.674e+09,8.047e+09,1.4682e+10,9.036e+09,1.19e+08,8.917e+09,3.3384e+10,7.1e+07,3.8996e+10,3.8996e+10,5.3678e+10,9.9e+08,1.567e+09,9e+07,84272181.3701053,-72780137.2007364,-3.76e+08,-455884294.641928,-69415131.3395075,-210301853.7839,12629601.8454877,2.271e+09,-2.28e+09,-2.28e+09,-5.85e+08,1.27e+08,-2.738e+09,-80000000.0000002,1.49e+08,-1.82e+08,-6.49e+08,-6.49e+08,-6.3e+08,2.724e+09,6.643e+09,2.04e+08,0.34148,0.19105,0.16314,0.02534,0.01841,0.20648,2.70761,0.3765,0.12376,0.89009,0.87356,5.45586,35.13153,0.18378,0.02088,0.00431,-0.55029,-1.29559
"45","2021_Q2",83.5453968253968,"Down",5.773e+09,-4.037e+09,1.736e+09,-8.7e+08,-2.14e+08,-6.47e+08,-9e+06,8.66e+08,-2.5e+07,-3.8e+07,-4.8e+07,1e+07,1.3e+07,8.41e+08,8.41e+08,-5.1e+07,1.3e+07,8.03e+08,8.03e+08,8.03e+08,8.03e+08,7.032e+09,5.985e+09,3.691e+09,5.521e+09,2.85e+08,2.85e+08,1.6529e+10,3.2229e+10,1.264e+09,3.669e+09,3.36e+08,1.379e+09,3.7162e+10,5.3691e+10,4.856e+09,4.856e+09,2.73e+08,5.59e+08,5.688e+09,6.356e+09,1.74e+09,1.74e+09,8.096e+09,1.3784e+10,9.154e+09,1.2e+08,9.034e+09,3.4138e+10,1.1e+08,3.9907e+10,3.9907e+10,5.3691e+10,8.03e+08,1.487e+09,6.8e+07,9.2e+07,-116605541.855014,-3.91e+08,2.51e+08,1.3e+08,-7.53e+08,-1.9e+07,1.967e+09,-2.738e+09,-2.738e+09,-7.41e+08,6.1e+07,-3.418e+09,-8.4e+07,-7.3e+07,-2.14e+08,-1.665e+09,-1.665e+09,-1.638e+09,2.353e+09,6.629e+09,-7.25e+08,0.30071,0.15001,0.1391,0.02012,0.01496,-0.90286,2.90594,0.3454,0.12347,0.72018,0.70749,5.17758,35.79103,-0.65022,0.01663,-0.01502,-0.17127,-0.46536
"46","2021_Q3",74.3234375,"Down",6.236e+09,-4.587e+09,1.649e+09,-9.86e+08,-2.14e+08,-6.41e+08,-1.31e+08,6.63e+08,-2.8e+07,-3.2e+07,-4.2e+07,1e+07,4e+06,6.35e+08,6.35e+08,-4.8e+07,1.6e+07,6.03e+08,6.03e+08,6.03e+08,6.03e+08,7.184e+09,6.507e+09,3.353e+09,4.743e+09,1.999e+09,5.38e+08,1.7279e+10,3.1848e+10,1.316e+09,3.692e+09,3.42e+08,1.396e+09,3.6856e+10,5.4135e+10,4.55e+09,4.55e+09,3.23e+08,5.6e+08,5.433e+09,6.298e+09,1.741e+09,1.741e+09,8.039e+09,1.3472e+10,9.354e+09,1.2e+08,9.234e+09,3.4723e+10,8.1e+07,4.0663e+10,4.0663e+10,5.4135e+10,6.03e+08,1.549e+09,1.29e+08,9.7e+07,8000000.00000007,7.76e+08,2.82e+08,4.99e+08,-2.4e+07,1.9e+07,3.057e+09,-3.018e+09,-3.018e+09,3.16e+08,1.46e+08,-2.556e+09,-1.9e+07,4.5e+07,4999999.99999997,5.06e+08,5.06e+08,5.22e+08,2.212e+09,6.621e+09,1.8e+07,0.26443,0.10632,0.0967,0.01483,0.01114,0.02985,3.18038,0.33131,0.12231,0.53791,0.52756,5.56289,36.27386,0.0160599999999999,0.0123,0.000369999999999997,-0.25452,-0.84917
"47","2021_Q4",77.394375,"Up",7.422e+09,-4.296e+09,3.126e+09,-1.327e+09,-2.3e+08,-6.7e+08,-4.27e+08,1.799e+09,7e+06,-3.8e+07,-4.6e+07,8e+06,4.5e+07,1.806e+09,1.806e+09,-6.5e+07,-6e+06,1.735e+09,1.735e+09,1.735e+09,1.735e+09,8.349e+09,7.759e+09,4.231e+09,4.537e+09,1.444e+09,4.78e+08,1.8561e+10,3.2209e+10,1.399e+09,3.774e+09,3.5e+08,1.374e+09,3.7382e+10,5.5943e+10,4.427e+09,4.427e+09,2.97e+08,7.38e+08,5.462e+09,6.418e+09,1.804e+09,1.804e+09,8.222e+09,1.3684e+10,9.405e+09,1.2e+08,9.285e+09,3.6452e+10,4.7e+07,4.2259e+10,4.2259e+10,5.5943e+10,1.735e+09,1.557e+09,5.35e+08,9.6e+07,4.39e+08,-2.67e+08,-8.73e+08,1.85e+08,4.68e+08,-4.7e+07,3.56e+09,-2.259e+09,-2.259e+09,3000000.00000012,1.75e+08,-2.081e+09,-5.3e+07,-1.9e+07,-2.28e+08,1.251e+09,1.251e+09,1.252e+09,3.356e+09,6.715e+09,8.95e+08,0.42118,0.24239,0.23376,0.04106,0.03101,0.51585,3.39821,0.32381,0.12003,1.55188,1.52327,6.63864,37.79875,0.80054,0.03417,0.01763,-0.48689,-0.90828
"48","2022_Q1",84.5895161290323,"Up",8.274e+09,-4.362e+09,3.912e+09,-9.57e+08,-2.36e+08,-7.05e+08,-1.6e+07,2.955e+09,-1.9e+07,-3.8e+07,-70539754.4153903,-1340226.43826121,1.9e+07,2.936e+09,2.936e+09,-2.3e+08,1.4e+07,2.72e+09,2.72e+09,2.72e+09,2.72e+09,8.633e+09,7.763e+09,5.311e+09,4.487e+09,1.476e+09,5.02e+08,1.9907e+10,3.3213e+10,1.765e+09,3.964e+09,3.49e+08,1.605e+09,3.8942e+10,5.8849e+10,5.325e+09,5.325e+09,1.55e+08,9.44e+08,6.424e+09,6.621e+09,1.871e+09,1.871e+09,8.492e+09,1.4916e+10,9.575e+09,120940518.713408,9379135343.515,3.9051e+10,2e+06,4.3933e+10,4.3933e+10,5.8849e+10,2.72e+09,1.621e+09,1.01e+08,85016976.2652188,1304307160.47212,-5.58e+08,-3834627665.41392,-1529640997.33073,-399280798.406779,-353067727.092837,3.884e+09,-2.015e+09,-2.015e+09,-6.35e+08,1.16e+08,-2.534e+09,-1.76e+08,-1.08e+08,-1.344e+09,6e+06,6e+06,3e+06,4.576e+09,6.776e+09,2.233e+09,0.47281,0.35714,0.32874,0.06191,0.04622,0.82096,3.09885,0.33952,0.11514,2.42857,2.38387,7.3875,39.22589,1.99375,0.05173,0.04247,-0.40581,-0.62843
