"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",66.3090625,"Down",1662931000,-1276972000,385959000,-244450000,-214868000,-29582000,141509000,-38047000,-39075000,1028000,103462000,29985000,133447000,-47530000,85917000,-758000,-758000,85159000,85159000,85159000,73353000,73353000,831441000,831441000,64684000,166438000,166438000,1135916000,8561923000,8561923000,940425000,62874000,392260000,485291000,9502348000,10638264000,1175915000,652193000,523722000,347817000,1523732000,4869208000,2331885000,1532470000,799415000,7201093000,8724825000,1016250000,26687000,989563000,1544047000,-646858000,1913439000,1913439000,10638264000,85917000,85159000,758000,274798000,31567000,40946000,-9379000,-17339000,-44310000,-1557000,-1592000,30120000,374943000,-775976000,-775976000,-775976000,138130000,-637846000,-19606000,282412000,-1.7e+08,452412000,-22567000.0000001,5283000,5283000,0,-1529000,266560000,3657000,-549000,3108000,-1954000,1153999.99999999,416307000,5217025000,-329478000,0.2321,0.0851,0.05121,0.04451,0.008,-3.86897,0.74548,4.55976,0.4904,1.61204,1.59788,31.47881,36.22085,-6.23692,0.37114,0.01107,-0.03482,0.23023,12.35548,36.34873
"23","2015_Q4",51.6165625,"Down",1669066000,-1286467000,382599000,-230050000,-203093000,-26957000,152549000,-37614000,-38986000,1372000,114935000,24965000,139900000,-49089000,90811000,-192000,-192000,90619000,90619000,90619000,75387000,75387000,814160000,814160000,64087000,163893000,163893000,1117527000,8748879000,8748879000,953780000,60551000,390853000,502376000,9702659000,10820186000,1061503000,550305000,511198000,305759000,1367262000,5144938000,2355922000,1575507000,780415000,7500860000,8868122000,1024465000,26712000,997753000,1612744000,-685145000,1952064000,1952064000,10820186000,90811000,90619000,192000,287072000,41951000,44017000,-2066000,-7183000,9784000,269000,10933000,-28169000,412651000,-758076000,-758076000,-758076000,129361000,-628715000,-21746000,239986000,1.5e+08,89986000,-309734000,3268000,3268000,0,-2258000,219250000,3186000,-344000,2842000,-808000,2034000,439621000,5450697000,-276549000,0.22923,0.0914,0.05429,0.04642,0.00837,-3.05178,0.81735,4.54295,0.50375,1.71341,1.69912,31.5585,36.90939,-5.22896,0.41117,0.01151,-0.02834,0.23997,12.22715,35.23661
"24","2016_Q1",44.7052459016393,"Down",1672743000,-1285969000,386774000,-226461000,-198291000,-28170000,160313000,-30452000,-35571000,5119000,129861000,-18170000,111691000,-35756000,75935000,266000,266000,76201000,76201000,76201000,60945000,60945000,835489000,835489000,63725000,138143000,138143000,1098302000,8899705000,8899705000,954573000,55192000,389135000,510246000,9854278000,10952580000,1045725000,502373000,543352000,634530000,1680255000,4868097000,2417117000,1587522000,829595000,7285214000,8965469000,1032766000,26745000,1006021000,1667080000,-712735000,1987111000,1987111000,10952580000,75935000,76201000,-266000,293818000,53574000,42433000,11141000,-53598000,-16572000,173000,-54875000,17676000,369729000,-580684000,-580684000,-580684000,126707000,-453977000,-21765000,89548000,138609000,-49061000,-2473999.99999994,3238000,3238000,-2.3283064365387e-10,-3596000,67425000,-16823000,338000,-16485000,2043000,-14442000,454131000,5502627000,-144395000,0.23122,0.09584,0.04555,0.03835,0.00696,-1.89492,0.65365,4.51181,0.5024,1.43925,1.4295,31.59397,37.53161,-2.72726,0.41109,0.00989,-0.01458,0.28563,11.98263,33.94411
"25","2016_Q2",52.43515625,"Up",1629672000,-1283105000,346567000,-234554000,-204403000,-30151000,112013000,-35624000,-37889000,2265000,76389000,12319000,88708000,-32523000,56185000,-391000,-391000,55794000,55794000,55794000,56806000,56806000,822556000,822556000,65542000,149642000,149642000,1094546000,8992537000,8992537000,967447000,53588000,389382000,524477000,9959984000,11054530000,981317000,475017000,506300000,612223000,1593540000,4987217000,2428455000,1621894000,806561000,7415672000,9009212000,1038838000,26850000,1011988000,1700816000,-694336000,2045318000,2045318000,11054530000,56185000,55794000,391000,287170000,28136000,29319000,-1183000,-3489000,3709000,-1558000,49206000,-54846000,368002000,-575031000,-575031000,-575031000,145987000,-429044000,-22482000,84434000,98580000,-14146000,-312400000,1492000,1492000,0,-2932000,60512000,-530000,-101000,-631000,-3508000,-4139000,399183000,5599440000,-146814000,0.21266,0.06873,0.03424,0.02728,0.00505,-2.63136,0.68686,4.4048,0.50653,1.05121,1.04556,30.7045,38.53565,-2.76611,0.42358,0.00777,-0.01457,0.40295,13.88495,49.48206
"26","2016_Q3",52.1665625,"Down",1703744000,-1316909000,386835000,-234824000,-207028000,-27796000,152011000,-31812000,-37268000,5456000,120199000,-3419999.99999999,116779000,-42737000,74042000,-292000,-292000,73750000,73750000,73750000,65964000,65964000,850504000,850504000,66553000,143227000,143227000,1126248000,9041130000,9041130000,968749000,51618000,388278000,528853000,10009879000,11136127000,970852000,462335000,508517000,1047208000,2018060000,4586806000,2484163000,1655982000,828181000,7070969000,9089029000,1042912000,26739000,1016173000,1736839000,-732653000,2047098000,2047098000,11136127000,74042000,73750000,292000,293873000,49174000,37712000,11462000,-22067000,-42780000,-1075000,19378000,2410000,395022000,-545151000,-545151000,-545151000,150859000,-394292000,-21779000,47509000,63525000,-16016000,-16015999.9999999,-17132000,4767000,-21899000,-63000,8534999.99999999,9265000,-2e+05,9065000,92999.9999999991,9158000,445884000,5634014000,-78597000,0.22705,0.08922,0.04329,0.03603,0.00662,-1.06572,0.55808,4.43996,0.50592,1.39001,1.38168,32.11158,38.583,-1.48137,0.41048,0.0094,-0.00773,0.29531,12.48766,36.62926
"27","2016_Q4",59.0887301587302,"Up",1724418000,-1333598000,390820000,-219334000,-191337000,-27997000,171486000,-34193000,-37440000,3247000,137293000,-5595000,131698000,-46560000,85138000,-386000,-386000,84752000,84752000,84752000,74994000,74994000,856763000,856763000,67335000,138467000,138467000,1137559000,9015207000,9015207000,956007000,49994000,387730000,518283000,9971214000,11108773000,974705000,457843000,516862000,1055146000,2029851000,4464495000,2517386000,1700154000,817232000,6981881000,9011732000,1049041000,26734000,1022307000,1795445000,-747445000,2097041000,2097041000,11108773000,85138000,84752000,386000,297130000,62643000,42160000,20483000,-22873000,-30098000,-891000,15000,8101000,422038000,-391177000,-391177000,-391177000,105929000,-285248000,-23390000,-100799000,-88508000,-12291000,-12291000,-392000,3367000,-3759000,-20000,-124601000,12189000,-1007000,11182000,-2152000,9030000,468616000,5519641000,101126000,0.22664,0.09945,0.04915,0.04042,0.00763,1.1932,0.56042,4.29736,0.49687,1.60051,1.59036,32.56507,39.60193,1.90973,0.44171,0.01067,0.00998,0.27598,11.61857,31.7498
"28","2017_Q1",61.0366129032258,"Up",1700304000,-1323110000,377194000,-228978000,-201461000,-27517000,148216000,-33146000,-35246000,2100000,115070000,-44999000,70071000,-20204000,49867000,-1094000,-1094000,48773000,48773000,48773000,58801000,58801000,831947000,831947000,69529000,141280000,141280000,1101557000,8893592000,8893592000,907305000,48249000,386772000,472284000,9800897000,10902454000,952659000,445470000,507189000,791410000,1744069000,4599864000,2506246000,1688681000,817565000,7106110000,8850179000,1059281000,26732000,1032549000,1827026000,-834032000,2052275000,2052275000,10902454000,49867000,48773000,1094000,308877000,79358000,15978000,63380000,-22142000,17415000,-2382000,25721000,-62896000,415960000,-393798000,-393798000,-393798000,95035000,-298763000,-23392000,-103061000,-151395000,48334000,-328340000,-3155000,8461000,-11616000,-760000,-130368000,-13171000,-621000,-13792000,-3915000,-17707000,457093000,5391274000,61357000,0.22184,0.08717,0.02868,0.02377,0.00447,1.25801,0.6316,4.31237,0.4945,0.9207,0.91313,32.09695,38.74117,1.15825,0.44158,0.00725,0.00617,0.47961,11.66606,35.97771
"29","2017_Q2",56.1584126984127,"Down",1736983000,-1407512000,329471000,-232366000,-201095000,-31271000,97105000,-29933000,-34886000,4953000,67172000,-6550000,60622000,-22086000,38536000,-130000,-130000,38406000,38406000,38406000,37951000,37951000,862862000,862862000,67732000,144795000,144795000,1113340000,8925483000,8925483000,934984000,46905000,387096000,500983000,9860467000,10973807000,1004684000,536225000,468459000,973115000,1977799000,4353110000,2563102000,1710267000,852835000,6916212000,8894011000,1063908000,26781000,1037127000,1829114000,-813226000,2079796000,2079796000,10973807000,38536000,38406000,130000,311207000,39642000,19296000,20346000,-58036000,-27348000,1876000,13966000,-46530000,331349000,-361339000,-361339000,-361339000,112774000,-248565000,-23907000,-68608000,9513000,-78121000,-555671000,-12854000,3992000,-16846000,-846000,-106215000,-23431000,-355000,-23786000,1501000,-22285000,408312000,5326225000,11023000,0.18968,0.0559,0.02211,0.01847,0.0035,0.28701,0.56292,4.27639,0.48536,0.72539,0.71927,32.80731,39.2822,0.2082,0.45154,0.00625,0.00111,0.62248,12.95155,54.45934
"30","2017_Q3",61.8449206349206,"Up",1804394000,-1445937000,358457000,-228870000,-201464000,-27406000,129587000,-29398000,-34852000,5454000,100189000,-19335000,80854000,-29459000,51395000,-527000,-527000,50868000,50868000,50868000,55363000,55363000,916631000,916631000,67239000,137455000,137455000,1176688000,8969245000,8969245000,978851000,45676000,387922000,545253000,9948096000,11124784000,1028512000,536443000,492069000,588852000,1617364000,4795992000,2605329000,1739326000,866003000,7401321000,9018685000,1059180000,26492000,1032688000,1827139000,-780220000,2106099000,2106099000,11124784000,51395000,50868000,527000,309813000,58427000,23194000,35233000,-19289000,-47745000,648000,-6300000,34108000,400346000,-493913000,-493913000,-493913000,126048000,-367865000,-23343000,47405000,319755000,-272350000,-370328000,-39367000,2015000,-41382000,-439000,-15744000,16737000,5.82076609134674e-11,16737000,1851000,18588000,439400000,5384844000,-44343000,0.19866,0.07182,0.02819,0.02415,0.00457,-0.87173,0.72753,4.28218,0.48404,0.96592,0.96146,34.26303,39.99201,-0.84201,0.44325,0.00735,-0.00439,0.45889,12.129,41.12666
"31","2017_Q4",67.1207936507936,"Up",1824531000,-1450660000,373871000,-240695000,-212250000,-28445000,133176000,-30198000,-34853000,4655000,102978000,-8486000,94492000,-35452000,59040000,-290000,-290000,58750000,58750000,58750000,65256000,65256000,981702000,981702000,71328000,134294000,134294000,1252580000,9028196000,9028196000,978198000,44381000,395120000,538697000,10006394000,11258974000,1086387000,557216000,529171000,143942000,1230329000,5205284000,2648297000,1776226000,872071000,7853581000,9083910000,1066072000,26474000,1039598000,1855806000,-746814000,2175064000,2175064000,11258974000,59040000,58750000,290000,311752000,50227000,33330000,16897000,13477000,-69997000,-3509000,33068000,53915000,434496000,-457593000,-457593000,-457593000,117378000,-347455000,-24314000,-41502000,-327115000,285613000,-12161000,-3248000,4380000,-7628000,-232000,-69296000,17745000,-709000,17036000,-8578000,8458000,444928000,5349226000,36264000,0.20491,0.07299,0.0322,0.02701,0.00522,0.61726,1.01809,4.17639,0.47511,1.12108,1.1132,34.81597,41.50489,0.692,0.46396,0.00817,0.00356,0.41386,11.87601,39.67659
"32","2018_Q1",66.6104918032787,"Down",1931146000,-1529174000,401972000,-284800000,-256415000,-28385000,117172000,-6576000,-35759000,29183000,110596000,-32016000,78580000,564741000,643321000,490000,490000,643811000,643811000,643811000,78348000,78348000,1010908000,1010908000,73543000,160094000,160094000,1322893000,9131966000,9131966000,1009140000,42930000,395504000,570706000,10141106000,11463999000,1188906000,599303000,589603000,826069000,2014975000,4583582000,2023771000,1211129000,812642000,6607353000,8622328000,1077495000,26478000,1051017000,2471677000,-707501000,2841671000,2841671000,11463999000,643318000,643808000,-490000,322403000,-576310000,-576118000,-191999.999999996,-7616000,-28750000,-2311000,25415000,-1970000,381795000,-547591000,-547591000,-547591000,145972000,-401619000,-24249000,62949000,87366000,-24417000,-24417000,-2339000,10121000,-12460000,-221000,36140000,16316000,-381000,15935000,-313000.000000002,15622000,439575000,5409651000,-680373000,0.20815,0.06067,0.33338,0.22656,0.05616,-1.05679,0.65653,3.03425,0.47188,12.27733,12.17656,36.82652,54.19003,-12.97456,0.46242,0.06502,-0.06622,0.03766,12.12831,45.4998
"33","2018_Q2",58.39171875,"Down",1903467000,-1553348000,350119000,-242094000,-208624000,-33470000,108025000,-35271000,-37781000,2510000,72754000,-24654000,48100000,-14168000,33932000,-427000,-427000,33505000,33505000,33505000,73857000,73857000,986102000,986102000,73704000,177858000,177858000,1311521000,9386059000,9386059000,1038577000,41746000,380122000,616709000,10424636000,11736157000,1131364000,618588000,512776000,677916000,1809280000,4999770000,2068292000,1244035000,824257000,7068062000,8877342000,1080813000,26547000,1054266000,2468005000,-690003000,2858815000,2858815000,11736157000,33932000,33505000,427000,336745000,74979000,31858000,43121000,-130769000,22265000,-253000,-30851000,-121930000,314887000,-662744000,-662744000,-662744000,109700000,-553044000,-27795000,272380000,237960000,34420000,-412080000,-11504000,1417000,-12921000,-1259000,231822000,-6335000,-348000,-6683000,3519000,-3164000,444770000,5677686000,-334575000,0.18394,0.05675,0.0176,0.01172,0.00285,-9.98582,0.72489,3.10525,0.48378,0.63935,0.63201,36.32224,54.55233,-6.38441,0.53039,0.00578,-0.03155,0.82958,12.59939,51.8753
"34","2018_Q3",63.97,"Up",2089338000,-1697958000,391380000,-244098000,-213152000,-30946000,147282000,-38742000,-42369000,3627000,108540000,-10257000,98283000,-54764000,43519000,-1261000,-1261000,42258000.0000001,42258000.0000001,42258000.0000001,73582000,73582000,1054469000,1054469000,74079000,165626000,165626000,1367756000,9670689000,9670689000,1190421000,79613000,480351000,630457000,10861110000,12228866000,1278016000,706239000,571777000,740548000,2018564000,5237377000,2131522000,1309445000,822077000,7368899000,9387463000,1089108000,26547000,1062561000,2580262000,-827967000,2841403000,2841403000,12228866000,43518999.9999999,42258000,1261000,344540000,63360000.0000001,48086000,15274000,54132000,-48908000,691000,58280000,44069000,505551000,-758557000,-758557000,-758557000,131809000,-795876000,-27300000,316219000,-246009000,562228000,-34581000,-1054000,3246000,-4300000,-625000,287240000,-3085000,-283000,-3368000,-185000,-3553000,491822000,5977925000,-157839000,0.18732,0.07049,0.0202300000000001,0.01487,0.00346,-3.73513,0.67759,3.30381,0.48884,0.806909999999998,0.803020000000001,39.8957,54.25631,-3.01392,0.52129,0.00635,-0.01441,0.64603,12.00504,40.08869
"35","2018_Q4",48.4692063492064,"Down",2158061000,-1748678000,409383000,-245850000,-215506000,-30344000,163533000,-42907000,-47379000,4472000,120626000,-4486000,116140000,-26629000,89511000,-760000,-760000,88751000,88751000,88751000,60688000,60688000,1156674000,1156674000,78119000,169175000,169175000,1464656000,10013010000,10013010000,1206639000,61221000,493169000,652249000,11219649000,12684305000,1323288000,704613000,618675000,859530000,2182818000,5423580000,2159509000,1331360000,828149000,7583089000,9765907000,1101956000,26544000,1075412000,2632589000,-816147000,2918398000,2918398000,12684305000,89511000,88751000,760000,347206000,39964000,23138000,16826000,-84746000,-100205000,-4827000,-23675000,43961000,391935000,-778705000,-778705000,-778705000,107679000,-669270000,-28411000,299182000,-105617000,404799000,-19420000,-2099000,8360000,-10459000,-2879000,265793000,-11542000,359000,-11183000,-1870000,-13053000,510739000,6283110000,-326083000,0.1897,0.07578,0.04113,0.03041,0.007,-3.67413,0.67099,3.34632,0.49535,1.69382,1.68185,41.18673,55.69781,-6.22331,0.54223,0.01031,-0.0287,0.32012,12.18317,38.04995
"36","2019_Q1",49.9877049180328,"Up",2263080000,-1824335000,438745000,-241332000,-212128000,-29204000,197413000,-58146000,-52959000,-5187000,139267000,-12321000,126946000,-6986000,119960000,139000,139000,120099000,120099000,120099000,68111000,68111000,1219426000,1219426000,79228000,201626000,201626000,1568391000,10341783000,10341783000,1140910000,59075000,475206000,606629000,11482693000,13051084000,1362369000,731876000,630493000,929952000,2292321000,5693646000,2154790000,1304844000,849946000,7848436000,10140757000,1110950000,26559000,1084391000,2710696000,-911319000,2910327000,2910327000,13051084000,119960000,120099000,-139000,360079000,156600000,5813000,150787000,-131019000,-66296000,-1393000,13115000,-76445000,505620000,-850403000,-850403000,-850403000,47134000,-803269000,-28358000,328988000,175813000,153175000,-662309000,-16153000,-13023000,-3130000,16183000,300660000,3011000,-1382000,1629000,3230000,4859000,557492000,6623598000,-416944000,0.19387,0.08723,0.05307,0.04127,0.0092,-3.47167,0.68419,3.4844,0.50751,2.29249,2.29297,43.19844,55.55331,-7.95877,0.54131,0.0127,-0.03567,0.23612,11.75889,33.20697
"37","2019_Q2",51.2546031746032,"Up",2180327000,-1779254000,401073000,-264951000,-231325000,-33626000,136122000,-47114000,-55336000,8222000,89008000,-20857000,68151000,-22261000,45890000,-574000,-574000,45316000,45316000,45316000,62787000,62787000,1221769000,1221769000,80082000,193147000,193147000,1557785000,10880685000,10880685000,1510515000,57068000,474742000,978705000,12391200000,13948985000,1637090000,839792000,797298000,1117489000,2754579000,6025679000,2601923000,1202650000,1399273000,8627602000,11382181000,1113365000,26651000,1086714000,2343857000,-890418000,2566804000,2566804000,13948985000,45890000,45316000,574000,377357000,124346000,19729000,104617000,-62263000,26181000,-756000,18586000,-106274000,485330000,-1026711000,-1026711000,-1026711000,103467000,-923244000,-29301000,479147000,158258000,320889000,-478411000,-14488000,-332000,-14156000,-1070000,434288000,-3626000,-147000,-3773000,-1551000,-5324000,513479000,7143168000,-553234000,0.18395,0.06243,0.02078,0.01765,0.00325,-12.20836,0.56553,4.43438,0.51209,0.86451,0.86085,41.59501,48.96799,-10.55428,0.55899,0.00606,-0.04493,0.64659,13.78904,52.01496
"38","2019_Q3",45.4746875,"Down",2244993000,-1812308000,432685000,-256079000,-226416000,-29663000,176606000,-38848000,-60759000,21911000,137758000,-34689000,103069000,-27617000,75452000,-237000,-237000,75215000,75215000,75215000,92502000,92502000,1248967000,1248967000,80954000,149025000,149025000,1571448000,11427919000,11427919000,1522687000,54904000,474937000,992846000,12950606000,14522054000,1587930000,768054000,819876000,1053219000,2641149000,6619060000,2654139000,1222849000,1431290000,9273199000,11914348000,1121474000,26667000,1094807000,2385620000,-899388000,2607706000,2607706000,14522054000,75452000,75215000,237000,390673000,117428000,21959000,95469000,-23824000,-17985000,-768000,-22551000,17480000,559729000,-1184050000,-1184050000,-1184050000,152803000,-1031247000,-28350000,536968000,68765000,468203000,-424403000,-4017000,3047000,-7064000,-1850000,502751000,31233000,-458000,30775000,-1060000,29715000,567279000,7672279000,-612978000,0.19273,0.07867,0.0335,0.02884,0.00518,-8.14968,0.59499,4.5689,0.52832,1.43716,1.43133,42.89577,49.82624,-11.71236,0.54169,0.00801,-0.04739,0.37692,13.36164,42.91914
"39","2019_Q4",45.80328125,"Up",2223932000,-1966101000,257831000,-244961000,-216037000,-28924000,12870000,-63151000,-62475000,-676000,-50281000,-40979000,-91260000,-278000,-91538000,83000,83000,-91455000,-91455000,-91455000,75867000,75867000,1274492000,1274492000,83226000,138553000,138553000,1572138000,11320140000,11320140000,1590566000,52742000,474814000,1063010000,12910706000,14482844000,1592161000,742868000,849293000,940691000,2532852000,6805886000,2667119000,1215704000,1451415000,9473005000,12005857000,1129785000,26665000,1103120000,2262356000,-915154000,2476987000,2476987000,14482844000,-91538000,-91455000,-83000,574716000,102430000,-9531000,111961000,-41481000,-25980000,-2345000,-26276000,13120000,544127000,-746471000,-746471000,-746471000,147199000,-599272000,-29388000,71171000,-44315000,115486000,-431230000,3162000,6368000,-3206000,-5424000,39521000,-15624000,-368000,-15992000,-643000,-16635000,587586000,7746577000,-200088000,0.11593,0.00579,-0.04112,-0.03692,-0.00631,2.18783,0.6207,4.84696,0.53488,-1.74799,-1.74263,42.50635,47.34302,-3.82431,0.5617,-0.00481,-0.01552,-0.32134,13.05462,596.01476
"40","2020_Q1",37.4938709677419,"Down",2276549000,-1997561000,278988000,-323844000,-233671000,-90173000,-44856000,-58626000,-62811000,4185000,-103482000,-18749000,-122231000,69155000,-53076000,-410000,-410000,-53486000,-53486000,-53486000,73584000,73584000,1228490000,1228490000,80822000,179155000,179155000,1562051000,11345463000,11345463000,1567820000,50905000,475025000,1041890000,12913283000,14475334000,1470789000,594712000,876077000,1154564000,2625353000,6770224000,2603447000,1161444000,1442003000,9373671000,11999024000,1135288000,26639000,1108649000,2177513000,-836491000,2476310000,2476310000,14475334000,-53076000,-53486000,410000,536183000,-36267000,-64488000,28221000,104513000,44933000,2535000,3645000,53400000,551353000,-725666000,-777942000,-777942000,62236000,-663430000,-29430000,137885000,-198200000,336085000,-441641000,-4127000,-867000,-3260000,3251000,107579000,-4498000,3233000,-1265000,-1018000,-2282999.99999999,491327000,7924788000,-198981000,0.12255,-0.0197,-0.02349,-0.0216,-0.00369,3.72024,0.59499,4.84553,0.54747,-1.02233,-1.03413,43.51369,47.33189,-3.8033,0.56252,-0.00185,-0.0153,-0.55024,15.97959,-175.0313
"41","2020_Q2",30.091746031746,"Down",2161306000,-1893170000,268136000,-258905000,-224119000,-34786000,9231000,-71234000,-62566000,-8668000,-62003000,-51631000,-113634000,4505000,-109129000,-484000,-484000,-109613000,-109613000,-109613000,397235000,397235000,1202819000,1202819000,65422000,191090000,191090000,1856566000,10940328000,10940328000,1567330000,48673000,474179000,1044478000,12507658000,14364224000,1342869000,522612000,820257000,853527000,2196396000,7320843000,2604249000,1131965000,1472284000,9925092000,12121488000,1130795000,26867000,1103928000,2026886000,-914945000,2242736000,2242736000,14364224000,-109129000,-109613000,484000,523223000,76556000,-13598000,90154000,-52064000,-14634000,15409000,-25707000,-27132000,438586000,-430960000,-430960000,-430960000,97982000,-332978000,-30594000,261830000,104027000,157803000,-697550000,-11924000,-1874234.12763955,-11924000,-1692000,217620000,323228000,-302000,322926000,725000,323651000,532454000,8174370000,44925000,0.12406,0.00427,-0.05072,-0.04887,-0.00763,-0.40985,0.84528,5.40478,0.56908,-2.09649,-2.09649,41.33781,42.89526,0.85925,0.58515,-0.00607,0.00345,-0.27911,14.60621,842.5019
"42","2020_Q3",37.20453125,"Up",1895282000,-1646683000,248599000,-239349000,-208564000,-30785000,9250000.00000001,-57339000,-67285000,9946000,-48089000,-46688000,-94777000,21072000,-73705000,-394000,-394000,-74099000,-74099000,-74099000,831469000,831469000,1087639000,1087639000,62282000,151319000,151319000,2132709000,10482919000,10482919000,1593123000,46694000,474480000,1071949000,12076042000,14208751000,1295001000,425686000,869315000,1460604000,2755605000,6687096000,2606958000,1110487000,1496471000,9294054000,12049659000,1140792000,26909000,1113883000,1922940000,-904640000,2159092000,2159092000,14208751000,-73705000,-74099000,394000,532948000,50164000,-22550000,72714000,150792000,83846000,3271000,-28727000,92402000,660199000,-269739000,-273970000,-273970000,110451000,-159288000,-29561000,-26982000,-707113000,680131000,-538705000,1240000,1240000,1.86264514923096e-09,-7585000,-62888000,438023000,-41999.9999999995,437981000,-3747000,434234000,542198000,8147700000,402179000,0.13117,0.00488,-0.0391,-0.03432,-0.00522,-5.42759,0.77395,5.58089,0.57343,-1.41529,-1.41529,36.1999,41.23867,7.68162,0.56462,-0.00345,0.03114,-0.39894,13.49365,790.94389
"43","2020_Q4",51.8490625,"Up",2150575000,-1783791000,366784000,-248392000,-211183000,-37209000,118392000,-52056000,-62608000,10552000,66336000,-11571000,54765000,-9680000,45085000,-9251000,-9251000,35834000,35834000,35834000,684248000,684248000,1156236000,1156236000,60587000,131783000,131783000,2032854000,9995967000,9995967000,1613215000,44945000,474748000,1093522000,11609182000,13642036000,1385239000,461653000,923586000,1133396000,2518635000,6303176000,2669667000,1099706000,1569961000,8972843000,11491478000,1151903000,26944000,1124959000,1928373000,-929718000,2150558000,2150558000,13642036000,45085000,35834000,9251000,496147000,50496000,6273000,44223000,6076000,-62566000,1819000,39701000,27122000,597804000,-168783000,-174470000,-174470000,176630000,7847000,-29517000,-731581000,103444000,-835025000,-845179000,2722000,2722000,0,-71000,-758447000,-152796000,-313000,-153109000,5888000,-147221000,614539000,7436572000,461512000,0.17055,0.05505,0.01666,0.01666,0.00263,12.87917,0.80713,5.34349,0.54512,0.68318,0.68318,41.00082,41.0005,8.79875,0.56274,0.00533,0.03765,0.82371,10.98762,57.03362
"44","2021_Q1",65.1773770491803,"Up",2212837000,-1832356000,380481000,-297354000,-400134000,102780000,83127000,-58371000,-68541000,10170000,24756000,-1110000,23646000,2103000,25749000,129000.000000002,129000.000000002,25878000,25878000,25878000,151294000,151294000,1182350000,1182350000,61191000,200694000,200694000,1595529000,9704073000,9704073000,1632352000,43216000,475245000,1113891000,11336425000,12931954000,1536567000,547389000,989178000,516581000,2053148000,6093655000,2529594000,1125733000,1403861000,8623249000,10676397000,1159820000,26866000,1132954000,1912942000,-817205000,2255557000,2255557000,12931954000,127749000,147878000,-20129000,474682000,38784000,14369041.8680248,39301185.027316,-54804000,-56330324.7103091,2835679.37743932,-2914751.69535895,-69645995.2272081,586411000,-263518000,-266600000,-266600000,146937000,-116581000,-29328000,-851267000,372318676.187534,-1148792981.49373,-693202278.607925,-13038000,4038000,-17076000,-9652000,-903285000,-433455000,-343000,-433798000,2134000,-431664000,557809000,6610236000,237384000,0.17194,0.03757,0.01169,0.01147,0.002,9.1732,0.77711,4.73337,0.51116,0.49427,0.49427,42.2652,43.08116,4.53404,0.56017,0.00484,0.02083,1.13332,11.57913,77.69969
