"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",46.4011111111111,"Down",107306000,75999000,89946000,-13947000,31307000,-123000,11310000,20120000,-9110000,98196000,-86386000,-86386000,11810000,11810000,11810000,-2423000,9387000,9387000,9387000,9387000,151539000,273170000,1347279000,8466274000,-31532000,8497806000,144484000,53561000,504764000,249626000,11190697000,8761593000,6405173000,2356420000,11002000,862136000,184070000,9818801000,1098295000,301656000,-28055000,1371896000,1371896000,11190697000,9387000,2272000,6994000.00000001,-122615000,-103962000,916000,76875000,-204532000,20900000,-32404000,-3832000,79205000,8000,150819000,226200000,89834000,89834000,89834000,14082000,873138000,-105194000,0.11006,0.08748,0.00683999999999999,0.000840000000000001,-11.20635,7.1571,0.07802,0.23801,0.23638,2.72081,34.78526,-2.66726,0.09716,0.00118,-0.0094,0.40822,51.24265,61.10068
"33","2018_Q4",38.2377777777778,"Down",129209000,99038000,121119000,-22081000,30171000,48000,13510000,16613000,-2095000,127114000,-72353000,-72353000,54761000,54761000,54761000,-13317000,41444000,41444000,41444000,41444000,158453000,470804000,1340236000,8509094000,-28116000,8537210000,145885000,54729000,505604000,244189000,11428994000,9181363000,6847371000,2333992000,14071000,656831000,171752000,10024017000,1099764000,338350000,-33137000,1404977000,1404977000,11428994000,41444000,2813000,7011000,-89339000,-38071000,-2614000,85409000,-73069000,22112000,31317000,-4097000,-202269000,-1077000,418745000,211302000,204548000,204548000,204548000,57574000,670902000,-21062000,0.42382,0.32075,0.0295,0.00363,-0.5082,7.13465,0.0587,0.87043,0.87117,2.71373,29.50826,-0.44236,0.08605,0.00398,-0.00184,0.09886,8.9007,9.35792
"34","2019_Q1",34.9875409836066,"Down",130024000,99554000,122749000,-23195000,30470000,1000,13332000,17137000,-3661000,126363000,-75810000,-69424000,50553000,50553000,50553000,-7017000,43536000,43536000,43536000,43536000,172036000,507491000,1328988000,8492630000,-28819000,8521449000,145410000,58689000,503434000,234837000,11443515000,9649313000,7129297000,2520016000,20384000,151774000,165697000,9987168000,1100599000,377135000,-21387000,1456347000,1456347000,11443515000,43536000,12167000,1526692000,-1597662000,-15267000,1661000,-223828000,390875000,-62628000,106080000,-4750000,-499028000,68000,463167000,-40543000,50270000,50270000,50270000,62720000,172158000,-1526264000,0.3888,0.33483,0.02989,0.0038,-35.05752,6.85768,0.01504,0.9156,0.91738,2.73453,30.62834,-32.09876,0.0999,0.00422,-0.13337,0.10911,0.00195000000000078,0.00241000000000469
"35","2019_Q2",34.437619047619,"Down",130166000,99395000,124929000,-25534000,30771000,66000,12414000,18291000,-3408000,126758000,-75425000,-75425000,51333000,51333000,51333000,-11428000,39905000,39905000,39905000,39905000,144801000,712199000,1369033000,8453680000,-28659000,8482339000,141698000,55557000,501308000,277999000,11656275000,9800875000,7047702000,2753173000,4259000,151454000,204103000,10160691000,1102316000,412005000,-18737000,1495584000,1495584000,11656275000,39905000,2623000,15219000,1930000,59677000,1335000,82338000,-102054000,6773000,-11608000,-4751000,-16463000,-944000,151562000,129404000,177473000,177473000,177473000,53956000,155713000,68649000,0.39437,0.30657,0.02668,0.00342,1.72031,6.79379,0.01336,0.84248,0.84088,2.74809,31.57505,1.44933,0.1003,0.00383,0.00589,0.11906,0.20224,0.21257
"36","2019_Q3",35.656875,"Up",136887000,101651000,129028000,-27377000,35236000,69000,12961000,22206000,-4668000,132219000,-81251000,-81251000,50968000,50968000,50968000,-12064000,38904000,38904000,38904000,38904000,151186000,186969000,1567546000,9018077000,-31793000,9049870000,141378000,52437000,501140000,270603000,11889336000,9582370000,6810927000,2771443000,3307000,564636000,201902000,10352215000,1102599000,446182000,-11660000,1537121000,1537121000,11889336000,38904000,2669000,18760000,-91134000,-30801000,-329000,118188000,-796142000,11860000,-666423000,-4760000,412207000,-10563000,-218505000,178379000,-518845000,-518845000,-518845000,53637000,567943000,-25762000,0.37234,0.28421,0.02531,0.00327,-0.662189999999993,6.73481,0.04777,0.82177,0.8219,2.89145,32.46844,-0.544170000000001,0.10054,0.00367,-0.00217000000000001,0.12235,7.76995,8.17684
"37","2019_Q4",40.53296875,"Up",225762000,148769000,188361000,-39592000,76993000,4000,14678000,62311000,-5989000,219773000,-192697000,-192697000,27076000,27076000,27076000,-5692000,21384000,21384000,21384000,21384000,193976000,285713000,2746178000,12790754000,-35530000,12826284000,239428000,97328000,911488000,499412000,17764277000,13659594000,9581738000,4077856000,17744000,1351172000,315044000,15343554000,1976236000,457127000,-12640000,2420723000,2420723000,17764277000,21384000,15757000,1698506000,-2351826000,-616179000,5848000,-71648000,-66233000,-14147000,98001000,-4726000,627004000,3533000,33901000,659712000,141534000,141534000,141534000,42833000,1368916000,-2297453000,0.11993,0.09472,0.00883,0.0012,-107.43794,6.33842,0.07706,0.30734,0.3061,3.24473,34.7915,-33.01982,0.06792,0.00147,-0.12933,0.22101,27.43072,43.39415
"38","2020_Q1",33.9761290322581,"Down",204406000,155351000,194076000,-38725000,49055000,-1000,14305000,34751000,-5693000,198713000,-122564000,-111930000,76149000,76149000,82207000,-20959000,61248000,61248000,61248000,61248000,246234000,375615000,3127282000,12780287000,-38189000,12818476000,233102000,91586000,931637000,456836000,18242579000,14027073000,9827625000,4199448000,20635000,1398709000,326580000,15772997000,1978608000,507950000,-16976000,2469582000,2469582000,18242579000,61248000,9784000,916529000,-1360227000,-352908000,-12848000,-144826000,251384000,-767000.000000004,92943000,-10438000,72475000,-5297000,367479000,402125000,142160000,142160000,142160000,85933000,1419344000,-1266183000,0.37254,0.29964,0.0248,0.00336,-20.67305,6.38691,0.0778,0.88048,0.87739,2.93847,35.50188,-18.20222,0.15005,0.00393,-0.06941,0.17042,13.65145,15.40546
"39","2020_Q2",22.5025396825397,"Down",202324000,147945000,182768000,-34823000,54379000,-9000,12805000,41583000,-41047000,161277000,-138053000,-138053000,23224000,23224000,23224000,-3902000,19322000,19322000,19322000,19322000,255312000,396844000,2833272000,12944582000,-149524000,13094106000,231347000,85955000,931947000,545289000,18224548000,13844618000,9618365000,4226253000,15160000,1543371000,384249000,15787398000,1980373000,460153000,-3376000,2437150000,2437150000,18224548000,19322000,9547000,1534471000,-1303398000,300989000,-3572000,62826000,-264063000,-25000,-204832000,-10426000,134286000,-7255000,-182455000,-65850000,30307000,30307000,30307000,32771000,1558531000,-1270297000,0.11479,0.0955,0.00793,0.00106,-65.74356,6.47781,0.08552,0.27903,0.27801,2.92173,35.19452,-18.34417,0.15056,0.00163,-0.0697,0.53959,39.76745,56.11518
"40","2020_Q3",22.69078125,"Up",284774000,163814000,185018000,-21204000,120960000,14000,10871000,110075000,-88161000,196613000,-155768000,-155768000,40845000,40845000,40845000,-8609000,32236000,32236000,32236000,32236000,292899000,428560000,3051995000,14294364000,-208793000,14503157000,230118000,80354000,928005000,566334000,19872629000,15589818000,9993950000,5595868000,12879000,1418336000,391466000,17412499000,1981513000,481948000,-3331000,2460130000,2460130000,19872629000,32236000,9608000,2120850000,-2578096000,-327241000,-5286000,119734000,-1327831000,2828000,-1212974000,-10415000,-127364000,-17000.0000000009,1747314000,1609518000,69303000,69303000,69303000,50453000,1431215000,-2524320000,0.14343,0.1132,0.0131,0.00162,-78.30748,7.07788,0.07202,0.46569,0.465,4.11392,35.53971,-36.46702,0.15046,0.00215,-0.12702,0.32309,22.56191,27.86916
"41","2020_Q4",31.4503125,"Up",321556000,162538000,179934000,-17396000,159018000,0,11953000,147065000,-17682000,303874000,-153692000,-153692000,150182000,150182000,150182000,-34037000,116145000,116145000,116145000,116145000,257026000,494765000,2579903000,14711669000,-231924000,14943593000,231278000,76164000,928005000,595041000,19873851000,16063806000,10154490000,5909316000,9103000,875255000,361004000,17309168000,1982734000,587657000,-5708000,2564683000,2564683000,19873851000,116145000,8110000,3093412000,-2829735000,405614000,-4885000,150198000,-437701000,189000,-292199000,-10421000,-535383000,265000,473988000,-83083000,30332000,30332000,30332000,158292000,884358000,-2642291000,0.46705,0.3612,0.04529,0.00584,-22.74993,6.74905,0.0445,1.67697,1.67397,4.6428,37.03032,-38.15087,0.15046,0.00637,-0.13295,0.08972,3.96313,4.17715
"42","2021_Q1",46.3431147540984,"Up",268373000,163456000,178783000,-15327000,104917000,0,12430000,92487000,1510000,269883000,-151116000,-135144000,118767000,118767000,125993000,-31708000,94285000,94285000,94285000,94285000,203349000,1913957000,1011330000,14281503000,-199422000,14480925000,222890000,71974000,928005000,1805630000,20438638000,16957823000,10806753000,6151070000,11641000,425155000,396931000,17791550000,1985039000,671510000,33505000,2647088000,2647088000,20438638000,94285000,8106000,2910370000,-2592217000,419034000,-3655000,153727000,366503000,-7296000,509279000,-10423000,-450204000,1274000,894017000,437202000,1365515000,1365515000,1365515000,126873000,436796000,-2437291000,0.44254,0.35132,0.03562,0.00461,-25.85025,6.72118,0.02137,1.36063,1.35672,3.87291,38.20027,-35.17268,0.15041,0.00512,-0.11925,0.11055,1.84001,1.96559
"43","2021_Q2",52.537619047619,"Up",282950000,164977000,177950000,-12973000,117973000,-12000,11845000,106140000,28591000,311541000,-148798000,-148798000,162743000,162743000,162743000,-37781000,124962000,124962000,124962000,124962000,224159000,2534969000,2573624000,14421235000,-178570000,14599805000,231550000,67848000,928005000,445737000,21427127000,17875873000,11071097000,6804776000,9320000,425231000,359107000,18669531000,1989944000,785984000,-18332000,2757596000,2757596000,21427127000,124962000,8206000,1797234000,-2366420000,-464609000,-12879000,274151000,-72093000,10445000,199624000,-10432000,-36000,1546000,918050000,906807000,641822000,641822000,641822000,170949000,434551000,-2170569000,0.57517,0.44164,0.04532,0.00583,-17.36983,6.77022,0.02028,1.80081,1.7918,4.07756,39.73939,-31.27982,0.15033,0.00632,-0.1013,0.08348,1.23073,1.29279
"44","2021_Q3",47.75125,"Down",251092000,161852000,173751000,-11899000,89240000,999.999999999971,12063000,77176000,-142000,250950000,-135761000,-135761000,115189000,115189000,115189000,-26862000,88327000,88327000,88327000,88327000,259729000,3044795000,834843000,14605721000,-175070000,14780791000,229994000,63783000,928005000,1920061000,21886931000,18257997000,11274236000,6983761000,5544000,425303000,361083000,19049927000,1992574000,863828000,25024000,2837004000,2837004000,21886931000,88327000,8211000,2392100000,-2116398000,372382000,-3371000,-45661000,-147017000,0,-196049000,-10456000,-38000,1209000,382124000,369063000,545396000,545396000,545396000,123400000,430847000,-1969507000,0.45875,0.35177,0.03113,0.00404,-22.2979,6.7148,0.01969,1.27082,1.26563,3.61263,40.81785,-28.3366,0.15044,0.00451,-0.08999,0.11838,1.38669,1.48554
"45","2021_Q4",50.84453125,"Up",238223000,161661000,173046000,-11385000,76562000,530000,12640000,63392000,9675000,247898000,-137196000,-137196000,110702000,110702000,110702000,-29022000,81680000,81680000,81680000,78541000,239028000,3513412000,776574000,14653326000,-171213000,14824539000,226430000,60396000,928005000,2135970000,22533141000,18833489000,11216761000,7616728000,4502000,425375000,369005000,19632371000,1994980000,934979000,21885000,2900770000,2900770000,22533141000,81680000,8025000,1553023000,-1798379000,-165326000,-4747000,-100219000,160624000,0,55658000,-10466000,-36000,-6364000,575492000,557584000,447916000,447916000,447916000,118727000,429877000,-1655377000,0.4647,0.3297,0.02708,0.00349,-21.0766,6.76799,0.01908,1.13108,1.12545,3.43068,41.77436,-23.8393,0.15072,0.00395,-0.07346,0.13326,1.60746,1.72399
"46","2022_Q1",48.6077419354839,"Down",241983000,166837000,178365000,-11528000,75146000,-4000.00000000012,12746000,62404000,-2759000,239224000,-138369000,-126449000,100855000,100855000,107478000,-25534000,81944000,81944000,81944000,85083000,307813000,3756844000,1974655000,15706676000,-167582000,15874258000,225400000,125938000,1012620000,748375000,23858321000,19665553000,11890730000,7774823000,5845000,739879000,480593000,20891870000,1996830000,1006436000,15590000,2966451000,2966451000,23858321000,81944000,7748000,1715932000,-1541690000,266693000,-2493000,156691000,-507751000,0,-480217000,-10444000,-296215000,-1298000,832355000,525741000,312217000,312217000,312217000,108603000,745724000,-1410046000,0.41679,0.35161,0.02868,0.00357,-16.57259,7.04272,0.03126,1.22847,1.2218,3.49387,42.83104,-20.35892,0.1508,0.004,-0.0591,0.12275,4.03222,4.34199
"47","2022_Q2",41.9975806451613,"Down",259455000,172544000,183374000,-10830000,86911000,-27000,11997000,74941000,-6231000,253224000,-143820000,-143820000,109404000,109404000,109404000,-27706000,81698000,81698000,81698000,81698000,257316000,3541144000,720053000,15982550000,-161251000,16143801000,224293000,120757000,1022345000,1691834000,23560292000,19588441000,11718234000,7870207000,2065000,425520000,537107000,20553133000,2000914000,1077725000,-1841000,3007159000,3007159000,23560292000,81698000,9734000,1514460000,-1251700000,360423000,-3550000,16949000,-205189000,-14985728.4490227,-205027000,-10445000,-314467000,-15789000,-77112000,-421593000,-266197000,-266197000,-266197000,119138000,427585000,-1108406000,0.42167,0.31488,0.02717,0.00347,-13.56711,6.83473,0.01815,1.17279,1.17279,3.72454,43.16848,-15.91143,0.14994,0.00391,-0.04705,0.12785,1.42917,1.55633
"48","2022_Q3",45.565,"Up",275205000,191364000,202568000,-11204000,83841000,248000,12146000,71447000,-14924000,260281000,-142196000,-142196000,118085000,118085000,118085000,-28019000,90066000,90066000,90066000,90066000,345627000,1961209000,1213422000,17388380000,-172642000,17561022000,224249000,115613000,1023056000,1415914000,23687470000,19684982000,11422053000,8262929000,953000,425592000,502567000,20614094000,2003339000,1157359000,-12635000,3073376000,3073376000,23687470000,90066000,9782000,1448440000,-1209767000,353445000,-4596000,-592016000,-1328517000,-55402185.347068,-1925895000,-10398000,-36000,-4169000,96541000.0000001,80826000,-1491624000,-1491624000,-1491624000,127867000,426545000,-1058477000,0.42908,0.32727,0.02931,0.0038,-11.75224,6.70731,0.01801,1.30274,1.29935,3.98063,44.45403,-15.31006,0.1504,0.00424,-0.04469,0.11545,0.63283,0.68525
