"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",14.6414285714286,"Down",23676000,-14310000,9366000,-7422000,-2309000,1944000,-84000,-2926000,2575000,267000,1860000,1860000,3483000,5343000,5343000,140000,5483000,5483000,214061000,200884000,222856000,361231000,40602000,40602000,647744000,870600000,97457000,62326000,239041000,336498000,331381000,187516000,-302000,518595000,15507000,534102000,870600000,5343000,2309000,-2630000,3425000,8447000,-440000,4071000,-8383000,-4752000,-232000,3207000,-17931000,-14236000,-14236000,-14236000,4253000,62326000,3755000,0.39559,0.08211,0.23158,0.01027,0.0063,0.68484,2.28671,0.63003,0.07159,0.08984,0.08984,0.38795,8.49769,0.06153,0.00708999999999999,0.00486,-35.67717,-78.05298
"36","2019_Q1",15.1055737704918,"Up",16302000,-10994000,5308000,-6651000,-2162000,-1343000,-2641000,-2935000,-71000.0000000005,365000,-3984000.00000001,-3984000,3551000,-433000.000000004,-433000.000000004,367000,-66000,-66000,204113000,195155000,204113000,363025000,60308000,60308000,666849000,870962000,91702000,69374000,246149000,337851000,331395000,187450000,-674000,518171000,14940000,533111000,870962000,-433000,2162000,2319000,-8587000,-4539000,-923000,-12630000,6389000,-7164000,16385000,-10449000,5936000,-5767000,-5767000,-5767000,819000,69374000,-12242000,0.3256,-0.08238,-0.00405,-0.00012,-8e-05,185.48485,2.22583,0.63373,0.07965,-0.00109000000000001,-0.00109000000000001,0.26879,8.5437,-0.20185,-8e-05,-0.01571,-164.51648,100.32688
"37","2019_Q2",16.458253968254,"Up",16023000,-10105000,5918000,-8079000,-2111000,-2161000,4802000,-2942000,6046000,1698000,2641000,2641000,-661000,1980000,1980000,17000,1997000,1997000,200638000,190821000,200638000,377464000,52541000,52541000,675202000,875840000,90891000,77792000,254629000,345520000,331408000,189447000,-68000.0000000001,513714000,16606000,530320000,875840000,1980000,2111000,-9339000,4022000,-1226000,-1182000,386000,-1898000,-2694000,-240000,7004000,-309000,-4229000,-4229000,-4229000,-50000,77792000,3451000,0.36934,-0.13487,0.12463,0.00377,0.00228,1.72809,2.20746,0.65153,0.08882,0.03311,0.03311,0.26563,8.51633,0.05721,0.00254,0.0044,2456.92,56.84683
"38","2019_Q3",17.425625,"Up",35547000,-17161000,18386000,-7516000,-2422000,10870000,2791000,-3024000,2534000,3281000,13661000,13661000,-3434000,10227000,10227000,146000,10373000,10373000,198419000,195587000,198419000,403006000,61497000,61497000,707828000,906247000,106964000,80244000,257143000,364107000,330209000,199820000,-70000,522886000,19254000,542140000,906247000,10227000,2422000,257999.999999998,616000,13523000,-6227000,6983000,-12750000,-11994000,-814000,4166000,3352000,4881000,4881000,4881000,13292000,80244000,11115000,0.51723,0.30579,0.29181,0.01913,0.01145,1.07152999999999,1.85501,0.67161,0.08855,0.17231,0.17231,0.59048,8.68582,0.18463,0.01298,0.01391,-8.89069,-10.87167
"39","2019_Q4",18.1815625,"Up",32856000,-17753000,15103000,-7683000,-2629000,7420000,1410000,-3109000,2372000,2147000,8830000,8830000,-3003000,5827000,5827000,-110000,5717000,5717000,165346000,165311000,165346000,428925000,59953000,59953000,732680000,898026000,112933000,85581000,262543000,375476000,326449000,205537000,-490000,512702000,9848000,522550000,898026000,5827000,2629000,-2571000,-3453000,2432000,-796000,-6110000,-7523000,-14429000,-276000,-6174000,-18171000,-30168000,-30168000,-30168000,10049000,85581000,8803000,0.45967,0.22583,0.174,0.01094,0.00637,1.53979,1.46411,0.71855,0.0953,0.09522,0.09522,0.54723,8.5392,0.14662,0.00728,0.01121,-7.93761,-10.75
"40","2020_Q1",19.4754838709677,"Up",42659000,-19067000,23592000,-8398000,-3125000,15194000,-6535000,-3227000,-238000,-2993000,8659000,10976000,-2349000,8627000,8627000,61000,8688000,8688000,185716000,185716000,185716000,449794000,57153000,52069000,723517000,909233000,110008000,92529000,269555000,379563000,305631000,214225000,-335000,519521000,10149000,529670000,909233000,8627000,3125000,-780000,4692000,15664000,-65928000,30346000,34285000,-1297000,23658000,-15854000,5752999.99999999,20120000,20120000,20120000,18319000,92529000,-40568000,0.55304,0.35617,0.20366,0.0164,0.00956,-4.66943,1.6882,0.7166,0.10177,0.14622,0.14622,0.71797,8.74376,-0.68278,0.01087,-0.05076,-5.0869,-6.13314
"41","2020_Q2",18.0888888888889,"Down",18574000,-9910000,8664000,-9989000,-3073000,-1325000,-4699000,-3345000,-1609000,255000,-6024000,-1747000,495000,-1335000,-1335000,-198000,-1533000,-1533000,156424000,106427000,156424000,488300000,59470000,48393000,756598000,913022000,116685000,98337000,275427000,392112000,305658000,212602000,-890000,510563000,10347000,520910000,913022000,-1335000,3073000,-3421000,4800000,3117000,-34450000,-47022000,1208000,-80264000,6262000,-793000,-1338000,-78485000,-78485000,-78485000,1748000,98337000,-28397000,0.46646,-0.07134,-0.08253,-0.00294,-0.00168,18.52381,1.34057,0.75274,0.1077,-0.02582,-0.02582,0.31282,8.59887,-0.47826,-0.00193,-0.03566,-33.23055,43.83925
"42","2020_Q3",20.591875,"Up",36081000,-17010000,19071000,-7965000,-3019000,11106000,-1196000,-3389000,2055000,138000,9910000,25249000,-5907000,19219000,19219000,-20000,19199000,19199000,156035000,106039000,156035000,517158000,84270000,54977000,810281000,966316000,125988000,120522000,297678000,423666000,305676000,231801000,-1530000,527144000,15506000,542650000,966316000,19219000,3019000,-6885000,-5964000,9389000,-31361000,7000,2000,-31352000,22564000,1124000,21692000,-271000,-271000,-271000,14125000,120522000,-17293000,0.52856,0.30781,0.53211,0.03538,0.01987,-0.900719999999996,1.23849,0.78074,0.12472,0.32595,0.32595,0.61256,8.94958,-0.29359,0.02285,-0.02058,-2.51419,-3.19764
"43","2020_Q4",31.30234375,"Up",42040000,-22601000,19439000,-8415000,-3302000,11024000,-706000,-3379000,2405000,268000,10318000,10317000,-2440000,7782000,7782000,-31000,7751000,7751000,152386000,102351000,152386000,549423000,93319000,58471000,851527000,1003913000,130896000,143375000,320597000,451493000,305676000,239552000,-1513000,534912000,17508000,552420000,1003913000,7782000,3302000,-3613000,2570000,10041000,-29583000,372000,1000,-29210000,22772000,-6038000,16734000,-2435000,-2435000,-2435000,14326000,143375000,-10247000,0.46239,0.26223,0.18437,0.01403,0.00772,-1.32202,1.16418,0.8173,0.14282,0.13164,0.13164,0.71399,9.08468,-0.17403,0.00888,-0.01174,-0.629000000000002,-0.817399999999985
"44","2021_Q1",47.0708196721311,"Up",63860000,-28255000,35605000,-9325000,-3394000,26280000,-1317000,-3451000,2132000,668000,24963000,25331000,-5818000,19814000,19814000,-28000,19786000,19786000,106794000,106794000,106794000,572499000,103831000,65866000,930530000,1037324000,132950000,158915000,336204000,469154000,296873000,255216000,-1472000,550617000,17553000,568170000,1037324000,19814000,3394000,-1095000,-7329000,14784000,-26372000,1995999.99999999,-10111000,-34487000,15470000,10988000,22336000,2633000,2633000,2633000,29674000,158915000,1791000,0.55755,0.41153,0.30983,0.03482,0.01907,0.090519999999999,0.80326,0.82573,0.1532,0.33603,0.33603,1.08455,9.35125,0.03042,0.02644,0.00198,1.75645,1.9833
"45","2021_Q2",44.4942857142857,"Down",41305000,-24844000,16461000,-10922000,-3853000,5539000,-1650000,-3671000,1195000,1294000,3889000,4009000,-1052000,2957000,2957000,239000,3196000,3196000,52313000,52313000,52313000,596657000,103091000,62315000,1001080000,1053393000,138202000,169730000,347087000,485289000,296873000,253701000,-1210000,549364000,18740000,568104000,1053393000,2957000,3853000,-1605000,4623000,9828000,-25122000,-45510000,-461000,-71093000,10894000,865000,7048000,-54217000,-54217000,-54217000,9392000,169730000,-10055000,0.39852,0.1341,0.07738,0.00562999999999999,0.00303,-3.14612,0.37853,0.85423,0.16113,0.05428,0.05428,0.70148,9.32983,-0.17076,0.00864,-0.01099,12.50181,21.19823
"46","2021_Q3",43.53390625,"Down",72240000,-32259000,39981000,-9231000,-4125000,30750000,-2197000,-3854000,1287000,972000,28553000,31723000,-7699000,24024000,24024000,2e+05,24224000,24224000,33336000,33336000,33336000,628706000,124179000,73001000,1068669000,1102005000,152978000,183086000,360512000,513490000,296873000,273214000,-1221000,568866000,19649000,588515000,1102005000,24024000,4125000,12033000,-2814000,37368000,-44260000,-15703000,-6690000,-66653000,14125000,742999.999999998,10157000,-19128000,-19128000,-19128000,34875000,183086000,-4500000,0.55345,0.42566,0.33533,0.04116,0.02198,-0.18577,0.21791,0.87252,0.16614,0.4114,0.4114,1.22685,9.66103,-0.07642,0.03049,-0.00474,4.29391,4.86992
"47","2021_Q4",48.00859375,"Up",53996000,-28231000,25765000,-9604000,-4617000,16161000,5045000,-4114000,2331000,7329000,21206000,21206000,-6429000,14777000,14777000,419000,15196000,15196000,27260000,27260000,27260000,680165000,120663000,69897000,1109290000,1136550000,164338000,196099000,373594000,537932000,296873000,283699000,-880000,579692000,18926000,598618000,1136550000,14778000,4616000,-1005000,-109667000,-91278000,66281000,7404000,2540000,76225000,13257000,-540000,8006000,-7047000,-7047000,-7047000,20777000,196099000,-16180000,0.47716,0.2993,0.28143,0.02539,0.01337,-1.06475,0.16588,0.89862,0.17254,0.25807,0.25807,0.91701,9.84489,-0.27478,0.02048,-0.01664,8.12625,10.44731
"48","2022_Q1",51.283064516129,"Up",99455000,-45980000,53475000,-11468000,-5607000,42007000,-481999.999999999,-4215000,2441000,586000,41525000,41793000,-9802000,31991000,31991000,-54000,31937000,31937000,70162000,70162000,70162000,721258000,122262000,70235000,1137989000,1208151000,104192000,223034000,477859000,582051000,296873000,310925000,-389000,607409000,18691000,626100000,1208151000,31990000,5608000,9371000,108910000,155879000,-150366000,14029000,1773000,-134564000,28697000,-628000,23358000,44673000,44673000,44673000,47615000,223034000,15961000,0.53768,0.42237,0.32112,0.05101,0.02643,0.49977,0.67339,0.92965,0.18461,0.54238,0.54238,1.68904,10.3156,0.27107,0.0332,0.01446,3.21058,3.6392
"49","2022_Q2",49.5524193548387,"Down",64871000,-33965000,30906000,-10682000,-5026000,20224000,-2717000,-4153000,2300000,-369000,17507000,17989000,-4536000,13453000,13453000,-41000,13412000,13412000,33115000,33115000,33115000,777429000,122497000,69875000,1223230000,1256345000,184913000,256763000,434400000,619313000,296915000,318448000,920000,616283000,20749000,637032000,1256345000,13453000,5026000,-10760000,12094000,19813000,-53063000,-29063000,581000,-81545000,34632000,391000,29134000,-32598000,-32598000,-32598000,25250000,256763000,-11183000,0.47642,0.31176,0.20675,0.02105,0.01068,-0.83381,0.17908,0.97219,0.20437,0.22778,0.22778,1.1017,10.46631,-0.18992,0.01801,-0.01044,8.85735,11.05854
"50","2022_Q3",38.6028125,"Down",68250000,-38463000,29787000,-10982000,-5466000,18805000,4140000,-4071000,2496000,4286000,22945000,23034000,-5944000,17090000,17090000,-51000,17039000,17039000,21851000,21851000,21851000,855063000,123968000,69882000,1297974000,1319825000,203204000,291471000,469181000,672385000,297021000,329593000,1084000,627518000,19922000,647440000,1319825000,17090000,5466000,-16993000,3629000.00000003,9192000,-56055000,4302000,2588000,-49165000,35263000,-1378000,27817000,-12156000,-12156000,-12156000,24271000,291471000,-22211000,0.43644,0.27553,0.24966,0.02632,0.01291,-1.30354,0.10753,1.03853,0.22084,0.28937,0.28937,1.15909,10.65714,-0.37721,0.02053,-0.01989,11.10873,14.33768
