"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",77.6075,"Down",254175000,-167028000,87147000,-59926000,-59926000,27221000,28000,28000.0000000001,27249000,27249000,-5751000,21498000,21498000,21498000,21498000,38424000,38424000,376639000,376639000,291739000,17519000,17519000,724321000,102304000,189632000,72601000,87064000,291936000,1016257000,214483000,102307000,112176000,214483000,51442000,46828000,51442000,265925000,51842000,698490000,750332000,750332000,1016257000,21498000,6832000,-418000.000000001,-7795000,20117000,-8497000,-8497000,-13990000,-13990000,-2370000,-2370000,-2370000,34053000,0,23512000,0.34286,0.1071,0.08458,0.02865,0.02115,1.09368,3.37706,0.35441,1.05879118406788e-22,0.65858,0.65677,7.78651,22.986,0.72028,0.02681,0.02932,-1.12836,-1.41156
"37","2019_Q4",75.6125,"Down",253796000,-166872000,86924000,-59961000,-59961000,26963000,33000,33000,26996000,26996000,-5688000,21308000,21308000,21308000,21308000,54170000,54170000,372356000,372356000,282087000,16237000,16237000,724850000,103483000,188483000,74458000,85937000,291966000,1016816000,195552000,80813000,114739000,195552000,48672000,44296000,48672000,244224000,52879000,719713000,772592000,772592000,1016816000,21308000,6914000,760000,-5880000,23102000,-7321000,-7321000,-35000,-35000,15746000,15746000,15746000,33877000,0,26364000,0.3425,0.10624,0.08396,0.02758,0.02096,1.23728,3.70669,0.31611,0,0.65515,0.65378,7.80335,23.75452,0.8106,0.02595,0.0321,-1.59902,-2.00905
"38","2020_Q1",68.0529032258064,"Down",239567000,-161305000,78262000,-56360000,-56360000,21902000,-111000,120000,21791000,21791000,-4242000,17549000,17549000,17549000,17549000,68353000,68353000,391810000,391810000,280813000,13614000,13614000,754590000,101837000,184645000,74458000,84546000,286482000,1041072000,220502000,90437000,130065000,220502000,46986000,43027000,46986000,267488000,52931000,720653000,773584000,773584000,1041072000,17549000,4904000,1410000,11793000,35656000,-4904000,-4904000,-16692000,-16569000,14183000,14183000,14183000,26806000,3.63797880709171e-12,37937000,0.32668,0.09142,0.07325,0.02269,0.01686,2.16178,3.42215,0.34578,1.6940658945086e-21,0.5407,0.53934,7.38129,23.83485,1.16887,0.02139,0.04623,-2.54991,-3.12086
"39","2020_Q2",64.3342857142857,"Down",257730000,-172933000,84797000,-59735000,-59735000,25062000,2631000,2631000,27693000,27693000,-4918000,22775000,22775000,22775000,22775000,161778000,161778000,423301000,423301000,258371000,10810000,10810000,854260000,99082000,199442000,91275000,76533000,298524000,1152784000,215537000,73283000,142254000,314537000,46872000,43012000,46872000,361409000,53779000,737596000,791375000,791375000,1152784000,22775000,7496000,-2182000,-9499000,18590000,-3505000,-17967000,-6198000,92802000,93425000,93425000,93425000,32558000,0,24472000,0.32901,0.09724,0.08837,0.02878,0.01976,1.07451,2.71593,0.45668,0,0.70393,0.70237,7.96594,24.45988,0.75638,0.02717,0.02919,-4.96892,-6.45511
"40","2020_Q3",79.89703125,"Up",233182000,-154034000,79148000,-61525000,-61525000,17623000,-297000,-297000.000000001,17326000,17326000,-3441000,13885000,13885000,13885000,13885000,359558000,359558000,241901000,241901000,274821000,10420000,10420000,886700000,95886000,197063000,91155000,75121000,292949000,1179649000,226641000,83752000,142889000,325641000,46876000,43180000,46876000,372517000,55732000,751400000,807132000,807132000,1179649000,13885000,7539000,1433000,177954000,200811000,-3638000,-3484000,453000,452999.999999985,197780000,197780000,197780000,25162000,-2.91038304567337e-11,202919000,0.33943,0.07558,0.05955,0.0172,0.01177,14.61426,2.72294,0.46153,-2.71050543121376e-20,0.43028,0.42921,7.22597,25.01184,6.28816,0.01626,0.23761,-14.28972,-20.40277
"41","2020_Q4",92.6871875,"Up",300620000,-192819000,107801000,-63028000,-63028000,44773000,-17000,528000,44756000,44756000,-10497000,34259000,34259000,34259000,34259000,170502000,170502000,405312000,405312000,283292000,11769000,11769000,870875000,94217000,193741000,91148000,72258000,287958000,1158833000,279400000,112757000,166643000,279400000,48068000,44062000,48068000,327468000,57217000,774148000,831365000,831365000,1158833000,34259000,7509000,1363000,-116813000,-73682000,-4918000,-4918000,-11456000,-110456000,-189056000,-189056000,-189056000,52282000,0,-58952000,0.3586,0.14894,0.11396,0.04121,0.02956,-1.72077,3.11695,0.39389,0,1.05976,1.05718,9.29935,25.71736,-1.82361,0.03896,-0.06703,-3.2612,-3.80814
"42","2021_Q1",99.7580327868853,"Up",301216000,-189846000,111370000,-65455000,-65455000,45915000,46000,1e+05,45961000,45961000,-10010000,35951000,35951000,35951000,35951000,155576000,155576000,460878000,460878000,298719000,7758000,7758000,922931000,91009000,206721000,91080000,77984000,297730000,1220661000,322645000,117878000,204767000,322645000,44457000,40638000,44457000,367102000,64407000,789152000,853559000,853559000,1220661000,35951000,9763000,-4809000,-34658000,6247000.00000003,-3389000,-3889000,-18468000,-17284000,-14926000,-14926000,-14926000,55678000,4.65661287307739e-10,27641000,0.36973,0.15243,0.11935,0.04212,0.02945,0.768850000000004,2.86052,0.43008,4.33680868994202e-19,1.11757,1.11269,9.36355,26.53359,0.85924,0.04003,0.03078,-2.79421,-3.38835
"43","2021_Q2",102.528095238095,"Up",288012000,-183492000,104520000,-62869000,-62869000,41651000,-36000,85000,41615000,41615000,-8885000,32730000,32730000,32730000,32730000,166603000,166603000,452520000,452520000,337697000,9817000,9817000,966637000,90699000,206933000,91080000,79320000,297632000,1264269000,335417000,118529000,216888000,335417000,45041000,41293000,45041000,380458000,67917000,815894000,883811000,883811000,1264269000,32730000,7267000,2129000,-21106000,21020000,-6207000,-6207000,-4075000,-3786000,11027000,11027000,11027000,48918000,0,30490000,0.3629,0.14462,0.11364,0.03703,0.02589,0.93156,2.8819,0.43047,0,1.02128,1.01696,8.98689,27.57773,0.95139,0.03524,0.03283,-3.40576,-3.99998
"44","2021_Q3",98.6521875,"Down",310635000,-200510000,110125000,-69517000,-69517000,40608000,90000,153000,40698000,40698000,-9080000,31618000,31618000,31618000,31618000,155539000,155539000,446242000,446242000,356759000,16069000,16069000,974609000,88164000,206704000,91080000,79715000,294868000,1269477000,332528000,126463000,206065000,332528000,43964000,40412000,43964000,376492000,72266000,820719000,892985000,892985000,1269477000,31618000,9583000,2180000,-25314000,18067000,-3946000,-3946000.00000001,-25632000,-25185000,-11064000,-11064000,-11064000,50191000,7.45058059692383e-09,30011000,0.35452,0.13073,0.10179,0.03541,0.02491,0.94917,2.93091,0.42161,-3.46944695195361e-18,0.98658,0.98241,9.6928,27.86399,0.93644,0.03375,0.03203,-3.09894,-3.83026
"45","2021_Q4",108.549375,"Up",348426000,-231572000,116854000,-72663000,-72663000,44191000,-638000,95000,43553000,43553000,-10449000,33104000,33104000,33104000,33104000,57263000,57263000,463113000,463113000,475462000,17297000,17297000,1013135000,116309000,486404000,200026000,103551000,602713000,1615848000,373400000,149925000,223475000,622760000,88564000,57236000,88564000,711324000,73642000,830882000,904524000,904524000,1615848000,33104000,8081000,-868000,-1803000,38514000,-5121000,-350604000,-35707000,213826000,-98264000,-98264000,-98276000,52272000,249360000,55797000,0.33538,0.12683,0.09501,0.0366,0.02049,1.68551,1.62685,0.78641,0.15432,1.04455,1.03963,10.99413,28.54108,1.7606,0.02664,0.04491,3.67495,4.34697
"46","2022_Q1",96.9332258064516,"Down",398176000,-266759000,131417000,-86316000,-86316000,45101000,-1201000,44000,43900000,43900000,-9820000,34080000,34080000,34080000,34080000,58782000,58782000,472764000,472764000,531988000,13048000,13048000,1076582000,114864000,481673000,197332000,105532000,596537000,1673119000,425688000,177389000,248299000,425688000,75335000,57359000,314695000,740383000,77767000,856409000,932736000,932736000,1673119000,34080000,10262000,-9420000,-12185000,22737000,-4566000,-12548000.0000001,-184000,-8637999.99999997,1551000,1551000,1519000,55363000,239360000,48432000,0.33005,0.11327,0.08559,0.03654,0.02037,1.42113,2.52904,0.79378,0.14306,1.07535,1.07028,12.56393,29.43128,1.52821,0.02732,0.03883,3.26171,4.00386
"47","2022_Q2",99.0245161290323,"Up",401579000,-268339000,133240000,-86528000,-86528000,46712000,-1147000,84000,45565000,45565000,-10358000,35207000,35207000,35207000,35207000,53427000,53427000,456070000,456070000,565200000,13507000,13507000,1088204000,116225000,519872000,198110000,145674000,636097000,1724301000,423258000,165840000,257418000,652618000,112283000,94331000,112283000,764901000,79221000,879923000,959400000,959400000,1724301000,35207000,9743000,2181000,-23917000,23214000,-7247000,-6652000,-11963000,-21963000,-5401000,-5401000,-5355000,56455000,229360000,35649000,0.33179,0.11632,0.08767,0.0367,0.02042,1.01255,1.66744,0.79727,0.13302,1.11388,1.10972,12.70518,30.35355,1.12786,0.02706,0.0274,3.11634,3.76633
"48","2022_Q3",98.4790625,"Down",417419000,-275894000,141525000,-92058000,-92058000,49467000,-1454000,111000,48013000,48013000,-10108000,37905000,37905000,37905000,37905000,51966000,51966000,417354000,417354000,634774000,26965000,26965000,1131059000,117930000,512178000,197165000,142355000,630108000,1761167000,430975000,203456000,227519000,660335000,109875000,92576000,109875000,770210000,82506000,910194000,990957000,990957000,1761167000,37905000,9857000,1594000,-35184000,14172000,-8853000,-8853000.00000001,-7618000,-6724000,-1405000,-1405000,-1461000,59324000,229360000,25395000,0.33905,0.11851,0.09081,0.03825,0.02152,0.66996,1.71286,0.77724,0.13023,1.20624,1.202,13.28345,31.53504,0.80814,0.0285,0.01909,2.99026,3.58611
