"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",192.829206349206,"Down",26682000,-11048000,15634000,-14314000,-9785000,-860000,1320000,-372000,-372000,948000,948000,-90000,858000,858000,858000,858000,5729000,5729000,13254000,13254000,7606000,6090000,5972000,32679000,22997000,102484000,38336000,64148000,125481000,158160000,11710000,2426000,9284000,20783000,27213000,2571000,2457000,29784000,50567000,36528000,72520000,107593000,107593000,158160000,858000,2273000,5183000,1778000,10092000,-5198000,-617000,412000,412000,-4757000,137000,137000,104000,3593000,29213000,0.58594,0.04947,0.03216,0.00797,0.00542,1.57239,0.46998,0.18471,0.22257,0.21211,6.9214,27.90999,0.16005,0.01058,0.71911,6.53604,17.79091
"36","2019_Q1",223.653114754098,"Up",26446000,-10832000,15614000,-4981000,-10983000,-967000,10633000,-590000,1130000,10043000,1969000,-567000,1402000,1402000,1402000,1402000,10185000,10185000,12516000,12516000,6772000,4150000,4150000,33623000,22225000,100919000,33219000,66377000,123144000,156767000,14226000,2898000,11328000,23661000,20613000,1182000,1077000,21795000,45456000,39823000,73303000,111311000,111311000,156767000,1402000,2266000,-157000,6751000,10262000,-54999.9999999981,-619000,1507000,1507000,-5615000,4592000,4592000,4456000,12899000,22738000,0.59041,0.40206,0.05301,0.0126,0.00894,1.42103,0.40837,0.14504,0.36558,0.34746,6.89596,29.02503,0.16141,0.01494,0.44151,0.97318,1.18057
"37","2019_Q2",230.579365079365,"Up",26288000,-10149000,16139000,-10747000,-9728000,-1019000,5392000,-32000,-32000,5360000,5360000,-763000,4597000,4597000,4597000,4597000,7314999.99999999,7314999.99999999,12952000,12952000,6971000,6586000,6586000,33824000,21982000,103865000,33754000,67424000,125847000,159671000,11129000,3130000,7999000,21323000,17512000,1789000,1093000,19301000,40624000,43400000,77276000,119047000,119047000,159671000,4597000,2181000,932000,-6986000,724000,-2781000,-624000,2709000,2709000,-915000,-2972000,-2972000,-2870000,7573000,19762000,0.61393,0.20511,0.17487,0.03862,0.02879,1.58627,0.34124,0.12377,1.17842,1.12506,6.73878,30.51705,0.15996,0.03713,0.13574,1.6436,2.30842
"38","2019_Q3",229.05109375,"Down",25536000,-9885000,15651000,-10892000,-9977000,-915000,4759000,-920000,673000,3839000,3839000,-602000,3237000,3237000,3237000,3237000,245443000,245443000,12228000,12228000,6848000,6209000,6209000,270728000,21731000,100006000,31527000,67087000,121737000,392465000,12249000,2339000,9910000,16741000,137682000,8885000,8400000,146567000,163308000,152021000,79641000,229157000,229157000,392465000,3237000,2263000,1953000,-1028000,6425000,-317000.000000007,-697000,85793000,85793000,232155000,238263000,238263000,238128000,7022000,137682000,0.6129,0.18636,0.12676,0.01413,0.00825,16.17155,0.71265,0.35081,0.77869,0.74861,6.14289,55.12557,0.16767,0.01047,0.21532,-15.3462,-22.64362
"39","2019_Q4",232.2584375,"Up",31655000,-16852000,14803000,-17760000,-15650000,-2110000,-2957000,-1822000,107000,-4779000,-5077000,573000,-4504000,-4504000,-4504000,-4504000,73979000,73979000,19503000,19503000,18804000,8417000,8417000,120703000,22352000,280412000,88077000,189597000,302764000,423467000,18354000,3780000,14574000,25245000,138967000,25084000,23702000,164051000,189296000,155622000,74313000,234171000,234171000,423467000,-4504000,3057000,10640000,1814000,11007000,-181939000,-698000,341000,341000,-357000,-171289000,-171289000,-171765000,1e+05,138967000,0.46764,-0.09341,-0.14228,-0.01923,-0.01064,4.78126,0.80837,0.32816,-1.03114,-0.92981,7.24702,53.61058,0.1598,-0.00956,-0.15497,649.88,-21.97768
"40","2020_Q1",244.702258064516,"Up",34208000,-15439000,18769000,-18040000,-15729000,-2311000,729000,-1287000,695000,-558000,-260000,-1292000,-1552000,-1552000,-1552000,-1552000,81380000,81380000,21132000,21132000,14230000,6050000,4136000,122792000,22066000,264250000,119871000,141536000,286316000,409108000,19194000,3408000,15545000,26008000,140278000,22809000,21451000,163087000,189095000,158023000,72359000,220013000,220013000,409108000,-1552000,5489000,1832000,3063000,8832000,-548000,-703000,1097000,1097000,394000.00000003,8678000.00000006,8678000.00000006,7701999.99999994,6218000,140278000,0.54867,0.02131,-0.04537,-0.00705,-0.00379,4.72132,0.85947,0.34289,-0.35482,-0.3669,7.82076,50.30018,0.16072,-0.00222,-0.45296,9.47218,80.79287
"41","2020_Q2",228.842857142857,"Down",29941000,-9601000,20340000,-16770000,-14174000,-2596000,3570000,-2816000,-897000,754000,754000,463000,1217000,1217000,1217000,1217000,230951000,230951000,17929000,17929000,12900000,7976000,7976000,269756000,21796000,285181000,117526000,153948000,306977000,576733000,14617000,2812000,11805000,20475000,141604000,32420000,31230000,174024000,194499000,306880000,72242000,382234000,382234000,576733000,1217000,3908000,2649000,-5514000,2260000,-216000,-704000,147589000,147589000,146885000,148929000,148929000,149571000,7478000,141604000,0.67934,0.11923,0.04065,0.00318,0.00211,13.1749,0.50885,0.24553,0.26877,0.26066,6.61241,84.41564,0.15548,0.00345,0.57847,-11.94798,-25.02717
"42","2020_Q3",236.05140625,"Up",31860000,-10575000,21285000,-16815000,-14401000,-2414000,4470000,-2086000,-152000,2384000,2384000,295000,2679000,2679000,2679000,2679000,241924000,241924000,18563000,18563000,11837000,7801000,7801000,280125000,22309000,286498000,116703000,156365000,308807000,588932000,12743000,1852000,10891000,19533000,142945000,34042000,33090000,176987000,196520000,309935000,74724000,392412000,392412000,588932000,2679000,4425000,3615000,-368999.999999998,10350000,-490999.999999985,-818000,1047000,1047000,219000,10078000,10078000,10973000,8895000,142945000,0.66808,0.1403,0.08409,0.00683,0.00455,14.34112,0.5008,0.24272,0.52386,0.51058,6.22996,76.73289,0.15995,0.00614,0.30534,-11.12749,-22.14295
"43","2020_Q4",273.5015625,"Up",34172000,-13519000,20653000,-20631000,-17926000,-2705000,22000,-5749000,-3799000,-5727000,-5727000,1185000,-4542000,-4542000,-4542000,-4542000,253731000,253731000,20410000,20410000,11965000,9169000,3842000,295275000,22295000,304066000,120803000,165784000,326361000,621636000,20104000,3751000,16353000,27750000,144302000,36789000,36103000,181091000,208841000,314537000,69363000,412795000,412795000,621636000,-4542000,4600000,7877000,3008000,10943000,-247000,-819000,991000,991000,171000,10867000,10867000,11807000,4622000,144302000,0.60438,0.00064,-0.13292,-0.011,-0.00731,10.64054,0.50592,0.23213,-0.88642,-0.93649,6.66901,80.56109,0.15984,-0.00627,-0.18032,-23.67568,-4974.04545
"44","2021_Q1",273.661147540984,"Up",37964000,-13228000,24736000,-20440000,-17767000,-2673000,4296000,596000,2817000,4892000,4892000,-972000,3920000,3920000,3920000,3920000,263865000,263865000,23787000,23787000,11178000,4919000,4919000,303749000,21998000,275728000,106154000,160841000,297726000,601475000,23806000,4473000,19333000,32583000,145675000,16990000,16275000,162665000,195248000,317652000,72459000,406227000,406227000,601475000,3920000,4727000,-3254000,8127000,13520000,-1038000,-824000,734000,734000,-1047000,11435000,11435000,10134000,9023000,145675000,0.65156,0.11316,0.10326,0.00965,0.00652,9.32232,0.48064,0.2422,0.76354,0.68412,7.39462,79.12485,0.1605,0.00834,0.2102,-13.09875,-27.51164
"45","2021_Q2",252.435238095238,"Down",34920000,-12709000,22211000,-19088000,-16277000,-2811000,3123000,-1705000,-831000,1418000,1418000,577000,1995000,1995000,1995000,1995000,275710000,275710000,20578000,20578000,12122000,6901000,6901000,315311000,21951000,275228000,109680000,162725000,297179000,612490000,24507000,4045000,20462000,33448000,168695000,11344000,10814000,180039000,213487000,298203000,79313000,399003000,399003000,612490000,1995000,4572000,1592000,1430000,9589000,-653000,-824000,1089000,1089000,265000,9201000,9201000,11845000,7695000,168695000,0.63605,0.08943,0.05713,0.005,0.00326,9.4269,0.53505,0.27542,0.40101,0.38934,7.0191,80.20161,0.16563,0.00487,0.41303,-13.90708,-34.266730000001
"46","2021_Q3",283.0525,"Up",35840000,-12700000,23140000,-18939000,-16326000,-2613000,4201000,342000,1157000,4543000,4543000,-823000,3720000,3720000,3720000,3720000,278294000,278294000,22636000,22636000,12117000,6357000,6357000,319404000,22392000,267306000,103488000,159977000,289698000,609102000,18949000,4463000,14486000,28690000,168917000,12078000,11642000,180995000,209685000,302234000,82199000,399417000,399417000,609102000,3720000,4277000,2863000,-6426000,4434000,-937999.999999985,-834000,1992000,1992000,1158000,4654000,4654000,2583999.99999999,8478000,168917000,0.64565,0.11722,0.10379,0.00931,0.00611,11.13294,0.52498,0.27732,0.71787,0.69872,6.91625,77.07777,0.16094,0.00785,0.22419,-12.90127,-26.03594
"47","2021_Q4",312.78171875,"Up",54696000,-26069000,28627000,-31139000,-25975000,-5164000,-2512000,171000,1189000,-2341000,-2341000,281000,-2060000,-2060000,-2060000,-2060000,51706000,51706000,37289000,37289000,23719000,8281000,8281000,120995000,30152000,570565000,264666000,293542000,600717000,721712000,34292000,7827000,26465000,46775000,229140000,49468000,41134000,278608000,325383000,308208000,79302000,396329000,396329000,721712000,-2060000,6837000,9042000,2079000,15898000,-302852000,-837000,3090000,3090000,61200000,-225754000,-225754000,-226588000,4325000,229140000,0.52338,-0.04593,-0.03766,-0.0052,-0.00285,2.58675,0.82099,0.3175,-0.39532,-0.38548,10.49626,76.05623,0.16062,-0.00181,-0.40631,41.0252,-70.63455
"48","2022_Q1",270.765322580645,"Down",58879000,-23767000,35112000,-35222000,-30043000,-5179000,-109999.999999999,64000,1242000,-46000,-46000.0000000019,-1738000,-1784000,-1784000,-1784000,-1784000,49346000,49346000,41224000,41224000,24606000,9142000,9142000,124318000,28620000,554431000,250117000,291166000,583051000,707369000,34225000,7897000,26328000,48055000,218365000,47148000,39224000,265513000,313568000,313460000,76675000,393801000,393801000,707369000,-1784000,9382000,5979000,-4275000,9302000,-782000,-844000,981000,981000,-10047000,-1527000,-1527000,-2360000,9272000,218365000,0.59634,-0.00187000000000002,-0.0303,-0.00453,-0.00252,2.58699,0.79626,0.3087,-0.33833,-0.33358,11.16613,74.68253,0.16006,-0.00143,-0.47309,18.22897,-1536.53636
"49","2022_Q2",218.431129032258,"Down",50453000,-19112000,31341000,-35935000,-30235000,-5700000,-4594000,-818000,196000,-5412000,-5412000,3974000,-1438000,-1438000,-1438000,-1438000,43747000,43747000,41840000,41840000,26874000,15666000,15666000,128127000,28006000,529678000,2.35e+08,283565000,557684000,685811000,28859000,7557000,21302000,44127000,216590000,44663000,37323000,261253000,305380000,318328000,74394000,380431000,380431000,685811000,-1438000,8134000,986000,-10493000,-2811000,-225000,-843000,1436000,1436000,-1407000,-4443000,-4443000,-5599000,3540000,216590000,0.62119,-0.09106,-0.0285,-0.00378,-0.0021,2.9036,0.80272,0.31582,-0.27271,-0.27271,9.56818,72.14698,0.15987,-0.00093,-0.58623,48.82571,-37.62364
"50","2022_Q3",182.14,"Down",58749000,-22363000,36386000,-32391000,-27402000,-4989000,3995000,-611000,603000,3384000,3384000,-2078000,1306000,1306000,1306000,1306000,32377000,32377000,41809000,41809000,28039000,14035000,14035000,116260000,28222000,511749000,222271000,278006000,539971000,656231000,27675000,7738000,19937000,41506000,196816000,43673000,36847000,240489000,281995000,324905000,74848000,374236000,374236000,656231000,1306000,8055000,5725000,-4529000,10557000,-1639000,-852000,2206000,2206000,-18646000,-9728000,-9728000,-11370000,12050000,196816000,0.61935,0.068,0.02223,0.00349,0.00199,2.80104,0.75352,0.29992,0.24535,0.24348,11.03682,70.30547,0.16006,0.00351,0.65237,13.64639,41.1612
