"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2019_Q3",41.7490625,"Up",84113000,-21826000,62287000,-37800000,-5943000,-22582000,-9275000,24487000,-13271000,-13129000,-142000,11216000,11849000,11849000,11849000,8916000,8916000,44778000,44778000,10104000,10104000,3057314000,3057314000,3112196000,-538391000,144953000,144953000,-393438000,2718758000,54652000,54652000,162426000,217078000,70269000,70269000,1209758000,1426836000,1439365000,1309744000,-17822000,1291922000,2718758000,11941000,22582000,3150000,-4335000,33338000,-534686000,-1118000,-527613000,-18253000,6722000,-9000,484440000,-9834999.99999999,-9834999.99999999,-9834999.99999999,47069000,1301915000,0.74052,0.29112,0.106,0.0069,0.00328,14.33676,1.10443,0.47886,0.17778,0.13326,1.67712,26.11482,0.36394,0.0102,2.04722,26.70839,51.33896
"35","2019_Q4",41.77234375,"Up",98362000,-23989000,74373000,-43989000,-6479000,-26568000,-10942000,30384000,-13865000,-13734000,-131000,16519000,16519000,16519000,16519000,16519000,16519000,115568000,115568000,9561000,9561000,3083145000,3083145000,3208274000,-568848000,149532000,149532000,-419316000,2788958000,63205000,63205000,162159000,225364000,69845000,69845000,1265370000,1490734000,1451415000,1317270000,-19046000,1298224000,2788958000,16519000,26568000,1228000,7628000,51943000,-17711000,-6269000,-23980000,-21353000,54719000,-667000,43619000,71582000,71582000,71582000,56952000,1357684000,0.75612,0.3089,0.16794,0.01272,0.00592,14.23596,1.14829,0.48681,0.27734,0.21751,1.65144,22.11622,0.3585,0.01389,1.29263,21.80987,40.8806
"36","2020_Q1",36.4185483870968,"Down",98947000,-25356000,73591000,-43598000,-6376000,-26472000,-10750000,29993000,-13416000,-13796000,380000,16577000,16577000,16577000,16577000,19510000,19510000,99303000,99303000,12016000,12016000,10148000,10148000,121467000,2523475000,145391000,145391000,2668866000,2790333000,62576000,62576000,161879000,232771000,68110000,68110000,1263890000,1496661000,1452615000,1313917000,-20245000,1293672000,2790333000,16485000,26472000,-1059000,-10194000,31704000,-22778000,-2375000,-25152999.9999999,-22938000,-294000.000000007,-1350000,-23162000.0000001,-16611000,-16611000,-16611000,56465000,1357659000,0.74374,0.30312,0.19718,0.01508,0.00699,0.52183,1.15691,0.48656,0.32667,0.25633,1.65672,21.99952,0.38406,0.01561,1.1757,22.28559,41.95499
"37","2020_Q2",24.862380952381,"Down",96743000,-22568000,74175000,-45327000,-6820000,-27462000,-11045000,28848000,-13364000,-13472000,108000,15484000,15484000,15484000,15484000,15484000,15484000,52371000,52371000,8621000,8621000,4457000.00000024,4457000.00000024,65449000,2521569000,169167000,169167000,2690736000,2756185000,67348000,67348000,110892000,178240000,100888000,100888000,1296924000,1475164000,1453865000,1304242000,-23221000,1281021000,2756185000,15484000,27462000,-6041000,8456000,45361000,-20531000,-3394000,-23925000,-22937000,-51003000,-141575.536044419,-74059000,-52623000,-52623000,-52623000,56310000,1306928000,0.76672,0.29819,0.16005,0.01209,0.00562,0.3672,1.15155,0.47418,0.25926,0.20343,1.61986,21.83816,0.38406,0.01429,1.48134,22.27947,43.48853
"38","2020_Q3",23.76203125,"Down",82109000,-16981000,65128000,-42133000,-6679000,-26493000,-8961000,22995000,-13169000,-13331000,162000,9826000,9826000,9826000,9826000,9826000,9826000,146131000,146131000,13544000,13544000,3957000,3957000,163632000,2512073000,170577000,170577000,2682650000,2846282000,65780000,65780000,110902000,275630000,97873000,97873000,1294164000,1569794000,1455117000,1300953000,-24465000,1276488000,2846282000,9826000,26493000,-3555000,-9003000,23761000,-14710000,-497999.999999999,-15208000,-15293000,1e+08,1736701.01458795,84707000,93260000,93260000,93260000,49488000,1307193000,0.79319,0.28005,0.11967,0.0077,0.00345,0.59367,1.22978,0.45926,0.16452,0.12909,1.3748,21.7827,0.25606,0.00937,1.55638,23.46149,50.49193
"39","2020_Q4",24.586875,"Up",84374000,-19208000,65166000,-44843000,-6438000,-26914000,-11491000,20323000,-13833000,-13302000,-531000,6490000,6490000,6490000,6490000,6490000,6490000,155327000,155327000,12018000,12018000,-30650070.2394011,-30650070.2394011,167345000,2498564000,178205000,178205000,2676769000,2844114000,71837000,71837000,110913000,182750000,99786000,99786000,1395382000,1578132000,1444367000,1280939000,-14957000,1265982000,2844114000,6490000,26914000,1582000,5041000,40027000,-13449000,-992000,-14441000,-19116000,0,2209877.05792634,-19116000,6470000,6470000,6470000,47237000,1406509000,0.77235,0.24087,0.07692,0.00513,0.00228,0.9157,1.24657,0.49453,0.10848,0.08526,1.41033,21.41111,0.31953,0.00924,2.94545,26.48733,61.56483
"40","2021_Q1",28.8059016393443,"Up",81347000,-20421000,60926000,-44511000,-6644000,-27423000,-10444000,16415000,-13010000,-13335000,325000,3405000,3405000,3405000,3405000,-4140000,-4140000,137333000,137333000,6938000,6938000,1715999.99999994,1715999.99999994,145987000,2492734000,178588000,178588000,2671322000,2817309000,59262000,59262000,110923000,170185000,97890000,97890000,1393718000,1563903000,1446249000,1271442000,-18036000,1253406000,2817309000,3788000,27423000,958000,-14333000,17836000,-14798000,-705000,-15503000,-19164000,0,-797000,-19842000,-17509000,-17509000,-17509000,43838000,1406751000,0.74896,0.20179,-0.05089,-0.0033,-0.00147,0.85781,1.24772,0.49932,-0.06906,-0.05438,1.35687,21.20763,0.31966,0.00545,-4.62899,28.95702,77.33281
"41","2021_Q2",33.4450793650794,"Up",83986000,-18246000,65740000,-45678000,-6823000,-27501000,-11354000,20062000,-14058000,-14005000,-53000,6004000,1733000,1733000,1733000,1733000,1733000,380434000,380434000,6031000,6031000,1716000,1716000,388181000,2481317000,179848000,179848000,2661165000,3049346000,71226000,71226000,110934000,182160000,94857000,94857000,1631747000,1813907000,1447733000,1257599000,-22160000,1235439000,3049346000,1733000,27501000,3203000,10068000,42505000,-11372000,-844000,-12216000,-21463000,239300000,-5025000,212812000,243101000,243101000,243101000,47563000,1647824000,0.78275,0.23887,0.02063,0.0014,0.000570000000000001,2.13099,1.46823,0.54039,0.02889,0.02275,1.40013,20.96546,0.35781,0.00779,12.38488,26.64655,63.17366
"42","2021_Q3",35.90484375,"Up",91809000,-20204000,71605000,-45182000,-6924000,-27646000,-10612000,26423000,-14936000,-14862000,-74000.0000000001,11487000,11487000,11487000,11487000,11487000,11487000,368266000,368266000,6582000,6582000,1716000.00000003,1716000.00000003,376564000,2486060000,182907000,182907000,2668967000,3045531000,80291000,80291000,110944000,191235000,89843000,89843000,1627150000,1818385000,1449217000,1251383000,-24237000,1227146000,3045531000,11487000,27646000,-3524000,-1388000,34221000,-24154000,-684000,-24875000,-21464000,2.98023223876953e-08,-50000,-21514000,-12168000,-12168000,-12168000,54069000,1648251000,0.77993,0.2878,0.12512,0.00936,0.00377,1.96912,1.4818,0.5412,0.1915,0.15082,1.53055,20.86183,0.35783,0.01111,1.86855,23.67318,48.44208
"43","2021_Q4",35.821875,"Down",98286000,-23466000,74820000,-47151000,-6827000,-30680000,-9644000,27669000,-14774000,-14722000,-52000,12895000,12895000,12895000,12895000,12895000,12895000,171923000,171923000,7421000,7421000,1716000,1716000,3685215000,-823198000,189053000,189053000,-634145000,3051070000,88851000,88851000,110955000,1442597000,94801000,94801000,1632573000,3075170000,-27477000,-24100000,-26479987.4215365,-24100000,3051070000,12895000,30680000,-5443000,14774000,52906000,-225757000,-497000,-226254000,-22995000,0,0,-22995000,-196343000,-196343000,-196343000,58349000,1648727000,0.76125,0.28152,0.1312,-0.53506,0.00423,2.55457,-127.60041,0.54038,0.21496,0.1693,1.63846,-0.40175,0.38333,0.02087,1.78325,25.30984,53.37396
"44","2022_Q1",35.2182258064516,"Down",101747000,-25064000,76683000,-50968000,-9305000,-30479000,-11184000,25715000,-15801000,-14998000,-803000,9914000,9914000,9914000,9914000,2261000,2261000,139524000,139524000,7445000,7445000,3390273000,3390273000,3537242000,-708292000,188977000,188977000,-519315000,3017927000,64531000,64531000,110965000,175496000,94070000,94070000,1632308000,1807804000,1453877000,1238964000,-28841000,1210123000,3017927000,10478000,30479000,1574000,-3834000,38697000,-47816000,-1117000,-48933000,-23014000,-1.49011611938477e-08,-865000,-23879000,-34115000,-34115000,-34115000,56194000,1649203000,0.75366,0.25273,0.02222,0.00187,0.00075,20.15568,1.4939,0.54647,0.03768,0.02968,1.69576,20.64911,0.38356,0.00856,10.17868,26.86548,58.70811
"45","2022_Q2",32.4577419354839,"Down",101470000,-24145000,77325000,-48983000,-7142000,-30412000,-11429000,28342000,-14828000,-14666000,-162000,13514000,13514000,13514000,13514000,13514000,13514000,73573000,73573000,7876000,7876000,3600305000,3600305000,3681754000,-868848000,198228000,198228000,-670620000,3011134000,68797000,68797000,110976000,1408650000,87422000,87422000,1625474000,3034124000,-32479999.9999998,-22989999.9999998,-30724481.2892318,-22990000,3011134000,13514000,30412000,-2567000,-2210000,39149000,-74996000,-2299000,-77295000,-24545000,-318254030.151154,-3260000,-27805000,-65951000,-65951000,-65951000,58754000,1649028000,0.76205,0.27931,0.13318,-0.58782,0.00449,2.61368,-131.97582,0.54764,0.22522,0.17739,1.6911,-0.383149999999997,0.40907,0.02221,1.81626,26.81443,55.58729
"46","2022_Q3",28.05765625,"Down",104155000,-25853000,78302000,-49986000,-7612000,-31087000,-11287000,28316000,-14728000,-14547000,-181000,13588000,13588000,13588000,13588000,13588000,13588000,60750000,60750000,7218000,7218000,3631628000,3631628000,3699596000,-894202000,201796000,201796000,-692406000,3007190000,66334000,66334000,110986000,177320000,91383000,91383000,1629902000,1807222000,1457352000,1231702000,-31734000,1199968000,3007190000,13588000,31087000,1266000,967000,46908000,-33231000,-1953000,-35184000,-24547000,-1194062090.45346,0,-24547000,-12823000,-12823000,-12823000,59403000,1649505000,0.75178,0.27186,0.13046,0.01132,0.00452,20.86395,1.50606,0.54852,0.22631,0.17827,1.73475,20.51461,0.40884,0.01297,1.80652,26.74537,56.10803
