"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",80.6974603174603,"Up",150716000,-104535000,46181000,-23126000,-20414000,-13656000,-6758000,-2712000,23055000,-2358000,-2010000,-348000,20697000,20697000,-4654000,16043000,16043000,16043000,16043000,34741000,34741000,86715000,86715000,59624000,12529000,3230000,3924000,193609000,184246000,580983000,134511000,441259000,5213000,765229000,958838000,54786000,24952000,29815000,89786000,206017000,77096000,77096000,0,283113000,372899000,151832000,436185000,-2078000,585939000,585939000,958838000,16043000,11087000,1727000,4905000,33762000,-6935000,-6935000,-7569000,0,-40250000,4539000,4631000,-92000,-35711000,-9518000,-9518000,660000,-8858000,34142000,241017000,36766000,0.30641,0.15297,0.10645,0.02738,0.01673,2.29172,2.15634,0.63641,0.25136,0.50281,0.49759,4.72366,18.36418,1.1523,0,0.01775,0.04067,0,6.04171,8.94713
"30","2018_Q1",76.6703278688525,"Down",159264000,-107626000,51638000,-24972000,-22474000,-13783000,-8691000,-2498000,26666000,-2144000,-1835000,-309000,24522000,24522000,17453000,41975000,41975000,41975000,41975000,40416000,40416000,91226000,91226000,60696000,6998000,4774000,2224000,199336000,189793000,574507000,128073000,441361000,5073000,764300000,963636000,73396000,28451000,31461000,108396000,189811000,48548000,48548000,9.09494701772928e-13,238359000,346755000,153884000,464639000,-1642000,616881000,616881000,963636000,41975000,11209000,-26419000,4399000,31164000,-10011000,-10033000,-9219000,0,-19750000,136000.000000001,208000,-72000.0000000001,-16614000,5331000,5331000,344000,5675000,37875000,224811000,14810000,0.32423,0.16743,0.26356,0.06804,0.04356,0.35283,1.83896,0.56211,0.23329,1.31406,1.30003,4.98589,19.31196,0.46364,0,0.04715,0.01664,0,4.86851,6.91499
"31","2018_Q2",90.7759375,"Up",161410000,-109951000,51459000,-24219000,-21650000,-14059000,-7591000,-2569000,27240000,-2063000,-1874000,-189000,25177000,25177000,-5831000,19346000,19346000,19346000,19346000,42679000,42679000,96001000,96001000,66270000,6858000,3958000,2223000,211808000,187935000,568246000,121945000,441361000,4940000,756181000,967989000,63077000,26674000,31266000,98115000,181450000,48534000,48534000,0,229984000,328099000,156170000,483986000,-266000,639890000,639890000,967989000,19346000,11127000,1083000,-6077000,25479000,-3854000,-3854000,-2264000,-13421000,-8750000,475000,1261000,-786000,-21696000,1519000,1519000,744000,2263000,38367000,216450000,34267000,0.31881,0.16876,0.11986,0.03023,0.01999,1.77127,2.15877,0.51274,0.22361,0.60484,0.59844,5.04638,20.00573,1.07133,0.4196,0.03621,0.03787,0.69374,4.52918,6.37926
"32","2018_Q3",102.396349206349,"Up",163687000,-110221000,53466000,-25675000,-22445000,-14495000,-7950000,-3230000,27791000,-2730000,-2265000,-465000,25061000,25061000,-5382000,19679000,19679000,19679000,19679000,62476000,62476000,98595000,98595000,70071000,9995000,4923000,2235000,241137000,184767000,563563000,115873000,441554000,6136000,748330000,989467000,60632000,30079000,30514000,60632000,217068000,48547000,48547000,-1.45519152283669e-11,265615000,326247000,163153000,503665000,-3161000,663220000,663220000,989467000,19679000,11299000,3215000,-12976000,21217000,-3566000,-4142000,-3566000,-7000.00000000373,-210750000,4880000,5317000,-437000,3750000,21401000,21401000,-1604000,19797000,39090000,217068000,27930000,0.32664,0.16978,0.12022,0.02967,0.01989,1.41928,3.97706,0.49191,0.21938,0.61349,0.60685,5.10288,20.67565,0.87071,0.000220000000000053,0.02119,0.03007,0.000360000000000027,3.95477,5.56266
"33","2018_Q4",87.9719047619048,"Down",155043000,-107041000,48002000,-22537000,-19997000,-14229000,-5768000,-2540000,25465000,-1936000,-1797000,-139000,23529000,23529000,-4315000,19214000,19214000,19214000,19214000,42671000,42671000,101205000,101205000,71778000,10052000,3769000,1500000,225706000,194081000,566289000,111142000,449015000,6132000,760370000,986076000,65951000,32891000,33021000,65951000,185462000,49461000,49461000,0,234923000,300874000,166020000,522879000,-3697000,685202000,685202000,986076000,19214000,11034000,114000,2127000,32489000,-5695000,-5695000,-20519000,0,-32769000,1555000,1555000,0,-31465000,-19495000,-19495000,-310000,-19805000,36499000,185462000,37246000,0.3096,0.16424,0.12393,0.02804,0.01949,1.93848,3.42233,0.4391,0.18808,0.5978,0.58939,4.82378,21.31836,1.15882,0,0.02088,0.04048,0,3.91219,5.60734
"34","2019_Q1",84.5591803278689,"Down",163539000,-112214000,51325000,-24721000,-21468000,-14436000,-7032000,-3253000,26604000,-1341000,-1675000,334000,25263000,25263000,-4929000,20334000,20334000,20334000,20334000,54268000,54268000,99545000,99545000,67187000,5314000,3830000,1484000,226314000,194339000,560702000,105985000,447995000,6722000,755041000,981355000,82056000,33345000,33047000,82056000,163372000,44309000,44309000,-2.3283064365387e-10,207681000,289737000,167249000,528027000,-3602000,691618000,691618000,981355000,20334000,11206000,-4943000,12915000,39512000,-5642000,-6032000,-5642000,-4000.00000000093,188750000,-32000,139000,-171000,-22036000,11834000,11834000,-237000,11597000,37810000,163372000,50012000,0.31384,0.16268,0.12434,0.0294,0.02072,2.45953,2.75804,0.41893,0.16648,0.63212,0.62712,5.08389,21.50014,1.55471,0.00012,0.02262,0.05561,0.000199999999999943,2.88559,4.10104
"35","2019_Q2",95.2593650793651,"Up",157029000,-107934000,49095000,-22615000,-19720000,-14126000,-5594000,-2895000,26480000,-1687000,-1589000,-98000,24793000,24793000,-6010000,18783000,18783000,18783000,18783000,39004000,39004000,99834000,99834000,66764000,16064000,3510000,806000,221666000,188036000,562186000,100088000,446453000,15645000,750222000,971888000,60586000,26342000,27177000,63810000,147699000,49870000,44311000,5559000,197569000,261379000,168918000,546810000,-4686000,710509000,710509000,971888000,18783000,10836000,-1243000,-5893000,22483000,-8507000,-8507000,-5780000,-15135000,-1.6e+07,-439000,288000,-727000,-31574000,-14871000,-14871000,-393000,-15264000,37316000,147699000,28926000,0.31265,0.16863,0.11961,0.02644,0.01933,1.54001,3.47384,0.36788,0.15197,0.58353,0.57778,4.87842,22.0734,0.89864,0.4702,0.03735,0.03185,0.80578,2.91283,4.1048
"36","2019_Q3",93.405,"Down",161554000,-107636000,53918000,-27516000,-24664000,-15494000,-9170000,-2852000,26402000,-1521000,-1488000,-33000,24881000,24881000,-5052000,19829000,19829000,19829000,19829000,41674000,41674000,101595000,101595000,68430000,20186000,5344000,1552000,231885000,204019000,662416000,139769000,506852000,15795000,866435000,1098320000,59245000,29439000,29728000,62091000,237008000,66876000,57386000,4873000,303884000,365975000,171900000,566639000,-6194000,732345000,732345000,1098320000,19829000,10896000,2678000,-7074000,26329000,-6205000,-6207000,-101895000,-3.72529029846191e-09,-32222000,1521000,1521000,-1.86264514923096e-09,77868000,2302000,2302000,368000,2669999.99999999,37298000,237008000,29071000,0.33375,0.16343,0.12274,0.02708,0.01805,1.46609,3.7346,0.49973,0.21579,0.61564,0.60878,5.01583,22.73738,0.90258,0,0.01914,0.02805,0,5.23712,7.39845
"37","2019_Q4",98.90015625,"Up",158595000,-104587000,54008000,-27978000,-25279000,-15227000,-10052000,-2699000,26030000,-1594000,-1672000,78000,24436000,24436000,-3760000,20676000,20676000,20676000,20676000,59404000,59404000,93995000,93995000,73830000,12720000,4107000,3165000,239949000,200805000,655874000,134397000,504094000,15212000,856679000,1096628000,69805000,36739000,32988000,72023000,227169000,63850000,57008000,4367000,291019000,363042000,175920000,587315000,-9055000,733586000,733586000,1096628000,20676000,11753000,1895000,8358000,42682000,4566000,-6955000,4566000,0,-2.5e+07,-18669000,1925000,-20594000,-28669000,18579000,18579000,-849000,17730000,37783000,227169000,54467000,0.34054,0.16413,0.13037,0.02818,0.01885,2.63431,3.33156,0.49489,0.20715,0.64422,0.63695,4.94147,22.85693,1.69707,0,0.02018,0.05316,0,4.44022,6.44506
"38","2020_Q1",100.952258064516,"Up",166527000,-112181000,54346000,-30705000,-27774000,-16085000,-11689000,-2931000,23641000,-1273000,-1210000,-63000,22368000,22368000,-1985000,20383000,20383000,20383000,20383000,65672000,65672000,93444000,93444000,83893000,11937000,4385000,2454000,254946000,216859000,683877000,143924000,523998000,15955000,900736000,1155682000,89783000,37267000,35661000,92258000,256396000,63361000,56431000,4827000,319757000,412015000,176379000,590921000,-5564000,743667000,743667000,1155682000,20383000,12377000,557000,-350000,32967000,-18267000,-6744000,-53116000,-9.31322574615479e-10,148224000,1105000,1105000,0,25760000,5611000,5611000,657000,6268000,36018000,256396000,19386000,0.32635,0.14196,0.1224,0.02741,0.01764,0.95109,2.7634,0.55403,0.22186,0.63594,0.62759,5.19553,23.20189,0.60483,0,0.01917,0.01823,-5.55111512312578e-17,5.29524,8.06751
"39","2020_Q2",92.1436507936508,"Down",174436000,-119105000,55331000,-29053000,-26353000,-15430000,-10923000,-2700000,26278000,-1788000,-1696000,-92000,24490000,24490000,-4722000,19768000,19768000,19768000,19768000,73959000,73959000,105867000,105867000,83196000,7659000,4134000,2998000,270681000,215279000,676152000,136515000,522785000,16852000,891431000,1162112000,69441000,23630000,45674000,71720000,262247000,61874000,57095000,4336000,324121000,395841000,175745000,610689000,-8469000,766271000,766271000,1162112000,19768000,12549000,2815000,-12567000,22565000,-5394000,-5394000,-5394000,-16704000,5e+06,3544000,4435000,-891000,-8160000,9011000,9011000,-724000,8287000,38827000,262247000,25588000,0.3172,0.15065,0.11333,0.0258,0.01701,1.29442,3.77414,0.51658,0.22566,0.61515,0.60793,5.42822,23.84537,0.79627,0.51981,0.03345,0.02347,0.845,4.84941,7.16523
"40","2020_Q3",96.5665625,"Up",173355000,-117975000,55380000,-28463000,-25894000,-13836000,-12058000,-2569000,26917000,-944000,-960000,16000,25973000,25973000,-4848000,21125000,21125000,21125000,21125000,76407000,76407000,97107000,97107000,81546000,8802000,5927000,2875000,263862000,217003000,670391000,130866000,522929000,16596000,887394000,1151256000,65966000,22630000,40921000,67960000,227508000,63265000,57237000,3860000,290773000,358733000,176237000,631814000,-5894000,792523000,792523000,1151256000,21125000,12745000,4383000,6362000,44615000,-7849000,-7871000,-8199000,-1.86264514923096e-09,-3.5e+07,233000,2367000,-2134000,-34767000,1649000,1649000,799000,2448000,39662000,227508000,43023000,0.31946,0.15527,0.12186,0.02666,0.01835,2.03659,3.88261,0.45265,0.19762,0.65644,0.65066,5.38687,24.62705,1.33691,-1.11022302462516e-16,0.0195,0.03971,0,3.80972,5.61359
"41","2020_Q4",104.01265625,"Up",175140000,-118772000,56368000,-27340000,-24648000,-14224000,-10424000,-2692000,29028000,-1121000,-953000,-168000,27907000,27907000,-6339000,21568000,21568000,21568000,21568000,78967000,78967000,98709000,98709000,77430000,15016000,5021000,2810000,270122000,219554000,671665000,126182000,526257000,19226000,891219000,1161341000,66539000,23329000,43074000,68413000,203373000,70112000,57082000,6026000,273485000,341898000,177324000,653382000,-1217000,819443000,819443000,1161341000,21568000,13055000,2464000,-1727000,35360000,-7309000,-7287000,-7787000,0,-25112000,-1580000,1377000,-2957000,-26692000,881000,881000,1679000,2560000,42083000,203373000,39386000,0.32185,0.16574,0.12315,0.02632,0.01857,1.82613,3.9484,0.41723,0.17512,0.66969,0.6633,5.43812,25.4438,1.22294,0,0.01973,0.03604,0,2.95621,4.28572
"42","2021_Q1",120.313278688525,"Up",180713000,-123895000,56818000,-27894000,-25523000,-15140000,-10383000,-2371000,28924000,-877000,-830000,-47000,28047000,28047000,-5885000,22162000,22162000,22162000,22162000,84571000,84571000,98214000,98214000,70620000,13483000,6598000,3438000,266888000,228096000,670859000,121660000,529463000,19736000,898955000,1165843000,92091000,23742000,49408000,94428000,163569000,79613000,51359000,16596000,243182000,337610000,167320000,656740000,4173000,828233000,828233000,1165843000,22162000,12932000,-3605000,16465000,47954000,-13276000,-13276000,-13211000,-999.999999998137,-30039000,-1505000,5976000,-7481000,-31545000,3198000,3198000,2406000,5604000,41856000,163569000,50930000,0.31441,0.16005,0.12264,0.02676,0.01901,2.29808,2.82637,0.40763,0.1403,0.68865,0.68166,5.61534,25.73591,1.58256,3.00000000000005e-05,0.02069,0.04754,4.99999999999442e-05,1.88738,2.73123
"43","2021_Q2",127.467619047619,"Up",185656000,-126929000,58727000,-28152000,-25403000,-14924000,-10479000,-2749000,30575000,-592000,-725000,133000,29983000,29983000,-6572000,23411000,23411000,23411000,23411000,88535000,88535000,106806000,106806000,77022000,8841000,4995000,3846000,281204000,226513000,661498000,113659000,526246000,21593000,888011000,1169215000,86481000,33765000,48874000,88763000,153569000,77391000,51865000,18768000,230960000,319723000,173002000,680151000,-1451000,849492000,849492000,1169215000,23411000,12364000,2461000,2371000,40607000,-6226000,-6312000,-6226000,-18700000,-10039000,806000,2402000,-1596000,-27933000,6448000,6448000,-2484000,3964000,42939000,153569000,45656000,0.31632,0.16469,0.1261,0.02756,0.02002,1.95019,3.16803,0.37637,0.13134,0.72581,0.71688,5.75588,26.33675,1.41547,0.57976,0.03898,0.04226,0.79877,1.51457,2.12703
"44","2021_Q3",134.0296875,"Up",202365000,-142918000,59447000,-28854000,-25955000,-14846000,-11109000,-2899000,30593000,-574000,-608000,34000,30019000,30019000,-7288000,22731000,22731000,22731000,22731000,79902000,79902000,113782000,113782000,78333000,15246000,8140000,4586000,287263000,228289000,658054000,108253000,527148000,22653000,886343000,1173606000,98470000,44804000,53463000,100759000,123569000,79636000,51883000,20091000,203205000,303964000,174800000,702882000,432000,869642000,869642000,1173606000,22731000,12099000,3062000,-2110000,35782000,-7294000,-7448000,-7294000,0,-30039000,-7755000,1484000,-9239000,-37794000,-9306000,-9306000,673000,-8633000,42692000,123569000,40576000,0.29376,0.15118,0.11233,0.02614,0.01937,1.78505,2.85099,0.34953,0.10529,0.70473,0.69605,6.27391,26.96146,1.25798,0,0.02119,0.03782,0,1.02284,1.42735
"45","2021_Q4",159.01859375,"Up",197869000,-136935000,60934000,-28421000,-25265000,-15591773.7982704,-11883195.021032,-3156000,32513000,-428000,-556000,128000,32085000,32085000,-7072000,25013000,25013000,25013000,25013000,90013000,90013000,110711000,110711000,81925000,17626000,9604000,3907000,300275000,229798000,649276000,101283000,525419000,22574000,879074000,1179349000,102483000,37942000,64341000,104926000,108569000,76776000,51332000,20500000,185345000,290271000,174841000,727895000,-2578000,889078000,889078000,1179349000,25013000,12159000,1055000,1407000,39634000,-8871000,-9745831.7397824,-7599000,-4000,-15040000,-5462000,2465000,-7927000,-20506000,11529000,11529000,-1418000,10111000,44672000,108569000,44280000,0.30795,0.16432,0.12641,0.02813,0.02121,1.77028,2.86178,0.32649,0.09206,0.77695,0.76624,6.14615,27.61626,1.37541,0.00012,0.02328,0.04121,0.00016,0.41538,0.57073
"46","2022_Q1",142.429677419355,"Down",213133000,-149067000,64066000,-30245000,-25525000,-16580510.5988993,-12531296.8315658,-4720000,33821000,-675000,-567000,-108000,33146000,33146000,-8197000,24949000,24949000,24949000,24949000,103239000,103239000,117408000,117408000,91058000,10527000,6116000,4411000,322232000,237517000,639576000,94665000,523949000,20962000,877093000,1199325000,141441000,56243000,62978000,143802000,108569000,69939000,46455000,20826000,178508000,322310000,149870000,732138000,-4993000,877015000,877015000,1199325000,24949000,12257000,-1977000,9262000,44491000,-15058000,-10300538.3798615,-14181000,-18999.9999999991,-41000,-15885000,592000,-16477000,-15945000,14365000,14365000,-1139000,13226000,46078000,108569000,48479000,0.30059,0.15868,0.11706,0.02845,0.0208,1.94312,2.2408,0.36751,0.09053,0.77496,0.76428,6.62027,27.24157,1.50584,0.000590000000000002,0.02365,0.04593,0.000760000000000003,0.11567,0.15759
"47","2022_Q2",124.430806451613,"Down",228867000,-157361000,71506000,-33170000,-29939000,-16985000,-12954000,-3231000,38336000,-706000,-545000,-161000,37630000,37630000,-8700000,28930000,28930000,28930000,28930000,64466000,64466000,136974000,136974000,108411000,9953000,5383000,4570000,319804000,240419000,634685000,88525000,522587000,22691000,875104000,1194908000,121166000,46819000,64282000,123529000,128569000,69128000,47033000,22095000,197697000,321226000,118913000,761058000,-6289000,873682000,873682000,1194908000,28930000,11928000,3413000,-37250000,7021000,-10072000,-10256000,-10072000,-20703000,19959000,-34101000,498000,-34599000,-34845000,-37896000,-37896000,-877000,-38773000,50264000,128569000,11642000,0.31243,0.1675,0.12641,0.03311,0.02421,0.40242,2.5889,0.36767,0.1076,0.89602,0.8842,7.08849,27.05974,0.36058,0.64121,0.04633,0.01087,0.71562,1.27533,1.67214
"48","2022_Q3",129.50234375,"Up",236693000,-164817000,71876000,-31956000,-29034000,-15991000,-13043000,-2922000,39920000,-662000,-960000,298000,39258000,39258000,-9476000,29782000,29782000,29782000,29782000,76183000,76183000,138579000,138579000,140840000,21539000,8467000,5796000,377141000,252145000,977388000,218802000,731772000,26814000,1229533000,1606674000,140975000,66363000,73622000,144143000,433569000,127592000,77574000,25225000,561161000,705304000,122954000,790840000,-12424000,901370000,901370000,1606674000,29782000,11933000,6048000,477000.000000015,48240000,-10530000,-10543000,-306340000,-1000,274310000,230000,830000,-599999.999999993,274539000,16439000,16439000,-4722000,11717000,51853000,433569000,51276000,0.30367,0.16866,0.12583,0.03304,0.01854,1.72171,2.61644,0.78248,0.26985,0.9295,0.91707,7.38719,28.13177,1.60032,2.99999999997524e-05,0.02036,0.03506,2.99999999999745e-05,6.89229,8.95256
