"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q2",7.801875,"Down",73611000,-53274000,20337000,-10580000,-10580000,9757000,-74000,-48000,9683000,-1991000,7692000,-1240000,6452000,6452000,6452000,6452000,52696000,52696000,24365000,24365000,22762000,39023000,39023000,138846000,15637000,16042000,3378000,11484000,34267000,173113000,32431000,20483000,10340000,26361000,26361000,59157000,6802000,6802000,115.236784515703,15027000,74184000,127164000,-20247000,-7988000,98929000,98929000,173113000,6452000,471000,15389000,-22049000,263000,-93000,-93000.0000000002,-93000.0000000002,-93000,-89000,1199000,1199000,1110000,1280000,1280000,295000,1575000,10228000,8590000,-10674000,0.27628,0.13255,0.08765,0.06522,0.03727,-1.65437,2.34708,0.74987,0.04962,0.43651,0.42175,4.98011,6.69298,-0.72214,0.05644,-0.09337,-4.31228,-4.52045
"31","2018_Q3",5.48492063492063,"Down",32783000,-21058000,11725000,-9478000,-9478000,2247000,-10000,-38000,2237000,-2182000,55000,2780000,2835000,2835000,2835000,2835000,50495000,50495000,22719000,22719000,29043000,33980000,33980000,136237000,16083000,16081000,3289000,11646000,34780000,171017000,31189000,19129000,10127000,24840000,24840000,56398000,3490000,3490000,-5.6843418860808e-14,11707000,68105000,127516000,-17412000,-7192000,102912000,102912000,171017000,2835000,445000,1019000,-6367000,-2068000,-525000,-593000,-593000,-525000,-94000,141000,141000.000000001,47000,-2546000,-2546000,345000,-2201000,2692000,8586000,-6980000,0.35765,0.06854,0.08648,0.02755,0.01658,-2.46208,2.41564,0.66178,0.05021,0.19038,0.18708,2.20153,6.91102,-0.46874,0.02465,-0.0607,-15.56798,-18.65109
"32","2018_Q4",4.88412698412698,"Down",41200000,-26601000,14599000,-9541000,-9541000,5058000,542000,310000,5600000,761000,6361000,-1390000,4971000,4971000,4971000,4971000,48729000,48729000,27627000,27627000,22590000,31852000,31852000,130798000,16314000,15329000,3039000,11342000,31643000,162441000,24441000,12579000,9616000,19848000,19848000,44660000,3334000,3334000,0,11362000,56022000,128233000,-12441000,-9373000,106419000,106419000,162441000,4971000,706000,-382000,-6137000,-842000.000000001,-163000,-159000,-159000,-169000,-92000,549000,549000,457000,-554000.000000001,-554000.000000001,-1212000,-1766000,5764000,8399000,854000,0.35434,0.12277,0.12066,0.04671,0.0306,0.1718,2.92875,0.52643,0.0517,0.33307,0.3294,2.76047,7.13025,0.05722,0.04207,0.00722999999999999,-6.99688,-7.97351
"33","2019_Q1",4.93918032786885,"Up",-47541000,37798000,-9743000,3856000,3856000,-5887000,514000,514000,-5373000,1192000,-4181000,-3446000,-7627000,-8953000,-8953000,-8953000,58331000,58331000,20475000,20475000,24710000,20774000,20774000,124290000,16452000,8664000,1130000,6633000,25116000,149406000,25360000,11374000,11633000,19409000,19409000,45143000,3213000,3213000,2.27373675443232e-13,11173000,56316000,124458000,-21394000,-9974000,93090000,93090000,149406000,-8953000,232000,-10435000,8035000,-11121000,5132000,-650000,-650000,5138000,-93000,-3997000,3000,-4090000,-10073000,-10073000,-8e+05,-10873000,-5655000,8334000,10958000,0.20494,0.12383,0.18832,-0.09618,-0.05992,-1.22395,2.75325,0.60496,0.05578,-0.6076,-0.60834,-3.2264,6.31761,0.74367,-0.08556,0.10472,8.8412,8.49278
"34","2019_Q2",6.09968253968254,"Up",29453000,-20328000,9125000,-8221000,-8221000,903999.999999998,144000,144000,1048000,-2820000,-1772000,-6e+05,-2372000,-2372000,-2372000,-2372000,55969000,55969000,23137000,23137000,23808000,13298000,13298000,116212000,16148000,8563000,1066000,6633000,24711000,140923000,25658000,11828000,10917000,13180000,13180000,39216000,3481000,3481000,0,11359000,50575000,124664000,-23766000,-10550000,90348000,90348000,140923000,-2372000,443000,882999.999999998,4e+05,-646000,-152000.000000001,-152000,-152000,-151999.999999999,-95000,37000,37000,-58000,-856000,-856000,-662000,-1518000,1347000,8256000,2195000,0.30982,0.03069,-0.08054,-0.02625,-0.01683,-0.92538,2.96338,0.55978,0.05859,-0.16681,-0.16681,2.07124,6.35359,0.15436,-0.02324,0.0215,-35.42168,-52.77987
"35","2019_Q3",5.48328125,"Down",14405000,-6583000,7822000,-4198000,-4198000,3624000,118000,118000,3742000,204000,3946000,-314000,3632000,-5635000,-5635000,-5635000,47921000,47921000,17093000,17093000,19272000,28677000,28677000,112963000,10180000,8461000,1e+06,6633000,18641000,131604000,13533000,6128000,4775000,24510000,24510000,38399000,3147000,3147000,0,8508000,46907000,124858000,-29401000,-10760000,84697000,84697000,131604000,-5635000,445000,3537000,-768000,-2421000,-86000,-86000,-86000,-86000,-91000,4.65661287307739e-10,-4.36557456851006e-11,-91000,-2598000,-2598000,-241000,-2839000,4069000,5717000,3529000,0.54301,0.25158,-0.39118,-0.06653,-0.04282,-0.62626,2.94182,0.55382,0.04344,-0.39605,-0.39433,1.01244,5.95284,0.24803,-0.06023,0.03772,-10.37208,-11.6457
"36","2019_Q4",5.79890625,"Up",21003000,-13153000,7850000,-5718000,-5718000,2132000,249000,249000,2381000,-781000,1600000,-707000,893000,2047000,2047000,2047000,49109000,49109000,15488000,15488000,18885000,25311000,25311000,108793000,10290000,8343000,935000,6633000,18633000,127426000,10498000,4914000,3876000,21672000,21672000,32539000,3041000,3041000,0,8311000,40850000,125107000,-27354000,-11177000,86576000,86576000,127426000,2047000,392000,-1166000,2215000,3488000,-314000,-314000,-314000,-1426000,-85000,138000,138000,52999.9999999998,2115000,2115000,-547000,1568000,2524000,5639000,5132000,0.37376,0.10151,0.09746,0.02364,0.01606,2.50708,3.34346,0.47184,0.04425,0.1437,0.14324,1.47441,6.07764,0.36027,0.02149,0.05388,-17.22266,-20.38931
"37","2020_Q1",5.62758064516129,"Down",20174000,-11614000,8560000,-9194000,-6126000,-634000,341000,-511000,-293000,2287000,1994000,-1012000,982000,798000,798000,798000,52982000,52982000,12873000,12873000,17532000,24883000,24883000,108270000,10217000,7990000,870000,6633000,18207000,126477000,9796000,4371000,3991000,20481000,20481000,30648000,3199000,3199000,351746.535134784,8377000,39025000,125241000,-26556000,-11233000,87452000,87452000,126477000,798000,410000,287000,-1743000,-248000,-162000,-162000,-162000,-162000,-96000,35000,35000.0000000001,-61000,-471000,-471000,-102000,-573000,-224000,5549000,-1117000,0.42431,-0.03143,0.03956,0.00913,0.00631,-1.39975,3.53269,0.44624,0.04387,0.05593,0.05581,1.41403,6.12967,-0.07829,0.0083,-0.01161,211.75446,74.81546
"38","2020_Q2",4.94238095238095,"Down",20692000,-12518000,8174000,-6537000,-5915000,1637000,-70000,-70000,1567000,-2793000,-1226000,-40999.9999999999,-1267000,-1932000,-1932000,-1932000,52742000,52742000,14205000,14205000,15580000,21570000,20908000,104097000,10100000,8088000,804000,6633000,18188000,122285000,7988000,5097000,2891000,16194000,16194000,24550000,3688000,3654000,34000.0000000001,8773000,33323000,126010000,-28488000,-8560000,88962000,88962000,122285000,-1932000,406000,3910000,-2552000,-168000,-173000,-173000,-173000,-820000,-103000,701000,701000,598000,-390000,-390000,1141000,750999.999999998,2043000,5453000,-641000,0.39503,0.07911,-0.0933699999999999,-0.02172,-0.0158,0.331780000000001,4.2402,0.37458,0.04459,-0.1352,-0.1352,1.44801,6.22547,-0.04486,-0.01969,-0.00652999999999999,-23.1468399999999,-28.8876
"39","2020_Q3",5.15484375,"Up",14460000,-9102000,5358000,-6330000,-5415000,-972000,595000,595000,-377000,0,-377000,-166000,-543000,-11694000,-11694000,-11694000,49268000,49268000,11285000,11285000,17600693.5538897,21014000,20774000,81567000,10100000,7931000,739000,6633000,18031000,99598000,7395000,4447000,2948000,1930000,1930000,9697000,2755000,2726000,29000,7744000,17441000,124285000,-40314000,-1814000,82157000,82157000,99598000,-11694000,288000,11018000,1832000,1444000,-172000,-172000,-172000,-9465000,-91000,-1922000,78000,-2013000,-10034000,-10034000,-583000,-10617000,-684000,5361000,1142000,0.37054,-0.06722,-0.80871,-0.14234,-0.11741,-0.09766,8.41157,0.21229,0.05383,-0.8296,-0.8296,1.02582,5.82839,0.08102,-0.12954,0.01265,64.19152,45.17181
"40","2020_Q4",5.94578125,"Up",15227000,-9276000,5951000,-5703000,-4804000,248000,-13000,-525000,235000,-217000,18000,-89999.9999999999,-72000,-72000,-71999.9999999981,-71999.9999999981,46436000,46436000,10297000,10297000,19385000,4466000,4316000,80584000,10438000,13034000,674000,6633000,23472000,104056000,7394000,3933000,3461000,2046000,2046000,9816000,7095000,2007000,5088000,11989000,21805000,124429000,-40386000,-1792000,82251000,82251000,104056000,-72000,238000,348000.000000002,-2780000,-2266000,-515000,-515000,-515000,-515000.000000002,-91000,20000,20000,-70999.9999999995,-2852000,-2852000,20000,-2832000,486000,5270000,-2719000,0.39082,0.01629,-0.00473000000000023,-0.00088000000000002,-0.000689999999999996,37.76389,8.20945,0.2651,0.05065,-0.00506999999999991,-0.00506999999999991,1.0724,5.79273,-0.19149,-0.000759999999999983,-0.02874,-84.7036999999999,-165.99194
"41","2021_Q1",9.25081967213115,"Up",15084000,-10126000,4958000,-6139000,-5263000,-1181000,-350000,162000,-1531000,0,-1531000,-494000,-2025000,-2025000,-2025000,-2025000,45070000,45070000,11243000,11243000,17277000,2979000,1617000,76569000,11995000,13534000,609000,6633000,25529000,102098000,5749000,2676000,3073000,1348000,1348000,7477000,8304000,3240000,5064000,13102000,20579000,124576000,-42411000,-646000,81519000,81519000,102098000,-2025000,326000,-211000,1236000,-674000,-1816000,-439439.148731345,-439439.148731345,-1816000,-94000,78000,78000,-16000,-2506000,-2506000,1140000,-1366000,-855000,5178000,-941000,0.32869,-0.07829,-0.13425,-0.02484,-0.01983,0.46469,10.2406,0.25244,0.05072,-0.14412,-0.14412,1.07352,5.80165,-0.06697,-0.02132,-0.00991,46.65731,33.77815
"42","2021_Q2",10.2560317460317,"Up",17975000,-10463000,7512000,-6458000,-5213000,1054000,-255000,245689.624612829,799000,246366.682865076,799000,-80000.0000000001,719000,719000.000000001,719000,719000,45614000,45614000,13940000,13940000,16616000,2863000,1501000,79033000,11952000,13542000,543000,6633000,25494000,104527000,6889000,3414000,3475000,1156000,1156000,8429000,8364000,3274000,5090000,13065000,21494000,124776000,-41692000,-51000.0000000002,83033000,83033000,104527000,719000.000000001,325000,121000,-1061000,104000,-198000,-198000,-198000,-198000.000000001,-93000,135000,135000,42000.0000000001,-52000,-52000,596000,544000,1379000,5085000,2e+05,0.41791,0.05864,0.04,0.00866000000000001,0.00688,0.278159999999992,9.37632,0.25886,0.04865,0.0510899999999999,0.05093,1.27736,5.90058,0.01421,0.00744999999999999,0.00207,-29.39014,-38.45256
"43","2021_Q3",10.2421875,"Down",19790000,-12062000,7728000,-7557000,-5688000,171000,73000,-182000,244000,112933.343641412,244000,-490000,-246000,-246000,-246000,-246000,40399000,40399000,16980000,16980000,16389000,2792000,1735000,76560000,12025000,19351000,912000,11150000,31376000,107936000,9870000,5878000,3992000,295000,295000,10553000,9341000,3471000,5870000,13942000,24495000,125655000,-41938000,-276000,83441000,83441000,107936000,-246000,319000,294000,-736000,-369000,-235000,-235000,-235000,-5317000,-96000,795000,795000,699000,-4987000,-4987000,-228000,-5215000,490000,4989000,9000,0.3905,0.00864,-0.01243,-0.00295,-0.00228,-0.03659,7.25481,0.29356,0.04622,-0.01736,-0.01718,1.39661,5.88857,0.00064,-0.00252,9e-05,-72.26531,-207.07602
"44","2021_Q4",11.53609375,"Up",23100000,-13021000,10079000,-8804000,-7281000,1275000,-155000,-155000,1120000,-71000.0000000002,1049000,-680000,369000,369000,369000,369000,37040000,37040000,20893000,20893000,20528000,2951000,1894000,81412000,12007000,22150000,883000,11168000,34157000,115569000,13308000,8571000,4737000,1870000,1870000,15570000,11957000,3471000,8486000,16459000,32029000,126001000,-41569000,-892000,83540000,83540000,115569000,369000,394000,164000,-3434000,-2507000,-357000,-357000,-357000,-357000,-95000,218000,218000,123000,-2741000,-2741000,-618000,-3359000,1669000,4894000,-1442000,0.43632,0.05519,0.01597,0.00442,0.00319,-3.90786,5.22877,0.3834,0.04235,0.02613,0.02595,1.63586,5.91601,-0.10212,0.00368,-0.01436,-19.26064,-25.21255
"45","2022_Q1",9.54709677419355,"Down",24340000,-15129000,9211000,-7900000,-6558000,1311000,46000,46000,1357000,-15000,1342000,-676000,666000,666000,666000,666000,32836000,32836000,22502000,22502000,22075000,3453000,2407000,80866000,14083000,21964000,858000,11168000,36047000,116913000,12558000,8229000,4329000,1624000,1624000,15109000,11768000,3326710.267233,11768000,16170000,31279000,126523000,-40903000,14000,85634000,85634000,116913000,666000,360000,388000,-4604000,-3190000,-2222000,-462867.72684996,-462867.72684996,-2222000,-96000,398000,398000,302000,-5110000,-5110000,906000,-4204000,1671000,5329000,-4479000,0.37843,0.05386,0.02736,0.00778,0.0057,-6.72523,5.35217,0.36526,0.04558,0.04693,0.04629,1.71529,6.03481,-0.31564,0.00648,-0.0436,-16.4614,-20.98169
"46","2022_Q2",8.63306451612903,"Down",26463000,-16565000,9898000,-8658000,-7086000,1240000,-83000,159446.047427144,1157000,415900.013253244,1157000,-160000,997000,997000,997000,997000,32188000,32188000,25204000,25204000,24115000,3251000,3247000,84758000,13768000,21869000,833000,11168000,35637000,120395000,14829000,10227000,4602000,4996000,4996000,20226000,11543000,3203000,8340000,15842000,36068000,124570000,-40494000,251000,84327000,84327000,120395000,997000,430000,204000,858000,2489000,-45000,-518603.18054988,-518603.18054988,-45000,-97000,-2644000,69000,-2741000,-297000.000000001,-297000.000000001,175000,-122000,1670000,4700000,2643000,0.37403,0.04686,0.03768,0.01182,0.00828,2.65095,4.19055,0.42772,0.03904,0.07026,0.0693,1.8649,5.94271,0.18626,0.00991,0.02628,-16.45988,-22.16774
"47","2022_Q3",9.214375,"Up",29445000,-16396000,13049000,-10454000,-8654000,2595000,30000,-53000.0000000001,2625000,1317800.03975973,2625000,-660000,1965000,1965000,1965000,1965000,27897000,27897000,30782000,30782000,24393000,3964000,3964000,87036000,13447000,21706000,808000,11168000,35153000,122189000,14861000,9635000,4932000,6139000,6139000,21405000,11431000,3208000,8223000,15626000,37031000,123673000,-38868000,353000,85158000,85158000,122189000,1965000,434000,190000,-5439000,-2850000,-80000,-490206.361099761,-490206.361099761,-80000,-101000,-1373000,29000,-1474000,-4404000,-4404000,111000,-4293000,3029000,4600000,-1830000,0.44317,0.08813,0.06673,0.02307,0.01608,-0.9313,4.06615,0.43485,0.03765,0.13786,0.13566,2.06574,5.97432,-0.12839,0.01942,-0.01808,-7.69132,-8.97765
