"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",29.57109375,"Up",1.564e+09,6.12e+08,6.45e+08,-3.3e+07,9.52e+08,2.03e+08,6.7e+08,7.9e+07,1.566e+09,-9.99e+08,-1.12e+08,-8.87e+08,5.67e+08,5.67e+08,5.67e+08,-2.14e+08,3.53e+08,3.53e+08,3.53e+08,3.3e+08,9.017e+09,1.19657e+11,6.3415e+10,1.8495e+10,1.4014e+10,1.4014e+10,1.091e+09,1.227e+09,1.8417e+10,1.63627e+11,1.12911e+11,3.3998e+10,2.894e+09,1.401e+09,1.51204e+11,8.74e+08,4.139e+09,-3.428e+09,1.0664e+10,1.74e+08,1.2423e+10,1.2423e+10,1.63627e+11,3.53e+08,5.5e+07,7.4e+07,88000000.0000002,5.68e+08,-7e+07,-3.421e+09,-4.11e+08,-4e+06,-3.906e+09,-8.8e+07,-2e+06,2.2e+07,3.408e+09,4e+06,3.344e+09,6e+06,6e+06,6e+06,6.22e+08,3.6892e+10,8.54e+08,0.36253,0.211,0.02656,0.00202,2.58788,12.1713,0.22546,0.25114,0.24887,1.19026,8.78919,0.64992,0.06697,0.00255,0.00522,0.26667,44.81511,49.16226
"23","2015_Q4",29.21390625,"Down",1.592e+09,6.35e+08,6.69e+08,-3.4e+07,9.57e+08,2.28e+08,6.63e+08,6.6e+07,1.597e+09,-1.014e+09,-1.14e+08,-9e+08,5.83e+08,5.83e+08,5.83e+08,-2.07e+08,3.76e+08,3.76e+08,3.76e+08,3.65e+08,1.0366e+10,1.24601e+11,6.6354e+10,1.7713e+10,1.4252e+10,1.4252e+10,1.126e+09,1.227e+09,1.8638e+10,1.70402e+11,1.19017e+11,3.3747e+10,2.893e+09,1.549e+09,1.57206e+11,1.457e+09,4.175e+09,-3.407e+09,1.0952e+10,1.9e+07,1.3196e+10,1.3196e+10,1.70402e+11,3.76e+08,5.7e+07,7.5e+07,5.88e+08,1.091e+09,-7.9e+07,-6.026e+09,-2.31e+08,-1.4e+07,-6.35e+09,-1e+08,-2e+06,5.98e+08,6.106e+09,6e+06,6.608e+09,1.349e+09,1.349e+09,1.349e+09,6.4e+08,3.664e+10,1.356e+09,0.36621,0.22927,0.02766,0.00214,3.71507,11.91316,0.21502,0.27736,0.27485,1.20973,8.92021,1.0304,0.07599,0.00273,0.00796,0.27397,41.05312,45.0669
"24","2016_Q1",24.4180327868852,"Down",1.691e+09,6.9e+08,7.26e+08,-3.6e+07,1.001e+09,2.08e+08,6.73e+08,1.2e+08,1.691e+09,-9.39e+08,-1.19e+08,-8.2e+08,7.52e+08,7.52e+08,6.45e+08,-2.29e+08,4.16e+08,4.16e+08,4.16e+08,3.78e+08,1.1978e+10,1.35784e+11,6.5646e+10,2.0131e+10,1.4334e+10,1.4334e+10,1.145e+09,1.227e+09,1.9056e+10,1.83705e+11,1.29502e+11,3.5773e+10,2.877e+09,2.151e+09,1.70303e+11,1.459e+09,4.167e+09,-3.343e+09,1.1253e+10,-1.34e+08,1.3402e+10,1.3402e+10,1.83705e+11,4.16e+08,5.8e+07,6.2e+07,3.56e+08,8.92e+08,-6.2e+07,-9.509e+09,-1.17e+08,-1.7e+07,-9.705e+09,-9.9e+07,-3e+06,23000000.0000001,1.0485e+10,1.9e+07,1.0425e+10,1.612e+09,1.612e+09,1.612e+09,8.1e+08,3.865e+10,1.333e+09,0.44471,0.22354,0.0282,0.00206,3.52646,12.70728,0.21039,0.2868,0.284,1.283,9.06146,1.01138,0.07511,0.0026,0.00726,0.2619,32.9284,35.46809
"25","2016_Q2",26.36265625,"Up",1.766e+09,7.72e+08,8.1e+08,-3.8e+07,9.94e+08,2.32e+08,6.99e+08,6.3e+07,1.764e+09,-1.109e+09,-1.16e+08,-9.93e+08,6.55e+08,6.55e+08,6.55e+08,-2.43e+08,4.12e+08,4.12e+08,4.12e+08,3.92e+08,1.0457e+10,1.45315e+11,7.1516e+10,2.0745e+10,1.4417e+10,1.4417e+10,1.159e+09,1.227e+09,1.8251e+10,1.90998e+11,1.35689e+11,3.593e+10,2.877e+09,1.989e+09,1.76485e+11,2.186e+09,4.204e+09,-3.324e+09,1.1567e+10,-1.2e+08,1.4513e+10,1.4513e+10,1.90998e+11,4.12e+08,5.6e+07,1.03e+08,-9.42e+08,-3.69e+08,-5.6e+07,-8.562e+09,-1.39e+08,-5e+06,-8.762e+09,-1.1e+08,7.99e+08,7.32e+08,6.187e+09,2e+06,7.61e+09,-1.521e+09,-1.521e+09,-1.521e+09,7.11e+08,3.8807e+10,-4.4e+07,0.37089,0.22197,0.02701,0.00205,-0.11224,12.16048,0.20318,0.29674,0.29474,1.33687,9.33157,-0.03331,0.08327,0.00263,-0.00023,0.28061,39.87342,43.28244
"26","2016_Q3",27.269375,"Up",1.826e+09,7.98e+08,8.4e+08,-4.2e+07,1.028e+09,2.01e+08,7.57e+08,7e+07,1.828e+09,-1.108e+09,-1.25e+08,-9.83e+08,7.2e+08,7.2e+08,7.2e+08,-2.68e+08,4.52e+08,4.52e+08,4.52e+08,4.06e+08,1.2976e+10,1.48653e+11,7.4228e+10,1.9118e+10,1.467e+10,1.467e+10,1.242e+09,1.227e+09,1.9121e+10,1.98052e+11,1.37295e+11,4.1071e+10,2.876e+09,1.82e+09,1.83062e+11,2.189e+09,4.238e+09,-3.302e+09,1.1882e+10,-1.7e+07,1.499e+10,1.499e+10,1.98052e+11,4.52e+08,5.7e+07,9.6e+07,1.289e+09,1.892e+09,-1.39e+08,-4.701e+09,-2.23e+08,-9e+06,-5.072e+09,-1.2e+08,4.198e+09,1.2e+07,1.606e+09,3e+06,5.699e+09,2.519e+09,2.519e+09,2.519e+09,7.77e+08,4.3947e+10,2.195e+09,0.3943,0.22234,0.02708,0.00205,5.4064,12.21227,0.2219,0.30711,0.30458,1.38124,9.68306,1.66036,0.09077,0.00266,0.01108,0.29557,39.85972,43.01528
"27","2016_Q4",33.3003174603175,"Up",1.909e+09,8.45e+08,8.91e+08,-4.6e+07,1.064e+09,1.9e+08,7.98e+08,7.6e+07,1.914e+09,-1.12e+09,-1.31e+08,-9.89e+08,7.94e+08,7.94e+08,7.94e+08,-2.91e+08,5.03e+08,5.03e+08,5.03e+08,4.7e+08,1.0431e+10,1.62782e+11,7.5791e+10,2.0935e+10,1.4858e+10,1.4858e+10,1.266e+09,1.227e+09,1.8619e+10,2.09337e+11,1.4963e+11,3.9459e+10,2.876e+09,1.902e+09,1.93867e+11,2.192e+09,4.269e+09,-3.283e+09,1.2261e+10,3.1e+07,1.547e+10,1.547e+10,2.09337e+11,5.03e+08,6e+07,1.08e+08,-1.215e+09,-5.49e+08,-7.7e+07,-1.1884e+10,-2.38e+08,-1.1e+07,-1.221e+10,-1.35e+08,-2.001e+09,1.2e+07,1.2335e+10,3e+06,1.0214e+10,-2.545e+09,-2.545e+09,-2.545e+09,8.54e+08,4.2335e+10,-1.47e+08,0.41592,0.2462,0.03038,0.00225,-0.31277,12.5318,0.20223,0.35498,0.35232,1.44184,10.0287,-0.11103,0.10196,0.00289,-7e-04,0.28723,37.35831,40.18136
"28","2017_Q1",38.5609677419355,"Up",1.972e+09,9.07e+08,9.52e+08,-4.5e+07,1.065e+09,2.02e+08,8.01e+08,6.2e+07,1.972e+09,-1.004e+09,-1.34e+08,-8.7e+08,9.68e+08,9.68e+08,8.24e+08,-3.02e+08,5.22e+08,5.22e+08,5.22e+08,4.78e+08,1.0828e+10,1.75191e+11,7.7365e+10,2.2623e+10,1.5403e+10,1.5403e+10,1.299e+09,1.227e+09,1.9291e+10,2.23383e+11,1.63454e+11,3.8301e+10,2.876e+09,2.331e+09,2.06962e+11,2.783e+09,4.282e+09,-3.13e+09,1.2649e+10,-1.63e+08,1.6421e+10,1.6421e+10,2.23383e+11,5.22e+08,6.1e+07,1.24e+08,9.81e+08,1.688e+09,-7.4e+07,-1.214e+10,-5.03e+08,-1.4e+07,-1.2731e+10,-1.21e+08,-3.003e+09,7.04e+08,1.3824e+10,3.6e+07,1.144e+10,3.97e+08,3.97e+08,3.97e+08,1.029e+09,4.1177e+10,2.238e+09,0.49087,0.24239,0.02911,0.00214,4.68201,12.6035,0.18433,0.35967,0.35698,1.48382,10.26185,1.68397,0.09105,0.00268,0.01002,0.25314,29.49368,31.35227
"29","2017_Q2",37.4606349206349,"Down",2.081e+09,1e+09,1.055e+09,-5.5e+07,1.081e+09,1.92e+08,8.23e+08,6.6e+07,2.081e+09,-1.194e+09,-1.33e+08,-1.061e+09,8.87e+08,8.87e+08,8.43e+08,-2.79e+08,5.64e+08,5.64e+08,5.64e+08,5.25e+08,9.475e+09,1.80604e+11,5.0588e+10,2.2045e+10,1.5548e+10,1.5548e+10,1.305e+09,1.227e+09,1.8767e+10,2.27061e+11,1.66889e+11,3.751e+10,3.518e+09,2.162e+09,2.10079e+11,2.783e+09,4.315e+09,-3.053e+09,1.3069e+10,-1.32e+08,1.6982e+10,1.6982e+10,2.27061e+11,5.64e+08,6.5e+07,1.36e+08,-2.342e+09,-1.577e+09,-8e+07,-5.367e+09,-1.34e+08,-6e+06,-5.587e+09,-1.58e+08,1.241e+09,5.8e+07,3.435e+09,-8e+06,4.568e+09,-2.596e+09,-2.596e+09,-2.596e+09,9.52e+08,4.1028e+10,-1.191e+09,0.42624,0.25228,0.03092,0.00231,-2.26857,12.37069,0.18069,0.39296,0.3886,1.55763,10.62799,-0.89147,0.11826,0.00301,-0.00525,0.30095,33.14391,35.57272
"30","2017_Q3",38.9257142857143,"Up",2.13e+09,1.053e+09,1.127e+09,-7.4e+07,1.077e+09,1.57e+08,8.45e+08,7.5e+07,2.13e+09,-1.175e+09,-1.44e+08,-1.031e+09,9.55e+08,9.55e+08,9.09e+08,-3.34e+08,5.75e+08,5.75e+08,5.75e+08,5.3e+08,9.575e+09,1.72187e+11,4.5634e+10,1.8943e+10,1.5817e+10,1.5817e+10,1.335e+09,1.227e+09,2.0335e+10,2.20601e+11,1.623e+11,3.5273e+10,3.518e+09,2.021e+09,2.03112e+11,2.783e+09,4.351e+09,-3.028e+09,1.3495e+10,-1.12e+08,1.7489e+10,1.7489e+10,2.20601e+11,5.75e+08,6.6e+07,1.15e+08,-3.7e+07,7.19e+08,-8.4e+07,4.646e+09,-2.84e+08,-8e+06,4.27e+09,-1.35e+08,-3.02e+08,1.3e+07,-4.589e+09,0,-5.013e+09,-2.4e+07,-2.4e+07,-2.4e+07,1.021e+09,3.8791e+10,1.234e+09,0.44836,0.24883,0.0303,0.0024,2.3283,11.6137,0.17584,0.39611,0.3923,1.59193,10.99103,0.922270000000001,0.1009,0.00301,0.00559,0.25472,28.61508,30.59267
"31","2017_Q4",44.1253968253968,"Up",2.165e+09,1.082e+09,1.176e+09,-9.4e+07,1.083e+09,1.51e+08,8.61e+08,7.1e+07,2.165e+09,-1.177e+09,-1.52e+08,-1.025e+09,9.88e+08,9.88e+08,9.45e+08,-3.27e+08,6.18e+08,6.18e+08,6.18e+08,5.75e+08,1.2253e+10,1.78798e+11,4.8062e+10,1.636e+10,1.6232e+10,1.6232e+10,1.392e+09,1.227e+09,2.0697e+10,2.30714e+11,1.65263e+11,4.1907e+10,3.268e+09,2.249e+09,2.12687e+11,2.783e+09,4.38e+09,-2.993e+09,1.3963e+10,-1.06e+08,1.8027e+10,1.8027e+10,2.30714e+11,6.18e+08,6.9e+07,1.35e+08,2.487e+09,3.309e+09,-1.03e+08,-5.362e+09,-4.11e+08,-3.8e+07,-5.914e+09,-1.63e+08,4.448e+09,2.7e+07,2.963e+09,-2e+06,7.273e+09,4.668e+09,4.668e+09,4.668e+09,1.057e+09,4.5175e+10,3.768e+09,0.45635,0.26559,0.0319,0.00249,6.55304,11.79825,0.19581,0.42942,0.42498,1.61688,11.38462,2.81404,0.12173,0.0032,0.01633,0.28348,31.14664,33.32186
"32","2018_Q1",50.4349180327869,"Up",2.242e+09,1.147e+09,1.266e+09,-1.19e+08,1.095e+09,1.54e+08,8.63e+08,7.8e+07,2.242e+09,-1.243e+09,-1.51e+08,-1.092e+09,9.99e+08,9.99e+08,9.53e+08,-3.56e+08,5.97e+08,5.97e+08,5.97e+08,5.5e+08,1.4217e+10,1.86599e+11,4.9995e+10,1.5678e+10,1.6478e+10,1.6478e+10,1.471e+09,1.227e+09,2.3282e+10,2.43274e+11,1.69656e+11,4.753e+10,4.753e+09,2.81e+09,2.24749e+11,2.793e+09,4.368e+09,-2.892e+09,1.4408e+10,-1.52e+08,1.8525e+10,1.8525e+10,2.43274e+11,5.97e+08,6.9e+07,2.18e+08,-2.072e+09,-1.188e+09,-1.33e+08,-1.286e+10,-2.42e+08,-7e+06,-1.3242e+10,-1.36e+08,1.1485e+10,8e+07,4.377e+09,-3.5e+07,1.5771e+10,1.341e+09,1.341e+09,1.341e+09,1.068e+09,5.2283e+10,-7.81e+08,0.44558,0.24532,0.02969,0.00226,-1.42,12.1322,0.21491,0.40953,0.40531,1.6694,11.71407,-0.58153,0.10127,0.00282,-0.00321,0.24727,35.64232,38.1041
"33","2018_Q2",52.2240625,"Up",2.398e+09,1.263e+09,1.421e+09,-1.58e+08,1.135e+09,2.01e+08,8.51e+08,8.3e+07,2.398e+09,-1.345e+09,-1.56e+08,-1.189e+09,1.053e+09,1.053e+09,1.002e+09,-2.19e+08,7.83e+08,7.83e+08,7.83e+08,7.46e+08,1.4145e+10,1.90833e+11,5.1827e+10,1.3323e+10,1.6389e+10,1.6389e+10,1.54e+09,1.227e+09,2.4085e+10,2.4832e+11,1.90184e+11,3.221e+10,4.128e+09,2.468e+09,2.2899e+11,2.793e+09,4.412e+09,-2.837e+09,1.5222e+10,-2.6e+08,1.933e+10,1.933e+10,2.4832e+11,7.83e+08,7.3e+07,1.82e+08,-7.9e+08,2.48e+08,-1.22e+08,-6.451e+09,7.4e+07,-4e+07,-6.539e+09,-1.84e+08,-1.5627e+10,4.9e+07,2.0528e+10,-1e+07,4.756e+09,-1.535e+09,-1.535e+09,-1.535e+09,1.126e+09,3.6338e+10,4.33e+08,0.43912,0.31109,0.03859,0.003,0.58043,11.84635,0.14634,0.55382,0.54772,1.78025,12.27691,0.32146,0.1366,0.00375,0.00174,0.24665,19.70959,21.07597
"34","2018_Q3",48.2534920634921,"Down",2.486e+09,1.407e+09,1.59e+09,-1.83e+08,1.079e+09,1.8e+08,8.14e+08,8.5e+07,2.486e+09,-1.305e+09,-1.56e+08,-1.149e+09,1.181e+09,1.181e+09,1.131e+09,-2.65e+08,8.66e+08,8.66e+08,8.66e+08,8.13e+08,1.325e+10,2.03851e+11,5.5522e+10,1.1537e+10,1.6569e+10,1.6569e+10,1.599e+09,1.227e+09,2.5293e+10,2.61882e+11,1.99922e+11,3.3666e+10,5.789e+09,2.408e+09,2.41785e+11,2.793e+09,4.462e+09,-2.783e+09,1.5903e+10,-2.78e+08,2.0097e+10,2.0097e+10,2.61882e+11,8.66e+08,7.5e+07,1.65e+08,2.026e+09,3.132e+09,-1.31e+08,-1.2789e+10,-1.84e+08,-1.1e+07,-1.3115e+10,-1.7e+08,1.659e+09,5e+07,9.738e+09,-1e+06,1.1276e+10,1.293e+09,1.293e+09,1.293e+09,1.256e+09,3.9455e+10,3.416e+09,0.47506,0.32703,0.04045,0.0031,4.20172,12.0309,0.15066,0.60222,0.59604,1.84148,12.81778,2.53037,0.12593,0.00375,0.01304,0.2091,20.86385,22.18882
"35","2018_Q4",42.848253968254,"Down",2.579e+09,1.527e+09,1.755e+09,-2.28e+08,1.052e+09,1.76e+08,8.09e+08,6.7e+07,2.579e+09,-1.303e+09,-1.64e+08,-1.139e+09,1.276e+09,1.276e+09,1.219e+09,-2.96e+08,9.23e+08,9.23e+08,9.23e+08,8.85e+08,2.183e+10,2.05497e+11,5.7558e+10,8.987e+09,1.6564e+10,1.6564e+10,1.683e+09,1.227e+09,2.5301e+10,2.72102e+11,2.13408e+11,2.9373e+10,5.79e+09,2.697e+09,2.51268e+11,2.793e+09,4.499e+09,-2.769e+09,1.6615e+10,-3.04e+08,2.0834e+10,2.0834e+10,2.72102e+11,9.23e+08,7.8e+07,1.5e+08,1.24e+08,1.275e+09,-1.47e+08,-6.22e+09,2.4e+07,-2.3e+07,-6.366e+09,-2.25e+08,-2e+06,9e+06,1.3486e+10,-1e+06,1.3267e+10,8.176e+09,8.176e+09,8.176e+09,1.354e+09,3.5163e+10,1.627e+09,0.49477,0.34316,0.04248,0.00325,1.83842,12.06048,0.12923,0.65507,0.64883,1.90896,13.35381,1.20429,0.16654,0.00408,0.00598,0.25424,9.84712,10.44906
"36","2019_Q1",42.903606557377,"Up",2.669e+09,1.626e+09,1.914e+09,-2.88e+08,1.043e+09,3.45e+08,7.55e+08,-5.7e+07,2.669e+09,-1.428e+09,-1.78e+08,-1.25e+09,1.241e+09,1.241e+09,1.21e+09,-2.75e+08,9.35e+08,9.35e+08,9.35e+08,8.85e+08,2.7938e+10,2.24689e+11,6.6578e+10,1.4102e+10,1.6609e+10,1.6609e+10,1.769e+09,1.227e+09,2.425e+10,2.96482e+11,2.31423e+11,3.4557e+10,6.878e+09,2.954e+09,2.75812e+11,2.793e+09,4.514e+09,-3.714e+09,1.7329e+10,-2.52e+08,2.067e+10,2.067e+10,2.96482e+11,9.35e+08,5.1e+07,7.05e+09,-2.35e+08,7.801e+09,4e+08,-1.487e+10,-4.3e+07,-2.2e+07,-1.4535e+10,-2.08e+08,1.085e+09,-9.83e+08,1.8015e+10,-4.2e+07,1.7867e+10,1.1133e+10,1.1133e+10,1.1133e+10,1.292e+09,4.1435e+10,1.732e+09,0.46497,0.33158,0.04282,0.00299,1.95706,13.34359,0.13976,0.65848,0.65362,1.98586,13.30134,1.28869,0.15476,0.00369,0.00584,0.23503,10.44659,10.87591
"37","2019_Q2",41.5693650793651,"Down",2.723e+09,1.681e+09,1.998e+09,-3.17e+08,1.042e+09,1.85e+08,7.55e+08,1.02e+08,2.723e+09,-1.427e+09,-1.7e+08,-1.257e+09,1.296e+09,1.296e+09,1.264e+09,-3e+08,9.64e+08,9.64e+08,9.64e+08,9.25e+08,3.2558e+10,2.0687e+11,6.0005e+10,1.4445e+10,1.651e+10,1.651e+10,1.813e+09,1.227e+09,2.3837e+10,2.82815e+11,2.19454e+11,3.1303e+10,6.829e+09,3.604e+09,2.6119e+11,2.793e+09,4.563e+09,-3.677e+09,1.8017e+10,-7.1e+07,2.1625e+10,2.1625e+10,2.82815e+11,9.64e+08,8.3e+07,1.57e+08,-3.799e+09,-2.595e+09,-1.39e+08,1.8318e+10,8.1e+07,2.5e+07,1.8285e+10,-2.76e+08,0,2.6e+07,-1.1969e+10,-1e+07,-1.2229e+10,3.461e+09,3.461e+09,3.461e+09,1.379e+09,3.8132e+10,-2.259e+09,0.47595,0.3397,0.04277,0.00327,-2.44216,12.07815,0.13483,0.69392,0.68824,2.04276,14.12753,-1.69467,0.20705,0.00425,-0.00799,0.29838,4.04206,4.30093
"38","2019_Q3",38.66578125,"Down",2.681e+09,1.609e+09,1.927e+09,-3.18e+08,1.072e+09,1.74e+08,7.86e+08,1.12e+08,2.681e+09,-1.415e+09,-1.78e+08,-1.237e+09,1.266e+09,1.266e+09,1.236e+09,-2.99e+08,9.37e+08,9.37e+08,9.37e+08,8.87e+08,2.4199e+10,2.07658e+11,5.4648e+10,1.4684e+10,1.6639e+10,1.6639e+10,1.909e+09,1.227e+09,2.4689e+10,2.76321e+11,2.08375e+11,3.5635e+10,7.424e+09,3.567e+09,2.55001e+11,2.793e+09,4.614e+09,-4.866e+09,1.868e+10,9.9e+07,2.132e+10,2.132e+10,2.76321e+11,9.37e+08,8.4e+07,-7.27e+08,1.92e+09,2.214e+09,-1.71e+08,2.49e+09,-1.4e+08,-1.6e+07,2.163e+09,-2.61e+08,5.93e+08,-1.133e+09,-1.1079e+10,-3e+06,-1.1883e+10,-7.506e+09,-7.506e+09,-7.506e+09,1.35e+09,4.3059e+10,3.398e+09,0.47221,0.33085,0.0416,0.00321,3.83089,11.96065,0.15583,0.66742,0.66392,2.01731,13.94056,2.55681,0.19639,0.00415,0.0123,0.29425,13.97037,14.89731
"39","2019_Q4",42.41796875,"Up",2.711e+09,1.631e+09,1.892e+09,-2.61e+08,1.08e+09,2.71e+08,8.25e+08,-1.6e+07,2.711e+09,-1.445e+09,-1.68e+08,-1.277e+09,1.266e+09,1.266e+09,1.236e+09,-2.85e+08,9.51e+08,9.51e+08,9.51e+08,9.13e+08,2.0252e+10,2.13338e+11,5.6483e+10,1.6661e+10,1.6895e+10,1.6895e+10,2.017e+09,1.227e+09,2.5258e+10,2.78987e+11,2.09327e+11,3.7358e+10,7.427e+09,3.521e+09,2.57633e+11,2.793e+09,4.655e+09,-5.612e+09,1.9374e+10,1.44e+08,2.1354e+10,2.1354e+10,2.78987e+11,9.51e+08,6.8e+07,2.72e+08,4.111e+09,5.402e+09,3.1e+08,-7.193e+09,-2.79e+08,-2.7e+07,-7.189e+09,-2.71e+08,0,-7.92e+08,9.52e+08,0,-1.11e+08,-1.898e+09,-1.898e+09,-1.898e+09,1.334e+09,4.4785e+10,6.04e+09,0.46699,0.33678,0.04276,0.00327,6.61555,12.06486,0.16053,0.70339,0.69855,2.0886,14.29969,4.65331,0.20878,0.00424,0.02165,0.29682,18.39055,19.37836
"40","2020_Q1",40.5158064516129,"Down",2.606e+09,1.595e+09,1.763e+09,-1.68e+08,1.011e+09,1.22e+08,8.45e+08,4.4e+07,2.606e+09,-1.586e+09,-1.86e+08,-1.4e+09,1.02e+09,1.02e+09,1.112e+09,-2.6e+08,8.52e+08,8.52e+08,8.52e+08,8.01e+08,2.9345e+10,2.16611e+11,6.1422e+10,2.0483e+10,1.8212e+10,1.8212e+10,2.128e+09,1.227e+09,2.6354e+10,2.94005e+11,2.20094e+11,3.922e+10,7.43e+09,5.516e+09,2.7226e+11,2.793e+09,4.671e+09,-5.767e+09,1.996e+10,88000000.0000001,2.1745e+10,2.1745e+10,2.94005e+11,8.52e+08,1.14e+08,1.128e+09,2.21e+09,4.304e+09,-7.08e+08,842999999.999999,-1.392e+09,-3.8e+07,-1.295e+09,-2.52e+08,0,-2.03e+08,1.0767e+10,-2.8e+07,1.0284e+10,1.3293e+10,1.3293e+10,1.3293e+10,1.134e+09,4.665e+10,2.896e+09,0.3914,0.30737,0.03684,0.00272,3.61548,12.52058,0.15867,0.62383,0.61949,2.0296,14.76012,2.25545,0.19626,0.00358,0.00985,0.31461,15.26014,16.96569
"41","2020_Q2",34.7580952380952,"Down",2.617e+09,1.572e+09,1.708e+09,-1.36e+08,1.045e+09,1.88e+08,8.27e+08,3e+07,2.617e+09,-1.57e+09,-1.82e+08,-1.388e+09,1.047e+09,1.047e+09,1.047e+09,-2.52e+08,7.95e+08,7.95e+08,7.95e+08,7.57e+08,6.8458e+10,2.55541e+11,2.21232e+11,3.4309e+10,1.9521e+10,1.9521e+10,2.291e+09,1.227e+09,2.3741e+10,3.70779e+11,2.77477e+11,4.9251e+10,8.522e+09,9.259e+09,3.44509e+11,2.793e+09,4.729e+09,-5.734e+09,2.0487e+10,3.995e+09,2.627e+10,2.627e+10,3.70779e+11,7.95e+08,9.6e+07,3.29e+08,8.898e+09,1.0118e+10,-1221692816.18754,-1.7847e+10,-1.327e+09,-2.2e+07,-1.9196e+10,-2.81e+08,1.089e+09,2.3e+07,5.7383e+10,-6e+06,5.8208e+10,4.913e+10,4.913e+10,4.913e+10,1.143e+09,5.7773e+10,-4690871602.29933,0.40008,0.28926,0.02882,0.00204,-4.04850868420397,13.11416,0.15582,0.58819,0.58501,2.03341,18.24165,-2.48185628878668,0.21834,0.0028,-0.00836106702562458,0.3712,-9.34821,-10.20535
"42","2020_Q3",33.94265625,"Down",2.45e+09,1.389e+09,1.486e+09,-9.7e+07,1.061e+09,1.93e+08,8.01e+08,6.7e+07,2.45e+09,-1.562e+09,-1.98e+08,-1.364e+09,8.88e+08,8.88e+08,8.88e+08,-2.17e+08,6.71e+08,6.71e+08,6.71e+08,6.21e+08,3.3574e+10,3.14404e+11,2.81216e+11,3.3188e+10,2.0871e+10,2.0871e+10,2.314e+09,1.733e+09,2.631e+10,4.00484e+11,3.01566e+11,5.0135e+10,8.526e+09,9.442e+09,3.69669e+11,5.263e+09,4.775e+09,-5.71e+09,2.0876e+10,5.611e+09,3.0815e+10,3.0815e+10,4.00484e+11,6.71e+08,1.09e+08,4.39e+08,-1.7662e+10,-1.6443e+10,-968301793.202255,-5.9602e+10,-1.336e+09,-7.9e+07,-5.8249e+10,-2.66e+08,0,2.476e+09,2.4089e+10,-1e+06,2.6298e+10,-4.8394e+10,-4.8394e+10,-4.8394e+10,9.97e+08,5.8661e+10,-9057000918.37424,0.36245,0.25347,0.02015,0.00155,-8.82553663356845,11.9964,0.14648,0.48252,0.47991,1.90365,19.85392,-5.10506276276189,0.20668,0.00221,-0.0173710600439366,0.42834,25.16249,28.25113
"43","2020_Q4",44.36265625,"Up",2.448e+09,1.343e+09,1.432e+09,-8.9e+07,1.105e+09,1.81e+08,8.6e+08,6.4e+07,2.448e+09,-1.559e+09,-1.94e+08,-1.365e+09,8.89e+08,8.89e+08,8.89e+08,-1.91e+08,6.98e+08,6.98e+08,6.98e+08,6.15e+08,2.7465e+10,3.33337e+11,3.03758e+11,2.9579e+10,2.2286e+10,2.2286e+10,2.346e+09,1.737e+09,3.0926e+10,4.19355e+11,3.20717e+11,5.2006e+10,7.836e+09,7.465e+09,3.88024e+11,5.263e+09,4.812e+09,-5.691e+09,2.1261e+10,5.686e+09,3.1331e+10,3.1331e+10,4.19355e+11,6.98e+08,1.22e+08,6.18e+08,-1.518e+09,-8e+07,-4.65e+08,-2.4042e+10,-1.44e+09,-4.1e+07,-2.6e+10,-3.27e+08,-7e+08,6e+06,1.9151e+10,-1e+06,1.8129e+10,-7.951e+09,-7.951e+09,-7.951e+09,1.011e+09,5.9842e+10,-781000000.000001,0.36315,0.25123,0.01963,0.00147,-1.26992,12.38467,0.1427,0.47674,0.47527,1.89767,20.20775,-0.60543,0.25349,0.00225,-0.00186,0.53171,32.02473,36.41957
