"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2019_Q4",111.85859375,"Up",162707000,-79477000,83230000,-98356000,-51254000,-47102000,-15126000,2804000,3421000,-617000,-12322000,-12322000,3804000,-8518000,-8518000,-8518000,-8518000,1005202000,368869000,108844000,108844000,95189000,35479000,1209235000,55375000,551095000,88345000,48114000,849464000,2058699000,87517000,33058000,54459000,101887000,90651000,11236000,189404000,29084000,21169000,7915000,343294000,532698000,1366907000,167038000,-7944000,1526001000,1526001000,2058699000,-8518000,9698000,17870000,7164000,26214000,-17740000,1410000,-17470000,748000,748000,748000,9492000,9492000,-792000,8700000,-5428000,314210000,-19808000,0.51153,-0.09296,-0.05235,-0.00558,-0.00414,2.32543,6.38442,0.34908,0.15263,-0.10433,-0.10758,1.99294,18.69141,-0.24262,-0.00456,-0.0106,127.3014,45.6824000000001
"32","2020_Q1",104.452258064516,"Down",207858000,-82784000,125074000,-103992000,-54520000,-49472000,21082000,2645000,3554000,-909000,23727000,23727000,-722000.000000001,23005000,23005000,23005000,23005000,1124237000,254101000,138443000,138443000,72294000,35566000,1334974000,65809000,552656000,90308000,54929000,831989000,2166963000,107620000,34255000,73365000,124652000,108304000,16348000,232272000,43168000,23527000,19641000,360490000,592762000,1391912000,190047000,-7758000,1574201000,1574201000,2166963000,23005000,10813000,27049000,42066000,102933000,-16175000,-201667000,-219535000,2103000,2103000,2103000,-114499000,-114499000,-269000,-114768000,31895000,317322000,58508000,0.60173,0.10143,0.11068,0.01461,0.01062,2.54327,5.74746,0.37655,0.14644,0.28044,0.26453,2.53383,19.18985,0.71323,0.01189,0.03024,-25.29911,-38.27507
"33","2020_Q2",96.0571428571429,"Down",157010000,-80856000,76154000,-100751000,-54255000,-46496000,-24597000,2956000,3207000,-251000,-21641000,-21641000,6650000,-14991000,-14991000,-14991000,-14991000,1011216000,179089000,79480000,79480000,99029000,39251000,1189725000,67440000,641062000,97387000,143423000,1009299000,2199024000,59160000,25666000,33494000,105526000,85845000,19681000,164686000,128336000,21277000,107059000,448813000,613499000,1417045000,175163000,-6683000,1585525000,1585525000,2199024000,-14991000,10886000,19336000,-33369000,-18138000,-9625000,-46525000,-57496000,368000,368000,368000,-75266000,-75266000,254000,-75012000,-13711000,320477000,-63355000,0.48503,-0.15666,-0.09548,-0.00944999999999999,-0.00682,4.2262,7.2242,0.38694,0.14574,-0.18202,-0.18202,1.90637,19.25095,-0.76924,-0.00737,-0.03114,50.37846,28.08225
"34","2020_Q3",112.3403125,"Up",173458000,-83596000,89862000,-107892000,-57938000,-49954000,-18030000,2314000,2496000,-182000,-15716000,-15716000,-4228000,-19944000,-19944000,-19944000,-19944000,1055402000,218463000,101171000,101171000,91411000,41114000,1247984000,66673000,632370000,94424000,144436000,973606000,2221590000,70413000,25988000,44425000,112173000,89043000,23130000,182586000,122763000,19205000,103558000,446439000,629025000,1444605000,155219000,-7259000,1592565000,1592565000,2221590000,-19944000,10758000,33389000,-4729000,19474000,-1629000,21871000,19378000,871000,871000,871000,39723000,39723000,-349000,39374000,-7272000,323676000,-9402000,0.51806,-0.10394,-0.11498,-0.01252,-0.00898,0.471419999999998,6.83505,0.39498,0.1457,-0.24109,-0.24109,2.09679,19.25116,-0.11365,-0.00978,-0.00461,100.62239,40.5838
"35","2020_Q4",114.12375,"Up",168165000,-85752000,82413000,-108013000,-56120000,-51893000,-25600000,-10789000,1567000,-12356000,-36389000,-36389000,5351000,-31038000,-31038000,-31038000,-31038000,1034201000,293815000,79587000,79587000,110511000,41598000,1224299000,65461000,627348000,100925000,139515000,984569000,2208868000,65841000,18348000,47493000,110876000,89087000,21789000,176717000,119218000,17009000,102209000,446138000,622855000,1471348000,124181000,-9516000,1586013000,1586013000,2208868000,-31038000,10611000,36709000,-11711000,4571000,-7712000,80301000,71526000,1838000,1838000,1838000,77935000,77935000,-2583000,75352000,-14989000,326920000,-39763000,0.49007,-0.15223,-0.18457,-0.01957,-0.01405,1.28111,6.92802,0.39272,0.148,-0.37387,-0.37387,2.02566,19.10462,-0.47897,-0.01527,-0.01957,47.18667,27.62816
"36","2021_Q1",116.278360655738,"Up",243674000,-87811000,155863000,-111522000,-59290000,-52232000,44341000,5074000,-510000,5584000,49415000,49415000,-10640000,38775000,38775000,38775000,38775000,1133496000,366969000,114242000,114242000,95480000,45989000,1343218000,65235000,655628000,101565000,173478000,1021634000,2364852000,81181000,22634000,58547000,144017000,118311000,25706000,225198000,152678000,14685000,137993000,482886000,708084000,1499058000,162956000,-5246000,1656768000,1656768000,2364852000,38775000,10386000,33198000,24800000,107159000,-2411000,-33632000,-39209000,1878000,1878000,1878000,69828000,69828000,3326000,73154000,54727000,330208000,87756000,0.63964,0.18197,0.15913,0.0234,0.0164,2.26321,5.96461,0.42739,0.13963,0.46539,0.46539,2.92463,19.88493,1.05327,0.01812,0.04101,-14.67809,-18.11615
"37","2021_Q2",103.954285714286,"Down",169802000,-90967000,78835000,-110439000,-57824000,-52615000,-31604000,737000,-1831000,2568000,-30867000,-30867000,10677000,-20190000,-20190000,-20190000,-20190000,1150212000,293836000,78295000,78295000,120588000,45751000,1349095000,67416000,667492000,113735000,179495000,989862000,2338957000,66855000,21855000,4.5e+07,118768000,95930000,22838000,185623000,159930000,13420000,146510000,493473000,679096000,1529168000,137766000,-7073000,1659861000,1659861000,2338957000,-20190000,10537000,23083000,-29137000,-15707000,-1907000,-46911000,-53399000,-3284000,1716000,-3284000,-72390000,-72390000,-743000,-73133000,-21067000,333543000,-62788000,0.46428,-0.18612,-0.1189,-0.01216,-0.00863,3.10986,7.26793,0.40913,0.1426,-0.24147,-0.24147,2.0308,19.85164,-0.75093,-0.00938,-0.02916,38.76532,25.84068
"38","2021_Q3",115.466875,"Up",180062000,-91902000,88160000,-115230000,-62036000,-53194000,-27070000,4169000,-2636000,6805000,-22901000,-22901000,14249000,-8652000,-8652000,-8652000,-8652000,1146232000,331387000,92581000,92581000,130151000,48560000,1368964000,73130000,664842000,122659000,174245000,966767000,2335731000,87842000,23593000,64249000,122881000,97510000,25371000,210723000,143423000,11075000,132348000,480345000,691068000,1559481000,90205000,-5023000,1644663000,1644663000,2335731000,-8652000,10434000,30719000,-19172000,13329000,-3610000,65061000,59148000,-37575000,104000,-37575000,34902000,34902000,2649000,37551000,-16636000,336922000,-53667000,0.48961,-0.15034,-0.04805,-0.00526,-0.0037,6.20284,6.49651,0.42019,0.14425,-0.10317,-0.10317,2.14711,19.61143,-0.63994,-0.00407,-0.02525,48.64811,29.89693
"39","2021_Q4",118.605625,"Up",163968000,-92065000,71903000,-118729000,-64574000,-54155000,-46826000,2120000,-3139000,5259000,-44706000,-44706000,8073000,-36633000,-36633000,-36633000,-36633000,1088333000,284448000,71785000,71785000,147828000,49028000,1307946000,76681000,664861000,132901000,167942000,942035000,2249981000,102346000,25162000,77184000,111951000,85796000,26155000,214297000,138849000,9119000,129730000,479200000,693497000,1588151000,-26326000,-5341000,1556484000,1556484000,2249981000,-36633000,8057000,26425000,7762000,5611000,-6895000,36518000,26888000,-79796000,102000,-79796000,-47297000,-47297000,358000,-46939000,-38769000,340351000,-45975000,0.43852,-0.28558,-0.22342,-0.02354,-0.01628,1.25502,6.10343,0.44555,0.15127,-0.43818,-0.43818,1.96126,18.61748,-0.54992,-0.018,-0.02258,19.2933,15.9736500000005
"40","2022_Q1",95.5883870967742,"Down",229435000,-100120000,129315000,-129399000,-69869000,-59530000,-83999.9999999851,-5723000,-3710000,-2013000,-5807000.00000001,-5807000.00000001,4775000,-1032000,-1032000,-1032000,-1032000,1119427000,384910000,104068000,104068000,131790000,52729000,1355285000,80061000,659335000,138428000,160287000,966560000,2321845000,129967000,27830000,102137000,170347000,138699000,31648000,300314000,132812000,7237000,125575000,476637000,776951000,1617212000,-66100000,-6218000,1544894000,1544894000,2321845000,-1032000,7927000,31708000,69751000,108354000,-6596000,40761000,31554000,-38732000,10000.0000000001,-38732000,101176000,101176000,-714000,100462000,7843000.00000001,343825000,66223000,0.56362,-0.000370000000000037,-0.00449999999999995,-0.00067,-0.00044,-64.16957,4.51289,0.50292,0.14808,-0.0124,-0.0124,2.75663,18.56166,0.79566,-0.00051,0.03276,-98.89099,9233.35714
"41","2022_Q2",81.7888709677419,"Down",165934000,-97540000,68394000,-133771000,-78647000,-55124000,-65377000,-2937000,-4120000,1183000,-68314000,-68314000,17038000,-51276000,-51276000,-51276000,-51276000,841782000,239620000,80407000,80407000,158474000,71444000,1080663000,82774000,717069000,153367000,159952000,1097684000,2178347000,65801000,27396000,38405000,138364000,110363000,28001000,204165000,128450000,5893000,122557000,475799000,679964000,1649762000,-143638000,-7741000,1498383000,1498383000,2178347000,-51276000,8434000,22981000,-87181000,-107042000,-3333000,59027000,8081000,-26245000,17000,-26245000,-125206000,-125206000,-984000,-126190000,-56943000,347349000,-164495000,0.41218,-0.39399,-0.30901,-0.03422,-0.02354,3.20803,5.29309,0.4538,0.15946,-0.61352,-0.61352,1.98539,17.92809,-1.96818,-0.02597,-0.08332,8.68295,7.5627999999997
"42","2022_Q3",72.26921875,"Down",204633000,-113623000,91010000,-130467000,-65262000,-65205000,-39457000,-12179000,-4134000,-8045000,-51636000,-51636000,10955000,-40681000,-40681000,-40681000,-40681000,820131000,257378000,111705000,111705000,145741000,61423000,1077577000,81692000,730819000,166587000,164252000,1106048000,2183625000,78177000,24661000,53516000,152974000,123234000,29740000,231151000,121085000,5652000,115433000,472006000,703157000,1687990000,-195508000,-12014000,1480468000,1480468000,2183625000,-40681000,8545000,33981000,-4855000,-3010000,-3657000,39485000,22893000,-11108000,81000,-11108000,8775000,8775000,-1823000,6952000,-30912000,350921000,-50379000,0.44475,-0.19282,-0.1988,-0.02748,-0.01863,1.23839000000002,4.66179,0.47496,0.16071,-0.4888,-0.4888,2.45877,17.78858,-0.60533,-0.02084,-0.0258,15.17889,11.89168
