"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",1.88803278688525,"Up",109036000,-88409000,-49322000,-8468000,-30619000,20627000,-17370000,-19233000,1863000,3257000,4431000,117196000,121627000,121627000,-343000,121284000,121284000,37009000,37009000,111596000,111596000,51130000,9013000,42117000,199735000,25181000,1091839000,262894000,614535000,120355000,1117020000,1316755000,32203000,8127000,24076000,45127000,45127000,80830000,967166000,215324000,148592000,66732000,1182490000,1263320000,983631000,-940976000,42655000,10780000,53435000,1316755000,121627000,121627000,8468000,-107084000,-14478000,8533000,-2962000,-2962000,-2962000,-2962000,-20145000,-20707000,-15136000,-15136000,-15136000,29095000,970666000,-105541000,0.18918,1.11233,2.26975,0.09211,-0.870199999999999,2.47105,23.64218,0.73717,2.62433,2.1795,2.35931,0.92296,-2.28368,0.09786,-0.08515,32.08995,45.26383
"31","2018_Q2",2.10953125,"Up",99621000,-92306000,-45315000,-8288000,-38703000,7315000,-17236000,-19137000,1901000,-9921000,-9682000,-12840000,-22522000,-22522000,-33000,-22555000,-22555000,42958000,42958000,98181000,98181000,49762000,10964000,38798000,190901000,24347000,1090310000,260182000,610691000,132166000,1114657000,1305558000,31897000,7596000,24301000,55810000,55810000,91207000,956021000,229793000,161449000,68344000,1185814000,1277021000,980854000,-963531000,17323000,11214000,28537000,1305558000,-22522000,-22522000,8288000,32637000,3601000,22004000,-914000,-914000,-914000,-914000,-11663000,-14809000,6281000,6281000,6281000,15603000,959521000,31130000,0.07343,-0.22641,-0.79038,-0.01728,-1.38018,2.09305,44.74966,0.73495,-0.48238,-0.48238,2.13059,0.37049,0.66578,-0.01852,0.02556,58.74274,125.29911
"32","2018_Q3",2.43111111111111,"Up",115206000,-90393000,-51770000,-8248000,-30375000,24813000,-17124000,-19138000,2014000,7689000,8315000,15581000,23896000,23896000,-306000,23590000,23590000,35982000,35982000,100983000,100983000,45315000,7522000,37793000,182280000,23718000,1084418000,260182000,598097000,145656000,1108136000,1290416000,32712000,7896000,24816000,48038000,48038000,96122000,929998000,213347000,145918000,67429000,1143345000,1239467000,979950000,-939941000,40009000,10940000,50949000,1290416000,23896000,23896000,8248000,-3633000,-16683000,11828000,-1164000,-1164000,-1164000,-1164000,-15193000,-17837000,-7173000,-7173000,-7173000,33061000,945370000,-367000,0.21538,0.20476,0.46301,0.01828,-0.0155600000000002,1.89634,24.3276,0.73261,0.51245,0.48701,2.50266,0.86913,-0.00797000000000003,0.0195,-0.000299999999999974,27.50637,36.64966
"33","2018_Q4",2.49206349206349,"Up",110730000,-78629000,-39314000,-8333000,-30982000,32101000,-17019000,-18954000,1935000,15082000,15202000,8173000,23375000,23375000,-331000,23044000,23044000,45326000,45326000,105323000,105323000,47300000,7994000,39306000,197949000,26412000,1063180000,260299000,600111000,127888000,1089592000,1287541000,31144000,5733000,25411000,45674000,45674000,92190000,924837000,196618000,137860000,58758000,1121455000,1213645000,979681000,-916897000,62784000,11112000,73896000,1287541000,23375000,23375000,8333000,4253000,-25623000,10338000,11150000,-1641000,-1641000,6387000,-5738000,-7546000,9179000,9179000,9179000,40434000,940209000,17788000,0.2899,0.20811,0.31184,0.0179,0.77191,2.14719,16.42369,0.73024,0.51063,0.48552,2.45367,1.39123,0.39416,0.01903,0.01469,22.13194,27.87711
"34","2019_Q1",2.24114754098361,"Down",113541000,-104130000,-49250000,-8320000,-46560000,9411000,-17046000,-19198000,2152000,-7635000,-10429000,127844000,117415000,117415000,-493000,116922000,116922000,15255000,15255000,110354000,110354000,47590000,9775000,37815000,173199000,26088000,1038122000,245572000,600134000,122325000,1064210000,1237409000,29251000,7331000,21920000,43321000,43321000,111278000,873757000,67001000,12904000,54097000,940758000,1052036000,978675000,-803534000,175141000,10232000,185373000,1237409000,113856000,113856000,8320000,-94066000,-22051000,6059000,-1109000,-1109000,-709000,-1109000,-31307000,-35158000,-30208000,-30208000,-30208000,17731000,912463000,-133273000,0.08289,1.02978,0.63074,0.09449,-1.13985,1.55645,5.67524,0.7374,2.61736,2.36946,2.54168,3.92063,-2.98339,0.10038,-0.11441,50.60109,95.3361
"35","2019_Q2",2.13666666666667,"Down",98449000,-82332000,-43108000,-8274000,-30950000,16117000,-20407000,-22128000,1721000,-4290000,-4290000,-2248000,-6538000,-6538000,-125000,-6663000,-6663000,5809000,5809000,101099000,101099000,56424000,13235000,43189000,163332000,25589000,1082668000,245572000,600134000,173855000,1108257000,1271589000,27788000,7561000,20227000,61199000,61199000,109613000,870946000,103132000,12331000,90801000,974078000,1083691000,978332000,-800835000,177497000,10401000,187898000,1271589000,-2979000,-2979000,8274000,16198000,-5238000,16255000,-707000,-707000,-707000,-707000,-22295000,-24993000,-9445000,-9445000,-9445000,24391000,891572000,20694000,0.16371,-0.06768,-0.03546,-0.00524,-3.10581,1.49008,5.76744,0.70115,-0.14806,-0.14806,2.18767,3.94422,0.45985,-0.00563,0.0175,36.31516,54.9583
"36","2019_Q3",2.02703125,"Down",121571000,-91025000,-53117000,-3584000,-34324000,30546000,-20291000,-21940000,1649000,10255000,10255000,-3118000.00000001,7137000.00000001,7137000,-546000,6591000.00000001,6591000.00000001,14605000,14605000,105925000,105925000,48839000,8700000,40139000,169369000,24254000,1075685000,245572000,583697000,185632000,1099939000,1269308000,22710000,7230000,15480000,55653000,55653000,98460000,874499000,103975000,15446000,88529000,978474000,1076934000,975450000,-794244000,181206000,11168000,192374000,1269308000,7137000,7137000.00000001,3584000,23388000,-22165000,11944000,-1403000,-1403000,-1403000,-1403000,1576000,-1655000,8886000,8886000,8886000,34130000,894596000,13680000,0.25126,0.0542199999999999,0.0342599999999999,0.00519,2.07556,1.72018,5.59813,0.70479,0.14534,0.14534,2.68077,3.99579,0.30166,0.00553,0.01149,25.7835,28.80871
"37","2019_Q4",2.08765625,"Up",111055000,-82684000,-47716000,-2593000,-32375000,28371000,-16149000,-17448000,1299000,12222000,12222000,-2976000,9246000,9246000,-328000,8918000,8918000,31360000,31360000,103096000,103096000,47217000,9595000,37622000,181673000,24583000,1055245000,245572000,583697000,166548000,1079828000,1261501000,28370000,5259000,23111000,49825000,49825000,101176000,856189000,105208000,21778000,83430000,961397000,1062573000,978566000,-788885000,189681000,9247000,198928000,1261501000,5687000,5687000,2593000,24304000,-9735000,22849000,11663000,-1837000,-1837000,11663000,-16917000,-17940000,16572000,16572000,16572000,30964000,879170000,35868000,0.25547,0.0803,0.04483,0.00707,4.02198,1.79561,5.3415,0.69692,0.20091,0.17644,2.50197,4.27335,0.80807,0.00754,0.03031,27.38051,29.88298
"38","2020_Q1",1.87435483870968,"Down",105854000,-93792000,-49503000,-2534000,-41755000,12062000,-17328000,-19734000,2406000,-5266000,-5266000,-2522000,-7788000,-7788000,-133000,-7921000,-7921000,33073000,33073000,106148000,106148000,46818000,11261000,35557000,186039000,24393000,1039487000,239772000,582697000,158806000,1063880000,1249919000,25916000,5919000,19997000,49177000,49177000,101038000,850308000,104934000,24560000,80374000,955242000,1056280000,979881000,-796806000,183075000,10564000,193639000,1249919000,-7788000,-7788000,2534000,35992000,-23281000,7457000,-1198000,-1198000,-1198000,-1198000,-4424000,-4616000,1643000,1643000,1643000,14596000,876253000,-7361000,0.11395,-0.07483,-0.04091,-0.00634,0.929299999999999,1.84128,5.45489,0.70105,-0.17978,-0.15595,2.40248,4.1551,-0.16707,-0.00674,-0.00627,57.76788,69.90383
"39","2020_Q2",5.20031746031746,"Up",94875000,-122162000,-38094000,-2548000,-81520000,-27287000,-17626000,-19130000,1504000,-44913000,-44913000,21855000,-23058000,-23058000,-129000,-23187000,-23187000,65917000,65917000,97149000,97149000,52013000,12844000,39169000,215079000,24719000,983946000,233822000,535472000,157782000,1008665000,1223744000,25419000,5642000,19777000,54227000,54227000,102143000,870012000,82629000,2704000,79925000,952641000,1054784000,978661000,-819993000,158668000,10292000,168960000,1223744000,-23058000,-23058000,2548000,45982000,-3437000,22035000,-1430000,-1430000,-1430000,-1905000,14728000,12714000,32844000,32844000,32844000,-24739000,892509000,-51461000,-0.28761,-0.2444,-0.13723,-0.01895,2.21939,2.10567,6.2428,0.72933,-0.51267,-0.51267,2.0977,3.50817,-1.13781,-0.02027,-0.04498,-33.41251,-30.29252
"40","2020_Q3",9.29859375,"Up",76008000,-55626000,-29620000,-2382000,-23624000,20382000,-18275000,-18369000,94000.0000000002,2106999.99999999,2107000,-465000,1642000,1642000,-222000,1420000,1420000,69698000,69698000,87130000,87130000,47244000,11081000,36163000,204072000,24107000,980866000,233822000,535472000,155942000,1004973000,1209045000,17116000,5114000,12002000,53650000,53650000,120763000,838384000,79639000,3169000,76470000,918023000,1038786000,978033000,-818573000,159460000,10799000,170259000,1209045000,1642000,1642000,2382000,15946000,-8734000,11236000,-1220000,-1220000,-1220000,-1220000,-5624000,-6235000,3781000.00000001,3781000.00000001,3781000.00000001,22764000,888381000,13275000,0.26816,0.01868,0.00833999999999999,0.00117,9.34858999999999,1.68986,6.10121,0.73478,0.0316799999999999,0.03168,1.69574,3.55757,0.29617,0.00125,0.01166,35.96393,40.16696
"41","2020_Q4",5.0559375,"Down",91912000,-87944000,-32199000,-2489000,-53256000,3968000,-16381000,-18065000,1684000,-12413000,-12413000,136000,-12277000,-12277000,-495000,-12772000,-12772000,102223000,102223000,92357000,92357000,38963000,3936000,35027000,233543000,23306000,953688000,223872000,516372000,158859000,976994000,1210537000,26351000,6399000,19952000,46395000,46395000,122743000,827128000,87124000,2711000,84413000,914252000,1036995000,993770000,-831345000,162425000,11117000,173542000,1210537000,-12277000,-12277000,2489000,46844000,-5884000,31172000,-526000,-526000,-526000,-526000,-12887000,1879000,32525000,32525000,32525000,6457000,877125000,-89000,0.04317,-0.13896,-0.0736,-0.01055,0.00697,1.9027,5.97547,0.72458,-0.28919,-0.28919,2.08111,3.67769,-0.00202,-0.01123,-8e-05,120.0096,195.2878
"42","2021_Q1",6.0727868852459,"Up",113542000,5391000,-46854000,-2322000,54567000,118933000,-17465000,-18730000,1265000,101468000,14174000,12950000,27124000,27124000,-698000,26426000,26426000,73385000,73385000,106296000,106296000,43285000,10154000,33131000,222966000,19192000,953329000,223402000,56052999.9999999,663833000,972521000,1195487000,31454000,11135000,20319000,52093000,52093000,106909000,818924000,70055000,1646258.77770781,70055000,888979000,995888000,991817000,-804919000,186898000,12701000,199599000,1195487000,27124000,27124000,2322000,5547000,-25569000,9424000,238000,-622000,-622000,238000,-33124000,-38500000,-28838000,-28838000,-28838000,121255000,842286000,82974000,1.04748,0.23274,0.1324,0.0221,3.13985999999986,2.08557,4.98944,0.70455,0.5751,0.5751,2.47099,4.06742,1.80575,0.02377,0.07462,6.34119,6.46499
"43","2021_Q2",8.23968253968254,"Up",91440000,-67683000,-40323000,-2264000,-25096000,23757000,-16357000,-18041000,1684000,7400000,451000,10000,461000,461000,-454000,7000,7000,56814000,56814000,94633000,94633000,52446000,9326000,43120000,203893000,18589000,946269000,223402000,54375000,658441000,964858000,1168751000,26165000,9037000,17128000,51808000,51808000,77973000,809857000,69355000,1907182.13569531,69355000,879212000,957185000,1003743000,-804912000,198831000,12735000,211566000,1168751000,461000,461000,2264000,20715000,-9147000,14293000,-804000,-804000,-804000,-804000,-30156000,-30060000,-16571000,-16571000,-16571000,26021000,809857000,16060000,0.25981,8e-05,3e-05,1e-05,2294.28571,2.61492,4.52429,0.69293,0.00014,0.00014,1.88679,4.10271,0.33138,1e-05,0.01472,28.93982,31.69773
"44","2021_Q3",7.4534375,"Down",107593000,-18060000,-40831000,-2325000,25096000,37920000,-13323000,-15685000,2362000,24597000,24597000,-6119000,18478000,18478000,-612000,17866000,17866000,129307000,129307000,103902000,103902000,46526000,10613000,35913000,279735000,25258000,934549000,223402000,53059000,654155000,959807000,1239542000,45642000,12523000,33119000,53515000,53515000,99157000,817774000,70956000,2473514.42583515,70956000,888730000,987887000,1023509000,-787046000,236463000,15192000,251655000,1239542000,18478000,18478000,2325000,21427000,-5031000,37199000,6350000,-1650000,-1650000,6350000,7505000,28944000,72493000,72493000,72493000,40245000,817774000,47683000,0.35244,0.16605,0.07099,0.01441,2.66892000000007,2.82113,3.92556,0.65974,0.35886,0.31169,2.16116,4.7497,0.95778,0.01567,0.04181,17.1069,18.15578
"45","2021_Q4",6.7334375,"Down",111463000,-47758000,-45422000,-2336000,-44869542.8253706,34475000,-13763000,-15883000,2120000,20712000,20712000,-6257000,14455000,14455000,-579000,13876000,13876000,111358000,111358000,114045000,114045000,46191000,8919000,37272000,271594000,25493000,940450000,223402000,51821000,665227000,965943000,1237537000,31513000,14623000,16890000,56472000,56472000,87985000,818191000,66191000,2325000,63866000,884382000,972367000,1021323000,-773170000,248153000,17017000,265170000,1237537000,14455000,31550363.9272771,32692000,-6426000,-55949000,-15228000,-1728000,-1893701.01028215,-1893699.34775574,-1728000,0,-993000,-17949000,-17949000,-17949000,67167000,818191000,15747000,0.3093,0.12449,0.05233,0.01121,1.13484,3.08682,3.66696,0.66114,0.27101,0.25173,2.17693,4.84656,0.30755,0.01207,0.0137,10.52352,20.50277
"46","2022_Q1",5.37225806451613,"Down",130966000,-189418000,-67962000,-2364000,-119092000,22391000,-13907000,-15875000,1968000,8484000,8484000,-1211000,7273000,7273000,-670000,6603000,6603000,132245000,132245000,127446000,127446000,53583000,2967000,50616000,313274000,26291000,921543000,223402000,50159000,647982000,947834000,1261108000,51006000,14588000,10960000,55465000,55465000,106471000,818616000,64886000,2473000,62413000,883502000,989973000,1020687000,-766567000,254120000,17015000,271135000,1261108000,7273000,26462440.6809945,-27992000,56091000,8514000.00000001,43886000,-2104000,-1650909.73381592,-1650908.67584456,-2104000,1.86264514923096e-09,-1395000,40387000,40387000,40387000,-5600999.99999999,818616000,2020000,0.17097,0.05042,0.02435,0.00524,0.305920000000018,2.94234,3.65122,0.64912,0.11938,0.11225,2.36784,4.59443,0.03652,0.00572,0.00175,-122.54437,30.65388
"47","2022_Q2",8.275,"Up",112349000,-75811000,-44888000,-2405000,-28518000,36538000,-13882000,-15868000,1986000,22656000,22656000,-5586000,17070000,17070000,-701000,16369000,16369000,146393000,146393000,113687000,113687000,66063000,3478000,62585000,326143000,26243000,932249000,223402000,63727000,645120000,958492000,1284635000,29098000,11997000,17101000,70639000,70639000,99737000,819049000,77530000,8059000,69471000,896579000,996316000,1020762000,-750198000,270564000,17755000,288319000,1284635000,17070000,17070000,2405000,21460000,-25201000,15734000,-1576000,-1576000,-1576000,-1576000,-1989864.06380463,-10000,14148000,14148000,14148000,38943000,819049000,17752000,0.32522,0.1457,0.05677,0.01274,1.08449,3.27003,3.4556,0.63757,0.31967,0.29716,2.19404,5.2838,0.34668,0.01381,0.01498,17.27283,18.40977
"48","2022_Q3",5.5978125,"Down",118810000,-21173000,-47210000,-2481000,28518000,40768000,-6161000,-15886000,9725000,34607000,19529000,-3725000,15804000,15804000,-770000,15034000,15034000,123030000,123030000,123998000,123998000,64033000,4030000,60003000,311061000,26913000,916790000,219077000,61508000,636205000,943703000,1254764000,46739000,14819000,31920000,62906000,62906000,109645000,787381000,79487000,11070000,68417000,866868000,976513000,994725000,-735164000,259561000,18690000,278251000,1254764000,15804000,15804000,2481000,26158000,-16553000,27890000,-2295000,-2295000,-2295000,-2295000,-22750000,-48958000,-23363000,-23363000,-23363000,43249000,787381000,28126000,0.34314,0.12654,0.05403,0.01198,1.87083,2.83698,3.50947,0.62751,0.29591,0.27505,2.33849,5.10883,0.55359,0.01313,0.02456,15.36107,16.29589
