"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",57.1077777777778,"Up",3767472000,-402664000,3364808000,-2842146000,-190707000,-223998000,522662000,-7935000,-12322000,-19709000,7387000,4387000,514727000,514727000,-181752000,332975000,332975000,-14523000,318452000,318452000,4961236000,4784300000,176936000,815873000,815873000,479404000,1644475000,1644475000,7900988000,2666352000,324371000,16684798000,16684798000,19675521000,27576509000,2836712000,610931000,1980628000,937486000,815943000,815943000,4590141000,15534244000,2843285000,2382554000,460731000,18377529000,22967670000,3282528000,1009367000,657000,4292552000,316287000,4608839000,27576509000,332975000,223998000,108002000,-65163000,599812000,-149907000,-75974000,-1654930000,-1880811000,3364030000,4743000,4743000,-652987000,2715786000,1434787000,1434787000,1434787000,746660000,16471730000,713342000,0.89312,0.13873,0.08453,0.0691,0.01155,2.24003,1.7213,4.9834,0.59731,0.68494,0.6453,8.10329,9.23266,1.5343,5,0.01331,0.02982,15.41598,22.02283
"28","2017_Q1",61.8272580645161,"Up",3752765000,-327986000,3424779000,-2830732000,-162101000,-230053000,594047000,-15844000,-18479000,-29317000,10838000,2635000,578203000,557055000,-189251000,367804000,367804000,-12311000,355493000,355493000,5360119000,5324503000,35616000,777908000,777908000,422349000,1720011000,1720011000,8280387000,2654271000,33248000,16946386000,16946386000,19633905000,27914292000,2876947000,524704000,2046504000,941903000,773982000,773982000,4592832000,15541736000,2848767000,2385525000,463242000,18390503000,22983335000,3076077000,1536691000,781000,4613549000,317408000,4930957000,27914292000,367804000,230053000,293187000,-228259000,662785000,-144382000,172352000,-157879000,-129909000,-11093000,6439000,6439000,11923999.9999998,7270000,540146000,540146000,540146000,824100000,16483639000,640710000,0.9126,0.1583,0.09473,0.07209,0.01274,1.80231,1.80289,4.66103,0.59051,0.76431,0.69392,8.0684,9.91907,1.37752,6,0.01465,0.02641,13.49778,18.72498
"29","2017_Q2",63.0534920634921,"Up",3680361000,-290034000,3390327000,-2783007000,-131035000,-204630000,607320000,-10133000,-14878000,-29170000,14292000,4745000,597187000,597187000,-207112000,390075000,390075000,-14360000,375715000,375715000,6802903000,6782252000,20651000,704246000,704246000,421512000,1667970000,1667970000,9596631000,2550259000,123539000,17177770000,17177770000,19851568000,29448199000,2874116000,556319000,2080641000,942451000,753562000,753562000,4570129000,16292666000,3094879000,2630735000,464144000,19387545000,23957674000,3241188000,1912406000,4884000,5158478000,332047000,5490525000,29448199000,390075000,204630000,154508000,187554000,936767000,-114899000,-71094000,-269033000,-455026000,990838000,6374000,6374000,-13256000,983956000,1465697000,1465697000,1465697000,811950000,17235117000,1091717000,0.92119,0.16502,0.10209,0.06843,0.01276,2.90571,2.09986,4.36346,0.58527,0.80727,0.73033,7.90775,11.08368,2.3457,6,0.01455,0.04228,12.84835,17.17746
"30","2017_Q3",59.1298412698413,"Down",3643632000,-275460000,3368172000,-2820374000,-179812000,-211671000,547798000,-10655000,-13822000,-26269000,12447000,3167000,537143000,241448000,-182686000,58762000,58762000,-18646000,40116000,40116000,2386453000,2365893000,20560000,737029000,737029000,373676000,215874000,215874000,3713032000,2447945000,119750000,23636832000,23636832000,26204527000,29917559000,3017497000,328098000,2385743000,2140980000,743128000,743128000,5901605000,15107048000,3320338000,2851441000,468897000,18427386000,24328991000,3279720000,1952522000,5632000,5237874000,350694000,5588568000,29917559000,58762000,211671000,200146000,85750000,556329000,-97488000,1160000.00000006,-4884313000,-4980641000,-10924000,10404000,10404000,-5.96046447753906e-08,-520000.000000238,-4424832000,-4424832000,-4424832000,759469000,17248028000,930417000,0.9244,0.15034,0.01101,0.00718,0.00134,23.19316,0.62916,4.35335,0.57652,0.08608,0.0763699999999999,7.81858,11.23954,1.99651,5,0.00153,0.03557,19.56838,27.12966
"31","2017_Q4",49.8430158730159,"Down",3583454000,-318811000,3264643000,-2815592000,-186954000,-209324000,449051000,43131000,2870000,-4370000,7240000,40261000,492182000,492182000,-176917000,315265000,315265000,-17890000,297375000,297375000,1850649000,1582850000,267799000,703631000,703631000,318892000,249379000,249379000,3122551000,2378811000,112381000,23907112000,23907112000,26398304000,29520855000,2997766000,374130000,2395863000,1241187000,715405000,715405000,4954358000,15119419000,3527034000,3062592000,464442000,18646453000,23600811000,3295739000,2249897000,6174000,5551810000,368234000,5920044000,29520855000,315265000,209324000,179921000,29477000,733987000,-111718000,-195598000,-304188000,-611504000,-12323000,7393000,7393000,-900349000,-905279000,-782796000,-782796000,-782796000,658375000,16360606000,753051000,0.91103,0.12531,0.08299,0.05023,0.01007,2.53233,0.63026,3.98659,0.55421,0.63781,0.56622,7.68577,11.90749,1.61514,5,0.01152,0.02918,22.03905,32.31249
"32","2018_Q1",43.9529508196721,"Down",3483928000,-319956000,3163972000,-2758763000,-189253000,-191939000,405209000,59979000,3664000,-3363000,7027000,56315000,465188000,319270000,1082035000,1401305000,1401305000,-15822000,1385483000,1385483000,1980673000,1479508000,501165000,653948000,653948000,321008000,329394000,329394000,3285023000,2183661000,113460000,24191622000,24191622000,26488743000,29773766000,3050406000,393305000,2375095000,1068524000,709074000,709074000,4828004000,15134441000,2490025000,2019538000,470487000,17624466000,22452470000,3301152000,3635380000,882000,6937414000,383882000,7321296000,29773766000,1401305000,191939000,-914936000,-125884000,552424000,-107690000,-184950000,-181742000,-474382000,-10013000,4403000,4403000,-175784000,-181394000,-103352000,-103352000,-103352000,597148000,16202965000,-718461000,0.90816,0.11631,0.39768,0.18924,0.04653,-0.518559999999999,0.68041,3.06673,0.5442,2.97056,2.63667,7.46975,14.87423,-1.54042,4,0.05326,-0.02762,23.81703,35.09866
"33","2018_Q2",34.113125,"Down",3458487000,-196011000,3262476000,-2732970000,-169777000,-192972000,529506000,-28448000,6360000,-2957000,9317000,-34808000,501058000,501058000,-115737000,385321000,385321000,-17761000,367560000,367560000,2279063000,2115349000,163714000,601673000,601673000,347746000,237079000,237079000,3465561000,2106931000,115429000,24467012000,24467012000,26689372000,30154933000,2940597000,331388000,2385619000,1008902000,742838000,742838000,4692337000,15152076000,2584055000,2112421000,471634000,17736131000,22428468000,3318203000,4005260000,1359000,7324822000,401643000,7726465000,30154933000,385321000,192972000,137846000,35412000,751551000,-70521000,304314000,-290390000,-56597000,-10458000,7991000,7991000,-56632000,-59099000,635855000,635855000,635855000,722478000,16160978000,803106000,0.94332,0.1531,0.10628,0.04757,0.01219,2.18497,0.73856,2.90281,0.53593,0.78767,0.6997,7.41144,15.69688,1.72103,5,0.01389,0.03034,19.21431,26.21673
"34","2018_Q3",34.3220634920635,"Up",3460845000,-183262000,3277583000,-2704923000,-190625000,-172702000,572660000,29186000,7754000,-2865000,10619000,21432000,601846000,601846000,-141560000,460286000,460286000,-21569000,438717000,438717000,1554788000,1007784000,547004000,641888000,641888000,329507000,217527000,217527000,2743710000,2047928000,115870000,24742504000,24742504000,26906302000,29650012000,2887642000,284767000,2332690000,34824000,709050000,709050000,3631516000,15109600000,2682189000,2217077000,465112000,17791789000,21423305000,3358975000,4443977000,735000,7803687000,423020000,8226707000,29650012000,460286000,172702000,95057999.9999999,-154259000,573787000,-97598000,-367110000,-176158000,-640866000,-9693999.99999999,3739000,3739000,-1034520000,-1040475000,-1107554000,-1107554000,-1107554000,745362000,15144424000,635065000,0.94705,0.16547,0.12677,0.05333,0.0148,1.44755,0.75553,2.60412,0.51077,0.93857,0.83421,7.40399,16.69488,1.35863,6,0.01684,0.02438,18.23226,23.73072
"35","2018_Q4",31.392380952381,"Down",3395141000,-186878000,3208263000,-2645560000,-169299000,-175285000,562703000,30585000,5112000,-5413000,10525000,25473000,593288000,593288000,-140690000,452598000,452598000,-20864000,431734000,431734000,1865149000,1229717000,635432000,670826000,670826000,304944000,197990000,197990000,3038909000,1990034000,109546000,24998921000,24998921000,27098501000,30137410000,2824798000,269515000,2353442000,1367116000,685683000,685683000,4877597000,13790114000,2786490000,2329011000,457479000,16576604000,21454201000,3369671000,4875711000,-537000,8244845000,438364000,8683209000,30137410000,452598000,175285000,87450000,-24937000,690396000,-114686000,-63958000,-281918000,-460562000,-12499000,4570000,4570000,0,-7929000,221905000,221905000,221905000,737988000,15157230000,739055000,0.94496,0.16574,0.12716,0.04972,0.01433,1.71183,0.62303,2.47077,0.50294,0.92335,0.82072,7.26115,17.63317,1.58061,6,0.01621,0.02776,18.01124,23.62184
"36","2019_Q1",30.6291803278689,"Down",3306829000,-8758225000,-5451396000,5934148000,-907580000,-171065000,482752000,10231000,10527000,-3771000,14298000,-296000,492983000,492983000,-135697000,357286000,357286000,-20206000,337080000,337080000,2068817000,887346000,1181471000,639855000,639855000,290733000,289800000,289800000,3289205000,1928180000,118992000,25250635000,25250635000,27297807000,30587012000,2778827000,233753000,2276595000,1341993000,655312000,655312000,4776132000,13810784000,2945839000,2474907000,470932000,16756623000,21532755000,3383772000,5212790000,-874000,8595688000,458569000,9054257000,30587012000,357286000,171065000,83225000,-109469000,502107000,-111133000,-546926000,-159189000,-817248000,-1118605000,3681000,3681000,1087882000,-27042000,-342183000,-342183000,-342183000,653817000,15152777000,568912000,-1.64853,0.14599,0.10193,0.03723,0.01102,1.68777,0.68868,2.37819,0.4954,0.72064,0.64075,7.06962,18.37659,1.21627,5,0.01241,0.02095,20.01165,27.10286
"37","2019_Q2",35.4909523809524,"Up",3187144000,-193899000,2993245000,-2536945000,-198914000,-153139000,456300000,18334000,9246000,-5921000,15167000,9088000,474634000,474634000,-113335000,361299000,361299000,-21538000,339761000,339761000,2393047000,1576672000,816375000,581685000,581685000,309251000,308234000,308234000,3592217000,1863167000,161653000,26069340000,26069340000,28094160000,31686377000,2992267000,277367000,2512710000,1316414000,646375000,646375000,4955056000,13825418000,3473244000,2529065000,944179000,17298662000,22253718000,3400058000,5552551000,-57000,8952552000,480107000,9432659000,31686377000,361299000,153139000,62841000,155650000,732929000,-120859000,367871000,-287280000,-40268000,-28997000,4750000,4750000,2.9e+07,4753000,697414000,697414000,697414000,609439000,15141832000,757565000,0.93916,0.14317,0.1066,0.03602,0.01072,2.2297,0.72496,2.35922,0.47787,0.72606,0.64566,6.81082,19.13131,1.61889,4,0.01211,0.02701,20.91889,27.93948
"38","2019_Q3",35.804375,"Up",3211312000,-238078000,2973234000,-2542502000,-202758000,-149702000,430732000,15658000,12826000,-5650000,18476000,2832000,446390000,446390000,-105824000,340566000,340566000,-23523000,317043000,317043000,2732382000,1901064000,831318000,584116000,584116000,331138000,270219000,270219000,3917855000,1895338000,163793000,26307130000,26307130000,28366261000,32284116000,3111858000,361048000,2481886000,2416453000,667190000,667190000,6195501000,12747010000,3506398000,2589197000,917201000,16253408000,22448909000,3461834000,5869594000,149000,9331577000,503630000,9835207000,32284116000,340566000,149702000,71379000,51743000,613390000,-160863000,-12544000.0000002,-147895000,-321302000,-4874000.00000012,22666000,22666000,20500999.9999999,38292999.9999999,330381000,330381000,330381000,580434000,15163463000,577138000,0.92586,0.13413,0.09873,0.03224,0.00982,1.82038,0.63237,2.2825,0.46969,0.67504,0.60047,6.83745,19.86858,1.22883,4,0.01112,0.02025,21.41687,28.86036
"39","2019_Q4",34.63359375,"Down",3168363000,-5922793000,-2754430000,3223322000,-850221000,-154181000,468892000,24478000,26274000,-6027000,32301000,-1796000,493370000,493370000,-116213000,377157000,377157000,-23853000,353304000,353304000,1594392000,1403358000,191034000,577797000,577797000,314620000,244583000,244583000,2731392000,2758024000,159590000,26122434000,26122434000,29040048000,31771440000,2702912000,317690000,2190061000,1173427000,690315000,690315000,4566654000,12960779000,3546774000,2817260000,729514000,16507553000,21074207000,3947104000,6222898000,-252000,10169750000,527483000,10697233000,31771440000,377157000,154181000,250382000,-99410000,682310000,-179680000,637888000,-238847000,219361000,12759000,4615000,4615000,-1370945000,-1353571000,-451900000,-451900000,-451900000,623073000,14134206000,460196000,-0.86935,0.14799,0.11151,0.03303,0.01112,1.30255,0.59812,1.97006,0.44487,0.73976,0.65926,6.63406,21.29389,0.96358,4,0.01245,0.01622,20.12575,26.7435
"40","2020_Q1",32.4266129032258,"Down",3240865000,-2215392000,1025473000,-502520999.999999,-476176000,-173555000,522952000,6581000,5181000,-6089000,11270000,1400000,529533000,529533000,-115986000,413547000,413547000,-24143000,389404000,389404000,2860347000,2443643000,416704000,588358000,588358000,322898000,243497000,243497000,4015100000,2706182000,160074000,26349579000,26213164000,29215835000,33230935000,2643241000,280645000,2126509000,1171366000,681484000,681484000,4496091000,12968229000,3650468000,2870655000,779813000,16618697000,21114788000,4952237000,6612302000,-18000,11564521000,551626000,12116147000,33230935000,413547000,173555000,-51426000.0000001,98096000,633772000,-119679000,-223107000,-232841000,-575627000,-1337808000,4404000,4404000,2315760000,982356000,1040501000,1040501000,1040501000,696507000,14139595000,790910000,0.31642,0.16136,0.12015,0.03214,0.01172,2.03108,0.89302,1.7427,0.42549,0.77352,0.69322,6.4377,22.97191,1.57107,7,0.01302,0.02645,16.19402,21.56842
"41","2020_Q2",27.8206349206349,"Down",3217389000,-2052066000,1165323000,-664827000,-456297000,-166820000,500496000,202000,-1390000,-15606000,14216000,1592000,500698000,144280000,-45006000,99274000,99274000,-26175000,73099000,73099000,3387771000,2827051000,560720000,544106000,544106000,329386000,381026000,381026000,4642289000,2320095000,161717000,26549194000,26549194000,29031006000,33673295000,2776191000,356555000,2224260000,1171741000,683055000,683055000,4630987000,12978580000,3826148000,2899549000,926599000,16804728000,21435715000,4974180000,6685401000,198000,11659779000,577801000,12237580000,33673295000,99274000,166820000,477699000,132160000,875953000,-97164000,-144212000,-239760000,-481136000,-16713000,5525000,5525000,2000,-11186000,383631000,383631000,383631000,667316000,14150321000,747318000,0.3622,0.15556,0.02272,0.00597,0.00217,10.22337,1.00244,1.75163,0.42022,0.13973,0.12573,6.15001,22.28756,1.42849,5,0.00242,0.02473,16.12812,21.50377
"42","2020_Q3",33.01140625,"Up",3187090000,-2035110000,1151980000,-514330000,-403916000,-152124000,637650000,-5900000,-5916000,-11494000,5578000,15999.9999999995,631750000,631750000,-151344000,480406000,480406000,-28063000,452343000,452343000,2630019000,2589817000,40202000,531827000,531827000,315369000,631359000,631359000,4108574000,2271425000,147863000,26969612000,26969612000,29388900000,33497474000,3047300000,372266000,2448644000,2073410000,659500000,659500000,5780210000,10985852000,3966060000,2992146000,973914000,14951912000,20732122000,5024425000,7137744000,-2664000,12159505000,605847000,12765352000,33497474000,480406000,152124000,73181000,129232000,834943000,-99553000,519608000,-376470000,43585000,-1118863000,3551000,3551000,-1000,-1115313000,-236785000,-236785000,-236785000,789774000,13059262000,970797000,0.36145,0.20007,0.14193,0.03544,0.0135,2.14615,0.7108,1.62409,0.38986,0.86277,0.77621,6.07885,23.19224,1.85163,6,0.01518,0.03259,13.20535,16.35575
"43","2020_Q4",30.7725,"Down",4531591000,-3004612000,1526979000,-715731000,-516648000,-199083000,811248000,-4776000,8424000,6778000,1646000,-13200000,806472000,806472000,-273514000,532958000,532958000,-28359000,504599000,504599000,2795167000,1811308000,983859000,1143500000,1143500000,516216000,550588000,550588000,5005471000,2226423000,148246000,28720297000,27918011000,31094966000,36100437000,3575648000,747533000,2638353000,2092638000,861843000,861843000,6530129000,11989762000,4255084000,3635500000,619584000,16244846000,22774975000,5050496000,7642343000,-1583000,12691256000,634206000,13325462000,36100437000,532958000,199083000,651665000,-376911000,1006795000,-112832000,-956277000,-1673833000,-2742942000,958296000,12936000,12936000,-1670000,969562000,-766585000,-766585000,-766585000,1010331000,14082400000,794102000,0.33696,0.17902,0.11135,0.03787,0.01398,1.57373,0.76652,1.70913,0.39009,0.96015,0.86457,8.62268,24.14884,1.51101,8,0.01594,0.02508,11.17182,13.91342
"44","2021_Q1",33.2950819672131,"Up",4557365000,-2941940000,1615425000,-625786000,-429261000,-196525000,989639000,70000,8642000,7348000,1294000,-8572000,989709000,989709000,-228411000,761298000,761298000,-28666000,732632000,732632000,3733045000,3370092000,362953000,1104202000,1104202000,380349000,1804562000,1804562000,7022158000,2182333000,149706000,28885750000,28125624000,31217789000,38239947000,3143408000,395397000,2483893000,2085620000,855718000,855718000,6084746000,13616408000,4407500000,3869570000,537930000,18023908000,24108654000,5406035000,8374975000,-855000,13780155000,351138000,14131293000,38239947000,761298000,196525000,173179000,-536917000,594085000,-103753000,623030000,-1200356000,-681079000,1976744000,5402000,5402000,-325739000,1656407000,1569413000,1569413000,1569413000,1186164000,15702028000,773905000,0.35446,0.21715,0.16076,0.05184,0.01916,1.05634,1.15406,1.70605,0.41062,1.39269,1.24248,8.66325,26.19517,1.47114,7,0.0214,0.0226,10.0905,12.09429
"45","2021_Q2",42.051746031746,"Up",4497853000,-2961206000,1536647000,-672071000,-481686000,-190385000,864576000,-7164000,-1903000,-3873000,1970000,-5261000,857412000,857412000,-215849000,641563000,641563000,-11339000,630224000,630224000,4573147000,4437662000,135485000,1087134000,1087134000,375076000,480549000,480549000,6515906000,2180273000,152719000,29964240000,29248596000,32297232000,38813138000,3122498000,488770000,2446573000,1875482000,816060000,816060000,5814040000,14682903000,4291498000,3771572000,519926000,18974401000,24788441000,4656537000,9005199000,484000,13662220000,362477000,14024697000,38813138000,641563000,190385000,166428000,127122000,1125498000,-115096000,241903000,57775000,184582000,-224503000,6389000,6389000,-11341000,-229455000,1080625000,1080625000,1080625000,1054961000,16558385000,1282836000,0.34164,0.19222,0.14012,0.04494,0.01624,2.03552,1.12072,1.76748,0.42662,1.19685,0.99442,8.5418,25.94569,2.43621,7,0.01807,0.03678,11.36084,13.86256
"46","2021_Q3",42.5665625,"Up",4486960000,-2885923000,1601037000,-694299000,-507909000,-186390000,906738000,-7749000,-539000,-18499731.0362852,3182483.47011185,-7210000,898989000,898989000,-217538000,681451000,681451000,-10404000,671047000,671047000,4829290000,3676487000,1152803000,977284000,977284000,385396000,412670000,412670000,6604640000,2376040000,153945000,30488953000,29745737000,33018938000,39623578000,3197923000,523179000,2412079000,76349000,762354000,762354000,4036626000,16163609000,4697668000,3977044000,720624000,20861277000,24897903000,4675786000,9676246000,762000,14352794000,372881000,14725675000,39623578000,681451000,186390000,219211000,39349000,1126401000,-262975000,-1017685000,-162419000,-1443079000,-311392000,18704000,18704000,-13909000,-306597000,-623275000,-623275000,-623275000,1093128000,16239958000,1087040000,0.35682,0.20208,0.14955,0.04557,0.01694,1.61992,1.63618,1.69078,0.40986,1.27437,1.05883,8.52111,27.25714,2.06438,6,0.01882,0.03048,10.43855,12.58431
"47","2021_Q4",37.25109375,"Down",4449635000,-2947920000,1501715000,-784010000,-606719000,-177291000,717705000,29073000,-1996000,-28898841.3817136,4403311.29348247,31069000,746778000,746778000,-179258000,567520000,567520000,-10478000,557042000,557042000,5247823000,2280278000,2967545000,1002052000,1002052000,470826000,557836000,557836000,7278537000,2733802000,155034000,31046864000,30340314000,33935700000,41214237000,3496600000,693184000,2629810000,2066129000,746615000,746615000,6309344000,14138060000,5428680000,4142341000,1286339000,19566740000,25876084000,4720302000,10233288000,1204000,14954794000,383359000,15338153000,41214237000,567520000,177291000,203769000,59188000,1007768000,-333884000,-1845409000,-399143000,-2578436000,-38342000,12684000,12684000,29504000,3846000,-1566822000,-1566822000,-1566822000,894996000,16204189000,799558000,0.33749,0.1613,0.12519,0.03632,0.01352,1.43536,1.15361,1.68704,0.39317,1.056,0.87693,8.43528,28.35016,1.51574,5,0.01507,0.02163,12.2418,15.26583
"48","2022_Q1",31.6287096774194,"Down",4446658000,-2943234000,1503424000,-789408000,-618622000,-170786000,714016000,1561000,-398000,-26967031.0362852,5127233.47011185,1959000,715577000,715577000,-150165000,565412000,565412000,-13083000,552329000,552329000,5403706000,2428188000,2975518000,942561000,942561000,534937000,641978000,641978000,7523182000,3257787000,150941000,37069815000,36395136000,40478543000,48001725000,3692729000,848224000,2556197000,2061810000,761347000,761347000,6515886000,19355206000,6207520000,4226266000,1981254000,25562726000,32078612000,4740773000,10785617000,281000,15526671000,396442000,15923113000,48001725000,565412000,170786000,148482000,-113096000,771584000,-473687000,3501000.00000024,-103294000,-573480000,5234361000,20526000,20526000,-63253000,5191634000,5389738000,5389738000,5389738000,884802000,21417016000,448184000,0.3381,0.16057,0.12421,0.03469,0.01151,0.81144,1.15459,2.01459,0.44617,1.04133,0.86287,8.38348,29.27313,0.84498,4,0.01268,0.01029,18.09818,22.4271
"49","2022_Q2",24.2412903225806,"Down",4330620000,-2985215000,1345405000,-795045000,-618704000,-176341000,550360000,42796000,248000,-4601000.00000001,4849000,42548000,593156000,593156000,-144310000,448846000,448846000,-16195000,432651000,432651000,3235253000,2696478000,538775000,1089460000,1089460000,536893000,433716000,433716000,5295322000,3866054000,141045000,39899231000,39263596000,43906330000,49201652000,3756961000,941499000,2543214000,3573506000,717127000,717127000,8047594000,17852176000,6910245000,4348632000,2561613000,24762421000,32810015000,4760674000,11218268000,58000,1.5979e+10,412637000,16391637000,49201652000,448846000,176341000,149411000,-69254000,705344000,-629374000,2457074000,-7470326000,-5642626000,-6993000,4616000,4616000,4428000,2051000,-4935231000,-4935231000,-4935231000,726701000,21425682000,172383000,0.31067,0.12709,0.09991,0.02639,0.00879,0.39843,0.658,2.00163,0.43547,0.81906,0.6798,8.19838,30.25014,0.32634,4,0.00967,0.00385,25.03152,33.05187
"50","2022_Q3",17.68125,"Down",4209963000,-2737856000,1472107000,-779172000,-610949000,-168223000,692935000,17529000,3754000,46302551.727142,3063360.88314691,13775000,710464000,710464000,-170457000,540007000,540007000,-17175000,522832000,522832000,2754159000,2632236000,121923000,1051737000,1051737000,585758000,448790000,448790000,4840444000,4470138000,143271000,40403927000,39803849000,45017336000,49857780000,3693602000,815100000,2604317000,3232992000,693014000,693014000,7619608000,17864825000,7395580000,4473313000,2922267000,25260405000,32880013000,4806656000,11741100000,199000,16547955000,429812000,16977767000,49857780000,540007000,168223000,196907000,-144184000,760953000,-656807000,414672000,-240881000,-483016000,-337266000,4449000,4449000,-11661000,-344478000,-66541000,-66541000,-66541000,861158000,21097817000,230624000,0.34967,0.16459,0.12419,0.0308,0.01049,0.44111,0.63526,1.93665,0.42316,0.98978,0.82149,7.96996,31.32724,0.4366,4,0.0115,0.00507,21.30115,26.47241
