"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q3",31.1550793650794,"Up",41226000,-5596000,-5596000,35630000,-27399000,-12848000,-1899000,-12652000,8231000,-5117000,-5117000,3114000,6193000,-1499000,4694000,4694000,-9000,4685000,4685000,12500000,12500000,5220000,5220000,2432000,9488000,2650000,29640000,158650000,123048000,79182000,281698000,311338000,13265000,1551000,11714000,12328000,25593000,114885000,17277000,15882000,1395000,132162000,157755000,63550000,87608000,151158000,2425000,153583000,311338000,4694000,4694000,1899000,1648000,-2309000,5932000,-6242000,-6202000,1161000,0,0,-54000,816000,546000,546000,546000,10130000,127213000,3078000,0.86426,0.19966,0.11364,0.0305,0.01505,0.65699,1.15813,1.02716,0.4086,0.48205,0.48205,4.24179,15.55283,0.3167,0.01669,0.01033,11.32409,13.9367
"32","2018_Q4",24.5579365079365,"Down",42634000,-5866000,-5866000,36768000,-27276000,-13476000,-1998000,-11802000,9492000,-2256000,-2256000,7236000,7236000,-1829000,5407000,5407000,-18000,5389000,5389000,13171000,13171000,4975000,4975000,2411000,10715000,1456000,31272000,165715000,123276000,79410000,288991000,320263000,13032000,2589000,10443000,12285000,25317000,118970000,17333000,15882000,1451000,136303000,161620000,63550000,92704000,156254000,2389000,158643000,320263000,5407000,5407000,1998000,15000,914000,8334000,-9819000,-10273000,2957000,0,0,-54000.0000000001,2610000,671000,671000,671000,11490000,131255000,4414000,0.86241,0.22264,0.1264,0.03397,0.01683,0.81908,1.23522,1.01877,0.40984,0.55448,0.55448,4.38667,16.07717,0.45416,0.01849,0.01437,10.27711,12.44037
"33","2019_Q1",22.0062295081967,"Down",40676000,-5562000,-5562000,35114000,-34415000,-14688000,-1916000,-17811000,699000,-2414000,-2414000,-1715000,-1715000,-1781000,-3496000,-3496000,-10000,-3506000,-3506000,17726000,17726000,7320000,7320000,2353000,9403000,4910000,36802000,172403000,120527000,76936000,292930000,329732000,14798000,2825000,11973000,19047000,33845000,121580000,20975000,19552000,1423000,142555000,176400000,64309000,88906000,153435000,-103000,153332000,329732000,-3496000,-3496000,1916000,8544000,-3606000,3358000,-7065000,-7775000,9877000,0,0,-613000,8972000,4555000,4555000,4555000,2615000,140627000,-6275000,0.86326,0.01718,-0.08619,-0.02287,-0.01063,1.78979,1.08737,1.15044,0.42649,-0.36074,-0.36074,4.1852,15.78712,-0.64564,-0.01021,-0.01992,46.99847,175.82403
"34","2019_Q2",19.8315873015873,"Down",44023000,-5812000,-5812000,38211000,-27079000,-14027000,-2053000,-10999000,11132000,50999.9999999995,50999.9999999995,11183000,8215000,-1811000,6404000,6404000,-60000,6344000,6344000,9387000,9387000,5583000,5583000,2578000,7519000,3603000,25067000,187502000,136953000,82222000,324455000,349522000,14297000,2357000,11940000,14898000,29195000,138197000,23040000,21473000,1567000,161237000,190432000,63954000,95179000,159133000,-43000.0000000002,159090000,349522000,6404000,6404000,2053000,-176000,3171000,11452000,-6050000,-19518000,373000,-355000,-355000,0,-273000.000000002,-8339000,-8339000,-8339000,13185000,153095000,12117000,0.86798,0.25287,0.14411,0.03988,0.01815,1.90999,0.85861,1.19701,0.43801,0.65315,0.65315,4.53238,16.38351,1.2475,0.01979,0.03615,10.89936,12.90945
"35","2019_Q3",16.78875,"Down",44826000,-6192000,-6192000,38634000,-27468000,-14341000,-2200000,-10927000,11166000,-5091000,-5091000,6075000,8673000,-1930000,6743000,6743000,-8000,6735000,6735000,8255000,8255000,5579000,5579000,2597000,5428000,2097000,21859000,191966000,137048000,5336000,329014000,350873000,13543000,3632000,9911000,10447000,23990000,139371000,23576000,21970000,1606000,162947000,186937000,62348000,101623000,163971000,-35000,163936000,350873000,6743000,6743000,2200000,6098000,-2656000,12385000,-7852000,-8236000,-3384000,-1606000,-1606000,0,-5281000,-1132000,-1132000,-1132000,13366000,149818000,4788000,0.86187,0.2491,0.15025,0.04108,0.01919,0.71091,0.91117,1.1403,0.42699,0.69584,0.69584,4.63126,16.9409,0.49468,0.02083,0.01419,10.59128,12.67804
"36","2019_Q4",18.9946875,"Up",47027000,-6701000,-6701000,40326000,-30352000,-14895000,-2465000,-12992000,9974000,-2451000,-2451000,7523000,7485000,-1806000,5679000,5679000,-41000,5638000,5638000,10956000,10956000,5001000,5001000,2502000,4138000,896000,22597000,191493000,136788000,5232000.00000001,328281000,350878000,11661000,2544000,9117000,16374000,28035000,130205000,23732000,22076000,1656000,153937000,181972000,61945000,106976000,168921000,-15000,168906000,350878000,5679000,5679000,2465000,2693000,-1154000,9683000,-2999000,-2960000,-3313000,-403000,-403000,-21000,-4022000,2701000,2701000,2701000,12439000,146579000,10092000,0.85751,0.21209,0.11989,0.03338,0.01607,1.79,0.80603,1.07736,0.41775,0.58601,0.58601,4.88795,17.55753,1.04896,0.01746,0.02975,10.90305,13.59765
"37","2020_Q1",17.5754838709677,"Down",45183000,-6232000,-6232000,38951000,-36522000,-16633000,-2354000,-17535000,2429000,-2409000,-2409000,20000,-184000,1803000,1619000,1619000,-42000,1577000,1577000,14097000,14097000,7408000,7408000,2598000,11787000,5446000,35890000,183956000,134910000,5329000,318866000,354756000,18454000,3810000,14644000,15754000,34208000,127774000,23354000,21658000,1696000,151128000,185336000,61408000,108168000,169576000,-156000,169420000,354756000,1619000,1619000,2354000,-4062000,3743000,3654000,-3807000,3567000,-3089000,-537000,-537000,-69000,-4080000,3141000,3141000,3141000,4783000,143528000,2916000,0.86207,0.05376,0.0349,0.00931,0.00445,1.84908,1.04917,1.09394,0.40458,0.16401,0.16401,4.69922,17.63661,0.30328,0.00583,0.00867,27.06063,53.28571
"38","2020_Q2",12.092380952381,"Down",48394000,-6776000,-6776000,41618000,-31958000,-16531000,-2204000,-13223000,9660000,-2387000,-2387000,7273000,7227000,-1593000,5634000,5634000,-11555.0798768539,5634000,5634000,13159000,13159000,3131000,3131000,2739000,11870000,4150000,30899000,183657000,161617000,32192000,345274000,376173000,16961000,3202000,13759000,14898000,33380000,126928000,48660000,21508000,27152000,175588000,208968000,54967000,112404000,167371000,-166000,167205000,376173000,5634000,5634000,2204000,261999.999999999,2173000,10273000,-4007000,-2718000,-1763000,-6441000,-6441000,-9999.99999999999,-8493000,-938000,-938000,-938000,11864000,141826000,11623000,0.85998,0.19961,0.11642,0.0337,0.01498,2.06301,0.92567,1.24977,0.37702,0.60438,0.60438,5.19138,17.95441,1.24684,0.01653,0.03249,10.84516,13.31957
"39","2020_Q3",15.71296875,"Up",40426000,-5782000,-5782000,34644000,-37093000,-14450000,-2257000,-20386000,-2449000,-2374000,-2374000,-4823000,-4911000,1418000,-3493000,-3493000,41000,-3452000,-3452000,9825000,9825000,3559000,3559000,2735000,10648000,2805000,26767000,182234000,152895000,31535000,335129000,361896000,11476000,2805000,8671000,14771000,27799000,125669000,47152000,20503000,26649000,172821000,200620000,52920000,108584000,161504000,-228000,161276000,361896000,-3493000,-3493000,2257000,7812000,-4868000,1708000,-1316000,-1152000,-1454000,-2047000,-2047000,-21000,-3890000,-3334000,-3334000,-3334000,-192000,140440000,-7794000,0.85697,-0.06058,-0.08539,-0.0214,-0.00954,2.25782,0.96288,1.24395,0.38807,-0.37416,-0.37416,4.38175,17.50531,-0.84479,-0.00884,-0.02234,-680.28646,-53.33401
"40","2020_Q4",27.40125,"Up",14721000,-2390000,-2390000,12331000,-16988000,-8908000,-2235000,-5845000,-4657000,-2379000,-2379000,-7036000,-7005000,1437000,-5568000,-5568000,94000,-5474000,-5474000,14795000,14795000,5529000,5529000,2627000,5399000,1415000,28350000,181960000,150064000,102955000,332024000,360374000,14241000,3955000,10286000,17249000,33076000,125487000,46376000,20141000,26235000,171863000,204939000,52920000,102837000,155757000,-322000,155435000,360374000,-5568000,-5568000,2235000,855000,2644000,166000,-242000,2846000,2231000,0,0,-3.63797880709171e-12,1958000,4970000,4970000,4970000,-2422000,142736000,-1457000,0.83765,-0.31635,-0.37185,-0.03522,-0.01519,0.26617,0.85712,1.31849,0.39608,-0.59996,-0.59996,1.61344,17.07113,-0.15969,-0.0151,-0.00423000000000001,-52.82453,-27.47284
"41","2021_Q1",53.6008196721311,"Up",28786000,-4487000,-3461033.97175626,24299000,-24107000,-11803000,-2140000,-10164000,192000,-2411000,-2347000,-2219000,-2116000,-769000,-2885000,-2885000,92000,-2793000,-2793000,15605000,15605000,6767000,6767000,2372000,6689000,6488000,31433000,181383000,148117000,29354000,329500000,360933000,19372000,4799000,14573000,16304000,37304000,125131000,46191000,20390000,25801000,171322000,208626000,51924000,100797000,152721000,-414000,152307000,360933000,-2885000,3083566.41456433,2140000,2799000,1431000,3485000,-171000,30000,-1343000,-996000,-996000,0,-2705000,810000,810000,810000,2332000,141435000,4361000,0.84413,0.00667,-0.09703,-0.01834,-0.00774,-1.5614,0.84262,1.36977,0.39186,-0.30612,-0.30612,3.15498,16.73838,0.47797,-0.00714,0.01283,53.95798,655.36458
"42","2021_Q2",69.8355555555556,"Up",38398000,-6204000,-6204000,32194000,-25661000,-12152000,-2023000,-11486000,6533000,-2374000,-2374000,4159000,9125000,384000,9509000,9509000,134000,9643000,9643000,16967000,16967000,5334000,5334000,2394000,5559000,5348000,30254000,180548000,147807000,28972000,328355000,358609000,16701000,3601000,13100000,15685000,34044000,119136000,45767000,20390000,25377000,164903000,198947000,50130000,110080000,160210000,-548000,159662000,358609000,9509000,9509000,2023000,-4763000,-495000,6274000,-1289000,-1013000,-1745000,-1794000,-1794000,-80564.6526694555,-3899000,1362000,1362000,1362000,8556000,134821000,6388000,0.83843,0.17014,0.25113,0.0604,0.02689,0.66245,0.88867,1.24605,0.37596,1.06919,1.06919,4.25746,17.76361,0.70828,0.0294,0.01877,13.77443,18.0398
"43","2021_Q3",65.111875,"Down",44059000,-6802000,-6802000,37257000,-27366000,-12618000,-2117000,-12631000,9891000,-2302000,-2302000,7589000,7970000,-1938000,6032000,6032000,59000,6091000,6091000,20156000,20156000,3630000,3630000,2403000,12616000,5020000,38805000,175153000,147152000,28396000,322305000,361110000,16342000,4021000,12321000,16380000,34414000,116032000,45330000,20390000,24940000,161362000,195776000,50130000,115811000,165941000,-607000,165334000,361110000,6032000,6032000,2117000,1616000,1207000,10972000,-5429000,-5342000,-2056000,0,0,-25000,-2441000,3189000,3189000,3189000,12008000,132412000,9724000,0.84562,0.22449,0.13825,0.03684,0.01687,1.59645,1.12759,1.18412,0.36668,0.6767,0.6767,4.8949,18.43584,1.08032,0.0188,0.02834,9.34843,11.34931
"44","2021_Q4",69.3359375,"Up",57860000,-8872000,-8872000,48988000,-30481000,-14697000,-2057000,-13727000,18507000,-2209000,-2209000,16298000,16307000,-3986000,12321000,12321000,-19000,12302000,12302000,29068000,29068000,2458000,2458000,2479000,9166000,4062000,43171000,178087000,146681000,28222000,324768000,367939000,16647000,4909000,11738000,13695000,32062000,113908000,44674000,19960000,24714000,158582000,190644000,50130000,127753000,177883000,-588000,177295000,367939000,12321000,12321000,2057000,-350999.999999999,944000,14971000,-4070000,-831000,-4868000,0,0,0,-5228000,8912000,8912000,8912000,20564000,127603000,21424000,0.84666,0.31986,0.21262,0.06939,0.03343,1.74151,1.34648,1.07529,0.3468,1.36537,1.36537,6.42175,19.74284,2.3778,0.03622,0.06129,4.79163,5.3242
"45","2022_Q1",69.3906451612903,"Up",54941000,-8173000,-14955012.0118921,46768000,-43151000,-15141000,-2041000,-25969000,3617000,2476000,-2854000,6093000,737000,1551000,2288000,2288000,12000,2300000,2300000,35686000,35686000,7570000,7570000,2659000,7035000,1928000,52950000,175952000,135717000,28514000,311669000,364619000,14811000,4408000,10403000,6434000,23025000,118734000,43637000,19137000,24500000,162371000,185396000,50130000,129693000,179823000,-6e+05,179223000,364619000,2288000,44086643.0886045,2041000,10552000,-5107000,9774000,-2723000,372000,-2019000,0,0,-1149000,-3528000,6618000,6618000,6618000,5658000,125168000,-3723000,0.85124,0.06583,0.04186,0.01283,0.00631,-1.6187,2.29967,1.03444,0.34328,0.25556,0.25556,6.10456,19.98033,-0.41367,0.00764,-0.0107,15.81513,24.73929
"46","2022_Q2",57.3258064516129,"Down",61836000,-8891000,-26809536.0356763,52945000,-37185000,-18486000,-2194000,-16505000,15760000,-2498000,-2498000,13262000,13497000,-2933000,10564000,10564000,11000,10575000,10575000,17954000,17954000,6012000,6012000,3530000,11583000,8245000,39079000,203878000,222721000,42923000,426599000,465678000,24220000,5807000,18413000,9003000,35511000,152847000,57551000,22040000,35511000,210398000,245909000,80492000,139888000,220380000,-611000,219769000,465678000,10564000,114161179.265813,2194000,92000.0000000019,3414000,16264000,-9850000,-48130000,14514000,-630843.387506906,-630843.387506906,-1886411.56370105,14134000,-17732000,-17732000,-17732000,17954000,161850000,14451000,0.85622,0.25487,0.17102,0.04812,0.02271,1.36652,1.10048,1.11894,0.34756,1.175,1.175,6.87067,24.48667,1.60567,0.02494,0.03291,8.0147,9.13046
"47","2022_Q3",62.281875,"Up",63692000,-8760000,-46194072.0713526,54932000,-37700000,-18437000,-2877000,-16386000,17232000,-2752000,-2752000,14480000,14329000,-3356000,10973000,10973000,-21000,10952000,10952000,38067000,38067000,6262000,6262000,3361000,13298000,6880000,60988000,203434000,223130000,43362000,426564000,487552000,21831000,6255000,15576000,11177000,35314000,166903000,57912000,22040000,35872000,224815000,260129000,77647000,150366000,228013000,-590000,227423000,487552000,10973000,235376858.531627,2877000,224000,-2477000,11597000,-4140000,-1685000,13938000,-2845000,-2845000,-418000,10201000,20113000,20113000,20113000,20109000,178080000,16848000,0.86246,0.27055,0.17195,0.04816,0.02246,1.53835,1.72702,1.14381,0.36525,1.16418,1.16418,6.77033,24.23731,1.79091,0.02466,0.03636,6.9627,8.12517
