"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2020_Q2",16.3363492063492,"Up",45582000,-23438000,22144000,-9774000,12370000,-11000,-17000,6000,12359000,12359000,-3725000,8634000,8634000,8634000,8634000,24989000,24989000,25074000,25074000,37470000,3229000,3229000,90762000,9847000,7115000,16962000,107724000,11852000,6119000,5733000,12916000,1268000,1268000,1268000,14184000,75399000,-5023000,26215000,-3051000,93540000,93540000,107724000,35330000,1965000,4846000,-1475000,40666000,-1662000,-1662000,-116000,-1277000,37727000,37727000,263000,37990000,14335000,139000,14923000,0.48581,0.27138,0.18942,0.0923,0.08015,1.7284,7.0271,0.15164,0.00129,1.08298,1.07323,5.71746,11.73294,1.87183,0.09093,0.15717,-1.73352,-2.00889
"36","2020_Q3",21.85171875,"Up",35021000,-17681000,17340000,-7606000,9734000,29000,-2000,31000,9763000,9763000,-424000,9339000,9339000,9339000,9339000,36165000,36165000,20243000,20243000,43087000,4214000,4214000,103709000,9923000,7990000,17913000,121622000,16233000,10495000,5738000,17120000,1145000,1145000,1145000,18265000,75579000,-5023000,35554000,-2753000,103357000,103357000,121622000,-17357000,-1031000,-2857000,2910000,-18335000,922000,922000,61000,61000,-17352000,-17352000,-299000,-17651000,8703000,-1.16415321826935e-10,12959000,0.49513,0.27795,0.26667,0.09036,0.07679,1.38762,6.05777,0.17672,1.30104260698261e-18,1.17084,1.15585,4.39062,12.95799,1.62468,0.08937,0.12401,-4.15546,-3.71533
"37","2020_Q4",22.55703125,"Up",41451000,-19763000,21688000,-9195000,12493000,8000,-4000,12000,12501000,12501000,-3237000,9264000,9264000,9264000,9264000,40186000,40186000,26750000,26750000,44978000,4043000,2805000,115957000,10023000,6272000,16295000,132252000,16380000,8066000,8314000,17305000,1326000,1326000,1326000,18631000,76363000,-5023000,44818000,-2537000,113621000,113621000,132252000,9264000,491000,3037000,-7097000,5695000,-585000,-585000,-24000,-24000,5086000,5086000,155000,5241000,12984000,0,8539000,0.52322,0.30139,0.22349,0.08153,0.07005,0.92174,6.70078,0.16397,0,1.16091,1.12884,5.1944,14.23832,1.07006,0.08059,0.07429,-3.09504,-3.21668
"38","2021_Q1",31.003606557377,"Up",36946000,-18835000,18111000,-8822000,9289000,1000,0,1000,9290000,9290000,-1197000,8093000,8093000,8093000,8093000,52596000,52596000,21702000,21702000,43566000,5477000,4134000,123341000,9819000,6390000,16209000,139550000,15418000,7397000,6487000,16186000,1613000,1613000,1613000,17799000,76866000,-5023000,51520000,-1612000,121751000,121751000,139550000,7869000,540000,-88000,4319000,12640000,-337000,-337000,-37000,-37000,12266000,12266000,144000,12410000,9829000,0,15008000,0.4902,0.25142,0.21905,0.06647,0.05799,1.85444,7.62023,0.14619,0,1.0139,0.98294,4.62864,15.2531,1.88022,0.0656,0.12166,-5.3511,-5.66218
"39","2021_Q2",25.7653968253968,"Down",34092000,-19313000,14779000,-8148000,6631000,-14000,-1000,-13000,6617000,6617000,-1615000,5002000,5002000,5002000,5002000,60322000,60322000,19184000,19184000,43881000,5764000,3462000,129151000,9437000,6461000,15898000,145049000,15501000,7267000,5919000,16457000,1212000,1212000,1212000,17669000,76742000,-5023000,57328000,-1667000,127380000,127380000,145049000,5002000,499000,6e+05,2218000,8319000,-135000,-135000,-461000,-461000,7723000,7723000,3000,7726000,7130000,0,10828000,0.4335,0.1945,0.14672,0.03927,0.03448,2.16473,7.84779,0.13871,0,0.62609,0.61421,4.26725,15.94399,1.35533,0.0389,0.0842,-8.46031,-9.09697
"40","2021_Q3",23.26625,"Down",27466000,-14609000,12857000,-8791000,4066000,-5000,-4000,-1000,4061000,4061000,-1093000,2968000,2968000,2968000,2968000,59839000,59839000,15122000,15122000,46973000,6099000,3520000,128033000,9201000,5759000,14960000,142993000,15503000,10048000,4297000,16572000,1215000,1215000,1215000,17787000,77013000,-10017000,59886000,-1676000,125206000,125206000,142993000,2968000,541000,596000,688000,4793000,-317000,-317000,-1000,-4995000,-519000,-519000,36000,-483000,4607000,-2.27373675443232e-13,6071000,0.46811,0.14804,0.10806,0.0237,0.02076,2.04549,7.72586,0.14206,-3.3881317890172e-21,0.37386,0.36655,3.45967,15.7712,0.76472,0.02348,0.04802,-12.98871,-14.71692
"41","2021_Q4",20.44171875,"Down",30032000,-17262000,12770000,-8544000,4226000,-3000,-2000,-1000,4223000,4223000,-1327000,2896000,2896000,2896000,2896000,55533000,55533000,16879000,16879000,47042000,5435000,3113000,124889000,8878000,8602000,20263000,145152000,12561000,6426000,5222000,13872000,3849000,3849000,3849000,17721000,77270000,-10910000,62678000,-1607000,127431000,127431000,145152000,2896000,430000,608000,-4455000,-521000,-129000,-2912000,-160000,-1053000,-4486000,-4486000,180000,-4306000,4656000,0,1399000,0.42521,0.14072,0.09643,0.02273,0.01995,0.48308,9.00296,0.13906,0,0.36363,0.35663,3.77094,16.00076,0.17566,0.02206,0.01066,-11.92719,-13.1408
"42","2022_Q1",19.933064516129,"Down",26796000,-16289000,10507000,-9383000,1124000,128000,-8000,136000,1252000,1252000,-746000,506000,506000,506000,506000,52719000,52719000,14771000,14771000,47711000,5445000,5445000,120646000,8714000,8729000,20147000,140793000,10773000,5855000,4597000,12015000,3678000,3678000,3678000,15693000,77912000,-14206000,62892000,-1498000,125100000,125100000,140793000,506000,398000,606000,-1316000,194000,-220000,-220000,0,-3296000,-3322000,-3322000,508000,-2814000,1522000,0,732000,0.39211,0.04195,0.01888,0.00404,0.00359,1.44664,10.04128,0.12544,2.11758236813575e-22,0.06343,0.06215,3.35887,15.68124,0.09176,0.00393,0.00568,-34.63798,-46.90302
"43","2022_Q2",16.963064516129,"Down",27278000,-16222000,11056000,-9607000,1449000,-35000,-9000,-26000,1414000,1414000,-285000,1129000,1129000,1129000,1129000,50854000,50854000,13993000,13993000,49614000,5995000,4342000,120456000,8726000,8890000,22184000,142640000,13183000,8165000,4641000,14403000,3445000,3445000,3445000,17848000,77641000,-14612000,64021000,-2258000,124792000,124792000,142640000,1129000,425000,7000,350000,1911000,-465000,-2356000,-678000,-1084000,-1529000,-1529000,-336000,-1865000,1874000,0,2044000,0.40531,0.05312,0.04139,0.00905,0.00792,1.81045,8.36326,0.14302,0,0.14824,0.14478,3.58169,16.38558,0.26838,0.0088,0.01594,-27.13661,-35.09593
"44","2022_Q3",14.24171875,"Down",28184000,-16557000,11627000,-9832000,1795000,-55000,-13000,-42000,1740000,1740000,-2610000,-870000,-870000,-870000,-870000,49060793.2946022,49060793.2946022,20922898.0451319,20922898.0451319,53048554.053224,6791903.74015206,-6995289.87361336,129824149.13311,8908395.06778597,12522091.395541,35341398.1578185,165165547.290929,22664850.4274294,12299890.0105972,8085017.26569079,24326577.7162627,6474856.37286641,6474856.37286641,6474844.16935043,30801421.8856131,75043620.5989278,-5867591.69108566,70040227.2780772,-4852130.7806037,134364125.405316,134364125.405316,165165547.290929,-870000,354000,2754000,-8723000,-6485000,16000.0000000001,16000,-127000,-2847000,-9316000,-9316000,-327000,-9643000,2149000,0,-3948000,0.41254,0.06369,-0.03087,0.0837847200905258,0.073229675250265,4.53793,1.50009551461333,0.235960783317859,-8.61729572718403e-07,-0.11342,-0.11342,3.67427,19.8712909438372,-0.51469,0.0807716850720857,0.0201485580962069,69.8687523385738,111.016684490256
