"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital"
"30","2017_Q3",27.2953968253968,"Down",1072375000,-924136000,148239000,-94604000,-94604000,53635000,-1489000,-1510000,-1839000,329000,52146000,264000,52410000,-17835000,34575000,34575000,-933000,33642000,33642000,398529000,398529000,438435000,22875000,22875000,894865000,315956000,735474000,-419518000,271218000,2340000,213597000,37547000,15753000,587174000,1482039000,238397000,160250000,25147000,48063000,48063000,311607000,204752000,49319000,20360000,28959000,254071000,565678000,219514000,684808000,-2590000,901732000,14629000,916361000,1482039000,34575000,13114000,610000,37652000,85951000,-17332000,517000,-29288000,-48033000,-9666000,185000,-270000,-67176000,-10513000,-10513000,-10199000,66749000,229899000,104904000,0.13823,0.05002,0.03137,0.03671,0.0227,3.11825,2.87177,0.61731,0.15512,0.55727,0.55614,17.76367,14.937,1.73771,4,0.03584,0.08774
"31","2017_Q4",34.8109523809524,"Up",1056586000,-911898000,144688000,-91369000,-91369000,53319000,-2510000,-1352000,-1482000,130000,50809000,109000,50918000,-16250000,34668000,34668000,-975000,33693000,33693000,419183000,419183000,412486000,24106000,23343000,888600000,325109000,754175000,-429066000,273217000,7580000,212029000,36093000,15616000,598326000,1486926000,259959000,171774000,28814000,50179000,50179000,338952000,145884000,52010000,22806000,29204000,197894000,536846000,221169000,715497000,-871000,935795000,14285000,950080000,1486926000,34668000,13934000,395000,33142000,82139000,-21558000,328000,-21488000,-59081000,-2897000,145000,-1313000,-63291000,-2640000,-2640000,-2581000,67253000,174698000,95087000,0.13694,0.05046,0.03189,0.03546,0.02266,2.82216,2.62161,0.56505,0.11749,0.55968,0.55865,17.55097,15.54451,1.57949,6,0.02863,0.0808
"32","2018_Q1",33.6862295081967,"Down",966091000,-836932000,129159000,-89264000,-89264000,39895000,-71000,-1203000,-1393000,190000,39824000,451000,40275000,-7112000,33163000,33163000,-2048000,31115000,31115000,327751000,327751000,460308000,35820000,28592000,863487000,328629000,763101000,-434472000,272561000,7415000,212644000,34910000,15727000,601190000,1464677000,237662000,140106000,27180000,38404000,38404000,303246000,144674000,42734000,14079000,28655000,187408000,490654000,223120000,736212000,144000,959476000,14547000,974023000,1464677000,33163000,13837000,-7489000,-278000,39233000,-13129000,-1940000,-16284000,-5469000.00000001,183000.000000001,184000,-791000,-16477000,6472000,6472000,5867000,53732000,171854000,47437000,0.13369,0.0413,0.03221,0.03194,0.02124,1.52457,2.84748,0.50374,0.11733,0.51716,0.51693,16.05736,15.94741,0.78845,6,0.03493,0.03991
"33","2018_Q2",33.328125,"Down",993857000,-862968000,130889000,-93206000,-93206000,37683000,-1061000,-1061000,-1778000,717000,36622000,6534000,43156000,-9574000,33582000,33582000,-749000,32833000,32833000,430251000,430251000,521706000,55729000,55729000,1043713000,313571000,754603000,-441032000,274180000,7407000,212596000,34543000,17361000,587751000,1631464000,240045000,176469000,30451000,42633000,42633000,313129000,261327000,40086000,13894000,26192000,301413000,614542000,234473000,768223000,-1140000,1001556000,15366000,1016922000,1631464000,33582000,13940000,-5959000,-125735000,-84172000,11888000,-124000,1304000,113057000,-642000,206000,-845000,111570000,28702000,28702000,28935000,51623000,291778000,-52650000,0.1317,0.03792,0.03304,0.03229,0.02012,-1.60357,3.33317,0.60432,0.17884,0.54469,0.54393,16.48789,16.61561,-0.87345,5,0.02434,-0.03904
"34","2018_Q3",35.1957142857143,"Up",1294440000,-1128751000,165689000,-104594000,-104594000,61095000,-2066000,-2066000,-2247000,181000,59029000,-477000,58552000,-13420000,45132000,45132000,-1087000,44045000,44045000,489145000,489145000,531874000,49618000,47222000,1112631000,340698000,791348000,-450650000,283290000,7384000,219595000,36045000,18031000,623988000,1736619000,286179000,197408000,34150000,50038000,50038000,370367000,276274000,42255000,13856000,28399000,318529000,688896000,236381000,800237000,-4077000,1032541000,15182000,1047723000,1736619000,45132000,14906000,1261000,-13199000,48100000,-29477000,-1228000,-64373000,15341000,-677000,294000,-304000,3270000.00000001,-13003000,-13003000,-13492000,76001000,310424000,46745000,0.128,0.0472,0.03403,0.04204,0.02536,1.0613,3.00413,0.65752,0.17875,0.72821,0.72731,21.40136,17.07131,0.77285,6,0.03937,0.03338
"35","2018_Q4",27.4761904761905,"Down",1212702000,-1054029000,158673000,-102705000,-102705000,55968000,-1735000,-1735000,-1946000,211000,54233000,1022000,55255000,-13189000,42066000,42066000,-848000,41218000,41218000,454935000,454935000,510057000,39723000,30599000,1046851000,346309000,807023000,-460714000,284011000,7373000,218631000,35662000,20169000,630320000,1677171000,275698000,175912000,31264000,51316000,51316000,358278000,186539000,40630000,13701000,26929000,227169000,585447000,238327000,841431000,-3638000,1076120000,15604000,1091724000,1677171000,42066000,15918000,-202000,38391000,96173000,-19340000,732000,-22546000,-90125000,232000,256000,-1145000,-91038000,-17411000,-17411000,-16908000,71886000,217803000,104126000,0.13084,0.04615,0.03399,0.03775,0.02458,2.52623,2.9219,0.53626,0.12986,0.68077,0.67974,20.02943,17.77359,1.71978,6,0.03053,0.07712
"36","2019_Q1",28.8388524590164,"Up",988181000,-850538000,137643000,-91730000,-91730000,45913000,-2660000,-2660000,-2922000,262000,43253000,-2363000,40890000,-9258000,31632000,31632000,-1130000,30502000,30502000,343450000,343450000,556220000,53537000,39407000,995278000,354710000,814645000,-459935000,297560000,7360000,224117000,41486000,21929000,652270000,1647548000,241010000,136901000,27515000,41645000,41645000,310170000,202130000,46564000,15687000,30877000,248694000,558864000,239424000,839917000,-5938000,1073403000,15281000,1088684000,1647548000,31632000,16578000,4615000,3759000,56584000,-20560000,554000,-35617000,21528000,-22516000,270000,-7439000,-19409000,1558000,1558000,847000,62491000,229645000,54948000,0.13929,0.04646,0.03087,0.02802,0.01851,1.80146,3.20881,0.51334,0.13939,0.50755,0.50691,16.44337,17.86147,0.91434,6,0.03039,0.04026
"37","2019_Q2",33.3712698412698,"Up",1015125000,-860858000,154267000,-105821000,-105317000,48446000,-2215000,-2215000,-2460000,245000,46231000,1348000,47579000,-11577000,36002000,36002000,-462000,35540000,35540000,444111000,444111000,580163000,45890000,41261000,1103472000,356166000,828837000,-472671000,361760000,7364000,224247000,39686000,88099000,717926000,1821398000,241534000,170667000,18917000,60118000,60118000,320569000,266428000,96035000,14622000,81413000,362463000,683032000,252231000,875457000,-4789000,1122899000,15467000,1138366000,1821398000,36002000,16327000,-925000,-107233000,-55829000,-15642000,2e+05,-15551000,61299000,261000,261000,-491000,61069000,-10311000,-10311000,-10063000,64773000,285345000,-46525000,0.15197,0.04772,0.03501,0.03122,0.01951,-1.30909,3.44223,0.60001,0.15666,0.59353,0.59279,16.95294,18.7528,-0.77698,5,0.02339,-0.03061
"38","2019_Q3",37.585625,"Up",1239818000,-1053092000,186726000,-112489000,-112890000,74237000,-1895000,-1895000,-2407000,512000,72342000,170000,72512000,-17367000,55145000,55145000,-630000,54515000,54515000,483263000,483263000,528680000,47892000,47892000,1097108000,368572000,851565000,-482993000,384979000,7359000,225269000,41176000,108834000,753551000,1850659000,290797000,189649000,25145000,63664000,63664000,379606000,187471000,100349000,14773000,85576000,287820000,667426000,254150000,917704000,-4479000,1167375000,15858000,1183233000,1850659000,55145000,15819000,758999.999999999,55054000,126777000,-25858000,-210000,-32185000,-78953000,281000.000000004,281000,-380999.999999999,-91324000,3268000,3268000,3386000,90056000,212616000,136619000,0.15061,0.05988,0.04397,0.04607,0.02946,2.50608,2.89012,0.56407,0.11489,0.91042,0.90928,20.70539,19.49557,2.28158,7,0.04464,0.09131
"39","2019_Q4",45.60640625,"Up",1163026000,-975756000,187270000,-116803000,-115958000,70467000,-1583000,-1583000,-1900000,317000,68884000,93000,68977000,-16396000,52581000,52581000,-722000,51859000,51859000,474648000,474648000,479356000,56574000,55024000,1092104000,385007000,880274000,-495267000,403514000,7339000,232411000,46877000,114603000,788521000,1880625000,308267000,180767000,152000,77029000,77029000,385448000,162853000,103221000,14897000,88324000,266074000,651522000,251210000,969564000,-5315000,1215459000,13644000,1229103000,1880625000,52581000,17196000,2123000,55232000,127132000,-23658000,209000,-58249000,-21419000,270000,270000,-3820000,-24968000,43915000,43915000,43706000,87663000,163005000,135633000,0.16102,0.06059,0.04459,0.04219,0.02758,2.61542,2.83334,0.53008,0.08668,0.86332,0.86301,19.3615,20.23438,2.25795,7,0.03468,0.0907
"40","2020_Q1",44.5975806451613,"Down",998040000,-840785000,157255000,-103934000,-104882000,53321000,1461000,1461000,-1933000,3394000,54782000,-3176000,51606000,-12930000,38676000,38676000,-940000,37736000,37736000,364027000,364027000,486874000,55308000,42036000,1093072000,387174000,884963000,-497789000,409231000,7354000,229536000,48313000,121265000,796405000,1889477000,284371000,142479000,2816000,66855000,66855000,354042000,160867000,116835000,22880000,93955000,277702000,631744000,253582000,995022000,-4889000,1243715000,14018000,1257733000,1889477000,38676000,17477000,8268000,86790000,151211000,-17998000,-16434000,-36052000,593000.000000007,281000,281000,-640000,-12045000,103114000,103114000,103439000,70798000,163683000,152520000,0.15756,0.05343,0.03781,0.03,0.01997,4.04176,3.08741,0.50229,0.08663,0.62667,0.62635,16.57406,20.65389,2.53284,6,0.03251,0.09915
"41","2020_Q2",41.4566666666667,"Down",1032062000,-864826000,167236000,-109339000,-109339000,57897000,-4740000,-4740000,-1908000,-2832000,53157000,735000,53892000,-13322000,40570000,40570000,-411000,40159000,40159000,460821000,460821000,510681000,39500000,36876000,1060909000,397575000,906171000,-508596000,424498000,7288000,246459000,46232000,122374000,822073000,1882982000,254543000,162039000,2772000,71940000,71940000,329255000,160550000,120895000,22799000,98096000,281445000,610700000,272826000,998996000,-11110000,1260712000,11570000,1272282000,1882982000,40570000,17288000,4618000,-108637000,-46161000,-26877000,-54000,-48210000,261000,-28893000,319000,-3361000,-39723000,-134094000,-134094000,-135813000,75185000,163322000,-47007000,0.16204,0.0561,0.03891,0.03156,0.02133,-1.17052,3.22215,0.48,0.08674,0.66696,0.66676,17.14047,20.93789,-0.78069,4,0.03077,-0.0302
"42","2020_Q3",55.0575,"Up",1242001000,-1037070000,204931000,-113782000,-113782000,91149000,993000,993000,-1897000,2890000,92142000,1209000,93351000,-23657000,69694000,69694000,-3231000,66463000,66463000,522930000,522930000,459424000,34510000,34510000,1236605000,401576000,922427000,-520851000,420427000,7350000,247482000,45131000,118406000,822003000,2058608000,353737000,199338000,2786000,78689000,78689000,435212000,161057000,123014000,22685000,100329000,284071000,719283000,274978000,1057817000,-8396000,1324399000,14926000,1339325000,2058608000,69694000,17171000,-1823000,108329000,193371000,-19209000,372000.000000002,-18002000,0,378000.000000007,378000,16999.9999999995,-7248999.99999999,168120000,168120000,168417000,108320000,163843000,221097000,0.165,0.07339,0.05351,0.04962,0.03229,3.32662,2.84139,0.53705,0.07959,1.10382,1.10349,20.62713,21.9956,3.67198,6,0.04557,0.13596
"43","2020_Q4",53.68859375,"Down",1486227000,-1245153000,241074000,-134649000,-134649000,106425000,-921000,-921000,-2486000,1565000,105504000,176000,105680000,-26819000,78861000,78861000,-1657000,77204000,77204000,583079000,583079000,528734000,33612000,33612000,1512109000,405995000,935639000,-529644000,432516000,7361000,245925000,58205000,118955000,838511000,2350620000,234135000,231111000,2760000,256709000,256709000,493604000,311267000,131945000,22478000,109467000,443212000,936816000,277189000,1127375000,-6974000,1397590000,16214000,1413804000,2350620000,78861000,18630000,-276000,-59342000,37873000,-18350000,-4000,-34715000,150103000,345000,345000,-652000,142150000,145308000,145308000,145608000,125055000,314027000,74182000,0.16221,0.07161,0.05195,0.05461,0.03284,0.96086,3.06341,0.66262,0.13359,1.28826,1.28785,24.7998,23.32076,1.23783,7,0.04562,0.03989
"44","2021_Q1",61.385737704918,"Up",1393708000,-1206653000,187055000,-86826000,-86826000,100229000,-175000,-175000,-3020000,2845000,100054000,-11994000,88060000,-23303000,64757000,64757000,-1805000,62952000,62952000,470504000,470504000,567294000,39749000,33913000,1538362000,417162000,974497000,-557335000,449367000,7401000,252193000,72252000,115108000,866529000,2404891000,211518000,211518000,100000.000000002,252131000,252131000,463749000,311607000,146383000,25266000,121117000,457990000,921739000,279430000,1182680000,-1794000,1460316000,22836000,1483152000,2404891000,64757000,19591000,10117000,56929000,151394000,-21824000,-268000,-53791000,2.98023223876953e-08,353000,353000,-2661000,-9957000,87646000,87646000,89730000,119820000,311707000,178228000,0.13421,0.07192,0.04517,0.04244,0.02618,2.83117,3.31723,0.62147,0.12961,1.05192,1.05151,23.28863,24.40164,2.97816,7,0.03637,0.09181
"45","2021_Q2",77.595873015873,"Up",1825004000,-1538450000,286554000,-150098000,-150098000,136456000,-1485000,-855000,-3151000,2296000,134971000,1031000,136002000,-31751000,104251000,104251000,-940000,103311000,103311000,808105000,808105000,823414000,29701000,29701000,1737058000,488367000,1060893000,-572526000,560663000,7401000,314189000,93812000,142971000,1049030000,2786088000,324963000,299398000,47249000,238819000,238819000,611031000,426310000,162204000,34940000,127264000,588514000,1199545000,292949000,1276722000,-3464000,1566207000,20336000,1586543000,2786088000,104251000,22731000,1467000,-325109000,-196660000,-29594000,-414000,-296498000,114710000,363000,363000,-3872000,101927000,-391231000,-391231000,-391580000,159187000,473559000,-163765000,0.15702,0.07477,0.05661,0.06512,0.03708,-1.58517,2.84283,0.75607,0.16997,1.72222,1.72142,30.42333,26.10911,-2.73001,4,0.05066,-0.07369
"46","2021_Q3",71.52328125,"Down",2700541000,-2279247000,421294000,-184539000,-184539000,236755000,-3045000,-2210000,-3051419.36678931,418903.9233735,233710000,179999.999999998,233890000,-58530000,175360000,175360000,-1978000,173382000,173382000,980571000,980571000,1026488000,39690000,37328000,2124862000,533187000,1120381000,-587194000,570234000,7401000,318108000,98601000,146124000,1103421000,3228283000,370672000,359484000,34326000,326319000,326319000,731317000,571856000,165547000,34983000,130564000,737403000,1468720000,297160000,1440833000,-1464000,1736529000,23034000,1759563000,3228283000,175360000,22804000,1556000,-118793000,80926999.9999999,-42761000,-294000,-217500000,145539000,573000,573000,-837000,135999000,-574000,-574000,-113000.00000006,259559000,606182000,156535000,0.156,0.08767,0.0642,0.09854,0.05371,0.902829999999999,2.90553,0.83471,0.18777,2.89033,2.88898,45.01877,28.94842,2.60948,6,0.07216,0.06184
"47","2021_Q4",82.9875,"Up",2093784000,-1766229000,327555000,-169467000,-169467000,158088000,-4750000,-3804000,-2921492.48905241,-1341528.10216867,153338000,10037000,163375000,-37628000,125747000,125747000,-4706000,121041000,121041000,783959000,783959000,900665000,68096000,51632000,1925080000,552911000,1156070000,-603159000,536256000,7380000,292318000,93984000,142574000,1089167000,3014247000,292933000,292933000,10905000,361832000,361832000,665670000,310119000,160984000,39198000,121786000,471103000,1136773000,301451000,1552593000,-3278000,1850766000,26708000,1877474000,3014247000,125747000,25575000,-5e+06,251174000,397496000,-11140000,-2770000,-14259000,-261618000,583000,583000,-1203000,-271519000,111718000,111718000,111314000,183663000,321024000,461325000,0.15644,0.0755,0.05781,0.06447,0.04016,3.81131,2.89194,0.60548,0.1065,2.01779,2.01685,34.90396,30.85278,7.69042,6,0.05523,0.19552
"48","2022_Q1",82.5327419354839,"Down",2016805000,-1645241000,371564000,-178149000,-178149000,193415000,-1938000,-447000,-2944069.36678931,-2130446.0766265,191477000,1592000,193069000,-46063000,147006000,147006000,-9100000,137906000,137906000,737805000,737805000,963320000,52656000,44388000,2076938000,589020000,1212113000,-623093000,579313000,7369000,315038000,109017000,147889000,1168333000,3245271000,319125000,319125000,59713000,397204000,397204000,776042000,277567000,175093000,60964000,114129000,452660000,1228702000,305897000,1678121000,-5405000,1978613000,37956000,2016569000,3245271000,147006000,27022000,6646000,50040000,230714000,-37698000,-1641000,-82930000,4746000,597000,597000,-4378000,-11413000,136371000,136371000,134994000,220437000,337280000,278842000,0.18423,0.0959,0.06838,0.06839,0.04249,2.02197,2.67632,0.6093,0.10393,2.19978,2.19299,32.1707,31.56149,4.4479,7,0.05943,0.11026
"49","2022_Q2",74.733064516129,"Down",2489313000,-2010950000,478363000,-220150000,-220150000,258213000,-4910000,-4395000,-3302000,-1093000,253303000,812000,254115000,-60984000,193131000,193131000,-3428000,189703000,189703000,1095362000,1095362000,1230351000,37456000,37456000,2472417000,600879000,1244070000,-643191000,600670000,7396000,317631000,120205000,151848000,1201549000,3673966000,480638000,425956000,104606000,317958000,317958000,903202000,379015000,173577000,61278000,112299000,552592000,1455794000,329278000,1851784000,-3170000,2177892000,40280000,2218172000,3673966000,193131000,26514000,8842000,-473518000,-245031000,-30865000,-2995000,-59736000,101313000,162000,663000,-2604000,86330000,-218437000,-218437000,-216711000,284727000,483621000,-158672000,0.19217,0.10373,0.07621,0.08552,0.05163,-0.83642,2.73739,0.6563,0.13163,3.02601,3.01667,39.70783,34.74025,-2.53103,4,0.07034,-0.05518
"50","2022_Q3",79.12359375,"Up",2900874000,-2397422000,503452000,-214538000,-214538000,288914000,-8566000,-7549000,-4178134.38868449,2625660.12771083,280348000,-3348000,2.77e+08,-69147000,207853000,207853000,-4735000,203118000,203118000,1046543000,1046543000,1106302000,53621000,36970000,2380012000,625164000,1286037000,-660873000,605647000,7350000,320532000,117869000,159896000,1230811000,3610823000,386833000,386833000,52422000,384738000,384738000,823993000,276315000,185447000,63389000,122058000,461762000,1285755000,336684000,1950922000,-7458000,2280148000,44920000,2325068000,3610823000,207853000,26260000,12358000,88957000,335428000,-38781000,166000,-59027000,-104173000,-89510000,794000,-2186000,-211343000,65058000.0000001,65058000.0000001,64288000,315174000,328737000,434497000,0.17355,0.0996,0.07002,0.08736,0.05625,2.13914,2.88839,0.553,0.09104,3.24,3.23,46.27277,36.37137,6.9308,6,0.07699,0.15303
