"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",109.029841269841,"Up",240455000,-175516000,64939000,-37178000,-37178000,27761000,-2875000,-1314000,-1561000,24886000,24886000,-8294000,16592000,16592000,16592000,16592000,69068000,69068000,203068000,203068000,159571000,6455000,5470000,438162000,73995000,196837000,-122842000,174412000,54739000,86364000,732000,32577000,248407000,686569000,97479000,59212000,2445000,35822000,276000,97755000,1.26e+08,16321000,6800000,7522000,142321000,240076000,104069000,-426000,372597000,-29747000,446493000,446493000,686569000,16592000,3962000,1942000,6964000,29460000,-3280000,-15363000,-1158000,-20017000,78000,78000,-21097000,-7e+06,-7e+06,1431000,-5569000,31723000,126276000,43701000,0.27007,0.11545,0.069,0.03716,0.02417,2.63386,4.48225,0.53769,0.18392,1.43207,1.41715,20.75393,38.53729,3.77188,0.09995,0.03013,0.07418,0.06979,1.80336,2.06073
"30","2018_Q1",110.542950819672,"Up",243260000,-182349000,60911000,-40492000,-40492000,20419000,347000,-519000,866000,20766000,20766000,-17526000,3240000,3240000,3240000,3240000,25373000,25373000,205767000,205767000,155568000,5819000,5336000,392527000,76664000,202293000,-125629000,170480000,52872000,84761000,992000,31855000,247144000,639671000,101281000,55825000,5002000,40454000,82000,101363000,6e+07,29200000,8368000,19607000,89200000,190563000,105022000,-426000,374678000,-30166000,449108000,449108000,639671000,3240000,3857000,3492000,18333000,28922000,-3592000,-3622000,-1159000,-6.6e+07,172000,338000,-66821000,-41521000,-41521000,-2174000,-43695000,24276000,60082000,56543000,0.25039,0.08394,0.01332,0.00721,0.00507,17.45154,3.87249,0.42431,0.09393,0.27953,0.27624,20.98697,38.74627,4.87818,0.09999,0.00817,0.10502,0.35772,1.42977,1.69984
"31","2018_Q2",99.16421875,"Down",238087000,-177830000,60257000,-38896000,-38896000,21361000,-1371000,-1237000,-134000,19990000,19990000,-5407000,14583000,14583000,14583000,14583000,75850000,75850000,234747000,234747000,168211000,9116000,7810000,487924000,81485000,210681000,-129196000,176485000,51888000,85033000,2497000,37067000,257970000,745894000,100671000,61830000,5537000,33304000,275000,100946000,1.47e+08,31566000,10807000,19707000,178566000,279512000,105746000,-426000,387985000,-26923000,466382000,466382000,745894000,14583000,4016000,2737000,-49482000,-28146000,-7548000,-7548000,-1276000,8.7e+07,266000,266000,85990000,50296000,50296000,181000,50477000,25377000,147275000,-26246000,0.25309,0.08972,0.06125,0.03127,0.01955,-1.79977,4.83351,0.59932,0.19745,1.25651,1.24227,20.51413,40.18456,-2.26142,0.10994,0.02458,-0.04068,0.0875,2.81456,3.34371
"32","2018_Q3",92.0474603174603,"Down",257125000,-190671000,66454000,-39668000,-39668000,26786000,-1480000,-1388000,-92000,25306000,25306000,-6535000,18771000,18771000,18771000,18771000,43602000,43602000,238126000,238126000,174836000,12116000,6771000,468680000,79737000,207827000,-128090000,176962000,50636000,83972000,1545000,40809000,256699000,725379000,100634000,63322000,0,37312000,17000,100651000,1.19e+08,31281000,10671000,19731000,150281000,250932000,107959000,-426000,405479000,-38565000,474447000,474447000,725379000,18771000,3982000,2204000,-24525000,431999.999999993,-2653000,-2653000,-1277000,-28066000,1920000,1920000,-27860000,-30081000,-30081000,-2167000,-32248000,30768000,119017000,10125000,0.25845,0.10418,0.073,0.03956,0.02588,0.539400000000003,4.65649,0.52889,0.16408,1.61097,1.59631,22.06703,40.71807,0.868950000000001,0.10959,0.03209,0.01621,0.06803,2.45109,2.81546
"33","2018_Q4",81.6166666666667,"Down",257572000,-190800000,66772000,-38523000,-38523000,28249000,-1564000,-1299000,-265000,26685000,26685000,-3142000,23543000,23543000,23543000,23543000,48880000,48880000,227828000,227828000,184018000,10582000,6122000,471308000,83569000,214175000,-130606000,179896000,49763000,83716000,1553000,44864000,263465000,734773000,110241000,71944000,0,38297000,189000,110430000,1.01e+08,26451000,10924000,14821000,127451000,237881000,108903000,-426000,427737000,-39322000,496892000,496892000,734773000,23543000,4020000,2555000,1183000,31301000,-7543000,-7543000,-1285000,-18016000,321000,321000,-18979000,4779000,4779000,499000,5278000,32269000,101189000,29051000,0.25924,0.10967,0.0914,0.04738,0.03204,1.23395,4.26793,0.47874,0.13771,2.01412,1.99907,22.03542,42.50937,2.48533,0.10993,0.03975,0.04652,0.05458,1.62103,1.85171
"34","2019_Q1",88.4659016393443,"Up",256038000,-193406000,62632000,-37940000,-34435000,24692000,-2142000,-1159000,-983000,22550000,22550000,-5961000,16589000,16589000,16589000,16589000,34043000,34043000,228098000,228098000,176630000,14072000,5327000,452843000,87230000,219135000,-131905000,181560000,48857000,83243000,1783000,47677000,268790000,721633000,100733000,54083000,2865000,43785000,119000,100852000,85179000,28231000,11731000,14556000,113410000,214262000,109588000,-426000,443040000,-44831000,507371000,507371000,721633000,16589000,11096000,-3063000,-15299000,9323000,-7614000,-7614000,-1286000,-15702000,-391000,45000,-16943000,-15234000,-15234000,397000,-14837000,35788000,85298000,18836000,0.24462,0.09644,0.06479,0.0327,0.02299,1.13545,4.49017,0.4223,0.1182,1.41871,1.40955,21.89669,43.391,1.61088,0.10998,0.02879,0.03034,0.07752,1.43218,2.07577
"35","2019_Q2",98.0306349206349,"Up",261934000,-198626000,63308000,-40702000,-40702000,22606000,-1666000,-1277000,-389000,20940000,20940000,-5687000,15253000,15253000,15253000,15253000,39023000,39023000,269785000,269785000,211355000,11824000,6906000,531987000,101737000,236692000,-134955000,218529000,63568000,88821000,1893000,64247000,320266000,852253000,114760000,70251000,2019000,42490000,134000,114894000,180234000,35641000,14304000,19505000,215875000,330769000,110452000,-1916000,456889000,-43941000,521484000,521484000,852253000,15253000,4193000,4431000,-56238000,-32361000,-4812000,-55289000,-1404000,94963000,-1253000,237000,92306000,4656000,4656000,324000,4980000,26799000,180368000,-28564000,0.24169,0.0863,0.05823,0.02925,0.0179,-1.87268,4.63024,0.63428,0.21164,1.3039,1.29515,22.39135,44.5789,-2.44178,0.12002,0.02259,-0.03873,0.09205,5.27426,6.25254
"36","2019_Q3",106.376875,"Up",285186000,-212053000,73133000,-43784000,-43784000,29349000,-1900000,-1605000,-295000,27449000,27449000,-6782000,20667000,20667000,20667000,20667000,48190000,48190000,267064000,267064000,205910000,14940000,6690000,536104000,105467000,243489000,-138022000,225008000,62725000,93134000,961000,68188000,330475000,866579000,117024000,67391000,1926000,47707000,131000,117155000,166232000,40360000,17923000,20718000,206592000,323747000,112650000,-3381000,476152000,-42589000,542832000,542832000,866579000,20667000,4644000,3756000,4192999.99999999,33260000,-6950000,-8972000,-1404000,-14001000,-215000,1840000,-15620000,8668000,8668000,499000,9167000,33993000,166363000,38018000,0.25644,0.10291,0.07247,0.03807,0.02385,1.83955,4.57602,0.5964,0.19198,1.76249,1.75189,24.32083,46.29302,3.2422,0.11973,0.02945,0.05072,0.06793,3.47639,4.02647
"37","2019_Q4",115.161875,"Up",271829000,-203119000,68710000,-44255000,-41174000,24455000,-1236000,-1478000,242000,23219000,23219000,-5801000,17418000,17418000,17418000,17418000,60279000,60279000,243296000,243296000,206516000,14386000,7771000,524477000,106939000,243777000,-136838000,224977000,59205000,93468000,1060000,71244000,331916000,856393000,120050000,69009000,2516000,48525000,113000,120163000,150192000,34986000,12480000,20900000,185178000,305341000,113804000,-4566000,492161000,-50347000,551052000,551052000,856393000,17418000,4827000,-1911000,22977000,43311000,-5739000,-11771000,-1409000,-16057000,-797000,388000,-18263000,13277000,13277000,-1188000,12089000,29282000,150305000,52321000,0.25277,0.08996,0.06408,0.03161,0.02034,3.00385,4.36471,0.55411,0.17551,1.48264,1.47435,23.13832,46.90603,4.45361,0.11994,0.02557,0.07106,0.08089,3.07445,3.68129
"38","2020_Q1",113.507741935484,"Down",300189000,-231849000,68340000,-49838000,-47261000,18502000,-5511000,-5158000,-353000,12991000,12991000,-3226000,9765000,9765000,9765000,9765000,42311000,42311000,237837000,237837000,267674000,23006000,10099000,570828000,160725000,302113000,-141388000,481210000,206272000,198022000,1078000,75838000,641935000,1212763000,144034000,81986000,2362000,59686000,18840000,162874000,425141000,54991000,26461000,26686000,480132000,643006000,114841000,-4566000,500320000,-40838000,569757000,569757000,1212763000,9765000,16301000,334000,18203000,44603000,-11655000,-353908000,-1409000,294975000,109000,108000,290800000,-18505000,-18505000,537000,-17968000,34803000,443981000,44577000,0.22766,0.06163,0.03253,0.01714,0.00805,4.56498,3.50472,1.12856,0.36609,0.83149,0.8267,25.56105,48.51473,3.79573,0.11998,0.01046,0.04171,0.14429,11.54125,21.70954
"39","2020_Q2",94.6942857142857,"Down",314448000,-235508000,78940000,-55084000,-51248000,23856000,-2822000,-5163000,2341000,21034000,21034000,-5506000,15528000,15528000,15528000,15528000,84425000,84425000,248773000,248773000,273648000,17121000,10243000,623967000,156380000,297729000,-141349000,469529000,202344000,195561000,1026000,70598000,625909000,1249876000,143893000,88891000,2079000,52923000,18826000,162719000,471429000,55319000,21580000,32085000,526748000,689467000,116143000,-4566000,514320000,-65488000,560409000,560409000,1249876000,15528000,10976000,-3543000,-17387000,5574000,-4993000,-4993000,-1528000,46209000,369000,369000,45050000,45631000,45631000,-3517000,42114000,34832000,490255000,17958000,0.25104,0.07587,0.04938,0.02771,0.01242,1.15649,3.83463,1.23029,0.39224,1.3203,1.31293,26.7365,47.64977,1.52691,0.12992,0.01542,0.01624,0.0984,11.65107,17.01165
"40","2020_Q3",105.1246875,"Up",268635000,-200810000,67825000,-45164000,-41551000,22661000,-4923000,-3635000,-1288000,17738000,17738000,-4749000,12989000,12989000,12989000,12989000,82002000,82002000,229714000,229714000,248706000,11691000,7625000,572113000,156210000,302219000,-146009000,461365000,198925000,195457000,815000,66168000,617575000,1189688000,118651000,63417000,2619000,52615000,15072000,133723000,423723000,55091000,21488000,32139000,478814000,612537000,116773000,-4566000,525778000,-60834000,577151000,577151000,1189688000,12989000,11038000,2118000,26991000,53136000,-4389000,-4388999.99999994,-1531000,-51529000.0000001,-473000,-473000,-53533000,-4786000.00000001,-4786000.00000001,2363000,-2423000.00000001,33699000,438795000,61050000,0.25248,0.08436,0.04835,0.02251,0.01092,4.70013,4.27834,1.06131,0.36883,1.10291,1.09677,22.81014,49.00662,5.18383,0.13,0.01356,0.057,0.11787,10.58764,15.7448
"41","2020_Q4",128.14703125,"Up",291759000,-213123000,78636000,-47713000,-44069000,30923000,-3488000,-3155000,-333000,27435000,27435000,-7402000,20033000,20033000,20033000,20033000,93515000,93515000,217276000,217276000,243529000,12835000,7064000,567155000,155204000,307480000,-152276000,451100000,195966000,192976000,1675000,60483000,606304000,1173459000,142612000,82071000,3625000,56916000,15068000,157680000,359021000,51545000,17676000,32595000,410566000,568246000,118519000,-4566000,544280000,-53020000,605213000,605213000,1173459000,20033000,3316000,7500000,46416000,77265000,-2147000,-2147000,-1531000,-64774000,666000,1376000,-65639000,9479000,9479000,2034000,11513000,34239000,374089000,85910000,0.26952,0.10599,0.06866,0.0331,0.01707,4.28842,3.59687,0.93892,0.31879,1.69915,1.69055,24.74631,51.33274,7.28668,0.12986,0.02092,0.08334,0.07642,8.19457,9.07331
"42","2021_Q1",150.502950819672,"Up",288624000,-220295000,68329000,-50984000,-47331000,17345000,-3795000,-2518000,-1277000,13550000,13550000,-4296000,9254000,9254000,9254000,9254000,50195000,50195000,209276000,209276000,242501000,13568000,7382000,515540000,155434000,312362000,-156928000,450885000,193172000,195132000,1203000,61378000,606319000,1121859000,142229000,75317000,2278000,64634000,15066000,157295000,270320000,59241000,22812000,36429000,329561000,486856000,119709000,-4566000,560186000,-40326000,635003000,635003000,1121859000,9254000,18510000,-2411000,23005000,48358000,-2642000,-2642000,-1534000,-88773000,187000,187000,-90120000,-44404000,-44404000,1084000,-43320000,35855000,285386000,60514000,0.23674,0.0601,0.03206,0.01457,0.00825,6.53923,3.27754,0.7667,0.25439,0.78424,0.78027,24.45966,53.81381,5.12831,0.13,0.01101,0.06177,0.16577,6.5595,13.55958
"43","2021_Q2",153.79619047619,"Up",311189000,-234763000,76426000,-50988000,-47330000,25438000,-2955000,-2325000,-630000,22483000,22483000,-5021000,17462000,17462000,17462000,17462000,105265000,105265000,242971000,242971000,250250000,13347000,9296000,611833000,152787000,313757000,-160970000,441533000,188955000,194025000,1080000,57473000,594320000,1206153000,157329000,93899000,2749000,60681000,15078000,172407000,338605000,53260000,19777000,32008000,391865000,564272000,121725000,-4566000,566634000,-41912000,641881000,641881000,1206153000,17462000,8905000,2384000,-37352000,-8601000,-2796000,-2796000,-1654000,68234000,776000,1072000,67356000,55959000,55959000,-889000,55070000,34343000,353683000,-784000,0.24559,0.08174,0.05611,0.0272,0.01448,-0.0449,3.54877,0.87909,0.29323,1.47733,1.46962,26.32733,54.30465,-0.06633,0.13993,0.01823,-0.00075,0.09472,7.23344,9.76563
"44","2021_Q3",146.13328125,"Down",347550000,-259410000,88140000,-54550000,-50887000,33590000,692000,-2561000,3253000,34282000,34282000,-8245000,26037000,26037000,26037000,26037000,85630000,85630000,253179000,253179000,264540000,19171000,9164000,622520000,149380000,314580000,-165200000,436926000,185581000,194936000,674000,55735000,586306000,1208826000,169546000,104715000,2724000,62107000,15069000,184615000,299910000,52420000,19872000,31329000,352330000,536945000,122439000,-4566000,591014000,-37006000,671881000,671881000,1208826000,26037000,8962000,1379000,-18381000,17997000,2751000,2751000,-1657000,-38771000,-602000,331000,-41030000,-20282000,-20282000,647000,-19635000,42552000,314979000,35167000,0.2536,0.09665,0.07492,0.03875,0.02154,1.35065,3.37199,0.79917,0.26057,2.20279,2.1913,29.40355,56.84272,2.97521,0.14019,0.02665,0.03384,0.06364,5.38985,6.8279
"45","2021_Q4",147.22765625,"Up",338311000,-252015000,86296000,-56253000,-52586000,30043000,-2328000,-2364000,36000,27715000,27715000,-10196000,17519000,17519000,17519000,17519000,89189000,89189000,245517000,245517000,294270000,6807000,6741000,635783000,147790000,316347000,-168557000,434205000,181516000,193572000,2004000,57113000,581995000,1217778000,180667000,107059000,6425000,67183000,15059000,195726000,279215000,51175000,17709000,32503000,330390000,526116000,124633000,-4566000,616235000,-44640000,691662000,691662000,1217778000,17519000,8919000,-2579000,10132000,33991000,-5296000,-5296000,-1658000,-20771000,-646000,82000,-23075000,5620000,5620000,-2061000,3559000,38962000,294274000,53994000,0.25508,0.0888,0.05178,0.02533,0.01439,3.08203,3.24833,0.76065,0.24165,1.48027,1.4728,28.58564,58.44208,4.56223,0.14009,0.01849,0.05206,0.09464,5.26372,6.82638
"46","2022_Q1",144.036290322581,"Down",337173000,-253521000,83652000,-55785000,-52136000,27867000,-2849000,-2134000,-715000,25018000,25018000,-5791000,19227000,19227000,19227000,19227000,42115000,42115000,237970000,237970000,320917000,11166000,9500000,612168000,185005000,354377000,-169372000,408569000,183466000,202406000,1110000,21587000,593574000,1205742000,177532000,101396000,2613000,73523000,15032000,192564000,254522000,52993000,21458000,31535000,307515000,500079000,125415000,-4566000,633804000,-48990000,705663000,705663000,1205742000,19227000,17693000,1015000,-31655000,6280000,-10299000,-28097000,-1658000,-24785000,191000,191000,-26252000,-48069000,-48069000,995000,-47074000,45560000,269554000,9397000,0.2481,0.08265,0.05702,0.02725,0.01595,0.48874,3.17904,0.70867,0.22356,1.62075,1.61368,28.42224,59.48436,0.79213,0.13976,0.02031,0.00914,0.08623,4.99208,8.16159
"47","2022_Q2",122.042903225806,"Down",362005000,-275364000,86641000,-57522000,-53635000,29119000,-4327000,-2575000,-1752000,24792000,24792000,-6322000,18470000,18470000,18470000,18470000,84277000,84277000,296857000,296857000,355389000,12740000,12531000,749263000,151684000,324236000,-172552000,437068000,182305000,198726000,1054000,54983000,588752000,1338015000,183494000,114312000,867000,68315000,15022000,198516000,357834000,54485000,24161000,30324000,412319000,610835000,126870000,-4566000,650141000,-45265000,727180000,727180000,1338015000,18470000,9123000,6542000,-89120000,-54985000,-4325000,-4325000,-2133000,103237000,84000,474000,101188000,41878000,41878000,284000,42162000,38242000,372856000,-48881000,0.23934,0.08044,0.05102,0.0254,0.0138,-2.64651,3.77432,0.84001,0.27866,1.55957,1.55223,30.567,61.40167,-4.12742,0.18011,0.01785,-0.04234,0.11548,7.54613,9.91033
"48","2022_Q3",126.78765625,"Up",396214000,-296497000,99717000,-58801000,-55009000,40916000,-3266000,-3132000,-134000,37650000,37650000,-9178000,28472000,28472000,28472000,28472000,75894000,75894000,306967000,306967000,352915000,12527000,11095000,748303000,153907000,325911000,-172004000,430166000,178781000,196068000,1006000,54311000,584073000,1332376000,174601000,107003000,1498000,66100000,15015000,189616000,356149000,50169000,23083000,27086000,406318000,595934000,128371000,-4566000,676474000,-63837000,736442000,736442000,1332376000,28472000,9204000,1273000,-27353000,11596000,-10459000,-12459000,-2139000,-1758000,-249000,73000,-4145999.99999997,-5009000,-5009000,-3374000,-8383000,50120000,371164000,21486000,0.25167,0.10327,0.07186,0.03866,0.02137,0.75464,3.94641,0.80921,0.27857,2.40412,2.39281,33.45554,62.18374,1.81424,0.18061,0.02644,0.01856,0.07513,5.89126,7.21649
