"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",60.1759677419355,"Down",3.42e+08,-204300000,137700000,-106500000,-106500000,31200000,-4500000,-5300000,8e+05,26700000,4e+05,27100000,-9600000,17500000,17500000,17500000,17500000,338400000,338400000,1.98e+08,1.98e+08,239400000,43600000,40500000,819400000,189700000,754100000,202500000,532700000,3e+06,15900000,943800000,1763200000,149600000,101100000,48500000,425500000,511300000,90100000,48600000,41500000,601400000,1026900000,0,538600000,348500000,-150800000,736300000,736300000,1763200000,17500000,13200000,5300000,32500000,68500000,-3900000,-89800000,-6300000,45600000,-3700000,35200000,13900000,13900000,-14100000,-2e+05,44400000,650400000,82600000,0.40263,0.09123,0.05117,0.02377,0.00993,4.72,1.92573,1.39468,0.36887,0.5132,0.50725,10.02933,21.59238,2.42229,0.18475,0.01612,0.05593,0.36,7.02703,10
"29","2017_Q2",59.1584126984127,"Down",347200000,-203400000,143800000,-107600000,-107600000,36200000,-4900000,-4600000,-3e+05,31300000,-5e+05,30800000,-9100000,21700000,21700000,21700000,21700000,2.87e+08,2.87e+08,211400000,211400000,255100000,44900000,41900000,798400000,189800000,7.54e+08,197900000,5.37e+08,2300000,16800000,943800000,1742200000,144800000,104200000,40600000,387500000,505800000,91900000,53400000,38500000,597700000,985200000,0,542900000,356900000,-142800000,7.57e+08,7.57e+08,1742200000,21700000,12100000,8600000,-51500000,-9100000,-3900000,-3800000,-6200000,-32200000,-4100000,-42500000,-55400000,-55400000,4e+06,-51400000,48300000,623600000,2e+06,0.41417,0.10426,0.0625,0.02867,0.01246,0.09217,2.06039,1.30145,0.35794,0.63081,0.62899,10.09302,22.00581,0.05814,0.18023,0.01895,0.00136,0.28571,6.96894,9.29834
"30","2017_Q3",61.1577777777778,"Up",378500000,-221800000,156700000,-110200000,-110200000,46500000,-5e+06,-4800000,-2e+05,41500000,-1700000,39800000,-12600000,27200000,27200000,27200000,27200000,217500000,217500000,245500000,245500000,258800000,39900000,3.7e+07,761700000,191600000,758600000,194600000,544700000,2700000,16600000,950200000,1711900000,155900000,110100000,45800000,316100000,510400000,88200000,51200000,3.7e+07,598600000,914700000,0,547100000,372100000,-1.22e+08,797200000,797200000,1711900000,27200000,13600000,1200000,-23900000,18100000,-5100000,-5100000,-6600000,-78400000,-4400000,-89400000,-76400000,-76400000,6900000,-69500000,60100000,548300000,43700000,0.414,0.12285,0.07186,0.03412,0.01589,1.60662,2.40968,1.14739,0.32029,0.78613,0.78841,10.93931,23.04046,1.26301,0.19075,0.02358,0.03048,0.24265,5.50416,7.11398
"31","2017_Q4",68.0171428571429,"Up",364700000,-2.12e+08,152700000,-1.07e+08,-1.07e+08,45700000,-4800000,-4500000,-3e+05,40900000,-1400000,39500000,-1.3e+07,26500000,26500000,26500000,26500000,246600000,246600000,229200000,229200000,259100000,30100000,28100000,7.65e+08,192100000,758500000,1.9e+08,548500000,2600000,17400000,950600000,1715600000,146800000,96300000,50500000,297900000,500600000,86300000,50800000,35500000,586900000,884800000,-1.38777878078145e-17,550900000,386400000,-106500000,830800000,830800000,1715600000,26500000,1.3e+07,3200000,21700000,64400000,-4600000,-4600000,-6600000,-25800000,-4100000,-36500000,23300000,23300000,5800000,29100000,58700000,523100000,88800000,0.4187,0.12531,0.07266,0.0319,0.01545,3.35094,2.56798,1.065,0.30491,0.77485,0.76812,10.66374,24.2924,2.59649,0.19298,0.02298,0.06166,0.24906,4.71039,6.05033
"32","2018_Q1",74.4075409836066,"Up",366300000,-217100000,149200000,-107500000,-107500000,41700000,-4500000,-4200000,-3e+05,37200000,-4200000,3.3e+07,-35300000,-2300000,-2300000,-2300000,-2300000,280200000,280200000,216100000,216100000,259100000,28200000,26700000,783600000,198500000,754400000,185200000,550500000,1600000,17100000,952900000,1736500000,179100000,123800000,55300000,327400000,474600000,105500000,55200000,50300000,580100000,907500000,0,555200000,372900000,-99100000,8.29e+08,8.29e+08,1736500000,-2300000,13500000,9400000,61900000,82500000,-13800000,-13800000,-6500000,-26500000,-3900000,-36900000,31800000,31800000,1800000,33600000,55200000,497100000,138600000,0.40732,0.11384,-0.00627999999999998,-0.00277,-0.00132,-60.26087,2.3934,1.09469,0.28627,-0.06686,-0.06745,10.64826,24.09884,4.02907,0.18895,0.00293,0.09681,-2.82609,3.92935,5.20144
"33","2018_Q2",74.434375,"Up",378500000,-221800000,156700000,-112800000,-112800000,43900000,-4600000,-3900000,-7e+05,39300000,-6273959.4053087,39300000,-11100000,28200000,28200000,28200000,28200000,184700000,184700000,233100000,233100000,281800000,3.1e+07,29500000,730600000,201100000,756800000,180900000,554200000,2600000,19100000,957900000,1688500000,160200000,113100000,47100000,3.05e+08,424100000,103600000,53700000,49900000,527700000,832700000,2.22044604925031e-16,558800000,383600000,-86600000,855800000,855800000,1688500000,28200000,12700000,-1700000,-65300000,-26100000,-7300000,-8800000,-6700000,-5.1e+07,-6200000,-63900000,-98800000,-98800000,3300000,-95500000,56600000,446600000,-4900000,0.414,0.11598,0.0745,0.03295,0.0167,-0.17376,2.39541,0.97301,0.2645,0.82216,0.81977,11.03499,24.95044,-0.14286,0.19534,0.02482,-0.00349000000000002,0.23759,4.62721,5.96583
"34","2018_Q3",79.6028571428571,"Up",407900000,-238500000,169400000,-117200000,-117200000,52200000,-2500000,-4300000,1800000,49700000,-6075996.6935029,49700000,-13700000,3.6e+07,3.6e+07,3.6e+07,3.6e+07,142600000,142600000,248200000,248200000,282200000,36100000,34700000,709100000,196200000,7.42e+08,174300000,546500000,2e+06,19200000,938200000,1647300000,166500000,120100000,46400000,309200000,3.83e+08,96900000,49500000,47400000,479900000,789100000,0,5.63e+08,407400000,-112200000,858200000,858200000,1647300000,3.6e+07,12300000,2700000,-23400000,27600000,-7700000,-8e+06,-7200000,-42400000,-4600000,-54200000,-34600000,-34600000,-7500000,-42100000,64500000,409200000,47100000,0.4153,0.12797,0.08826,0.04195,0.02185,1.30833000000001,2.29334,0.91948,0.24841,1.04348,1.04651,11.82319,24.87536,1.36522,0.2087,0.03166,0.03452,0.2,4.13333,5.10728
"35","2018_Q4",69.2314285714286,"Down",390900000,-226400000,164500000,-114200000,-114200000,50300000,-2900000,-3800000,9e+05,47400000,-3400000,4.4e+07,-12500000,31500000,31500000,31500000,31500000,156800000,156800000,231300000,231300000,290200000,32500000,31100000,710800000,198500000,740300000,1.7e+08,547600000,2e+06,20700000,938800000,1649600000,167400000,1.15e+08,52400000,317400000,350700000,97300000,50900000,46400000,4.48e+08,765400000,1.77635683940025e-15,567900000,426100000,-109800000,884200000,884200000,1649600000,31500000,11700000,4900000,1.7e+07,65100000,-8800000,-9200000,-7200000,-31900000,-2600000,-41700000,14200000,14200000,0,14200000,6.2e+07,378800000,82700000,0.42082,0.12868,0.08058,0.03563,0.0191,2.6254,2.23945,0.86564,0.22963,0.92375,0.9157,11.46334,25.92962,2.42522,0.21114,0.02845,0.0608,0.22857,3.58065,4.41352
"36","2019_Q1",73.5954098360656,"Up",387600000,-221700000,165900000,-120500000,-120500000,45400000,-3800000,-3500000,-3e+05,41600000,0,41600000,-9300000,32300000,32300000,32300000,32300000,204100000,204100000,205500000,205500000,286800000,24900000,24900000,721300000,201900000,730500000,165200000,544800000,1600000,18900000,932400000,1653700000,188100000,127200000,60900000,348700000,323400000,90300000,38500000,51800000,413700000,762400000,0,571700000,440700000,-121100000,891300000,891300000,1653700000,32300000,11800000,-7200000,65900000,102800000,-10600000,-9900000,-7200000,-16700000,-12600000,-43100000,49800000,49800000,-2500000,47300000,57200000,353400000,121800000,0.42802,0.11713,0.08333,0.03624,0.01953,3.7709,2.06854,0.85538,0.2137,0.94169,0.95,11.30029,25.98542,3.55102,0.20991,0.02959,0.09124,0.22291,2.61014,3.28855
"37","2019_Q2",82.7506349206349,"Up",388700000,-224500000,164200000,-116100000,-116100000,48100000,-4e+06,-3500000,-5e+05,44100000,-1400000,42700000,-11700000,3.1e+07,3.1e+07,3.1e+07,3.1e+07,170200000,170200000,240600000,240600000,293900000,25200000,25200000,729900000,199600000,753900000,1.61e+08,5.43e+08,2200000,47700000,953500000,1683400000,154700000,111500000,43200000,321800000,341100000,115400000,42600000,72800000,456500000,778300000,2.8421709430404e-14,5.8e+08,452100000,-1.27e+08,905100000,905100000,1683400000,3.1e+07,11400000,9600000,-76200000,-24200000,-6900000,-6900000,-7300000,10300000,-5e+06,-2e+06,-33100000,-33100000,-8e+05,-33900000,59500000,371100000,-11900000,0.42243,0.12375,0.07975,0.03425,0.01842,-0.38387,2.26818,0.8599,0.22045,0.90643,0.90643,11.3655,26.46491,-0.34795,0.21345,0.02752,-0.00854999999999999,0.23548,3.37647,4.17672
"38","2019_Q3",90.2721875,"Up",416800000,-242200000,174600000,-1.19e+08,-1.19e+08,55600000,-3500000,-3600000,1e+05,52100000,-1300000,50800000,-14400000,36400000,36400000,36400000,36400000,166800000,166800000,254200000,254200000,283300000,24100000,24100000,728400000,200900000,749100000,157200000,544200000,2600000,45100000,9.5e+08,1678400000,160500000,115400000,45100000,391600000,238800000,113800000,42800000,7.1e+07,352600000,744200000,0,584500000,475600000,-125900000,934200000,934200000,1678400000,36400000,11400000,4200000,-8100000,43900000,-7400000,-7400000,-7900000,-28100000,-4500000,-40500000,-4e+06,-4e+06,6e+05,-3399999.99999999,6.7e+07,343800000,65900000,0.41891,0.1334,0.08733,0.03896,0.02169,1.81044,1.86006,0.79662,0.20484,1.07059,1.06433,12.25882,27.47647,1.93824,0.23235,0.03183,0.04735,0.21703,2.64179,3.18345
"39","2019_Q4",92.45015625,"Up",394700000,-226100000,168600000,-119800000,-119800000,48800000,-2600000,-3400000,8e+05,46200000,0,46200000,-13900000,32300000,32300000,32300000,32300000,173700000,173700000,238600000,238600000,279200000,22600000,22600000,714100000,195800000,786400000,154200000,577300000,2400000,52500000,982200000,1696300000,1.56e+08,103400000,52600000,396500000,238500000,119300000,38500000,80800000,357800000,754300000,0,589300000,494900000,-142200000,9.42e+08,9.42e+08,1696300000,32300000,11500000,2200000,29200000,75200000,-4700000,-47400000,-8400000,6200000,-4300000,-16500000,11300000,11300000,-4400000,6900000,60300000,343500000,98700000,0.42716,0.12364,0.08183,0.03429,0.01904,3.05573,1.80101,0.80074,0.2025,0.94721,0.94444,11.57478,27.62463,2.89443,0.24633,0.02897,0.07026,0.26006,2.81592,3.47951
"40","2020_Q1",93.5054838709677,"Up",400300000,-230200000,170100000,-121200000,-121200000,48900000,-3100000,-3200000,1e+05,45800000,-1600000,44200000,-12400000,31800000,31800000,31800000,31800000,219700000,219700000,219800000,219800000,270100000,25300000,25300000,734900000,2e+08,788200000,151400000,581100000,2700000,5.3e+07,988200000,1723100000,314300000,123300000,1.91e+08,419300000,204200000,121600000,38600000,8.3e+07,325800000,745100000,14576.2056392079,594900000,513900000,-130800000,9.78e+08,9.78e+08,1723100000,31800000,12300000,3900000,51100000,99100000,-10100000,-10100000,-7800000,-3.5e+07,-3600000,-46600000,42400000,42400000,3600000,4.6e+07,61200000,309200000,114600000,0.42493,0.12216,0.07944,0.03252,0.01846,3.60377,1.75268,0.76186,0.17944,0.93255,0.92982,11.739,28.68035,3.3607,0.22874,0.02811,0.08135,0.24528,1.46242,1.83027
"41","2020_Q2",78.9157142857143,"Down",382600000,-219800000,162800000,-1.15e+08,-1.15e+08,47800000,-3200000,-2900000,-3e+05,44600000,-4947448.72967999,44600000,-12600000,3.2e+07,3.2e+07,3.2e+07,3.2e+07,245400000,245400000,236700000,236700000,279600000,29500000,29500000,791200000,201800000,774400000,146100000,5.76e+08,2600000,49700000,976200000,1767400000,164100000,117800000,46300000,379300000,296900000,123400000,41800000,81600000,420300000,799600000,-7.27595761418343e-12,600500000,515500000,-148200000,967800000,967800000,1767400000,3.2e+07,11400000,7500000,-51800000,-9e+05,-7500000,-7500000,-8e+06,69500000,-14700000,39100000,30700000,30700000,-5e+06,25700000,59200000,379400000,12500000,0.42551,0.12493,0.08364,0.03306,0.01811,0.39062,2.08595,0.8262,0.21467,0.94118,0.93842,11.25294,28.46471,0.36765,0.23529,0.0272,0.00850000000000001,0.25,2.26351,2.80335
"42","2020_Q3",89.71265625,"Up",338700000,-203800000,134900000,-97600000,-97600000,37300000,-3500000,-3900000,4e+05,33800000,-6300000,27500000,-7300000,20200000,20200000,20200000,20200000,148700000,148700000,209200000,209200000,283900000,25700000,25700000,667500000,206900000,773900000,143400000,580100000,2600000,47800000,980800000,1648300000,149100000,103400000,45700000,278900000,262500000,121700000,41200000,80500000,384200000,663100000,0,602300000,521400000,-138500000,985200000,985200000,1648300000,20200000,11500000,1100000,15400000,48200000,-14800000,-14800000,-7800000,-115500000,-6400000,-1.32e+08,-98600000,-98600000,1900000,-96700000,48800000,262500000,56700000,0.39829,0.11013,0.05964,0.0205,0.01226,2.80693,2.39333,0.67306,0.15925,0.59763,0.59587,10.02071,29.14793,1.67751,0.23077,0.02045,0.0414,0.38614,2.33197,3.05094
"43","2020_Q4",112.685,"Up",383900000,-225400000,158500000,-106600000,-106600000,51900000,-4100000,-3e+06,-1100000,47800000,-4e+06,43800000,-10900000,32900000,32900000,32900000,32900000,188300000,188300000,208900000,208900000,273100000,29300000,29300000,699600000,211300000,798100000,142900000,588700000,3800000,62700000,1009400000,1.709e+09,156100000,99900000,56200000,295200000,247900000,141300000,40300000,1.01e+08,389200000,684400000,301211.602796927,605500000,543200000,-124100000,1024600000,1024600000,1.709e+09,32900000,11800000,1200000,34200000,80100000,-1e+07,-16800000,-7400000,-15500000,-3700000,-26600000,36700000,36700000,2900000,39600000,63700000,247900000,98800000,0.41287,0.13519,0.0857,0.03211,0.01925,3.00304,2.36992,0.66797,0.14506,0.9705,0.96765,11.32448,30.22419,2.91445,0.21829,0.0285,0.06988,0.22492,0.93564,1.14836
"44","2021_Q1",120.241147540984,"Up",403400000,-234200000,169200000,-113200000,-113200000,5.6e+07,-3300000,-3300000,2.3283064365387e-10,52700000,-1600000,51100000,-21900000,29200000,29200000,29200000,29200000,218900000,218900000,197600000,197600000,263600000,29400000,29400000,709500000,212300000,816400000,141800000,602400000,4400000,67800000,1028700000,1738200000,312800000,110100000,202700000,312800000,198200000,157400000,51100000,106300000,355600000,668400000,6e+05,609100000,560100000,-1e+08,1069800000,1069800000,1738200000,29200000,11800000,13900000,46500000,101400000,-9300000,-15700000,-8200000,-50600000,-3600000,-62400000,23300000,23300000,7300000,30600000,67800000,198200000,126900000,0.41943,0.13882,0.07238,0.02729,0.0168,4.34589,2.26822,0.62479,0.11403,0.86136,0.85882,11.89971,31.53982,3.74336,0.24189,0.02624,0.08903,0.28082,-0.30531,-0.36964
"45","2021_Q2",130.533015873016,"Up",413300000,-239600000,173700000,-113800000,-113800000,59900000,-1700000,-2e+06,3e+05,58200000,-3e+05,57900000,-16200000,41700000,41700000,41700000,41700000,225400000,225400000,238600000,238600000,2.79e+08,31600000,31600000,774600000,205800000,8.04e+08,1.37e+08,597300000,4400000,65300000,1009800000,1784400000,345200000,141500000,203700000,345200000,198600000,159400000,54300000,105100000,3.58e+08,703200000,6e+05,613800000,5.81e+08,-114200000,1081200000,1081200000,1784400000,41700000,11800000,7800000,-27400000,33900000,-2e+06,-2e+06,-7800000,-4e+05,-3800000,-21200000,10700000,10700000,-4200000,6500000,71700000,198600000,58500000,0.42028,0.14493,0.1009,0.03857,0.02337,1.40288,2.24392,0.65039,0.1113,1.23373,1.23009,12.22781,31.97041,1.73077,0.23077,0.03439,0.04065,0.18705,-0.37378,-0.44741
"46","2021_Q3",158.5728125,"Up",4.67e+08,-266900000,200100000,-130400000,-130400000,69700000,-1e+06,-1500000,5e+05,68700000,-1.7e+07,51700000,-14200000,37500000,37500000,37500000,37500000,240100000,240100000,256700000,256700000,313500000,33600000,33600000,843900000,2.07e+08,804400000,133900000,599100000,8700000,62700000,1011400000,1855300000,395800000,155600000,240200000,395800000,191500000,150100000,49700000,100400000,341600000,737400000,6e+05,620900000,605600000,-109200000,1117900000,1117900000,1855300000,37500000,11500000,-2e+06,-7700000.00000001,39300000,-6100000,-6100000,-8900000,-5200000.00000001,-4e+06,-20500000,12700000,12700000,2e+06,14700000,81200000,191500000,81600000,0.42848,0.14925,0.0803,0.03355,0.02021,2.176,2.13214,0.65963,0.10322,1.10947,1.10619,13.81657,33.05621,2.4142,0.26331,0.03179,0.05591,0.23733,-0.59852,-0.69727
"47","2021_Q4",188.291875,"Up",4.55e+08,-2.61e+08,1.94e+08,-128400000,-128400000,65600000,-1200000,-1400000,2e+05,64400000,-9e+05,63500000,-17100000,46400000,46400000,46400000,46400000,238700000,238700000,243200000,243200000,352700000,28400000,28400000,8.63e+08,204200000,795999999,130199999,596500000,8300000,6.1e+07,1000199999,1863199999,417800000,151600000,266200000,417800000,151700000,143600000,45200000,98400000,295300000,713100000,6e+05,627800000,638800000,-117100000,1150100000,1150100000,1863200000,46400000,10700000,3400000,1200000,61700000,-6600000,-6600000,-8800000,-40400000,-4e+06,-53600000,1500000,1500000,-2900000,-1400000,76300000,151700000,8.8e+07,0.42637,0.14418,0.10198,0.04034,0.0249,1.89655,2.06558,0.62003,0.08142,1.37278,1.36873,13.46154,34.00888,2.60355,0.26036,0.03819,0.06088,0.18966,-1.14024,-1.32622
"48","2022_Q1",155.710483870968,"Down",473900000,-274599999,199300001,-135600000,-135600000,63700001,-1600000,-1400000,-2e+05,62100001,-1100000,61000001,-20900000,40100001,40100001,40100001,40100001,2.42e+08,2.42e+08,220900000,220900000,370700000,27900000,27900000,861500000,200700000,793400000,128600000,600700000,3500000,60600000,994100000,1855600000,408500000,143400000,265100000,408500000,141900000,1.32e+08,40500000,91500000,273900000,682400000,598893.779549169,634600000,665900000,-127300000,1173200000,1173200000,1855600000,40100000,11100000,6900001,-12200000,45900001,-6900000,-1.6e+07,-8800000,-10400000,-4100000,-23300000,6600001,6600001,-3300000,3300001,74800001,141900000,76600001,0.42055,0.13442,0.08462,0.03418,0.02161,1.91022,2.10894,0.58166,0.07647,1.18991,1.18289,14.06231,34.81306,2.273,0.26113,0.03379,0.05293,0.21945,-1.33824,-1.57143
"49","2022_Q2",129.092096774194,"Down",463200000,-264600000,198600000,-126100000,-126100000,72500000,-1600000,-1300000,-3e+05,70900000,-1e+06,69900000,-15400000,54500000,54500000,54500000,54500000,226800000,226800000,261700000,261700000,402100000,29300000,29300000,919900000,196600000,786800000,123800000,597700000,3600000,61700000,983400000,1903300000,404800000,156800000,2.48e+08,404800000,2.02e+08,1.34e+08,46900000,87100000,3.36e+08,740800000,6e+05,639200000,655900000,-133199999,1162500001,1162500001,1903300001,54500000,10300000,10400000,-77200000,-2e+06,-5600000,-5600000,-9e+06,59800000,-42900000,-4700000,-12300000,-12300000,-2900000,-15200000,82800000,2.02e+08,15400000,0.42876,0.15652,0.11766,0.04688,0.02863,0.28257,2.27248,0.63725,0.10613,1.61721,1.60767,13.74481,34.47774,0.45697,0.26706,0.04238,0.01028,0.16514,-0.29952,-0.34207
"50","2022_Q3",135.3325,"Up",526600000,-287400000,239200000,-141600000,-141600000,97600000,-1700000,-1700000,0,95900000,-1700000,94200000,-24500000,69700000,69700000,69700000,69700000,2.3e+08,2.3e+08,267100000,267100000,431700000,38900000,38900000,967700000,1.94e+08,772600000,119400000,590900000,3300000,5.9e+07,966600000,1934300000,421100000,166300000,254800000,421100000,202200000,124500000,39200000,85300000,326700000,747800000,6e+05,644300000,696800000,-155200000,1186500000,1186500000,1934300000,69700000,1e+07,-1800001,-3.1e+07,46899999,-6700000,-6700000,-10300000,-400000.000000015,-1.8e+07,-2.9e+07,11199999,11199999,-8e+06,3199999,107600000,202200000,94400000,0.45423,0.18534,0.13236,0.05874,0.03603,1.35438,2.29803,0.63026,0.10453,2.06825,2.06213,15.62611,35.18991,2.80119,0.30564,0.05287,0.06238,0.14778,-0.25836,-0.28484
