"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",7.60555555555556,"Up",81102000,-65630000,15472000,-24521000,-11158000,-13243000,-9049000,293000,-637000,-759000,122000,930000,-8756000,-701000,-9457000,-1080000,-10537000,-10537000,-10537000,-10537000,60784000,48383000,77316000,77316000,60947000,37078000,30239000,6839000,236125000,115710000,7971000,3657000,3199000,123681000,359806000,83014000,64085000,2868000,130170000,46152000,14026000,14026000,60178000,190348000,554057000,-382618000,-1981000,169458000,169458000,359806000,-10537000,7906000,2764000,-1211000,-1078000,-2354000,-53000,-2970000,-16464000,1809000,1809000,-14871000,-18919000,-18919000,-448000,-19367000,-1143000,49020000,-3628000,0.19077,-0.11158,-0.12992,-0.06218,-0.02929,0.34431,1.81397,1.12328,0.13624,-0.23591,-0.23591,1.81578,3.79398,-0.0812299999999999,-0.04532,-0.0156,10.29221,1.30003
"31","2018_Q4",7.64873015873016,"Up",81748000,-62815000,18933000,-26238000,-12943000,-13177000,-7305000,855000,-455000,-540000,85000,1310000,-6450000,-1384000,-7834000,-291000,-8125000,-8125000,-8125000,-8125000,59540000,52099000,66620000,66620000,57124000,37046000,28659000,5195000,220330000,104965000,7515000,3320000,3080000,112480000,332810000,58237000,54603000,2798000,107892000,50356000,13388000,13388000,63744000,171636000,559486000,-390743000,-7569000,161174000,161174000,332810000,-8125000,7640000,3861000,10155000,13531000,-3707000,4960000,-1526000,-10946000,1868000,1868000,-9549000,2456000,2456000,-384000,2072000,335000,53154000,7074000,0.2316,-0.08936,-0.09939,-0.05041,-0.02441,-0.87065,2.04213,1.06491,0.15971,-0.17867,-0.17867,1.79761,3.54416,0.15555,-0.03568,0.03107,-19.06269,0.8742
"32","2019_Q1",7.00590163934426,"Down",91104000,-68518000,22586000,-24884000,-11256000,-13510000,-2298000,-834000,-389000,-486000,97000,-445000,-3132000,-4277000,-7409000,680000,-6729000,-6729000,-6729000,-6729000,65666000,58185000,74751000,74751000,52159000,40629000,26605000,11053000,233205000,100090000,7281000,3018000,3148000,107371000,340576000,63198000,58403000,2897000,116383000,50454000,13499000,13499000,63953000,180336000,564838000,-397472000,-7126000,160240000,160240000,340576000,-6729000,7554000,7844000,1929000,10598000,-490000,-40000,-530000,-820000,1813000,1813000,1996000,12064000,12064000,-120000,11944000,5256000,53351000,6015000,0.24791,-0.02522,-0.07386,-0.04199,-0.01976,-0.89389,2.00377,1.12541,0.15665,-0.14573,-0.14573,1.97297,3.4702,0.13026,-0.02963,0.02649,-2.34304,5.35901
"33","2019_Q2",5.27206349206349,"Down",79366000,-63629000,15737000,-27158000,-12356000,-14683000,-11421000,-1992000,-394000,-493000,99000,-1598000,-13413000,-508000,-13921000,-170000,-14091000,-14091000,-14091000,-14091000,67317000,59793000,65210000,65210000,53618000,38646000,23995000,11577000,224791000,95688000,23857000,2736000,20006000,119545000,344336000,60192000,57853000,2963000,113424000,50213000,28141000,28141000,78354000,191778000,568310000,-411563000,-4189000,152558000,152558000,344336000,-14091000,8851000,6546000,7393000,8699000,-3596000,-43000,-3639000,-3356000,157000,157000,-3281000,1779000,1779000,353000,2132000,-2570000,53176000,1397000,0.19828,-0.1439,-0.17754,-0.09236,-0.04092,-0.09914,1.98186,1.25708,0.15443,-0.30359,-0.30359,1.70996,3.2869,0.0301,-0.06025,0.00597,5.50233,1.23816
"34","2019_Q3",5.620625,"Up",81690000,-66015000,15675000,-24590000,-10797000,-13793000,-8915000,693000,-397000,-496000,99000,1090000,-8222000,691000,-7531000,205000,-7326000,-7326000,-7326000,-7326000,62674000,55107000,59623000,59623000,48795000,34930000,23397000,11533000,206022000,89283000,23311000,2532000,19664000,112594000,318616000,51857000,51857000,3048000,97925000,45181000,27526000,27526000,72707000,170632000,572852000,-418889000,-5979000,147984000,147984000,318616000,-7326000,8091000,6429000,-6460000,734000,1540000,-42999.9999999998,1497000,-8079000,1650000,1650000,-6674000,-4443000,-4443000,-287000,-4730000,-824000.000000001,48229000,-5949000,0.19188,-0.10913,-0.08968,-0.04951,-0.02299,0.81204,2.10388,1.15304,0.15137,-0.15669,-0.15669,1.74716,3.16503,-0.12724,-0.03274,-0.02659,17.53034,1.6203
"35","2019_Q4",7.4815625,"Up",92392000,-66193000,26199000,-24923000,-11235000,-13688000,1276000,2572000,-388000,-483000,95000,2960000,3848000,-15000,3833000,-1561000,2272000,2272000,2272000,2272000,69003000,61396000,65245000,65245000,48668000,34748000,23921000,10827000,217664000,85125000,22555000,2315000,19125000,107680000,325344000,58306000,58306000,3054000,103774000,44771000,26802000,26802000,71573000,175347000,577208000,-416617000,-10594000,149997000,149997000,325344000,2272000,7014000,2978000,-3308000,8956000,-2053000,-40000,-2093000,-743000,397000,397000,-770000,6093000,6093000,-510000,5583000,8290000,47825000,4490000,0.28356,0.01381,0.02459,0.01515,0.00698,1.97623,2.09748,1.169,0.147,0.04765,0.04765,1.93787,3.14611,0.09418,0.01011,0.01999,-2.55464,-16.59718
"36","2020_Q1",7.4108064516129,"Down",103356000,-72154000,31202000,-26929000,-11459000,-15470000,4273000,-2174000,-364000,-447000,83000,-1810000,2099000,77000,2176000,-107000,2069000,2069000,2069000,2069000,78105000,70467000,68890000,68890000,46930000,36823000,25851000,10972000,230748000,81133000,22798000,2151000,19532000,103931000,334679000,106035000,58554000,3044000,109079000,39237000,26157000,26157000,65394000,174473000,582625000,-414548000,-7871000,160206000,160206000,334679000,2069000,6832000,6956000,441000.000000001,16298000,-3181000,-31000.0000000001,-3212000,-5767000,1642000,1642000,-4153000,8933000,8933000,283000,9216000,11105000,42281000,8472000,0.30189,0.04134,0.02002,0.01291,0.00618,4.09473,2.11542,1.08905,0.12633,0.04278,0.04278,2.13682,3.31216,0.17515,0.00905,0.03705,-3.22593,-8.38381
"37","2020_Q2",8.62126984126984,"Up",97401000,-67675000,29726000,-22332000,-10448000,-11884000,7394000,918000,-280000,-378000,98000,1198000,8312000,-12000,8300000,-1993000,6307000,6307000,6307000,6307000,98567000,90905000,61663000,61663000,46146000,37110000,26178000,10932000,243486000,76293000,21977000,1953000,18909000,98270000,341756000,58283000,58283000,3066000,110059000,37791000,26668000,26668000,64459000,174518000,585320000,-408241000,-9841000,167238000,167238000,341756000,6307000,6674000,6148000,5797000,24926000,-2469000,-24000,-2493000,-1793000,231000,231000,-1781000,20652000,20652000,-254000,20398000,14068000,40857000,19389000,0.30519,0.07591,0.06475,0.03771,0.01845,3.0742,2.21232,1.04353,0.11955,0.12973,0.1246,2.00352,3.44005,0.39883,0.02687,0.08259,-4.10222,-7.80498
"38","2020_Q3",7.63234375,"Down",103171000,-69669000,33502000,-26771000,-13082000,-13689000,6731000,-474000,-279000,-301000,22000,-195000,6257000,-120000,6137000,-412000,5725000,5725000,5725000,5725000,102201000,94536000,61223000,61223000,50449000,40323000,29268000,11055000,254196000,73052000,21386000,1771000,18500000,94438000,348634000,61636000,61636000,3083000,110073000,33235000,26298000,26298000,59533000,169606000,590924000,-402516000,-9380000,179028000,179028000,348634000,5725000,6618000,5963000,-8738000,9568000,-2956000,-2999.99999999907,-2959000,-4804000,2448000,2448000,-2923000,3686000,3686000,68000,3754000,13349000,36318000,2067000,0.32472,0.06524,0.05549,0.03198,0.01642,0.36105,2.30934,0.94737,0.10417,0.11665,0.11088,2.10223,3.6479,0.04212,0.02369,0.00855,-4.93543,-9.788
"39","2020_Q4",7.735625,"Up",102398000,-77994000,24404000,-26726000,-11450000,-15276000,-2322000,-3559000,-242000,-263000,21000,-3317000,-5881000,-228000,-6109000,1206000,-4903000,-4903000,-4903000,-4903000,111286000,83619000,60148000,60148000,46989000,39162000,27507000,11655000,257585000,67729000,20934000,1618000,18201000,88663000,346248000,54822000,54822000,3153000,109024000,31799000,23907000,23907000,55706000,164730000,5.93e+08,-407419000,-4063000,181518000,181518000,346248000,-4903000,10804000,8129000,990000,15020000,-3311000,-20002000,-23313000,-1816000,40000,40000,-2712000,-11005000,-11005000,688000,-10317000,8482000,34952000,4955000,0.23832,-0.02268,-0.04788,-0.02701,-0.01416,-1.01061,2.36264,0.90751,0.10094,-0.09817,-0.09432,2.05026,3.63443,0.09921,-0.0204,0.02061,-8.99953,32.87425
"40","2021_Q1",11.3383606557377,"Up",68193000,-52743000,15450000,-26469000,-11218000,-15251000,-11019000,-3615000,-199000,-240000,41000,-3416000,-14634000,3142000,-11492000,-3000.00000000023,-11495000,-11495000,-11495000,-11495000,122786000,95117000,45232000,45232000,46901000,20662000,20173000,489000,235581000,66765000,21318000,1468000,18735000,88083000,323664000,85592000,43539000,3232000,88824000,30327000,24106000,24106000,54433000,143257000,597586000,-418914000,1735000,180407000,180407000,323664000,-11495000,6552000,4519000,5840000,5416000,-4601000,-2000,-4603000,-1824000,1161000,1161000,-1127000,-314000,-314000,646000,332000,-4467000,33559000,-3225000,0.22656,-0.16159,-0.16857,-0.06372,-0.03552,0.28056,2.65222,0.79408,0.10368,-0.22871,-0.26327,1.3568,3.58947,-0.06417,-0.04828,-0.01355,19.9747,8.09756
"41","2021_Q2",10.5566666666667,"Down",60926000,-47587000,13339000,-24257000,-11159000,-13098000,-10918000,1021000,-122000,-227000,105000,1143000,-9897000,-163000,-10060000,-632000,-10692000,-10692000,-10692000,-10692000,110739000,83068000,39975000,39975000,46373000,15913000,15425000,488000,2.13e+08,60977000,20518000,1280000,18123000,81495000,294495000,70210000,37538000,3026000,73236000,29047000,22554000,22554000,51601000,124837000,599872000,-429606000,-608000,169658000,169658000,294495000,-10692000,6381000,5519000,-10152000,-8944000,-1550000,-2000,-1552000,-818000,1548000,1548000,-1105000,-11601000,-11601000,-449000,-12050000,-4537000,32073000,-15607000,0.21894,-0.1792,-0.17549,-0.06302,-0.03631,1.45969,2.90841,0.73582,0.10891,-0.21082,-0.21082,1.20129,3.34519,-0.30773,-0.04767,-0.06959,17.33877,7.20517
"42","2021_Q3",9.11671875,"Down",65009000,-55134000,9875000,-26170000,-10760000,-15410000,-16295000,-960000,-80000,-220000,140000,-880000,-17255000,14000.0000000005,-17241000,-191000,-17432000,-17432000,-17432000,-17432000,94508000,66836000,47763000,47763000,44341000,14802000,14307000,495000,201414000,59942000,21899000,1139000,19645000,81841000,283255000,72109000,46648000,3033000,75142000,27488000,23233000,23233000,50721000,125863000,603007000,-447038000,1423000,157392000,157392000,283255000,-17432000,6105000,8235000,-9639000,-12731000,-2898000,-1000,-2899000,-1890000,2595000,2595000,-1143000,-16773000,-16773000,548000,-16225000,-10190000,30521000,-22536000,0.1519,-0.25066,-0.26815,-0.11076,-0.06154,1.29279,2.68045,0.79968,0.10775,-0.34371,-0.34371,1.2818,3.10334,-0.44435,-0.08256,-0.10673,6.27939,3.92679
"43","2021_Q4",13.1575,"Up",83742000,-59968000,23774000,-25092000,-11217000,-13875000,-1318000,-70000,-113000,-207000,94000,43000,-1388000,-16000,-1404000,-456000,-1860000,-1860000,-1860000,-1860000,104252000,76578000,57901000,57901000,48663000,19168000,18673000,495000,229984000,57134000,21181000,985000,19081000,78315000,308299000,84286000,59303000,3015000,102123000,26570000,22465000,22465000,49035000,151158000,604859000,-448898000,1180000,157141000,157141000,308299000,-1860000,5734000,5951000,-9767000,58000,-3679000,-2000,-3681000,13991000,803000,803000,13525000,9902000,9902000,-160000,9742000,4416000,29585000,-8574000,0.2839,-0.01574,-0.02221,-0.01184,-0.00603,4.60968,2.25203,0.96193,0.09596,-0.03605,-0.03605,1.62294,3.04543,-0.16617,-0.00888999999999998,-0.04099,-16.9082899999999,56.65175
"44","2022_Q1",15.2296774193548,"Up",80612000,-60012000,20600000,-25970000,-11867000,-14103000,-5370000,-1172000,-245000,-315000,70000,-927000,-6542000,-3764000,-10306000,-429000,-10735000,-10735000,-10735000,-10735000,105508000,77833000,55324000,55324000,52896000,16333000,16246000,86999.9999999999,230061000,54190000,21316000,844000,19357000,75506000,305567000,88133000,58125000,17842000,105975000,25753000,20878000,20878000,46631000,152606000,610218000,-459633000,2376000,152961000,152961000,305567000,-10735000,5325000,4941000,1499000,1030000,-1924000,-1000,-1925000,-1303000,2904000,2904000,1519000,623999.999999996,623999.999999996,223000,847000,-45000,43595000,-41000.0000000019,0.25555,-0.06662,-0.13317,-0.07018,-0.03513,0.00382000000000104,2.1709,0.99768,0.14267,-0.1955,-0.1955,1.46805,2.78562,-0.000749999999999973,-0.04937,-0.00019,1375.84444,11.52942
"45","2022_Q2",15.2674193548387,"Up",89268000,-61979000,27289000,-28578000,-13480000,-15098000,-1289000,111000,-284000,-355000,71000,395000,-1178000,-1553000,-2731000,-572000,-3303000,-3303000,-3303000,-3303000,106721000,79044000,63838000,63838000,59737000,20109000,20022000,87000,250405000,53058000,20771000,839000,18817000,73829000,324234000,94847000,61499000,2722000,97569000,54857000,20297000,20297000,75154000,172723000,613079000,-462936000,1368000,151511000,151511000,324234000,-3303000,4062000,5779000,-17977000,-11439000,-1846000,-2000,-1848000,14281000,351000,351000,14584000,1297000,1297000,-86000,1211000,2773000,57579000,-16478000,0.3057,-0.01444,-0.037,-0.0218,-0.01019,4.9888,2.56644,1.14,0.17758,-0.06244,-0.06244,1.68765,2.86437,-0.31152,-0.0144,-0.07183,-17.7216000000001,38.12413
"46","2022_Q3",15.7795652173913,"Up",95006000,-61935000,33071000,-27706000,-12970000,-14736000,5365000,5460000,-363000,-510000,147000,5823000,10825000,1001000,11826000,-2521000,9305000,9305000,9305000,9305000,104799000,77079000,68460000,68460000,65510000,18965000,18927000,38000,257734000,49191000,19629000,787000,17727000,68820000,326554000,99012000,69685000,2449000,101461000,53899000,18920000,18920000,72819000,174280000,614687000,-453631000,-8782000,152274000,152274000,326554000,9305000,3462000,-4014000,-7391000,1362000,-1327000,373000,-954000,-376000.000000004,254000,254000,-1293000,-885000,-885000,-1129000,-2014000,8827000,56348000,2630000,0.34809,0.05647,0.09794,0.06111,0.02849,0.28264,2.54023,1.14452,0.17255,0.17396,0.16588,1.77621,2.84688,0.0491699999999999,0.04089,0.01156,-5.48895,-9.03094
