"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q3",1.96746031746032,"Down",8460000,-2531000,5929000,-7188000,-5376000,-1812000,-1259000,-84000,-1343000,-1343000,-106000,-1449000,-1449000,-1449000,-1499000,1180000,1180000,7021000,7021000,1047000,1159000,672000,10407000,1738000,8458000,-6720000,13494000,2877000,15232000,25639000,3574000,1934000,1640000,492000,11558000,9388000,15624000,1270000,5599000,284000,6869000,22493000,198115000,45000,198070000,-169000,-196382000,-292000,3146000,3146000,25639000,-1449000,385000,254000,31000,-779000,-170000,-170000,588000,8000.00000000006,8000.00000000006,596000,-353000,-353000,-327000,-874000,1762000,-907000,0.70083,-0.14882,-0.17719,-0.47648,-0.05847,0.60507,0.66609,7.14971,0.06872,-0.336,-0.336,1.8963,0.28512,-0.2033,-0.14267,-0.08632,-0.6659,-0.46227
"32","2018_Q4",1.32968253968254,"Down",8699000,-2304000,6395000,-7309000,-5513000,-1796000,-914000,-178000,-1092000,-1092000,72000.0000000002,-1020000,-1020000,-1020000,-1087000,2129000,2129000,7084000,7084000,917000,1186000,803000,11316000,1995000,8978000,-6983000,12946000,2460000,14941000,26257000,2807000,1390000,1417000,634000,12564000,10325000,16005000,1781000,4943000,240000,6724000,22729000,199520000,49000,199471000,-169000,-197402000,-564000,3528000,3528000,26257000,-1020000,5e+05,266000,-387000,-641000,-419000,-419000,1878000,5e+05,5e+05,2101000,1041000,1041000,949000,-414000,2415000,-1292000,0.73514,-0.10507,-0.12496,-0.30811,-0.0414000000000001,1.18859,0.70703,6.44246,0.09198,-0.23081,-0.23081,1.84711,0.29409,-0.27434,-0.0998499999999999,-0.11868,-0.69082,-0.31291
"33","2019_Q1",1.1116393442623,"Down",8490000,-2396000,6094000,-7185000,-5404000,-1781000,-1091000,-96000,-1187000,-12996000,2979000,-10017000,-10017000,-10017000,-10085000,1189000,1189000,7418000,7418000,1027000,1191000,941000,10825000,1913000,7922000,-6009000,845000,845000,2758000,13583000,3219000,1610000,1609000,841000,12530000,11645000,16590000,1544000,1907000,202000,3451000,20041000,200181000,51000,200130000,-169000,-207419000,-702000,-6458000,-6458000,13583000,-10017000,435000,8992000,1141000,551000,-183000,-183000,-1416000,85999.9999999999,85999.9999999999,-1330000,-962000,-962000,-940000,-656000,2385000,-2677000,0.71779,-0.1285,-1.18787,1.56163,-0.74247,0.26544,0.6525,-3.10328,0.17559,-2.01976,-2.04215,1.70032,-1.62402,-0.53613,4.65605,1.23592,-1.82317,-1.09624
"34","2019_Q2",0.953174603174603,"Down",7502000,-1842000,5660000,-7314000,-5481000,-1833000,-1654000,-146000,-1800000,-1800000,12000,-1788000,-1788000,-1788000,-1841000,1912000,1912000,3706000,3706000,1410000,1627000,858000,8655000,1786000,8080000,-6294000,1052000,1052000,2838000,11493000,2542000,1529000,1013000,1141000,10161000,9009000,13844000,1622000,2356000,186000,3978000,17822000,200855000,53000,200802000,-169000,-207516000,-640000,-6329000,-6329000,11493000,-1788000,319000,173000,1544000,248000,-83000,-83000,603000,0,0,593000,758000.000000001,758000.000000001,723000,-1335000,2763000,114000,0.75447,-0.22047,-0.2454,0.29088,-0.16018,-0.0619199999999999,0.62518,-2.81593,0.24041,-0.36093,-0.36093,1.47078,-1.46451,0.0223500000000001,1.52149,-0.0942099999999999,-0.63745,-0.51451
"35","2019_Q3",1.12,"Up",7997000,-2004000,5993000,-7116000,-5181000,-1935000,-1123000,-238000,-1361000,-1361000,-125000,-1486000,-1486000,-1486000,-1531000,1182000,1182000,6092000,6092000,1641000,1685000,968000,10600000,1736000,8269000,-6533000,988000,988000,2724000,13324000,3427000,1832000,1595000,975000,8752000,8301000,13154000,4755000,2513000,174000,7268000,20422000,201543000,53000,201490000,-169000,-209002000,-657000,-7098000,-7098000,13324000,-1486000,294000,65000,-2372000,-3499000,-139000,-139000,2992000,4999.99999999997,4999.99999999997,2897000,-741000,-741000,-730000,-829000,5730000,-3215000,0.74941,-0.14043,-0.19145,0.21569,-0.11491,2.09993,0.80584,-2.87715,0.43005,-0.29004,-0.29004,1.51501,-1.56957,-0.60907,-1.33712,-2.80786,-5.48613,-4.04987
"36","2019_Q4",1.1665625,"Up",10068000,-2681000,7387000,-7243000,-5394000,-1849000,144000,-339000,-195000,-195000,36000,-159000,-159000,-159000,-183000,3387000,3387000,6890000,6890000,955000,1536000,829000,12768000,1597000,8379000,-6782000,751000,751000,2348000,15116000,3007000,1283000,1724000,937000,9350000,8887000,13294000,5579000,2322000,165000,7901000,21195000,203819000,67000,203752000,-169000,-209161000,-568000,-6079000,-6079000,15116000,-159000,305000,238000,389000,773000,-151000,-151000,692000,859000,859000,1551000,2173000,2173000,2205000,449000,6516000,651000,0.73371,0.0143,-0.01818,0.0301,-0.01211,-3.55738,0.96043,-3.48659,0.43107,-0.02948,-0.0294799999999999,1.62183,-0.97925,0.10487,-0.0663299999999998,0.23596,6.96882,21.72917
"37","2020_Q1",1.94532258064516,"Up",9214000,-2753000,6461000,-6336000,-4600000,-1736000,125000,-291000,-166000,-166000,-13000,-179000,-179000,-179000,-179000,4295000,4295000,6532000,6532000,558000,1599000,972000,12984000,1568000,7964000,-6396000,628000,628000,2196000,15180000,3059000,843000,2216000,1162000,9610000,9610000,13831000,5608000,1994000,143000,7602000,21433000,203802000,67000,203735000,-169000,-209340000,-546000,-6253000,-6253000,15180000,-179000,359000,322000,1240000,1742000,-60000,-60000,-769000,9000.00000000012,9000.00000000012,-760000,922000,922000,908000,484000,6770000,1677000,0.70122,0.01357,-0.01943,0.02863,-0.01179,-9.36872,0.93876,-3.42763,0.44598,-0.02653,-0.02653,1.3658,-0.92689,0.24858,-0.07129,0.66786,5.11364,19.8
"38","2020_Q2",4.50206349206349,"Up",8015000,-2179000,5836000,-6427000,-4837000,-1590000,-591000,-248000,-839000,-839000,19000,-820000,-820000,-820000,-820000,3511000,3511000,5381000,5381000,908000,1285000,766000,11085000,1437000,8065000,-6628000,2860000,2860000,4297000,15382000,2894000,1348000,1546000,2711000,8663000,8663000,14268000,6280000,1863000,136000,8143000,22411000,203854000,67000,203787000,-169000,-210160000,-554000,-7029000,-7029000,15382000,-820000,321000,186000,-105000,-418000,-59000,-59000,-320000,-263212.321958154,-263212.321958154,-320000,-797000,-797000,-784000,-270000,8991000,-453000,0.72813,-0.07374,-0.10231,0.11666,-0.05331,0.552439999999999,0.77691,-3.18836,0.58451,-0.12172,-0.12172,1.18976,-1.0434,-0.06724,-0.21438,-0.11843,-20.2963,-9.27242
"39","2020_Q3",4.2346875,"Down",8666000,-2405000,6261000,-5732000,-4233000,-1499000,529000,-276000,253000,253000,-158000,95000,95000,95000,95000,4586000,4586000,6344000,6344000,602000,1255000,910000,12787000,2073000,8911000,-6838000,2617000,2617000,4690000,17477000,3643000,1994000,1649000,3230000,9453000,9453000,16326000,5713000,2269000,142000,7982000,24308000,203952000,68000,203884000,-169000,-210065000,-549000,-6831000,-6831000,17477000,95000,262000,3e+05,441000,1098000,-59000,-59000,41000,1000,1000,42000,1081000,1081000,1075000,791000,8943000,1331000,0.72248,0.06104,0.01096,-0.01391,0.00544,14.01053,0.78323,-3.55848,0.5117,0.014,0.014,1.27725,-1.00679,0.19617,0.02168,0.30381,5.50822,8.23629
"40","2020_Q4",3.22546875,"Down",7918000,-2170000,5748000,-5521000,-4010000,-1511000,227000,-247000,-19999.9999999999,-20000.0000000001,127000,107000,107000,107000,107000,6442000,6442000,5438000,5438000,544000,1612000,1111000,14036000,2036000,9092000,-7056000,2850000,2850000,4886000,18922000,2666000,1544000,1122000,2756000,9558000,9558000,14980000,3584000,2026000,141000,5610000,20590000,208993000,79000,208914000,-169000,-209958000,-534000,-1668000,-1668000,18922000,107000,265000,264000,-154000,482000,-565000,-565000,1911000,19000,19000,1930000,1847000,1847000,1856000,492000,6340000,-354000,0.72594,0.02867,0.01351,-0.06415,0.00565,-3.30841,0.93698,-12.34412,0.33506,0.01446,0.01446,1.0704,-0.22549,-0.04786,0.01597,-0.0528499999999999,-0.207320000000001,-0.449340000000003
"41","2021_Q1",4.38016393442623,"Up",10154000,-2880000,7274000,-6703000,-5e+06,-1703000,571000,4000,575000,575000,-136000,439000,439000,439000,439000,7619000,7619000,6250000,6250000,1167000,1780000,1065000,16816000,3159000,10454000,-7295000,2578000,2578000,5813000,22629000,5254000,2689000,2565000,2648000,10678000,10678000,18580000,4887000,210000,144000,5097000,23677000,209102000,80000,209022000,-169000,-209519000,-462000,-1048000,-1048000,22629000,439000,272000,104000,1364000,2179000,-1053000,-1053000,-35000,53000,53000,18000,1144000,1144000,1177000,843000,7535000,1290000,0.71637,0.05623,0.04323,-0.41889,0.0194,2.9385,0.90506,-22.59256,0.33298,0.05525,0.05525,1.27791,-0.13189,0.16235,0.06555,0.19262,-0.09964,-0.14711
"42","2021_Q2",4.20984126984127,"Down",9165000,-2411000,6754000,-5949000,-4208000,-1741000,805000,-18000,787000,787000,-155000,632000,632000,632000,632000,5845000,5845000,5260000,5260000,1214000,1638000,1048000,13957000,3197000,10793000,-7596000,2398000,2398000,5673000,19630000,3265000,891000,2374000,2620000,9053000,9053000,14938000,4528000,231000,160000,4759000,19697000,209363000,80000,209283000,-169000,-208887000,-374000,-66999.9999999998,-66999.9999999998,19630000,632000,268000,165000,-2333000,-1268000,-287000,-287000,-409000,142000,142000,-267000,-1822000,-1822000,-1774000,1073000,7148000,-1392000,0.73693,0.08783,0.06896,-9.43284,0.0322,-2.20253,0.93433,-293.98507,0.36414,0.07936,0.07582,1.15084,-0.00841,-0.17479,0.08643,-0.19037,1.21435,1.61863
"43","2021_Q3",4.073125,"Down",8711000,-2575000,6136000,-5681000,-3950000,-1731000,455000,-61000,394000,394000,-137000,257000,257000,257000,257000,5425000,5425000,5109000,5109000,1090000,1601000,1083000,13225000,3035000,10795000,-7760000,1941000,1941000,5048000,18273000,3531000,1077000,2454000,2306000,7813000,7813000,13650000,4168000,239000,154000,4407000,18057000,209604000,81000,209523000,-169000,-208630000,-589000,216000,216000,18273000,257000,271000,178000,-708000,-2000,-161000,-161000,-285000,77000,77000,-208000,-371000,-371000,-420000,726000,6474000,-6000,0.7044,0.05223,0.0295,1.18981,0.01406,-0.02335,0.96886,83.59722,0.35429,0.03197,0.03,1.0835,0.02687,-0.00075,0.03709,-0.00087,1.4449,2.30549
"44","2021_Q4",3.5021875,"Down",8661000,-2622000,6039000,-5846000,-3963000,-1883000,193000,29000,222000,2547000,99000,2646000,2646000,2646000,2646000,5445000,5445000,5448000,5448000,449000,1378000,930000,12720000,2973000,11039000,-8066000,3691000,3691000,6853000,19573000,3111000,724000,2387000,1233000,7947000,7947000,12291000,4149000,94000,31000,4243000,16534000,209774000,81000,209693000,-169000,-205984000,-582000,3039000,3039000,19573000,2646000,276000,-2250000,-199000,473000,-171000,-171000,-339000,38000,38000,-301000,999.999999999534,999.999999999534,20000,469000,5382000,0,0.69726,0.02228,0.30551,0.870680000000001,0.13519,6.48786580015326e-16,1.0349,5.44060999999999,0.27497,0.3282,0.30988,1.07428,0.37695,6.50521303491303e-19,0.31075,6.51605505663788e-17,-0.134329999999999,-0.32642
"45","2022_Q1",3.24967741935484,"Down",8630000,-2686000,5944000,-6590000,-4719000,-1871000,-646000,10000,-636000,-636000,178000,-458000,-458000,-458000,-458000,9989000,9989000,5167000,5167000,442000,1807000,1153000,17405000,2798000,11166000,-8368000,3322000,3274000,6610000,24015000,3594000,1072000,2522000,1009000,9413000,9413000,14016000,3779000,80000,27000,3859000,17875000,213369000,85546.6751506585,211478373.83853,-169000,-206442000,-618000,6140000,6140000,24015000,-458000,497000,172000,1832000,2043000,-863000,-863000,-22000,3453000,3453000,3431000,4611000,4611000,4544000,-149000,4788000,642000,0.68876,-0.07486,-0.05307,-0.07459,-0.01907,-1.40175,1.2418,2.91124,0.19938,-0.05709,-0.054,1.07581,0.76541,0.08003,-0.04161,0.05832,34.90604,8.05108
"46","2022_Q2",2.03806451612903,"Down",7253000,-2105000,5148000,-6663000,-4889000,-1774000,-1515000,-14000,-1529000,-1529000,1000,-1528000,-1528000,-1528000,-1528000,6521000,6521000,5303000,5303000,717000,1776000,1168000,14317000,3098000,11472000,-8374000,3991000,3991000,7525000,21842000,3464000,1444000,2020000,1188000,8352000,8352000,13004000,3830000,144000,118000,3974000,16978000,213648000,91000,213557000,-169000,-207970000,-645000,4864000,4864000,21842000,-1528000,252000,306000,-1596000,-2566000,-616000,-944000,-23000,58000,58000,35000,-3475000,-3475000,-3468000,-1263000,5018000,-3476000,0.70978,-0.20888,-0.21067,-0.31414,-0.06996,2.27487,1.10097,3.49054,0.22974,-0.18896,-0.17067,0.89695,0.60151,-0.42986,-0.1524,-0.3467,1.19001999999999,0.992079999999998
"47","2022_Q3",1.544375,"Down",7243000,-2079000,5164000,-6419000,-4501000,-1918000,-1255000,-27000,-1282000,-1282000,-54000,-1336000,-1336000,-1336000,-1336000,4411000,4411000,4434000,4434000,1125000,1725000,1160000,11695000,3300000,11897000,-8597000,3813000,3813000,7489000,19184000,3799000,2043000,1756000,1169000,6973000,6973000,11941000,3476000,134000,111000,3610000,15551000,213903000,91000,213812000,-169000,-209306000,-795000,3633000,3633000,19184000,-1336000,282000,172000,-45000,-927000,-401000,-1027000,-20000,67000,67000,47000,-1907000,-1907000,-2110000,-973000,4645000,-1365000,0.71296,-0.17327,-0.18445,-0.36774,-0.06964,1.02171,0.9794,4.28048,0.24213,-0.16522,-0.14923,0.89571,0.44928,-0.1688,-0.15882,-0.16227,-0.24049,-0.18645
