"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",4.40714285714286,"Up",2.15e+09,1.108e+09,8.05e+08,2.37e+08,2.17e+08,2e+07,-1.835e+09,-3.63e+08,-4.8e+07,-7.7e+07,-7.7e+07,-1.25e+08,-1.25e+08,-2.22e+08,-3.47e+08,-3.32e+08,-4.8e+07,-3.8e+08,-3.8e+08,7.526e+10,3.078e+09,3.982e+09,2.6532e+10,1.08852e+11,7.5605e+10,4.194e+09,1.0765e+10,9.2103e+10,1.196e+10,-2.7e+09,4.09e+08,5.202e+09,1.4871e+10,1.878e+09,1.6749e+10,1.08852e+11,-3.47e+08,9.4e+07,-1.1e+08,1.095e+09,7.32e+08,-6.24e+08,-1.42e+08,-7.66e+08,0,-2.89e+08,-3.51e+08,-3.85e+08,-3.85e+08,6e+06,-3.79e+08,4.6e+07,4.194e+09,-0.02233,-0.17674,-0.02269,-0.00349,5.49901,0.03853,-0.76259,-0.76259,4.31467,29.84347,-0.00296,24.26087,-23.25
"28","2017_Q1",3.85032258064516,"Down",2.198e+09,1.131e+09,7.86e+08,2.81e+08,2.4e+08,4.1e+07,-1.703e+09,-4.76e+08,1.9e+07,-7.5e+07,-7.5e+07,-5.6e+07,-5.6e+07,-3e+06,-5.9e+07,-63000000.0000001,-5.9e+07,-1.22e+08,-1.22e+08,7.1569e+10,2.784e+09,3.571e+09,2.6734e+10,1.04658e+11,7.5359e+10,4.18e+09,1.0215e+10,9.0191e+10,1.1963e+10,-2.7e+09,2.87e+08,3.094e+09,1.2644e+10,1.823e+09,1.4467e+10,1.04658e+11,-5.9e+07,1.93e+08,-3.22e+08,2.62e+08,7.4e+07,1.82e+08,-2.52e+08,-7e+07,-19999999.9999999,-2.2e+08,-2.52e+08,-2.48e+08,-2.48e+08,-4.6e+07,-2.94e+08,2.12e+08,4.18e+09,0.00864,-0.05551,-0.00843,-0.00117,6.23426,0.03994,-0.24478,-0.24641,4.41011,25.36918,-0.00106,6.58491000000001,73.47368
"29","2017_Q2",3.79079365079365,"Down",2.171e+09,1.136e+09,7.9e+08,2.45e+08,2.11e+08,3.4e+07,-1.413e+09,-3.64e+08,3.94e+08,-6.2e+07,-6.2e+07,3.32e+08,3.32e+08,-1.16e+08,2.16e+08,2.16e+08,-6.1e+07,1.55e+08,1.55e+08,7.1652e+10,3.018e+09,3.207e+09,2.6809e+10,1.04686e+11,7.5339e+10,4.194e+09,9.984e+09,8.997e+10,1.1965e+10,-2.7e+09,4.51e+08,3.096e+09,1.2812e+10,1.904e+09,1.4716e+10,1.04686e+11,2.16e+08,9.4e+07,-1.69e+08,5.14e+08,6.55e+08,6.89e+08,-8.31e+08,-1.42e+08,0,-2.65e+08,-3.04e+08,2.09e+08,2.09e+08,2.5e+07,2.34e+08,4.88e+08,4.194e+09,0.18148,0.0714,0.01053,0.00148,6.11375,0.04006,0.31087,0.30938,4.35419,25.69595,0.00186,2.40984,2.98477
"30","2017_Q3",3.56873015873016,"Down",2.223e+09,1.111e+09,8.01e+08,3.11e+08,2.1e+08,1.01e+08,-1.369e+09,-3.79e+08,4.75e+08,-7.4e+07,-7.4e+07,4.01e+08,4.01e+08,-1.3e+08,2.71e+08,2.71e+08,-6.9e+07,2.02e+08,2.02e+08,7.3236e+10,2.853e+09,2.378e+09,2.6549e+10,1.05016e+11,7.5382e+10,4.205e+09,9.898e+09,9.002e+10,1.197e+10,-2.7e+09,6.53e+08,3.095e+09,1.3018e+10,1.978e+09,1.4996e+10,1.05016e+11,2.71e+08,1.39e+08,-2.67e+08,5.1e+08,6.53e+08,-1.7e+08,-2.11e+08,-3.81e+08,-3.72529029846191e-09,-4.38e+08,-4.51e+08,-1.79e+08,-1.79e+08,1.4e+07,-1.65e+08,6.14e+08,4.205e+09,0.21368,0.09087,0.01347,0.00192,6.00293,0.04004,0.40481,0.40303,4.45491,26.08818,0.00206,2.20195,2.84632000000001
"31","2017_Q4",3.45714285714286,"Down",2.215e+09,1.135e+09,7.97e+08,2.83e+08,1.98e+08,8.5e+07,-1.508e+09,-3.48e+08,3.59e+08,-7.3e+07,-7.3e+07,2.86e+08,2.86e+08,-1.02e+08,1.84e+08,1.75e+08,-6.8e+07,1.07e+08,1.07e+08,7.3104e+10,2.836e+09,2.342e+09,2.6347e+10,1.04629e+11,7.5449e+10,4.224e+09,9.266e+09,8.9542e+10,1.1974e+10,-2.7e+09,7.6e+08,3.035e+09,1.3069e+10,2.018e+09,1.5087e+10,1.04629e+11,1.84e+08,8.3e+07,-2.29e+08,5.86e+08,6.24e+08,-1.09e+08,-4.6e+07,-1.55e+08,0,-4.75e+08,-5.15e+08,-4.6e+07,-4.6e+07,2.9e+07,-1.7e+07,4.42e+08,4.224e+09,0.16208,0.04831,0.00709,0.00102,5.93504,0.04037,0.21439,0.2134,4.43799,26.18513,0.00141,3.14027,3.8663
"32","2018_Q1",3.00475409836066,"Down",1.686e+09,6.22e+08,8.12e+08,2.52e+08,2.07e+08,4.5e+07,-1.535e+09,-3.66e+08,-2.15e+08,-7.5e+07,-7.5e+07,-2.9e+08,-2.9e+08,5.55e+08,2.65e+08,2.65e+08,8.8e+07,3.53e+08,3.53e+08,7.3392e+10,2.875e+09,2.329e+09,2.6701e+10,1.05297e+11,7.6228e+10,4.224e+09,9.14e+09,8.9969e+10,1.1978e+10,-2.7e+09,1.113e+09,3.027e+09,1.3418e+10,1.91e+09,1.5328e+10,1.05297e+11,2.65e+08,1.19e+08,-8.74e+08,1.112e+09,6.22e+08,2.73e+08,-3.54e+08,-8.1e+07,2.98023223876953e-08,-4.83e+08,-4.98e+08,4.3e+07,4.3e+07,-4e+06,3.9e+07,-9.6e+07,4.224e+09,-0.12752,0.20937,0.02303,0.00335,5.86959,0.04012,0.70699,0.70319,3.37673,26.87362,0.00351,-14.05208,-6.27442
"33","2018_Q2",3.44796875,"Up",2.115e+09,1.14e+09,8.04e+08,1.71e+08,2.02e+08,-3.1e+07,-1.467e+09,-3.44e+08,3.04e+08,-7.6e+07,-7.6e+07,2.28e+08,2.28e+08,-6.3e+07,1.65e+08,1.65e+08,-5.3e+07,1.12e+08,1.12e+08,7.1777e+10,2.843e+09,2.699e+09,2.6454e+10,1.03773e+11,7.5145e+10,4.654e+09,8.743e+09,8.8911e+10,1.198e+10,-2.7e+09,1.111e+09,2.627e+09,1.3018e+10,1.844e+09,1.4862e+10,1.03773e+11,1.65e+08,1.04e+08,-1.57e+08,-3e+06,1.09e+08,-8.2e+07,-8.5e+07,-1.67e+08,4.41e+08,-3.58e+08,4.7e+07,-1.1e+07,-1.1e+07,-2.1e+07,-3.2e+07,4.08e+08,4.654e+09,0.14374,0.05296,0.00754,0.00108,5.98244,0.04485,0.22418,0.2228,4.23339,26.05685,0.00143,4.43873,5.95724
"34","2018_Q3",4.51730158730159,"Up",2.159e+09,1.136e+09,8.28e+08,1.95e+08,2.09e+08,-1.4e+07,-1.357e+09,-3.65e+08,4.37e+08,-7.7e+07,-7.7e+07,3.6e+08,3.6e+08,-1.11e+08,2.49e+08,2.49e+08,-5.9e+07,1.9e+08,1.9e+08,7.0882e+10,2.243e+09,3.086e+09,2.6266e+10,1.02477e+11,7.4613e+10,4.047e+09,8.715e+09,8.7736e+10,1.1982e+10,-2.7e+09,1.301e+09,2.327e+09,1.291e+10,1.831e+09,1.4741e+10,1.02477e+11,2.49e+08,1.12e+08,-1.6e+08,2.51e+08,4.52e+08,2.49e+08,-2.8e+08,-3.1e+07,-5.97e+08,-3.79e+08,-9.9e+08,-5.69e+08,-5.69e+08,-3.1e+07,-6e+08,5.49e+08,4.047e+09,0.20241,0.088,0.01289,0.00185,5.95184,0.03949,0.37954,0.37811,4.31282,25.78905,0.002,3.28597,4.12815
"35","2018_Q4",4.31650793650794,"Down",2.143e+09,1.122e+09,8.15e+08,2.06e+08,1.93e+08,1.3e+07,-1.472e+09,-3.26e+08,3.45e+08,-7.2e+07,-7.2e+07,2.73e+08,2.73e+08,-6.3e+07,2.1e+08,2.1e+08,-6.4e+07,1.46e+08,1.46e+08,7.0055e+10,2.505e+09,3.336e+09,2.6225e+10,1.02121e+11,7.4523e+10,4.051e+09,8.575e+09,8.75e+10,1.1984e+10,-2.7e+09,1.447e+09,2.067e+09,1.2798e+10,1.823e+09,1.4621e+10,1.02121e+11,2.1e+08,8.3e+07,-1.94e+08,3.13e+08,4.12e+08,2.52e+08,1.5e+07,2.67e+08,-1e+06,-3.73e+08,-4.07e+08,2.72e+08,2.72e+08,-1e+07,2.62e+08,4.28e+08,4.051e+09,0.16099,0.06813,0.00999,0.00143,5.98454,0.03967,0.29159,0.28997,4.28001,25.56022,0.00176,3.61215,4.48116
"36","2019_Q1",4.38049180327869,"Up",1.484e+09,5.96e+08,6.74e+08,2.14e+08,1.91e+08,2.3e+07,-1.921e+09,-2.56e+08,-6.93e+08,-3.1e+07,-3.1e+07,-7.24e+08,-7.24e+08,1.67e+08,-5.57e+08,-3.27e+08,-2e+06,-3.29e+08,-3.29e+08,7.0114e+10,2.177e+09,3.263e+09,2.5369e+10,1.00923e+11,7.4833e+10,4.025e+09,7.541e+09,8.6734e+10,1.1988e+10,-2.7e+09,1.118e+09,2.044e+09,1.245e+10,1.739e+09,1.4189e+10,1.00923e+11,-5.57e+08,-2.99e+08,-3.64e+08,1.88e+09,6.6e+08,-4.67e+08,-2.24e+08,-6.91e+08,-1999999.99999988,-2.03e+08,-2.71e+08,-3.02e+08,-3.02e+08,-2.6e+07,-3.28e+08,-9.92e+08,4.025e+09,-0.46698,-0.2217,-0.02319,-0.00326,6.11276,0.03988,-0.65708,-0.64751,2.96385,24.86519,-0.0037,-1.8629,-2.66667
"37","2019_Q2",3.54396825396825,"Down",2.204e+09,1.114e+09,8.29e+08,2.61e+08,1.87e+08,7.4e+07,-1.448e+09,-3.42e+08,4.14e+08,-7.2e+07,-7.2e+07,3.42e+08,3.42e+08,-1.12e+08,2.3e+08,2.3e+08,-5.6e+07,1.74e+08,1.74e+08,7.2185e+10,2.221e+09,2.219e+09,2.5563e+10,1.02188e+11,7.5038e+10,3931450058.18147,7.892e+09,8.7306e+10,1.199e+10,-2.7e+09,1.292e+09,2.492e+09,1.3074e+10,1.808e+09,1.4882e+10,1.02188e+11,2.3e+08,9.1e+07,-2.2e+08,3.3e+07,1.34e+08,6.15e+08,-3.38e+08,2.77e+08,-90092324.2891434,-3.47e+08,-3.75e+08,3.6e+07,3.6e+07,8e+06,4.4e+07,5.05e+08,4.035e+09,0.18784,0.07895,0.01169,0.0017,5.86655,0.03949,0.34717,0.34212,4.39745,26.0854,0.00198,3.59208,4.38164
"38","2019_Q3",4.170625,"Up",2.156e+09,1.126e+09,8.52e+08,1.78e+08,2.23e+08,-4.5e+07,-1.416e+09,-3.42e+08,3.98e+08,-7.3e+07,-7.3e+07,3.25e+08,3.25e+08,-1.07e+08,2.18e+08,2.18e+08,-5e+07,1.68e+08,1.68e+08,7.5048e+10,1.938e+09,2.105e+09,2.5215e+10,1.04306e+11,7.6421e+10,3807944704.69231,7.91e+09,8.8714e+10,1.1984e+10,-2.7e+09,1.46e+09,3.013e+09,1.3757e+10,1.835e+09,1.5592e+10,1.04306e+11,2.18e+08,9.5e+07,-9.4e+07,4.42e+08,6.61e+08,-2.23e+08,-4.05e+08,-6.28e+08,-1000000.00000006,-2.94e+08,-3.2e+08,-2.87e+08,-2.87e+08,4e+06,-2.83e+08,4.93e+08,4.044e+09,0.1846,0.07792,0.01077,0.00161,5.68971,0.03877,0.33373,0.33019,4.28288,27.32817,0.00186,4.27181,5.29146
"39","2019_Q4",4.204375,"Up",1.698e+09,7.64e+08,7.45e+08,1.89e+08,1.91e+08,-2e+06,-1.392e+09,-3.06e+08,0,-3.4e+07,-3.4e+07,-3.4e+07,-3.4e+07,5e+07,1.6e+07,5.8e+07,-4e+07,1.8e+07,1.8e+07,7.2267e+10,1.629e+09,1.881e+09,2.9876e+10,1.05653e+11,7.5739e+10,3605966998.85699,7.45e+09,8.9508e+10,1.1987e+10,-2.7e+09,1.478e+09,3.622e+09,1.4387e+10,1.758e+09,1.6145e+10,1.05653e+11,1.6e+07,9.1e+07,2.18e+08,4.88e+08,8.13e+08,-6e+07,-1.37e+08,-1.97e+08,-2e+06,-4.67e+08,-5.47e+08,6.9e+07,6.9e+07,-1.6e+07,5.3e+07,9.1e+07,3.706e+09,0,0.0106,0.00111,0.00017,5.54401,0.03508,0.03575,0.03522,3.37239,28.57398,0.00019,22.82418,11.3932417369866
"40","2020_Q1",4.14661290322581,"Down",1.647e+09,7.21e+08,7.38e+08,1.88e+08,1.88e+08,0,-1.38e+09,-3.27e+08,-6e+07,-5.2e+07,-5.2e+07,-1.12e+08,-1.12e+08,3e+07,-8.2e+07,2.4e+07,-4.1e+07,-1.7e+07,-1.7e+07,7.1231e+10,3.341e+09,1.836e+09,2.4934e+10,1.01342e+11,7.5452e+10,3.277e+09,7.494e+09,8.671e+10,1.1991e+10,-2.7e+09,1.461e+09,3.433e+09,1.4185e+10,4.47e+08,1.4632e+10,1.01342e+11,-8.2e+07,1.31e+08,-7.15e+08,5.94e+08,4.71e+08,8.5e+07,1.764e+09,1.849e+09,-4.43e+08,-4.22e+08,-9.75e+08,1.345e+09,1.345e+09,5e+06,1.35e+09,7.1e+07,3.277e+09,-0.03643,-0.01032,-0.00116,-0.00017,5.92605,0.03234,-0.03376,-0.03331,3.2711,28.17279,-0.00071,-0.901409999999998,1.06667
"41","2020_Q2",3.14714285714286,"Down",1.809e+09,9.46e+08,7.82e+08,8.1e+07,1.8e+08,-9.9e+07,-1.478e+09,-3.45e+08,-1.4e+07,-5.1e+07,-5.1e+07,-6.5e+07,-6.5e+07,5e+06,-6e+07,-7.2e+07,6e+06,-6.6e+07,-6.6e+07,7.0671e+10,2.483e+09,1.898e+09,2.3792e+10,9.8844e+10,7.4506e+10,2.851e+09,6.653e+09,8.401e+10,1.1994e+10,-2.7e+09,1.34e+09,3.815e+09,1.4449e+10,3.85e+08,1.4834e+10,9.8844e+10,-6e+07,1.08e+08,2.92e+08,3.4e+08,6.8e+08,-5.32e+08,-1.9e+07,-5.51e+08,-4.2e+08,-5.28e+08,-9.57e+08,-8.28e+08,-8.28e+08,-3e+07,-8.58e+08,9.4e+07,2.851e+09,-0.00774,-0.03648,-0.00445,-0.00067,5.66334,0.02884,-0.13087,-0.13087,3.58715,28.6516,-0.00067,3.91489,-26.28571
"42","2020_Q3",2.66515625,"Down",2.003e+09,9.57e+08,7.79e+08,2.67e+08,1.74e+08,9.3e+07,-1.586e+09,-2.97e+08,1.2e+08,-4.2e+07,-4.2e+07,7.8e+07,7.8e+07,-2.3e+07,5.5e+07,-4.18e+08,-2.3e+07,-4.41e+08,-4.41e+08,7.5322e+10,2.597e+09,1.718e+09,2.4e+10,1.03637e+11,7.7468e+10,2.817e+09,7.611e+09,8.8549e+10,1.1997e+10,-2.7e+09,8.99e+08,4.447e+09,1.4643e+10,4.45e+08,1.5088e+10,1.03637e+11,5.5e+07,8.7e+07,-4.3e+08,9.07e+08,6.19e+08,-1.82e+08,-1.54e+08,-3.36e+08,-5.1e+07,-1.36e+08,-1.87e+08,9.6e+07,9.6e+07,1.8e+07,1.14e+08,2.07e+08,2.817e+09,0.05991,-0.22017,-0.02923,-0.00426,5.86884,0.02718,-0.87275,-0.85152,3.96398,28.97882,-0.00428,1.0628,1.83333
"43","2020_Q4",4.11015625,"Up",2.318e+09,9.63e+08,8.2e+08,5.35e+08,1.84e+08,3.51e+08,-1.41e+09,-3.29e+08,5.79e+08,-4.7e+07,-4.7e+07,5.32e+08,5.32e+08,-1.3e+08,4.02e+08,4.36e+08,-1.8e+07,4.18e+08,4.18e+08,7.648e+10,2.78e+09,1.623e+09,2.4042e+10,1.04925e+11,7.7945e+10,3.57e+09,7.613e+09,8.9693e+10,1.1998e+10,-2.7e+09,1.317e+09,4.141e+09,1.4756e+10,4.76e+08,1.5232e+10,1.04925e+11,4.02e+08,9.4e+07,-5.53e+08,3.62e+08,1.53e+08,-2.88e+08,-1.04e+08,-3.92e+08,7.2e+08,-3.35e+08,4.1e+08,1.71e+08,1.71e+08,1.2e+07,1.83e+08,6.73e+08,3.57e+09,0.24978,0.18033,0.02744,0.00398,5.88846,0.03402,0.82658,0.81736,4.58375,29.17936,0.00401,1.17385,1.36442
"44","2021_Q1",3.29180327868852,"Down",2.154e+09,9.7e+08,8.46e+08,3.38e+08,1.91e+08,1.47e+08,-1.289e+09,-4.27e+08,4.38e+08,-5.5e+07,-5.5e+07,3.83e+08,3.83e+08,-8.2e+07,3.01e+08,2.66e+08,1e+06,2.67e+08,2.67e+08,7.4701e+10,2.561e+09,1.487e+09,2.6998e+10,1.05747e+11,7.8829e+10,3.403e+09,7.695e+09,8.9927e+10,1.2009e+10,-2.7e+09,1.584e+09,4.425e+09,1.5318e+10,5.02e+08,1.582e+10,1.05747e+11,3.01e+08,1.74e+08,-4.52e+08,3.52e+08,5.08e+08,-4.9e+07,1.75e+08,1.26e+08,-1000000.00000012,-7.38e+08,-7.73e+08,-1.39e+08,-1.39e+08,1.5e+07,-1.24e+08,6.12e+08,3.403e+09,0.20334,0.12396,0.01688,0.00252,5.68439,0.03218,0.52819,0.52067,4.26113,30.30267,0.00252,1.37582,1.92237
"45","2021_Q2",3.99126984126984,"Up",1.985e+09,9.68e+08,8.01e+08,2.16e+08,1.83e+08,3.3e+07,-1.349e+09,-3.52e+08,2.84e+08,-5.1e+07,-5.1e+07,2.33e+08,2.33e+08,-5.9e+07,1.74e+08,1.95e+08,-8e+06,1.87e+08,1.87e+08,7.0959e+10,1.964e+09,1.247e+09,2.4388e+10,9.8558e+10,7.2776e+10,2.922e+09,7.742e+09,8.38e+10,1.2012e+10,-2.7e+09,1.771e+09,3.675e+09,1.4758e+10,592290612.763149,1.4758e+10,9.8558e+10,1.74e+08,7.7e+07,-2.69e+08,-5.5e+07,-2.47e+08,1.89e+08,1.46e+08,3.35e+08,-4.7e+08,-3.1e+08,-7.8e+08,-6.92e+08,-6.92e+08,10746098.7018984,-6.92e+08,3.61e+08,2.922e+09,0.14307,0.09421,0.01267,0.0019,5.67828,0.02965,0.36957,0.36395,3.92292,29.16601,0.0019,2.65374,3.37324
"46","2021_Q3",3.5628125,"Down",2.041e+09,9.47e+08,8.44e+08,2.5e+08,1.8e+08,7e+07,-1.288e+09,-3.9e+08,3.63e+08,-4.3e+07,-4.3e+07,3.2e+08,3.2e+08,-7.5e+07,2.45e+08,2.4e+08,0,2.4e+08,2.4e+08,7.3018e+10,2.214e+09,1.212e+09,2.4206e+10,1.0065e+11,7.435e+10,2.924e+09,8.212e+09,8.5486e+10,1.2019e+10,-2.7e+09,2.011e+09,3.834e+09,1.5164e+10,709424172.913677,1.5164e+10,1.0065e+11,2.45e+08,8.6e+07,-2.66e+08,4.29e+08,4.76e+08,3.93e+08,-1.87e+08,2.06e+08,-14000000.0000001,-4.19e+08,-4.33e+08,2.49e+08,2.49e+08,1e+06,2.5e+08,4.49e+08,2.924e+09,0.17785,0.11759,0.01583,0.00238,5.63743,0.02905,0.47431,0.46711,4.0336,29.96838,0.00238,1.58129,1.95592
"47","2021_Q4",4.1559375,"Up",2.07e+09,9.44e+08,8.59e+08,2.67e+08,1.79e+08,8.8e+07,-1.301e+09,-3.96e+08,3.73e+08,-61689538.2223722,-61689538.2223722,3.73e+08,3.73e+08,-6.7e+07,3.06e+08,3.18e+08,-4e+06,3.14e+08,3.14e+08,7.2718e+10,1.937e+09,1.193e+09,2.4027e+10,9.9875e+10,7.3829e+10,2.412e+09,7.582e+09,8.3823e+10,1.1851e+10,-2.7e+09,2.325e+09,3.8e+09,1.5276e+10,7.76e+08,1.6052e+10,9.9875e+10,3.06e+08,1.06e+08,-2.9e+08,2.35e+08,6.1e+07,5.7e+07,-1.29e+08,-7.2e+07,-5.19e+08,2.54e+08,-2.65e+08,-2.76e+08,-2.76e+08,-1e+06,-2.77e+08,4.79e+08,2.412e+09,0.18019,0.15169,0.01956,0.00314,5.22197,0.02415,0.61884,0.61066,4.07962,30.10642,0.00314,0.99165,1.27346
"48","2022_Q1",4.01306451612903,"Down",1.736e+09,5.76e+08,8.66e+08,2.94e+08,1.62e+08,1.32e+08,-9.53e+08,-4.62e+08,3.21e+08,-6.6e+07,-6.6e+07,2.55e+08,2.55e+08,-6.2e+07,1.93e+08,1.92e+08,-2.9e+07,1.63e+08,1.63e+08,7.2278e+10,1.572e+09,1.146e+09,2.4176e+10,9.9172e+10,7.3429e+10,1.899e+09,7.577e+09,8.2905e+10,1.1858e+10,-2.7e+09,2.49e+09,3.861e+09,1.5509e+10,7.56e+08,1.6265e+10,9.917e+10,1.93e+08,1.08e+08,-3.31e+08,1.8e+08,1.47e+08,5.98e+08,-1.71e+08,4.27e+08,-5.38e+08,-3.66e+08,-9.41e+08,-3.67e+08,-3.67e+08,1e+06,-3.66e+08,4.29e+08,1.899e+09,0.18491,0.09389,0.01002,0.00164,5.09714,0.01915,0.32125,0.317,3.42136,30.56563,0.00202,0.76224,1.01869
"49","2022_Q2",3.82548387096774,"Down",1.892e+09,9.31e+08,7.64e+08,1.97e+08,1.69e+08,2.8e+07,-1.264e+09,-3.63e+08,2.65e+08,-2.6e+07,-2.6e+07,2.39e+08,2.39e+08,-5.8e+07,1.81e+08,1.79e+08,-3e+07,1.49e+08,1.49e+08,6.6901e+10,1.291e+09,1.31e+09,2.3985e+10,9.3487e+10,6.957e+10,1.819e+09,6.946e+09,7.8335e+10,1.1858e+10,-2.7e+09,2.639e+09,2.61e+09,1.4407e+10,7.45e+08,1.5152e+10,9.3487e+10,1.81e+08,9.2e+07,-2.52e+08,-8.3e+07,-9.2e+07,2.92e+08,-1.54e+08,1.38e+08,-8.2e+07,-2.44e+08,-3.26e+08,-2.8e+08,-2.8e+08,5712168.96762173,-2.8e+08,3.57e+08,1.819e+09,0.14006,0.07875,0.00983,0.00159,5.16994,0.01946,0.29365,0.28898,3.72881,28.39377,0.00159,1.47899,1.99245
"50","2022_Q3",4.0353125,"Up",1.881e+09,9.27e+08,7.87e+08,1.67e+08,1.59e+08,8e+06,-8.89e+08,-6.73e+08,3.19e+08,-2.6e+07,-2.6e+07,2.93e+08,2.93e+08,-7.3e+07,2.2e+08,2.19e+08,-3.8e+07,1.81e+08,1.81e+08,6.1491e+10,1.724e+09,2.314e+09,2.3539e+10,8.9068e+10,6.8573e+10,1.773e+09,6.151e+09,7.6497e+10,1.186e+10,-2.715e+09,2.82e+09,-1.45e+08,1.182e+10,7.51e+08,1.2571e+10,8.9068e+10,2.2e+08,8.4e+07,-1.76e+08,3.02e+08,4.29e+08,6.81e+08,-2.84e+08,3.97e+08,-4.8e+07,-3.26e+08,-3.93e+08,4.33e+08,4.33e+08,13636506.9028652,4.33e+08,4.03e+08,1.773e+09,0.16959,0.09623,0.0144,0.00203,6.0852,0.01991,0.3556,0.352,3.69548,23.222,0.00208,0.12159,0.15361
