"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",22.3968852459016,"Down",143482000,-44661000,98821000,-43078000,-8223000,-34855000,55743000,-15074000,-14924000,-14924000,-68999.9999999998,40669000,-811000,39858000,39858000,39858000,-311000,39547000,39547000,5268000,5268000,5482000,5482000,10750000,3408790000,4161715000,-752925000,34590000,34590000,3534586000,3545336000,310075000,143344000,55297000,21529000,21529000,331604000,1523556000,486000,486000,1524042000,1855646000,2358442000,-729311000,3000,1629134000,60556000,1689690000,3545336000,39858000,35434000,1302000,-8342000,68252000,-75712000,-66152000,-48899000,14356000,31360000,31360000,-178000,-3361000,-1261000,-1261000,-1261000,91177000,1523556000,0.68873,0.3885,0.27562,0.0234,0.01115,0.03242,1.09822,0.42974,0.21795,0.21715,0.79077,8.97862,0.2695,0.02752,1.23648,16.65209,27.23729
"31","2018_Q2",24.8715625,"Up",142877000,-48754000,94123000,-43710000,-8744000,-34966000,50413000,-15035000,-15155000,-15155000,304000,35378000,-579000,34799000,34799000,34799000,-376000,34423000,34423000,6036000,6036000,4409000,4409000,10445000,3416899000,4201909000,-785010000,39105000,39105000,3555089000,3565534000,288720000,122703000,55382000,22671000,22671000,311391000,1578623000,486000,486000,1579109000,1890500000,2358582000,-748499000,279000,1610362000,64672000,1675034000,3565534000,34799000,35545000,1593000,-5805000,66132000,-49091000,-57154000,-54746000,46869000,-41000,-41000,-1236000,-9154000,-176000,-176000,-176000,85958000,1578623000,0.65877,0.35284,0.24093,0.02055,0.00965,0.03354,1.12863,0.44275,0.18885,0.18788,0.78386,8.83484,0.30035,0.0274,1.59039,18.29483,31.19408
"32","2018_Q3",25.6138095238095,"Up",147815000,-49528000,98287000,-43387000,-8341000,-35046000,54900000,-15571000,-15451000,-15451000,189000,39329000,-578000,38751000,38751000,38751000,-341000,38410000,38410000,6487000,6487000,4335000,4335000,10822000,3430092000,4237717000,-807625000,43232000,43232000,3573938000,3584760000,312516000,146223000,56442000,23521000,23521000,336037000,1490290000,483000,483000,1490773000,1826810000,2460380000,-773849000,-71304.8313090646,1686531000,71419000,1757950000,3584760000,38751000,35624000,1345000,13830000,89550000,-41698000,-43536000,-54769000,-89348000,99247000,99247000,-602000,-45472000,542000,542000,542000,90524000,1490290000,0.66493,0.37141,0.25985,0.02185,0.01071,0.0322,1.03917,0.41573,0.20906,0.20843,0.80454,9.1796,0.2981,0.02868,1.4259,16.39127,27.02738
"33","2018_Q4",24.8680952380952,"Down",153370000,-48755000,104615000,-45019000,-9780000,-35239000,59596000,-15716000,-15191000,-15191000,-233000,43880000,-578000,43302000,43302000,43302000,-402000,42900000,42900000,3387000,3387000,4226000,4226000,7613000,3485047000,4323372000,-838325000,49234000,49234000,3632437000,3640050000,318827000,153185000,56584000,23072000,23072000,341899000,1537207000,476000,476000,1537683000,1879582000,2474702000,-779533000,-707204.085820097,1695169000,65299000,1760468000,3640050000,43302000,35817000,1490000,-1729000,78880000,-81499000,-84333000,-55842000,45892000,12965000,12965000,-607000,2408000,-3045000,-3045000,-3045000,95413000,1537207000,0.68211,0.38858,0.27972,0.02437,0.01179,0.02227,1.06766,0.4223,0.23051,0.22944,0.82409,9.10852,0.30005,0.02994,1.30168,16.07559,25.73696
"34","2019_Q1",26.0324590163934,"Up",153882000,-49829000,104053000,-48946000,-10847000,-38099000,55107000,-16469000,-16335000,-16335000,-54000,38638000,9998000,48636000,48636000,48636000,-480000,48156000,48156000,3764000,3764000,3681000,3681000,7445000,3600968000,4463455000,-862487000,48763000,48763000,3745527000,3752972000,318787000,149914000,60627000,22595000,22595000,341382000,1638848000,474000,474000,1639322000,1980704000,2502622000,-791915000,-1029000,1709678000,62590000,1772268000,3752972000,48636000,38677000,-9302000,-8238000,69773000,-155850000,-137236000,-55971000,100596000,23494000,23494000,-653000,67466000,2999.99999999907,2999.99999999907,2999.99999999907,93784000,1638848000,0.67619,0.35811,0.31294,0.02717,0.01283,0.02181,1.11761,0.43668,0.2582,0.25684,0.82509,9.16698,0.30011,0.03052,1.16229,17.43457,29.67108
"35","2019_Q2",28.3895238095238,"Up",152845000,-51425000,101420000,-47589000,-9147000,-38442000,53831000,-17421000,-17517000,-17517000,-165000,36410000,-624000,35786000,35786000,35786000,-288000,35498000,35498000,3533000,3533000,3801000,3801000,7334000,3604791000,4489732000,-884941000,107972000,107972000,3806855000,3814189000,336566000,168174000,60978000,23485000,23485000,360051000,1684698000,466000,466000,1685164000,2045215000,2521631000,-823473000,-789000,1697369000,71605000,1768974000,3814189000,35786000,39066000,1179000,-573000,75458000,-80998000,-79033000,-60005000,47665000,25629000,25629000,-9655000,3634000,59000,59000,59000,92897000,1684698000,0.66355,0.35219,0.23225,0.02007,0.00931,0.02037,1.15616,0.44169,0.18957,0.18884,0.81625,9.06458,0.32045,0.02765,1.69038,18.09709,31.23042
"36","2019_Q3",30.46109375,"Up",159017000,-50120000,108897000,-50463000,-9800000,-40663000,58434000,-7785000,-18134000,-18134000,-178000,50649000,-771000,49878000,49878000,49878000,-458000,49420000,49420000,11103000,11103000,8785000,8785000,19888000,3735153000,4640556000,-905403000,105514000,105514000,3927581000,3947469000,333158000,164533000,62029000,25230000,25230000,358388000,1746238000,472000,472000,1746710000,2105098000,2612855000,-838197000,-769000,1773889000,68482000,1842371000,3947469000,49878000,41434000,-9013000,19507000,101806000,-52587000,-171810000,-60374000,56383000,111483000,111483000,-28646000,78846000,8842000,8842000,8842000,99868000,1746238000,0.68481,0.36747,0.31078,0.02682,0.01252,0.05549,1.1426,0.44237,0.26054,0.2593,0.83834,9.35196,0.31829,0.03059,1.22165,17.37428,29.69393
"37","2019_Q4",28.28359375,"Down",166547000,-53465000,113082000,-53390000,-10011000,-43379000,59692000,-16408000,-18207000,-18207000,1647000,43284000,-687000,42597000,42597000,42597000,-443000,42154000,42154000,7293000,7293000,12242000,9839000,19535000,3737855000,4674717000,-936862000,104128000,104128000,3930795000,3950330000,309987000,150532000,62645000,25664000,25611000,335651000,1727463000,470000,470000,1727933000,2063584000,2675376000,-860985000,-749000,1813642000,73104000,1886746000,3950330000,42597000,44066000,1343000,-5418000,82588000,-52685000,-54431000,-61432000,-28812000,62887000,62887000,-3335000,-30692000,-2535000,-2535000,-2535000,103758000,1727463000,0.67898,0.35841,0.25311,0.02234,0.01067,0.0582,1.09373,0.4373,0.21844,0.21757,0.86305,9.39828,0.31834,0.02866,1.45732,16.57867,28.81743
"38","2020_Q1",26.7320967741935,"Down",165506000,-54729000,110777000,-50665000,-9602000,-41063000,60112000,-18373000,-18667000,-18667000,112000,41739000,771000,42510000,42510000,42510000,-465000,42045000,42045000,54857000,54857000,7643000,7643000,62500000,3774485000,4699844000,-925359000,101443000,101443000,3967045000,4029545000,202568000,137880000,64688000,121353000,25313000,323921000,1835725000,475000,475000,1836200000,2160121000,2676681000,-876606000,-729000,1799346000,70078000,1869424000,4029545000,42510000,41800000,-163000,-12231000,71916000,34559000,-70390000,-62048000,110075000,-9000.00000000745,-9000.00000000745,-3951000,44067000,45593000,45593000,45593000,101912000,1835725000,0.66932,0.3632,0.25404,0.02249,0.01043,0.19295,1.1555,0.45557,0.21719,0.21675,0.85495,9.29481,0.32052,0.02809,1.47575,17.47457,29.62583
"39","2020_Q2",23.8096825396825,"Down",164081000,-55740000,108341000,-51203000,-10365000,-40838000,57138000,-18067000,-18681000,-18681000,619000,39071000,-754000,38317000,38317000,38317000,-421000,37896000,37896000,35719000,35719000,6594000,6594000,42313000,3771591000,4716549000,-944958000,93684000,93684000,3960449000,4002762000,296264000,136310000,64691000,25662000,25662000,321926000,1836223000,478000,478000,1836701000,2158627000,2677803000,-894773000,-709000,1782321000,61814000,1844135000,4002762000,38317000,41592000,1700000,-660000,80949000,-30722000,-34784000,-64036000,-633000,-118000,-118000,-1340000,-66127000,-19962000,-19962000,-19962000,98730000,1836223000,0.66029,0.34823,0.23096,0.02055,0.00947,0.13144,1.17054,0.45874,0.19576,0.19507,0.8476,9.20706,0.3308,0.02769,1.68978,18.23665,31.5115
"40","2020_Q3",27.58515625,"Up",163798000,-55345000,108453000,-49436000,-9543000,-39893000,59017000,-19332000,-18702000,-18702000,-456000,39685000,-753000,38932000,38932000,38932000,-427000,38505000,38505000,3457000,3457000,6544000,6544000,10001000,3829488000,4802024000,-972536000,91154000,91154000,4014339000,4024340000,324826000,165635000,64703000,26787000,26787000,351613000,1852121000,482000,482000,1852603000,2204216000,2682405000,-920964000,-689000,1760752000,59372000,1820124000,4024340000,38932000,40646000,1728000,26260000,107566000,-91044000,-89741000,-64038000,14771000,65000,65000,-710000,-49912000,-32087000,-32087000,-32087000,99663000,1852121000,0.66211,0.3603,0.23508,0.02116,0.00957,0.02844,1.21103,0.46023,0.19886,0.19828,0.84594,9.09348,0.33073,0.02792,1.66311,18.54915,31.32426
"41","2020_Q4",30.8396875,"Up",172511000,-57101000,115410000,-48277000,-10193000,-38084000,67133000,-18976000,-18984000,-18984000,45000,48157000,-753000,47404000,47404000,47404000,-513000,46891000,46891000,3903000,3903000,6197000,6197000,10100000,3833949000,4814261000,-980312000,92272000,92272000,4018470000,4028570000,311986000,153568000,64711000,27595000,27595000,339581000,1874519000,491000,491000,1875010000,2214591000,2684608000,-947477000,-669000,1736462000,77517000,1813979000,4028570000,47404000,38837000,1632000,-8557000,79316000,-37333000,-35922000,-64086000,21264000,447000,447000,-693000,-43068000,326000,326000,326000,105970000,1874519000,0.669,0.38915,0.27181,0.02585,0.01164,0.02974,1.22085,0.46531,0.24202,0.24084,0.8904,8.96257,0.33077,0.03008,1.3667,17.65232,27.86433
"42","2021_Q1",33.5219672131148,"Up",178787000,-55448000,123339000,-49080000,-11322000,-37758000,74259000,-19577000,-19523000,-19523000,-448000,54682000,-11724000,42958000,42958000,42958000,-629000,42329000,42329000,3592000,3592000,5912000,5912000,9504000,4505814000,5489754000,-983940000,262824000,170753000,4768638000,4778142000,227441000,159140000,68301000,94686000,29087000,322127000,2364676000,1077000,1077000,2365753000,2687880000,2807647000,-974799000,-632000,1832216000,258046000,2090262000,4778142000,42958000,38172000,12953000,-10881000,83202000,-296280000,-350994000,-64093000,232138000,121294000,121294000,-22036000,267303000,-488999.999999996,-488999.999999996,-488999.999999996,112431000,2364676000,0.68987,0.41535,0.23676,0.02025,0.00886,0.0295,1.28591,0.49489,0.21637,0.21529,0.91389,9.36563,0.32762,0.02388,1.51416,21.00029,31.79526
"43","2021_Q2",40.5073015873016,"Up",188841000,-61228000,127613000,-64726000,-10916000,-53810000,62887000,-18537000,-19234000,-19234000,677000,44350000,-1035000,43315000,43315000,43315000,-1583000,41732000,41732000,3650000,3650000,5371000,5371000,9021000,4494471000,5492183000,-997712000,157189000,157189000,4745457000,4754478000,236879000,166025000,70854000,96684000,30974000,504752000,2083799000,1079000,1079000,2084878000,2589630000,2911734000,-1033519000,-613000,1877602000,287246000,2164848000,4754478000,43315000,54845000,1526000,-1504000,98182000,-7894000,-20532000,-67368000,-109649000,100860000,100860000,-1730000,-77887000,-237000,-237000,-237000,117732000,2254988000,0.67577,0.33302,0.22099,0.01928,0.00878,0.01787,1.19622,0.47429,0.20954,0.20842,0.94819,9.42761,0.33826,0.02468,1.6143,19.12257,35.79974
"44","2021_Q3",47.743125,"Up",199247000,-63751000,135496000,-65699000,-11560000,-54139000,69797000,-18419000,-19112000,-19112000,377000,51378000,-1012000,50366000,50366000,50366000,-1614000,48752000,48752000,3989000,3989000,5074000,5074000,9063000,4510039000,5536376000,-1026337000,154829000,154829000,4762169000,4771232000,248131000,176854000,71277000,98317000,32519000,516473000,2056226000,1083000,1083000,2057309000,2573782000,2963714000,-1116596000,-594000,1846524000,350926000,2197450000,4771232000,50366000,55151000,1260000,12399000,119176000,-42128000,-67437999.9999999,-68354000,-28768000,46504000,46504000,-885000,-51503000,235000,235000,235000,124948000,2226251000,0.68004,0.3503,0.24468,0.02219,0.01022,0.01755,1.17126,0.4666,0.24479,0.24348,1.00044,9.27156,0.34321,0.02647,1.40208,17.78549,31.83893
"45","2021_Q4",51.226875,"Up",212564000,-64065000,148499000,-67966000,-12095000,-55871000,80533000,-17767000,-19122000,-20050614.6427101,539000,62766000,27803000,90569000,90569000,90569000,-2919000,87650000,87650000,20332000,20332000,43505000,42325000,63837000,4526494000,5573816000,-1047322000,245723000,134369000,4772217000,4836054000,249024000,177328000,71696000,99759000,33871000,348783000,2201108000,1105000,1105000,2202213000,2550996000,3039553000,-1113025000,-575000,1925953000,359105000,2285058000,4836054000,90569000,56883000,-28108000,6238000,125582000,-43361000,-41979000,-68800000,-25174000,60463000,60463000,3751000,-29760000,53843000,53843000,53843000,137416000,2201108000,0.69861,0.37886,0.41235,0.03836,0.01812,0.18303,1.11638,0.45515,0.43621,0.43329,1.05788,9.585,0.3424,0.03487,0.78494,15.86988,27.07928
"46","2022_Q1",48.5906451612903,"Down",221912000,-63060000,158852000,-81467000,-13238000,-68229000,77385000,-9268000,-20980000,-21558036.5908155,-12411000,68117000,-21554000,46563000,46563000,46563000,-1215000,45348000,45348000,11140000,11140000,53813000,4500000.00000001,64953000,6097670000,7183494000,-1085824000,385456000,265705000,6483126000,6548079000,297402000,199985000,83672572.2738302,102945000,37144000,400347000,3145785000,3567000,3567000,3149352000,3549699000,4090631000,-1218498000,-570000,2871563000,126817000,2998380000,6548079000,46563000,73338000,-6070000,-7586000,106245000,-48746000,-1722719000,-69317000,911855000,765676000,765676000,-38492000,1569722000,-46752000,-46752000,-46752000,150723000,3145785000,0.71583,0.34872,0.20435,0.01512,0.00693,0.16224,1.18387,0.48041,0.22016,0.21769,1.07738,13.94139,0.33653,0.01865,1.52856,20.79739,40.50714
"47","2022_Q2",44.5411290322581,"Down",238565000,-70567000,167998000,-97082000,-14525000,-82557000,70916000,-31693000,-22824000,-22824000,-9163000,39223000,-957000,38266000,38266000,38266000,-111000,38155000,38155000,7890000,7890000,7971000,4647000,15861000,6102102000,7232103000,-1130001000,343578000,226553000,6445680000,6461541000,295124000,197685000,97439000,104751000,38493000,399875000,3121134000,1086000,1086000,3122220000,3522095000,4114427000,-1266804000,-551000,2847072000,92374000,2939446000,6461541000,38266000,83514000,1612000,7343000,130735000,-4323000,-9088000,-96605000,-25111000,1103000,1103000,-3889000,-124502000,-2855000,-2855000,-2855000,154430000,3121134000,0.7042,0.29726,0.15994,0.01298,0.0059,0.03966,1.19822,0.48303,0.1887,0.18722,1.17988,14.08089,0.47778,0.02223,2.53191,20.15958,43.90045
"48","2022_Q3",44.05734375,"Down",248664000,-73472000,175192000,-92771000,-13725000,-79046000,82421000,-22868000,-23055000,-23055000,-493000,59553000,-959000,58594000,58594000,58594000,-236000,58358000,58358000,5148000,5148000,7097000,4782000,12245000,6093416000,7268162000,-1174746000,323138000,208611000,6416554000,6428799000,314484000,217040000,97444000,106285000,40124000,420769000,3104485000,1026000,1026000,3105511000,3526280000,4116394000,-1291916000,-531000,2823947000,78572000,2902519000,6428799000,58594000,80005000,1338000,13632000,153569000,-38639000,-40987000,-96814000,-17093000,-41000,-41000,-993000,-114941000,-2359000,-2359000,-2359000,162426000,3104485000,0.70453,0.33146,0.23469,0.02011,0.00908,0.0291,1.2149,0.4829,0.25942,0.25834,1.10537,12.55311,0.43036,0.02583,1.65897,19.08153,37.60373
