"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",36.15171875,"Down",445331000,-351462000,93869000,-148263000,-116969000,-31294000,-54394000,-339000,-330000,-9000,-54733000,-54733000,277000,-54456000,-54456000,-50909000,-50909000,259569000,259569000,21798000,21798000,13329000,22538000,22091000,447000,317234000,126765000,82275000,22058000,35564000,209040000,526274000,181771000,89666000,92105000,41712000,41712000,223665000,46516000,46516000,46516000,270181000,547187000,-66170000,-300561000,179861000,256093000,526274000,-54456000,7499000,13617000,23158000,-10182000,-13210000,-41950000,50439000,0,58039000,108478000,56346000,56346000,56346000,-46895000,182000,-37224000,0.21078,-0.12214,-0.11432,-0.19879,-0.09673,0.73119,1.41834,1.05501,0.00035,-1.78215,-1.78215,15.58955,6.29633,-1.30309,-0.16813,-0.12294,5.53123,4.76867
"32","2018_Q3",32.8015873015873,"Down",483133000,-391390000,91743000,-158279000,-125856000,-32423000,-66536000,593000,225000,368000,-65943000,-65943000,26999.9999999925,-65916000,-65916000,-64911000,-64911000,152228000,152228000,28597000,28597000,16426000,25887000,25419000,468000,223138000,131923000,54289000,22058000,5888000,229755000,452893000,202444000,92712000,109732000,42644000,42644000,245556000,6160000,6160000,9229000,254785000,553115000,-66662000,-365472000,120390000,198108000,452893000,-65916000,7535000,-3690000,1674000,-60397000,-8780000,-22700000,-40100000,-9.31322574615479e-10,15877000,-24223000,-107320000,-107320000,-107320000,-59001000,3537000,-66134000,0.18989,-0.13772,-0.13435,-0.32765,-0.14333,1.01884,0.90871,1.28609,0.00781,-2.24582,-2.24582,16.71567,4.16531,-2.28814,-0.31236,-0.31825,2.52014,2.23475
"33","2018_Q4",19.94,"Down",440580000,-353864000,86716000,-134548000,-100668000,-33880000,-47832000,-1566000,282000,-1848000,-49398000,-49398000,141000,-49257000,-49257000,-47923000,-47923000,182042000,182042000,30552000,30552000,17308000,25258000,23863000,1395000,255160000,133425000,55446000,22058000,8113000,246307000,501467000,194030000,93277000,100753000,39917000,39917000,234419000,5934000,5934000,9003000,243422000,651485000,-66709000,-413395000,170794000,258045000,501467000,-49257000,7999000,4108000,-12571000,-49721000,-8270000,-24858000,-124000,0,105444000,105320000,30741000,30741000,30741000,-39833000,3541000,-60815000,0.19682,-0.10857,-0.10877,-0.18572,-0.09557,1.26901,1.08848,0.94333,0.00706,-1.58271,-1.58271,14.55068,5.64068,-2.00849,-0.17914,-0.22733,4.48123,3.73183
"34","2019_Q1",18.1934426229508,"Down",452548000,-370968000,81580000,-130024000,-95467000,-34557000,-48444000,-1436000,563000,-1999000,-49880000,-49880000,1939000,-47941000,-47941000,-42327000,-42327000,141512000,141512000,35930000,35930000,14108000,23717000,22415000,1302000,215267000,134687000,50838000,22895000,14573000,245952000,461219000,190432000,102574000,87858000,50578000,50578000,241486000,5958000,5958000,9027000,250513000,657984000,-66757000,-458897000,131746000,210706000,461219000,-47941000,8664000,13415000,7228000.00000001,-18634000,-8017000,-21415000,373000,94554000,-95501000,-574000,-40623000,-40623000,-40623000,-39780000,3545000,-42508000,0.18027,-0.10705,-0.09353,-0.20088,-0.09177,1.00428,0.89143,1.18892,0.00769,-1.3163,-1.3163,14.07352,4.09709,-1.32193,-0.19221,-0.19303,3.46825,2.84797
"35","2019_Q2",12.4385714285714,"Down",367729000,-294605000,73124000,-109142000,-73709000,-35433000,-36018000,-5996000,276000,-6272000,-42014000,-42014000,-878000,-42892000,-42892000,-39244000,-39244000,119632000,119632000,30819000,30819000,13554000,20948000,18465000,2483000,184953000,131656000,87814000,25434000,45137000,267936000,452889000,155882000,74658000,81224000,39938000,39938000,202028000,38201000,38201000,41299000,243327000,701880000,-68753000,-497716000,134831000,209562000,452889000,-42892000,6575000,14196000,-29308000,-51429000,-4144000,1774000,-126000,30957000,-1875000,28956000,-20699000,-20699000,-20699000,-29443000,9306000,-62017000,0.19885,-0.09795,-0.10672,-0.18727,-0.08665,1.58029,0.91548,1.16112,0.02055,-1.21236,-1.21236,11.36018,4.16531,-1.91588,-0.15266,-0.24125,3.7471,3.06308
"36","2019_Q3",18.1859375,"Up",373709000,-299810000,73899000,-99677000,-66524000,-33153000,-25778000,-2470000,525000,-2995000,-28248000,-28248000,622000,-27626000,-27626000,-24681000,-24681000,121294000,121294000,23635000,23635000,11877000,21826000,19513000,2313000,178632000,131633000,95152000,27120000,52558000,270542000,449174000,153567000,70857000,82710000,40950000,40950000,203842000,46252000,46252000,46252000,250094000,719013000,-68746000,-522397000,127294000,199080000,449174000,-27626000,6339000,9188000,-2324000.00000001,-14423000,-6442000,-4889000,126000,21155000,-477000,20804000,1492000,1492000,1492000,-19439000,9325000,-28827000,0.19774,-0.06898,-0.06604,-0.12398,-0.05495,1.16798,0.87633,1.25625,0.02076,-0.70033,-0.70033,10.60408,3.612,-0.81797,-0.09692,-0.1132,5.76002,4.34359
"37","2019_Q4",8.9134375,"Down",347099000,-277551000,69548000,-99678000,-66896000,-32782000,-30130000,-4389000,392000,-4781000,-34519000,-34519000,-23000,-34542000,-34542000,-30938000,-30938000,83546000,83546000,22407000,22407000,7244000,20484000,18233000,2251000,133681000,132696000,91711000,27120000,51712000,266120000,399801000,139997000,60557000,79440000,46237000,40512000,186723000,44126000,44126000,44126000,230849000,726135000,-68773000,-553335000,103455000,168952000,399801000,-34542000,10119000,10449000,-9369000,-23343000,-7316000,-11144000,-3141000,0,-182000,-3323000,-37810000,-37810000,-37810000,-20011000,489000,-36673000,0.20037,-0.08681,-0.08913,-0.18312,-0.07738,1.18537,0.71593,1.36636,0.00122,-0.87755,-0.87755,9.84538,2.93448,-1.04022,-0.14486,-0.17172,4.15057,2.75662
"38","2020_Q1",6.9941935483871,"Down",346437000,-275059000,71378000,-41859000,-30204000,-11655000,29519000,13414000,8000,13406000,42933000,42933000,-781000,42152000,-29660000,-26978000,-26978000,122574000,112266000,24728000,24728000,5840000,24221000,21589000,2632000,177363000,130028000,68293000,27120000,29417000,240364000,417727000,163613000,75416000,88197000,52386000,41821000,215999000,23873000,23873000,23873000,239872000,764849000,-68807000,-580390000,115084000,177855000,417727000,42152000,2482000,-11538000,21256000,7583000.00000001,5067000,-12593000,0,30842000,4054000,34111000,29101000,29101000,29101000,32001000,1.86264514923096e-09,59105000,0.20603,0.08521,-0.07787,-0.15169,-0.06458,-2.19086,0.82113,1.34869,1.0842021724855e-18,-0.73724,-0.73724,9.4673,3.14497,1.6152,-0.13373,0.29299,-3.83032,-4.15238
"39","2020_Q2",16.3255555555556,"Up",339598000,-265392000,74206000,-87511000,-60230000,-27281000,-13305000,-298000,-11000,-287000,-13603000,-13603000,-163000,-13766000,-19565000,-16333000,-16333000,145098000,141260000,37664000,37664000,4678000,23444000,20783000,2661000,210884000,126621000,65390000,27120000,27433000,245851000,456735000,162711000,74254000,88457000,60111000,54143000,228648000,22693000,22693000,66432000,295080000,768059000,-70493000,-596723000,100279000,161655000,456735000,-13766000,5569000,4541000,2009000,-12227000,-2638000,-5999000,47500000,2848000,-4011000,47249000,29023000,29023000,29023000,-7736000,49565000,-8202000,0.21851,-0.03918,-0.0481,-0.10104,-0.03576,0.50217,0.92231,1.82537,0.10852,-0.40672,-0.40672,8.45655,2.49711,-0.20424,-0.06983,-0.03506,12.34915,7.18023
"40","2020_Q3",74.9334375,"Up",766956000,-589044000,177912000,-129115000,-100052000,-29063000,48797000,-118000.000000002,-364000,246000,48679000,48679000,-840000,47839000,34381000,36356000,36356000,320695000,318573000,47765000,47765000,6340000,25406000,22769000,2637000,400206000,126795000,67599000,27120000,30560000,244936000,645142000,275211000,131101000,144110000,94490000,89705000,374033000,24813000,24813000,67761000,441794000,770988000,-70537000,-560480000,139411000,203348000,645142000,47839000,5409000,2917000,132847000,182670000,-4750000,-1979000,-779000,7.45058059692383e-09,-1711000,-3401999.99999999,177289000,177289000,177289000,54206000,47280000,183143000,0.23197,0.06362,0.0474,0.17879,0.05635,5.03749,1.06998,2.1726,0.07329,0.90151,0.89279,19.01795,3.45693,4.54134,0.13199,0.66491,-5.044,-5.60311
"41","2020_Q4",65.07515625,"Down",717695000,-548982000,168713000,-129851000,-99917000,-29934000,38862000,-205000,-264000,59000,38657000,38657000,-753000,37904000,21226000,23391000,23391000,531065000,529710000,35403000,35403000,6867000,22274000,19704000,2570000,595609000,125142000,73248000,27120000,37119000,247373000,842982000,265331000,119663000,145668000,84716000,78757000,353850000,27678000,27678000,69826000,423676000,966303000,-71124000,-537089000,357534000,419306000,842982000,37904000,5310000,2500000,-11255000,28267000,-4620000,-7453000,-787000,192692000,-1649000,190256000,211070000,211070000,211070000,44172000,45951000,29050000,0.23508,0.05415,0.03259,0.05579,0.02775,1.24193,1.68322,1.01042,0.05451,0.56222,0.55416,17.25021,8.59353,0.69823,0.04745,0.05893,-10.98239,-12.48299
"42","2021_Q1",74.4188524590164,"Up",669666000,-519141000,150525000,-128164000,-98194000,-29970000,22361000,396000,-199000,595000,22757000,22757000,393000,23150000,10129000,12587000,12587000,495425000,495425000,22867000,22867000,6243000,58205000,22879000,1197000,582740000,113767000,132295000,6160000,126098000,247474000,830214000,233405000,109759000,123646000,94176000,72165000,327581000,24973000,24973000,66307000,393888000,970877000,-71399000,-525233000,373692000,436326000,830214000,23150000,5488000,2347000,-26183000,-2235999.99999997,-2866000,-8124000,-1069000,0,-1670000,-2739000.00000006,-13099000,-13099000,-13099000,27849000,41334000,-1593000.00000003,0.22478,0.03339,0.0188,0.02885,0.01516,-0.12656,1.77892,0.90274,0.04979,0.29425,0.29044,15.65481,8.73582,-0.0372399999999998,0.02504,-0.00317000000000004,-16.30547,-20.30728
"43","2021_Q2",79.9293650793651,"Up",659861000,-506337000,153524000,-126932000,-96409000,-30523000,26592000,-381000,-155000,-226000,26211000,26211000,-193000,26018000,15892000,16093000,16093000,534776000,534776000,38518000,38518000,6711000,24251000,23019000,1232000,604256000,110804000,178664000,6160000,172504000,289468000,893724000,265476000,135383000,130093000,104517000,96308000,369993000,34286000,34286000,74791000,444784000,951619000,-78048000,-509140000,363882000,448940000,893724000,26018000,5146000,4263000,38657000,61731000,-2395000,2975000,-551000,-170986396.372214,-7293000,-5759000,58947000,58947000,58947000,31738000,40505000,68193000,0.23266,0.0403,0.02439,0.03585,0.01801,4.23743,1.63316,0.99074,0.04532,0.37526,0.37149,15.38676,8.48506,1.59014,0.03073,0.13021,-15.57348,-18.58721
"44","2021_Q3",76.21890625,"Down",794536000,-619710000,174826000,-138315000,-107932000,-30383000,36511000,168000,-130000,298000,36679000,36679000,45726000,82405000,309777000,309911000,309911000,536445000,536445000,33008000,33008000,7009000,28762000,27554000,1208000,605224000,109693000,56030000,6160000,16618000,496501000,1101725000,279354000,166671000,112683000,92472000,84447000,371826000,14043000,14043000,53719000,425545000,954522000,-78568000,-199229000,676180000,676180000,1101725000,82405000,4803000,-42953000,1708000,41188000,-3225000,-80328000,-815000,-207465656.275318,-519999.99999997,-1334999.99999997,-40474999.9999999,-40474999.9999999,-40474999.9999999,41314000,39676000,-5928999.99999999,0.22004,0.04595,0.39005,0.45833,0.2813,-0.0191300000000005,1.62771,0.62934,0.03601,7.22656,7.15399,18.52713,15.76728,-0.13825,0.42459,-0.00811999999999999,-12.02423,-13.60601
"45","2021_Q4",83.0775,"Up",689390000,-532682000,156708000,-127859000,-96681000,-31178000,28849000,-218000,-139000,-79000,28631000,28631000,1795000,30426000,30426000,30426000,30426000,512188000,512188000,25172000,25172000,5782000,21530000,21302000,228000,564672000,109784000,60265000,6160000,16150000,500245000,1064917000,228661000,124763000,103898000,73817000,65206000,302478000,14488000,14488000,53325000,355803000,957064000,-78606000,-168803000,709114000,709114000,1064917000,30426000,4383000,-252000,-54520000,-19963000,-4038000,-4411000,-825000,-160968217.992316,512378000,511553000,487179000,487179000,487179000,33232000,38837000,-27121000,0.22731,0.04185,0.04413,0.04291,0.02857,-0.89138,1.86682,0.50176,0.03647,0.70808,0.70235,16.04352,16.50254,-0.63116,0.03991,-0.03557,-14.24383,-16.40788
"46","2022_Q1",48.8793548387097,"Down",612659000,-473815000,138844000,-119724000,-88807000,-30917000,19120000,12375000,-132000,12507000,31495000,31495000,1447000,32942000,32942000,32942000,32942000,503341000,503341000,21190000,21190000,5137000,22122000,22097000,25000.0000000001,551790000,109479000,62015000,6160000,15820000,514176000,1065966000,204195000,102293000,101902000,68138000,59387000,272333000,11263000,11263000,49247000,321580000,960548000,-79035000,-136590000,744386000,744386000,1065966000,32942000,4232000,-9781000,-29430000,-2036999.99999999,-3959000,-4372000.00000001,-839000,-83024519.8062091,-514218000,-515057000,-521466000,-521466000,-521466000,23352000,37984000,-11484000,0.22663,0.03121,0.05377,0.04425,0.0309,-0.34861,2.02616,0.43201,0.03563,0.7635,0.760150000000001,14.19967,17.25272,-0.26617,0.0415099999999999,-0.01447,-19.92793,-24.33876
"47","2022_Q2",33.0622580645161,"Down",536037000,-410825000,125212000,-112758000,-79769000,-32989000,12454000,-239000,-125000,-114000,12215000,12215000,-2092000,10123000,10123000,10123000,10123000,493261000,493261000,23749000,23749000,5419000,21376000,21159000,217000,543805000,108454000,59353000,6160000,14117000,520640000,1064445000,214289000,106380000,107909000,70287000,61421000,284576000,10142000,10142000,47259000,331835000,967077000,-107467000,-126467000,732610000,732610000,1064445000,10123000,4307000,7093000,11670000,33193000,-3256000,-13795000,-854000,-25165000,-3267000,-29286000,-9888000,-9888000,-9888000,16761000,37117000,27267000,0.23359,0.02323,0.01888,0.01382,0.00951,2.69357,1.91093,0.45295,0.03487,0.23533,0.23341,12.46134,17.0311,0.63388,0.01298,0.03496,-27.21461,-36.6263
"48","2022_Q3",27.5790625,"Down",528122000,-407017000,121105000,-109563000,-79021000,-30542000,11542000,-1866000,115000,-1981000,9676000,9676000,-2529000,7147000,7146999.99999999,7147000,7147000,442603000,442603000,23088000,23088000,5666000,20417000,20233000,184000,491774000,108041000,56555000,6160000,12982000,515176000,1006950000,188026000,96232000,91794000,65618000,56554000,253644000,8348000,8348000,44596000,298240000,972850000,-142288000,-121323000,708710000,708710000,1006950000,7147000,4043000,10068000,-32629000,-11371000,-3150000,-3374000,-853000,-34912000,-181000,-35946000,-50690999.9999999,-50690999.9999999,-50690999.9999999,15585000,36248000,-17665000,0.22931,0.02185,0.01353,0.01008,0.0071,-2.47167,1.93884,0.42082,0.036,0.16593,0.1656,12.26138,16.45408,-0.41013,0.00949,-0.02345,-26.07347,-35.20664
