"","YQ","p","d","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",121.258852459016,"Up",51818000,-34772000,-12526000,-14795000,-7451000,17046000,2487000,2504000,19533000,17760000,1489000,19249000,19249000,19249000,19249000,515345000,211022000,304323000,43129000,43129000,7e+07,6366000,6366000,634840000,69739000,228845000,124407000,64526000,298584000,933424000,46589000,10532000,36057000,86593000,80782000,5811000,133182000,109736000,41785000,44055000,109736000,242918000,2000,617821000,129552000,-16234000,690506000,690506000,933424000,19249000,8001000,-42762000,42352000,26840000,-4466000,85212000,182000,182000,-22000.0000000005,-2668000,109384000,109384000,109384000,25047000,0,61444000,0.02788,0.02062,3.19206,4.76671,0.3518,0,0.41064,0.41038,14.73068,1.3108,0.02759,0.07678,-20.57512,-30.23261
"35","2019_Q2",163.099206349206,"Up",71951000,-35821000,-11969000,-15829000,-8023000,36130000,3113000,2831000,39243000,37473000,-5999000,31474000,31474000,31474000,31474000,526597000,225048000,301549000,52124000,52124000,68041000,5410000,5410000,652172000,80615000,235403000,119322000,75765000,316018000,968190000,34494000,7024000,27470000,97080000,86296000,10784000,131574000,120415000,41596000,44747000,120415000,251989000,2000,616694000,156309000,-15520000,716201000,716201000,968190000,31474000,8244000,-21349000,15681000,34050000,-13283000,-9105000,-445000,204000,-5757000,-10919000,14026000,14026000,14026000,44374000,0,52771000,0.04395,0.03251,1.67665,4.95669,0.35184,0,0.67119,0.67063,15.27308,1.12535,0.04326,0.06308,-11.86724,-14.57506
"36","2019_Q3",196.31359375,"Up",94096000,-43716000,-15939000,-18833000,-8944000,50380000,3162000,2757000,53542000,51826000,-8386000,43440000,43440000,43440000,43440000,552711000,324277000,228434000,66952000,66952000,60138000,8893000,8893000,688694000,83595000,233791000,113832000,79220000,322386000,1011080000,43488000,7744000,35744000,96248000,82472000,13776000,139736000,120311000,44651000,45377000,120311000,260047000,2000,612084000,195036000,-14805000,751033000,751033000,1011080000,43440000,8531000,-31663000,29521000,49829000,-7039000,62587000,241000,241000,-8715000,-13187000,99229000,99229000,99229000,58911000,0,89779000,0.05784,0.04296,2.06674,4.92854,0.34625,0,0.9249,0.92425,15.99047,1.91152,0.05526,0.10304,-9.38214,-10.97084
"37","2019_Q4",185.4978125,"Down",80229000,-37740000,-12623000,-16787000,-8330000,42489000,2801000,2748000,45290000,43631000,-6669000,36962000,36962000,36962000,36962000,597056000,235541000,361515000,65774000,65774000,57771000,10415000,10415000,731016000,86266000,240268000,108339000,89957000,331534000,1062550000,44577000,9217000,35360000,103815000,91188000,12627000,148392000,127591000,50495000,46007000,127591000,275983000,2000,614682000,227286000,-14119000,786567000,786567000,1062550000,36962000,8652000,-30343000,38596000,53867000,-4995000,-136656000,213000,213000,-1448000,-5947000,-88736000,-88736000,-88736000,51141000,0,91411000,0.04699,0.03479,2.47311,4.92625,0.35087,0,0.78674,0.7861,16.74219,1.9457,0.04559,0.09999,-11.6747,-14.05201
"38","2020_Q1",168.971774193548,"Down",83527000,-47350000,-19082000,-19827000,13521000,36177000,2486000,2459000,38663000,36975000,-10547000,26428000,26428000,26428000,26428000,646088000,131627000,514461000,60452000,60452000,63953000,21946000,21946000,792439000,87872000,234846000,102846000,86090000,327718000,1120157000,62318000,13296000,49022000,99190000,97333000,1857000,161508000,147200000,47529000,51117000,147200000,308708000,2000,620725000,249003000,-16997000,811449000,811449000,1120157000,26428000,8991000,-34980000,55727000,56166000,-5143000,-155540000,231000,231000,-60000,-4540000,-103914000,-103914000,-103914000,45168000,0,106299000,0.03257,0.02359,4.02221,4.9065,0.38044,0,0.56232,0.56194,17.26565,2.26179,0.03248,0.11088,-14.30411,-17.85908
"39","2020_Q2",144.352063492063,"Down",89818000,-43674000,-15403000,-19497000,-8774000,46144000,2349000,2147000,48493000,46855000,-8700000,38155000,38155000,38155000,38155000,639776000,222744000,417032000,82592000,82592000,74068000,15635000,15635000,812071000,88350000,230955000,97356000,89335000,324305000,1136376000,32018000,10370000,21648000,104536000,99565000,4971000,136554000,153125000,49866000,51711000,153125000,289679000,2000,622456000,280060000,-14537000,846697000,846697000,1136376000,38155000,9105000,-33562000,-7952000,5746000,-4782000,97026000,259000,259000,-4816000,-11655000,91117000,91117000,91117000,55249000,0,51215000,0.04506,0.03358,1.34229,5.94689,0.34213,0,0.8102,0.80969,17.9792,1.08753,0.04526,0.05122,-11.57987,-13.86477
"40","2020_Q3",168.13296875,"Up",45325000,-44652000,-16147000,-21397000,-7108000,672999.999999993,1438000,1268000,2111000,253000,562000,815000,815000,815000,815000,644021000,133566000,510455000,68498000,68498000,84523000,33117000,33117000,830159000,92003000,233895000,91891000,96394000,330898000,1161057000,41327000,10244000,31083000,121368000,120150000,1218000,162695000,158592000,51317000,52305000,158592000,321287000,2000,622075000,273758000,-14781000,839770000,839770000,1161057000,815000,9158000,-11633000,27944000,26284000,-7047000,-100327000,331000,331000,-8349000,-15135000,-89178000,-89178000,-89178000,9831000,0,30166000,0.000970000000000006,0.000699999999999992,37.0135,5.10255,0.38259,0,0.0172600000000001,0.01725,17.78141,0.63874,0.00795000000000001,0.03022,-65.50921,-956.94056
"41","2020_Q4",210.56875,"Up",93701000,-43180000,-13579000,-20814000,7687000,50521000,1291000,1029000,51812000,49717000,-9217000,40500000,40500000,40500000,40500000,672668000,162620000,510048000,99350000,99350000,84098000,30038000,30038000,886154000,96830000,236977000,86397000,103067000,338807000,1224961000,43318000,9626000,33692000,139442000,138391000,1051000,182760000,162565000,51657000,52900000,162565000,345325000,2000,628541000,307144000,-14767000,879636000,879636000,1224961000,40500000,9358000,-47858000,41797000,43797000,-7409000,-6780000,279000,279000,-1128000,-7963000,29054000,29054000,29054000,59879000,0,103484000,0.04604,0.03306,2.55516,4.84873,0.39258,0,0.85755,0.85702,18.62544,2.19118,0.04569,0.09929,-11.23379,-13.31462
"42","2021_Q1",227.765901639344,"Up",114545000,-46828000,-16217000,-22186000,-2930000,67717000,925000,695000,68642000,66704000,-12802000,53902000,53902000,53902000,53902000,730008000,630012000,99996000,82261000,82261000,91591000,20746000,20746000,924606000,102113000,237509000,70253000,103341000,344622000,1269228000,55205000,13801000,41404000,109755000,105215000,4540000,164960000,191554000,57086000,78527000,191554000,356514000,2000,636085000,353930000,-36019000,912714000,912714000,1269228000,53902000,9565000,-65302000,74800000,72965000,-8813000,401337000,307000,307000,-101000.000000001,-6910000,467392000,467392000,467392000,77282000,0,156071000,0.05906,0.04247,2.89546,5.60503,0.39061,0,1.14083,1.13934,19.31745,3.30323,0.05526,0.14133,-9.44603,-10.78028
"43","2021_Q2",216.16619047619,"Down",110702000,-45309000,-16404000,-23305000,-112000,65393000,192000,133000,65585000,63750000,-12063000,51687000,51687000,51687000,51687000,726999000,726279000,720000,91327000,91327000,101422000,39587000,39587000,959335000,107815000,234850000,65106000,106704000,351165000,1310500000,33912000,14741000,19171000,132420000,128546000,3874000,166332000,191700000,49578000,79246000,191700000,358032000,2000,632629000,396130000,-35009000,952468000,952468000,1310500000,51687000,9751000,-48778000,16836000,29496000,-10236000,85544000,348000,348000,-9634000,-18773000,96267000,96267000,96267000,75144000,0,93807000,0.05427,0.03944,1.81491,5.76759,0.3759,0,1.09349,1.09206,20.15037,1.98458,0.05347,0.08199,-9.67474,-11.11738
"44","2021_Q3",204.56625,"Down",101691000,-49986000,-20239000,-24101000,-149000,51705000,296000,75000,52001000,50192000,-9651000,40541000,40541000,40541000,40541000,733454000,542914000,190540000,99629000,99629000,104653000,55156000,55156000,992892000,113187000,236136000,59960000,114676000,357823000,1350715000,37581000,10334000,27247000,124982000,122978000,2004000,162563000,196536000,46174000,79966000,196536000,359099000,2000,639482000,427188000,-33772000,991616000,991616000,1350715000,40541000,10463000,-39983000,18599000,29620000,-10826000,-200557000,439000,439000,-3384000,-12428000,-183365000,-183365000,-183365000,62168000,0,79592000,0.04088,0.03001,1.96325,6.10774,0.36214,0,0.85769,0.85657,20.97858,1.68385,0.0421,0.06699,-11.79793,-14.18536
"45","2021_Q4",163.068125,"Down",112137000,-52050000,-20960000,-25327000,-258000,60087000,35000,137000,60122000,57763000,-11654000,46109000,46109000,46109000,46109000,788943000,535157000,253786000,96235000,96235000,121485000,48476000,48476000,1055139000,118988000,245964000,54814000,133111000,373452000,1428591000,53675000,10939000,42736000,126586000,123475000,3111000,180261000,212008000,43458000,80676000,212008000,392269000,2000,646540000,463820000,-32756000,1036322000,1036322000,1428591000,46109000,10747000,-40333000,58687000,75210000,-8828000,-71977000,349000,349000,-1862000,-10990000,-7757000,-7757000,-7757000,70834000,0,132347000,0.04449,0.03228,2.87031,5.8534,0.37852,0,0.97509,0.97368,21.91557,2.79881,0.04453,0.10602,-11.13791,-13.13001
"46","2022_Q1",153.709516129032,"Down",114004000,-55385000,-22769000,-26940000,-172000,58619000,80000,160000,58699000,56542000,-10666000,45876000,45876000,45876000,45876000,663187000,311993000,351194000,107639000,107639000,134160000,20948000,20948000,925934000,128832000,244077000,49771092.0709534,185378000,540985000,1466919000,60429000,14955000,45474000,127509000,120864000,6645000,187938000,179067000,37620904.1232608,66773000,179067000,367005000,2000,659219000,500212000,-18235000,1099914000,1099914000,1466919000,45876000,11001000,-46376000,46278000,56779000,-13665000,-270761000,371000,371000,-69000,-9182000,-223164000,-223164000,-223164000,69620000,0,112899000,0.04171,0.03127,2.46096,4.92681,0.33367,0,0.96981,0.96818,23.25199,2.38667,0.04328,0.08827,-9.52581,-11.31352
"47","2022_Q2",127.61,"Down",117307000,-53259000,-21062000,-26545000,-154000,64048000,257000,291000,64305000,62507000,-12537000,49970000,49970000,49970000,49970000,682479000,357424000,325055000,104947000,104947000,143240000,29120000,29120000,959786000,131879000,231436000,44521000,126222000,527445000,1487231000,54024000,27064000,26960000,124230000,111778000,12452000,178254000,177677000,31735000,67481000,177677000,355931000,2000,658541000,535936000,-21895000,1131300000,1131300000,1487231000,49970000,11125000,-57799000,49312000,52608000,-10763000,14562000,403000,403000,-7896000,-21739000,45431000,45431000,45431000,75173000,0,126259000,0.04417,0.0336,2.5267,5.38437,0.31462,0,1.0559,1.0545,23.90501,2.66793,0.04906,0.09646,-9.07878,-10.65574
"48","2022_Q3",110.12125,"Down",109322000,-53749000,-19869000,-28197000,-181000,55573000,1672000,1583000,57245000,54986000,-13484000,41502000,41502000,41502000,41502000,653345000,213896000,439449000,74933000,74933000,165635000,38244000,38244000,932157000,138028000,229111000,39063473.7871398,167563000,567281000,1499438000,52805000,14048000,38757000,102408000,99106000,3302000,155213000,178916000,30021000,68188000,178916000,334129000,2000,666578000,563191000,-23178000,1165309000,1165309000,1499438000,41502000,11404000,-52244000,32860000,33522000,-10585000,-162299000,444000,444000,-947999.999999998,-14751000,-143528000,-143528000,-143528000,66977000,0,102736000,0.03561,0.02768,2.47545,6.00566,0.28673,0,0.87568,0.8745,24.58774,2.16771,0.04147,0.07643,-9.75477,-11.75652
